time,catalogue_1,catalogue_2,front-end_3,payment_4,front-end_5,user_6,front-end_7,front-end_8,front-end_9,front-end_10,front-end_11,front-end_12,front-end_13,user_14,front-end_15,user_16,front-end_17,front-end_18,front-end_19,front-end_20,front-end_21,user_22,user_23,orders_24,payment_25,orders_26,shipping_27,queue-master_28,queue-master_29,queue-master_30,queue-master_31,queue-master_32,front-end_33,front-end_34,front-end_35,user_36,front-end_37,front-end_38,user_39,front-end_40,front-end_41,front-end_42,front-end_43,front-end_44,catalogue_45,front-end_46,front-end_47,front-end_48,carts_49,user-db_50,user-db_51,user-db_52,user-db_53,user-db_54,user-db_55,user-db_56,user-db_57
1705785180,10,12,12,10,14,14,14,14,14,14,14,14,14,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,14,14,14,14,14,14,15,15,15,15,15,15,15,15,0,0,0,0,0,0,0,0,0
1705785195,10,14,14,10,19,19,19,19,19,19,19,19,19,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,19,19,19,19,19,19,19,19,19,19,19,19,19,19,0,0,0,0,0,0,0,0,0
1705785210,10,17,17,10,11,11,11,11,11,11,11,11,11,10,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,13,13,13,13,13,13,13,13,13,13,13,13,13,13,23,0,0,0,0,0,0,0,0
1705785225,10,18,18,10,13,13,13,13,13,13,13,13,13,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,69,0,0,0,0,0,0,0,0
1705785240,10,11,11,10,21,21,21,21,21,21,21,21,21,10,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,19,19,19,19,19,18,17,17,17,17,17,17,17,17,23,0,0,0,0,0,0,0,0
1705785255,10,14,14,10,12,12,12,12,12,12,12,12,12,10,24,96,72,24,24,24,24,24,24,24,24,24,24,24,24,72,72,24,48,24,15,15,15,15,15,16,17,17,17,17,17,17,17,17,0,0,0,0,0,0,0,0,0
1705785270,10,21,21,10,14,14,14,14,14,14,14,14,14,10,8,32,24,8,8,8,8,8,8,8,8,8,8,8,8,24,24,8,16,8,13,13,13,13,13,13,13,13,13,13,13,13,13,13,0,0,0,0,0,0,0,0,0
1705785285,10,10,10,10,19,19,19,19,19,19,19,19,19,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,23,0,0,0,0,0,0,0,0
1705785300,10,17,17,10,15,15,15,15,15,15,15,15,15,10,18,72,54,18,18,18,18,18,18,17,17,17,17,17,17,51,51,17,34,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,23,0,0,0,0,0,0,0,0
1705785315,10,17,17,10,17,17,17,17,17,17,17,17,17,10,14,56,42,14,14,14,14,14,14,15,15,15,15,15,15,45,45,15,30,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,23,0,0,0,0,0,0,0,0
1705785330,10,13,13,10,12,12,12,12,12,12,12,12,12,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,16,16,16,16,16,16,16,16,16,16,16,16,16,16,0,0,0,0,0,0,0,0,0
1705785345,10,17,17,10,15,15,15,15,15,15,15,15,15,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,15,15,15,15,15,15,15,15,15,15,15,15,15,15,46,0,0,0,0,0,0,0,0
1705785360,10,15,15,10,24,24,24,24,24,24,24,24,24,10,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,14,14,14,14,14,14,14,14,14,14,14,14,14,14,23,0,0,0,0,0,0,0,0
1705785375,10,12,12,10,10,10,10,10,10,10,10,10,10,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,20,20,20,20,20,20,20,20,20,20,20,20,20,20,23,0,0,0,0,0,0,0,0
1705785390,10,25,25,10,10,10,10,10,10,10,10,10,10,10,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,15,15,15,15,15,15,15,15,15,15,15,15,15,15,23,0,0,0,0,0,0,0,0
1705785405,10,15,15,10,19,19,19,19,19,18,18,18,18,10,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,10,10,10,10,10,10,10,10,10,10,10,10,9,0,0,0,0,0,0,0,0,0
1705785420,10,6,6,10,14,14,14,14,14,15,15,15,15,10,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,20,20,20,20,20,20,20,20,20,20,20,20,20,21,46,0,0,0,0,0,0,0,0
1705785435,10,14,14,10,14,14,14,14,14,14,14,14,14,10,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0,2,2,0,0,0,0,0,0
1705785450,10,20,20,10,20,20,20,20,20,20,20,20,20,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,16,16,16,16,16,16,16,16,16,16,16,16,16,16,23,0,0,0,0,0,0,0,0
1705785465,10,15,15,10,15,15,15,15,15,15,15,15,15,10,21,84,63,21,21,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,19,19,19,19,19,19,19,19,19,19,19,19,19,19,46,0,0,0,0,0,0,0,0
1705785480,10,19,19,10,17,17,17,17,17,17,17,17,17,10,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0
1705785495,10,13,13,10,18,18,18,18,18,18,18,18,18,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,19,19,19,19,19,19,19,19,19,19,19,19,19,19,23,0,0,1,1,0,0,0,0
1705785510,10,16,16,10,9,9,9,9,9,9,9,9,9,10,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,17,17,17,17,17,17,17,17,17,17,17,17,17,17,0,0,0,0,0,0,0,0,0
1705785525,10,18,18,10,18,18,18,18,18,18,18,18,18,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,10,10,10,10,10,10,10,10,10,10,10,10,69,0,0,0,0,1,1,0,0
1705785540,10,15,15,10,15,15,15,15,15,15,15,15,15,10,15,59,45,15,15,15,15,15,14,15,15,15,15,15,15,45,45,15,28,14,18,18,18,18,18,18,18,18,18,18,18,18,18,18,0,0,0,0,0,0,0,0,0
1705785555,10,14,14,10,21,21,21,21,21,21,21,21,21,10,17,69,51,17,17,17,17,17,18,17,17,17,17,17,17,51,51,17,36,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,0,0,0,0,0,0,0,0,0
1705785570,10,17,17,10,13,13,13,13,13,13,13,13,13,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,16,16,16,16,16,16,16,16,16,16,16,16,16,15,0,0,0,0,0,0,0,0,0
1705785585,10,15,15,10,15,15,15,15,15,15,15,15,15,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,12,12,12,12,12,12,12,12,12,12,12,12,12,13,23,0,0,0,0,0,0,0,0
1705785600,10,15,15,10,18,18,18,18,18,18,18,18,18,10,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,15,15,15,15,15,15,15,15,15,15,15,15,15,15,0,1,1,0,0,0,0,0,0
1705785615,10,16,16,10,7,7,7,7,7,7,7,7,7,10,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,17,17,17,17,17,17,17,17,17,17,17,17,17,17,23,0,0,0,0,0,0,0,0
1705785630,10,17,17,10,18,18,18,18,18,18,18,18,18,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,11,11,11,11,11,11,11,11,11,11,11,11,11,11,23,0,0,0,0,0,0,0,0
1705785645,10,11,11,10,18,18,18,18,18,18,18,18,18,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,19,19,19,19,19,19,19,19,19,19,19,19,19,19,23,0,0,0,0,0,0,0,0
1705785660,10,18,18,10,13,13,13,13,13,13,13,13,13,10,21,84,63,21,21,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,15,15,15,15,15,15,15,15,15,15,15,15,15,15,0,0,0,0,0,0,0,0,0
1705785675,10,18,18,10,14,14,14,14,14,14,14,14,14,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0
1705785690,10,10,10,10,16,16,16,16,16,16,16,16,16,10,10,37,30,10,10,10,10,9,9,9,9,9,9,9,9,27,27,9,18,9,18,18,18,18,18,18,18,18,18,18,18,18,18,17,23,0,0,0,0,0,0,0,0
1705785705,10,11,11,10,18,18,18,18,18,18,18,18,18,10,18,75,54,18,18,18,18,19,19,19,19,19,19,19,19,57,57,19,38,19,18,18,18,18,18,18,18,18,18,18,18,18,18,19,46,0,0,0,0,0,0,0,0
1705785720,10,20,20,10,11,11,11,11,11,11,11,11,11,10,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,13,13,13,13,13,13,13,13,13,13,13,13,13,13,0,0,0,0,0,0,0,0,0
1705785735,10,18,18,10,18,18,18,18,18,18,18,18,18,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,16,16,16,16,16,16,16,16,16,16,16,16,16,16,0,0,0,0,0,0,0,0,0
1705785750,10,12,12,10,18,18,18,18,18,18,18,18,18,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,0,0,0,0,0,0,0,0,0
1705785765,10,18,18,10,12,12,12,12,12,12,12,12,12,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,17,17,17,16,16,16,16,16,16,16,16,16,16,16,23,0,0,0,0,0,0,0,0
1705785780,10,18,18,10,12,12,12,12,12,12,12,12,12,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,10,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0
1705785795,10,12,12,10,18,18,18,18,18,18,18,18,18,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,23,0,0,0,0,0,0,0,0
1705785810,10,10,10,10,20,20,20,20,20,20,20,20,20,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,22,22,22,21,21,21,21,20,20,20,20,20,20,20,23,0,0,0,0,0,0,0,0
1705785825,10,20,20,10,11,11,11,11,11,11,11,11,11,10,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,16,16,16,17,17,17,17,18,18,18,18,18,18,18,0,0,0,0,0,0,0,0,0
1705785840,10,18,18,10,13,13,13,13,13,13,13,13,13,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0
1705785855,10,11,11,10,19,19,19,19,19,19,19,19,19,10,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,23,0,0,0,0,0,0,0,0
1705785870,10,13,13,10,12,12,12,12,12,12,12,12,12,10,20,74,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,17,17,17,17,17,17,17,17,17,17,17,17,17,17,0,0,0,0,0,0,0,0,0
1705785885,10,17,17,10,21,20,20,20,20,20,20,20,20,10,13,58,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,0,0,0,0,0,0,0,0,0
1705785900,10,13,13,10,8,9,9,9,9,9,9,9,9,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,23,0,0,0,0,0,0,0,0
1705785915,10,22,22,10,19,19,19,19,19,19,19,19,19,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,10,10,10,10,10,10,10,10,10,10,10,10,23,0,0,0,0,0,0,0,0
1705785930,10,10,10,10,15,15,15,15,15,15,15,15,15,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,18,18,18,18,18,18,18,18,18,18,18,18,18,18,0,0,0,0,0,0,0,0,0
1705785945,10,21,21,10,16,16,16,16,16,16,16,16,16,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,14,14,14,14,14,14,14,14,14,14,14,14,14,14,0,0,0,0,0,0,0,0,0
1705785960,10,12,12,10,18,18,18,18,18,17,17,17,17,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,0,0,0,0,0,0,0,0,0
1705785975,10,16,16,10,12,12,12,12,12,13,13,13,13,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,0,0,0,0,0,0,0,0,0
1705785990,10,15,15,10,17,17,17,17,17,17,17,17,17,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,46,0,0,0,0,1,1,1,1
1705786005,10,17,17,10,17,17,17,17,17,17,17,17,17,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,11,11,11,11,11,11,11,11,11,11,11,11,11,11,23,0,0,0,0,0,0,0,0
1705786020,10,14,14,10,16,16,16,16,16,16,16,16,16,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,20,20,20,20,20,20,19,19,19,19,19,19,19,19,0,0,0,0,0,0,0,0,0
1705786035,10,18,18,10,11,11,11,11,11,11,11,11,11,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,13,13,13,13,13,13,14,14,14,14,14,14,14,14,0,0,0,0,0,0,0,0,0
1705786050,10,14,14,10,13,13,13,13,13,13,13,13,13,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,12,12,12,12,12,12,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0
1705786065,10,13,13,10,15,15,15,15,15,15,15,15,15,10,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,19,19,19,19,19,19,20,20,20,20,20,20,20,20,23,0,0,0,0,0,0,0,0
1705786080,10,14,14,10,16,16,16,16,16,16,16,16,16,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,13,13,13,13,13,13,13,13,13,13,13,13,13,13,23,0,0,0,0,0,0,0,0
1705786095,10,16,16,10,14,14,14,14,14,14,14,14,14,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0,0,0,0,0,1,1,0,0
1705786110,10,16,16,10,12,12,12,12,12,12,12,12,12,10,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,23,0,0,0,0,0,0,0,0
1705786125,10,13,13,10,16,16,16,16,16,16,16,16,16,10,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,16,16,16,16,16,16,16,16,16,16,16,16,16,16,46,0,0,0,0,0,0,0,0
1705786140,10,10,10,10,13,13,13,13,13,13,13,13,13,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,14,14,14,14,14,14,14,14,14,14,14,14,14,14,0,0,0,0,0,0,0,0,0
1705786155,4,9,9,4,7,7,7,7,7,7,7,7,7,4,5,20,15,5,5,5,5,5,5,5,5,5,5,5,5,15,15,5,10,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0
