time,front-end_1,front-end_2,front-end_3,front-end_4,front-end_5,front-end_6,front-end_7,catalogue_8,front-end_9,front-end_10,front-end_11,catalogue_12,front-end_13,front-end_14,user_15,front-end_16,front-end_17,user_18,front-end_19,user_20,front-end_21,catalogue_22,payment_23,front-end_24,user_25,front-end_26,front-end_27,front-end_28,front-end_29,front-end_30,user_31,user_32,orders_33,payment_34,orders_35,shipping_36,queue-master_37,queue-master_38,queue-master_39,queue-master_40,queue-master_41,front-end_42,front-end_43,front-end_44,user_45,front-end_46,front-end_47,front-end_48,carts_49,user_50,user-db_51,user_52,user_53,user_54
1705744905,21,21,21,21,13,13,13,13,13,13,12,15,15,13,13,13,13,13,13,10,13,10,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,21,21,21,21,21,23,0,0,0,0,0
1705744920,11,11,11,11,16,16,16,16,16,16,17,11,11,16,16,16,16,16,16,10,16,10,10,17,68,51,17,17,17,17,17,17,17,16,16,16,16,16,48,48,16,32,16,11,11,11,11,11,23,0,0,0,0,0
1705744935,14,14,14,14,13,13,13,13,13,13,13,18,18,13,13,13,13,13,13,10,13,10,10,13,52,39,13,13,13,13,13,13,13,14,14,14,14,14,42,42,14,28,14,14,14,14,14,14,23,0,0,0,0,0
1705744950,13,13,13,13,13,13,13,13,13,13,13,15,15,14,14,14,14,14,14,10,13,10,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,13,13,13,13,13,0,0,0,0,0,0
1705744965,20,20,20,20,18,18,18,18,18,18,18,12,12,17,17,17,17,17,17,10,18,10,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,20,20,20,20,20,23,0,0,0,0,0
1705744980,12,12,12,12,15,15,15,15,15,15,15,20,20,15,15,15,15,15,15,10,15,10,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,12,12,12,12,12,23,0,0,0,0,0
1705744995,18,18,18,18,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,13,10,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,18,18,18,18,18,0,0,0,0,0,0
1705745010,17,17,17,17,22,22,22,22,22,22,22,16,16,22,22,22,22,22,22,10,22,10,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,17,17,17,17,17,0,0,0,0,0,0
1705745025,14,14,14,14,15,15,15,15,15,15,15,13,13,15,15,15,15,15,15,10,15,10,10,21,84,63,21,21,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,14,14,14,14,14,0,0,0,0,0,0
1705745040,17,17,17,17,15,15,15,15,15,15,15,23,23,17,17,17,16,16,16,10,15,10,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,17,17,17,17,17,0,0,0,0,0,0
1705745055,13,13,13,13,17,17,17,17,17,17,17,11,11,15,15,15,16,16,16,10,17,10,10,16,63,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,13,13,13,13,13,23,0,0,0,1,0
1705745070,15,15,15,15,14,14,14,14,14,14,14,20,20,15,15,15,15,15,15,10,15,10,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,15,15,15,15,15,0,0,0,0,0,0
1705745085,17,17,17,17,15,15,15,15,15,15,15,11,11,14,14,14,14,14,14,10,14,10,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,17,17,17,17,17,0,0,0,0,0,0
1705745100,17,17,17,17,18,18,18,18,18,18,18,14,14,18,18,18,18,18,18,10,18,10,10,17,68,51,17,17,17,17,17,17,16,16,16,16,16,16,48,48,16,32,16,17,17,17,17,17,0,0,0,0,0,0
1705745115,12,12,12,12,15,15,15,15,15,15,15,17,17,15,15,15,15,15,15,10,15,10,10,16,64,48,16,16,16,16,16,16,17,17,17,17,17,17,51,51,17,34,17,12,12,12,12,12,0,0,0,0,0,0
1705745130,13,13,13,13,9,9,9,9,9,9,9,18,18,9,9,9,9,9,9,10,9,10,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,13,13,13,13,13,0,0,0,0,0,0
1705745145,22,22,22,22,18,18,18,18,18,18,18,11,11,18,18,18,18,18,18,10,18,10,10,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,22,22,22,22,22,0,0,0,0,0,0
1705745160,15,15,15,15,20,20,20,20,20,20,20,16,16,20,20,20,20,20,20,10,20,10,10,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,15,15,15,15,15,23,0,0,0,0,0
1705745175,10,10,10,10,11,11,11,11,11,11,11,18,18,11,11,11,11,11,11,10,11,10,10,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,10,10,10,10,23,0,0,0,0,0
1705745190,11,11,11,11,14,14,14,14,14,14,14,15,15,14,14,14,14,14,14,10,14,10,10,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,11,11,11,11,11,46,0,0,0,0,0
1705745205,22,22,22,22,18,18,18,18,18,18,18,12,12,18,18,18,18,18,18,10,18,10,10,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,22,22,22,22,22,46,0,0,0,0,0
1705745220,18,18,18,18,16,16,16,16,16,16,16,15,15,16,16,16,16,16,16,10,16,10,10,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,18,18,18,18,18,0,0,0,0,0,0
1705745235,15,15,15,15,12,12,12,12,12,12,12,17,17,12,12,12,12,12,12,10,12,10,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,15,15,15,15,15,0,0,0,0,0,0
1705745250,13,13,13,13,20,20,20,20,20,20,20,16,16,20,20,20,20,20,20,10,20,10,10,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,13,13,13,13,13,0,0,0,0,0,0
1705745265,15,15,15,15,15,15,15,15,15,15,15,13,13,15,15,15,15,15,15,10,15,10,10,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,15,15,15,15,15,23,0,0,0,0,0
1705745280,13,13,13,13,10,10,10,10,10,10,10,17,17,10,10,10,10,10,10,10,10,10,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,13,13,13,13,13,23,0,0,0,0,0
1705745295,15,15,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,16,10,10,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,15,15,15,15,15,0,0,0,0,0,0
1705745310,19,19,19,19,13,13,13,13,13,13,13,15,15,13,13,13,13,13,13,10,13,10,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,12,19,19,19,19,19,23,0,0,0,0,0
1705745325,13,13,13,13,18,18,18,18,18,18,18,10,10,18,18,18,18,18,18,10,18,10,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,19,13,13,13,13,13,0,0,0,0,0,0
1705745340,16,16,16,16,20,20,20,20,20,20,20,18,18,20,20,20,20,20,20,10,20,10,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,16,16,16,16,16,0,0,0,0,0,0
1705745355,18,18,18,18,12,12,12,12,12,12,12,15,15,12,12,12,12,12,12,10,12,10,10,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,18,18,18,18,18,23,0,0,0,0,0
1705745370,13,13,13,13,16,16,16,16,16,16,16,19,19,16,16,16,16,16,16,10,16,10,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,13,13,13,13,13,23,0,0,0,0,0
1705745385,16,16,16,16,15,15,15,15,15,15,15,17,17,15,15,15,15,15,15,10,15,10,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,24,12,16,16,16,16,16,0,0,0,0,0,0
1705745400,12,12,12,12,14,14,14,14,14,14,14,13,13,14,14,14,14,14,14,10,14,10,10,18,72,54,18,18,18,18,18,18,18,18,18,17,17,17,51,51,17,36,18,12,12,12,12,12,23,0,0,0,0,0
1705745415,22,22,22,22,18,18,18,18,18,18,18,16,16,18,18,18,18,18,18,10,18,10,10,10,40,30,10,10,10,10,10,10,10,10,10,11,11,11,33,33,11,20,10,22,22,22,22,22,0,0,0,0,0,0
1705745430,10,10,10,10,15,15,15,15,15,15,15,9,8,15,15,15,15,15,15,10,15,10,10,20,80,60,20,20,20,20,20,20,20,19,19,19,19,19,57,57,19,40,20,10,10,10,10,10,0,0,0,0,0,0
1705745445,16,16,16,16,13,13,13,13,13,13,13,21,22,13,13,13,13,13,13,10,13,10,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,16,16,16,16,16,23,0,0,0,0,0
1705745460,18,18,18,18,18,18,18,18,18,18,17,15,15,18,18,18,18,18,18,10,18,10,10,10,40,30,10,10,10,10,10,10,10,11,11,11,11,11,33,33,11,22,11,18,18,18,18,18,23,0,0,0,0,0
1705745475,10,10,10,10,12,12,12,12,12,12,13,9,9,12,12,12,12,12,12,10,12,10,10,22,88,66,22,22,22,22,22,22,22,21,21,21,21,21,63,63,21,42,21,10,10,10,10,10,0,0,0,0,0,0
1705745490,17,17,17,17,19,19,19,19,19,19,19,20,20,19,19,19,19,19,19,10,19,10,10,12,48,36,12,12,12,12,12,12,12,13,13,13,13,13,39,39,13,26,13,17,17,17,17,17,23,0,0,0,0,0
1705745505,17,17,17,17,9,9,9,9,9,9,9,15,15,9,9,9,9,9,9,10,9,10,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,18,18,17,17,17,0,0,0,0,0,0
1705745520,12,12,12,12,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,16,10,10,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,11,11,12,12,12,0,0,0,0,0,0
1705745535,19,19,19,19,14,14,14,14,14,14,14,13,13,14,14,14,14,14,14,10,14,10,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,34,17,19,19,19,19,19,0,0,0,0,0,0
1705745550,12,12,12,12,19,19,19,19,19,19,19,14,14,19,19,19,19,19,19,10,19,10,10,10,40,30,10,10,10,10,10,10,10,10,10,9,9,9,27,27,9,18,9,12,12,12,12,12,46,0,0,0,0,0
1705745565,18,18,18,18,15,15,15,15,15,15,15,20,20,15,15,15,15,15,15,10,15,10,10,18,72,54,18,18,18,18,18,18,18,18,18,17,17,17,51,51,17,36,18,18,18,18,18,18,0,0,0,0,0,0
1705745580,16,16,16,16,19,19,19,19,19,19,19,11,11,19,19,19,19,19,19,10,19,10,10,16,64,48,16,16,16,16,16,16,16,16,16,18,18,18,54,54,18,36,18,16,16,16,16,16,46,0,0,0,0,0
1705745595,14,14,14,14,9,9,9,9,9,9,9,18,18,9,9,9,9,9,9,10,9,10,10,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,14,14,14,14,14,0,0,0,0,0,0
1705745610,13,13,13,13,17,17,17,17,17,17,17,14,14,17,17,17,17,17,17,10,17,10,10,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,13,13,13,13,13,46,0,0,0,0,0
1705745625,19,19,19,19,14,14,14,14,14,14,14,15,15,14,14,14,14,14,14,10,14,10,10,15,60,45,15,15,15,15,15,15,15,13,13,13,13,13,39,39,13,26,13,19,19,19,19,19,23,0,0,0,0,0
1705745640,10,10,10,10,15,15,15,15,15,15,15,17,17,15,15,15,15,15,15,10,15,10,10,17,68,51,17,17,17,17,17,17,17,19,19,19,19,19,57,57,19,38,19,10,10,10,10,10,0,0,0,0,0,0
1705745655,15,15,15,15,14,14,14,14,14,14,14,16,16,14,14,14,14,14,14,10,14,10,10,14,56,42,14,14,14,14,14,14,13,13,13,13,13,13,39,39,13,24,12,15,15,15,15,15,0,0,0,0,0,0
1705745670,13,13,13,13,16,16,16,16,16,16,16,10,10,16,16,16,16,16,16,10,16,10,10,15,59,45,15,15,15,15,14,14,15,15,15,15,15,15,45,45,15,32,16,13,13,13,13,13,0,0,0,0,0,0
1705745685,18,18,18,18,13,13,13,13,13,13,13,14,14,13,13,13,13,13,13,10,13,10,10,11,45,33,11,11,11,11,12,12,12,12,11,11,11,11,33,33,11,22,11,18,18,18,18,18,0,0,0,0,0,0
1705745700,10,10,10,10,14,14,14,14,14,14,14,11,11,14,14,14,14,14,14,10,14,10,10,22,84,63,21,21,21,21,21,21,21,21,22,22,22,22,66,66,22,42,21,10,10,10,10,10,23,0,0,0,0,0
1705745715,18,18,18,18,18,18,18,18,18,18,18,23,23,18,18,18,18,18,18,10,18,10,10,8,36,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,9,20,10,18,18,18,18,18,23,0,0,0,0,0
1705745730,15,15,15,15,13,13,13,13,13,13,13,10,10,13,13,13,13,13,13,10,13,10,10,20,80,60,20,20,20,20,20,20,19,19,19,19,19,19,57,57,19,36,18,15,15,15,15,15,0,0,0,0,0,0
1705745745,15,15,15,15,15,15,15,15,14,14,14,17,17,16,16,16,16,16,16,10,16,10,10,11,40,30,10,10,10,10,10,10,11,11,11,11,11,11,33,33,11,24,12,15,15,15,15,15,23,0,0,0,0,0
1705745760,20,20,20,20,18,18,18,18,19,19,18,13,13,17,17,17,17,17,17,10,17,10,10,16,63,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,20,20,20,20,20,46,0,0,0,0,1
1705745775,11,11,11,11,10,10,10,10,10,10,11,17,17,10,10,10,10,10,10,10,10,10,10,16,67,51,17,17,17,17,16,16,16,16,16,16,16,16,48,48,16,30,15,11,11,11,11,11,0,0,0,0,0,0
1705745790,18,18,18,18,19,19,19,19,19,19,19,17,17,19,19,19,19,19,19,10,19,10,10,16,65,48,16,16,16,16,17,17,17,17,17,17,17,17,51,51,17,34,17,18,18,18,18,18,69,0,0,0,0,0
1705745805,14,14,14,14,19,19,19,19,19,19,19,15,15,19,19,19,19,19,19,10,19,10,10,14,55,42,14,14,14,14,13,13,13,13,13,13,13,13,39,39,13,28,14,14,14,14,14,14,23,0,0,0,0,0
1705745820,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,15,10,10,18,73,54,18,18,18,18,19,19,19,19,19,19,19,19,57,57,19,38,19,15,15,15,15,15,23,0,0,0,0,0
1705745835,16,16,16,16,14,14,14,14,14,14,14,21,21,15,15,15,14,14,14,10,14,10,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,16,16,16,16,16,0,0,0,0,0,0
1705745850,16,16,16,16,14,14,14,14,14,14,13,10,10,13,13,13,14,14,14,10,14,10,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,32,16,16,16,16,16,16,0,0,0,0,0,0
1705745865,14,14,14,14,16,16,16,16,16,16,17,17,17,16,16,16,16,16,16,10,16,10,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,14,14,14,14,14,23,0,0,0,0,0
1705745880,13,13,13,13,17,17,17,17,17,17,17,15,15,17,17,17,17,17,17,10,17,10,10,9,36,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,9,20,10,13,13,13,13,13,23,0,0,0,0,0
1705745895,16,16,16,16,10,10,10,10,10,10,10,13,13,10,10,10,10,10,10,10,10,10,10,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,16,16,16,16,16,0,0,0,0,0,0
1705745910,16,16,16,16,17,17,17,17,17,17,17,15,15,17,17,17,17,17,17,10,17,10,10,15,60,45,15,15,15,15,15,15,15,15,15,14,14,14,42,42,14,26,13,16,16,16,16,16,0,0,0,0,0,0
1705745925,15,15,15,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,14,10,10,14,56,42,14,14,14,14,14,14,14,14,14,15,15,15,45,45,15,32,16,15,15,15,15,15,0,0,0,0,0,0
1705745940,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,14,10,10,13,52,39,13,13,13,13,13,13,13,12,12,12,12,12,36,36,12,24,12,13,13,13,13,13,46,0,0,0,0,0
1705745955,13,13,13,13,15,15,15,15,15,15,15,13,13,16,16,16,16,16,16,10,15,10,10,16,64,48,16,16,16,16,16,16,16,17,17,17,17,17,51,51,17,34,17,13,13,13,13,13,0,0,0,0,0,0
1705745970,14,14,14,14,15,15,15,15,15,15,15,15,15,14,14,14,14,14,14,10,15,10,10,14,55,42,14,14,14,14,13,13,13,12,12,12,12,12,36,36,12,24,12,14,14,14,14,14,0,0,0,0,0,0
1705745985,17,17,17,17,12,12,12,12,12,12,12,14,14,12,12,12,12,12,12,10,12,10,10,13,52,39,13,13,13,13,13,13,13,14,14,14,14,14,42,42,14,28,14,17,17,17,17,17,0,0,0,0,0,0
1705746000,10,10,10,10,14,14,14,14,14,14,14,17,17,14,14,14,14,14,14,10,14,10,10,14,57,42,14,14,14,14,15,15,15,15,15,15,15,15,45,45,15,28,14,10,10,10,10,10,0,0,0,0,0,0
1705746015,22,22,22,22,17,17,17,17,17,17,17,14,14,17,17,17,17,17,17,10,17,10,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,30,15,22,22,22,22,22,0,0,0,0,0,0
1705746030,7,7,7,7,15,15,15,15,15,15,15,14,14,15,15,15,15,15,15,10,15,10,10,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,7,7,7,7,7,0,0,0,0,0,0
1705746045,21,21,21,21,12,12,12,12,12,12,12,18,18,12,12,12,12,12,12,10,12,10,10,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,21,21,21,21,21,46,0,0,0,0,0
1705746060,15,15,15,15,22,22,22,22,22,22,22,12,12,22,22,22,22,22,22,10,22,10,10,17,67,51,17,17,17,17,16,16,15,14,14,13,13,13,39,39,13,24,12,15,15,15,15,15,23,0,0,0,0,0
1705746075,15,15,15,15,12,12,12,12,12,12,12,15,15,12,12,12,12,12,12,10,12,10,10,16,65,48,16,16,16,16,17,17,18,19,19,20,20,20,60,60,20,40,20,15,15,15,15,15,23,0,0,0,0,0
1705746090,13,13,13,13,14,14,14,14,14,14,14,17,17,14,14,14,14,14,14,10,14,10,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,13,13,13,13,13,0,0,0,0,0,0
1705746105,4,4,4,4,3,3,3,3,3,3,3,5,5,3,3,3,3,3,3,2,3,2,2,1,4,3,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,4,2,4,4,4,4,4,0,0,0,0,0,0
