time,catalogue_1,front-end_2,front-end_3,user_4,front-end_5,front-end_6,front-end_7,front-end_8,front-end_9,user_10,user_11,orders_12,payment_13,orders_14,shipping_15,queue-master_16,queue-master_17,queue-master_18,queue-master_19,queue-master_20,front-end_21,front-end_22,front-end_23,user_24,front-end_25,front-end_26,user_27,front-end_28,front-end_29,front-end_30,front-end_31,front-end_32,catalogue_33,front-end_34,front-end_35,front-end_36,catalogue_37,payment_38,front-end_39,user_40,front-end_41,front-end_42,front-end_43,front-end_44,front-end_45,front-end_46,front-end_47,user_48,carts_49,user_50,user_51,user_52,user_53
1705848240,6,6,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,20,20,20,20,20,20,20,20,20,20,20,20,20,20,10,10,14,15,15,15,15,15,15,15,15,10,23,0,0,0,0
1705848255,24,24,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,10,14,14,14,14,14,14,14,14,14,10,0,0,0,0,0
1705848270,15,15,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,15,14,14,14,14,14,14,14,14,14,14,14,14,14,10,10,17,17,17,17,17,17,17,17,17,10,0,0,0,0,0
1705848285,13,13,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,10,10,14,14,14,14,14,14,14,14,14,10,0,0,0,0,0
1705848300,16,16,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,10,16,16,16,16,16,16,16,16,16,10,23,0,0,0,0
1705848315,16,16,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,10,15,15,15,15,15,15,15,15,15,10,23,0,0,0,0
1705848330,16,16,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,10,17,17,17,17,17,17,17,17,17,10,23,0,0,0,0
1705848345,13,13,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,10,17,17,17,17,17,17,17,17,17,10,23,0,0,0,0
1705848360,19,19,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,10,9,9,9,9,9,9,9,9,9,10,0,0,0,0,0
1705848375,14,14,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,10,23,23,23,23,23,23,23,23,23,10,0,0,0,0,0
1705848390,12,12,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,26,26,26,26,26,26,26,26,26,26,26,26,26,26,10,10,16,16,16,16,16,16,16,16,16,10,0,0,0,0,0
1705848405,17,17,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,13,13,13,13,13,13,13,13,13,10,0,0,0,0,0
1705848420,21,21,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,10,15,15,15,15,15,15,15,15,15,10,0,0,0,0,0
1705848435,14,14,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,19,19,19,19,19,19,19,19,19,19,19,19,19,19,10,10,17,17,17,17,17,17,17,17,17,10,0,0,0,0,0
1705848450,18,18,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,10,11,11,11,11,11,11,11,11,11,10,0,0,0,0,0
1705848465,12,12,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,10,14,14,14,14,14,14,14,14,14,10,0,0,0,0,0
1705848480,13,13,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,16,16,16,16,16,16,16,16,16,16,16,16,16,15,10,10,17,17,17,17,17,17,17,17,17,10,23,0,0,0,0
1705848495,12,12,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,20,20,19,19,19,19,19,19,19,19,19,19,19,20,10,10,19,19,19,19,19,19,19,19,19,10,46,0,0,0,0
1705848510,19,19,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,13,13,14,14,14,14,14,14,14,14,14,14,14,14,10,10,13,13,13,13,13,13,13,13,13,10,23,0,0,0,0
1705848525,18,18,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,15,15,15,15,15,14,14,14,14,10,23,0,0,0,0
1705848540,13,13,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,19,19,19,19,18,19,19,19,19,19,19,19,19,19,10,10,20,20,20,20,20,21,21,21,21,10,23,1,0,0,0
1705848555,14,14,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,10,11,11,11,11,11,11,11,11,11,10,0,0,0,0,0
1705848570,15,15,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,10,16,16,16,16,16,16,16,16,16,10,0,0,0,0,0
1705848585,15,15,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,10,19,19,19,19,19,19,19,19,19,10,0,0,0,0,0
1705848600,13,13,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0
1705848615,18,18,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,10,14,14,14,14,14,14,14,14,14,10,0,0,0,0,0
1705848630,17,17,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,15,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,10,20,20,20,20,20,20,20,20,20,10,23,0,0,0,0
1705848645,12,12,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,20,20,20,20,20,20,20,20,20,20,20,20,20,20,10,10,16,16,16,16,16,16,16,16,16,10,0,0,0,0,0
1705848660,19,19,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,10,15,15,15,15,15,15,15,15,15,10,0,0,0,0,0
1705848675,17,17,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,10,11,11,11,11,11,11,11,11,11,10,0,0,0,0,0
1705848690,15,15,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,10,19,19,19,19,19,19,19,19,19,10,46,0,0,0,0
1705848705,13,13,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,10,19,19,19,19,19,19,19,19,19,10,23,0,0,0,0
1705848720,16,16,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,10,7,7,7,7,7,7,7,7,7,10,0,0,0,0,0
1705848735,16,16,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,15,14,14,14,14,14,14,14,14,14,14,14,14,14,10,10,16,16,16,16,16,16,16,16,16,10,0,0,0,0,0
1705848750,15,15,14,55,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,17,18,18,18,18,18,18,18,18,17,17,17,17,17,10,10,21,21,21,21,21,21,21,21,21,10,0,0,1,0,0
1705848765,16,16,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,10,10,9,9,9,9,9,9,9,9,9,10,0,0,0,0,0
1705848780,11,11,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,10,14,14,14,14,14,14,14,14,14,10,0,0,0,0,0
1705848795,16,16,16,63,48,16,16,16,16,15,15,15,15,15,15,15,15,45,45,15,30,15,19,19,19,19,19,19,19,19,19,19,19,19,19,19,10,10,21,21,21,21,21,21,21,21,21,10,46,0,0,0,0
1705848810,15,15,17,69,51,17,17,17,17,18,18,18,18,18,18,18,18,54,54,18,36,18,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,10,14,14,14,14,14,14,14,14,14,10,46,0,0,0,0
1705848825,15,15,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,13,13,13,13,13,13,13,13,13,13,13,13,13,12,10,10,11,11,11,11,11,11,11,11,11,10,0,0,0,0,0
1705848840,17,17,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,18,18,18,18,18,18,17,17,17,17,17,17,17,18,10,10,20,20,20,20,20,20,20,20,20,10,0,0,0,0,0
1705848855,15,15,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,14,14,14,14,14,14,15,15,15,15,15,15,15,15,10,10,14,14,14,14,14,14,14,14,14,10,46,0,0,0,0
1705848870,19,19,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,10,13,13,13,13,13,13,13,13,13,10,23,0,0,0,0
1705848885,10,10,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,10,20,20,20,20,20,20,20,20,20,10,23,0,0,0,0
1705848900,14,14,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,10,10,13,13,13,13,13,13,13,13,13,10,0,0,0,0,0
1705848915,19,19,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,13,13,13,13,13,13,13,13,13,10,0,0,0,0,0
1705848930,18,18,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,10,18,18,18,18,18,18,18,18,18,10,0,0,0,0,0
1705848945,8,8,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,19,19,19,19,19,19,19,19,19,19,19,19,19,19,10,10,19,19,18,18,18,17,17,17,17,10,23,0,0,0,0
1705848960,20,20,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,21,21,21,21,21,21,21,21,21,21,21,21,21,21,10,10,11,11,12,12,12,13,13,13,13,10,46,0,0,0,0
1705848975,16,16,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0
1705848990,16,16,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,10,22,22,22,22,22,22,22,22,22,10,0,0,0,0,0
1705849005,10,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,10,19,19,19,19,19,19,19,19,19,10,23,0,0,0,0
1705849020,22,22,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,15,15,15,15,15,15,15,15,15,15,15,15,15,14,10,10,11,11,11,11,11,11,11,11,11,10,0,0,0,0,0
1705849035,13,13,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,20,20,20,20,20,20,20,20,20,20,20,20,20,21,10,10,17,17,17,17,17,17,17,17,17,10,46,0,0,0,0
1705849050,16,16,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,15,15,15,15,15,15,15,15,15,10,46,0,0,0,0
1705849065,17,17,14,55,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,10,14,14,14,14,14,14,14,14,14,10,0,0,0,1,0
1705849080,14,14,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,14,14,14,14,14,14,13,13,13,13,13,13,13,13,10,10,14,14,14,14,14,14,14,14,14,10,23,0,0,0,0
1705849095,20,20,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,14,14,14,14,14,14,15,15,15,15,15,15,15,15,10,10,15,15,15,15,15,15,15,15,15,9,0,0,0,0,1
1705849110,11,11,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,21,21,21,21,21,21,21,21,21,21,21,21,21,21,10,10,18,18,18,18,18,18,18,18,18,10,69,0,0,0,0
1705849125,12,12,22,88,66,22,22,22,22,22,22,22,22,22,22,22,22,66,66,22,44,22,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,10,15,15,15,15,15,15,15,15,15,10,46,0,0,0,0
1705849140,18,18,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,10,13,13,13,13,13,13,13,13,13,10,0,0,0,0,0
1705849155,16,16,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,16,16,16,16,16,16,15,14,14,14,14,14,14,14,10,10,16,16,16,16,16,16,16,16,16,10,0,0,0,0,0
1705849170,12,12,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,19,19,19,19,19,19,20,21,21,21,21,21,21,21,10,10,21,21,21,21,21,21,21,21,21,10,0,0,0,0,0
1705849185,19,19,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,15,15,15,15,15,15,15,15,15,15,15,15,15,14,10,10,15,15,15,15,15,15,15,15,15,10,0,0,0,0,0
1705849200,2,2,2,8,6,2,2,2,2,2,2,2,2,2,2,2,2,6,6,2,4,2,3,3,3,3,3,3,3,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0
