time,payment_1,front-end_2,user_3,front-end_4,front-end_5,user_6,front-end_7,catalogue_8,front-end_9,front-end_10,front-end_11,front-end_12,front-end_13,catalogue_14,front-end_15,front-end_16,front-end_17,user_18,front-end_19,user_20,front-end_21,front-end_22,front-end_23,front-end_24,front-end_25,user_26,user_27,orders_28,payment_29,orders_30,shipping_31,queue-master_32,queue-master_33,queue-master_34,queue-master_35,queue-master_36,front-end_37,front-end_38,catalogue_39,front-end_40,user_41,front-end_42,front-end_43,front-end_44,front-end_45,front-end_46,front-end_47,front-end_48,carts_49,user_50,user_51,user_52
1705609650,10,13,13,13,13,13,13,15,15,13,13,13,13,13,13,13,13,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,10,10,10,10,10,10,10,10,0,0,0,0
1705609665,10,17,17,17,17,17,17,14,14,16,16,16,16,16,16,16,16,10,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,18,18,18,18,18,18,18,18,18,46,0,0,0
1705609680,10,16,16,16,16,16,16,11,11,17,17,17,17,17,17,17,17,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,17,17,17,17,17,17,17,17,17,0,0,0,0
1705609695,10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,13,13,13,13,13,13,13,13,13,0,0,0,0
1705609710,10,11,11,11,11,11,11,19,19,11,11,11,11,11,11,11,11,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,15,15,15,15,15,15,15,15,15,0,0,0,0
1705609725,10,18,18,18,18,18,18,11,11,17,15,15,15,15,15,15,13,10,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,20,20,20,20,20,19,19,19,19,0,0,0,0
1705609740,10,16,16,16,16,16,16,16,16,17,19,19,19,19,19,19,21,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,15,15,15,15,15,16,16,16,16,0,0,0,0
1705609755,10,12,12,12,12,12,12,16,16,12,12,12,12,12,12,12,12,10,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,10,16,16,16,16,16,16,16,16,16,23,0,0,0
1705609770,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,11,11,11,11,11,11,11,11,11,46,0,0,0
1705609785,10,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,19,19,19,19,19,19,19,19,19,23,0,0,0
1705609800,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,10,10,10,10,10,10,10,10,23,0,0,0
1705609815,10,14,14,14,14,14,14,16,16,14,14,14,14,13,13,13,13,10,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,20,20,20,20,20,20,20,20,20,23,0,0,0
1705609830,10,17,17,17,17,17,17,14,14,17,17,17,17,18,18,18,18,10,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,17,17,17,17,17,17,17,17,17,0,0,0,0
1705609845,10,18,18,18,18,18,18,15,15,17,17,17,17,17,17,17,17,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,14,14,14,14,14,14,14,14,14,46,0,0,0
1705609860,10,12,12,12,12,12,12,17,17,13,13,13,13,13,13,13,13,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,16,16,16,16,16,16,16,16,16,0,0,0,0
1705609875,10,20,20,20,20,20,20,16,16,20,20,20,20,20,20,20,20,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,18,18,18,18,18,18,18,18,18,23,0,0,0
1705609890,10,15,15,15,15,15,15,13,13,15,15,15,15,15,15,15,15,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,13,13,13,13,13,13,13,13,13,0,0,0,0
1705609905,10,14,14,14,14,14,14,20,20,14,14,14,14,14,14,14,14,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,14,14,14,14,14,14,14,14,14,0,0,0,0
1705609920,10,11,11,11,11,11,11,14,14,11,11,11,11,11,11,11,11,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,16,16,16,16,16,16,16,16,16,46,0,0,0
1705609935,10,19,19,19,19,19,19,11,11,19,19,19,19,19,19,19,17,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,18,18,18,18,18,18,18,18,18,23,0,0,0
1705609950,10,15,15,15,15,15,15,17,17,15,15,15,15,15,15,15,17,10,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,10,13,13,13,13,13,13,13,13,13,23,0,0,0
1705609965,10,13,13,13,13,13,13,18,18,13,13,13,13,13,13,13,13,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,15,15,15,15,15,15,15,15,15,0,0,0,0
1705609980,10,21,21,21,21,21,21,14,14,20,20,20,20,20,20,20,20,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,19,19,19,19,19,19,19,19,19,46,0,0,0
1705609995,10,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,12,12,12,12,12,11,11,11,11,0,0,0,0
1705610010,10,12,12,12,12,12,12,20,20,12,12,12,12,12,12,12,12,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,14,14,14,14,14,15,15,15,15,0,0,0,0
1705610025,10,17,17,17,17,17,17,9,9,17,17,17,17,17,17,17,17,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,16,16,16,16,16,16,16,16,16,0,0,0,0
1705610040,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,12,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,16,16,16,16,16,16,16,16,16,46,0,0,0
1705610055,10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,20,10,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,11,11,11,11,11,11,11,11,11,0,0,0,0
1705610070,10,9,9,9,9,9,9,19,19,9,9,9,9,9,9,9,9,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,17,17,17,17,17,16,16,16,16,23,0,0,0
1705610085,10,17,17,17,17,17,17,12,12,17,17,17,17,17,17,17,17,10,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,14,14,14,14,14,15,15,15,15,23,0,0,0
1705610100,10,18,18,18,18,18,17,10,10,17,17,17,17,17,17,17,17,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,20,20,20,20,20,20,20,20,20,23,0,0,0
1705610115,10,14,14,14,14,14,15,17,17,15,15,15,15,15,15,15,15,10,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,10,10,10,10,10,10,10,10,10,23,0,0,0
1705610130,10,15,15,15,15,15,15,19,19,15,15,15,15,15,15,15,15,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,19,19,19,19,19,19,19,19,19,23,0,0,0
1705610145,10,20,20,20,20,20,20,15,15,20,20,20,20,20,20,20,20,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,18,18,18,18,18,18,18,18,18,0,0,0,0
1705610160,10,11,11,11,11,11,11,17,17,11,11,11,11,11,11,11,11,10,22,88,66,22,22,22,22,22,22,22,22,22,22,22,22,66,66,22,44,22,10,14,14,14,14,14,14,14,14,14,23,0,0,0
1705610175,10,21,21,21,21,21,21,17,17,21,21,21,21,21,21,21,21,10,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,10,16,16,16,16,16,16,16,16,16,0,0,0,0
1705610190,10,10,10,10,10,10,10,14,14,10,10,10,10,10,10,10,10,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,11,11,11,11,11,11,11,11,11,23,0,0,0
1705610205,10,16,16,16,16,16,16,13,13,16,16,16,16,16,16,16,16,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,25,25,25,25,25,25,25,25,25,23,0,0,0
1705610220,10,18,18,18,18,18,18,14,14,18,18,18,18,18,18,18,18,10,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,7,7,7,7,7,7,7,7,7,23,0,0,0
1705610235,10,15,15,15,15,15,15,24,24,14,14,14,14,14,14,14,14,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,21,21,21,21,21,20,20,20,20,23,0,0,0
1705610250,10,13,13,13,13,13,13,8,8,14,14,14,14,14,14,14,14,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,13,13,13,13,13,14,14,14,14,0,0,0,0
1705610265,10,18,18,18,18,18,18,16,16,18,18,18,18,18,18,18,18,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,15,15,15,15,15,15,15,15,15,0,0,0,0
1705610280,10,15,15,15,15,15,15,16,16,15,15,15,15,15,15,15,15,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,17,17,17,17,17,17,17,17,17,0,0,0,0
1705610295,10,16,16,16,16,16,16,14,14,16,16,16,16,16,16,16,16,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,11,11,11,11,11,11,11,11,11,23,0,0,0
1705610310,10,14,13,14,14,14,14,20,20,14,13,13,13,13,13,13,13,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,15,15,15,15,15,15,15,15,15,0,0,1,0
1705610325,10,14,14,14,14,14,14,10,10,14,15,15,15,15,15,15,15,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,17,17,17,17,17,17,17,17,17,0,0,0,0
1705610340,10,19,19,19,19,19,19,18,18,19,19,19,19,19,19,19,19,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,16,16,16,16,16,16,16,16,16,0,0,0,0
1705610355,10,11,11,11,11,11,11,16,16,11,11,11,11,11,11,11,11,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,10,10,10,10,10,10,10,10,10,0,0,0,0
1705610370,10,17,17,17,17,17,17,13,13,17,17,17,17,17,17,17,17,10,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,10,26,26,26,26,26,26,26,26,26,46,0,0,0
1705610385,10,18,18,18,18,18,18,14,14,17,17,17,17,17,17,17,17,10,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,11,11,11,11,11,11,11,11,11,23,0,0,0
1705610400,10,15,15,15,15,15,15,20,20,16,16,16,16,16,16,16,15,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,16,16,16,16,16,16,16,16,16,23,0,0,0
1705610415,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,16,16,16,16,16,16,16,16,16,0,0,0,0
1705610430,10,16,16,16,16,16,16,18,18,16,16,16,16,16,16,16,16,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,14,14,14,14,14,14,14,14,14,23,0,0,0
1705610445,10,15,15,15,15,15,15,12,12,15,15,15,15,15,15,15,15,10,18,72,54,18,18,18,18,18,18,17,17,17,17,17,17,51,51,17,34,17,10,12,12,12,12,12,12,12,12,12,23,0,0,0
1705610460,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,12,48,36,12,12,12,12,12,12,13,13,13,13,13,13,39,39,13,26,13,10,18,18,18,18,18,18,18,18,18,0,0,0,0
1705610475,10,14,14,14,14,14,14,17,17,14,14,14,14,14,14,14,14,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,11,11,11,11,11,11,11,11,11,46,0,0,0
1705610490,10,17,17,17,17,17,17,14,14,17,16,16,16,16,16,16,16,10,14,53,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,20,20,20,20,20,20,20,20,20,0,0,0,0
1705610505,10,14,14,14,14,14,14,12,12,14,15,15,15,15,15,15,15,10,15,63,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,13,13,13,13,13,13,13,13,13,0,0,0,0
1705610520,10,20,20,20,20,20,20,18,18,20,20,20,20,20,20,20,20,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,18,18,18,18,18,18,18,18,18,23,0,0,0
1705610535,10,10,10,10,10,10,10,12,12,10,10,10,10,10,10,10,9,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,12,12,12,12,12,12,12,12,12,23,0,0,0
1705610550,10,17,17,17,17,17,17,20,20,17,17,17,17,17,17,17,18,10,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,16,16,16,16,16,16,16,16,16,0,0,0,0
1705610565,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,15,57,43,15,15,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,21,21,21,21,21,21,21,21,21,46,0,0,0
1705610580,10,17,17,17,17,17,17,18,18,17,17,17,17,17,17,17,17,10,21,87,65,21,21,22,22,22,22,22,22,22,22,22,22,66,66,22,44,22,10,12,12,12,12,12,12,12,12,12,23,0,0,0
1705610595,10,12,12,12,12,12,12,15,15,12,12,12,12,12,12,12,11,10,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,15,15,15,15,15,15,15,15,15,0,0,0,0
1705610610,10,20,20,20,20,20,20,13,13,20,20,20,20,20,20,20,21,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,16,16,16,16,16,16,16,16,16,23,0,0,0
1705610625,10,15,15,15,15,15,15,19,19,15,15,15,15,15,15,15,15,10,17,68,51,17,17,17,17,16,17,17,17,17,17,17,17,51,51,17,34,17,10,13,13,13,13,13,13,13,13,13,0,0,0,1
1705610640,10,15,15,15,15,15,15,12,12,15,15,15,15,15,15,15,15,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,17,17,17,17,17,17,17,17,17,23,0,0,0
1705610655,10,14,14,14,14,14,14,16,16,14,14,14,14,14,14,14,14,10,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,16,16,16,16,16,16,16,16,16,23,0,0,0
1705610670,10,17,17,17,17,17,17,16,16,17,17,17,17,17,17,17,17,10,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,15,15,15,15,15,15,15,15,15,0,0,0,0
1705610685,10,15,15,15,15,15,15,17,17,15,15,15,15,15,15,15,15,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,15,15,15,15,15,15,15,15,15,23,0,0,0
1705610700,10,18,18,18,18,18,18,17,17,18,17,17,17,17,17,17,17,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,20,20,20,20,20,20,20,20,20,46,0,0,0
1705610715,10,14,14,14,14,14,14,12,12,14,15,15,15,15,15,15,15,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,14,14,14,14,14,14,14,14,14,23,0,0,0
1705610730,10,12,12,12,12,12,12,20,20,12,12,12,12,12,12,12,12,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,12,12,12,12,12,12,12,12,12,46,0,0,0
1705610745,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,16,16,16,16,16,15,15,15,15,0,0,0,0
1705610760,10,19,19,19,18,18,18,15,15,18,18,18,18,18,18,18,17,10,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,11,11,11,11,11,11,11,11,11,0,0,0,0
1705610775,10,15,15,15,16,16,16,10,10,16,16,16,16,16,16,16,17,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,17,17,17,17,17,18,18,18,18,0,0,0,0
1705610790,10,13,13,13,13,13,13,20,20,13,13,13,13,13,13,13,13,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,18,18,18,18,18,18,18,18,18,46,0,0,0
1705610805,10,18,18,18,18,18,18,13,13,18,18,18,18,18,18,18,18,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,13,13,13,13,13,13,13,13,13,23,0,0,0
1705610820,10,15,15,15,15,15,15,13,13,15,15,15,15,15,15,15,15,10,16,64,48,16,16,16,16,16,16,16,15,15,15,15,15,45,45,15,30,15,10,14,14,14,14,14,14,14,14,14,23,0,0,0
1705610835,10,12,12,12,12,12,12,16,16,12,12,12,12,12,12,12,12,10,14,56,42,14,14,14,14,14,14,14,15,15,15,15,15,45,45,15,30,15,10,13,13,13,13,13,13,13,13,13,46,0,0,0
1705610850,10,15,15,15,15,15,15,17,17,15,15,15,15,15,15,15,15,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,17,17,17,17,17,17,17,17,17,0,0,0,0
1705610865,10,19,19,19,19,19,19,13,13,19,19,19,19,19,19,19,19,10,15,60,45,15,15,15,15,15,15,15,14,14,14,14,14,42,42,14,28,14,10,15,15,15,15,15,15,15,15,15,23,0,0,0
1705610880,10,14,14,14,14,14,14,13,13,14,14,14,14,14,14,14,13,10,18,72,54,18,18,18,18,18,18,18,19,19,19,19,19,57,57,19,38,19,10,18,18,18,18,18,17,17,17,17,23,0,0,0
1705610895,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,1,1,0,0,0,0
