time,front-end_1,user_2,front-end_3,front-end_4,front-end_5,front-end_6,front-end_7,front-end_8,front-end_9,catalogue_10,catalogue_11,front-end_12,front-end_13,user_14,front-end_15,front-end_16,user_17,front-end_18,front-end_19,user_20,front-end_21,front-end_22,front-end_23,front-end_24,front-end_25,front-end_26,front-end_27,front-end_28,user_29,user_30,front-end_31,orders_32,catalogue_33,front-end_34,front-end_35,payment_36,orders_37,shipping_38,queue-master_39,queue-master_40,queue-master_41,queue-master_42,queue-master_43,front-end_44,front-end_45,front-end_46,payment_47,user_48,carts_49,user-db_50,carts_51,user_52
1705719945,17,17,17,17,17,17,17,17,17,10,13,13,16,16,16,16,16,16,17,68,16,51,17,17,17,17,16,16,17,17,16,17,16,16,16,17,17,17,17,17,51,51,17,34,17,16,10,10,0,0,0,0
1705719960,11,11,11,11,11,11,11,11,11,10,17,17,18,18,18,18,18,18,15,60,18,45,15,15,15,15,18,18,15,15,18,15,18,18,18,15,15,15,15,15,45,45,15,30,15,18,10,10,0,0,0,0
1705719975,20,20,20,20,20,20,20,20,20,10,15,15,14,14,14,14,14,14,19,76,14,57,19,19,19,19,14,14,19,19,14,19,14,14,14,19,19,19,19,19,57,57,19,38,19,14,10,10,46,0,0,0
1705719990,12,12,12,12,12,12,12,12,12,10,18,18,17,17,17,17,17,17,12,48,17,36,12,12,12,12,17,17,12,12,17,12,17,17,17,12,12,12,12,12,36,36,12,24,12,17,10,10,0,2,0,0
1705720005,18,18,18,18,18,18,18,18,18,10,16,16,10,10,10,10,10,10,17,68,10,51,17,17,17,17,10,10,17,17,10,17,10,10,10,17,17,17,17,17,51,51,17,34,17,10,10,10,0,0,0,0
1705720020,10,10,10,10,10,10,10,10,10,10,13,13,19,19,19,19,19,19,13,52,19,39,13,13,13,13,19,19,13,13,19,13,19,19,19,13,13,13,13,13,39,39,13,26,13,19,10,10,0,0,0,0
1705720035,24,24,24,24,24,24,24,24,24,10,15,15,18,18,18,18,18,18,17,68,18,51,17,17,17,17,17,17,17,17,16,17,16,16,16,17,17,17,17,17,51,51,17,34,17,16,10,10,23,0,0,0
1705720050,11,11,11,11,11,11,11,11,11,10,17,17,13,13,13,13,13,13,16,64,13,48,16,16,16,16,14,14,16,16,15,16,15,15,15,16,16,16,16,16,48,48,16,32,16,15,10,10,0,0,0,0
1705720065,15,15,15,15,15,15,15,15,15,10,19,19,17,17,17,17,17,17,15,60,17,45,15,15,15,15,17,17,15,15,17,15,17,17,17,15,15,15,15,15,45,45,15,30,15,17,10,10,0,0,0,0
1705720080,14,14,14,14,14,14,14,14,14,10,12,12,15,15,15,15,15,15,18,72,15,54,18,18,18,18,15,15,18,18,15,18,15,15,15,18,18,18,18,18,54,54,18,36,18,15,10,10,23,0,0,0
1705720095,14,14,14,14,14,14,14,14,14,10,17,17,13,13,13,13,13,13,14,56,13,42,14,14,14,14,13,13,14,14,13,14,13,13,13,14,14,14,14,14,42,42,14,28,14,13,10,10,23,0,0,0
1705720110,18,18,18,18,18,17,17,17,17,10,14,14,15,15,15,15,15,15,14,56,15,42,14,14,14,14,15,15,14,14,15,14,15,15,15,14,14,14,14,14,42,42,14,28,14,15,10,10,0,0,0,0
1705720125,13,13,13,13,13,14,14,14,14,10,13,13,12,12,12,12,12,12,14,56,12,42,14,14,14,14,12,12,14,14,12,14,12,12,12,14,14,14,14,14,42,42,14,28,14,12,10,10,0,0,0,0
1705720140,13,13,13,13,13,13,13,13,13,10,17,17,18,18,18,18,18,18,13,52,18,39,13,13,13,13,18,18,13,13,18,13,18,18,18,13,13,13,13,13,39,39,13,26,13,18,10,10,23,0,0,0
1705720155,17,17,17,17,17,17,17,17,17,10,14,14,18,18,18,18,18,18,18,72,16,54,18,18,18,18,16,16,18,18,16,18,16,16,16,18,18,18,18,18,54,54,18,36,18,16,10,10,0,0,0,0
1705720170,19,19,19,19,19,19,19,19,19,10,11,11,10,10,10,10,10,10,16,64,12,48,16,16,16,16,12,12,16,16,12,16,12,12,12,16,16,16,16,16,48,48,16,32,16,12,10,10,23,0,0,0
1705720185,13,13,13,13,13,13,13,13,13,10,16,16,18,18,18,18,18,18,12,48,18,36,12,12,12,12,18,18,12,12,18,12,18,18,18,12,12,12,12,12,36,36,12,24,12,18,10,10,0,0,0,0
1705720200,13,13,13,13,13,13,13,13,13,10,19,19,12,12,12,12,12,12,21,84,12,63,21,21,21,21,12,12,21,21,12,21,12,12,12,21,21,21,21,21,63,63,21,42,21,12,10,10,23,0,0,0
1705720215,13,13,13,13,13,13,13,13,13,10,16,16,11,11,11,11,11,11,11,44,11,33,11,11,11,11,10,10,11,11,10,11,10,10,10,11,11,11,11,11,33,33,11,22,11,10,10,10,0,0,0,0
1705720230,15,15,15,15,15,15,15,15,15,10,10,10,17,17,17,17,17,17,10,40,17,30,10,10,10,10,18,18,10,10,18,10,18,18,18,10,10,10,10,10,30,30,10,20,10,18,10,10,0,0,0,0
1705720245,18,18,18,18,18,18,18,18,18,10,11,11,17,17,17,17,17,17,15,60,17,45,15,15,15,15,17,17,15,15,17,15,17,17,17,15,15,15,15,15,45,45,15,30,15,17,10,10,23,0,0,0
1705720260,13,13,13,13,13,13,13,13,13,10,19,19,21,21,21,21,21,21,16,64,21,48,16,16,16,16,21,21,16,16,21,16,21,21,21,16,16,16,16,16,48,48,16,32,16,21,10,10,23,0,0,0
1705720275,18,18,18,18,18,18,18,18,18,10,20,20,8,8,8,8,8,8,21,84,8,63,21,21,21,21,8,8,21,21,8,21,8,8,8,21,21,21,21,21,63,63,21,42,21,8,10,10,46,0,0,0
1705720290,15,15,15,15,15,15,15,15,15,10,13,13,16,16,16,16,16,16,14,56,16,42,14,14,14,14,16,16,14,14,16,14,16,16,16,14,14,14,14,14,42,42,14,28,14,15,10,10,23,0,0,0
1705720305,18,18,18,18,18,18,18,18,18,10,18,18,17,17,17,17,17,17,12,48,17,36,12,12,12,12,17,17,12,12,17,12,17,17,17,12,12,12,12,12,36,36,12,24,12,18,10,10,23,0,0,0
1705720320,10,10,10,10,10,10,10,10,10,10,13,13,18,18,18,18,18,18,21,84,18,63,21,21,21,21,18,18,21,21,18,21,18,18,18,21,21,21,21,21,63,63,21,42,21,18,10,10,0,0,0,0
1705720335,18,18,18,18,18,18,18,18,18,10,16,16,9,9,9,9,9,9,15,60,9,45,15,15,15,15,9,9,15,15,9,15,9,9,9,15,15,15,15,15,45,45,15,30,15,9,10,10,23,0,0,0
1705720350,17,17,17,17,17,17,17,17,17,10,16,16,19,19,19,19,19,19,10,40,19,30,10,10,10,10,19,19,10,10,19,10,19,19,19,10,10,10,10,10,30,30,10,20,10,19,10,10,0,0,0,0
1705720365,17,17,17,17,17,17,17,17,17,10,10,10,23,23,23,23,23,23,23,92,23,69,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,69,69,23,46,23,23,10,10,23,0,0,0
1705720380,13,13,13,13,13,13,13,13,13,10,24,24,12,12,12,12,12,12,17,68,12,51,17,17,17,17,12,12,17,17,12,17,12,12,12,17,17,17,17,17,51,51,17,34,17,12,10,10,23,0,0,0
1705720395,17,17,17,17,17,17,17,17,17,10,14,14,15,15,15,15,15,15,12,48,15,36,12,12,12,12,15,15,12,12,15,12,15,15,15,12,12,12,12,12,36,36,12,24,12,15,10,10,0,0,0,0
1705720410,19,19,19,19,19,19,19,19,19,10,16,16,16,15,15,15,15,15,17,68,15,51,17,17,17,17,15,15,17,17,15,17,15,15,15,17,17,17,17,17,51,51,17,34,16,15,10,10,23,0,0,0
1705720425,13,13,13,13,13,13,13,13,13,10,15,15,15,16,16,16,16,16,16,64,16,48,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,17,16,10,10,0,0,0,0
1705720440,15,15,15,15,15,15,15,15,15,10,18,18,17,17,17,17,17,17,14,56,17,42,14,14,14,14,17,17,14,14,17,14,17,17,17,14,14,14,14,14,42,42,14,28,14,17,10,10,23,0,0,0
1705720455,13,13,13,13,13,13,13,13,13,10,15,15,11,11,11,11,11,11,15,60,11,45,15,15,15,15,11,11,15,15,11,15,11,11,11,15,15,15,15,15,45,45,15,30,15,11,10,10,0,0,0,0
1705720470,19,19,19,19,19,19,19,19,19,10,15,15,18,18,18,18,18,18,13,52,18,39,13,13,13,13,18,18,13,13,18,13,18,18,18,13,13,13,13,13,39,39,13,26,13,18,10,10,23,0,0,0
1705720485,13,13,13,13,13,13,13,13,13,10,12,12,17,17,17,17,17,17,20,80,17,60,20,20,20,20,17,17,20,20,17,20,16,15,15,20,20,20,20,20,60,60,20,40,20,15,10,10,23,0,0,0
1705720500,18,18,18,18,18,18,18,18,18,10,19,19,14,14,14,14,14,14,12,48,14,36,12,12,12,12,14,14,12,12,14,11,15,16,16,11,11,11,11,11,33,33,11,22,11,16,10,10,23,0,0,0
1705720515,16,16,16,16,16,16,16,16,16,10,13,13,18,18,18,18,18,18,17,68,18,51,17,17,17,17,18,18,17,17,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,18,10,10,23,0,0,0
1705720530,13,13,13,13,13,13,13,13,13,10,16,16,15,15,15,15,15,15,18,72,15,54,18,18,18,18,15,15,18,18,15,18,15,15,15,18,18,18,18,18,54,54,18,36,18,14,10,10,0,0,1,0
1705720545,19,19,19,19,19,19,19,19,19,10,18,18,12,12,12,12,12,12,12,48,12,36,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,13,10,10,46,0,0,0
1705720560,13,13,13,13,13,13,13,13,13,10,12,12,19,19,19,19,19,19,17,68,19,51,17,17,17,17,19,19,17,17,19,17,19,19,19,17,17,17,17,17,51,51,17,34,17,19,10,10,0,0,0,0
1705720575,17,17,17,17,17,17,17,17,17,10,18,18,14,14,14,14,14,14,17,68,14,51,17,17,17,17,14,14,17,17,14,17,14,14,14,17,17,17,17,17,51,51,17,34,17,14,10,10,23,0,0,0
1705720590,11,11,11,11,11,11,11,11,11,10,17,17,15,15,15,15,15,15,13,52,15,39,13,13,13,13,15,15,13,13,15,13,13,13,13,13,13,13,13,13,39,39,13,26,13,13,10,10,0,0,0,0
1705720605,20,20,20,20,20,20,20,20,20,10,10,10,22,22,22,22,22,22,16,64,22,48,16,16,16,16,22,22,16,16,22,16,24,24,24,16,16,16,16,16,48,48,16,32,16,24,10,10,0,0,0,0
1705720620,12,12,12,12,12,12,12,12,12,10,20,20,8,8,8,8,8,8,18,72,8,54,18,18,18,18,8,8,18,18,8,18,8,8,8,18,18,16,16,16,48,48,16,32,16,8,10,10,0,0,0,0
1705720635,14,14,14,14,14,14,14,14,14,10,14,14,17,17,17,17,17,17,12,48,17,36,12,12,12,12,17,17,12,12,17,12,17,17,17,12,12,14,14,14,42,42,14,28,14,17,10,10,0,0,0,0
1705720650,22,22,22,22,22,22,22,22,22,10,11,11,18,18,18,18,18,18,14,56,18,42,14,14,14,14,18,18,14,14,17,14,17,17,17,14,14,14,14,14,42,42,14,28,14,16,10,10,0,0,0,0
1705720665,12,12,12,12,12,12,12,12,12,10,19,19,14,14,14,14,14,14,19,76,14,57,19,19,19,19,14,14,19,19,15,19,15,15,15,19,19,19,19,19,57,57,19,38,19,16,10,10,69,0,0,0
1705720680,17,17,17,17,17,17,17,17,17,10,16,16,17,17,17,17,17,17,17,68,17,51,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,17,10,10,0,0,0,0
1705720695,15,15,15,15,15,15,15,15,15,10,17,17,10,10,10,10,10,10,15,60,10,45,15,15,15,15,10,10,15,15,10,15,10,10,10,15,15,15,15,15,45,45,15,30,15,10,10,10,23,0,0,0
1705720710,14,14,14,14,14,14,14,14,14,10,17,17,19,19,19,19,19,19,13,52,19,39,13,13,13,13,19,19,13,13,19,13,19,19,19,13,13,13,13,13,39,39,13,26,13,19,10,10,23,0,0,0
1705720725,18,18,18,18,18,18,18,18,18,10,14,14,18,17,17,17,17,17,18,72,17,54,18,18,18,18,17,17,18,18,17,18,17,17,17,18,18,18,18,18,54,54,18,36,18,17,10,10,0,0,0,0
1705720740,13,13,13,13,13,13,13,13,13,10,14,14,13,14,14,14,14,14,13,52,14,39,13,13,13,13,14,14,13,13,14,13,14,14,14,13,13,13,13,13,39,39,13,26,13,14,10,10,23,0,0,0
1705720755,15,15,15,15,15,15,15,15,15,10,17,17,11,11,11,11,11,11,17,68,11,51,17,17,17,17,11,11,17,17,11,17,11,11,11,17,17,17,17,17,51,51,17,34,17,11,10,10,0,0,0,0
1705720770,19,19,19,19,19,19,19,19,19,10,12,12,19,19,19,19,19,19,12,47,19,36,12,12,12,12,19,19,12,12,19,12,19,19,19,12,12,12,12,12,36,36,12,24,12,19,10,10,0,0,0,1
1705720785,12,12,12,12,12,12,12,12,12,10,15,15,19,19,19,19,19,19,18,72,19,54,18,18,18,18,19,19,18,18,19,18,19,19,19,18,18,18,18,18,54,54,18,36,18,19,10,10,0,0,0,0
1705720800,18,18,18,18,18,18,18,18,18,10,20,20,9,9,9,9,9,9,17,68,9,51,17,17,17,17,9,9,17,17,9,17,9,9,9,17,17,17,17,17,51,51,17,34,17,9,10,10,0,0,0,0
1705720815,12,12,12,12,12,12,12,12,12,10,13,13,19,19,19,19,19,19,9,36,19,27,9,9,9,9,19,19,9,9,19,9,19,19,19,9,9,9,9,9,27,27,9,18,9,19,10,10,0,0,0,0
1705720830,15,15,15,15,15,15,15,15,15,10,12,12,17,17,17,17,17,17,18,72,16,54,18,18,18,18,16,16,18,18,16,18,16,16,16,18,18,18,18,18,54,54,18,36,18,16,10,10,0,0,0,0
1705720845,18,18,18,18,18,18,18,18,18,10,19,19,13,13,13,13,13,13,17,68,14,51,17,17,17,17,14,14,17,17,14,17,14,14,14,17,17,17,17,17,51,51,17,34,17,13,10,10,23,0,0,0
1705720860,19,19,19,19,19,19,19,19,19,10,12,12,20,20,20,20,20,20,13,52,20,39,13,13,13,13,20,20,13,13,20,13,20,20,20,13,13,13,13,13,39,39,13,26,13,21,10,10,0,0,0,0
1705720875,10,10,10,10,10,10,10,10,10,10,19,19,14,14,14,14,14,14,21,84,14,63,21,21,21,21,14,14,21,21,14,21,14,14,14,21,21,21,21,21,63,63,21,42,21,14,10,10,0,0,0,0
1705720890,15,15,15,15,15,15,15,15,15,10,19,19,9,9,9,9,9,9,15,60,9,45,15,15,15,15,9,9,15,15,9,15,9,9,9,15,15,15,15,15,45,45,15,30,15,9,10,10,0,0,0,0
1705720905,17,17,17,17,17,17,17,17,17,10,11,11,19,19,19,19,19,19,11,44,19,33,11,11,11,11,19,19,11,11,19,11,19,19,19,11,11,11,11,11,33,33,11,22,11,19,10,10,23,0,0,0
1705720920,11,11,11,11,11,11,11,11,11,10,11,11,12,12,12,12,12,12,17,68,12,51,17,17,17,17,12,12,17,17,12,17,12,12,12,17,17,17,17,17,51,51,17,34,17,12,10,10,0,0,0,0
1705720935,21,21,21,21,21,21,21,21,21,10,20,20,15,15,15,15,15,15,11,44,15,33,11,11,11,11,15,15,11,11,15,11,15,15,15,11,11,11,11,11,33,33,11,22,11,15,10,10,46,0,0,0
1705720950,12,12,12,12,12,12,12,12,12,10,10,10,21,21,21,21,21,21,17,68,20,51,17,17,17,17,20,20,17,17,20,17,20,20,20,17,17,17,17,17,51,51,17,34,17,18,10,10,0,0,0,0
1705720965,13,13,13,13,13,13,13,13,13,10,19,19,13,13,13,13,13,13,17,68,14,51,17,17,17,17,14,14,17,17,14,17,14,14,14,17,17,17,17,17,51,51,17,34,17,16,10,10,23,0,0,0
1705720980,16,16,16,16,16,16,16,16,16,10,15,15,12,12,12,12,12,12,15,60,12,45,15,15,15,15,12,12,15,15,12,15,12,12,12,15,15,15,15,15,45,45,15,30,15,12,10,10,23,0,0,0
1705720995,21,21,21,21,21,21,21,21,21,10,15,15,20,19,19,19,19,19,13,52,19,39,13,13,13,13,19,19,13,13,19,13,19,19,19,13,13,13,13,13,39,39,13,26,13,19,10,10,0,0,0,0
1705721010,14,14,14,14,14,14,14,14,14,10,17,17,16,17,17,17,17,17,20,80,17,60,20,20,20,20,17,17,20,20,17,20,17,17,17,20,20,20,20,20,60,60,20,40,20,17,10,10,0,0,0,0
1705721025,15,15,15,15,15,15,15,15,15,10,19,19,16,16,16,16,16,16,19,76,16,57,19,19,19,19,16,16,19,19,16,19,16,16,16,19,19,19,19,19,57,57,19,38,19,16,10,10,0,0,0,0
1705721040,2,2,2,2,2,2,2,2,2,0,1,1,1,1,1,1,1,1,3,12,1,9,3,3,3,3,1,1,3,3,1,3,1,1,1,3,3,3,3,3,9,9,3,6,3,1,0,2,0,0,0,0
