time,front-end_1,user_2,front-end_3,front-end_4,user_5,front-end_6,front-end_7,front-end_8,front-end_9,front-end_10,catalogue_11,front-end_12,front-end_13,front-end_14,catalogue_15,front-end_16,user_17,front-end_18,user_19,front-end_20,front-end_21,front-end_22,front-end_23,front-end_24,user_25,user_26,orders_27,payment_28,orders_29,shipping_30,queue-master_31,queue-master_32,queue-master_33,queue-master_34,queue-master_35,front-end_36,front-end_37,front-end_38,user_39,front-end_40,front-end_41,front-end_42,front-end_43,front-end_44,front-end_45,front-end_46,catalogue_47,payment_48,user_49,carts_50,user_51,user_52
1705763250,14,14,14,14,14,14,14,14,14,14,14,14,14,14,20,20,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,15,15,15,15,15,15,15,15,15,10,10,0,0,0,0
1705763265,14,14,14,14,14,14,14,14,14,14,14,14,14,14,12,12,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,14,14,14,14,14,14,14,14,14,10,10,0,23,0,0
1705763280,17,16,16,16,16,16,16,16,16,16,16,16,16,16,14,14,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,22,22,21,21,21,21,21,21,21,10,10,0,0,0,0
1705763295,19,20,20,20,20,20,20,20,20,20,20,20,20,20,11,11,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,11,11,11,11,11,11,11,10,10,0,46,0,0
1705763310,7,7,7,7,7,7,7,7,7,7,7,7,7,7,24,24,10,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,19,19,19,19,19,19,19,19,19,10,10,0,0,0,0
1705763325,17,17,17,17,17,17,17,17,17,17,17,17,17,17,9,9,10,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,13,13,13,13,13,13,13,13,13,10,10,0,0,0,0
1705763340,16,16,16,16,16,16,16,16,16,16,16,16,16,16,19,19,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,14,14,14,14,14,14,14,14,14,10,10,0,0,0,0
1705763355,18,18,18,18,18,18,17,17,17,17,17,17,17,17,11,11,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,20,20,20,20,20,20,20,20,20,10,10,0,0,0,0
1705763370,18,18,18,18,18,18,19,19,19,19,19,19,19,19,14,14,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,12,12,12,12,12,12,12,12,12,10,10,0,0,0,0
1705763385,10,10,10,10,10,10,10,10,10,10,10,10,10,10,18,18,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0
1705763400,10,10,10,10,10,10,10,10,10,10,10,10,10,10,16,16,10,9,36,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,9,18,9,14,14,14,14,14,14,14,14,14,10,10,0,0,0,0
1705763415,20,20,20,20,20,20,20,20,20,20,20,20,20,20,13,13,10,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,19,19,19,19,19,19,19,19,19,10,10,0,23,0,0
1705763430,13,13,13,13,13,13,12,12,12,12,12,12,12,12,11,11,10,21,84,63,21,21,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,18,18,18,18,18,18,18,18,18,10,10,0,0,0,0
1705763445,18,18,18,18,18,18,19,19,19,19,19,19,19,19,19,19,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,12,12,12,12,12,12,12,12,12,10,10,0,0,0,0
1705763460,12,12,12,12,12,12,12,12,12,12,12,12,12,12,17,17,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,15,15,15,15,15,15,15,15,15,10,10,0,0,0,0
1705763475,17,17,17,17,17,17,17,17,17,17,17,17,17,17,11,11,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,15,15,15,15,15,15,15,15,15,10,10,0,0,0,0
1705763490,20,20,20,20,20,20,20,20,20,20,20,20,20,20,19,19,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,15,15,15,15,15,15,15,15,15,10,10,0,23,0,0
1705763505,9,9,9,9,9,9,9,9,9,9,9,9,9,9,14,14,10,21,84,63,21,21,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,14,14,14,14,14,14,14,14,14,10,10,0,0,0,0
1705763520,18,18,18,18,18,18,18,18,18,18,18,18,18,18,17,17,10,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,19,19,19,19,19,19,19,19,19,10,10,0,23,0,0
1705763535,14,14,14,14,14,14,14,14,14,14,14,14,14,14,8,8,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,13,13,13,13,13,13,13,13,13,10,10,0,23,0,0
1705763550,14,14,14,14,13,13,13,13,13,13,13,13,13,13,18,18,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,15,15,15,15,15,15,15,15,15,10,10,0,0,0,0
1705763565,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,10,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,16,16,16,16,16,16,16,16,16,10,10,0,23,0,0
1705763580,19,19,19,19,19,19,19,19,19,19,19,19,19,19,14,14,10,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,19,19,19,19,19,19,19,19,19,10,10,0,23,0,0
1705763595,13,13,13,13,13,13,13,13,13,13,13,13,13,12,15,15,10,23,92,69,23,23,23,23,23,23,23,23,23,23,23,23,69,69,23,46,23,15,15,15,15,15,15,15,15,15,10,10,0,46,0,0
1705763610,18,18,18,18,18,18,18,18,18,18,18,18,18,19,23,23,10,8,32,24,8,8,8,8,8,8,8,8,8,8,8,8,24,24,8,16,8,15,15,15,15,15,15,15,15,15,10,10,0,23,0,0
1705763625,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,11,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,20,20,20,20,20,20,20,20,20,10,10,0,23,0,0
1705763640,20,20,20,20,20,20,20,20,20,20,20,20,20,20,17,17,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,9,9,9,9,9,9,9,9,9,10,10,0,23,0,0
1705763655,13,13,13,13,13,13,13,13,13,13,13,13,13,13,16,16,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,18,18,18,18,18,18,18,18,18,10,10,0,23,0,0
1705763670,16,16,16,16,16,16,16,16,16,16,16,16,16,16,12,12,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,12,12,12,12,12,12,12,12,12,10,10,0,0,0,0
1705763685,15,15,15,15,15,15,15,15,15,15,15,15,15,15,18,18,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,18,18,18,18,18,18,18,18,18,10,10,0,46,0,0
1705763700,17,17,17,17,17,17,17,17,17,17,17,17,17,17,13,13,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,15,15,15,15,15,15,15,15,15,10,10,0,0,0,0
1705763715,11,11,11,11,11,11,11,11,11,11,11,11,11,11,19,19,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,15,15,15,15,15,15,15,15,15,10,10,0,0,0,0
1705763730,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,16,10,11,43,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,19,19,19,19,19,19,19,19,19,10,10,0,23,1,0
1705763745,21,21,21,21,21,21,21,21,21,21,21,21,21,21,12,12,10,22,88,66,22,22,22,22,22,22,22,22,22,22,22,22,66,66,22,44,22,16,16,16,16,16,16,16,16,16,10,10,0,69,0,0
1705763760,12,12,12,12,12,12,12,12,12,12,12,12,12,12,22,22,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,10,10,10,10,10,10,10,10,10,0,23,0,0
1705763775,16,16,16,16,16,16,16,16,16,16,16,16,16,16,15,15,10,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,18,18,18,18,18,18,18,18,18,10,10,0,0,0,0
1705763790,14,14,14,14,14,14,14,14,14,14,14,14,14,14,6,6,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,17,17,17,17,17,17,17,17,17,10,10,0,23,0,0
1705763805,13,13,13,13,13,13,13,13,13,13,13,13,13,13,20,20,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,11,11,11,11,11,11,11,11,11,10,10,0,23,0,0
1705763820,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,10,9,36,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,9,18,9,20,20,20,20,20,20,20,20,20,10,10,0,46,0,0
1705763835,18,18,18,18,18,18,18,18,18,18,18,18,18,18,12,12,10,21,84,63,21,21,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,15,15,15,15,15,15,15,15,15,10,10,0,23,0,0
1705763850,10,10,10,10,10,10,10,10,10,10,10,10,10,10,17,17,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,14,14,14,14,14,14,14,14,14,10,10,0,0,0,0
1705763865,14,14,14,14,14,14,14,14,14,14,14,14,14,14,17,17,10,11,43,32,11,11,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,14,14,14,14,14,14,14,14,14,10,10,0,23,0,0
1705763880,22,22,22,22,22,22,22,22,22,22,22,22,22,22,11,11,10,14,57,43,14,14,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,21,21,21,21,21,21,21,21,21,10,10,0,0,0,0
1705763895,12,12,12,12,12,12,12,12,12,12,12,12,12,12,18,18,10,22,88,66,22,22,22,22,22,22,22,22,22,22,22,22,66,66,22,44,22,7,7,7,7,7,7,7,7,7,10,10,0,0,0,0
1705763910,12,12,12,12,12,12,12,12,12,12,12,12,12,12,16,16,10,12,47,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,17,17,17,17,17,17,17,17,17,10,10,0,0,0,1
1705763925,21,21,21,21,21,21,21,21,21,21,21,21,21,21,11,11,10,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,20,20,20,20,20,20,20,20,20,10,10,0,0,0,0
1705763940,12,12,12,12,12,12,12,12,12,12,12,12,12,12,15,15,10,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,10,10,10,10,10,10,10,10,10,10,0,46,0,0
1705763955,13,13,13,13,13,13,12,12,12,12,12,12,12,12,21,21,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,13,13,13,13,13,13,13,13,13,10,10,0,23,0,0
1705763970,15,15,15,15,15,15,16,16,16,16,16,16,16,16,10,10,10,8,32,24,8,8,8,8,8,8,8,8,8,8,8,8,24,24,8,16,8,21,21,21,21,21,21,21,21,21,10,10,0,0,0,0
1705763985,22,22,22,22,22,22,22,22,22,22,22,22,22,22,10,10,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,13,13,13,13,13,13,13,13,13,10,10,0,23,0,0
1705764000,8,8,8,8,8,8,8,8,8,8,8,8,8,8,20,20,10,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,14,14,14,14,14,14,14,14,14,10,10,0,0,0,0
1705764015,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,15,10,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,16,16,16,16,16,16,16,16,16,10,10,0,0,0,0
1705764030,16,16,16,16,16,16,15,15,15,15,15,15,15,15,14,14,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,18,18,18,18,18,18,18,18,18,10,10,0,23,0,0
1705764045,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,11,11,11,11,11,11,11,11,11,10,10,0,0,0,0
1705764060,11,11,11,11,11,11,11,11,11,11,11,11,11,11,17,17,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,17,17,17,17,17,17,17,17,17,10,10,0,0,0,0
1705764075,23,23,23,23,23,23,23,23,23,23,23,23,23,23,12,12,10,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,16,16,16,16,16,16,16,16,16,10,10,0,0,0,0
1705764090,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,12,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,11,11,11,11,11,11,11,11,11,10,10,0,23,0,0
1705764105,11,11,11,11,11,11,11,11,11,11,11,11,11,11,22,22,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,15,15,15,15,15,14,14,14,14,10,10,0,0,0,0
1705764120,19,19,19,19,19,19,19,19,19,19,19,19,19,19,13,13,10,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,17,17,17,17,17,18,18,18,18,10,10,0,0,0,0
1705764135,17,17,17,17,17,17,17,17,17,17,17,17,17,17,11,11,10,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,17,17,17,17,17,17,17,17,17,10,10,0,23,0,0
1705764150,14,14,14,14,14,14,14,14,14,14,14,14,14,14,18,18,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,12,12,12,12,12,12,12,12,12,10,10,0,0,0,0
1705764165,14,14,14,14,14,14,13,13,13,13,13,13,13,13,17,17,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,19,19,19,19,19,19,19,19,19,10,10,0,23,0,0
1705764180,16,16,16,16,16,16,17,17,17,17,17,17,17,17,13,13,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,16,16,16,16,16,16,16,16,16,10,10,0,23,0,0
1705764195,13,13,13,13,13,13,13,13,13,13,13,13,13,13,20,20,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,13,13,13,13,13,13,13,13,13,10,10,0,0,0,0
1705764210,15,15,15,15,15,15,15,15,15,15,15,15,15,15,13,13,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,17,17,17,17,17,17,17,17,17,10,10,0,23,0,0
1705764225,20,20,20,20,20,20,20,20,20,20,20,20,20,20,12,12,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,16,16,16,16,16,16,16,16,16,10,10,0,0,0,0
1705764240,14,14,14,14,14,14,14,14,14,14,14,14,14,14,19,19,10,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,12,12,12,12,12,12,12,12,12,10,10,0,0,0,0
1705764255,13,13,13,13,13,13,13,13,13,13,13,13,13,13,17,17,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,12,12,12,12,12,12,12,12,12,10,10,0,0,0,0
1705764270,18,18,18,18,18,18,18,18,18,18,18,18,18,18,11,11,10,9,36,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,9,18,9,22,22,22,22,22,22,22,22,22,10,10,0,0,0,0
1705764285,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,16,10,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0
1705764300,7,7,7,7,7,7,7,7,7,6,6,6,6,5,21,21,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,11,11,11,11,11,11,11,11,11,10,10,0,0,0,0
1705764315,22,22,22,22,22,22,22,22,22,23,23,23,23,24,8,8,10,7,28,21,7,7,7,7,7,7,7,7,7,7,7,7,21,21,7,14,7,25,25,25,25,25,24,24,24,24,10,10,0,23,0,0
1705764330,16,16,16,16,16,16,16,16,16,16,16,16,16,16,12,12,10,23,92,69,23,23,23,23,23,23,23,23,23,23,23,23,69,69,23,46,23,16,16,16,16,16,17,17,17,17,10,10,0,23,0,0
1705764345,14,14,14,14,14,14,14,14,14,14,14,14,14,14,19,19,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,8,8,8,8,8,8,8,8,8,10,10,0,0,0,0
1705764360,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,18,10,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,17,17,17,17,17,17,17,17,17,10,10,0,0,0,0
1705764375,17,17,17,17,17,17,17,17,17,17,17,17,17,17,13,13,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,17,17,17,17,17,17,17,17,17,10,10,0,0,0,0
1705764390,10,10,10,10,10,10,10,10,10,10,10,10,10,10,17,17,10,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,14,14,14,14,14,14,14,14,14,10,10,0,46,0,0
1705764405,9,9,9,9,9,9,9,9,9,9,9,9,9,9,12,12,4,2,8,6,2,2,2,2,2,2,2,2,2,2,2,2,6,6,2,4,2,10,10,10,10,10,10,10,10,10,6,6,0,0,0,0
