time,user_1,front-end_2,front-end_3,front-end_4,front-end_5,front-end_6,user_7,user_8,orders_9,front-end_10,payment_11,orders_12,shipping_13,queue-master_14,queue-master_15,queue-master_16,queue-master_17,queue-master_18,front-end_19,front-end_20,front-end_21,user_22,front-end_23,front-end_24,front-end_25,front-end_26,front-end_27,front-end_28,front-end_29,catalogue_30,front-end_31,catalogue_32,payment_33,front-end_34,front-end_35,user_36,front-end_37,front-end_38,user_39,front-end_40,front-end_41,front-end_42,front-end_43,front-end_44,catalogue_45,front-end_46,front-end_47,user_48,carts_49,user-db_50,user-db_51,user-db_52,user-db_53,user-db_54,user-db_55,user-db_56
1705786455,53,40,14,14,13,13,13,13,13,14,13,13,13,13,13,39,39,13,26,13,20,20,20,20,20,20,20,20,20,13,13,10,10,14,12,12,12,12,12,12,13,13,13,13,13,13,13,10,23,0,0,0,0,0,0,0
1705786470,59,44,14,14,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,9,9,9,9,9,9,9,9,9,14,14,10,10,14,15,15,15,15,15,15,15,15,15,15,15,15,15,10,23,0,0,0,0,0,0,0
1705786485,52,39,13,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,15,15,15,15,15,15,15,15,15,17,17,10,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,0,0,0,0,0,0,0,0
1705786500,60,45,15,15,15,15,15,15,15,16,15,15,15,15,15,45,45,15,30,15,17,17,17,17,17,17,17,17,17,10,10,10,10,15,16,16,16,16,16,16,16,16,16,16,16,16,16,10,23,0,0,0,0,0,0,0
1705786515,64,48,16,16,16,16,16,16,16,19,16,16,16,16,16,48,48,16,32,16,18,18,18,18,18,18,18,18,18,14,14,10,10,16,19,19,19,19,19,19,19,19,19,19,19,19,19,10,23,0,0,0,0,0,0,0
1705786530,65,48,16,16,16,16,16,16,16,12,16,16,16,16,16,48,48,16,32,16,12,12,12,12,12,12,12,12,12,18,18,10,10,17,13,13,13,13,13,13,13,13,13,13,13,13,13,10,23,0,0,0,0,0,0,0
1705786545,55,42,14,14,14,14,14,14,14,15,14,14,14,14,14,42,42,14,28,14,14,14,14,14,14,14,14,14,14,14,14,10,10,13,14,14,14,14,14,14,14,14,14,14,14,14,14,10,0,0,0,0,0,0,0,0
1705786560,56,42,14,14,14,14,14,14,14,16,14,14,14,14,14,42,42,14,28,14,17,17,17,17,17,17,17,17,17,15,15,10,10,14,16,16,16,16,16,16,16,16,16,16,16,16,16,10,23,0,0,0,0,0,0,0
1705786575,68,51,17,17,17,17,17,17,17,13,17,17,17,17,17,51,51,17,34,17,12,12,12,12,12,12,12,12,12,13,13,10,10,17,13,13,13,13,13,13,13,13,13,13,13,13,13,10,0,0,0,0,0,0,0,0
1705786590,60,45,15,15,15,15,15,15,15,13,15,15,15,15,15,45,45,15,30,15,18,18,18,18,18,18,18,18,18,21,21,10,10,15,13,13,13,13,13,13,13,13,13,13,13,13,13,10,0,0,0,0,0,0,0,0
1705786605,60,45,15,15,15,15,15,15,15,20,15,15,15,15,15,45,45,15,30,15,17,17,17,17,17,17,17,17,17,9,9,10,10,15,20,20,20,20,20,20,20,20,20,20,20,20,20,10,46,0,0,0,0,0,0,0
1705786620,76,57,19,19,19,19,19,19,19,15,19,19,19,19,19,57,57,19,38,19,14,14,14,14,14,14,14,14,14,19,19,10,10,19,15,15,15,15,15,15,15,15,15,15,15,15,15,10,0,0,0,0,0,0,0,0
1705786635,44,33,11,11,11,11,11,11,11,16,11,11,11,11,11,33,33,11,22,11,17,17,17,17,17,17,17,17,17,17,17,10,10,11,16,16,16,16,16,16,16,16,16,16,16,16,16,10,0,0,0,0,0,0,0,0
1705786650,68,51,17,17,17,17,17,17,17,20,17,17,17,17,17,51,51,17,34,17,19,19,19,19,19,19,19,19,19,15,15,10,10,17,20,20,20,20,20,20,20,20,20,20,20,20,20,10,0,0,0,0,0,0,0,0
1705786665,76,57,19,19,19,19,19,19,19,14,19,19,19,19,19,57,57,19,38,19,10,10,10,10,10,10,10,10,10,14,14,10,10,19,14,14,14,14,14,14,14,14,14,14,14,14,14,10,0,0,0,0,0,0,0,0
1705786680,56,42,14,14,14,14,14,14,14,12,14,14,14,14,14,42,42,14,28,14,19,19,19,19,19,19,19,19,19,21,21,10,10,14,13,13,13,13,13,13,13,13,13,13,12,12,12,10,0,0,0,0,0,0,0,0
1705786695,56,42,14,14,14,14,14,14,14,19,14,14,14,14,14,42,42,14,28,14,18,18,18,18,18,18,18,18,18,11,11,10,10,14,18,18,18,18,18,18,18,18,18,18,19,19,19,10,23,0,0,0,0,0,0,0
1705786710,72,54,18,18,18,18,18,18,18,16,18,18,18,18,18,54,54,18,36,18,12,12,12,12,12,12,12,12,12,19,19,10,10,18,16,16,16,16,16,16,16,16,16,16,16,16,16,10,23,0,0,0,0,0,0,0
1705786725,64,48,16,16,16,16,16,16,16,17,16,16,16,16,16,48,48,16,32,16,17,17,17,17,17,17,17,17,17,13,13,10,10,16,17,17,17,17,17,17,17,17,17,17,17,17,17,10,23,0,0,0,0,0,0,0
1705786740,72,54,18,18,18,18,18,18,18,9,18,18,18,18,18,54,54,18,36,18,11,11,11,11,11,11,11,11,11,18,18,10,10,18,9,9,9,9,9,9,9,9,9,9,9,9,9,10,23,0,0,0,0,0,0,0
1705786755,28,21,7,7,7,7,7,7,7,14,7,7,7,7,7,21,21,7,14,7,16,16,16,16,16,16,16,16,16,15,15,10,10,7,15,15,15,15,15,15,14,14,14,14,14,14,14,10,23,0,0,0,0,0,0,0
1705786770,68,51,17,17,17,17,17,17,17,16,17,17,17,17,17,51,51,17,34,17,18,18,18,18,18,18,18,18,18,9,9,10,10,17,15,15,15,15,15,15,16,16,16,16,16,16,16,10,23,0,0,0,0,0,0,0
1705786785,76,57,19,19,19,19,19,19,19,18,19,19,19,19,19,57,57,19,38,19,11,11,11,11,11,11,11,11,11,18,18,10,10,19,18,18,18,18,18,18,18,18,18,18,18,18,18,10,0,0,0,0,0,0,0,0
1705786800,48,36,12,12,12,12,12,12,12,11,12,12,12,12,12,36,36,12,24,12,17,17,17,17,17,17,17,17,17,16,16,10,10,12,11,11,11,11,11,11,11,11,11,11,11,11,11,10,0,0,0,0,0,0,0,0
1705786815,52,39,13,13,13,13,13,13,13,19,13,13,13,13,13,39,39,13,26,13,14,14,14,14,14,13,13,13,13,16,15,10,10,13,19,19,19,19,19,19,19,19,19,19,19,19,19,10,46,0,0,0,0,0,0,0
1705786830,76,57,19,19,19,19,19,19,19,16,19,19,19,19,19,57,57,19,38,19,14,14,14,14,14,15,15,15,15,14,15,10,10,19,16,16,16,16,16,16,16,16,16,16,16,16,16,10,0,0,0,0,0,0,0,0
1705786845,56,42,14,14,14,14,14,14,14,12,14,14,14,14,14,42,42,14,28,14,12,12,12,12,12,12,12,12,12,14,14,10,10,14,12,12,12,12,12,12,12,12,12,12,12,12,12,10,23,0,0,0,0,0,0,0
1705786860,52,39,13,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,21,21,21,21,21,21,21,21,21,16,16,10,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,0,0,0,0,0,0,0,0
1705786875,80,60,20,20,20,20,20,20,20,21,20,20,20,20,20,60,60,20,40,20,15,15,15,15,15,15,15,15,15,13,13,10,10,20,21,21,21,21,21,21,21,21,21,21,21,21,21,10,46,0,0,0,0,0,0,0
1705786890,56,42,14,14,14,14,14,14,14,11,14,14,14,14,14,42,42,14,28,14,10,10,10,10,10,10,10,10,10,18,18,10,10,14,11,11,11,11,11,11,11,11,11,11,11,11,11,10,23,0,0,0,0,0,0,0
1705786905,44,33,11,11,11,11,11,11,11,17,11,11,11,11,11,33,33,11,22,11,24,24,24,24,24,24,24,24,24,16,16,10,10,11,17,17,17,17,17,17,17,17,17,17,17,17,17,10,23,0,0,0,0,0,0,0
1705786920,68,51,17,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,14,14,14,14,14,14,14,14,14,14,14,10,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,0,0,0,0,0,0,0,0
1705786935,76,57,19,19,19,19,19,19,19,17,19,19,19,19,19,57,57,19,38,19,14,14,14,14,14,14,14,14,14,18,18,10,10,19,17,17,17,17,17,17,17,17,17,17,17,17,17,10,23,0,0,0,0,0,0,0
1705786950,60,45,15,15,15,15,15,15,15,17,15,15,15,15,15,45,45,15,30,15,17,17,17,17,17,17,17,17,17,16,16,10,10,15,17,17,17,17,17,17,17,17,17,17,17,17,17,10,0,0,0,0,0,0,0,0
1705786965,72,54,18,18,18,18,18,18,18,13,18,18,17,17,17,51,51,17,34,17,16,16,16,16,16,16,16,16,16,14,14,10,10,18,13,13,13,13,13,13,13,13,13,13,13,13,13,10,46,0,0,0,0,0,0,0
1705786980,40,30,10,10,10,10,10,10,10,14,10,10,11,11,11,33,33,11,22,11,14,14,14,14,14,14,14,14,14,19,19,10,10,10,14,14,14,14,14,14,14,14,14,14,14,14,14,10,0,0,0,0,0,0,0,0
1705786995,64,48,16,16,16,16,16,16,16,19,16,16,16,16,16,48,48,16,32,16,16,16,16,16,16,15,15,15,15,13,13,10,10,16,19,19,19,19,19,19,19,19,19,19,19,19,19,10,0,0,0,0,0,0,0,0
1705787010,64,48,16,16,16,16,16,16,16,15,16,16,16,16,16,48,48,16,32,16,17,17,17,17,17,18,18,18,18,13,13,10,10,16,15,15,15,15,15,15,15,15,15,15,15,15,15,10,0,0,0,0,0,0,0,0
1705787025,64,48,16,16,16,16,16,16,16,18,16,16,16,16,16,48,48,16,32,16,15,15,15,15,15,15,15,15,15,16,16,10,10,16,18,18,18,18,18,18,18,18,18,18,18,18,18,10,23,0,0,0,0,0,0,0
1705787040,80,60,20,20,20,20,20,20,20,9,20,20,20,20,20,60,60,20,40,20,11,11,11,11,11,11,11,11,11,16,16,10,10,20,9,9,9,9,9,9,9,9,9,9,9,9,9,10,0,0,0,0,0,0,0,0
1705787055,32,24,8,8,8,8,8,8,8,15,8,8,8,8,8,24,24,8,16,8,17,17,17,17,17,17,17,17,17,17,17,10,10,8,16,16,16,16,16,16,15,15,15,15,15,15,15,10,0,0,0,0,0,0,0,0
1705787070,72,54,18,18,18,18,18,18,18,17,18,18,18,18,18,54,54,18,36,18,18,18,18,18,18,18,18,18,18,12,12,10,10,18,17,17,17,17,17,17,17,17,17,17,17,17,17,10,23,0,0,0,0,0,0,0
1705787085,68,51,17,17,17,17,17,17,17,16,17,17,17,17,17,51,51,17,34,17,7,7,7,7,7,7,7,7,7,16,16,10,10,17,15,15,15,15,15,15,16,16,16,16,16,16,16,10,23,0,0,0,0,0,0,0
1705787100,56,42,14,14,14,14,14,14,13,11,13,13,13,13,13,39,39,13,26,13,20,20,20,20,20,20,20,20,20,17,17,10,10,14,11,11,11,11,11,11,11,11,11,11,11,11,11,10,0,0,0,0,0,0,0,0
1705787115,44,33,11,11,11,11,11,11,12,18,12,12,12,12,12,36,36,12,24,12,15,15,15,15,15,15,15,15,15,13,13,10,10,11,19,19,19,19,19,19,19,18,18,18,18,18,18,10,0,1,1,0,0,0,0,0
1705787130,76,57,19,19,19,19,19,19,19,15,19,19,19,19,19,57,57,19,38,19,15,15,15,15,15,15,15,15,15,15,15,10,10,19,14,14,14,14,14,14,14,15,15,15,15,15,15,10,0,0,0,0,0,0,0,0
1705787145,56,42,14,14,14,14,14,14,14,15,14,14,14,14,14,42,42,14,28,14,14,14,14,14,14,13,13,13,13,17,17,10,10,14,15,15,15,15,15,15,15,15,15,15,15,15,15,10,0,0,0,0,0,0,0,0
1705787160,68,51,17,17,17,17,17,17,17,12,17,17,17,17,17,51,51,17,34,17,13,13,13,13,13,14,14,14,14,14,14,10,10,17,12,12,12,12,12,12,12,12,12,12,12,12,12,10,69,0,0,0,0,0,0,0
1705787175,48,36,12,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,12,12,12,12,12,12,12,12,12,14,14,10,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,23,0,0,0,0,0,0,0
1705787190,44,33,11,11,11,11,11,11,11,21,11,11,11,11,11,33,33,11,22,11,22,22,22,22,22,22,22,22,22,12,12,10,10,11,21,21,21,21,21,21,21,21,21,21,21,21,21,10,0,2,2,1,1,0,0,0
1705787205,64,48,16,16,16,16,16,16,16,13,16,16,16,16,16,48,48,16,32,16,14,14,14,14,14,14,14,14,14,12,12,10,10,16,13,13,13,13,13,13,13,13,13,13,13,13,13,10,0,1,1,0,0,0,0,0
1705787220,80,60,20,20,20,20,20,20,20,16,20,20,20,20,20,60,60,20,40,20,11,11,11,11,11,11,11,11,11,20,20,10,10,20,16,16,16,16,16,16,16,16,16,16,16,16,16,10,0,0,0,0,0,0,0,0
1705787235,56,42,14,14,14,14,14,14,14,11,14,14,14,14,14,42,42,14,28,14,19,19,19,19,19,19,19,19,19,14,14,10,10,14,11,11,11,11,11,11,11,11,11,11,11,11,11,10,0,0,0,0,0,0,0,0
1705787250,48,36,12,12,12,12,12,12,12,17,12,12,12,12,12,36,36,12,24,12,14,14,14,14,14,14,14,14,14,13,13,10,10,12,17,17,17,17,17,17,17,17,17,17,17,17,17,10,23,0,0,0,0,0,0,0
1705787265,64,48,16,16,16,16,16,16,16,13,16,16,16,16,16,48,48,16,32,16,13,13,13,13,13,13,13,13,13,17,17,10,10,16,14,14,14,14,14,14,13,13,13,13,13,13,13,10,23,0,0,1,1,0,0,0
1705787280,60,45,15,15,15,15,15,15,15,14,15,15,15,15,15,45,45,15,30,15,14,14,14,14,14,14,14,14,14,12,12,10,10,15,13,13,13,13,13,13,14,14,14,14,14,14,14,10,23,0,0,0,0,0,0,0
1705787295,60,45,15,15,15,15,15,15,15,19,15,15,15,15,15,45,45,15,30,15,21,21,21,21,21,21,21,21,21,15,15,10,10,15,19,19,19,19,19,19,19,19,19,19,19,19,19,10,46,0,0,0,0,0,0,0
1705787310,76,57,19,19,19,19,19,19,19,14,19,19,19,19,19,57,57,19,38,19,9,9,9,9,9,9,9,9,9,21,21,10,10,19,14,14,14,14,14,14,14,14,14,14,14,14,14,10,0,0,0,0,0,0,0,0
1705787325,56,42,14,14,14,14,14,14,14,21,14,14,14,14,14,42,42,14,28,14,21,21,21,21,21,21,21,21,21,15,15,10,10,14,21,21,21,21,21,21,21,21,21,21,21,21,21,10,23,0,0,0,0,0,0,0
1705787340,60,45,15,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,16,16,16,16,16,16,16,16,16,13,13,10,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,23,0,0,0,0,0,0,0
1705787355,64,48,16,16,16,16,16,16,16,14,16,16,16,16,16,48,48,16,32,16,15,15,15,15,15,15,15,15,15,18,18,10,10,16,14,14,14,14,14,14,14,14,14,14,14,14,14,10,23,0,0,0,0,0,0,0
1705787370,64,48,16,16,16,16,16,16,16,13,16,16,16,16,16,48,48,16,32,16,14,14,14,14,14,14,14,14,14,15,15,10,10,16,13,13,13,13,13,13,13,13,13,13,13,13,13,10,23,0,0,0,0,0,0,0
1705787385,48,36,12,12,12,12,12,12,12,16,12,12,12,12,12,36,36,12,24,12,14,14,14,14,14,14,14,14,14,17,17,10,10,12,16,16,16,16,16,16,16,16,16,16,16,16,16,10,46,0,0,0,0,0,0,0
1705787400,80,60,20,20,20,20,20,20,20,16,20,20,20,20,20,60,60,20,40,20,14,14,14,14,14,14,14,14,14,7,7,10,10,20,16,16,16,16,16,16,16,16,16,16,16,16,16,10,0,0,0,0,0,0,0,0
1705787415,52,39,13,13,13,13,13,13,13,14,13,13,13,13,13,39,39,13,26,13,22,22,22,22,22,22,22,22,22,21,21,10,10,13,14,14,14,14,14,14,14,14,14,14,14,14,14,10,0,0,0,0,0,0,0,0
1705787430,68,51,17,17,17,17,17,17,17,18,17,17,17,17,17,51,51,17,34,17,14,14,14,14,14,14,14,14,14,14,14,10,10,17,19,19,19,19,19,19,19,18,18,18,18,18,18,10,23,0,0,0,0,0,0,0
1705787445,64,48,16,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,15,15,15,15,15,14,14,14,14,21,21,10,10,16,15,15,15,15,15,15,15,16,16,16,16,16,16,10,0,0,0,0,0,0,0,0
1705787460,60,45,15,15,15,15,15,15,15,13,15,15,15,15,15,45,45,15,30,15,11,11,11,11,11,12,12,12,12,11,11,10,10,15,13,13,13,13,13,13,13,13,13,13,13,13,13,10,0,0,0,0,0,0,0,0
1705787475,48,36,12,12,12,12,12,12,12,14,12,12,12,12,12,36,36,12,24,12,17,17,17,17,17,17,17,17,17,18,18,10,10,12,14,14,14,14,14,14,14,14,14,14,14,14,14,10,0,0,0,0,0,1,1,0
1705787490,60,45,15,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,14,14,14,14,14,14,14,14,14,11,11,10,10,15,16,16,15,15,15,15,15,15,15,15,15,15,15,10,23,0,0,1,1,0,1,1
1705787505,60,45,15,15,15,15,15,15,15,19,15,15,15,15,15,45,45,15,30,15,17,17,17,17,17,17,17,17,17,18,18,10,10,15,18,18,19,19,19,19,19,19,19,19,19,19,19,10,23,0,0,0,0,0,0,0
1705787520,80,60,20,20,20,20,20,20,20,13,20,20,20,19,19,57,57,19,38,19,14,14,14,14,14,14,14,14,14,14,14,10,10,20,13,13,13,13,13,13,13,13,13,13,13,13,13,10,46,0,0,0,0,0,0,0
1705787535,52,39,13,13,13,13,13,13,13,13,13,13,13,14,14,42,42,14,28,14,21,21,21,21,21,21,21,21,21,18,18,10,10,13,14,14,14,14,14,14,14,14,14,14,14,14,14,10,0,0,0,0,0,0,0,0
1705787550,52,39,13,13,13,13,13,13,13,21,13,13,13,13,13,39,39,13,26,13,11,11,11,11,11,11,11,11,11,14,14,10,10,13,20,20,20,20,20,20,20,20,20,20,20,20,20,10,0,0,0,0,0,0,0,0
1705787565,72,54,18,18,18,18,18,18,18,14,18,18,18,18,18,54,54,18,36,18,17,17,17,17,17,17,17,17,17,21,21,10,10,18,14,14,14,14,14,14,14,14,14,14,14,14,14,10,23,0,0,0,0,0,0,0
1705787580,60,45,15,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,17,17,17,17,17,17,17,17,17,10,10,10,10,15,16,16,16,16,16,16,16,16,16,16,16,16,16,10,0,0,0,1,1,0,0,0
1705787595,72,54,18,18,18,18,18,18,18,17,18,18,18,18,18,54,54,18,36,18,15,15,15,15,15,15,15,15,15,14,14,10,10,18,16,16,16,16,16,16,16,16,16,16,16,16,16,10,0,0,0,0,0,0,0,0
1705787610,64,48,16,16,16,16,16,16,16,14,16,16,16,16,16,48,48,16,32,16,13,13,13,13,13,13,13,13,13,17,17,10,10,16,14,14,14,14,14,14,14,14,14,14,14,14,14,10,0,0,0,0,0,0,0,0
1705787625,60,45,15,15,15,15,15,15,15,13,15,15,15,15,15,45,45,15,30,15,18,18,18,18,18,18,18,18,18,18,18,10,10,15,13,13,13,13,13,13,13,13,13,13,13,13,13,10,0,0,0,0,0,0,0,0
1705787640,52,39,13,13,13,13,13,13,13,18,13,13,13,13,13,39,39,13,26,13,14,14,14,14,14,14,14,14,14,13,13,10,10,13,18,18,18,18,18,18,18,18,18,18,18,18,18,10,0,0,0,0,0,0,0,0
1705787655,60,45,15,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,15,15,15,15,15,15,15,15,15,16,16,10,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,0,0,0,1,1,0,0,0
1705787670,69,54,18,18,18,18,17,17,18,14,17,17,17,17,17,51,51,17,34,17,13,13,13,13,13,13,13,13,13,12,12,10,10,18,14,14,14,14,14,14,14,14,14,14,14,14,14,10,0,1,1,0,0,0,0,0
1705787685,51,36,12,12,12,12,13,13,12,17,13,13,13,13,13,39,39,13,26,13,19,19,19,19,19,19,19,19,19,21,21,10,10,12,17,17,17,17,17,17,17,17,17,17,17,17,17,10,0,0,0,0,0,0,1,1
1705787700,60,45,15,15,15,15,15,15,15,16,15,15,15,15,15,45,45,15,30,15,16,16,16,16,16,16,16,16,16,9,9,10,10,15,18,18,18,18,18,18,18,18,18,18,18,18,18,10,23,0,0,0,0,0,0,0
1705787715,72,54,18,18,18,18,18,18,18,15,18,18,18,18,18,54,54,18,36,18,13,13,13,13,13,13,13,13,13,20,20,10,10,18,14,14,14,14,14,14,13,13,13,13,13,13,13,10,23,0,0,0,0,0,0,0
1705787730,44,33,11,11,11,11,11,11,11,17,11,11,11,11,11,33,33,11,22,11,17,17,17,17,17,16,16,16,16,18,18,10,10,11,16,16,16,16,16,16,17,17,17,17,17,17,17,10,46,0,0,0,0,0,0,0
1705787745,68,51,17,17,17,17,17,17,17,10,17,17,17,17,17,51,51,17,34,17,10,10,10,10,10,11,11,11,11,5,5,8,8,17,10,10,10,10,10,10,10,10,10,10,10,10,10,8,0,0,0,0,0,0,0,0
