time,front-end_1,front-end_2,front-end_3,front-end_4,catalogue_5,front-end_6,front-end_7,front-end_8,front-end_9,front-end_10,user_11,user_12,front-end_13,front-end_14,front-end_15,front-end_16,front-end_17,front-end_18,front-end_19,front-end_20,catalogue_21,front-end_22,front-end_23,front-end_24,front-end_25,user_26,user_27,orders_28,payment_29,orders_30,shipping_31,queue-master_32,queue-master_33,queue-master_34,queue-master_35,queue-master_36,front-end_37,front-end_38,payment_39,catalogue_40,front-end_41,front-end_42,user_43,front-end_44,front-end_45,user_46,front-end_47,user_48,carts_49,user_50,user_51
1705740420,8,8,8,8,8,8,8,8,12,20,20,48,20,20,20,36,12,12,12,12,10,20,20,20,20,12,12,12,12,12,12,12,12,36,36,12,24,12,10,19,19,8,8,8,8,8,8,10,0,0,0
1705740435,21,21,21,21,21,21,21,21,12,11,11,48,11,11,11,36,12,12,12,12,10,11,11,11,11,12,12,12,11,11,11,11,11,33,33,11,22,11,10,15,15,21,21,21,21,21,21,10,0,0,0
1705740450,15,15,15,15,15,15,15,15,21,16,16,84,16,16,16,63,21,21,21,21,10,16,16,16,16,21,21,21,22,22,22,22,22,66,66,22,44,22,10,15,15,15,15,15,15,15,15,10,0,0,0
1705740465,11,11,11,11,11,11,11,11,13,16,16,52,16,16,16,39,13,13,13,13,10,16,16,16,16,13,13,13,13,13,13,13,13,39,39,13,26,13,10,16,16,11,11,11,11,11,11,10,23,0,0
1705740480,17,17,17,17,17,17,17,17,15,17,17,60,17,17,17,45,15,15,15,15,10,17,17,17,17,15,15,15,15,15,15,15,15,45,45,15,30,15,10,14,14,17,17,17,17,17,17,10,0,0,0
1705740495,22,22,22,22,22,22,22,22,15,16,16,60,16,16,16,45,15,15,15,15,10,16,16,16,16,15,15,15,15,15,15,15,15,45,45,15,30,15,10,14,14,22,22,22,22,22,22,10,0,0,0
1705740510,11,11,11,11,11,11,11,11,20,11,11,80,11,11,11,60,20,20,20,20,10,11,11,11,11,20,20,20,20,20,20,20,20,60,60,20,40,20,10,17,17,11,11,11,11,11,11,10,0,0,0
1705740525,14,14,14,14,14,14,14,14,10,17,17,40,17,17,17,30,10,10,10,10,10,17,17,17,17,10,10,10,10,10,10,10,10,30,30,10,20,10,10,20,20,14,14,14,14,14,14,10,23,0,0
1705740540,14,14,14,14,14,14,14,14,15,17,17,56,17,17,17,42,14,14,14,14,10,17,17,17,17,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,10,14,14,14,14,14,14,10,23,0,0
1705740555,13,13,13,13,13,13,13,13,16,12,12,68,12,12,12,51,17,17,17,17,10,12,12,12,12,17,17,17,17,17,17,17,17,51,51,17,34,17,10,13,13,15,15,15,15,15,15,10,46,0,0
1705740570,15,15,15,15,15,15,15,15,15,17,17,60,17,17,17,45,15,15,15,15,10,17,17,17,17,15,15,15,15,15,15,15,15,45,45,15,30,15,10,18,18,13,13,13,13,13,13,10,23,0,0
1705740585,21,21,21,21,21,21,21,21,12,17,17,48,17,17,17,36,12,12,12,12,10,17,17,17,17,12,12,12,12,12,12,12,12,36,36,12,24,12,10,12,12,21,21,21,21,21,21,10,23,0,0
1705740600,11,11,11,11,11,11,11,11,20,8,8,80,8,8,8,60,20,20,20,20,10,8,8,8,8,20,20,20,20,20,20,20,20,60,60,20,40,20,10,20,20,11,11,11,11,11,11,10,0,0,0
1705740615,14,14,14,14,14,14,14,14,11,22,22,44,22,22,22,33,11,11,11,11,10,22,22,22,22,11,11,11,11,11,11,11,11,33,33,11,22,11,10,15,15,14,14,14,14,14,14,10,0,0,0
1705740630,22,22,22,22,22,22,22,22,19,17,17,76,17,17,17,57,19,19,19,19,10,17,17,17,17,19,19,19,18,18,18,17,17,51,51,17,34,17,10,6,6,22,22,22,22,22,22,10,23,0,0
1705740645,13,13,13,13,13,13,13,13,21,11,11,84,11,11,11,63,21,21,21,21,10,11,11,11,11,21,21,21,22,22,22,23,23,69,69,23,44,22,10,26,26,13,13,13,13,13,13,10,23,0,0
1705740660,14,14,14,14,14,14,14,14,9,16,16,36,16,16,16,27,9,9,9,9,10,16,16,16,16,9,9,9,9,9,9,9,9,27,27,9,20,10,10,17,17,14,14,14,14,14,14,10,23,0,0
1705740675,22,22,22,22,22,22,22,22,17,22,22,68,21,21,21,51,17,17,17,17,10,21,21,21,21,17,17,17,17,17,17,17,17,51,51,17,34,17,10,11,11,22,22,22,22,22,22,10,0,0,0
1705740690,14,14,14,14,14,14,14,14,20,12,12,80,13,13,13,60,20,20,20,20,10,13,13,13,13,20,20,20,20,20,20,20,20,60,60,20,40,20,10,15,15,14,14,14,14,14,14,10,23,0,0
1705740705,11,11,11,11,11,11,11,11,14,14,14,56,14,14,14,42,14,14,14,14,10,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,21,21,11,11,11,11,11,11,10,23,0,0
1705740720,20,20,20,20,20,20,20,20,10,20,20,40,20,20,20,30,10,10,10,10,10,20,20,20,20,10,10,10,10,10,10,10,10,30,30,10,20,10,10,12,12,21,21,21,21,21,21,10,0,0,0
1705740735,14,14,14,14,14,14,14,14,21,11,11,84,11,11,11,63,21,21,21,21,10,11,11,11,11,21,21,21,21,21,21,21,21,63,63,21,42,21,10,14,14,13,13,13,13,13,13,10,0,0,0
1705740750,13,13,13,13,13,13,13,13,15,14,14,60,14,14,14,45,15,15,15,15,10,14,14,14,14,15,15,15,15,15,15,15,15,45,45,15,30,15,10,18,18,13,13,13,13,13,13,10,0,0,0
1705740765,17,17,17,17,17,17,17,17,14,16,16,56,16,16,16,42,14,14,14,14,10,16,16,16,16,14,14,14,14,14,14,14,14,42,42,14,28,14,10,14,14,17,17,17,17,17,17,10,0,0,0
1705740780,12,12,12,12,12,12,12,12,16,15,15,64,15,15,15,48,16,16,16,16,10,15,15,15,15,16,16,16,16,16,16,16,16,48,48,16,32,16,10,14,14,12,12,12,12,12,12,10,0,0,0
1705740795,12,12,12,12,12,12,12,12,13,11,11,52,11,11,11,39,13,13,13,13,10,11,11,11,11,13,13,13,13,13,13,13,13,39,39,13,26,13,10,15,15,12,12,12,12,12,12,10,0,0,0
1705740810,21,21,21,21,21,21,21,21,12,19,19,48,19,19,19,36,12,12,12,12,10,19,19,19,19,12,12,12,12,12,12,12,12,36,36,12,24,12,10,14,14,21,21,21,21,21,21,10,0,0,0
1705740825,11,11,11,11,11,11,11,11,18,15,15,72,15,15,15,54,18,18,18,18,10,15,15,15,15,18,18,18,18,18,18,18,18,54,54,18,36,18,10,15,15,11,11,11,11,11,11,10,23,0,0
1705740840,17,17,17,17,17,17,17,17,14,16,16,56,16,16,16,42,14,14,14,14,10,16,16,16,16,14,14,14,13,13,13,13,13,39,39,13,26,13,10,19,19,17,17,17,17,17,17,10,23,0,0
1705740855,13,13,13,13,13,13,13,13,14,13,13,56,13,13,13,42,14,14,14,14,10,13,13,13,13,14,14,14,15,15,15,15,15,45,45,15,30,15,10,11,11,13,13,13,13,13,13,10,23,0,0
1705740870,20,20,20,20,20,20,20,20,17,15,15,68,15,15,15,51,17,17,17,17,10,15,15,15,15,17,17,17,17,17,17,17,17,51,51,17,34,17,10,21,21,20,20,20,20,20,20,10,23,0,0
1705740885,11,11,11,11,11,11,11,11,17,15,15,68,15,15,15,51,17,17,17,17,10,15,15,15,15,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,10,11,11,11,11,11,11,10,46,0,0
1705740900,23,23,23,23,23,23,23,23,14,20,20,56,20,20,20,42,14,14,14,14,10,20,20,20,20,14,14,13,13,12,11,11,11,33,33,11,22,11,10,15,15,23,23,23,23,23,23,10,23,0,0
1705740915,8,8,8,8,8,8,8,8,18,13,13,72,13,13,13,54,18,18,18,18,10,13,13,13,13,18,18,19,19,20,21,21,21,63,63,21,42,21,10,14,14,8,8,8,8,8,8,10,23,0,0
1705740930,16,16,16,16,16,16,16,16,14,15,15,56,15,15,15,42,14,14,14,14,10,15,15,15,15,14,14,14,14,14,14,14,14,42,42,14,28,14,10,20,20,16,16,16,16,16,16,10,23,0,0
1705740945,11,11,11,11,11,11,11,11,9,14,14,36,14,14,14,27,9,9,9,9,6,14,14,14,14,9,9,9,9,9,9,9,9,27,27,9,18,9,6,11,11,12,12,12,12,12,12,8,23,0,0
