time,user_1,front-end_2,user_3,front-end_4,front-end_5,front-end_6,front-end_7,front-end_8,user_9,user_10,orders_11,payment_12,orders_13,shipping_14,queue-master_15,queue-master_16,queue-master_17,queue-master_18,queue-master_19,front-end_20,front-end_21,front-end_22,user_23,front-end_24,front-end_25,user_26,front-end_27,front-end_28,front-end_29,front-end_30,front-end_31,catalogue_32,front-end_33,front-end_34,front-end_35,catalogue_36,front-end_37,user_38,front-end_39,front-end_40,front-end_41,front-end_42,front-end_43,front-end_44,front-end_45,payment_46,catalogue_47,front-end_48,carts_49,user_50
1705701705,10,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,17,17,17,17,17,17,17,17,17,17,17,17,17,18,10,14,14,14,14,14,14,14,14,14,10,14,14,0,0
1705701720,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,13,13,13,13,13,13,13,13,13,10,21,21,0,0
1705701735,10,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,14,14,14,14,14,14,14,14,14,10,16,16,23,0
1705701750,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,19,19,19,19,19,19,19,19,19,10,11,11,23,0
1705701765,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,30,15,20,20,20,20,20,20,20,20,20,20,20,20,20,20,10,17,17,17,17,17,17,17,17,17,10,15,15,46,0
1705701780,10,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,42,21,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,14,14,14,14,14,14,14,14,14,10,16,16,46,0
1705701795,10,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,11,11,11,11,11,11,11,11,11,10,19,19,0,0
1705701810,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,19,19,19,19,19,19,19,19,19,19,19,19,19,18,10,23,23,23,23,23,23,23,23,23,10,12,12,0,0
1705701825,10,21,84,63,21,21,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,16,16,16,16,16,16,16,16,16,16,16,16,16,17,10,11,11,11,11,11,11,11,11,11,10,16,16,46,0
1705701840,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,15,15,15,15,15,15,15,15,15,10,20,20,0,0
1705701855,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,16,16,16,16,16,16,16,16,16,10,11,11,0,0
1705701870,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,23,23,23,23,23,23,23,23,23,23,23,23,23,23,10,15,15,15,15,15,15,15,15,15,10,14,14,23,0
1705701885,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,7,7,7,7,7,7,7,7,7,7,7,7,7,7,10,7,7,7,7,7,7,7,7,7,10,16,16,23,0
1705701900,10,7,28,21,7,7,7,7,7,7,7,7,7,7,7,7,21,21,7,14,7,15,14,14,14,14,14,14,13,13,13,13,13,13,12,10,19,19,19,19,19,19,19,19,19,10,15,15,0,0
1705701915,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,23,24,24,24,24,24,24,25,25,25,25,25,25,26,10,20,20,20,20,20,20,20,20,20,10,10,10,23,0
1705701930,10,22,88,66,22,22,22,22,22,22,22,22,22,22,22,22,66,66,22,44,22,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,14,14,0,0
1705701945,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,16,16,16,16,16,16,16,16,16,10,21,21,0,0
1705701960,10,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,19,19,19,19,19,19,19,19,19,19,18,18,18,18,10,19,19,19,19,19,19,19,19,19,10,12,12,0,0
1705701975,10,20,80,60,20,20,20,20,20,20,19,19,19,19,19,19,57,57,19,38,19,16,16,16,16,16,16,16,16,16,16,17,17,17,17,10,13,13,13,13,13,13,13,13,13,10,14,14,23,0
1705701990,10,18,72,54,18,18,18,18,18,18,19,19,19,19,19,19,57,57,19,38,19,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,11,11,11,11,11,11,11,11,11,10,19,19,0,0
1705702005,10,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,22,22,22,22,22,22,22,22,22,22,22,22,22,22,10,22,22,22,22,22,22,22,22,22,10,17,17,46,0
1705702020,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,15,15,15,15,15,15,15,15,15,10,10,10,0,0
1705702035,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,12,12,12,12,12,12,12,12,12,11,11,11,11,11,10,12,12,12,12,12,12,12,12,12,10,21,21,0,0
1705702050,10,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,16,16,16,16,16,16,16,16,16,17,17,17,17,17,10,18,18,18,18,18,18,18,18,18,10,14,14,0,0
1705702065,10,21,84,63,21,21,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,13,13,13,13,13,13,13,13,13,10,13,13,0,0
1705702080,10,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,13,13,13,13,13,13,13,13,13,10,20,20,0,0
1705702095,10,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,15,15,15,15,15,15,15,15,15,10,11,11,23,0
1705702110,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,17,17,17,17,17,17,17,17,17,16,16,16,16,16,10,17,17,17,17,17,17,17,17,17,10,14,14,0,0
1705702125,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,14,14,14,14,14,14,13,13,13,14,14,14,14,14,10,16,16,16,16,16,16,16,16,16,10,14,14,0,0
1705702140,10,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,15,15,15,15,15,15,16,16,16,16,16,16,16,16,10,16,16,16,16,16,16,16,16,16,10,18,18,0,0
1705702155,10,21,84,63,21,21,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,21,21,21,21,21,21,21,21,21,10,12,12,0,0
1705702170,10,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,23,23,23,23,23,23,23,23,23,23,23,23,23,23,10,11,11,11,11,11,11,11,11,11,10,21,21,0,0
1705702185,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,14,14,14,14,14,14,14,14,14,10,15,15,23,0
1705702200,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,13,13,13,13,13,13,13,13,13,10,16,16,23,0
1705702215,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,14,14,14,14,14,14,14,14,14,14,14,14,14,13,10,16,16,16,16,16,16,16,16,16,10,13,13,0,0
1705702230,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,16,16,16,16,16,16,16,16,16,16,16,16,16,17,10,10,10,10,10,10,10,10,10,10,10,12,12,0,0
1705702245,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,20,20,20,20,20,20,20,20,20,10,16,16,46,0
1705702260,10,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,14,14,14,14,14,14,14,14,14,10,12,12,23,0
1705702275,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,24,12,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,19,19,19,19,19,19,19,19,19,10,22,22,23,0
1705702290,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,28,14,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,11,11,11,11,11,11,11,11,11,10,11,11,0,0
1705702305,10,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,21,21,21,21,21,21,21,21,21,10,21,21,23,0
1705702320,10,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,13,13,13,13,13,13,13,13,13,10,11,11,0,0
1705702335,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,16,16,16,16,16,16,16,16,16,10,14,14,23,0
1705702350,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,19,19,19,19,19,19,19,19,19,19,19,19,19,19,10,15,15,15,15,15,15,15,15,15,10,19,19,0,0
1705702365,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,10,15,15,0,0
1705702380,10,8,32,24,8,8,8,8,8,8,8,8,8,8,8,8,24,24,8,16,8,16,16,16,16,16,16,16,17,17,17,17,17,17,17,10,20,20,20,20,20,20,20,20,20,10,16,16,0,0
1705702395,10,21,84,63,21,21,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,14,14,14,14,14,14,14,14,14,10,9,9,0,0
1705702410,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,17,17,17,17,17,17,16,16,16,16,16,16,16,15,10,16,16,16,16,16,16,16,16,16,10,23,23,0,0
1705702425,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,11,11,11,11,11,11,12,11,11,11,10,10,10,11,10,11,11,11,11,11,11,11,11,11,10,9,9,0,0
1705702440,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,18,18,18,17,17,17,17,17,17,17,18,18,18,18,10,20,20,20,20,20,20,20,20,20,10,19,19,0,0
1705702455,10,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,13,13,13,14,14,14,14,15,15,15,15,15,15,15,10,11,11,11,11,11,11,11,11,11,10,12,12,23,0
1705702470,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,11,11,11,11,11,11,11,11,11,10,18,18,23,0
1705702485,10,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,20,20,20,20,20,20,20,20,20,20,20,20,20,20,10,22,22,22,22,22,21,21,21,21,10,13,13,0,0
1705702500,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,16,16,16,15,15,15,15,15,15,15,15,14,14,14,10,11,11,11,11,11,12,12,12,12,10,11,11,0,0
1705702515,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,6,6,6,7,7,7,7,7,7,7,7,8,8,8,10,12,12,12,12,12,12,12,12,12,10,21,21,23,0
1705702530,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,20,20,20,20,20,20,20,20,20,10,11,11,0,0
1705702545,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,21,21,21,21,21,21,21,21,21,21,21,21,21,21,10,14,14,14,14,14,14,14,14,14,10,13,13,23,0
1705702560,10,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,12,12,12,12,12,12,12,12,12,10,14,14,46,0
1705702575,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,17,17,17,17,17,17,17,17,17,10,20,20,0,0
1705702590,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,20,20,20,19,19,19,19,19,19,19,19,19,19,19,10,17,17,17,17,17,17,17,17,17,10,12,12,0,0
1705702605,10,21,84,63,21,21,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,13,13,13,14,14,14,14,14,14,14,14,14,14,14,10,15,15,15,15,15,15,15,15,15,10,17,17,0,0
1705702620,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,18,18,18,18,18,18,18,18,18,18,18,18,18,17,10,17,17,17,17,17,17,17,17,17,10,19,19,46,0
1705702635,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,18,18,18,18,18,18,18,18,18,18,17,17,17,18,10,18,18,18,18,18,18,18,18,18,10,13,13,23,0
1705702650,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,16,16,16,16,16,16,16,16,16,16,17,17,17,17,10,12,12,12,12,12,12,12,12,12,10,18,18,0,0
1705702665,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,10,10,9,10,10,10,10,10,10,10,10,10,10,16,16,16,16,16,16,16,16,16,10,18,18,0,1
1705702680,10,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,20,20,20,20,20,20,20,20,20,10,10,10,0,0
1705702695,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,9,9,9,9,9,9,9,9,9,10,15,15,46,0
1705702710,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,18,18,18,18,18,18,18,18,18,10,17,17,0,0
1705702725,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,14,14,14,14,14,14,14,14,14,10,15,15,46,0
1705702740,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,21,21,21,21,21,21,21,21,21,10,19,19,0,0
1705702755,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,19,19,19,19,19,19,19,19,19,19,19,19,19,19,10,10,10,10,10,10,10,10,10,10,10,11,11,0,0
1705702770,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,16,16,16,16,16,16,16,16,16,10,17,17,23,0
1705702785,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,13,13,13,13,13,13,12,12,12,12,12,12,12,12,10,15,15,15,15,15,15,15,15,15,10,15,15,0,0
1705702800,10,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,19,19,19,19,19,19,20,20,20,20,20,20,20,20,10,15,15,15,15,15,15,15,15,15,10,16,16,46,0
1705702815,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,18,18,18,18,18,17,17,17,17,10,12,12,23,0
1705702830,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,8,8,8,8,8,9,9,9,9,10,17,17,23,0
1705702845,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,17,17,17,17,17,17,17,17,17,10,14,14,0,0
1705702860,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,21,21,21,21,21,20,20,20,20,10,13,13,46,0
1705702875,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,20,20,20,20,20,20,20,20,20,20,20,20,20,20,10,15,15,15,15,15,16,16,16,16,10,19,19,23,0
1705702890,10,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,10,18,18,0,0
1705702905,10,9,36,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,9,18,9,20,20,20,20,20,20,20,20,20,20,20,20,20,20,10,21,21,21,21,21,21,21,21,21,10,14,14,23,0
1705702920,10,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,12,12,12,12,12,12,12,12,12,10,12,12,23,0
1705702935,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,14,14,14,14,14,14,14,14,14,10,22,22,0,0
1705702950,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,20,20,20,20,20,20,20,20,20,10,9,9,0,0
1705702965,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,11,11,11,11,11,11,11,11,11,10,13,13,0,0
1705702980,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,11,11,11,11,11,11,11,11,11,10,21,21,23,0
1705702995,2,3,12,9,3,3,3,3,3,3,3,3,3,3,3,3,9,9,3,6,3,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
