time,payment_1,front-end_2,user_3,front-end_4,front-end_5,front-end_6,front-end_7,front-end_8,front-end_9,front-end_10,catalogue_11,front-end_12,front-end_13,user_14,front-end_15,front-end_16,user_17,front-end_18,front-end_19,front-end_20,user_21,front-end_22,front-end_23,front-end_24,front-end_25,front-end_26,front-end_27,front-end_28,user_29,user_30,front-end_31,catalogue_32,front-end_33,front-end_34,orders_35,payment_36,orders_37,shipping_38,queue-master_39,queue-master_40,queue-master_41,queue-master_42,queue-master_43,front-end_44,front-end_45,user_46,front-end_47,catalogue_48,carts_49,orders-db_50,payment_51,orders_52,orders_53,front-end_54,front-end_55,payment_56,user_57,user_58,user-db_59,carts_60,carts_61,carts_62,carts_63,front-end_64,carts_65,carts_66,carts_67,carts_68,user_69,orders_70
1705611180,10,18,18,18,18,18,18,18,18,18,16,16,16,16,16,15,15,15,15,9,36,27,9,9,9,9,15,15,9,9,15,15,15,15,9,9,9,10,10,10,30,30,10,20,10,10,14,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705611195,10,17,17,17,17,17,17,17,17,17,11,11,17,17,17,18,18,18,18,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,19,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705611210,10,16,16,16,16,16,16,16,16,16,16,16,20,20,20,20,20,20,19,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,19,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705611225,10,16,16,16,16,16,16,16,16,16,21,21,13,13,13,13,13,13,14,18,72,54,18,18,18,18,14,14,18,18,14,14,14,14,18,18,18,18,18,18,54,54,18,36,18,10,14,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705611240,10,16,16,16,16,16,16,16,16,16,17,17,18,18,18,18,18,18,18,14,56,42,14,14,14,14,18,18,14,14,18,18,18,18,14,14,14,14,14,14,42,42,14,28,14,10,18,10,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705611255,10,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,18,72,54,18,18,18,18,16,16,18,18,16,16,16,16,18,18,18,18,18,18,54,54,18,36,18,10,16,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705611270,10,16,16,16,16,16,16,16,16,16,14,14,15,15,15,15,15,15,15,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705611285,10,18,18,18,18,18,18,18,18,18,17,17,14,14,14,14,14,14,14,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705611300,10,14,14,14,14,14,14,14,14,14,15,15,18,18,18,18,18,18,16,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,16,10,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705611315,10,15,15,15,15,15,15,15,15,15,18,18,14,14,14,14,14,14,16,15,60,45,15,15,15,15,16,16,15,15,16,16,16,16,15,15,15,15,15,15,45,45,15,30,15,10,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705611330,10,16,16,16,16,16,16,16,16,16,13,13,17,17,17,17,17,17,17,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,17,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705611345,10,12,12,12,12,12,12,12,12,12,17,17,12,12,12,12,12,12,12,16,64,48,16,16,16,16,12,12,16,16,12,12,12,12,16,16,16,16,16,16,48,48,16,32,16,10,12,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705611360,10,15,15,15,15,15,15,15,15,15,14,14,15,15,15,15,15,15,15,12,48,36,12,12,12,12,15,15,12,12,15,15,15,15,12,12,12,12,12,12,36,36,12,24,12,10,15,10,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705611375,10,19,19,19,19,19,19,19,19,19,16,16,15,15,15,15,15,15,15,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705611390,10,12,12,12,12,12,12,12,12,12,13,13,15,15,15,15,15,15,15,17,68,51,17,17,17,17,15,15,17,17,15,15,15,15,17,17,17,17,17,17,51,51,17,34,17,10,15,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705611405,10,17,17,17,17,17,17,17,17,17,16,16,14,14,14,14,14,14,14,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,14,10,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705611420,10,14,14,14,14,14,14,14,14,14,13,13,15,15,15,15,15,15,15,16,64,48,16,16,16,16,15,15,16,16,15,15,15,15,16,16,16,16,16,16,48,48,16,32,16,10,15,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705611435,10,12,12,12,12,12,12,12,12,12,18,18,19,19,19,19,19,19,19,15,60,45,15,15,15,15,19,19,15,15,19,19,19,19,15,15,15,15,14,14,42,42,14,28,14,10,19,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705611450,10,16,16,16,16,16,15,15,15,15,17,17,13,13,13,13,13,13,13,18,72,54,18,18,18,18,13,13,18,18,13,13,13,13,18,18,18,18,18,18,54,54,18,36,18,10,13,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705611465,10,19,19,19,19,19,20,20,20,20,14,14,18,18,18,18,18,18,18,10,40,30,10,10,10,10,18,18,10,10,18,18,18,18,10,10,10,10,11,11,33,33,11,22,11,10,18,10,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705611480,10,10,10,10,10,10,10,10,10,10,10,10,14,14,14,14,14,14,14,19,76,57,19,19,19,19,14,14,19,19,14,14,14,14,19,19,19,19,19,19,57,57,19,38,19,10,13,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705611495,10,17,17,17,17,17,17,17,17,17,20,20,12,12,12,12,12,12,12,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,13,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705611510,10,15,15,15,15,15,15,15,15,15,13,13,15,15,15,15,15,15,15,13,52,39,13,13,13,13,15,15,13,13,15,15,15,15,13,13,13,13,13,13,39,39,13,26,13,10,15,10,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705611525,10,12,12,12,12,12,12,12,12,12,13,13,16,16,16,16,16,16,16,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,16,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705611540,10,16,16,16,16,16,16,16,16,16,17,17,11,11,11,11,11,11,11,16,64,48,16,16,16,16,11,11,16,16,11,11,11,11,16,16,16,16,16,16,48,48,16,32,16,10,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705611555,10,15,15,15,15,15,15,15,15,15,12,12,16,16,16,16,16,16,16,13,52,39,13,13,13,13,16,16,13,13,16,16,16,16,13,13,13,13,13,13,39,39,13,26,13,10,16,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705611570,10,22,22,22,22,22,22,22,22,22,15,15,17,17,17,17,17,17,17,15,60,45,15,15,15,15,17,17,15,15,17,17,17,17,15,15,15,15,15,15,45,45,15,30,15,10,17,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705611585,10,6,6,6,6,6,6,6,6,6,17,17,16,16,16,16,16,16,16,18,72,54,18,18,18,18,16,16,18,18,16,16,16,16,18,18,18,18,18,18,54,54,18,36,18,10,16,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705611600,10,18,18,18,18,18,18,18,18,18,18,18,11,11,11,11,11,11,11,14,56,42,14,14,14,14,11,11,14,14,10,10,10,10,14,14,14,14,14,14,42,42,14,28,14,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705611615,10,13,13,13,13,13,13,13,13,13,10,10,20,20,20,20,20,20,20,9,36,27,9,9,9,9,20,20,9,9,21,21,21,21,9,9,9,9,9,9,27,27,9,18,9,10,21,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705611630,10,16,16,16,16,16,16,16,16,16,16,16,10,10,10,10,10,10,10,21,84,63,21,21,21,21,10,10,21,21,10,10,10,10,21,21,21,21,21,21,63,63,21,42,21,10,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705611645,10,18,18,18,18,18,16,16,16,16,14,14,18,18,18,18,18,18,18,15,60,45,15,15,15,15,17,17,15,15,17,17,17,17,15,15,15,15,15,15,45,45,15,30,15,10,17,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705611660,10,16,16,16,16,16,18,18,18,18,15,15,15,15,15,15,15,15,15,14,56,42,14,14,14,14,16,16,14,14,16,16,16,16,14,14,14,13,13,13,39,39,13,26,13,10,16,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705611675,10,14,14,14,14,14,14,14,14,14,20,20,16,16,16,16,16,16,16,17,68,51,17,17,17,17,16,16,17,17,16,16,16,16,17,17,17,18,18,18,54,54,18,36,18,10,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705611690,10,14,14,14,14,14,14,14,14,14,14,14,16,16,16,16,16,16,16,15,60,45,15,15,15,15,16,16,15,15,16,16,16,16,15,15,15,15,15,15,45,45,15,30,15,10,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705611705,10,17,17,17,17,17,17,17,17,17,17,17,15,15,15,15,15,15,15,14,56,42,14,14,14,14,15,15,14,14,15,15,15,15,14,14,14,14,14,14,42,42,14,28,14,10,15,10,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705611720,10,17,17,17,17,17,17,17,17,17,14,14,18,18,18,18,18,18,18,17,68,51,17,17,17,17,18,18,17,17,18,18,18,18,17,17,17,17,17,17,51,51,17,34,17,10,18,10,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705611735,10,12,12,12,12,12,12,12,12,12,15,15,16,16,16,16,16,16,16,17,68,51,17,17,17,17,16,16,17,17,16,16,16,16,17,17,17,17,17,17,51,51,17,34,17,10,16,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705611750,9,18,18,18,18,18,18,18,18,18,19,19,11,11,11,11,11,11,11,16,64,48,16,16,16,16,11,11,16,16,11,11,11,11,16,16,16,16,16,16,48,48,16,32,16,10,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705611765,2,15,15,15,15,15,15,15,15,15,13,13,15,15,15,15,15,15,15,10,40,30,10,10,10,10,15,15,10,10,15,15,15,15,10,4,4,4,4,4,12,12,4,8,4,10,15,10,46,0,1,156,6,12,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705611780,0,17,17,17,17,17,17,17,17,17,11,11,18,18,18,18,18,18,18,17,68,51,17,17,17,17,18,18,17,17,18,18,18,18,17,0,0,0,0,0,0,0,0,0,0,10,18,10,23,0,0,442,17,34,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705611795,0,10,10,10,10,10,10,10,10,10,19,19,12,12,12,12,12,12,12,16,64,48,16,16,16,16,12,12,16,16,12,12,12,12,16,0,0,0,0,0,0,0,0,0,0,10,12,10,23,0,0,416,16,32,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705611810,0,16,16,16,16,16,16,16,16,16,15,15,16,16,16,16,16,16,16,12,48,36,12,12,12,12,16,16,12,12,16,16,16,16,12,0,0,0,0,0,0,0,0,0,0,10,16,10,0,0,0,312,12,24,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705611825,0,18,18,18,18,18,18,18,18,18,11,11,14,14,14,14,14,14,14,15,60,45,15,15,15,15,14,14,15,15,14,14,14,14,15,0,0,0,0,0,0,0,0,0,0,10,14,10,23,0,0,390,15,30,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705611840,0,12,12,12,12,12,12,12,12,12,19,19,15,15,15,15,15,15,15,18,72,54,18,18,18,18,15,15,18,18,15,15,15,15,18,0,0,0,0,0,0,0,0,0,0,10,15,10,46,0,0,468,18,36,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705611855,0,17,17,17,17,17,17,17,17,17,14,14,14,14,14,14,14,14,14,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,14,0,0,0,0,0,0,0,0,0,0,10,14,10,23,0,0,364,14,26,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705611870,0,20,20,20,20,20,20,20,20,20,12,12,20,20,20,20,20,20,20,13,52,39,13,13,13,13,20,20,13,13,20,20,20,20,13,0,0,0,0,0,0,0,0,0,0,10,20,10,0,0,0,338,13,28,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705611885,0,8,8,8,8,8,8,8,8,8,15,15,17,17,17,17,17,17,17,20,80,60,20,20,20,20,17,17,20,20,17,17,17,17,20,0,0,0,0,0,0,0,0,0,0,10,17,10,0,0,0,520,20,40,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705611900,0,20,20,20,20,20,19,19,19,19,21,21,10,10,10,10,10,10,10,17,68,51,17,17,17,17,10,10,17,17,10,10,10,10,17,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,442,17,34,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705611915,0,10,10,10,10,10,11,11,11,11,13,13,15,15,15,15,14,15,15,10,40,30,10,10,10,10,15,15,10,10,15,15,15,15,10,0,0,0,0,0,0,0,0,0,0,10,15,10,0,0,0,260,10,20,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1705611930,0,20,19,20,20,20,20,20,20,20,13,13,20,20,20,20,20,20,20,14,56,42,14,14,14,14,20,20,14,14,20,20,20,20,14,0,0,0,0,0,0,0,0,0,0,10,20,10,0,0,0,364,14,28,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1705611945,3,12,12,12,12,12,12,12,12,12,15,15,15,15,15,15,15,15,15,21,84,63,21,21,21,21,14,14,21,21,14,14,14,14,21,13,13,13,13,13,39,39,13,26,13,10,13,10,23,0,0,208,8,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705611960,2,15,15,15,15,15,15,15,15,15,20,20,13,13,13,13,13,13,13,13,52,39,13,13,13,13,14,14,13,13,14,14,14,14,13,13,13,13,13,13,39,39,13,26,13,10,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705611975,3,17,17,17,17,17,17,17,17,17,11,11,13,13,13,13,13,13,13,14,56,42,14,14,14,14,13,13,14,14,13,13,13,13,14,14,14,14,14,14,42,42,14,28,14,10,13,10,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705611990,3,15,15,15,15,15,14,14,14,14,12,12,16,16,16,16,16,16,16,15,60,45,15,15,15,15,16,16,15,15,16,16,16,16,15,15,15,15,15,15,45,45,15,30,15,10,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705612005,5,16,16,16,16,16,17,17,17,17,17,17,16,16,16,16,16,16,16,15,60,45,15,15,15,15,16,16,15,15,16,16,16,16,15,15,15,15,15,15,45,45,15,30,15,10,17,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705612020,4,14,14,14,14,14,13,13,13,13,16,16,16,16,16,16,16,16,16,18,72,54,18,18,18,18,16,16,18,18,16,16,16,16,18,18,17,17,17,17,51,51,17,34,17,10,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705612035,2,15,15,15,15,15,16,16,16,16,17,17,15,15,15,15,15,15,15,11,44,33,11,11,11,11,15,15,11,11,15,15,15,15,11,11,12,12,12,12,36,36,12,24,12,10,17,10,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705612050,3,15,15,15,15,15,15,15,15,15,14,14,16,16,16,16,16,16,16,17,68,51,17,17,17,17,16,16,17,17,16,16,16,16,17,17,17,17,17,17,51,51,17,34,17,10,15,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705612065,7,17,17,17,17,17,17,17,17,17,17,17,10,10,10,10,10,10,10,16,64,48,16,16,16,16,10,10,16,16,10,10,10,10,16,16,16,16,16,16,48,48,16,32,16,10,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705612080,9,11,11,11,11,11,11,11,11,11,16,16,17,16,16,16,16,16,16,12,48,36,12,12,12,12,16,16,12,12,16,16,16,16,12,12,12,12,12,12,36,36,12,24,12,10,16,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705612095,7,18,18,18,18,18,18,18,18,18,9,9,14,15,15,15,15,15,15,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705612110,6,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,19,73,54,18,18,18,18,17,17,18,18,17,17,17,17,18,18,18,18,18,18,54,54,18,36,18,10,17,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705612125,7,16,16,16,16,16,16,16,16,16,20,20,20,20,20,20,19,19,19,14,59,45,15,15,15,15,19,19,15,15,19,19,19,19,15,15,15,15,15,15,45,45,15,30,15,10,19,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705612140,4,14,14,14,14,14,14,14,14,14,13,13,11,11,11,11,12,12,12,15,60,45,15,15,15,15,12,12,15,15,12,12,12,12,15,11,11,11,11,11,33,33,11,22,11,10,12,10,0,0,1,104,4,8,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705612155,0,15,15,15,15,15,15,15,15,15,15,15,17,17,17,17,17,17,17,15,60,45,15,15,15,15,17,17,15,15,17,17,17,17,15,0,0,0,0,0,0,0,0,0,0,10,17,10,92,0,0,390,15,30,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705612170,0,13,13,13,13,13,13,13,13,13,17,17,14,14,14,14,14,14,14,18,72,54,18,18,18,18,14,14,18,18,14,14,14,14,18,0,0,0,0,0,0,0,0,0,0,10,14,10,23,0,0,468,18,36,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705612185,0,19,19,19,19,19,19,19,19,19,12,12,16,16,16,16,16,16,16,14,56,42,14,14,14,14,16,16,14,14,16,16,16,16,14,0,0,0,0,0,0,0,0,0,0,10,16,10,0,0,0,364,14,28,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705612200,0,16,16,16,16,16,16,16,16,16,19,19,17,17,17,17,17,17,17,19,76,57,19,19,19,19,17,17,19,19,17,17,17,17,19,0,0,0,0,0,0,0,0,0,0,10,17,10,0,0,0,494,19,38,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705612215,0,13,13,13,13,13,13,13,13,13,16,16,12,12,12,12,12,12,12,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,10,12,10,23,0,0,312,12,24,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705612230,0,12,12,12,12,12,12,12,12,12,13,13,16,16,16,16,16,16,16,12,48,36,12,12,12,12,16,16,12,12,16,16,16,16,12,0,0,0,0,0,0,0,0,0,0,10,16,10,0,0,0,312,12,24,12,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1705612245,0,22,22,22,22,22,22,22,22,22,11,11,17,17,17,16,16,16,16,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,16,0,0,0,0,0,0,0,0,0,0,10,15,10,158,0,0,416,16,32,16,0,0,0,0,1,1,1,1,1,5,6,8,1,0,0
1705612260,0,13,13,13,13,13,13,13,13,13,15,15,14,14,14,15,15,15,15,17,68,51,17,17,17,17,15,15,17,16,15,15,15,15,17,0,0,0,0,0,0,0,0,0,0,10,15,10,23,0,0,442,17,34,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1705612275,0,9,9,9,9,9,9,9,9,9,21,21,12,12,12,12,12,12,12,17,68,51,17,17,17,17,12,12,17,17,12,12,12,12,17,0,0,0,0,0,0,0,0,0,0,10,12,10,0,0,0,442,17,34,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705612290,0,18,18,18,18,18,18,18,18,18,15,15,18,18,18,18,18,18,18,10,40,30,10,10,10,10,18,18,10,10,18,18,18,18,10,0,0,0,0,0,0,0,0,0,0,10,18,10,23,0,0,260,10,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705612305,0,20,20,20,20,20,20,20,20,20,13,13,19,19,19,19,19,19,19,17,68,51,17,17,17,17,19,19,17,17,19,19,19,19,17,0,0,0,0,0,0,0,0,0,0,10,19,10,0,0,0,442,17,34,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705612320,0,10,10,10,10,10,10,10,10,10,16,16,12,12,12,12,12,12,12,20,80,60,20,20,20,20,12,12,20,20,12,12,12,12,20,0,0,0,0,0,0,0,0,0,0,10,12,10,0,0,0,520,20,40,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705612335,4,19,19,19,19,19,19,19,19,19,17,17,11,11,11,11,11,11,11,10,40,30,10,10,10,10,11,11,10,10,11,11,11,11,10,9,8,8,8,8,24,24,8,16,8,10,11,10,0,0,0,97,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1705612350,3,17,17,17,17,17,17,17,17,17,15,15,21,21,21,21,21,21,21,12,48,36,12,12,12,12,21,21,12,12,21,21,21,21,12,12,12,12,12,12,36,36,12,24,12,10,21,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705612365,4,9,9,9,9,9,9,9,9,9,15,15,13,13,13,13,13,13,13,24,96,72,24,24,24,24,13,13,24,24,13,13,13,13,23,23,22,22,22,22,66,66,22,44,22,10,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705612380,3,21,21,21,21,21,21,21,21,21,16,16,18,18,18,18,18,18,18,10,40,30,10,10,10,10,16,16,10,10,16,16,16,16,10,10,11,11,11,11,33,33,11,22,11,10,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
