time,front-end_1,user_2,front-end_3,front-end_4,front-end_5,front-end_6,front-end_7,user_8,user_9,orders_10,payment_11,orders_12,shipping_13,queue-master_14,queue-master_15,queue-master_16,queue-master_17,queue-master_18,front-end_19,front-end_20,front-end_21,user_22,front-end_23,front-end_24,front-end_25,front-end_26,front-end_27,front-end_28,front-end_29,front-end_30,user_31,front-end_32,front-end_33,user_34,front-end_35,front-end_36,front-end_37,front-end_38,front-end_39,catalogue_40,front-end_41,front-end_42,front-end_43,catalogue_44,catalogue_45,front-end_46,carts_47,payment_48,user_49,user_50,carts_51
1705677975,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,5,5,5,5,5,5,5,5,5,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,18,18,46,10,10,0,0
1705677990,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,22,22,22,22,22,22,22,22,22,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,21,21,0,10,10,0,0
1705678005,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,13,13,13,13,13,13,13,13,13,19,19,19,19,19,19,19,19,19,19,19,19,19,19,10,8,8,23,10,10,0,0
1705678020,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,15,15,23,10,10,0,0
1705678035,15,60,45,15,15,15,15,15,14,15,15,15,15,15,15,45,45,15,30,15,11,11,11,11,11,11,11,11,11,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,21,21,23,10,10,1,0
1705678050,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,22,22,22,22,22,22,22,22,22,13,13,13,13,13,13,13,13,13,13,12,12,12,12,10,9,9,0,10,10,0,0
1705678065,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,15,15,15,15,15,15,15,15,15,21,21,21,21,21,21,21,21,21,21,22,22,22,22,10,15,15,46,10,10,0,0
1705678080,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,20,20,23,10,10,0,0
1705678095,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,17,17,0,10,10,0,0
1705678110,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,17,17,0,10,10,0,0
1705678125,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,24,24,24,24,24,24,24,24,24,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,10,10,0,10,10,0,0
1705678140,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,12,12,12,12,12,12,12,12,12,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,16,16,46,10,10,0,0
1705678155,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,20,20,0,10,10,0,0
1705678170,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,16,16,16,16,16,16,16,16,16,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,15,15,23,10,10,0,0
1705678185,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,16,16,16,16,16,16,16,16,16,19,19,19,19,19,19,19,19,19,19,19,19,19,19,10,13,13,0,10,10,0,0
1705678200,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,13,13,23,10,10,0,0
1705678215,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,14,14,14,14,14,14,14,14,14,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,14,14,0,10,10,0,0
1705678230,8,32,24,8,8,8,8,8,8,8,8,8,8,8,8,24,24,8,16,8,16,16,16,16,16,16,16,16,16,19,19,19,19,19,19,18,18,18,18,18,18,18,18,10,19,19,0,10,10,0,0
1705678245,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,13,13,13,13,13,13,13,13,13,15,15,15,15,15,15,16,16,16,16,16,16,16,16,10,10,10,0,10,10,0,0
1705678260,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,17,17,17,17,17,17,17,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,15,15,0,10,10,0,0
1705678275,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,10,10,10,10,10,10,10,10,13,13,13,13,13,13,12,12,12,12,12,12,12,12,10,17,17,0,10,10,0,0
1705678290,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,20,20,20,20,20,20,20,20,20,15,15,15,15,15,15,16,16,16,16,16,16,16,16,10,19,19,0,10,10,0,0
1705678305,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,14,14,14,14,14,14,14,14,14,19,19,19,19,19,19,19,19,19,19,19,19,19,19,10,10,10,0,10,10,0,0
1705678320,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,14,14,14,14,14,14,14,14,14,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,20,20,0,10,10,0,0
1705678335,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,19,19,19,19,19,19,19,19,19,19,19,19,20,20,20,19,19,19,19,19,19,19,19,10,11,11,46,10,10,0,0
1705678350,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,18,18,18,18,18,18,18,18,18,12,12,12,12,12,12,13,13,13,13,13,13,13,13,10,16,16,23,10,10,0,0
1705678365,9,36,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,9,18,9,16,16,16,16,16,16,16,16,16,22,22,22,22,22,22,21,21,21,21,21,21,21,21,10,17,17,23,10,10,0,0
1705678380,22,88,66,22,22,22,22,22,22,22,22,22,22,22,22,66,66,22,44,22,13,13,13,13,13,13,13,13,13,17,17,17,17,17,17,18,18,18,18,18,18,18,17,10,16,16,0,10,10,0,0
1705678395,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,19,19,19,19,19,19,19,19,19,11,11,11,11,11,11,11,11,11,11,11,11,11,12,10,21,21,0,10,10,0,0
1705678410,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,17,17,17,17,17,17,17,17,17,19,19,19,19,19,19,19,19,19,19,19,19,19,19,10,12,12,0,10,10,0,0
1705678425,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,18,18,18,18,18,18,18,18,18,16,16,16,16,16,16,15,15,15,15,15,15,15,15,10,19,19,23,10,10,0,0
1705678440,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,12,12,12,12,12,12,12,12,12,17,17,17,17,17,17,18,18,18,18,18,18,18,18,10,15,15,23,10,10,0,0
1705678455,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,18,18,18,18,18,18,18,18,18,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,18,18,0,10,10,0,0
1705678470,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,16,16,16,16,16,16,16,16,16,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,14,14,0,10,10,0,0
1705678485,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,17,17,23,10,10,0,0
1705678500,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,18,18,18,18,18,18,18,18,18,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,14,14,69,10,10,0,0
1705678515,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,12,12,12,12,12,12,12,12,12,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,14,14,0,10,10,0,0
1705678530,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,13,13,13,13,13,13,13,13,13,12,12,12,12,12,12,12,12,12,12,12,12,12,11,10,17,17,46,10,10,0,0
1705678545,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,22,22,22,22,22,22,22,22,22,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,13,13,0,10,10,0,0
1705678560,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,10,16,16,23,10,10,0,0
1705678575,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,14,14,14,14,14,14,14,14,14,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,19,19,0,10,10,0,0
1705678590,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,15,15,23,10,10,0,0
1705678605,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,19,19,19,19,19,19,19,19,19,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,12,12,23,10,10,0,0
1705678620,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,13,13,13,13,13,13,13,13,13,17,17,17,17,17,17,17,17,17,17,17,17,17,16,10,15,15,0,10,10,0,0
1705678635,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,15,15,15,15,15,15,15,15,15,13,13,13,13,13,13,13,13,13,13,13,13,13,14,10,15,15,0,10,10,0,0
1705678650,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,14,14,23,10,10,0,0
1705678665,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,15,15,15,15,15,15,15,15,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,16,16,0,10,10,0,0
1705678680,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,13,13,13,13,13,13,13,13,13,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,19,19,0,10,10,0,0
1705678695,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,15,15,15,15,15,15,15,15,15,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,12,12,0,10,10,0,0
1705678710,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,14,14,14,14,14,14,14,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,13,13,0,10,10,0,0
1705678725,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,18,18,18,18,18,18,18,18,18,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,16,16,23,10,10,0,0
1705678740,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,14,14,14,14,14,14,14,14,14,19,19,19,19,19,19,19,19,19,19,19,19,19,19,10,17,17,46,10,10,0,0
1705678755,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,14,14,14,14,14,14,14,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,16,16,0,10,10,0,0
1705678770,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,17,17,17,17,17,17,17,17,17,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,13,13,0,10,10,0,0
1705678785,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,16,16,16,16,16,16,16,15,15,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,16,16,23,10,10,0,0
1705678800,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,17,17,17,17,17,17,17,18,18,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,13,13,0,10,10,0,0
1705678815,22,88,66,22,22,22,22,22,22,22,22,22,22,22,22,66,66,22,44,22,17,17,17,17,17,17,17,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,18,18,0,10,10,0,0
1705678830,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,14,14,14,14,14,14,14,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,18,18,0,10,10,0,0
1705678845,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,14,14,0,10,10,0,1
1705678860,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,16,16,16,16,16,16,16,16,16,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,15,15,0,10,10,0,0
1705678875,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,15,15,15,15,15,15,15,15,15,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,15,15,0,10,10,0,0
1705678890,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,12,12,12,12,12,12,12,12,12,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,17,17,0,10,10,0,0
1705678905,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,17,17,17,17,17,17,17,17,17,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,18,18,0,10,10,0,0
1705678920,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,12,12,23,10,10,0,0
1705678935,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,16,16,16,16,16,16,16,16,16,9,9,9,9,9,9,9,8,8,8,8,8,8,8,10,20,20,23,10,10,0,0
1705678950,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,18,18,18,18,18,18,18,18,18,22,22,22,22,22,22,22,23,23,23,23,23,23,23,10,12,12,23,10,10,0,0
1705678965,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,11,11,11,11,11,11,11,11,11,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,14,14,0,10,10,0,0
1705678980,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,18,18,18,18,18,18,18,18,18,14,14,14,14,14,14,13,13,13,13,13,13,13,13,10,17,17,23,10,10,0,0
1705678995,3,12,9,3,3,3,3,3,3,3,3,3,3,3,3,9,9,3,6,3,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,5,5,5,5,5,5,5,5,4,4,4,23,4,4,0,0
