time,payment_1,orders_2,payment_3,orders_4,shipping_5,queue-master_6,queue-master_7,queue-master_8,queue-master_9,queue-master_10,front-end_11,front-end_12,catalogue_13,front-end_14,front-end_15,user_16,front-end_17,front-end_18,front-end_19,front-end_20,front-end_21,front-end_22,front-end_23,front-end_24,front-end_25,user_26,front-end_27,front-end_28,user_29,front-end_30,front-end_31,front-end_32,front-end_33,catalogue_34,front-end_35,front-end_36,front-end_37,user_38,front-end_39,user_40,front-end_41,front-end_42,front-end_43,front-end_44,front-end_45,user_46,user_47,catalogue_48,carts_49,user-db_50,user_51
1705639770,10,13,13,13,13,13,13,39,39,13,26,13,13,13,13,13,13,13,13,16,16,16,16,15,14,14,14,14,14,14,14,14,14,14,14,14,14,10,11,44,33,11,11,11,11,11,11,10,0,0,0
1705639785,10,14,14,14,14,14,14,42,42,14,28,14,12,12,12,12,12,12,12,13,13,13,13,16,14,14,14,14,14,14,12,12,12,12,12,12,14,10,15,60,45,15,15,15,15,15,15,10,0,0,0
1705639800,10,16,16,16,16,16,16,48,48,16,32,16,17,17,18,18,18,18,18,16,16,16,16,17,15,15,15,15,15,15,18,18,18,18,18,18,15,10,15,60,45,15,15,15,15,15,15,10,23,0,0
1705639815,10,17,17,17,17,17,17,51,51,17,34,17,16,16,15,15,15,15,15,17,17,17,17,16,15,15,15,15,15,15,15,15,15,15,15,15,15,10,17,68,51,17,17,17,17,17,17,10,0,0,0
1705639830,10,15,15,15,15,15,15,45,45,15,30,15,19,19,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,15,60,45,15,15,15,15,15,15,10,0,0,0
1705639845,10,14,14,14,14,14,14,42,42,14,28,14,11,11,18,18,18,18,18,16,16,16,16,12,15,15,15,15,15,15,14,14,14,14,14,14,14,10,14,56,42,14,14,14,14,14,14,10,23,0,0
1705639860,10,11,11,11,11,11,11,33,33,11,22,11,11,11,15,15,15,15,15,17,17,17,17,19,16,16,16,16,16,16,17,17,17,17,17,17,17,10,11,44,33,11,11,11,11,11,11,10,23,0,0
1705639875,10,21,21,21,21,21,21,63,63,21,42,21,17,17,9,9,9,9,9,8,8,8,8,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,21,84,63,21,21,21,21,21,21,10,46,0,0
1705639890,10,12,12,12,12,12,12,36,36,12,24,12,18,18,18,18,18,18,18,17,17,17,17,11,13,13,13,13,13,13,12,12,12,12,12,12,13,10,12,48,36,12,12,12,12,12,12,10,0,0,0
1705639905,10,12,12,12,12,12,12,36,36,12,24,12,10,10,12,12,12,12,12,14,14,14,14,17,15,15,15,15,15,15,16,16,16,16,16,16,15,10,12,48,36,12,12,12,12,12,12,10,23,0,0
1705639920,10,19,19,19,19,19,19,57,57,19,38,19,15,15,17,17,17,17,17,17,17,17,17,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,19,76,57,19,19,19,19,19,19,10,23,0,0
1705639935,10,13,13,13,13,13,13,39,39,13,26,13,15,15,17,17,17,17,17,17,17,17,17,15,16,16,16,16,16,16,16,16,16,16,16,16,16,10,13,52,39,13,13,13,13,13,13,10,0,0,0
1705639950,10,17,17,17,17,17,17,51,51,17,34,17,17,17,13,13,13,13,13,13,13,13,13,14,15,15,15,15,15,15,15,15,15,15,15,15,15,10,17,68,51,17,17,17,17,17,17,10,0,0,0
1705639965,10,11,11,11,11,11,11,33,33,11,22,11,16,16,12,12,12,12,12,12,12,12,12,17,15,15,15,15,15,15,15,15,15,15,15,15,15,10,11,44,33,11,11,11,11,11,11,10,23,0,0
1705639980,10,17,17,17,17,17,17,51,51,17,34,17,17,17,15,15,15,15,15,13,13,13,13,8,12,12,12,12,12,12,11,11,11,11,11,11,12,10,18,72,54,18,18,18,18,18,18,10,23,0,0
1705639995,10,10,10,10,10,10,10,30,30,10,20,10,11,11,21,21,21,21,21,20,20,20,20,18,16,16,16,16,16,16,16,16,16,16,16,16,15,10,9,36,27,9,9,9,9,9,9,10,23,0,0
1705640010,10,16,16,16,16,16,16,48,48,16,32,16,10,10,12,12,12,12,12,13,13,13,13,18,18,18,18,18,18,18,18,18,18,18,18,18,19,10,16,64,48,16,16,16,16,16,16,10,23,0,0
1705640025,10,20,20,20,20,20,20,60,60,20,40,20,19,19,11,11,11,11,11,13,13,13,13,13,11,11,11,11,11,11,12,12,12,12,12,12,11,10,20,80,60,20,20,20,20,20,20,10,0,0,0
1705640040,10,12,12,12,12,12,12,36,36,12,24,12,19,19,17,17,17,17,17,17,17,17,17,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,12,48,36,12,12,12,12,12,12,10,0,0,0
1705640055,10,8,8,8,8,8,8,24,24,8,16,8,9,9,18,18,18,18,18,18,18,18,18,15,16,16,16,16,16,16,15,15,15,15,15,15,15,10,8,32,24,8,8,8,8,8,8,10,0,0,0
1705640070,10,17,17,17,17,17,17,51,51,17,34,17,14,14,8,8,8,8,8,8,8,8,8,20,20,20,20,20,20,20,21,21,21,21,21,21,21,10,17,68,51,17,17,17,17,17,17,10,0,0,0
1705640085,10,21,21,21,21,21,21,63,63,21,42,21,12,12,17,17,17,17,17,14,14,14,14,9,15,15,15,15,15,15,14,14,14,14,14,14,15,10,22,88,66,22,22,22,22,22,22,10,0,0,0
1705640100,10,7,7,7,7,7,7,21,21,7,14,7,18,18,13,13,13,13,13,16,16,16,16,19,12,12,12,12,12,12,13,13,13,13,13,13,12,10,6,24,18,6,6,6,6,6,6,10,23,0,0
1705640115,10,22,22,22,22,22,22,66,66,22,44,22,12,12,18,18,18,18,18,18,18,18,18,11,13,13,13,13,13,13,12,12,12,12,12,12,13,10,23,92,69,23,23,23,23,23,23,10,0,0,0
1705640130,10,10,10,10,10,10,10,30,30,10,20,10,18,18,9,9,9,9,9,9,9,9,9,15,13,13,13,13,13,13,14,14,14,14,14,14,13,10,9,36,27,9,9,9,9,9,9,10,0,0,0
1705640145,10,14,14,14,14,14,14,42,42,14,28,14,13,12,20,20,20,20,20,17,17,17,17,14,19,19,19,19,19,19,17,17,17,16,16,16,19,10,15,60,45,15,15,15,15,15,15,10,0,0,0
1705640160,10,15,15,15,15,15,15,45,45,15,30,15,16,17,13,13,13,13,13,15,15,15,15,18,14,14,14,14,14,14,16,16,16,17,17,17,14,10,16,64,48,16,16,16,16,16,16,10,0,0,0
1705640175,10,16,16,16,16,16,16,48,48,16,32,16,15,14,16,16,16,16,16,15,15,15,15,11,14,14,14,14,14,14,13,13,13,13,12,12,14,10,15,60,45,15,15,15,15,15,15,10,0,0,0
1705640190,10,14,13,13,13,13,13,39,39,13,26,13,15,15,16,16,16,16,16,18,18,18,18,20,16,16,16,16,16,16,17,17,17,17,18,18,16,10,13,52,39,13,13,13,13,13,13,10,69,0,0
1705640205,10,16,17,17,17,17,17,51,51,17,34,17,14,15,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,16,64,48,16,16,16,16,16,16,10,23,0,0
1705640220,10,16,16,16,16,16,16,48,48,16,32,16,15,15,7,7,7,7,7,7,7,7,7,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,16,64,48,16,16,16,16,16,16,10,23,0,0
1705640235,10,11,11,11,11,11,11,33,33,11,22,11,17,15,19,19,19,19,19,17,17,17,17,10,13,13,13,13,13,13,12,12,12,12,12,12,13,10,11,44,33,11,11,11,11,11,11,10,0,0,0
1705640250,10,9,9,9,9,9,9,27,27,9,18,9,7,9,15,15,15,15,15,17,17,17,17,17,15,15,15,15,15,15,15,15,15,15,15,15,15,10,9,36,27,9,9,9,9,9,9,10,46,0,0
1705640265,10,19,19,19,19,19,19,57,57,19,38,19,13,13,10,10,10,10,10,10,10,10,10,15,14,14,14,14,14,14,15,15,15,15,15,15,14,10,19,76,57,19,19,19,19,19,19,10,0,0,0
1705640280,10,15,15,15,15,15,15,45,45,15,30,15,17,17,15,15,15,15,15,14,14,14,14,13,14,14,14,14,14,14,14,14,14,13,13,13,14,10,15,60,45,15,15,15,15,15,15,10,23,0,0
1705640295,10,10,10,10,10,10,10,30,30,10,20,10,13,13,18,18,18,18,18,18,18,18,18,13,15,15,15,15,15,15,14,14,14,14,14,14,15,10,10,40,30,10,10,10,10,10,10,10,0,0,0
1705640310,10,15,15,15,15,15,15,45,45,15,30,15,11,11,12,12,12,12,12,13,13,13,13,18,15,15,15,15,15,15,16,16,16,17,17,17,15,10,15,60,45,15,15,15,15,15,15,10,23,0,0
1705640325,10,20,20,20,20,20,20,60,60,20,40,20,18,18,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,20,80,60,20,20,20,20,20,20,10,23,0,0
1705640340,10,10,10,10,10,10,10,30,30,10,20,10,16,16,17,17,17,17,17,17,17,17,17,7,11,11,11,11,11,11,11,11,11,9,7,7,11,10,10,40,30,10,10,10,10,10,10,10,0,0,0
1705640355,10,8,8,8,8,8,8,24,24,8,16,8,9,8,20,20,20,20,20,17,17,17,17,16,16,16,16,16,16,16,15,15,15,17,18,18,16,10,8,32,24,8,8,8,8,8,8,10,46,0,0
1705640370,10,17,17,17,17,17,17,51,51,17,34,17,14,15,7,7,7,7,7,10,10,10,10,22,19,19,19,19,19,19,20,20,20,20,20,20,19,10,17,68,51,17,17,17,17,17,17,10,0,0,0
1705640385,10,17,17,17,17,17,17,51,51,17,34,17,14,13,12,12,12,12,12,12,12,12,12,10,11,11,11,11,11,11,10,10,10,10,11,11,10,10,17,68,51,17,17,17,17,17,17,10,23,0,0
1705640400,10,11,11,11,11,11,11,33,33,11,22,11,15,16,17,17,17,17,17,16,16,16,16,12,11,11,11,11,11,11,11,11,11,11,11,11,11,10,12,48,36,12,12,12,12,12,12,10,23,0,0
1705640415,10,15,15,15,15,15,15,45,45,15,30,15,14,14,15,15,15,15,15,16,16,16,16,16,15,15,15,15,15,15,16,16,16,16,16,16,16,10,14,56,42,14,14,14,14,14,14,10,46,0,0
1705640430,10,14,14,14,14,14,14,42,42,14,28,14,13,13,12,12,12,12,12,11,11,11,11,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,15,60,45,15,15,15,15,15,15,10,23,0,0
1705640445,10,14,14,14,14,14,14,42,42,14,28,14,15,15,10,10,10,10,10,11,11,11,11,7,8,8,8,8,8,8,8,8,8,7,7,7,8,10,13,52,39,13,13,13,13,13,13,10,23,0,0
1705640460,10,10,10,10,10,10,10,30,30,10,20,10,14,14,21,21,21,21,21,19,19,19,19,11,14,14,14,14,14,14,13,13,13,14,14,14,14,10,11,44,33,11,11,11,11,11,11,10,0,0,0
1705640475,10,13,13,13,13,13,13,39,39,13,26,13,9,9,8,8,8,8,8,10,10,10,10,22,20,20,20,20,20,20,21,21,21,20,19,19,20,10,12,48,36,12,12,12,12,12,12,10,46,0,0
1705640490,10,21,21,21,21,21,21,63,63,21,42,21,15,15,13,13,13,13,13,13,13,13,13,9,8,8,8,8,8,8,8,8,8,8,9,9,8,10,21,84,63,21,21,21,21,21,21,10,23,0,0
1705640505,10,10,10,10,10,10,10,30,30,10,20,10,17,17,17,17,17,17,17,17,17,17,17,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,10,40,30,10,10,10,10,10,10,10,0,0,0
1705640520,10,14,14,14,14,14,14,42,42,14,28,14,13,13,12,12,12,12,12,12,12,12,12,14,16,16,16,16,16,16,16,16,16,16,16,16,16,10,14,56,42,14,14,14,14,14,14,10,0,0,0
1705640535,10,14,14,14,14,14,14,42,42,14,28,14,14,14,16,16,16,16,16,16,16,16,16,17,15,15,15,15,15,15,15,15,15,15,15,15,15,10,14,56,42,14,14,14,14,14,14,10,0,0,0
1705640550,10,17,17,17,17,17,17,51,51,17,34,17,17,17,14,14,14,14,14,12,12,12,12,15,17,17,17,17,17,17,16,16,16,16,16,16,16,10,17,68,51,17,17,17,17,17,17,10,0,0,0
1705640565,10,16,16,16,16,16,16,48,48,16,32,16,15,14,17,17,17,17,17,18,18,18,18,10,10,10,10,10,9,9,10,10,10,11,11,11,10,10,17,68,51,17,17,17,17,17,17,10,0,0,0
1705640580,10,7,7,7,7,7,7,21,21,7,14,7,13,14,14,14,14,14,14,13,13,13,13,19,16,16,16,16,17,17,17,17,17,17,17,17,17,10,7,28,21,7,7,7,7,7,7,10,23,0,0
1705640595,10,17,17,17,17,17,17,51,51,17,34,17,11,9,13,13,13,13,13,13,13,13,13,16,17,17,17,17,17,17,17,17,17,17,17,17,17,10,17,68,51,17,17,17,17,17,17,10,0,0,0
1705640610,10,18,18,18,18,18,18,54,54,18,36,18,18,19,12,12,12,12,12,14,14,14,14,9,11,11,11,11,11,11,10,10,10,9,8,8,10,10,17,68,51,17,17,17,17,17,17,10,23,0,0
1705640625,10,12,12,12,12,12,12,36,36,12,24,12,15,16,12,12,12,12,12,12,12,12,12,15,12,12,12,12,12,12,13,13,13,14,15,15,13,10,12,48,36,12,12,12,12,12,12,10,46,0,0
1705640640,10,12,12,12,12,12,12,36,36,12,24,12,11,11,20,20,20,20,20,18,18,18,18,14,18,18,18,18,18,18,15,15,15,15,15,15,18,10,12,48,36,12,12,12,12,12,12,10,0,0,0
1705640655,10,17,17,17,17,17,17,51,51,17,34,17,14,14,13,13,13,13,13,15,15,15,15,14,12,12,12,12,12,12,15,15,15,14,13,13,12,10,17,68,51,17,17,17,17,17,17,10,0,0,0
1705640670,10,14,14,14,14,14,14,42,42,14,28,14,14,14,7,7,7,7,7,7,7,7,7,15,16,16,16,16,16,16,15,15,15,15,16,16,16,10,14,56,42,14,14,14,14,14,14,10,0,0,0
1705640685,10,13,13,13,13,13,13,39,39,13,26,13,19,19,19,19,19,19,19,19,19,19,19,10,9,9,9,9,9,9,10,10,10,11,11,11,9,10,13,52,39,13,13,13,13,13,13,10,0,0,0
1705640700,10,12,12,12,12,12,12,36,36,12,24,12,7,7,16,16,16,16,16,16,16,16,16,17,21,21,21,21,21,21,20,20,20,18,17,17,21,10,13,52,39,13,13,13,13,13,13,10,23,0,0
1705640715,10,14,14,14,14,14,14,42,42,14,28,14,17,16,16,16,16,16,16,15,15,15,15,14,16,16,16,16,16,16,13,13,13,15,16,16,16,10,14,56,42,14,14,14,14,14,14,10,0,0,0
1705640730,10,15,15,15,15,15,15,45,45,15,30,15,16,17,7,7,7,7,7,8,8,8,8,18,10,10,10,10,10,10,14,14,14,14,14,14,10,10,14,56,42,14,14,14,14,14,14,10,0,0,0
1705640745,10,15,15,15,15,15,15,45,45,15,30,15,13,13,19,19,19,19,19,17,17,17,17,6,13,13,13,13,13,13,11,11,11,11,11,11,13,10,15,60,45,15,15,15,15,15,15,10,23,0,0
1705640760,10,13,13,13,13,13,13,39,39,13,26,13,12,12,13,13,13,13,13,14,14,14,14,19,14,14,14,14,14,14,15,15,15,15,15,15,14,10,13,51,39,13,13,13,13,13,13,10,23,0,1
1705640775,10,12,12,12,12,12,12,36,36,12,24,12,12,12,18,18,18,18,18,19,19,19,19,16,16,16,16,16,16,16,17,17,17,16,16,16,16,10,12,48,36,12,12,12,12,12,12,10,23,0,0
1705640790,10,21,21,21,21,21,21,63,63,21,42,21,15,15,10,10,10,10,10,9,9,9,9,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,21,84,63,21,21,21,21,21,21,10,0,0,0
1705640805,10,12,12,12,12,12,12,36,36,12,24,12,20,20,14,14,14,14,14,15,15,15,15,11,9,9,9,9,9,9,9,9,9,10,10,10,9,10,12,48,36,12,12,12,12,12,12,10,0,0,0
1705640820,10,13,13,13,13,13,13,39,39,13,26,13,11,11,15,15,15,15,15,15,15,15,15,17,18,18,18,18,18,18,18,18,18,17,17,17,18,10,13,52,39,13,13,13,13,13,13,10,23,0,0
1705640835,10,15,15,15,15,15,15,45,45,15,30,15,15,15,18,18,18,18,18,16,16,16,16,14,16,16,16,16,16,16,15,15,15,15,15,15,16,10,15,60,45,15,15,15,15,15,15,10,23,0,0
1705640850,2,4,4,4,4,4,4,12,12,4,8,4,3,3,6,6,6,6,6,8,8,8,8,3,1,1,1,1,1,1,2,2,2,2,2,2,1,2,5,19,15,5,5,5,5,4,4,4,0,0,0
