time,front-end_1,front-end_2,front-end_3,front-end_4,catalogue_5,front-end_6,front-end_7,front-end_8,front-end_9,user_10,front-end_11,front-end_12,user_13,front-end_14,carts_15,front-end_16,user_17,front-end_18,front-end_19,front-end_20,front-end_21,front-end_22,user_23,user_24,orders_25,payment_26,orders_27,shipping_28,queue-master_29,queue-master_30,queue-master_31,queue-master_32,queue-master_33,front-end_34,front-end_35,front-end_36,user_37,front-end_38,front-end_39,front-end_40,front-end_41,front-end_42,front-end_43,front-end_44,catalogue_45,payment_46,catalogue_47,front-end_48,user_49,carts_50,user-db_51
1705683135,16,16,16,16,16,16,16,16,16,16,16,16,16,16,0,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,18,18,18,18,18,18,18,18,18,10,10,16,16,10,0,0
1705683150,16,16,16,16,16,16,16,16,16,16,16,16,16,16,46,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,16,16,16,16,16,16,16,16,16,10,10,15,15,10,0,0
1705683165,14,14,14,14,14,14,14,14,14,14,14,14,14,14,0,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,15,15,15,15,15,15,15,15,15,10,10,16,16,10,0,0
1705683180,20,20,20,20,20,20,20,20,20,20,20,20,20,20,23,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,17,17,17,17,17,17,17,17,17,10,10,15,15,10,0,0
1705683195,13,13,13,13,13,13,13,13,13,13,13,13,13,13,23,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,15,15,15,15,15,15,15,15,15,10,10,19,19,10,0,0
1705683210,13,13,13,13,13,13,13,13,14,14,14,14,14,14,0,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,10,10,10,10,10,10,10,10,10,13,13,10,0,0
1705683225,12,12,12,12,12,12,12,12,11,11,11,11,11,11,23,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,19,19,19,19,19,19,19,19,19,10,10,16,16,10,0,0
1705683240,21,21,21,21,21,21,21,21,21,21,21,21,21,21,0,12,48,36,12,12,12,12,12,12,12,11,11,11,11,11,33,33,11,22,11,15,15,15,15,15,15,15,15,15,10,10,12,12,10,0,0
1705683255,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,23,92,69,23,23,23,23,23,23,23,24,24,24,24,24,72,72,24,48,24,8,8,8,8,8,8,8,8,8,10,10,15,15,10,0,0
1705683270,18,18,18,18,18,18,18,18,19,19,19,19,19,19,0,9,36,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,9,18,9,23,23,23,23,23,23,23,23,23,10,10,19,19,10,0,0
1705683285,17,17,17,17,17,17,17,17,16,16,16,16,16,16,23,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,13,13,13,13,13,13,13,13,13,10,10,11,11,10,0,0
1705683300,12,12,12,12,12,12,12,12,12,12,12,12,12,12,23,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,13,13,13,13,13,13,13,13,13,10,10,16,16,10,0,0
1705683315,17,17,17,17,17,17,17,17,17,17,17,17,17,17,23,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,20,20,20,20,20,20,20,20,20,10,10,18,18,10,1,0
1705683330,19,19,19,19,19,19,19,19,19,19,19,19,19,19,0,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,19,19,19,19,19,19,19,19,19,10,10,10,10,10,0,0
1705683345,14,14,14,14,14,14,14,14,14,14,14,14,14,14,23,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,12,12,12,12,12,12,12,12,12,10,10,18,18,10,0,0
1705683360,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,13,13,13,13,13,13,13,13,13,10,10,20,20,10,0,0
1705683375,19,19,19,19,19,19,19,19,19,19,19,19,19,19,23,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,16,16,16,16,16,16,16,16,16,10,10,8,8,10,0,0
1705683390,13,13,13,13,13,13,13,13,13,13,13,13,13,13,0,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,17,17,17,17,17,17,17,17,17,10,10,15,15,10,0,0
1705683405,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,10,10,10,9,9,9,9,10,10,20,20,10,0,0
1705683420,14,14,14,14,14,14,14,14,15,15,15,15,15,15,0,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,22,22,22,22,22,23,23,23,23,10,10,15,15,10,0,0
1705683435,25,25,25,25,25,25,25,25,24,24,24,24,24,24,69,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,12,12,12,12,12,12,12,12,12,10,10,9,9,10,0,0
1705683450,8,8,8,8,8,8,8,8,8,8,8,8,8,8,23,21,84,63,21,21,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,12,12,12,12,12,12,12,12,12,10,10,21,21,10,0,0
1705683465,15,15,15,15,15,15,15,15,15,15,15,15,15,15,23,8,32,24,8,8,8,8,8,8,8,8,8,8,8,8,24,24,8,16,8,17,17,17,17,17,17,17,17,17,10,10,16,16,10,0,0
1705683480,21,21,21,21,21,21,21,21,21,21,21,21,21,21,0,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,21,21,21,21,21,20,20,20,20,10,10,10,10,10,0,0
1705683495,12,12,12,12,12,12,12,12,12,12,12,12,12,12,23,23,92,69,23,23,23,23,23,23,22,22,22,22,22,22,66,66,22,44,22,9,9,9,9,9,9,9,9,9,10,10,15,15,10,0,0
1705683510,15,15,15,15,15,15,15,15,15,15,15,15,15,15,0,11,44,33,11,11,11,11,11,11,12,12,12,12,12,12,36,36,12,24,12,15,15,15,15,15,15,15,15,15,10,10,21,21,10,0,0
1705683525,14,14,14,14,14,14,14,14,15,15,15,15,15,15,23,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,18,18,18,18,18,19,19,19,19,10,10,11,11,10,0,0
1705683540,12,12,12,12,12,12,12,12,11,11,11,11,11,11,0,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,12,12,12,12,12,12,12,12,12,10,10,19,19,10,0,0
1705683555,18,18,18,18,18,18,18,18,18,18,18,18,18,18,46,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,16,16,16,16,16,16,16,16,16,10,10,15,15,10,0,0
1705683570,15,15,15,15,15,15,15,15,15,15,15,15,15,15,0,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,15,15,15,15,15,15,15,15,15,10,10,14,14,10,0,0
1705683585,17,17,17,17,17,17,17,17,17,17,17,17,17,17,23,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,16,16,16,16,16,16,16,16,16,10,10,13,13,10,0,0
1705683600,19,19,19,19,19,19,19,19,20,20,20,20,20,20,0,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,19,19,19,19,19,19,19,19,19,10,10,16,16,10,0,0
1705683615,17,17,17,17,17,17,17,17,16,16,16,16,16,16,0,21,84,63,21,21,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,18,18,18,18,18,18,18,18,18,10,10,18,18,10,0,0
1705683630,15,14,14,14,14,14,14,14,15,15,15,15,15,15,23,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,12,12,12,12,12,12,12,12,12,10,10,20,20,10,0,0
1705683645,14,15,15,15,15,15,15,15,14,14,14,14,14,14,0,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,15,15,15,15,15,15,15,15,15,10,10,16,16,10,0,0
1705683660,12,12,12,12,12,12,12,12,12,12,12,12,12,12,23,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,17,17,17,17,17,17,17,17,17,10,10,13,13,10,0,0
1705683675,19,19,19,19,19,19,19,19,19,19,19,19,19,19,23,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,16,16,16,16,16,15,15,15,15,10,10,11,11,10,0,0
1705683690,14,14,14,14,14,14,14,14,14,14,14,14,14,14,0,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,14,14,14,14,14,15,15,15,15,10,10,17,17,10,0,0
1705683705,12,12,12,12,12,12,12,12,12,12,12,12,12,12,23,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,11,11,11,11,11,11,11,11,11,10,10,17,17,10,0,0
1705683720,18,18,18,18,18,18,18,18,18,18,18,18,18,18,23,9,36,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,9,18,9,21,21,21,21,21,21,21,21,21,10,10,17,17,10,0,0
1705683735,17,17,17,17,17,17,17,17,17,17,17,17,17,17,23,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,18,18,18,18,18,18,18,18,18,10,10,10,10,10,0,1
1705683750,15,15,15,15,15,15,15,15,15,15,15,15,15,15,23,15,60,45,15,15,15,15,15,15,14,14,14,14,14,14,42,42,14,28,14,10,10,10,10,10,10,10,10,10,10,10,19,18,10,0,0
1705683765,13,13,13,13,13,13,13,13,13,13,13,13,13,13,0,18,72,54,18,18,18,18,18,18,19,19,19,19,19,19,57,57,19,38,19,15,15,15,15,15,15,15,15,15,10,10,17,18,10,0,0
1705683780,16,16,16,16,16,16,16,15,16,16,16,16,16,16,46,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,19,19,19,19,19,19,19,19,19,10,10,13,13,10,0,0
1705683795,21,21,21,21,21,21,21,22,21,21,21,21,21,21,23,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,14,14,14,14,14,14,14,14,14,10,10,15,15,10,0,0
1705683810,16,16,16,16,16,16,16,16,16,16,16,16,16,16,23,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,17,17,17,17,17,17,17,17,17,10,10,17,17,10,0,0
1705683825,14,14,14,14,14,14,14,14,14,14,14,14,14,14,0,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,17,16,16,16,16,16,16,16,16,10,10,19,19,10,0,0
1705683840,13,13,13,13,13,13,13,13,13,13,13,13,13,13,0,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,15,16,16,16,16,16,16,16,16,10,10,14,14,10,0,0
1705683855,17,17,17,17,17,17,17,17,18,18,18,18,18,18,23,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,14,14,14,14,14,14,14,14,14,10,10,14,14,10,0,0
1705683870,12,12,12,12,12,12,12,12,11,11,11,11,11,11,0,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,14,14,14,14,14,14,14,14,14,10,10,14,14,10,0,0
1705683885,18,18,18,18,18,18,18,18,18,18,18,18,18,18,23,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,19,19,19,19,19,19,19,19,19,10,10,16,16,10,0,0
1705683900,16,16,16,16,16,16,16,16,17,17,17,17,17,17,0,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,15,15,15,15,15,15,15,15,15,10,10,13,13,10,0,0
1705683915,15,15,15,15,15,15,15,15,15,15,15,15,15,15,0,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,15,15,15,15,15,15,15,15,15,10,10,17,17,10,0,0
1705683930,15,15,15,15,15,15,15,15,14,14,14,14,14,14,0,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,16,16,16,16,16,16,16,16,16,10,10,16,16,10,0,0
1705683945,14,14,14,14,14,14,14,14,14,14,14,14,14,14,23,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,12,12,12,12,12,12,12,12,12,10,10,18,18,10,0,0
1705683960,13,13,13,13,13,13,13,13,13,13,13,13,13,13,23,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,14,14,14,14,14,14,14,14,14,10,10,14,14,10,0,0
1705683975,18,18,18,18,18,18,18,17,18,18,18,18,18,18,0,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,22,22,22,22,22,22,22,22,22,10,10,13,13,10,0,0
1705683990,18,18,18,18,18,18,18,19,18,18,18,18,18,18,0,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,9,9,9,9,9,9,9,9,9,10,10,16,16,10,0,0
1705684005,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,19,19,19,19,19,18,18,18,18,10,10,19,19,10,0,0
1705684020,22,22,22,22,22,22,22,22,23,23,23,23,23,23,46,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,15,15,15,15,15,16,16,16,16,10,10,12,12,10,0,0
1705684035,6,6,6,6,6,6,6,6,5,5,5,5,5,5,23,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,7,7,7,7,7,7,7,7,7,6,6,6,6,6,0,0
