time,front-end_1,user_2,front-end_3,front-end_4,user_5,front-end_6,front-end_7,front-end_8,front-end_9,catalogue_10,front-end_11,front-end_12,catalogue_13,front-end_14,front-end_15,front-end_16,front-end_17,user_18,front-end_19,front-end_20,front-end_21,front-end_22,front-end_23,user_24,user_25,orders_26,payment_27,orders_28,shipping_29,queue-master_30,queue-master_31,queue-master_32,queue-master_33,queue-master_34,front-end_35,front-end_36,user_37,front-end_38,user_39,front-end_40,front-end_41,front-end_42,front-end_43,front-end_44,front-end_45,front-end_46,catalogue_47,payment_48,user_49,carts_50,user_51,user_52,user_53
1705761570,18,18,18,18,17,17,17,17,17,19,17,19,17,17,17,17,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0
1705761585,6,6,6,6,7,7,7,7,7,17,7,17,7,7,7,7,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,17,17,17,17,17,17,17,17,17,10,10,0,23,0,0,0
1705761600,24,24,24,24,24,24,24,24,24,9,24,9,24,24,24,24,9,35,25,9,9,8,8,8,8,8,8,8,8,8,8,24,24,8,16,8,10,17,17,17,17,17,17,17,17,17,10,10,0,23,0,0,0
1705761615,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,21,85,65,21,21,22,22,22,22,22,22,22,22,22,22,66,66,22,44,22,10,12,12,12,12,12,12,12,12,12,10,10,0,0,0,0,0
1705761630,10,10,10,10,10,10,10,10,10,22,10,22,10,10,10,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,18,18,18,18,18,18,18,18,18,10,10,0,0,0,0,0
1705761645,22,22,22,22,22,22,22,22,22,15,22,15,22,22,22,22,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,10,16,16,16,16,16,16,16,16,16,10,10,0,23,0,0,0
1705761660,16,16,16,16,16,16,16,16,16,12,16,12,16,16,16,16,24,96,72,24,24,24,24,24,24,24,24,24,24,24,24,72,72,24,48,24,10,13,13,13,13,13,13,13,13,13,10,10,0,23,0,0,0
1705761675,11,11,11,11,11,11,11,11,11,20,11,20,11,11,11,11,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,13,13,13,13,13,13,13,13,13,10,10,0,0,0,0,0
1705761690,16,16,16,16,16,16,16,16,16,15,16,15,16,16,16,16,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,17,16,16,16,16,16,16,16,16,10,10,0,0,0,0,0
1705761705,18,18,18,18,18,18,18,18,18,12,18,12,18,18,18,18,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,18,19,19,19,19,19,19,19,19,10,10,0,0,0,0,0
1705761720,12,12,12,12,12,12,12,12,12,18,12,18,12,12,12,12,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,8,8,8,8,8,8,8,8,8,10,10,0,23,0,0,0
1705761735,12,12,12,12,12,12,12,12,12,14,12,14,12,12,12,12,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,25,25,25,25,25,25,25,25,25,10,10,0,23,0,0,0
1705761750,24,24,24,24,24,24,24,24,24,11,24,11,24,24,24,24,13,52,39,13,13,13,13,13,13,13,12,12,12,12,12,36,36,12,24,12,10,8,8,8,8,8,8,8,8,8,10,10,0,0,0,0,0
1705761765,6,6,6,6,6,6,5,5,5,19,5,19,5,5,5,5,21,84,63,21,21,21,21,21,21,21,22,22,22,22,22,66,66,22,44,22,10,11,11,11,11,11,11,11,11,11,10,10,0,23,0,0,0
1705761780,19,19,19,19,19,19,20,20,20,12,20,12,20,20,20,20,7,28,21,7,7,7,7,7,7,7,7,7,7,7,7,21,21,7,14,7,10,24,24,24,24,24,24,24,24,24,10,10,0,0,0,0,0
1705761795,16,16,16,16,16,16,16,16,16,12,16,12,16,16,16,16,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,15,15,15,15,15,15,15,15,15,10,10,0,0,0,0,0
1705761810,15,15,15,15,15,15,14,14,14,21,14,21,14,14,14,14,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,11,11,11,11,11,11,11,11,11,10,10,0,0,0,0,0
1705761825,14,14,14,14,13,14,15,15,15,15,15,15,15,15,15,15,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,15,15,15,15,15,15,15,15,15,10,10,0,46,1,0,0
1705761840,15,15,15,15,15,15,15,15,15,12,15,12,15,15,15,15,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,21,20,20,20,20,20,20,20,20,10,10,0,23,0,0,0
1705761855,20,20,20,20,20,20,20,20,20,14,20,14,20,20,20,20,22,88,66,22,22,22,22,22,22,22,22,22,22,22,22,66,66,22,44,22,10,13,14,14,14,14,14,14,14,14,10,10,0,0,0,0,0
1705761870,13,13,13,13,13,13,13,13,13,21,13,21,13,13,13,13,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,28,14,10,12,12,12,12,12,12,12,12,12,10,10,0,0,0,0,0
1705761885,15,15,15,15,15,15,15,15,15,14,15,14,15,15,15,15,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,30,15,10,16,16,16,16,16,16,16,16,16,10,10,0,0,0,0,0
1705761900,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,15,15,15,15,15,15,15,15,15,10,10,0,46,0,0,0
1705761915,15,15,15,15,15,15,14,14,14,15,14,15,14,14,14,14,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,17,17,17,17,17,17,17,17,17,10,10,0,0,0,0,0
1705761930,17,17,17,17,17,17,18,18,18,14,18,14,18,18,18,18,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,16,16,16,16,16,16,16,16,16,10,10,0,0,0,0,0
1705761945,13,13,13,13,13,13,13,13,13,17,13,17,13,13,13,13,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,11,11,11,11,11,11,11,11,11,10,10,0,23,0,0,0
1705761960,14,14,14,14,14,14,14,14,14,16,14,16,14,14,14,14,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,17,17,17,17,17,17,17,17,17,10,10,0,0,0,0,0
1705761975,14,14,14,14,14,14,14,14,14,10,14,10,14,14,14,14,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,17,17,17,17,17,17,17,17,16,10,10,0,23,0,0,0
1705761990,19,19,19,18,18,18,18,18,18,19,18,19,18,18,18,18,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,15,15,15,15,15,15,15,15,16,10,10,0,0,0,0,0
1705762005,13,13,13,14,14,14,14,14,14,18,14,18,14,14,14,13,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,15,15,15,15,15,15,15,15,15,10,10,0,23,0,0,0
1705762020,21,21,21,21,21,21,21,21,21,16,21,16,21,21,21,22,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,22,22,22,22,22,22,22,22,22,10,10,0,23,0,0,0
1705762035,15,15,15,15,15,15,15,15,15,14,15,14,15,15,15,15,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,11,11,11,11,11,11,11,11,11,10,10,0,23,0,0,0
1705762050,14,14,14,14,14,14,14,14,14,21,14,21,14,14,14,14,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,11,11,11,11,11,11,11,11,11,10,10,0,0,0,0,0
1705762065,15,15,15,15,15,15,15,15,15,11,15,11,15,15,15,15,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,19,19,19,19,19,19,19,19,19,10,10,0,46,0,0,0
1705762080,19,19,19,19,19,19,19,19,19,13,19,13,19,19,19,19,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,22,21,21,21,21,21,21,21,21,10,10,0,0,0,0,0
1705762095,15,15,15,15,15,15,15,15,15,16,15,16,15,15,15,15,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,13,14,14,14,14,14,14,14,14,10,10,0,0,0,0,0
1705762110,14,14,14,14,14,14,14,14,14,19,14,19,14,14,14,14,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,12,12,12,12,12,12,12,12,12,10,10,0,46,0,0,0
1705762125,18,18,18,18,18,18,18,18,18,16,18,16,18,18,18,18,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,20,20,20,20,20,20,20,20,20,10,10,0,0,0,0,0
1705762140,12,12,12,12,12,12,12,12,12,14,12,14,12,12,12,12,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,11,11,11,11,11,11,11,11,11,10,10,0,23,0,0,0
1705762155,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,16,16,16,16,16,16,16,16,16,10,10,0,23,0,0,0
1705762170,20,20,20,20,20,20,20,20,20,16,20,16,20,20,20,20,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,17,17,17,17,17,17,17,17,17,10,10,0,23,0,0,0
1705762185,13,13,13,13,13,13,13,13,13,14,13,14,13,13,13,13,22,88,66,22,22,22,22,22,22,22,22,22,22,22,22,66,66,22,44,22,10,12,12,12,12,12,12,12,12,12,10,10,0,0,0,0,0
1705762200,12,12,12,12,12,12,12,12,12,17,12,17,12,12,12,12,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,18,18,18,18,18,18,18,18,18,10,10,0,23,0,0,0
1705762215,16,16,16,16,16,16,16,16,16,14,16,14,16,16,16,16,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,13,13,13,13,13,13,13,13,13,10,10,0,0,0,0,0
1705762230,19,19,19,19,19,19,19,19,19,16,19,16,19,19,19,19,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,22,22,22,22,22,22,22,22,22,10,10,0,0,0,0,0
1705762245,16,16,16,16,16,16,16,16,16,15,16,15,16,16,16,16,21,84,63,21,21,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,10,12,12,12,12,12,12,12,12,12,10,10,0,23,0,0,0
1705762260,12,12,12,12,12,12,12,12,12,15,12,15,12,12,12,12,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,17,17,17,17,17,17,17,17,17,10,10,0,0,0,0,0
1705762275,17,17,17,16,16,16,16,16,16,17,16,17,16,16,16,16,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,14,14,14,14,14,14,14,14,14,10,10,0,23,0,0,0
1705762290,16,16,16,17,17,17,17,17,17,15,17,15,17,17,17,17,21,84,63,21,21,21,21,21,21,21,21,21,21,21,21,63,63,21,40,20,10,17,17,17,17,17,17,17,17,17,10,10,0,23,0,0,0
1705762305,13,13,13,13,13,13,13,13,13,17,13,17,13,13,13,13,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,30,15,10,14,14,14,14,14,14,14,14,14,10,10,0,23,0,0,0
1705762320,20,20,20,20,20,20,20,20,20,15,20,15,20,20,20,20,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,16,16,16,16,16,16,16,16,16,10,10,0,23,0,0,0
1705762335,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,10,17,17,17,17,17,17,17,17,17,10,10,0,23,0,0,0
1705762350,15,15,15,15,15,15,15,15,15,16,15,16,15,15,15,15,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,13,13,13,13,13,13,13,13,13,10,10,0,0,0,0,0
1705762365,13,13,13,13,13,13,13,13,13,17,13,17,13,13,13,13,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,17,17,17,17,17,17,17,17,17,10,10,0,0,0,0,0
1705762380,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,13,13,13,13,13,12,12,12,12,10,10,0,69,0,0,0
1705762395,19,19,19,19,19,19,19,19,19,16,19,16,19,19,19,19,14,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,15,15,15,15,15,16,16,16,16,10,10,0,0,0,0,0
1705762410,12,12,12,12,12,12,12,12,12,15,12,15,12,12,12,12,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,11,11,11,11,11,11,11,11,11,10,10,0,0,0,0,0
1705762425,16,16,16,16,16,16,16,16,16,13,16,13,16,16,16,16,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,17,17,17,17,17,17,17,17,17,10,10,0,0,0,0,0
1705762440,12,12,12,12,12,12,12,12,12,17,12,17,12,12,12,12,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,18,18,18,18,18,18,18,18,18,10,10,0,46,0,0,0
1705762455,18,18,18,18,18,18,18,18,18,10,18,10,18,18,18,18,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,16,16,16,16,16,16,16,16,16,10,10,0,23,0,0,0
1705762470,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,10,10,10,10,10,10,10,10,10,10,0,46,0,0,0
1705762485,14,14,14,14,14,14,14,14,14,17,14,17,14,14,14,14,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,20,20,20,20,20,20,20,20,20,10,10,0,0,0,0,0
1705762500,15,15,15,15,15,15,15,15,15,11,15,11,15,15,15,15,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,10,10,10,10,10,10,10,10,10,10,0,46,0,0,0
1705762515,12,12,12,12,12,12,12,12,12,23,12,23,12,12,12,12,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,14,14,14,14,14,14,14,14,14,10,10,0,0,0,0,0
1705762530,14,14,14,14,14,14,14,14,14,10,14,10,14,14,14,14,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,10,18,18,18,18,18,18,18,18,18,10,10,0,23,0,0,0
1705762545,18,18,18,18,18,18,18,18,18,14,18,14,18,18,18,18,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,17,17,17,17,17,17,17,17,17,10,10,0,0,0,0,0
1705762560,17,17,17,17,17,17,17,17,17,16,17,16,17,17,17,17,22,88,66,22,22,22,22,22,22,22,22,22,22,22,22,66,66,22,44,22,10,17,17,17,17,17,17,17,17,17,10,10,0,23,0,0,0
1705762575,11,11,11,11,11,11,11,11,11,17,11,17,11,11,11,11,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,12,12,12,12,12,12,12,12,12,10,10,0,0,0,0,0
1705762590,17,17,17,17,17,17,17,16,16,16,16,16,16,16,16,16,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,10,19,19,19,19,19,19,19,19,19,10,10,0,23,0,0,0
1705762605,19,19,19,19,19,19,18,19,19,11,19,11,19,19,19,19,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,11,11,11,11,11,11,11,11,11,10,10,0,0,0,0,0
1705762620,10,10,10,10,10,10,11,11,11,21,11,21,11,11,11,11,22,88,66,22,22,22,22,22,22,22,22,22,22,22,22,66,66,22,44,22,10,14,14,14,14,14,14,14,14,14,10,10,0,23,0,0,0
1705762635,17,17,17,17,17,17,17,17,17,11,17,11,17,17,17,17,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,14,13,13,13,13,13,13,13,13,10,10,0,0,0,0,0
1705762650,9,9,9,9,9,9,9,9,9,16,9,16,9,9,9,9,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,14,15,15,15,15,15,15,15,15,10,10,0,46,0,0,0
1705762665,23,23,23,22,22,22,21,20,20,12,20,12,20,20,20,19,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,10,21,21,21,21,21,21,21,21,21,10,10,0,23,0,0,0
1705762680,14,14,14,15,15,15,16,17,17,12,17,12,17,17,17,18,24,96,72,24,24,24,24,24,24,24,24,24,24,24,24,72,72,24,48,24,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0
1705762695,12,12,12,12,12,12,12,12,12,23,12,23,12,12,12,12,12,47,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,13,13,13,13,13,13,13,13,13,10,10,0,0,0,1,0
1705762710,17,17,17,17,17,17,17,17,17,12,17,12,17,17,17,17,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,16,16,16,16,16,16,16,16,16,10,10,0,0,0,0,0
1705762725,15,15,15,15,15,15,14,14,14,13,14,13,14,14,14,14,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,18,18,18,18,18,18,18,18,18,10,10,0,23,0,0,0
1705762740,14,14,14,14,14,14,15,15,15,16,15,16,15,15,15,15,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,15,15,15,15,15,15,15,15,15,10,10,0,0,0,0,0
1705762755,12,12,12,12,12,12,12,12,12,15,12,15,12,12,12,12,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0
1705762770,16,16,16,16,16,16,16,16,16,14,16,14,16,16,16,16,14,55,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,19,19,19,19,19,19,19,19,19,10,10,0,0,0,0,1
1705762785,17,17,17,17,17,17,17,17,17,16,17,16,17,17,17,17,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,17,17,17,17,17,17,17,17,17,10,10,0,46,0,0,0
1705762800,17,17,17,17,16,16,16,16,16,13,16,13,16,16,16,16,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,16,16,16,16,16,16,16,16,16,10,10,0,0,0,0,0
1705762815,9,9,9,9,10,10,10,10,10,9,10,9,10,10,10,9,7,28,21,7,7,7,7,7,7,7,7,7,7,7,7,21,21,7,14,7,4,3,3,3,3,3,3,3,3,3,6,6,0,0,0,0,0
