time,front-end_1,user_2,front-end_3,front-end_4,front-end_5,front-end_6,front-end_7,user_8,user_9,orders_10,payment_11,orders_12,shipping_13,queue-master_14,queue-master_15,queue-master_16,queue-master_17,queue-master_18,front-end_19,front-end_20,front-end_21,user_22,front-end_23,front-end_24,user_25,front-end_26,front-end_27,front-end_28,front-end_29,front-end_30,catalogue_31,front-end_32,front-end_33,front-end_34,catalogue_35,front-end_36,catalogue_37,payment_38,front-end_39,user_40,front-end_41,front-end_42,front-end_43,front-end_44,front-end_45,front-end_46,front-end_47,user_48,carts_49,user-db_50,carts_51,user_52,user_53
1705728315,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,16,16,16,17,17,17,17,17,17,17,17,17,17,17,16,16,10,10,12,12,12,12,12,12,12,12,12,10,0,0,0,0,0
1705728330,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,10,20,20,20,20,20,20,20,20,20,10,0,0,0,0,0
1705728345,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,21,21,21,21,21,21,21,21,21,21,21,20,20,20,15,15,10,10,13,13,13,13,13,13,13,13,13,10,23,0,0,0,0
1705728360,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,11,11,11,11,11,11,11,11,11,11,11,12,12,12,20,20,10,10,11,11,11,11,11,11,11,11,11,10,46,0,0,0,0
1705728375,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,13,10,10,22,22,22,22,22,22,22,22,22,10,0,0,0,0,0
1705728390,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,23,23,23,23,23,23,23,23,23,23,23,23,23,23,12,12,10,10,14,14,14,14,14,14,14,14,14,10,46,1,0,0,0
1705728405,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,9,9,9,9,9,9,9,9,9,9,9,9,9,9,19,19,10,10,11,11,11,11,11,11,11,11,11,10,0,0,0,0,0
1705728420,10,39,30,10,10,10,10,9,9,9,9,9,9,9,9,27,27,9,18,9,17,17,17,17,17,17,16,16,16,16,15,15,15,15,17,17,10,10,21,21,21,21,21,21,21,21,21,10,0,0,0,0,0
1705728435,19,77,57,19,19,19,19,20,20,20,20,20,20,20,20,60,60,20,40,20,15,15,15,15,15,15,16,16,16,16,17,17,17,17,9,9,10,10,12,12,12,12,12,12,12,12,12,10,0,0,0,0,0
1705728450,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,22,22,10,10,13,13,13,13,13,13,13,13,13,10,0,0,0,0,0
1705728465,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,26,13,18,18,18,18,18,18,18,18,18,18,18,18,18,18,11,11,10,10,16,16,16,16,16,16,16,16,16,10,0,0,0,0,0
1705728480,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,36,18,13,13,13,13,13,13,13,13,13,13,13,13,13,13,15,15,10,10,15,15,15,15,15,15,15,15,15,10,0,0,0,0,0
1705728495,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,10,18,18,18,18,18,18,18,18,18,10,0,0,0,0,0
1705728510,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,11,11,10,10,14,14,14,14,14,14,14,14,14,10,23,0,0,0,0
1705728525,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,18,18,10,10,13,13,13,13,13,13,13,13,13,10,0,0,0,0,0
1705728540,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,14,14,10,10,17,17,17,17,17,17,17,17,17,10,23,0,0,0,0
1705728555,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,16,10,10,16,16,16,16,16,16,16,16,16,10,46,0,0,0,0
1705728570,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,13,13,13,13,13,13,13,13,13,13,13,13,13,13,18,18,10,10,14,14,14,14,14,14,14,14,14,10,0,0,0,0,0
1705728585,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,14,14,10,10,17,17,17,17,17,17,17,17,17,10,0,0,0,0,0
1705728600,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,16,16,16,16,16,16,16,16,16,16,16,16,16,15,15,15,10,10,14,14,14,14,14,14,14,14,14,10,0,0,0,0,0
1705728615,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,14,14,14,14,14,14,14,14,14,14,14,14,14,15,16,16,10,10,18,18,18,18,18,18,18,18,18,10,23,0,0,0,0
1705728630,21,84,63,21,21,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,10,14,14,14,14,14,14,14,14,14,10,0,0,0,0,0
1705728645,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,16,16,10,10,14,14,14,14,14,14,14,14,14,10,23,0,0,0,0
1705728660,16,61,45,15,15,15,15,15,15,15,15,15,14,14,14,42,42,14,28,14,23,23,23,23,23,23,23,23,23,23,23,23,23,22,13,13,10,10,22,22,22,22,22,21,21,21,21,10,23,0,0,0,0
1705728675,19,79,60,20,20,20,20,20,20,20,20,20,21,21,21,63,63,21,42,21,14,14,14,14,14,14,14,13,13,13,13,13,13,13,15,15,10,10,13,13,13,13,13,14,14,14,14,10,46,0,4,0,0
1705728690,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,10,10,10,10,10,10,11,11,11,11,11,11,12,20,20,10,10,12,12,12,12,12,12,12,12,12,10,0,0,0,0,0
1705728705,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,16,16,16,16,16,16,16,15,15,15,15,15,15,12,11,11,10,10,18,18,18,18,18,17,17,17,17,10,0,0,0,0,0
1705728720,16,64,48,16,16,16,16,16,16,15,15,15,15,15,15,45,45,15,30,15,18,18,18,18,18,18,18,19,19,19,19,19,19,20,11,11,10,10,16,16,16,16,16,15,15,15,15,10,69,0,0,0,0
1705728735,16,64,48,16,16,16,16,16,16,17,17,17,17,17,17,51,51,17,34,17,12,12,12,12,12,12,12,12,12,12,12,12,12,14,20,20,10,10,11,11,11,11,11,12,12,12,12,10,23,0,0,0,0
1705728750,17,68,51,17,17,17,17,17,17,15,15,15,15,15,15,45,45,15,30,15,12,12,12,12,12,12,12,12,12,12,12,12,12,11,13,13,10,10,14,14,14,14,14,14,14,14,14,10,0,0,0,0,0
1705728765,9,36,27,9,9,9,9,9,9,11,11,11,11,11,11,33,33,11,22,11,14,14,14,14,14,14,14,14,14,14,14,14,14,14,17,17,10,10,16,16,16,16,16,16,16,16,16,10,0,0,0,0,0
1705728780,14,56,42,14,14,14,14,14,14,13,13,13,13,13,13,39,39,13,26,13,20,20,20,20,20,20,20,20,20,20,20,20,20,21,8,8,10,10,20,20,20,20,20,21,21,21,21,10,0,0,1,0,0
1705728795,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,14,14,14,14,14,14,14,13,13,13,13,13,13,13,17,17,10,10,8,8,8,8,8,6,6,6,6,10,0,0,0,0,0
1705728810,15,60,45,15,15,15,15,15,15,16,16,16,16,16,16,48,48,16,32,16,14,14,14,14,14,14,14,14,14,14,14,14,14,13,16,16,10,10,13,13,13,13,13,14,14,14,14,10,0,0,0,0,0
1705728825,13,51,39,13,13,13,13,13,13,12,12,12,12,12,12,36,36,12,24,12,9,9,9,9,9,9,9,9,9,9,9,9,9,10,13,13,10,10,15,15,15,15,15,14,14,14,14,10,46,0,0,1,0
1705728840,13,52,39,13,13,13,13,13,13,14,14,14,14,14,14,42,42,14,28,14,19,19,19,19,19,19,19,20,20,20,20,20,20,19,12,12,10,10,13,13,13,13,13,14,14,14,14,10,0,0,1,0,0
1705728855,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,17,17,17,17,17,17,17,16,16,16,16,16,16,13,17,17,10,10,14,14,14,14,14,15,15,15,15,10,23,0,0,0,0
1705728870,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,7,7,7,7,7,7,7,7,7,7,7,7,7,8,12,12,10,10,14,14,14,14,14,13,13,13,13,10,0,0,0,0,0
1705728885,14,56,42,14,14,14,14,14,14,13,13,13,13,13,13,39,39,13,26,13,15,15,15,15,15,15,15,15,15,15,15,15,15,17,16,16,10,10,17,17,17,17,17,17,17,17,17,10,23,0,0,0,0
1705728900,14,56,42,14,14,14,14,14,14,11,11,11,11,11,11,33,33,11,22,11,15,15,15,15,15,15,15,16,16,16,16,16,16,16,11,11,10,10,13,13,13,13,13,13,13,13,13,10,0,0,0,0,0
1705728915,16,64,48,16,16,16,16,16,16,20,20,20,20,20,20,60,60,20,40,20,12,12,12,12,12,12,12,12,12,12,12,12,12,11,18,18,10,10,14,14,14,14,14,15,15,15,15,10,0,0,0,0,0
1705728930,13,52,39,13,13,13,13,13,13,12,12,12,12,12,12,36,36,12,24,12,18,18,18,18,18,18,18,18,18,18,18,18,18,20,14,14,10,10,14,14,14,14,14,13,13,13,13,10,23,0,0,0,0
1705728945,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,18,18,18,18,18,18,18,16,16,16,16,16,16,12,12,12,10,10,17,17,17,17,17,17,17,17,17,10,46,0,0,0,0
1705728960,14,55,42,14,14,14,14,14,14,15,15,15,15,15,15,45,45,15,30,15,11,11,11,11,11,11,11,12,12,12,12,12,12,16,14,14,10,10,14,14,14,14,14,15,15,15,15,10,0,0,0,0,1
1705728975,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,13,13,13,13,13,13,13,14,14,14,14,14,14,13,19,19,10,10,13,13,13,13,13,11,11,11,11,10,0,0,0,0,0
1705728990,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,11,11,10,10,17,17,17,17,17,19,19,19,19,10,23,0,0,0,0
1705729005,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,15,15,10,10,14,14,14,14,14,14,14,14,14,10,0,0,0,0,0
1705729020,14,56,42,14,14,14,14,14,14,13,13,13,13,13,13,39,39,13,26,13,12,12,12,12,12,12,12,11,11,11,11,11,11,13,16,16,10,10,14,14,14,14,14,14,14,14,14,10,23,0,0,0,0
1705729035,12,48,36,12,12,12,12,12,12,13,13,13,13,13,13,39,39,13,26,13,18,18,18,18,18,18,18,18,18,18,18,18,18,17,15,15,10,10,13,13,13,13,13,13,13,13,13,10,0,0,0,0,0
1705729050,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,13,13,13,13,13,13,13,13,13,13,13,13,13,11,13,13,10,10,21,21,21,21,21,20,20,20,20,10,0,0,1,0,0
1705729065,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,19,19,19,19,19,19,19,19,19,19,19,19,19,20,17,17,10,10,11,11,11,11,11,12,12,12,12,10,23,0,0,0,0
1705729080,14,56,42,14,14,14,14,14,14,12,12,12,12,12,12,36,36,12,24,12,7,7,7,7,7,7,7,8,8,8,8,8,8,10,15,15,10,10,16,16,16,16,16,15,15,15,15,10,0,0,0,0,0
1705729095,10,40,30,10,10,10,10,10,10,12,12,12,12,12,12,36,36,12,24,12,23,23,23,23,23,23,23,22,22,22,22,22,22,20,13,13,10,10,17,17,17,17,17,18,18,18,18,10,46,0,0,0,0
1705729110,21,84,63,21,21,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,14,14,14,14,14,14,14,15,15,15,15,15,15,14,19,19,10,10,12,12,12,12,12,11,11,11,11,10,23,0,0,0,0
1705729125,11,44,33,11,11,11,11,11,11,10,10,10,10,10,10,30,30,10,20,10,13,13,13,13,13,13,13,11,11,11,11,11,11,13,14,14,10,10,16,16,16,16,16,17,17,17,17,10,0,0,0,0,0
1705729140,16,63,46,16,16,15,15,15,15,16,16,16,16,16,16,48,48,16,32,16,14,14,14,14,14,14,14,16,16,16,16,16,16,16,9,9,10,10,17,17,17,17,17,16,16,16,16,10,0,0,0,0,0
1705729155,16,65,50,16,16,17,17,17,17,16,16,16,16,16,16,48,48,16,32,16,16,16,16,16,16,16,16,15,15,15,15,15,15,15,20,20,10,10,10,10,10,10,10,11,11,11,11,10,0,0,0,0,0
1705729170,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,8,8,8,8,8,8,8,9,9,9,9,9,9,10,14,14,10,10,11,11,11,11,11,11,11,11,11,10,23,0,0,0,0
1705729185,11,44,33,11,11,11,11,11,11,12,12,12,12,12,12,36,36,12,24,12,18,18,18,18,18,18,18,16,16,16,16,16,16,13,14,14,10,10,20,20,20,20,20,20,20,20,20,10,0,0,0,0,0
1705729200,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,18,18,18,18,18,18,18,19,19,19,19,19,19,21,10,10,10,10,16,16,16,16,16,16,16,16,16,10,0,0,0,0,0
1705729215,23,92,69,23,23,23,23,23,23,23,23,23,23,23,23,69,69,23,46,23,15,15,15,15,15,15,15,15,15,15,15,15,15,14,17,17,10,10,9,9,9,9,9,9,9,9,9,10,23,0,0,0,0
1705729230,13,49,36,12,12,12,12,12,12,11,11,11,11,11,11,33,33,11,22,11,9,9,9,9,9,9,9,9,9,9,9,9,9,10,19,19,10,10,18,18,18,18,18,17,17,17,17,10,0,0,0,0,0
1705729245,10,43,33,11,11,11,11,11,11,12,12,12,12,12,12,36,36,12,24,12,18,18,18,18,18,18,18,19,19,19,19,19,19,18,12,12,10,10,19,19,19,19,19,19,19,19,19,10,0,0,0,0,0
1705729260,22,88,66,22,22,22,22,22,22,22,22,22,22,22,22,66,66,22,44,22,18,18,18,18,18,18,18,17,17,17,17,17,17,16,15,15,10,10,9,9,9,9,9,8,8,8,8,10,69,0,0,0,0
1705729275,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,8,8,8,8,8,8,8,8,8,8,8,8,8,10,18,18,10,10,16,16,16,16,16,17,17,17,17,10,0,0,0,0,0
1705729290,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,15,15,15,15,15,15,15,16,16,16,16,16,16,17,10,10,10,10,15,15,15,15,15,16,16,16,16,10,46,0,0,0,0
1705729305,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,16,16,16,16,16,16,16,16,16,16,16,16,16,15,12,12,10,10,11,11,11,11,11,11,11,11,11,10,0,0,0,0,0
1705729320,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,11,11,11,11,11,11,11,11,11,11,11,11,11,11,17,17,10,10,18,18,18,18,18,18,18,18,18,10,0,0,0,0,0
1705729335,13,52,39,13,13,13,13,13,13,12,12,12,12,12,12,36,36,12,24,12,16,16,16,16,16,16,16,16,16,16,16,16,16,17,12,12,10,10,11,11,11,11,11,11,11,11,11,10,0,0,0,0,0
1705729350,15,60,45,15,15,15,15,15,15,16,16,16,16,16,16,48,48,16,32,16,17,17,17,17,17,17,17,17,17,17,17,17,17,15,20,20,10,10,19,19,19,19,19,19,19,19,19,10,0,0,0,0,0
1705729365,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,11,11,10,10,13,13,13,13,13,11,11,11,11,10,0,0,0,0,0
1705729380,13,52,39,13,13,13,13,13,13,12,12,12,12,12,12,36,36,12,24,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,16,16,8,8,12,12,12,12,12,13,13,13,13,10,23,0,0,0,0
