time,catalogue_1,catalogue_2,front-end_3,front-end_4,user_5,front-end_6,front-end_7,front-end_8,front-end_9,front-end_10,user_11,user_12,orders_13,payment_14,orders_15,shipping_16,queue-master_17,queue-master_18,queue-master_19,queue-master_20,front-end_21,queue-master_22,front-end_23,payment_24,user_25,front-end_26,user_27,front-end_28,front-end_29,front-end_30,front-end_31,front-end_32,front-end_33,front-end_34,front-end_35,user_36,front-end_37,front-end_38,user_39,front-end_40,front-end_41,front-end_42,front-end_43,front-end_44,catalogue_45,front-end_46,front-end_47,front-end_48,carts_49
1705698795,10,20,20,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,26,13,13,10,10,18,18,18,18,18,18,18,18,18,13,13,13,13,13,13,14,14,14,14,14,14,14,14,23
1705698810,10,14,14,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,28,14,14,10,10,14,14,14,14,14,14,14,14,14,19,19,19,19,18,18,18,18,18,18,18,18,18,18,0
1705698825,10,12,12,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,38,19,19,10,10,21,21,21,21,21,21,21,21,21,16,16,16,16,17,17,17,17,17,17,17,17,17,17,0
1705698840,10,16,16,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,34,17,17,10,10,15,15,15,15,15,15,15,15,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,0
1705698855,10,21,21,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,28,14,14,10,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,46
1705698870,10,12,12,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,22,11,11,10,10,18,18,18,18,18,18,18,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,23
1705698885,10,18,18,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,40,20,20,10,10,14,14,14,14,14,14,14,14,14,17,17,17,17,17,17,17,17,17,17,17,17,17,17,23
1705698900,10,14,14,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,34,17,17,10,10,14,14,14,14,14,14,14,14,14,11,11,11,11,11,11,11,11,11,11,11,11,11,11,23
1705698915,10,16,16,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,20,10,10,10,10,18,18,18,18,18,18,18,18,18,17,17,17,17,17,17,17,17,17,17,17,17,17,17,46
1705698930,10,12,12,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,38,19,19,10,10,13,13,13,13,13,13,13,13,13,20,20,20,20,20,20,20,20,20,20,20,20,20,19,23
1705698945,10,18,18,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,32,16,16,10,10,19,19,19,19,19,19,19,19,19,15,15,15,15,15,15,15,15,15,15,15,15,15,16,0
1705698960,10,18,18,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,30,15,15,10,10,14,14,14,14,14,14,14,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,0
1705698975,10,15,15,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,28,14,14,10,10,15,15,15,15,15,15,15,15,15,17,17,17,17,17,17,17,17,17,17,17,17,17,17,23
1705698990,10,12,12,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,30,15,15,10,10,15,15,15,15,15,15,15,15,15,13,13,13,13,13,13,13,13,13,13,13,13,13,13,0
1705699005,10,17,17,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,30,15,15,10,10,17,17,17,17,17,17,17,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,23
1705699020,10,13,13,16,63,48,16,16,16,16,15,15,15,15,15,15,15,15,45,45,30,15,15,10,10,14,14,14,14,14,14,14,14,14,17,17,17,17,17,17,17,17,17,17,17,17,17,17,23
1705699035,10,17,17,15,61,45,15,15,15,15,16,16,16,16,16,16,16,16,48,48,32,16,16,10,10,15,15,15,15,15,15,15,15,15,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0
1705699050,10,15,15,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,28,14,14,10,10,11,11,11,11,11,11,11,11,11,13,13,13,13,13,13,13,13,13,13,13,13,13,13,23
1705699065,10,10,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,26,13,13,10,10,23,23,23,23,23,23,23,23,23,18,18,18,18,18,18,18,18,18,18,18,18,18,18,0
1705699080,10,18,18,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,40,20,20,10,10,11,11,10,10,10,10,10,10,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,23
1705699095,10,22,22,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,30,15,15,10,10,14,14,15,15,15,15,15,15,15,12,12,12,12,12,12,12,12,12,12,12,12,12,12,46
1705699110,10,14,14,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,20,10,10,10,10,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,0
1705699125,10,10,10,19,76,57,19,19,19,19,19,19,19,19,19,18,18,18,54,54,36,18,18,10,10,17,17,17,17,17,17,17,17,17,13,13,13,13,13,13,13,13,13,13,13,13,13,13,0
1705699140,10,17,17,16,64,48,16,16,16,16,16,16,16,15,15,16,16,16,48,48,32,16,16,10,10,14,14,14,14,14,14,14,14,14,18,18,18,18,18,18,18,18,18,18,18,18,18,18,23
1705699155,10,19,19,17,68,51,17,17,17,17,17,17,17,18,18,18,18,18,54,54,36,18,18,10,10,18,18,18,18,18,18,18,18,18,15,15,15,15,15,15,15,15,15,15,15,15,15,15,0
1705699170,10,12,12,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,30,15,15,10,10,17,17,17,17,17,17,17,17,17,19,19,19,19,19,19,19,19,19,19,19,19,19,19,69
1705699185,10,16,16,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,32,16,16,10,10,13,13,13,13,13,13,13,13,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0
1705699200,10,16,16,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,24,12,12,10,10,13,13,13,13,13,13,13,13,13,16,16,16,16,16,16,16,16,16,16,16,16,16,16,23
1705699215,10,14,14,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,40,20,20,10,10,17,17,17,17,17,17,17,17,17,13,13,13,13,13,13,13,13,13,13,13,13,13,13,46
1705699230,10,17,17,8,32,24,8,8,8,8,8,8,8,8,8,8,8,8,24,24,16,8,8,10,10,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,0
1705699245,10,12,12,21,84,63,21,21,21,21,21,21,21,21,21,21,21,21,60,60,40,20,20,10,10,12,12,12,12,12,12,12,12,12,15,15,15,15,15,15,15,15,15,15,15,15,15,15,0
1705699260,10,18,18,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,39,39,26,13,13,10,10,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,18,18,18,18,18,18,18,18,0
1705699275,10,15,15,22,88,66,22,22,22,22,22,22,22,22,22,22,22,22,66,66,44,22,22,10,10,9,9,9,9,9,9,9,9,9,11,11,11,11,11,11,12,12,12,12,12,12,12,12,0
1705699290,10,20,20,9,36,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,18,9,9,10,10,19,19,19,19,19,19,19,19,19,16,16,16,16,16,16,16,16,16,16,16,16,16,16,23
1705699305,10,10,10,17,67,51,17,17,17,17,16,16,16,16,16,16,16,16,48,48,32,16,16,10,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,15,15,15,15,15,15,15,15,23
1705699320,10,16,16,16,65,48,16,16,16,16,17,17,17,17,17,17,17,17,51,51,34,17,17,10,10,16,16,16,16,16,16,16,16,16,13,13,13,13,13,13,14,14,14,14,14,14,14,14,0
1705699335,10,16,16,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,35,34,22,11,11,10,10,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,0
1705699350,10,13,13,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,58,59,40,20,20,10,10,17,17,17,17,17,17,17,17,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,46
1705699365,10,17,17,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,32,16,16,10,10,14,14,14,14,14,14,14,14,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,0
1705699380,10,16,16,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,32,16,16,10,10,17,17,17,17,17,17,17,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,0
1705699395,10,15,15,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,30,15,15,10,10,14,14,14,14,14,14,14,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,23
1705699410,10,19,19,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,30,15,15,10,10,15,15,15,15,15,15,15,15,15,18,18,18,18,18,18,18,18,18,18,18,18,18,18,0
1705699425,10,13,13,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,34,17,17,10,10,18,18,18,18,18,18,18,18,18,15,15,15,15,15,15,15,15,15,15,15,15,15,15,0
1705699440,10,16,16,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,24,12,12,10,10,14,14,14,14,14,14,14,14,14,18,18,18,18,18,18,18,18,18,18,18,18,18,18,23
1705699455,10,15,15,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,34,17,17,10,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,0
1705699470,10,16,16,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,36,18,18,10,10,13,13,13,13,13,13,13,13,13,10,10,10,10,10,10,10,10,10,10,10,10,10,11,0
1705699485,10,14,14,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,20,10,10,10,10,13,13,13,13,13,13,13,13,13,17,17,17,17,17,17,17,17,17,17,17,17,17,17,69
1705699500,10,17,17,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,30,15,15,10,10,20,20,20,20,20,20,20,20,20,13,13,13,13,13,13,13,13,13,13,13,13,13,13,0
1705699515,10,13,13,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,32,16,16,10,10,14,14,14,14,14,14,14,14,14,19,19,19,19,19,19,19,19,19,19,19,19,19,19,46
1705699530,10,19,19,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,38,19,19,10,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,0
1705699545,10,13,13,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,26,13,12,10,10,15,15,15,15,15,15,15,15,15,14,14,14,14,14,14,13,13,13,13,13,13,13,13,0
1705699560,10,13,13,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,32,16,17,10,10,19,19,19,19,19,19,19,19,19,14,14,14,14,14,14,15,15,15,15,15,15,15,15,46
1705699575,10,14,13,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,26,13,13,10,10,15,15,15,15,15,15,15,15,15,21,21,21,21,21,21,21,21,21,21,21,21,21,21,0
1705699590,10,21,22,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,40,20,20,10,10,12,12,12,12,12,12,12,12,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,23
1705699605,10,13,13,9,36,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,18,9,9,10,10,12,12,12,12,12,12,12,12,12,14,14,14,14,14,14,14,14,14,14,14,14,14,14,0
1705699620,10,12,12,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,30,15,15,10,10,16,16,16,16,16,16,16,16,16,13,13,13,13,13,13,13,13,13,13,13,13,13,13,23
1705699635,10,13,13,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,28,14,14,10,10,17,17,17,17,17,17,17,17,17,17,17,16,16,16,16,16,16,16,16,16,16,16,16,46
1705699650,10,14,14,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,38,19,19,10,10,13,13,13,13,13,13,13,13,13,14,14,15,15,15,15,15,15,15,15,15,15,15,15,46
1705699665,10,19,19,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,24,12,12,10,10,14,14,14,14,14,14,14,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,0
1705699680,10,15,15,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,28,14,14,10,10,19,19,19,19,19,19,19,19,19,21,21,21,21,21,21,21,21,21,21,21,21,21,20,23
1705699695,10,14,14,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,40,20,20,10,10,14,14,14,14,14,14,14,14,14,17,17,17,17,17,17,17,17,17,17,17,17,17,18,46
1705699710,10,16,16,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,26,13,13,10,10,16,16,16,16,16,16,16,16,16,12,12,12,12,12,12,12,12,12,12,12,12,12,12,23
1705699725,10,16,16,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,30,15,15,10,10,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,12,12,12,12,0
1705699740,10,12,12,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,28,14,14,10,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,17,17,17,0
1705699755,10,15,15,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,32,16,16,10,10,21,21,21,21,21,21,21,21,21,18,18,18,18,18,18,17,17,17,17,17,17,17,17,0
1705699770,10,18,18,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,32,16,16,10,10,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,0
1705699785,10,16,16,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,32,16,16,10,10,14,14,14,14,14,14,14,14,14,18,18,18,18,18,18,19,19,19,19,19,19,19,19,23
1705699800,10,17,17,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,36,18,18,10,10,15,15,15,15,15,15,15,15,15,17,17,17,17,17,17,17,17,17,17,17,17,17,17,46
1705699815,10,16,16,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,30,15,15,10,10,18,18,18,18,18,18,18,18,18,12,12,12,12,12,12,12,12,12,12,12,12,12,11,0
1705699830,10,11,11,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,28,14,14,10,10,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,16,0
1705699845,10,17,17,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,34,17,17,10,10,14,14,14,14,14,14,14,14,14,17,17,17,17,17,17,17,17,17,17,16,16,16,16,46
1705699860,10,17,17,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,26,13,13,10,10,13,13,13,13,13,13,13,13,13,12,12,12,12,12,12,12,12,12,12,13,13,13,13,0
1705699875,10,15,15,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,24,12,12,10,10,16,16,16,16,16,16,16,16,16,12,12,12,12,12,12,12,12,12,12,12,12,12,12,23
1705699890,10,10,10,15,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,28,14,14,10,10,18,18,18,18,18,18,18,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,23
1705699905,10,17,17,17,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,36,18,18,10,10,11,11,11,11,11,11,11,11,11,16,16,16,16,16,16,16,16,16,16,16,16,16,16,0
1705699920,10,16,16,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,30,15,15,10,10,13,13,13,13,13,13,13,13,13,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0
1705699935,10,11,11,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,26,13,13,10,10,21,21,21,21,21,21,21,21,21,15,15,15,15,15,15,15,15,15,15,15,15,15,15,0
1705699950,10,18,18,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,36,18,18,10,10,13,13,13,13,13,13,13,13,13,19,19,19,19,18,18,18,18,18,18,18,18,18,18,0
1705699965,10,17,17,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,32,16,16,10,10,16,16,16,16,16,16,16,16,16,12,12,12,12,13,13,13,13,13,13,13,13,13,13,0
1705699980,10,16,16,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,30,15,15,10,10,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,23
1705699995,10,15,15,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,30,15,15,10,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,15,15,15,15,15,15,15,15,46
1705700010,10,15,15,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,32,16,16,10,10,15,15,15,15,15,15,15,15,15,17,17,17,17,17,17,18,18,18,18,18,18,18,18,46
1705700025,10,16,16,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,38,19,19,10,10,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0
1705700040,10,17,17,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,20,10,10,10,10,21,21,21,21,21,21,21,21,21,17,17,17,17,17,17,17,17,17,17,17,17,17,17,46
1705700055,4,4,4,5,20,15,5,5,5,5,5,5,5,5,5,5,5,5,15,15,10,5,5,4,4,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,23
