time,front-end_1,user_2,front-end_3,front-end_4,front-end_5,front-end_6,front-end_7,front-end_8,front-end_9,payment_10,front-end_11,user_12,front-end_13,front-end_14,front-end_15,front-end_16,front-end_17,user_18,user_19,orders_20,payment_21,orders_22,shipping_23,queue-master_24,queue-master_25,queue-master_26,queue-master_27,queue-master_28,front-end_29,front-end_30,user_31,front-end_32,user_33,front-end_34,front-end_35,user_36,front-end_37,front-end_38,front-end_39,front-end_40,front-end_41,catalogue_42,front-end_43,front-end_44,front-end_45,catalogue_46,front-end_47,catalogue_48,carts_49,user_50,user-db_51,orders_52,orders-db_53,orders_54,orders_55,orders-db_56,orders-db_57,orders_58,orders_59,orders_60,orders_61,orders_62,front-end_63,front-end_64
1705734885,18,18,18,18,18,18,18,18,18,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,19,19,19,19,19,19,19,19,19,19,19,19,19,19,14,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705734900,18,18,18,18,18,18,18,18,18,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,12,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705734915,7,7,7,7,7,7,7,7,7,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,20,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705734930,23,23,23,23,23,23,23,23,23,10,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,14,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705734945,15,15,15,15,15,15,15,15,15,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,11,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705734960,9,9,9,9,9,9,9,9,9,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,20,20,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705734975,19,19,19,19,19,19,19,19,19,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,17,17,17,17,17,17,16,16,16,16,16,16,16,16,14,14,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705734990,18,18,18,18,18,18,18,18,18,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,17,17,17,17,17,17,18,18,18,18,18,18,18,18,12,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705735005,13,13,13,13,13,13,13,13,13,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,18,18,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705735020,13,13,13,13,13,13,13,13,13,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,19,19,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705735035,15,15,15,15,15,15,15,15,15,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,13,13,13,13,13,13,13,13,13,13,13,13,13,11,13,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705735050,16,16,16,16,16,16,16,16,16,10,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,12,12,12,12,12,12,12,12,12,12,12,12,12,14,12,12,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705735065,9,9,9,9,9,9,9,9,9,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,14,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705735080,21,21,21,21,21,21,21,21,21,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,16,16,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705735095,19,19,19,19,19,19,19,19,19,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,20,20,20,20,20,20,20,20,20,20,20,20,20,20,14,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705735110,9,9,9,9,9,9,9,9,9,10,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,17,17,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705735125,15,15,15,15,15,14,14,14,14,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,18,18,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705735140,16,16,16,16,16,17,17,17,17,10,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,10,19,19,19,19,19,19,19,19,19,19,19,19,19,19,11,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705735155,17,17,17,17,17,17,17,17,17,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,19,19,19,19,19,19,18,18,18,18,18,18,18,18,12,12,10,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705735170,14,14,14,14,14,14,14,14,14,10,21,84,63,21,21,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,20,20,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705735185,19,19,19,19,19,19,19,19,19,10,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,18,18,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705735200,15,15,15,15,15,15,15,15,15,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,14,13,13,13,13,13,13,13,13,13,13,13,13,13,11,11,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705735215,13,12,12,12,12,12,12,12,12,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,19,20,20,20,20,20,20,20,20,20,20,20,20,20,16,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705735230,13,14,14,14,14,14,14,14,14,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,32,16,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,23,0,3,1,2,3,1,1,2,2,1,115,1,1,2,1
1705735245,18,18,18,18,18,18,18,18,18,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,22,22,10,23,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
1705735260,16,16,16,16,16,16,16,16,16,10,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,9,9,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705735275,13,13,13,13,13,13,13,13,13,10,21,84,63,21,21,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705735290,14,14,14,14,14,14,14,14,14,10,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,19,19,19,19,19,19,19,19,19,19,19,19,19,19,17,17,10,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705735305,16,16,16,16,16,16,16,16,16,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,14,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705735320,15,15,15,15,15,14,14,14,14,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705735335,19,19,19,19,19,20,20,20,20,10,13,50,39,13,13,13,13,11,11,11,11,11,11,11,11,33,33,11,22,11,10,21,21,21,21,21,21,21,21,21,21,21,21,21,20,16,16,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705735350,15,15,15,15,15,15,15,15,15,10,22,90,66,22,22,22,22,24,24,24,24,24,24,24,24,72,72,24,48,24,10,14,14,14,14,14,14,14,14,14,14,14,14,14,15,14,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705735365,13,13,13,13,13,13,13,13,13,10,14,56,42,14,14,14,14,14,14,14,13,13,13,13,13,39,39,13,26,13,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,18,18,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705735380,14,14,14,14,14,14,14,14,14,10,10,40,30,10,10,10,10,10,10,10,11,11,11,11,11,33,33,11,22,11,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705735395,18,18,18,18,18,18,18,18,18,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,20,20,20,20,20,20,20,20,20,20,20,20,20,20,11,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705735410,9,9,9,9,9,9,9,9,9,10,21,84,63,21,21,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,17,17,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705735425,21,21,21,21,21,21,21,21,21,10,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,19,19,10,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705735440,18,18,18,18,18,18,18,18,18,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,21,21,21,21,21,21,21,21,21,21,21,21,21,21,12,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705735455,12,12,12,12,12,12,12,12,12,10,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,20,20,20,20,20,20,20,20,20,20,20,20,20,20,19,19,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705735470,17,17,17,17,17,17,17,17,17,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,16,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705735485,15,15,15,15,15,15,15,15,15,10,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,12,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705735500,10,10,10,10,10,10,10,10,10,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,12,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705735515,17,17,17,17,17,17,17,17,17,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,21,21,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705735530,22,22,22,22,22,22,22,22,22,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,23,23,23,23,23,23,23,23,23,23,23,23,23,23,9,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705735545,13,13,13,13,13,13,13,13,13,10,22,88,66,22,22,22,22,22,22,22,22,22,22,22,22,66,66,22,44,22,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,21,21,10,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705735560,18,18,18,18,18,18,18,18,18,10,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,18,18,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705735575,17,17,17,17,17,17,17,17,17,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,21,21,21,21,21,21,21,21,21,21,21,21,21,21,11,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705735590,11,11,11,11,11,11,11,11,11,10,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,16,16,16,16,16,16,15,15,15,15,15,15,15,15,17,17,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705735605,15,15,15,15,15,15,15,15,15,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,8,8,8,8,8,8,9,9,9,9,9,9,9,9,17,17,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705735620,17,17,17,17,17,17,17,17,17,10,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,20,20,20,20,20,20,20,20,20,20,20,20,20,20,14,14,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705735635,15,15,15,15,15,15,15,15,15,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,16,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705735650,15,15,15,15,15,15,15,15,15,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705735665,13,13,13,13,13,13,13,13,13,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,13,13,13,13,13,13,13,13,13,13,13,12,12,12,16,16,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705735680,18,18,18,18,18,18,18,18,18,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,13,13,13,13,13,13,13,13,13,13,13,14,14,14,13,13,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705735695,17,17,17,17,17,17,17,17,17,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705735710,10,10,10,10,10,10,10,10,10,10,18,71,54,18,18,18,18,17,17,17,17,17,17,17,17,51,51,17,34,17,10,17,17,17,17,17,17,17,16,16,16,16,16,16,16,18,18,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705735725,19,19,19,19,19,19,19,19,19,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,14,14,14,14,14,14,14,15,15,15,15,15,15,14,15,15,10,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705735740,6,6,6,6,6,6,6,6,6,2,2,9,6,2,2,2,2,3,3,3,3,3,3,3,3,9,9,3,6,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,6,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
