time,payment_1,front-end_2,front-end_3,user_4,front-end_5,front-end_6,front-end_7,front-end_8,front-end_9,front-end_10,front-end_11,user_12,front-end_13,user_14,front-end_15,front-end_16,user_17,front-end_18,front-end_19,front-end_20,front-end_21,front-end_22,catalogue_23,front-end_24,front-end_25,catalogue_26,front-end_27,front-end_28,user_29,front-end_30,front-end_31,front-end_32,front-end_33,front-end_34,front-end_35,front-end_36,catalogue_37,orders_38,orders_39,orders_40,orders_41,orders_42,carts_43,orders_44,orders_45,orders_46,orders_47,orders_48,orders_49,orders_50,orders_51,orders_52,orders_53,user_54,user_55,orders_56,payment_57,orders_58,shipping_59,queue-master_60,queue-master_61,queue-master_62,queue-master_63,queue-master_64,orders-db_65,orders_66,orders_67,front-end_68,carts_69,user_70,front-end_71
1705642815,10,11,18,72,54,18,18,18,18,38,0,10,12,12,12,12,12,12,12,12,12,12,12,12,12,15,15,16,16,16,16,16,15,15,15,15,10,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,18,18,19,19,19,19,19,19,57,57,19,0,0,0,19,0,0,0
1705642830,10,14,15,60,45,15,15,15,15,28,0,10,13,13,13,13,13,13,13,13,13,13,13,13,13,20,20,16,16,16,16,16,15,15,15,15,10,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,15,15,14,14,14,14,14,14,42,42,14,0,0,0,14,0,0,0
1705642845,10,11,11,44,33,11,11,11,11,24,0,10,15,15,15,15,15,15,15,13,13,13,13,13,13,12,12,19,19,19,19,19,20,20,20,20,10,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,11,11,12,12,12,12,12,12,36,36,12,0,0,0,12,0,0,0
1705642860,10,16,10,40,30,10,10,10,10,18,0,10,18,18,18,18,18,18,18,18,18,18,18,18,18,9,9,13,13,13,13,13,12,12,12,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,9,9,9,9,9,9,27,27,9,0,0,0,9,4,0,0
1705642875,10,17,19,76,57,19,19,19,19,36,0,10,15,15,15,15,15,15,15,14,14,14,14,14,14,12,12,11,11,11,11,11,12,12,12,12,10,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,19,19,18,18,18,18,18,18,54,54,18,0,0,0,18,0,0,0
1705642890,10,14,16,64,48,16,16,16,16,36,0,10,9,9,9,9,9,9,9,12,12,12,12,12,12,19,19,11,11,11,11,11,11,11,11,11,10,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,16,16,18,18,18,18,18,18,54,54,18,0,0,0,18,0,0,0
1705642905,10,12,13,52,39,13,13,13,13,26,0,10,15,15,15,15,15,15,15,13,13,13,13,13,13,16,16,16,16,16,16,16,15,15,15,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,13,13,13,13,13,13,39,39,13,0,0,0,13,0,0,0
1705642920,10,13,12,48,36,12,12,12,12,20,0,10,13,13,13,13,13,13,13,14,14,14,14,14,14,15,15,21,21,21,21,21,20,20,20,20,10,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,12,12,10,10,10,10,10,10,30,30,10,0,0,0,10,0,0,0
1705642935,10,20,16,64,48,16,16,16,16,36,0,10,17,17,17,17,17,17,17,18,18,18,18,18,18,10,10,8,8,8,8,8,11,11,11,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,18,18,18,18,18,18,54,54,18,0,0,0,18,0,0,0
1705642950,10,15,17,68,51,17,17,17,17,34,0,10,14,14,14,14,14,14,14,14,14,14,14,14,14,17,17,14,14,14,14,14,14,14,14,14,10,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,17,17,17,17,17,17,17,17,51,51,17,0,0,0,17,0,0,0
1705642965,10,9,13,52,39,13,13,13,13,26,0,10,12,12,12,12,12,12,12,12,12,12,12,12,12,16,16,16,16,16,16,16,14,14,14,14,10,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,13,13,13,13,13,13,13,13,39,39,13,0,0,0,13,0,0,0
1705642980,10,11,10,40,30,10,10,10,10,18,0,10,19,19,19,19,19,19,19,17,17,17,17,17,17,13,13,15,15,15,15,15,16,16,16,16,10,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,10,10,9,9,9,9,9,9,27,27,9,0,0,0,9,0,0,0
1705642995,10,21,16,64,48,16,16,16,16,34,0,10,11,11,11,11,11,11,11,13,13,13,13,13,13,12,12,10,10,10,10,10,11,11,11,11,10,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,16,16,17,17,17,17,17,17,51,51,17,0,0,0,17,0,0,0
1705643010,10,10,16,64,48,16,16,16,16,32,0,10,9,9,9,9,9,9,9,9,9,9,9,9,9,11,11,14,14,14,14,14,14,14,14,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,16,16,16,16,16,16,48,48,16,0,0,0,16,0,0,0
1705643025,10,15,12,48,36,12,12,12,12,24,0,10,15,15,15,15,15,15,15,15,15,15,15,15,15,18,18,13,13,13,13,13,13,13,13,13,10,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,12,12,12,12,12,12,12,12,36,36,12,0,0,0,12,0,0,0
1705643040,10,13,13,52,39,13,13,13,13,26,0,10,13,13,13,13,13,13,13,13,13,13,13,13,13,12,12,13,13,13,13,13,13,13,13,13,10,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,13,13,13,13,13,13,13,13,39,39,13,0,0,0,13,0,0,0
1705643055,10,16,12,48,36,12,12,12,12,24,0,10,17,17,17,17,17,17,17,16,16,16,16,16,16,14,14,16,16,16,16,16,16,16,16,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12,12,12,12,12,12,36,36,12,0,0,0,12,0,0,0
1705643070,10,12,19,76,57,19,19,19,19,38,0,10,16,16,16,16,16,16,16,15,15,15,15,15,15,11,11,15,15,15,15,15,15,15,15,15,10,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,19,19,19,19,19,19,19,19,57,57,19,0,0,0,19,0,0,0
1705643085,10,14,10,40,30,10,10,10,10,20,0,10,9,9,9,9,9,9,9,11,11,11,11,11,11,21,21,12,12,12,12,12,12,12,12,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,30,30,10,0,0,0,10,0,0,0
1705643100,10,15,14,56,42,14,14,14,14,28,0,10,15,15,15,15,15,15,15,15,15,15,15,15,15,9,9,17,17,17,17,17,17,17,17,17,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,14,14,14,14,14,14,42,42,14,0,0,0,14,0,0,0
1705643115,10,11,16,64,48,16,16,16,16,28,0,10,18,18,18,18,17,18,18,18,18,18,18,18,18,15,15,15,15,15,15,15,13,13,13,13,10,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,16,16,14,14,14,14,14,14,42,42,14,0,0,0,14,0,1,0
1705643130,10,18,13,52,39,13,13,13,13,30,0,10,11,11,11,11,11,11,11,11,11,11,11,11,11,13,13,8,8,8,8,8,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,15,15,15,15,15,15,45,45,15,0,0,0,15,0,0,0
1705643145,10,11,16,64,48,16,16,16,16,32,0,10,17,17,17,17,17,17,17,16,16,16,16,16,16,18,18,19,19,19,19,19,17,17,17,17,10,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,16,16,16,16,16,16,16,16,48,48,16,0,0,0,16,0,0,0
1705643160,10,19,13,52,39,13,13,13,13,26,0,10,13,13,13,13,13,13,13,14,14,14,14,14,14,12,12,11,11,11,11,11,13,13,13,13,10,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,13,13,13,13,13,13,13,13,39,39,13,0,0,0,13,0,0,0
1705643175,10,10,18,72,54,18,18,18,18,34,0,10,13,13,13,13,13,13,13,12,12,12,12,12,12,14,14,20,20,20,20,20,18,18,18,18,10,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,18,18,17,17,17,17,17,17,51,51,17,0,0,0,17,0,0,0
1705643190,10,18,7,28,21,7,7,7,7,16,0,10,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16,9,9,9,9,9,11,11,11,11,10,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,7,7,8,8,8,8,8,8,24,24,8,0,0,0,8,0,0,0
1705643205,10,14,21,84,63,21,21,21,21,42,0,10,16,16,16,16,16,16,16,14,14,14,14,14,14,15,15,17,17,17,17,17,16,16,16,16,10,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,21,21,21,21,21,21,21,21,63,63,21,0,0,0,21,0,0,0
1705643220,10,18,13,52,39,13,13,13,13,26,0,10,16,16,16,16,16,16,16,18,18,18,18,18,18,15,15,12,12,12,12,12,12,12,12,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,13,13,13,13,13,13,39,39,13,0,0,0,13,0,0,0
1705643235,10,10,15,60,45,15,15,15,15,30,0,10,13,13,13,13,13,13,11,11,11,11,11,11,11,16,16,18,18,18,18,18,18,18,18,18,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,45,45,15,0,0,0,15,0,0,0
1705643250,10,15,11,44,33,11,11,11,11,22,0,10,13,13,13,12,12,12,14,14,14,14,14,14,14,12,12,10,10,10,10,10,11,11,11,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11,11,11,11,11,11,33,33,11,0,0,0,11,0,0,0
1705643265,10,9,16,64,48,16,16,16,16,32,0,10,11,11,11,12,12,12,12,11,11,11,11,11,11,12,12,21,21,21,21,21,20,20,20,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,16,16,16,16,16,16,48,48,16,0,0,0,16,0,0,0
1705643280,10,20,9,36,27,9,9,9,9,18,0,10,17,17,17,17,17,17,17,18,18,18,18,18,18,13,13,10,10,10,10,10,11,11,11,11,10,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,9,9,27,27,9,0,0,0,9,0,0,0
1705643295,10,14,19,76,57,19,19,19,19,38,0,10,14,14,14,14,14,14,14,14,14,14,14,14,14,11,11,12,12,12,12,12,12,12,12,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,19,19,19,19,19,19,57,57,19,0,0,0,19,0,0,0
1705643310,10,11,15,60,45,15,15,15,15,30,0,10,11,11,11,11,11,11,11,11,11,11,11,11,11,22,22,13,13,13,13,13,13,13,13,13,10,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,45,45,15,0,0,0,15,0,0,0
1705643325,10,13,12,48,36,12,12,12,12,24,0,10,18,18,18,18,18,18,18,17,17,17,17,17,17,10,10,14,14,14,14,14,14,14,14,14,10,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,12,12,12,12,12,12,12,12,36,36,12,0,0,0,12,0,0,0
1705643340,10,15,13,52,39,13,13,13,13,22,0,10,15,15,15,15,15,15,15,16,16,16,16,16,16,12,12,22,22,22,22,22,18,18,18,18,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,11,11,11,11,11,11,33,33,11,0,0,0,11,0,0,0
1705643355,10,20,18,72,54,18,18,18,18,40,0,10,15,15,15,15,15,15,15,15,15,15,15,15,15,12,12,9,9,9,9,9,13,13,13,13,10,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,18,18,20,20,20,20,20,20,60,60,20,0,0,0,20,0,0,0
1705643370,10,10,15,60,45,15,15,15,15,30,0,10,13,13,13,13,13,13,13,11,11,11,11,11,11,20,20,12,12,12,12,12,12,12,12,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,45,45,15,0,0,0,15,0,0,0
1705643385,10,13,10,40,30,10,10,10,10,18,0,10,13,13,13,13,13,13,13,14,14,14,14,14,14,17,17,19,19,19,19,19,19,19,19,19,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,9,9,9,27,27,9,0,0,0,9,0,0,0
1705643400,10,16,15,60,45,15,15,15,15,32,0,10,14,14,14,14,14,14,14,15,15,15,15,15,15,8,8,13,13,13,13,13,13,13,13,13,10,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,15,15,15,15,15,16,16,16,48,48,16,0,0,0,16,0,0,0
1705643415,10,14,19,75,57,19,19,19,19,36,0,10,14,14,14,14,14,14,14,13,13,13,13,13,13,16,16,15,15,15,15,15,15,15,15,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,19,18,18,18,18,18,18,54,54,18,0,0,0,18,0,0,0
1705643430,10,15,15,61,45,15,15,15,15,28,0,10,14,14,14,14,14,14,14,15,15,15,15,15,15,18,18,12,12,12,12,12,12,12,12,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,45,45,15,0,0,0,14,0,0,0
1705643445,10,13,10,39,30,10,10,10,10,22,0,10,13,13,13,13,13,13,13,13,13,13,13,13,13,17,17,12,12,12,12,12,11,11,11,11,10,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,10,9,10,10,10,10,10,10,30,30,10,0,0,0,11,0,0,0
1705643460,10,10,13,53,39,13,13,13,13,24,0,10,14,14,14,14,14,14,14,13,13,13,13,13,13,9,9,16,16,16,16,16,14,14,14,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,12,12,12,12,12,12,36,36,12,0,0,0,12,0,0,0
1705643475,10,13,12,48,36,12,12,12,12,26,0,10,16,16,16,16,16,16,16,16,16,16,16,16,16,10,10,12,12,12,12,12,13,13,13,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,13,13,13,13,13,13,39,39,13,0,0,0,13,0,0,0
1705643490,10,19,16,62,48,16,16,16,16,24,0,10,14,14,14,14,14,14,14,15,15,15,15,15,15,14,14,15,15,15,15,15,15,15,15,15,10,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,14,15,13,12,12,12,12,12,36,36,12,0,0,0,12,0,0,0
1705643505,10,11,14,58,42,14,14,14,14,36,0,10,14,14,14,14,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,15,15,15,15,10,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,15,15,17,18,18,18,18,18,54,54,18,0,0,0,18,0,0,0
1705643520,10,15,15,60,45,15,15,15,15,26,0,10,13,13,13,13,13,13,14,12,12,12,12,12,12,16,16,17,17,17,17,17,15,15,15,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,15,13,13,13,13,13,13,39,39,13,0,0,0,13,0,0,0
1705643535,10,17,12,48,36,12,12,12,12,30,0,10,15,15,15,15,15,15,15,17,17,17,17,17,17,19,19,13,13,13,13,13,15,15,15,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,15,15,15,15,15,15,45,45,15,0,0,0,15,0,0,0
1705643550,10,13,15,60,45,15,15,15,15,30,0,10,16,16,16,16,16,16,16,15,15,15,15,15,15,10,10,16,16,16,16,16,13,13,13,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,45,45,15,0,0,0,15,0,0,0
1705643565,10,14,16,64,48,16,16,16,16,30,0,10,14,14,14,14,14,14,14,14,14,14,14,14,14,16,16,17,17,17,17,17,17,17,17,17,10,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,15,16,15,15,15,15,15,15,45,45,15,0,0,0,15,0,0,1
1705643580,10,17,16,64,48,16,16,16,16,34,0,10,13,13,13,13,13,13,13,14,14,14,14,14,14,12,12,7,7,7,7,7,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,16,17,17,17,17,17,17,51,51,17,0,0,0,17,0,0,0
1705643595,10,9,13,52,39,13,13,13,13,26,0,10,9,9,9,9,9,9,9,9,9,9,9,9,9,19,19,18,18,18,18,18,18,18,18,18,10,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,13,13,13,13,13,13,13,13,39,39,13,0,0,0,13,0,0,0
1705643610,10,7,9,36,27,9,9,9,9,16,0,10,21,21,21,21,21,21,21,19,19,19,19,19,19,10,10,16,16,16,16,16,12,12,12,12,10,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,9,9,8,8,8,8,8,8,24,24,8,0,0,0,8,3,0,0
1705643625,10,22,10,40,30,10,10,10,10,18,0,10,13,13,13,13,13,13,13,13,13,13,13,13,13,9,9,10,10,10,10,10,14,14,14,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,9,9,9,9,27,27,9,0,0,0,9,0,0,0
1705643640,10,15,22,88,66,22,22,22,22,46,0,10,10,10,10,10,10,10,10,12,12,12,12,12,12,11,11,12,12,12,12,12,12,12,12,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22,23,23,24,23,23,23,69,69,23,0,0,0,23,0,0,0
1705643655,10,9,11,44,33,11,11,11,11,24,0,10,9,9,9,9,9,9,9,9,9,9,9,9,9,22,22,7,7,7,7,7,7,7,7,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11,11,11,12,12,12,36,36,12,0,0,0,12,0,0,0
1705643670,10,14,11,44,33,11,11,11,11,22,0,10,17,17,17,17,17,17,17,16,16,16,16,16,16,14,14,23,23,23,23,23,21,21,21,21,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11,11,11,11,11,11,33,33,11,0,0,0,11,0,0,0
1705643685,10,18,12,48,36,12,12,12,12,24,0,10,15,15,15,15,15,15,15,16,16,16,16,16,16,7,7,11,11,11,11,11,13,13,13,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12,12,12,12,12,12,36,36,12,0,0,0,12,0,0,0
1705643700,10,13,17,68,51,17,17,17,17,34,0,10,13,13,13,13,13,13,13,13,13,13,13,13,13,16,16,12,12,12,12,12,12,12,12,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,17,17,17,17,17,17,51,51,17,0,0,0,17,0,0,0
1705643715,10,11,15,60,45,15,15,15,15,30,0,10,12,12,12,12,12,12,12,12,12,12,12,12,12,15,15,14,14,14,14,14,14,14,14,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,45,45,15,0,0,0,15,0,0,0
1705643730,10,15,14,56,42,14,14,14,14,24,0,10,21,21,21,21,21,21,21,20,20,20,20,20,20,15,15,18,18,18,18,18,13,13,13,13,10,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,14,14,13,13,13,13,13,13,39,39,13,0,0,0,12,0,0,0
1705643745,10,15,12,48,36,12,12,12,12,24,0,10,12,12,12,12,12,12,12,13,13,13,13,13,13,17,17,13,13,13,13,13,18,18,18,18,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12,12,12,12,12,12,36,36,12,0,0,0,12,0,0,0
1705643760,10,15,19,76,57,19,19,19,19,42,0,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,11,11,11,11,10,10,10,10,10,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,19,19,20,20,20,20,20,20,60,60,20,0,0,0,21,0,0,0
1705643775,10,11,11,44,33,11,11,11,11,20,0,10,13,13,13,13,13,13,13,13,13,13,13,13,13,18,18,19,19,19,19,19,20,20,20,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,10,10,10,10,10,10,30,30,10,0,0,0,10,0,0,0
1705643790,10,15,13,52,39,13,13,13,13,28,0,10,17,17,17,17,17,17,17,17,17,17,17,17,17,9,9,12,12,12,12,12,12,12,12,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,14,14,14,14,14,14,42,42,14,0,0,0,14,0,0,0
1705643805,10,16,15,60,45,15,15,15,15,30,0,10,15,15,15,15,15,15,15,15,15,15,15,15,15,11,11,12,12,12,12,12,11,11,11,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,45,45,15,0,0,0,15,0,0,0
1705643820,10,11,15,60,45,15,15,15,15,30,0,10,9,9,9,9,9,9,9,9,9,9,9,9,9,20,20,12,12,12,12,12,12,12,12,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,45,45,15,0,0,0,15,0,0,0
1705643835,10,16,9,36,27,9,9,9,9,18,0,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,18,18,18,18,18,19,19,19,19,10,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,9,9,27,27,9,0,0,0,9,0,0,0
1705643850,10,15,17,68,51,17,17,17,17,34,0,10,16,16,16,16,16,16,16,15,15,15,15,15,15,10,10,14,14,14,14,14,13,13,13,13,10,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,17,17,17,17,17,17,17,17,51,51,17,0,0,0,17,0,0,0
1705643865,10,13,13,52,39,13,13,13,13,26,0,10,17,17,17,17,17,17,17,17,17,17,17,17,17,14,14,12,12,12,12,12,12,12,12,12,10,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,13,13,13,13,13,13,13,13,39,39,13,0,0,0,13,0,0,0
1705643880,10,12,16,64,48,16,16,16,16,30,0,10,11,11,11,11,11,11,11,11,11,11,11,11,11,15,15,18,18,18,18,18,16,16,16,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,15,15,15,15,15,15,45,45,15,0,0,0,15,0,0,0
1705643895,10,17,13,52,39,13,13,13,13,24,0,10,14,14,14,14,14,14,14,15,15,15,15,15,15,16,16,14,14,14,14,14,13,13,13,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,12,12,12,12,12,12,36,36,12,0,0,0,12,0,0,0
1705643910,10,16,16,64,48,16,16,16,16,28,0,10,19,19,19,19,19,19,19,17,17,17,17,17,17,11,11,13,13,13,13,13,15,15,15,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,15,15,15,15,15,15,45,45,15,0,0,0,14,0,0,0
1705643925,10,13,18,72,54,18,18,18,18,42,0,10,9,9,9,9,9,9,9,11,11,11,11,11,11,17,17,11,11,11,11,11,12,12,12,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,21,21,21,20,20,20,60,60,20,0,0,0,21,0,0,0
1705643940,10,9,10,40,30,10,10,10,10,22,0,10,9,9,9,9,9,9,9,9,9,9,9,9,9,16,16,13,13,13,13,13,14,14,14,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,11,11,11,33,33,11,0,0,0,11,0,0,0
1705643955,10,6,8,32,24,8,8,8,8,16,0,10,18,18,18,18,18,18,18,16,16,16,16,16,16,8,8,18,18,18,18,18,13,13,13,13,10,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,24,24,8,0,0,0,8,0,0,0
1705643970,10,24,9,36,27,9,9,9,9,16,0,10,15,15,15,15,15,15,15,17,17,17,17,17,17,9,9,12,12,12,12,12,17,17,17,17,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,8,8,8,8,8,8,24,24,8,0,0,0,8,0,0,0
1705643985,10,16,24,96,72,24,24,24,24,48,0,10,13,13,13,13,13,13,13,13,13,13,13,13,13,15,15,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,24,24,24,24,24,24,72,72,24,0,0,0,24,0,0,0
