time,front-end_1,front-end_2,user_3,front-end_4,front-end_5,front-end_6,front-end_7,front-end_8,front-end_9,front-end_10,front-end_11,user_12,front-end_13,front-end_14,user_15,front-end_16,front-end_17,front-end_18,front-end_19,front-end_20,catalogue_21,front-end_22,front-end_23,catalogue_24,catalogue_25,front-end_26,payment_27,user_28,front-end_29,user_30,front-end_31,front-end_32,front-end_33,front-end_34,front-end_35,user_36,user_37,orders_38,payment_39,orders_40,shipping_41,queue-master_42,queue-master_43,queue-master_44,queue-master_45,queue-master_46,front-end_47,front-end_48,carts_49,user-db_50,user_51,carts_52,orders-db_53,orders_54
1705743600,11,15,15,15,15,15,15,15,15,15,11,11,11,11,11,11,11,11,11,11,11,11,11,10,18,18,10,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,23,0,0,0,0,0
1705743615,20,20,20,20,20,20,20,20,20,20,21,21,21,21,21,21,21,20,20,20,20,20,20,10,15,15,10,10,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,46,0,0,0,0,0
1705743630,18,11,11,11,11,11,11,11,11,11,17,17,17,17,17,17,17,18,18,18,18,18,18,10,14,14,10,10,18,71,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,0,0,1,0,0,0
1705743645,14,16,16,16,16,16,16,16,16,16,14,14,14,14,14,14,14,14,14,14,14,14,14,10,20,20,10,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,0,0,0,0,0,0
1705743660,17,19,19,19,19,19,19,19,19,19,17,17,17,17,17,17,17,17,17,17,17,17,17,10,15,15,10,10,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,23,0,0,0,0,0
1705743675,13,14,14,14,14,14,14,14,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,10,14,14,10,10,17,68,51,17,17,17,17,17,17,16,16,16,16,16,16,48,48,16,32,16,0,0,0,0,0,0
1705743690,15,13,13,13,13,13,13,13,13,13,16,16,16,16,16,16,16,16,16,15,15,15,15,10,16,16,10,10,15,60,45,15,15,15,15,15,15,16,16,16,16,16,16,48,48,16,32,16,0,0,0,0,0,0
1705743705,15,21,21,21,21,21,21,21,21,21,14,14,14,14,14,14,14,14,14,15,15,15,15,10,16,16,10,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,23,0,0,0,0,0
1705743720,21,13,13,13,13,13,13,13,13,13,21,21,21,21,21,21,21,21,21,21,21,21,21,10,13,13,10,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,0,0,0,0,0,0
1705743735,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,19,19,10,10,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,46,0,0,0,0,0
1705743750,15,12,12,12,12,12,12,12,12,12,15,15,15,15,15,15,15,15,15,15,15,15,15,10,19,19,10,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,0,0,0,0,0,0
1705743765,13,24,24,24,24,24,24,24,24,24,15,15,15,15,15,15,14,14,14,14,14,14,14,10,14,14,10,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,0,0,0,0,0,0
1705743780,19,15,15,15,15,15,15,15,15,15,17,17,17,17,17,17,18,18,18,18,18,18,18,10,13,13,10,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,23,0,0,0,0,0
1705743795,11,9,9,9,9,9,9,9,9,9,11,11,11,11,11,11,11,11,11,11,11,11,11,10,21,21,10,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,23,0,0,0,0,0
1705743810,18,20,20,20,20,20,20,20,20,20,18,18,18,18,18,18,18,18,18,18,18,18,18,10,14,14,10,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,0,0,0,0,0,0
1705743825,18,12,12,12,12,12,12,12,12,12,18,18,18,18,18,18,18,18,18,18,18,18,18,10,12,12,10,10,19,76,57,19,19,19,19,19,19,19,18,18,18,18,18,54,54,18,34,17,23,0,0,1,0,0
1705743840,13,16,16,16,16,16,16,16,16,16,13,13,13,13,13,13,13,13,13,13,13,13,13,10,19,19,10,10,14,56,42,14,14,14,14,14,14,14,15,15,15,15,15,45,45,15,32,16,23,0,0,0,0,0
1705743855,18,19,19,19,19,19,19,19,19,19,18,18,18,18,18,18,18,18,18,18,18,18,18,10,15,15,10,10,15,59,45,15,15,15,15,14,14,14,14,14,14,14,14,42,42,14,26,13,46,0,0,0,0,0
1705743870,13,15,15,15,15,15,15,15,15,15,13,13,13,13,13,13,13,13,13,13,13,13,13,10,14,14,10,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,36,18,0,0,0,0,0,0
1705743885,15,12,12,12,12,12,12,12,12,12,15,15,15,15,15,15,15,15,15,15,15,15,15,10,18,18,10,10,15,61,45,15,15,15,15,16,16,16,16,16,15,15,15,45,45,15,30,15,0,0,0,0,0,0
1705743900,15,11,11,11,11,11,11,11,11,11,15,15,15,15,15,15,15,15,15,15,15,15,15,10,16,16,10,10,15,60,45,15,15,15,15,15,15,15,15,15,16,16,16,48,48,16,32,16,0,0,0,0,0,0
1705743915,9,15,15,15,15,15,15,15,15,15,9,9,9,9,9,9,9,9,9,9,9,9,9,10,12,12,10,10,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,0,0,0,0,0,0
1705743930,17,19,19,19,19,19,19,19,19,19,17,17,17,17,17,17,17,17,17,17,17,17,17,10,10,10,10,10,14,55,42,14,14,14,14,13,13,13,13,13,13,13,13,39,39,13,26,13,46,0,0,0,0,0
1705743945,20,13,13,13,13,13,13,13,13,13,20,20,20,20,20,20,20,20,20,20,20,20,20,10,18,18,10,10,19,77,57,19,19,19,19,20,20,20,20,20,19,19,19,57,57,19,36,18,23,0,0,0,0,0
1705743960,10,14,14,14,14,14,14,14,14,14,10,10,10,10,10,10,10,10,10,10,10,10,10,10,21,21,10,10,14,56,42,14,14,14,14,14,14,14,14,14,15,15,15,45,45,15,30,15,0,0,0,0,0,0
1705743975,16,18,18,18,18,18,18,18,18,18,16,16,16,16,16,16,16,16,16,16,16,16,16,10,11,11,10,10,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,22,11,0,0,0,0,0,0
1705743990,20,14,14,14,14,14,14,14,14,14,20,20,20,20,20,20,20,20,20,20,20,20,20,10,12,12,10,10,21,84,63,21,21,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,0,0,0,0,0,0
1705744005,10,15,15,15,15,15,15,15,15,15,10,10,10,10,10,10,10,10,10,10,10,10,10,10,19,19,10,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,28,14,23,0,0,0,0,0
1705744020,15,19,19,19,19,19,19,19,19,19,15,15,15,15,15,15,15,15,15,15,15,15,15,10,17,17,10,10,12,48,36,12,12,12,12,12,12,12,12,12,11,11,11,32,32,10,20,10,23,0,0,0,0,0
1705744035,21,13,13,13,13,13,13,13,13,13,21,21,21,21,21,21,21,21,21,21,21,21,21,10,8,8,10,10,17,67,49,17,17,16,16,16,16,16,16,16,17,17,17,52,52,18,36,18,69,0,0,0,0,0
1705744050,12,14,14,14,14,14,14,14,14,14,12,12,12,12,12,12,12,12,12,12,12,12,12,10,18,18,10,10,17,68,53,17,17,18,18,17,17,17,17,17,17,17,17,51,51,17,36,18,0,0,0,0,0,0
1705744065,10,15,15,15,15,15,15,15,15,15,10,10,10,10,10,10,10,10,10,10,10,10,10,10,15,15,10,10,13,53,39,13,13,13,13,14,14,14,14,14,14,14,14,42,42,14,26,13,0,0,0,0,0,0
1705744080,21,16,16,16,16,16,16,16,16,16,21,21,21,21,21,21,21,21,21,21,21,21,21,10,16,16,10,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,46,0,0,0,0,0
1705744095,13,16,16,16,16,16,16,16,16,16,13,13,13,13,13,13,13,13,13,13,13,13,13,10,11,11,10,10,18,71,54,18,18,18,18,17,17,17,17,17,17,17,17,51,51,17,36,18,0,1,0,0,0,0
1705744110,14,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,10,18,18,10,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,0,0,0,0,0,0
1705744125,17,14,14,14,14,14,14,14,14,14,17,17,17,17,17,17,17,17,17,17,17,17,17,10,15,15,10,10,14,57,42,14,14,14,14,15,15,15,15,15,15,15,15,45,45,15,30,15,0,0,0,0,0,0
1705744140,12,15,15,15,15,15,15,15,15,15,12,12,12,12,12,12,12,12,12,12,12,12,12,10,13,13,10,10,16,63,48,16,16,16,16,15,15,15,15,15,15,15,15,45,45,15,30,15,0,0,0,0,0,0
1705744155,14,16,16,16,16,16,16,16,16,16,15,15,15,15,15,15,15,15,15,15,15,15,15,10,17,17,10,10,12,49,36,12,12,12,12,13,13,13,13,13,13,13,13,39,39,13,26,13,23,0,0,0,0,0
1705744170,19,14,14,14,14,14,14,14,14,14,18,18,18,18,18,18,18,18,18,18,18,18,18,10,15,15,10,10,17,68,51,17,17,17,17,17,17,17,16,16,16,16,16,48,48,16,30,15,0,0,0,0,0,0
1705744185,13,16,16,16,16,16,16,16,16,16,13,13,13,13,13,13,13,13,13,13,13,13,13,10,13,13,10,10,16,60,45,15,15,15,15,15,15,15,16,16,16,16,16,48,48,16,34,17,0,0,0,0,0,0
1705744200,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,18,18,10,10,13,56,42,14,14,14,14,14,14,14,14,13,13,13,13,39,39,13,26,13,0,0,0,0,0,0
1705744215,19,15,15,15,15,15,15,15,15,15,20,20,20,20,19,19,19,19,19,19,19,19,19,10,13,13,10,10,14,56,42,14,14,14,14,14,14,14,13,14,14,14,14,42,42,14,26,13,0,0,0,0,0,0
1705744230,8,12,12,12,12,12,12,12,12,12,8,8,8,7,8,8,8,8,8,8,8,8,8,10,15,15,10,10,19,74,57,19,19,19,19,17,17,17,18,18,18,18,18,54,54,18,38,19,23,0,0,0,0,0
1705744245,17,15,15,15,15,15,15,15,15,15,16,16,16,17,17,17,17,17,17,17,17,17,17,10,17,17,10,10,8,34,24,8,8,8,8,10,10,10,10,10,9,9,9,27,27,9,18,9,69,0,0,0,0,0
1705744260,18,17,17,17,17,17,17,17,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18,10,6,6,10,10,18,71,54,18,18,18,18,17,17,17,17,17,18,18,18,54,54,18,32,16,69,0,0,0,0,0
1705744275,8,15,15,15,15,15,15,15,15,15,8,8,8,8,8,8,8,8,8,8,8,8,8,10,18,18,10,10,18,73,54,18,18,18,18,19,19,19,19,19,18,18,18,54,54,18,38,19,0,0,0,0,0,0
1705744290,17,8,8,8,8,8,8,8,8,8,17,17,17,17,17,17,17,17,17,17,17,17,17,10,18,18,10,10,11,44,33,11,11,11,11,11,11,11,10,10,11,11,11,33,33,11,22,11,0,0,0,0,0,0
1705744305,17,24,24,24,24,24,24,24,24,24,17,17,17,17,17,17,17,17,17,17,17,17,17,10,14,14,10,10,12,48,36,12,12,12,12,12,12,12,13,13,13,13,13,39,39,13,28,14,0,0,0,0,1,1
1705744320,16,13,13,13,13,13,13,13,13,13,16,16,16,16,16,16,16,16,16,16,16,16,16,10,10,10,10,10,20,78,60,20,20,20,20,18,18,18,18,18,18,18,18,54,54,18,36,18,23,0,0,0,0,0
1705744335,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,22,22,10,10,16,66,48,16,16,16,16,18,18,18,18,18,18,18,18,54,54,18,34,17,23,0,0,0,0,0
1705744350,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,13,13,13,13,13,13,13,10,17,17,10,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,30,15,0,0,0,0,0,0
1705744365,20,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,20,20,20,20,20,20,10,14,14,10,10,14,55,42,14,14,14,14,13,13,13,13,13,12,12,12,36,36,12,22,11,0,0,0,0,0,0
1705744380,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,13,13,10,10,20,81,60,20,20,20,20,21,21,21,21,21,22,22,22,66,66,22,46,23,0,0,0,0,0,0
1705744395,17,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,10,16,16,10,10,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,0,0,0,0,0,0
1705744410,15,16,16,16,16,16,16,16,16,16,15,15,15,15,15,15,15,15,15,15,15,15,15,10,15,15,10,10,15,60,45,15,15,15,15,15,15,15,15,15,14,14,14,42,42,14,28,14,23,0,0,0,0,0
1705744425,12,9,9,9,9,9,9,9,9,9,12,12,12,12,12,12,12,12,12,12,12,12,12,10,15,15,10,10,17,68,51,17,17,17,17,17,17,17,16,16,17,17,17,51,51,17,34,17,0,0,0,0,0,0
1705744440,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,14,14,10,10,12,48,36,12,12,12,12,12,12,12,13,13,13,13,13,39,39,13,24,12,46,0,0,0,0,0
1705744455,14,19,19,19,19,19,19,19,19,19,14,14,14,14,14,14,14,14,14,14,14,14,14,10,13,13,10,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,0,0,0,0,0,0
1705744470,15,16,16,16,16,16,16,16,16,16,15,15,15,15,15,15,15,15,15,15,15,15,15,10,18,18,10,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,32,16,46,0,0,0,0,0
1705744485,17,13,13,13,13,13,13,13,13,13,17,17,17,17,17,17,17,17,17,17,17,17,17,10,18,18,10,10,15,60,45,15,15,15,15,15,15,15,14,14,13,13,13,39,39,13,26,13,0,0,0,0,0,0
1705744500,12,17,17,17,17,17,17,17,17,17,12,12,12,12,12,12,12,12,12,12,12,12,12,10,16,16,10,10,15,60,45,15,15,15,15,15,15,15,16,16,16,16,16,48,48,16,32,16,0,0,0,0,0,0
1705744515,7,2,2,2,2,2,2,2,2,2,7,7,7,7,7,7,7,7,7,7,7,7,7,2,3,3,2,4,3,12,9,3,3,3,3,3,3,3,3,3,4,4,4,12,12,4,8,4,0,0,0,0,0,0
