time,payment_1,front-end_2,user_3,front-end_4,front-end_5,front-end_6,front-end_7,front-end_8,user_9,user_10,catalogue_11,front-end_12,orders_13,payment_14,orders_15,shipping_16,queue-master_17,queue-master_18,queue-master_19,queue-master_20,queue-master_21,front-end_22,front-end_23,front-end_24,user_25,front-end_26,user_27,front-end_28,front-end_29,front-end_30,front-end_31,front-end_32,front-end_33,front-end_34,catalogue_35,front-end_36,user_37,front-end_38,front-end_39,user_40,front-end_41,front-end_42,front-end_43,front-end_44,front-end_45,catalogue_46,front-end_47,front-end_48,carts_49,user_50,user_51
1705638030,10,16,64,48,16,16,16,16,16,16,15,15,16,16,16,16,16,16,48,48,16,32,16,13,10,16,16,16,16,16,16,16,16,16,10,13,13,13,13,13,13,13,13,13,13,13,13,13,0,0,0
1705638045,10,13,52,39,13,13,13,13,13,13,14,14,13,13,13,13,13,13,39,39,13,26,13,13,10,15,15,15,15,15,15,15,15,15,10,14,14,14,14,14,14,14,14,14,14,14,14,14,23,0,0
1705638060,10,15,56,42,14,14,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,16,10,18,18,18,18,18,18,18,18,18,10,17,17,17,17,17,17,17,17,17,17,17,17,17,0,0,0
1705638075,10,17,72,54,18,18,18,18,18,18,19,19,18,18,18,18,18,18,54,54,18,36,18,14,10,10,10,10,10,10,10,10,10,10,10,12,12,12,12,12,12,12,12,12,12,12,12,12,0,0,0
1705638090,10,13,52,39,13,13,13,13,13,13,17,17,13,13,13,13,13,13,39,39,13,26,13,15,10,16,16,16,16,16,15,15,15,15,10,17,17,17,17,17,17,17,17,17,17,17,17,17,0,0,0
1705638105,10,15,60,45,15,15,15,15,15,15,11,11,15,15,15,15,15,15,45,45,15,30,15,17,10,18,18,18,18,18,18,18,18,18,10,18,18,18,18,18,18,18,17,17,17,17,17,17,0,0,0
1705638120,10,15,60,45,15,15,15,15,15,15,12,12,15,15,15,15,15,15,45,45,15,30,15,19,10,16,16,16,16,16,17,17,17,17,10,16,16,16,16,16,16,16,17,17,17,17,17,17,23,0,0
1705638135,10,17,68,51,17,17,17,17,17,17,19,19,17,17,17,17,17,17,51,51,17,34,17,11,10,14,14,14,14,14,11,11,11,11,10,11,11,11,11,11,11,11,11,11,11,11,11,11,23,0,0
1705638150,10,16,64,48,16,16,16,16,16,16,19,19,16,16,16,16,16,16,48,48,16,32,16,15,10,15,15,15,15,15,17,17,17,17,10,15,15,15,15,15,15,15,15,15,15,15,15,15,0,0,0
1705638165,10,17,68,51,17,17,17,17,17,17,10,10,17,17,17,17,17,17,48,48,16,32,16,14,10,14,14,14,14,14,15,15,15,15,10,15,15,15,15,15,15,14,14,14,14,14,14,14,0,0,0
1705638180,10,11,44,33,11,11,11,11,11,11,17,17,11,11,11,11,11,11,36,36,12,24,12,19,10,18,18,18,18,18,18,18,18,18,10,18,18,18,18,18,18,19,19,19,19,19,19,19,0,0,0
1705638195,10,16,64,48,16,16,16,16,16,16,17,17,16,16,16,16,16,16,48,48,16,32,16,17,10,11,11,11,11,11,11,11,11,11,10,17,17,17,17,17,17,17,17,17,17,17,17,17,0,0,0
1705638210,10,15,60,45,15,15,15,15,15,15,11,11,15,15,15,15,15,15,45,45,15,30,15,8,10,13,13,13,13,13,13,13,13,13,10,8,8,8,8,8,8,8,8,8,8,8,8,8,0,0,0
1705638225,10,11,44,33,11,11,11,11,11,11,17,17,10,10,10,10,10,10,30,30,10,20,10,14,10,19,19,19,19,19,18,18,18,18,10,15,15,15,15,15,15,15,15,15,15,15,15,15,0,0,0
1705638240,10,15,60,45,15,15,15,15,15,15,12,12,14,14,14,14,14,14,42,42,14,28,14,16,10,11,11,11,11,11,12,12,12,12,10,18,18,18,18,17,18,17,16,16,16,16,16,16,46,0,1
1705638255,10,15,60,45,15,15,15,15,15,15,15,15,17,17,17,17,17,17,51,51,17,34,17,15,10,12,12,12,12,12,11,11,11,11,10,12,12,12,12,12,12,13,14,14,14,14,14,14,0,0,0
1705638270,10,14,56,42,14,14,14,14,14,14,16,16,14,14,14,14,14,14,42,42,14,28,14,11,10,19,19,19,19,19,20,20,20,20,10,12,12,12,12,12,12,11,11,11,11,11,11,11,23,0,0
1705638285,10,14,56,42,14,14,14,14,14,14,11,11,13,13,13,13,13,13,39,39,13,26,13,16,10,17,17,17,17,17,16,16,16,16,10,17,17,17,17,17,17,17,17,17,17,17,17,17,0,0,0
1705638300,10,14,56,42,14,14,14,14,14,14,11,11,15,15,15,15,15,15,45,45,15,30,15,19,10,10,10,10,10,10,11,11,11,11,10,17,17,17,17,17,17,18,18,18,18,18,18,18,23,0,0
1705638315,10,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,11,10,11,11,11,11,11,11,11,11,11,10,12,12,12,12,12,12,12,12,12,12,12,12,12,0,0,0
1705638330,10,12,48,36,12,12,12,12,12,12,16,16,11,11,11,11,11,11,33,33,11,22,11,13,10,20,20,20,20,20,19,19,19,19,10,17,17,17,17,17,17,17,15,15,15,15,15,15,0,0,0
1705638345,10,14,56,42,14,14,14,14,14,14,14,14,15,15,15,15,15,15,45,45,15,30,15,13,10,13,13,13,13,13,13,13,13,13,10,8,8,8,8,8,8,8,10,10,10,10,10,10,23,0,0
1705638360,10,11,44,33,11,11,11,11,11,11,16,16,11,11,11,11,11,11,33,33,11,22,11,14,10,16,16,16,16,16,15,15,15,15,10,17,17,17,17,17,17,17,17,17,17,17,17,17,23,0,0
1705638375,10,16,64,48,16,16,16,16,16,16,7,7,15,15,15,15,15,15,45,45,15,30,15,17,10,13,13,13,13,13,15,15,15,15,10,21,21,21,21,21,21,21,20,20,20,20,20,20,23,0,0
1705638390,10,19,76,57,19,19,19,19,19,19,18,18,20,20,20,20,20,20,60,60,20,40,20,13,10,15,15,15,15,15,15,15,15,15,10,6,6,6,6,6,6,6,7,7,7,7,7,7,0,0,0
1705638405,10,10,40,30,10,10,10,10,10,10,19,19,9,9,9,9,9,9,27,27,9,18,9,17,10,14,14,14,14,14,12,12,12,12,10,20,20,20,20,20,20,20,20,20,20,20,20,20,23,0,0
1705638420,10,15,60,45,15,15,15,15,15,15,11,11,16,16,16,16,16,16,48,48,16,32,16,15,10,16,16,16,16,16,17,17,17,17,10,13,13,13,13,13,13,13,13,13,13,13,13,13,0,0,0
1705638435,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,13,10,12,12,12,12,12,13,13,13,13,10,12,12,12,12,12,12,12,12,12,12,12,12,12,0,0,0
1705638450,10,14,56,42,14,14,14,14,14,14,16,16,13,13,13,13,13,13,39,39,13,26,13,14,10,16,16,16,16,16,13,13,13,13,10,17,17,17,17,17,17,17,14,14,14,14,14,14,46,0,0
1705638465,10,15,60,45,15,15,15,15,15,15,9,9,14,14,14,14,14,14,42,42,14,28,14,17,10,16,16,16,16,16,19,19,19,19,10,16,16,16,16,16,16,16,19,19,19,19,19,19,46,0,0
1705638480,10,17,68,51,17,17,17,17,17,17,19,19,19,19,19,19,19,19,57,57,19,38,19,14,10,7,7,7,7,7,7,7,7,7,10,12,12,12,12,12,12,12,12,12,12,12,12,12,0,0,0
1705638495,10,10,40,30,10,10,10,10,10,10,13,13,10,10,10,10,10,10,30,30,10,20,10,12,10,15,15,15,15,15,15,15,15,15,10,12,12,12,12,12,12,12,12,12,12,12,12,12,0,0,0
1705638510,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,8,10,21,21,21,21,21,18,18,18,18,10,14,14,14,14,14,14,14,14,14,14,14,14,14,46,0,0
1705638525,10,12,48,36,12,12,12,12,12,12,11,11,12,12,12,12,12,12,36,36,12,24,12,27,10,10,10,10,10,10,13,13,13,13,10,22,22,22,22,22,22,22,22,22,22,22,22,22,0,0,0
1705638540,10,23,92,69,23,23,23,23,23,23,15,15,22,22,22,22,22,22,66,66,22,44,22,9,10,13,13,13,13,13,12,12,12,12,10,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0,0
1705638555,10,7,28,21,7,7,7,7,7,7,18,18,8,8,8,8,8,8,24,24,8,16,8,15,10,17,17,17,17,17,18,18,18,18,10,12,12,12,12,12,12,12,12,12,12,12,12,12,23,0,0
1705638570,10,19,76,57,19,19,19,19,19,19,13,13,19,19,19,19,19,19,57,57,19,38,19,17,10,16,16,16,16,16,16,16,16,16,10,18,18,18,18,18,18,18,18,18,18,17,17,17,0,0,0
1705638585,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,14,10,18,18,18,18,18,18,18,18,18,10,17,17,17,17,17,17,17,15,15,15,16,16,16,0,0,0
1705638600,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,16,10,17,17,17,17,17,17,17,17,17,10,12,12,12,12,12,12,12,14,14,14,14,14,14,0,0,0
1705638615,10,18,72,54,18,18,18,18,18,18,17,17,17,17,17,17,17,17,51,51,17,34,17,17,10,12,12,12,12,12,12,12,12,12,10,18,18,18,18,18,18,18,18,18,18,18,18,18,23,0,0
1705638630,10,11,44,33,11,11,11,11,11,11,15,15,12,12,12,12,12,12,36,36,12,24,12,13,10,14,14,14,14,14,14,14,14,14,10,13,13,13,13,13,13,12,12,12,12,12,12,12,0,0,0
1705638645,10,14,56,42,14,14,14,14,14,14,12,12,14,14,14,14,14,14,42,42,14,28,14,15,10,19,19,19,19,19,19,19,19,19,10,16,16,16,16,16,16,16,16,16,16,16,16,16,0,0,0
1705638660,10,17,68,51,17,17,17,17,17,17,13,13,16,16,16,16,16,16,48,48,16,32,16,16,10,14,14,14,14,14,14,14,14,14,10,16,16,16,16,16,16,16,16,16,16,16,16,16,0,0,0
1705638675,10,14,56,42,14,14,14,14,14,14,19,19,15,15,15,15,15,15,45,45,15,30,15,13,10,13,13,13,13,13,13,13,13,13,10,11,11,11,11,11,11,12,12,12,12,12,12,12,0,0,0
1705638690,10,12,48,36,12,12,12,12,12,12,15,15,11,11,11,11,11,11,33,33,11,22,11,13,10,18,18,18,18,18,14,14,14,14,10,19,19,19,19,19,19,19,17,17,17,17,17,17,0,0,0
1705638705,10,14,56,42,14,14,14,14,14,14,12,12,15,15,15,15,15,15,45,45,15,30,15,14,10,12,12,12,12,12,14,14,14,14,10,15,15,15,15,15,15,15,17,17,17,17,17,17,23,0,0
1705638720,10,19,76,57,19,19,19,19,19,19,15,15,19,19,19,19,19,19,57,57,19,38,19,16,10,11,11,11,11,11,13,13,13,13,10,13,13,13,13,13,13,13,13,13,13,13,13,13,0,0,0
1705638735,10,15,60,45,15,15,15,15,15,15,16,16,13,13,13,13,13,13,39,39,13,26,13,12,10,19,19,19,19,19,16,16,16,16,10,12,12,12,12,12,12,12,12,12,12,12,12,12,23,0,0
1705638750,10,10,40,30,10,10,10,10,10,10,15,15,12,12,12,12,12,12,36,36,12,24,12,20,10,11,11,11,11,11,14,14,14,14,10,17,17,17,17,17,17,17,17,17,17,17,17,17,0,0,0
1705638765,10,16,64,48,16,16,16,16,16,16,10,10,16,16,16,16,16,16,48,48,16,32,16,10,10,13,13,13,13,13,12,12,12,12,10,11,11,11,10,10,10,10,9,9,9,9,9,9,0,0,0
1705638780,10,12,48,36,12,12,12,12,12,12,21,21,12,12,12,12,12,12,36,36,12,24,12,16,10,16,16,16,16,16,16,16,16,16,10,15,15,15,16,16,16,16,17,17,17,17,17,17,23,0,0
1705638795,10,16,64,48,16,16,16,16,16,16,10,10,16,16,16,16,16,16,48,48,16,32,16,14,10,13,13,13,13,13,14,14,14,14,10,13,13,13,13,13,13,13,13,13,13,13,13,13,46,0,0
1705638810,10,15,60,45,15,15,15,15,15,15,14,14,15,15,15,15,15,15,45,45,15,30,15,16,10,17,17,17,17,17,17,17,17,17,10,20,20,20,20,20,20,20,18,18,18,18,18,18,23,0,0
1705638825,10,16,64,48,16,16,16,16,16,16,14,14,16,16,16,16,16,16,48,48,16,32,16,14,10,12,12,12,12,12,12,12,12,12,10,10,10,10,10,10,10,10,12,12,12,12,12,12,0,0,0
1705638840,10,13,52,39,13,13,13,13,13,13,16,16,13,13,13,13,13,13,39,39,13,26,13,13,10,19,19,19,19,19,17,17,17,17,10,20,20,20,20,20,20,20,18,18,18,18,18,18,23,0,0
1705638855,10,16,64,48,16,16,16,16,16,16,13,13,16,16,16,16,16,16,48,48,16,32,16,16,10,12,12,12,12,12,14,14,14,14,10,10,10,10,10,10,10,10,11,11,11,11,11,11,0,0,0
1705638870,10,15,60,45,15,15,15,15,15,15,16,16,15,15,15,15,15,15,45,45,15,30,15,13,10,15,15,15,15,15,15,15,15,15,10,13,13,13,13,13,13,13,14,14,14,14,14,14,0,0,0
1705638885,10,15,60,45,15,15,15,15,15,15,16,16,15,15,15,15,15,15,45,45,15,30,15,14,10,12,12,12,12,12,12,12,12,12,10,14,14,14,14,14,14,14,14,14,14,13,13,13,23,0,0
1705638900,10,11,44,33,11,11,11,11,11,11,16,16,11,11,11,11,11,11,33,33,11,22,11,12,10,16,16,16,16,16,13,13,13,13,10,14,14,14,14,14,14,13,12,12,12,13,13,13,0,0,0
1705638915,10,13,52,39,13,13,13,13,13,13,11,11,13,13,13,13,13,13,39,39,13,26,13,18,10,15,15,15,15,15,18,18,18,18,10,15,15,15,15,15,15,16,17,17,17,17,17,17,23,0,0
1705638930,10,15,60,45,15,15,15,15,15,15,13,13,15,15,15,15,15,15,45,45,15,30,15,10,10,12,12,12,12,12,12,12,12,12,10,14,14,14,14,14,14,14,11,11,11,11,11,11,0,0,0
1705638945,10,14,55,40,14,14,13,13,13,13,18,18,13,13,13,13,13,13,39,39,13,26,13,16,10,14,14,14,14,14,14,14,14,14,10,13,13,13,13,13,13,12,15,15,15,15,15,15,0,0,0
1705638960,10,17,69,53,17,17,18,18,18,18,10,10,18,18,18,18,18,18,54,54,18,36,18,18,10,16,16,15,15,15,15,15,15,15,10,18,18,18,18,18,18,18,18,18,18,18,18,18,23,0,0
1705638975,10,14,56,42,14,14,14,14,14,14,14,14,13,13,13,13,13,13,39,39,13,26,13,15,10,14,14,15,15,15,13,13,13,13,10,15,15,15,15,15,15,16,16,16,16,16,16,16,0,0,0
1705638990,10,13,52,39,13,13,13,13,13,13,17,17,14,14,14,14,14,14,42,42,14,28,14,12,10,13,13,13,13,13,15,15,15,15,10,11,11,11,11,11,11,11,11,11,11,11,11,11,23,0,0
1705639005,10,15,60,45,15,15,15,15,15,15,14,14,15,15,15,15,15,15,45,45,15,30,15,13,10,15,15,15,15,15,15,15,15,15,10,15,15,15,15,15,15,13,13,13,13,13,13,13,46,0,0
1705639020,10,15,60,45,15,15,15,15,15,15,14,14,15,15,15,15,15,15,45,45,15,30,15,16,10,15,15,15,15,15,15,15,15,15,10,14,14,14,14,14,14,16,16,16,16,16,16,16,23,0,0
1705639035,10,15,60,45,15,15,15,15,15,15,16,16,15,15,15,15,15,15,45,45,15,30,15,16,10,14,14,14,14,14,14,14,14,14,10,17,17,17,17,17,17,17,17,17,17,16,16,16,0,0,0
1705639050,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,15,10,18,18,18,18,18,18,18,18,18,10,14,14,14,14,14,14,14,14,14,14,15,15,15,23,0,0
1705639065,10,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,14,10,16,16,16,16,16,16,16,16,16,10,16,16,16,16,16,16,15,14,14,14,14,14,14,46,0,0
1705639080,10,17,68,51,17,17,17,17,17,17,15,15,17,17,17,17,17,17,51,51,17,34,17,17,10,11,11,11,11,11,10,10,10,10,10,16,16,16,16,16,16,17,17,17,17,17,17,17,23,0,0
1705639095,10,14,56,42,14,14,14,14,14,14,17,17,14,14,14,14,14,14,42,42,14,28,14,11,10,17,17,17,17,17,18,18,18,18,10,10,10,10,10,10,10,10,11,11,11,11,11,11,0,0,0
1705639110,10,13,52,39,13,13,13,13,13,13,14,14,13,13,13,13,13,13,39,39,13,26,13,18,10,13,13,13,13,13,13,13,13,13,10,19,19,19,19,19,19,18,18,18,18,18,18,18,0,0,0
1705639125,10,19,76,57,19,19,19,19,19,19,16,16,19,19,19,19,19,19,57,57,19,38,19,12,10,13,13,13,13,13,13,13,13,13,10,11,11,11,11,11,11,12,12,12,12,12,12,12,0,0,0
1705639140,10,11,44,33,11,11,11,11,11,11,15,15,11,11,11,11,11,11,33,33,11,22,11,15,10,15,15,15,15,15,15,15,15,15,10,15,15,15,15,15,15,15,15,15,15,15,15,15,0,0,0
1705639155,10,17,68,51,17,17,17,17,17,17,10,10,17,17,17,17,17,17,51,51,17,34,17,16,10,16,16,16,16,16,16,16,16,16,10,16,16,16,16,16,16,16,16,16,16,16,16,16,23,0,0
1705639170,10,14,56,42,14,14,14,14,14,14,17,17,14,14,14,14,14,14,42,42,14,28,14,13,10,12,12,12,12,12,12,12,12,12,10,13,13,13,13,13,13,13,13,13,13,13,13,13,0,0,0
1705639185,10,12,48,36,12,12,12,12,12,12,15,15,12,12,12,12,12,12,36,36,12,24,12,7,10,16,16,16,16,16,13,13,13,13,10,14,14,14,14,14,14,13,13,13,13,13,13,13,23,0,0
1705639200,10,11,44,33,11,11,11,11,11,11,8,8,8,8,8,8,8,8,24,24,8,16,8,21,10,15,15,15,15,15,16,16,16,16,10,16,16,16,16,16,16,17,17,17,17,17,17,17,0,0,0
1705639215,10,18,72,54,18,18,18,18,18,18,15,15,21,21,21,21,21,21,63,63,21,42,21,14,10,9,9,9,9,9,11,11,11,11,10,12,12,12,12,12,12,12,12,12,12,12,12,12,0,0,0
1705639230,10,13,52,39,13,13,13,13,13,13,20,20,13,13,13,13,13,13,39,39,13,26,13,10,10,17,17,17,17,17,17,17,17,17,10,12,12,12,12,12,12,11,11,11,11,10,10,10,0,0,0
1705639245,6,8,32,24,8,8,8,8,8,8,7,7,8,8,8,8,8,8,24,24,8,16,8,14,6,7,7,7,7,7,7,7,7,7,8,13,13,13,13,13,13,14,13,13,13,14,14,14,0,0,0
