time,catalogue_1,front-end_2,front-end_3,user_4,front-end_5,front-end_6,user_7,front-end_8,front-end_9,front-end_10,front-end_11,front-end_12,catalogue_13,front-end_14,front-end_15,front-end_16,front-end_17,user_18,front-end_19,front-end_20,front-end_21,front-end_22,front-end_23,front-end_24,front-end_25,front-end_26,user_27,front-end_28,front-end_29,front-end_30,front-end_31,front-end_32,user_33,user_34,orders_35,payment_36,orders_37,shipping_38,queue-master_39,queue-master_40,queue-master_41,queue-master_42,queue-master_43,front-end_44,front-end_45,catalogue_46,payment_47,user_48,carts_49,carts_50,user-db_51
1705768290,22,22,15,15,15,15,15,15,15,15,15,15,15,15,15,13,15,13,13,13,13,13,13,13,13,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,10,0,0,0
1705768305,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,18,13,18,18,18,18,18,18,18,18,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,10,23,0,0
1705768320,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,16,15,16,16,16,16,16,16,16,16,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,10,23,0,0
1705768335,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,12,18,12,12,12,12,12,12,12,12,18,69,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,10,0,0,0
1705768350,16,16,11,11,11,11,11,11,11,11,11,11,11,11,11,16,11,16,16,16,16,16,16,16,16,13,55,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,10,0,0,0
1705768365,10,10,18,18,18,18,18,18,18,18,18,18,18,18,18,19,18,19,19,19,19,19,19,19,19,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,10,46,0,0
1705768380,17,17,13,13,13,13,13,13,13,13,13,13,13,13,13,12,13,12,12,12,12,12,12,12,12,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,10,10,0,0,0
1705768395,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,15,16,15,15,15,15,15,15,15,15,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,10,0,0,0
1705768410,13,13,17,17,17,17,17,17,17,17,17,17,17,17,17,15,17,15,15,15,15,15,15,15,15,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,10,0,0,0
1705768425,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,19,18,19,19,19,19,19,19,19,19,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,10,0,0,0
1705768440,15,15,14,14,14,14,14,14,14,14,14,14,14,14,14,11,14,11,11,11,11,11,11,11,11,18,68,51,17,17,17,17,17,17,17,17,16,16,16,16,48,48,16,32,16,10,10,10,46,0,0
1705768455,17,17,10,10,10,10,10,10,10,10,10,10,10,10,10,13,10,13,13,13,13,13,13,13,13,15,64,48,16,16,16,16,16,16,16,16,17,17,17,17,51,51,17,34,17,10,10,10,23,0,0
1705768470,15,15,19,19,19,19,19,19,19,19,19,19,19,19,19,21,19,21,21,21,21,21,21,21,21,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,10,10,23,0,0
1705768485,13,13,16,16,16,16,16,16,16,16,16,16,16,16,16,15,16,15,15,15,15,15,15,15,15,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,10,0,0,0
1705768500,19,19,17,17,17,17,17,17,17,17,17,17,17,17,17,15,17,15,15,15,15,15,15,15,15,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,10,0,0,0
1705768515,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,16,13,16,16,16,16,16,16,16,16,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,10,23,0,0
1705768530,15,15,20,20,20,19,19,19,19,19,19,19,19,19,19,16,19,16,16,16,16,16,16,16,16,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,10,23,0,0
1705768545,17,17,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,10,10,23,0,0
1705768560,17,17,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,10,0,0,0
1705768575,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,19,16,19,19,19,19,19,19,19,19,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,10,0,0,0
1705768590,12,12,15,15,15,15,15,15,15,15,15,15,15,15,15,11,15,11,11,11,11,11,11,11,11,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,10,23,0,0
1705768605,19,19,16,16,16,16,16,16,16,16,16,16,16,16,16,19,16,19,19,19,19,19,19,19,19,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,10,23,0,0
1705768620,13,13,15,15,15,15,15,15,15,15,15,15,15,15,15,12,15,12,12,12,12,12,12,12,12,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,10,0,0,0
1705768635,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,17,16,17,17,17,17,17,17,17,17,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,10,23,0,0
1705768650,15,15,14,14,14,14,14,14,14,14,14,13,13,13,13,14,13,14,14,14,14,14,14,14,14,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,10,23,0,0
1705768665,16,16,16,16,16,16,16,16,16,16,16,17,17,17,17,15,17,15,15,15,15,15,15,15,15,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,10,10,0,0,0
1705768680,13,13,16,16,16,16,16,16,16,16,16,16,16,16,16,19,16,19,19,19,19,19,19,19,19,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,10,0,0,0
1705768695,14,14,17,17,17,17,17,17,17,17,17,17,17,17,17,14,17,14,14,14,14,14,14,14,14,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,10,10,23,0,0
1705768710,20,20,13,13,13,13,13,13,13,13,13,13,13,13,13,14,13,14,14,14,14,14,14,14,14,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,10,23,0,0
1705768725,12,12,15,15,15,14,14,14,14,14,14,14,14,14,14,17,14,17,17,17,17,17,17,17,17,17,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,10,0,0,0
1705768740,17,17,16,16,16,17,17,17,17,17,17,17,17,17,17,15,17,15,15,15,15,15,15,15,15,14,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,10,0,0,0
1705768755,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,15,14,14,14,14,14,14,14,14,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,10,46,0,0
1705768770,15,15,21,21,21,21,21,21,21,21,21,21,21,21,21,19,21,19,19,19,19,19,19,19,19,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,10,0,0,0
1705768785,15,15,13,13,13,13,13,13,13,13,13,13,13,13,13,14,13,14,14,14,14,14,14,14,14,22,88,66,22,22,22,22,22,22,22,22,22,22,22,22,66,66,22,44,22,10,10,10,46,0,0
1705768800,22,22,14,14,14,14,14,14,14,14,14,14,14,14,14,15,14,15,15,15,15,15,15,15,15,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,10,46,0,0
1705768815,13,13,15,15,15,15,15,15,15,15,15,15,15,15,15,18,15,18,18,18,18,18,18,18,18,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,10,10,69,0,0
1705768830,12,12,16,16,16,16,16,16,16,16,16,16,16,16,16,13,16,13,13,13,13,13,13,13,13,21,81,61,21,21,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,10,10,10,0,0,0
1705768845,20,20,12,12,12,12,12,12,12,12,12,12,12,12,12,14,12,14,14,14,14,14,14,14,14,14,59,44,14,14,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,10,0,0,0
1705768860,12,12,17,17,17,17,17,17,17,17,17,17,17,17,17,13,17,13,13,13,13,13,13,13,13,12,47,36,12,12,12,12,11,11,11,11,11,11,11,11,33,33,11,22,11,10,10,10,23,0,0
1705768875,15,15,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,69,51,17,17,17,17,18,18,18,18,18,18,18,18,54,54,18,36,18,10,10,10,0,0,0
1705768890,15,15,14,14,14,14,14,14,14,14,14,14,14,14,14,17,14,17,17,17,17,17,17,17,17,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,10,23,0,0
1705768905,12,12,14,14,14,14,14,14,14,14,14,14,14,14,14,11,14,11,11,11,11,11,11,11,11,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,10,23,0,0
1705768920,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,16,17,17,17,17,17,17,17,17,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,10,10,0,0,0
1705768935,19,19,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,17,68,51,17,17,17,17,17,17,17,17,16,16,16,16,48,48,16,32,16,10,10,10,46,0,0
1705768950,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,21,15,21,21,21,21,21,21,21,21,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,10,0,0,0
1705768965,10,10,22,22,22,22,22,22,22,22,22,22,22,22,22,15,22,15,15,15,15,15,15,15,15,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,10,0,0,0
1705768980,21,21,12,11,11,11,11,11,11,11,11,11,11,11,11,9,11,9,9,9,9,9,9,9,9,18,72,54,18,18,18,18,18,18,18,18,19,19,19,19,57,57,19,38,19,10,10,10,0,0,0
1705768995,15,15,13,14,14,14,14,14,14,14,14,14,14,14,14,21,14,21,21,21,21,21,21,21,21,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,10,10,0,0,0
1705769010,9,9,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,72,54,18,18,18,18,18,18,18,18,17,17,17,17,51,51,17,34,17,10,10,10,23,0,0
1705769025,21,21,14,14,14,14,14,14,14,14,14,14,14,14,14,8,14,8,8,8,8,8,8,8,8,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,10,0,0,0
1705769040,16,16,12,12,12,12,12,12,12,12,12,12,12,12,12,16,12,16,16,16,16,16,16,16,16,11,44,33,11,11,11,11,11,11,11,11,12,12,12,12,36,36,12,24,12,10,10,10,0,0,0
1705769055,10,10,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,15,60,45,15,15,15,15,15,15,15,15,15,14,14,14,42,42,14,28,14,10,10,10,69,0,0
1705769070,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,16,13,16,16,16,16,16,16,16,16,20,80,60,20,20,20,20,20,20,20,20,19,20,20,20,60,60,20,40,20,10,10,10,46,0,0
1705769085,20,20,14,14,14,14,14,14,14,14,14,14,14,14,14,15,14,15,15,15,15,15,15,15,15,9,36,27,9,9,9,9,9,9,9,9,10,10,10,10,30,30,10,20,10,10,10,10,23,0,0
1705769100,15,15,17,17,17,17,17,17,17,17,17,17,17,17,17,15,17,15,15,15,15,15,15,15,15,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,10,0,0,0
1705769115,13,13,17,17,17,17,17,17,17,17,17,17,17,17,17,13,17,13,13,13,13,13,13,13,13,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,10,10,10,23,0,0
1705769130,19,19,17,17,17,17,17,17,17,17,17,17,17,17,17,18,17,18,18,18,18,18,18,18,18,14,55,42,14,14,14,14,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,10,23,0,0
1705769145,14,14,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,16,65,48,16,16,16,16,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,10,0,0,1
1705769160,18,18,22,22,22,22,22,22,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,10,23,0,0
1705769175,11,11,14,14,14,14,14,14,15,15,15,15,15,15,15,14,15,14,14,14,14,14,14,14,14,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,10,10,10,0,0,0
1705769190,23,23,14,14,14,14,14,14,14,14,14,14,14,14,14,13,14,13,13,13,13,13,13,13,13,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,10,23,0,0
1705769205,14,14,9,9,9,9,9,9,9,9,9,9,9,9,9,13,9,13,13,13,13,13,13,13,13,13,49,37,13,13,12,12,12,12,12,12,11,11,11,11,33,33,11,22,11,10,10,10,0,0,0
1705769220,10,10,22,22,22,22,22,22,22,22,22,22,22,22,22,17,22,17,17,17,17,17,17,17,17,12,51,38,12,12,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,10,23,0,0
1705769235,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,18,16,18,18,18,18,18,18,18,18,18,72,54,18,18,18,18,18,18,18,18,19,19,19,19,57,57,19,38,19,10,10,10,23,0,0
1705769250,19,19,11,11,11,11,11,11,10,10,10,10,10,10,10,11,10,11,11,11,11,11,11,11,11,17,68,51,17,17,17,17,17,17,17,16,16,16,16,16,48,48,16,32,16,10,10,10,23,0,0
1705769265,15,15,13,13,13,13,13,13,14,14,14,14,14,14,14,16,14,16,16,16,16,16,16,16,16,10,40,30,10,10,10,10,10,10,10,11,11,11,11,11,33,33,11,22,11,10,10,10,0,0,0
1705769280,14,14,17,17,17,17,17,17,17,17,17,17,17,17,17,15,17,15,15,15,15,15,15,15,15,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,10,23,0,0
1705769295,12,12,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,10,23,0,0
1705769310,16,16,15,15,15,15,15,15,15,15,15,15,15,15,15,12,15,12,12,12,12,12,12,12,12,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,10,10,0,0,0
1705769325,19,19,15,15,15,15,15,15,15,15,15,15,15,15,15,20,15,20,20,20,20,20,20,20,20,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,10,0,0,0
1705769340,12,12,14,14,14,14,14,14,14,14,14,14,14,14,14,16,14,16,16,16,16,16,16,16,16,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,10,23,0,0
1705769355,13,13,16,16,16,16,16,16,16,16,16,16,16,16,16,14,16,14,14,14,14,14,14,14,14,16,64,48,16,16,16,16,16,16,16,16,15,15,15,15,45,45,15,30,15,10,10,10,0,0,0
1705769370,19,19,16,16,16,16,16,16,16,16,16,16,16,16,16,10,16,10,10,10,10,10,10,10,10,21,84,63,21,21,21,21,21,21,21,21,22,22,22,22,66,66,22,44,22,10,10,10,0,0,0
1705769385,18,18,12,12,12,12,12,12,11,11,11,11,11,11,11,19,11,19,19,19,19,19,19,19,19,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,10,10,0,0,0
1705769400,8,8,21,21,21,21,21,21,22,22,22,22,22,22,22,18,22,18,18,18,18,18,18,18,18,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,10,10,10,0,0,0
1705769415,17,17,15,15,15,15,15,15,15,15,15,15,15,15,15,10,15,10,10,10,10,10,10,10,10,23,92,69,23,23,23,23,23,23,23,23,23,23,23,23,69,69,23,46,23,10,10,10,23,0,0
1705769430,20,20,9,9,9,9,9,9,9,8,8,8,8,8,8,16,8,16,16,16,16,16,16,16,16,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,10,46,0,0
1705769445,11,11,20,20,20,20,20,20,20,21,21,21,21,21,21,19,21,19,19,19,19,19,19,19,19,9,36,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,9,18,9,10,10,10,46,0,0
1705769460,12,12,16,16,16,16,16,16,16,16,16,16,16,16,16,13,16,13,13,13,13,13,13,13,13,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,10,10,23,0,0
1705769475,19,19,11,11,11,11,11,11,11,11,11,11,11,11,11,13,11,13,13,13,13,13,13,13,13,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,10,0,0,0
1705769490,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,10,0,0,0
1705769505,14,14,20,20,20,20,20,20,20,20,20,20,20,20,20,18,20,18,18,18,18,18,18,18,18,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,10,23,0,0
1705769520,14,14,11,11,11,11,11,11,11,11,11,11,11,11,11,13,11,13,13,13,13,13,13,13,13,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,10,0,0,0
1705769535,19,19,14,14,14,14,14,14,13,13,13,13,13,13,13,16,13,16,16,16,16,16,16,16,16,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,10,0,0,0
1705769550,13,13,19,19,19,19,19,19,20,20,20,20,20,20,20,17,20,17,17,17,17,17,17,17,17,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,10,0,0,0
