time,front-end_1,catalogue_2,front-end_3,catalogue_4,front-end_5,front-end_6,front-end_7,catalogue_8,front-end_9,front-end_10,front-end_11,front-end_12,front-end_13,front-end_14,front-end_15,user_16,front-end_17,front-end_18,user_19,front-end_20,front-end_21,user_22,front-end_23,user_24,front-end_25,front-end_26,front-end_27,front-end_28,front-end_29,user_30,user_31,orders_32,orders_33,orders_34,front-end_35,front-end_36,front-end_37,user_38,front-end_39,front-end_40,front-end_41,carts_42,payment_43,payment_44,orders_45,shipping_46,queue-master_47,queue-master_48,queue-master_49,queue-master_50,queue-master_51,front-end_52,front-end_53,user_54,user_55
1705646850,19,15,15,10,14,14,14,14,14,14,12,12,12,12,14,14,14,14,14,14,14,10,12,48,36,12,12,12,12,12,12,13,0,0,0,0,11,11,11,11,11,0,5,12,12,12,12,12,36,36,12,24,12,0,0
1705646865,12,13,13,10,12,12,12,12,12,12,13,13,13,13,12,12,12,12,12,12,12,10,19,76,57,19,19,19,19,19,19,19,0,0,0,0,14,14,14,14,14,23,5,20,20,20,20,20,60,60,20,40,20,0,0
1705646880,11,17,17,10,13,13,13,13,13,13,17,17,17,17,15,15,15,15,15,15,15,10,12,48,36,12,12,12,12,12,12,12,0,0,0,0,17,17,17,17,17,46,5,12,12,12,12,12,36,36,12,24,12,0,0
1705646895,14,12,12,10,17,17,17,17,17,17,12,12,12,12,16,16,16,16,16,16,16,10,12,48,36,12,12,12,12,12,12,11,0,0,0,0,13,13,13,13,13,23,7,11,11,11,11,11,33,33,11,22,11,0,0
1705646910,16,12,12,10,15,15,15,15,15,15,13,13,13,13,16,16,16,16,16,16,16,10,13,52,39,13,13,13,13,13,13,14,0,0,0,0,12,12,12,12,12,23,10,14,14,14,14,14,42,42,14,28,14,0,0
1705646925,16,15,15,10,12,12,12,12,12,12,13,13,13,13,10,10,10,10,10,10,10,10,19,76,57,19,19,19,19,19,19,19,0,0,0,0,11,11,11,11,11,23,10,19,19,19,19,19,57,57,19,38,19,0,0
1705646940,11,18,18,10,13,13,13,13,13,13,14,14,14,14,13,13,13,13,13,13,13,10,12,48,36,12,12,12,12,12,12,12,0,0,0,0,14,14,14,14,14,23,10,12,12,12,12,12,36,36,12,24,12,0,0
1705646955,11,11,11,10,14,14,14,14,14,14,16,16,16,16,18,18,18,18,18,18,18,10,16,64,48,16,16,16,16,16,16,15,0,0,0,0,17,17,17,17,17,0,10,15,15,15,15,15,45,45,15,30,15,0,0
1705646970,17,14,14,10,13,13,13,13,13,13,14,14,14,14,10,10,10,10,10,10,9,10,9,36,27,9,9,9,9,9,9,10,0,0,0,0,13,13,13,13,13,0,10,10,10,10,10,10,30,30,10,20,10,0,0
1705646985,14,14,14,10,15,15,15,15,15,15,13,13,13,13,15,15,15,15,15,15,16,10,17,68,51,17,17,17,17,17,17,16,0,0,0,0,14,14,14,14,14,0,10,16,16,16,16,16,48,48,16,32,16,0,0
1705647000,17,12,12,10,15,15,15,15,15,15,14,14,14,14,14,14,14,14,14,14,14,10,14,55,42,14,14,14,14,14,14,15,0,0,0,0,14,14,14,14,14,46,10,15,15,15,15,15,45,45,15,30,15,1,0
1705647015,13,17,17,10,13,13,13,13,13,13,12,12,12,12,13,13,13,13,13,13,13,10,16,64,48,16,16,16,16,16,16,15,0,0,0,0,13,13,13,13,13,23,10,15,15,15,15,15,45,45,15,30,15,0,0
1705647030,12,15,15,10,16,16,16,16,16,16,14,14,14,14,16,16,16,16,16,16,16,10,14,56,42,14,14,14,14,14,14,14,0,0,0,0,16,16,16,16,16,23,10,14,14,14,14,14,42,42,14,28,14,0,0
1705647045,17,15,15,10,13,13,13,13,13,13,16,16,16,16,13,13,13,13,13,13,13,10,15,60,45,15,15,15,15,15,15,16,0,0,0,0,12,12,12,12,12,23,10,16,16,16,16,16,48,48,16,32,16,0,0
1705647060,11,12,12,10,11,11,11,11,11,11,14,14,14,14,11,11,11,11,11,11,11,10,12,48,36,12,12,12,12,12,12,12,0,0,0,0,14,14,14,14,14,0,10,12,12,12,12,12,36,36,12,24,12,0,0
1705647075,13,14,14,10,16,16,16,16,16,16,13,13,13,13,17,17,17,17,17,17,17,10,13,52,39,13,13,13,13,13,13,12,0,0,0,0,17,17,17,17,17,0,10,12,12,12,12,12,36,36,12,24,12,0,0
1705647090,14,11,11,10,15,15,15,15,15,15,17,17,17,17,15,15,15,15,15,15,15,10,12,48,36,12,12,12,12,12,12,13,0,0,0,0,15,15,15,15,15,23,10,13,13,13,13,13,39,39,13,26,13,0,0
1705647105,16,14,14,10,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,10,14,56,42,14,14,14,14,14,14,14,0,0,0,0,12,12,12,12,12,0,10,14,14,14,14,14,42,42,14,28,14,0,0
1705647120,16,14,14,10,15,15,15,15,15,15,9,9,9,9,13,13,13,13,13,13,13,10,18,72,54,18,18,18,18,18,18,18,0,0,0,0,9,9,9,9,9,0,10,18,18,18,18,18,54,54,18,36,18,0,0
1705647135,11,22,22,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,14,56,42,14,14,14,14,14,14,14,0,0,0,0,13,13,13,13,13,46,10,14,14,14,14,14,42,42,14,28,14,0,0
1705647150,10,8,8,10,13,13,13,13,13,13,15,15,15,15,14,14,14,14,14,14,14,10,12,48,36,12,12,12,12,12,12,10,0,0,0,0,15,15,15,15,15,0,10,10,10,10,10,10,30,30,10,20,10,0,0
1705647165,14,13,13,10,13,13,13,13,13,13,18,18,18,18,13,13,13,13,13,13,13,10,8,32,24,8,8,8,8,8,8,10,0,0,0,0,20,20,20,20,20,0,10,10,10,10,10,10,30,30,10,20,10,0,0
1705647180,12,8,8,10,16,16,16,16,16,16,12,12,12,12,16,16,16,16,16,16,16,10,16,64,48,16,16,16,16,16,16,16,0,0,0,0,13,13,13,13,13,0,10,16,16,16,16,16,48,48,16,32,16,0,0
1705647195,20,16,16,10,12,12,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11,10,16,64,48,16,16,16,16,16,16,16,0,0,0,0,9,9,9,9,9,23,10,16,16,16,16,16,48,48,16,32,16,0,0
1705647210,7,16,16,10,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,10,14,56,42,14,14,14,14,14,13,14,0,0,0,0,17,17,17,17,17,0,10,14,14,14,14,14,42,42,14,28,14,0,1
1705647225,12,12,12,10,15,15,15,15,15,15,11,11,11,11,16,16,16,16,16,16,16,10,11,44,33,11,11,11,11,11,11,11,0,0,0,0,12,12,12,12,12,0,10,11,11,11,11,11,33,33,11,22,11,0,0
1705647240,16,14,14,10,12,12,12,12,12,12,16,16,16,16,11,11,11,11,11,11,11,10,11,44,33,11,11,11,11,11,11,10,0,0,0,0,11,11,11,11,11,23,10,10,10,10,10,10,30,30,10,20,10,0,0
1705647255,16,13,13,10,13,13,13,13,13,13,14,14,14,14,12,12,12,12,12,12,12,10,13,52,39,13,13,13,13,13,13,13,0,0,0,0,14,14,14,14,14,23,10,13,13,13,13,13,39,39,13,26,13,0,0
1705647270,12,13,13,10,13,13,13,13,13,13,16,16,16,16,16,16,16,16,16,16,16,10,17,68,51,17,17,17,17,17,17,17,0,0,0,0,16,16,16,16,16,23,10,17,17,17,17,17,51,51,17,34,17,0,0
1705647285,15,13,13,10,13,13,13,13,13,13,10,10,10,10,10,10,10,10,10,10,10,10,12,48,36,12,12,12,12,12,12,13,0,0,0,0,9,9,9,9,9,0,10,13,13,13,13,13,39,39,13,26,13,0,0
1705647300,11,16,16,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,17,68,51,17,17,17,17,17,17,17,0,0,0,0,13,13,13,13,13,23,10,17,17,17,17,17,51,51,17,34,17,0,0
1705647315,13,12,12,10,12,12,12,12,12,12,16,16,16,16,13,13,13,13,13,13,13,10,11,44,33,11,11,11,11,11,11,10,0,0,0,0,18,18,18,18,18,0,10,10,10,10,10,10,30,30,10,20,10,0,0
1705647330,13,11,11,10,15,15,15,15,15,15,13,13,13,13,18,18,18,18,18,18,18,10,10,40,30,10,10,10,10,10,10,11,0,0,0,0,16,16,16,16,16,46,10,11,11,11,11,11,33,33,11,22,11,0,0
1705647345,14,14,14,10,17,17,17,17,17,17,13,13,13,13,16,16,16,16,16,16,15,10,13,52,39,13,13,13,13,13,13,12,0,0,0,0,9,9,9,9,9,0,10,12,12,12,12,12,36,36,12,24,12,0,0
1705647360,15,15,15,10,11,11,11,11,11,11,8,8,8,8,9,9,9,9,9,9,10,10,17,68,51,17,17,17,17,17,17,16,0,0,0,0,10,10,10,10,10,23,10,16,16,16,16,16,48,48,16,32,16,0,0
1705647375,10,15,15,10,11,11,11,11,11,11,18,18,18,18,11,11,11,11,11,11,11,10,13,52,39,13,13,13,13,13,13,15,0,0,0,0,16,16,16,16,16,0,10,15,15,15,15,15,45,45,15,30,15,0,0
1705647390,18,10,10,10,15,15,15,15,15,15,14,14,14,14,14,14,14,14,14,14,14,10,9,36,27,9,9,9,9,9,9,9,0,0,0,0,13,13,13,13,13,46,10,9,9,9,9,9,27,27,9,18,9,0,0
1705647405,14,13,13,10,15,15,15,15,15,15,14,14,14,14,15,15,15,15,15,15,15,10,16,64,48,16,16,16,16,16,16,15,0,0,0,0,15,15,15,15,15,0,10,15,15,15,15,15,45,45,15,30,15,0,0
1705647420,12,15,15,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,19,76,57,19,19,19,19,19,19,20,0,0,0,0,10,10,10,10,10,23,10,20,20,20,20,20,60,60,20,40,20,0,0
1705647435,12,17,17,10,16,16,16,16,16,16,13,13,13,13,16,16,16,16,16,16,16,10,10,40,30,10,10,10,10,10,10,9,0,0,0,0,17,17,17,17,17,23,10,9,9,9,9,9,27,27,9,18,9,0,0
1705647450,13,11,11,10,13,13,13,13,13,13,15,15,15,15,13,13,13,13,13,13,13,10,15,60,45,15,15,15,15,15,15,15,0,0,0,0,17,17,17,17,17,0,10,15,15,15,15,15,45,45,15,30,15,0,0
1705647465,10,16,16,10,14,14,14,14,14,14,15,15,15,15,21,21,21,21,21,21,21,10,9,36,27,9,9,9,9,9,9,10,0,0,0,0,15,15,15,15,15,23,10,10,10,10,10,10,30,30,10,20,10,0,0
1705647480,19,10,10,10,13,13,13,13,13,13,15,15,15,15,9,9,9,9,9,9,9,10,11,44,33,11,11,11,11,11,11,11,0,0,0,0,11,11,11,11,11,46,10,11,11,11,11,11,33,33,11,22,11,0,0
1705647495,14,11,11,10,15,15,15,15,15,15,12,12,12,12,13,13,13,13,13,13,13,10,22,88,66,22,22,22,22,22,22,21,0,0,0,0,10,10,10,10,10,23,10,21,21,21,21,21,63,63,21,42,21,0,0
1705647510,13,20,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,48,36,12,12,12,12,12,12,13,0,0,0,0,10,10,10,10,10,0,10,13,13,13,13,13,39,39,13,26,13,0,0
1705647525,10,14,14,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,15,60,45,15,15,15,15,15,15,15,0,0,0,0,14,14,14,14,14,23,10,15,15,15,15,15,45,45,15,30,15,0,0
1705647540,15,11,11,10,11,11,11,11,11,11,18,18,18,18,12,12,12,12,12,12,12,10,6,24,18,6,6,6,6,6,6,6,0,0,0,0,19,19,19,19,19,0,10,6,6,6,6,6,18,18,6,12,6,0,0
1705647555,15,10,10,10,16,16,16,16,16,16,14,14,14,14,14,14,14,14,14,14,14,10,21,84,63,21,21,21,21,21,21,18,0,0,0,0,15,15,15,15,15,23,10,18,18,18,18,18,54,54,18,36,18,0,0
1705647570,14,16,16,10,17,17,17,17,17,17,9,9,9,9,17,17,17,17,17,17,17,10,8,32,24,8,8,8,8,8,8,11,0,0,0,0,9,9,9,9,9,23,10,11,11,11,11,11,33,33,11,22,11,0,0
1705647585,13,8,8,10,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,10,16,64,48,16,16,16,16,16,16,15,0,0,0,0,13,13,13,13,13,23,10,15,15,15,15,15,45,45,15,30,15,0,0
1705647600,13,20,20,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,10,14,56,42,14,14,14,14,14,14,15,0,0,0,0,9,9,9,9,9,0,10,15,15,15,15,15,45,45,15,30,15,0,0
1705647615,10,14,14,10,11,11,11,11,11,11,15,15,15,15,14,14,14,14,14,14,14,10,14,56,42,14,14,14,14,14,14,14,0,0,0,0,16,16,16,16,16,23,10,14,14,14,14,14,42,42,14,28,14,0,0
1705647630,10,11,11,10,13,13,13,13,13,13,20,20,20,20,13,13,13,13,13,13,13,10,10,40,30,10,10,10,10,10,10,9,0,0,0,0,21,21,21,21,21,23,10,9,9,9,9,9,27,27,9,18,9,0,0
1705647645,13,10,10,10,18,18,18,18,18,18,8,8,8,8,17,17,17,17,17,17,17,10,8,32,24,8,8,8,8,8,8,8,0,0,0,0,9,9,9,9,9,23,10,8,8,8,8,8,24,24,8,16,8,0,0
1705647660,20,12,12,10,13,13,13,13,13,13,11,11,11,11,12,12,12,12,12,12,12,10,18,72,54,18,18,18,18,18,18,18,0,0,0,0,11,11,11,11,11,46,10,18,18,18,18,18,54,54,18,36,18,0,0
1705647675,12,15,15,10,12,12,12,12,12,12,16,16,16,16,13,13,13,13,13,13,13,10,16,64,48,16,16,16,16,16,16,17,0,0,0,0,15,15,15,15,15,0,10,17,17,17,17,17,51,51,17,34,17,0,0
1705647690,15,21,21,10,14,14,14,14,14,14,11,11,11,11,13,13,13,13,13,13,13,10,12,48,36,12,12,12,12,12,12,11,0,0,0,0,13,13,13,13,13,0,10,11,11,11,11,11,33,33,11,22,11,0,0
1705647705,10,7,7,10,14,14,14,14,14,14,20,20,20,20,16,16,16,16,16,16,16,10,11,44,33,11,11,11,11,11,11,11,0,0,0,0,20,20,20,20,20,23,10,11,11,11,11,11,33,33,11,22,11,0,0
1705647720,18,12,12,10,15,15,15,15,15,15,10,10,10,10,12,12,12,12,12,12,12,10,12,48,36,12,12,12,12,12,12,12,0,0,0,0,7,7,7,7,7,23,10,12,12,12,12,12,36,36,12,24,12,0,0
1705647735,11,14,14,10,8,8,8,8,8,8,11,11,11,11,8,8,8,8,8,8,8,10,21,84,63,21,21,21,21,21,21,22,0,0,0,0,10,10,10,10,10,46,10,22,22,22,22,22,66,66,22,44,22,0,0
1705647750,13,19,19,10,13,13,13,13,13,13,12,12,12,12,14,14,14,14,14,13,13,10,9,36,27,9,9,9,9,9,9,9,0,0,0,0,13,13,13,13,13,23,10,9,9,9,9,9,27,27,9,18,9,0,0
1705647765,11,9,9,10,17,17,17,17,17,17,13,13,13,13,16,16,16,16,16,17,17,10,17,68,51,17,17,17,17,17,17,13,0,0,0,0,19,19,19,19,19,0,10,13,13,13,13,13,39,39,13,26,13,0,0
1705647780,15,13,13,10,13,13,13,13,13,13,20,20,20,20,17,17,17,17,17,17,17,10,8,32,24,8,8,8,8,8,8,10,0,0,0,0,17,17,17,17,17,23,10,10,10,10,10,10,30,30,10,20,10,0,0
1705647795,16,13,13,10,14,14,14,14,14,14,11,11,11,11,10,10,10,10,10,10,10,10,14,56,42,14,14,14,14,14,14,16,0,0,0,0,7,7,7,7,7,23,10,16,16,16,16,16,48,48,16,32,16,0,0
1705647810,10,14,14,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,16,64,48,16,16,16,16,16,16,15,0,0,0,0,16,16,16,16,16,0,10,15,15,15,15,15,45,45,15,30,15,0,0
1705647825,18,15,15,10,12,12,12,12,12,12,11,11,11,11,12,12,12,12,12,12,12,10,11,44,33,11,11,11,11,11,11,12,0,0,0,0,9,9,9,9,9,0,10,12,12,12,12,12,36,36,12,24,12,0,0
1705647840,8,11,11,10,13,13,13,13,13,13,15,15,15,15,16,16,16,16,16,16,16,10,16,64,48,16,16,16,16,16,16,16,0,0,0,0,18,18,18,18,18,23,10,16,16,16,16,16,48,48,16,32,16,0,0
1705647855,17,12,12,10,13,13,13,13,13,13,15,15,15,15,10,10,10,10,10,10,10,10,8,32,24,8,8,8,8,8,8,8,0,0,0,0,12,12,12,12,12,0,10,8,8,8,8,8,24,24,8,16,8,0,0
1705647870,15,11,11,10,14,14,14,14,14,14,12,12,12,12,14,14,14,14,14,14,14,10,16,61,46,16,16,15,15,15,15,15,0,0,0,0,12,12,12,12,12,0,10,15,15,15,15,15,45,45,15,30,15,0,0
1705647885,13,21,21,10,13,13,13,13,13,13,9,9,9,9,14,14,14,14,14,13,13,10,16,67,50,16,16,17,17,17,17,17,0,0,0,0,9,9,9,9,9,23,10,17,17,17,17,17,51,51,17,34,17,0,0
1705647900,7,11,11,10,10,10,10,10,10,10,16,16,16,16,13,13,13,13,13,14,14,10,17,68,51,17,17,17,17,17,17,13,0,0,0,0,19,19,19,19,19,23,10,13,13,13,13,13,39,39,13,26,13,0,0
1705647915,13,15,15,10,18,18,18,18,18,18,14,14,14,14,15,15,15,15,15,15,15,10,4,16,12,4,4,4,4,4,4,7,0,0,0,0,15,15,15,15,15,23,10,7,7,7,7,7,21,21,7,14,7,0,0
1705647930,16,6,6,10,10,10,10,10,10,10,15,15,15,15,11,11,11,11,11,11,11,10,16,64,48,16,16,16,16,16,16,17,0,0,0,0,12,12,12,12,12,23,10,17,17,17,17,17,51,51,17,34,17,0,0
1705647945,15,14,14,10,13,13,13,13,13,13,12,12,12,12,11,11,11,11,11,11,11,10,15,60,45,15,15,15,15,15,15,15,0,0,0,0,11,11,11,11,11,23,10,15,15,15,15,15,45,45,15,30,15,0,0
1705647960,14,18,18,10,14,14,14,14,14,14,11,11,11,11,14,14,14,14,14,14,14,10,12,48,36,12,12,12,12,12,12,12,0,0,0,0,12,12,12,12,12,23,10,11,11,11,11,11,33,33,11,22,11,0,0
1705647975,9,10,10,10,13,13,13,13,13,13,17,17,17,17,18,18,18,18,18,18,18,10,16,64,48,16,16,16,16,16,16,13,0,0,0,0,18,18,18,18,18,23,10,14,14,14,14,14,42,42,14,28,14,0,0
1705647990,19,15,15,10,16,16,16,16,16,16,9,9,9,9,11,11,11,11,11,11,11,10,8,32,24,8,8,8,8,8,8,11,0,0,0,0,7,7,7,7,7,0,10,11,11,11,11,11,33,33,11,22,11,0,0
1705648005,9,10,10,10,12,12,12,12,12,12,11,11,11,11,14,14,14,14,14,14,14,10,17,67,51,17,17,17,17,16,16,16,0,0,0,0,14,14,14,14,14,46,10,16,16,16,16,16,48,48,16,32,16,0,0
1705648020,15,19,19,10,11,11,11,11,11,11,14,14,14,14,9,9,9,9,9,9,9,10,14,57,42,14,14,14,14,15,15,15,0,0,0,0,11,11,11,11,11,0,10,15,15,15,15,15,45,45,15,30,15,0,0
1705648035,13,15,15,10,16,16,16,16,16,16,15,15,15,15,16,16,16,16,16,16,16,10,12,48,36,12,12,12,12,12,12,12,0,0,0,0,16,16,16,16,16,0,10,12,12,12,12,12,36,36,12,24,12,0,0
1705648050,13,8,8,10,12,12,12,12,12,12,13,13,13,13,14,14,14,14,14,14,14,10,13,52,39,13,13,13,13,13,13,13,0,0,0,0,14,14,14,14,14,0,10,13,13,13,13,13,39,39,13,26,13,0,0
1705648065,12,15,15,10,12,12,12,12,12,12,20,20,20,20,12,12,12,12,12,12,12,10,12,48,36,12,12,12,12,12,12,12,0,0,0,0,19,19,19,19,19,0,10,12,12,12,12,12,36,36,12,24,12,0,0
1705648080,11,14,14,10,16,16,16,16,16,16,9,9,9,9,16,16,16,16,16,16,16,10,12,48,36,12,12,12,12,12,12,12,0,0,0,0,10,10,10,10,10,0,10,12,12,12,12,12,36,36,12,24,12,0,0
1705648095,19,7,7,10,13,13,13,13,13,13,10,10,10,10,11,11,11,11,11,11,11,10,17,68,51,17,17,17,17,17,17,15,0,0,0,0,9,9,9,9,9,23,10,15,15,15,15,15,45,45,15,30,15,0,0
1705648110,11,22,22,10,11,11,11,11,11,11,16,16,16,16,11,11,11,11,11,11,11,10,15,60,45,15,15,15,15,15,15,16,0,0,0,0,18,18,18,18,18,0,10,16,16,16,16,16,48,48,16,32,16,0,0
1705648125,17,11,11,10,16,16,16,16,16,16,11,11,11,11,16,16,16,16,16,16,16,10,11,44,33,11,11,11,11,11,11,12,0,0,0,0,8,8,8,8,8,0,10,12,12,12,12,12,36,36,12,24,12,0,0
