time,catalogue_1,front-end_2,user_3,front-end_4,front-end_5,front-end_6,front-end_7,front-end_8,user_9,user_10,orders_11,payment_12,orders_13,shipping_14,queue-master_15,queue-master_16,queue-master_17,queue-master_18,queue-master_19,front-end_20,front-end_21,catalogue_22,front-end_23,payment_24,front-end_25,user_26,front-end_27,front-end_28,user_29,front-end_30,front-end_31,front-end_32,front-end_33,front-end_34,catalogue_35,front-end_36,front-end_37,front-end_38,user_39,front-end_40,user_41,front-end_42,front-end_43,front-end_44,front-end_45,front-end_46,front-end_47,front-end_48,carts_49,user-db_50,payment_51,payment_52,orders_53,orders_54,front-end_55,front-end_56
1705769865,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,16,16,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,15,15,15,15,15,15,15,15,15,46,0,0,0,0,0,0,0
1705769880,10,14,56,42,14,14,14,14,14,14,14,14,14,14,13,13,39,39,13,26,13,13,13,10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,16,16,16,16,16,16,16,16,16,23,0,0,0,0,0,0,0
1705769895,10,17,68,51,17,17,17,17,17,17,17,17,17,17,18,18,54,54,18,36,18,15,15,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,14,14,14,14,14,14,14,14,14,0,0,0,0,0,0,0,0
1705769910,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,16,16,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,15,15,15,15,15,15,15,15,15,0,0,0,0,0,0,0,0
1705769925,10,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,15,15,10,14,14,14,14,14,14,13,13,13,13,13,13,13,13,10,15,15,15,15,15,15,15,15,15,23,0,0,0,0,0,0,0
1705769940,10,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,18,18,10,16,16,16,16,16,16,17,17,17,17,17,17,17,17,10,22,22,22,22,22,22,22,22,22,0,0,0,0,0,0,0,0
1705769955,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,13,13,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,12,12,12,12,12,12,12,12,12,23,0,0,0,0,0,0,0
1705769970,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,19,19,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,12,11,11,11,11,11,11,11,11,23,0,0,0,0,0,0,0
1705769985,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,13,13,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,10,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0
1705770000,10,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,13,13,10,14,14,14,14,14,14,14,13,13,13,13,13,13,13,10,21,21,21,21,21,21,21,21,21,23,0,0,0,0,0,0,0
1705770015,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,13,13,10,20,20,20,20,20,20,20,21,21,21,21,21,21,21,10,16,16,16,16,16,16,16,16,16,0,0,0,0,0,0,0,0
1705770030,10,25,100,75,25,25,25,25,25,25,25,25,25,25,25,25,75,75,25,50,25,13,13,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,16,16,16,16,16,16,16,16,16,23,0,0,0,0,0,0,0
1705770045,10,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,22,22,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
1705770060,10,7,28,21,7,7,7,7,7,7,7,7,7,7,7,7,21,21,7,14,7,12,12,10,19,19,19,19,19,19,19,19,19,19,19,19,19,19,10,16,16,16,16,16,16,16,16,16,0,0,0,0,0,0,0,0
1705770075,10,21,84,63,21,21,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,13,13,10,19,19,19,19,19,19,19,19,19,19,19,19,19,19,10,17,17,17,17,17,17,17,17,17,0,0,0,0,0,0,0,0
1705770090,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,18,18,10,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0
1705770105,10,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,15,15,10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,20,20,20,20,20,20,20,20,20,0,0,0,0,0,0,0,0
1705770120,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,15,15,15,15,15,15,15,15,15,0,0,0,0,0,0,0,0
1705770135,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,19,19,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,12,12,12,12,12,12,12,12,12,0,0,0,0,0,0,0,0
1705770150,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,18,18,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,15,15,15,15,15,14,14,14,14,23,0,0,0,0,0,0,0
1705770165,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,13,13,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,20,20,20,20,20,21,21,21,21,23,0,0,0,0,0,0,0
1705770180,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,13,13,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,18,18,18,18,18,18,18,18,18,0,0,0,0,0,0,0,0
1705770195,10,19,76,57,19,19,19,19,19,19,18,18,18,18,18,18,54,54,18,36,18,18,18,10,15,15,15,15,15,15,15,15,15,15,14,14,14,13,10,11,11,11,11,11,11,11,11,11,23,0,0,0,0,0,0,0
1705770210,10,13,52,39,13,13,13,13,13,13,14,14,14,14,14,14,42,42,14,28,14,18,18,10,16,16,16,16,16,16,16,16,16,16,17,17,17,18,10,15,15,15,15,15,15,15,15,15,0,0,0,0,0,0,0,0
1705770225,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,13,13,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,17,17,17,17,17,17,17,17,17,23,0,0,0,0,0,0,0
1705770240,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,17,17,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,16,16,16,16,16,16,16,16,16,0,0,0,0,0,0,0,0
1705770255,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,16,16,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0
1705770270,10,12,47,36,12,12,12,12,11,11,11,11,11,11,11,11,33,33,11,22,11,17,17,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,16,16,16,16,16,16,16,16,16,46,0,0,0,0,0,0,0
1705770285,10,14,57,42,14,14,14,14,15,15,15,15,15,15,15,15,45,45,15,30,15,7,7,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,17,17,17,17,17,17,17,17,17,46,0,0,0,0,0,0,0
1705770300,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,19,19,10,19,19,19,19,19,19,19,19,19,19,19,19,19,19,10,15,15,15,15,15,15,15,15,15,23,2,0,0,0,0,0,0
1705770315,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,14,14,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0
1705770330,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,16,16,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,19,19,19,19,19,19,19,19,19,46,0,0,0,0,0,0,0
1705770345,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,11,11,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,12,12,12,12,12,12,12,12,12,46,0,0,0,0,0,0,0
1705770360,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,18,18,10,15,15,15,15,15,15,15,15,15,15,15,15,15,14,10,14,14,14,14,14,14,14,14,14,23,0,0,0,0,0,0,0
1705770375,10,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,12,12,10,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,13,13,13,13,13,13,13,13,13,0,0,0,0,0,0,0,0
1705770390,10,19,75,56,19,19,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,12,12,10,16,15,15,15,15,15,15,15,15,15,15,15,15,15,10,16,16,16,16,16,16,16,16,16,23,0,0,0,0,0,0,0
1705770405,10,10,41,31,10,10,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,19,19,10,17,18,18,18,18,18,17,17,17,17,17,17,17,17,10,12,12,12,12,12,12,12,12,12,23,0,0,0,0,0,0,0
1705770420,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,14,14,10,12,12,12,12,12,12,13,13,13,13,13,13,13,13,10,14,14,14,14,14,14,14,14,14,0,0,0,0,0,0,0,0
1705770435,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,16,16,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,18,18,18,18,18,18,18,18,18,23,0,0,0,0,0,0,0
1705770450,10,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,14,14,6,20,20,20,20,20,20,20,20,20,20,20,20,20,20,10,18,18,18,18,18,18,18,18,18,0,0,0,0,0,0,0,0
1705770465,10,21,84,63,21,21,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,13,13,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,9,9,9,9,9,9,9,9,9,0,0,0,0,0,0,0,0
1705770480,10,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,16,16,5,17,17,16,16,16,16,16,16,16,16,16,16,16,16,10,17,17,17,17,17,17,17,17,17,23,0,1,0,0,0,0,0
1705770495,10,16,64,48,16,16,16,16,16,16,16,0,0,0,0,0,0,0,0,0,0,16,16,0,14,14,15,15,15,15,15,15,15,15,15,15,15,15,10,20,20,20,20,20,20,20,20,20,23,0,0,1,416,16,32,16
1705770510,10,16,64,48,16,16,16,16,16,16,16,0,0,0,0,0,0,0,0,0,0,16,16,0,18,18,18,18,18,18,17,17,17,17,17,17,17,17,10,13,13,13,13,13,13,13,13,13,23,0,0,0,416,16,32,16
1705770525,10,19,76,57,19,19,19,19,19,19,19,0,0,0,0,0,0,0,0,0,0,15,15,0,16,16,16,16,16,16,17,17,17,17,17,17,17,17,10,16,16,16,16,16,16,16,16,16,0,0,0,0,494,19,38,19
1705770540,10,14,56,42,14,14,14,14,14,14,14,0,0,0,0,0,0,0,0,0,0,16,16,0,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,15,15,15,15,15,15,15,15,15,0,0,0,0,364,14,28,14
1705770555,10,19,76,57,19,19,19,19,19,19,19,0,0,0,0,0,0,0,0,0,0,14,14,0,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,12,12,12,12,12,12,12,12,12,0,0,0,0,494,19,38,19
1705770570,10,12,48,36,12,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,17,17,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,19,19,19,19,19,19,19,19,19,23,0,0,0,312,12,24,12
1705770585,10,12,48,36,12,12,12,12,12,12,11,0,0,0,0,0,0,0,0,0,0,11,11,0,13,13,13,13,13,13,12,12,12,12,12,12,12,12,10,10,10,10,10,10,10,10,10,10,0,0,0,0,286,11,22,11
1705770600,10,15,60,45,15,15,15,15,15,15,16,0,0,0,0,0,0,0,0,0,0,22,22,0,14,14,14,14,14,14,15,15,15,15,15,15,15,15,10,14,14,14,14,14,14,14,14,14,46,0,0,0,416,16,32,16
1705770615,10,15,60,45,15,15,15,15,15,15,15,0,0,0,0,0,0,0,0,0,0,9,9,0,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,12,12,12,12,12,12,12,12,12,0,0,0,0,390,15,30,15
1705770630,10,13,52,39,13,13,13,13,13,13,13,0,0,0,0,0,0,0,0,0,0,14,14,0,18,18,18,18,18,18,17,17,17,17,17,17,17,17,10,22,22,22,22,22,22,22,22,22,23,0,0,0,338,13,26,13
1705770645,10,18,72,54,18,18,18,18,18,18,18,0,0,0,0,0,0,0,0,0,0,12,12,0,16,16,16,16,16,16,17,17,17,17,17,17,17,17,10,16,16,16,16,16,16,16,16,16,23,0,0,0,468,18,36,18
1705770660,10,16,64,48,16,16,16,16,16,16,16,0,0,0,0,0,0,0,0,0,0,19,19,0,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,14,14,14,14,14,14,14,14,14,0,0,0,0,416,16,32,16
1705770675,10,17,68,51,17,17,17,17,17,17,17,16,16,16,16,16,48,48,16,32,16,18,18,5,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,17,17,17,17,17,17,17,17,17,23,0,0,0,26,1,2,1
1705770690,10,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,13,13,4,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0
1705770705,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,17,17,3,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,19,19,19,19,19,19,19,19,19,0,0,0,0,0,0,0,0
1705770720,10,15,60,45,15,15,15,15,15,15,15,15,14,14,14,14,42,42,14,28,14,10,10,5,19,19,19,19,19,19,19,19,19,19,19,19,19,19,10,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0
1705770735,10,15,60,45,15,15,15,15,15,15,15,15,16,16,16,16,48,48,16,32,16,17,17,5,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,14,14,14,14,14,14,14,14,14,0,0,0,0,0,0,0,0
1705770750,10,14,55,40,14,14,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,13,13,2,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,15,15,15,15,15,15,15,15,15,0,0,0,0,0,0,0,0
1705770765,10,14,57,44,14,14,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,16,16,4,21,21,21,21,21,21,21,21,21,21,21,21,21,21,10,18,18,18,18,18,18,18,18,18,23,0,0,0,0,0,0,0
1705770780,10,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,15,15,3,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,12,12,12,12,12,12,12,12,12,23,0,0,0,0,0,0,0
1705770795,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,17,17,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,17,17,17,17,17,17,17,17,17,92,0,0,0,0,0,0,0
1705770810,10,13,52,39,13,13,13,13,13,13,13,9,9,9,9,9,27,27,9,18,9,13,13,7,20,20,20,20,20,20,20,20,20,20,20,20,20,20,10,17,17,17,17,17,17,17,17,17,0,0,0,0,104,4,8,4
1705770825,10,18,72,54,18,18,18,18,18,18,18,18,17,17,17,17,51,51,17,34,17,18,18,5,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,12,12,12,12,12,12,12,12,12,0,0,0,0,0,0,0,0
1705770840,10,12,48,36,12,12,12,12,12,12,12,12,13,13,13,13,39,39,13,26,13,17,17,7,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,17,17,17,17,17,17,17,17,17,0,0,0,0,0,0,0,0
1705770855,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,7,18,18,18,18,18,18,18,18,18,18,18,18,18,17,10,14,14,14,14,14,14,14,14,14,0,0,0,0,0,0,0,0
1705770870,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,15,15,8,15,15,15,15,15,15,15,15,15,15,15,15,15,16,10,16,16,16,16,16,16,16,16,16,0,0,0,0,0,0,0,0
1705770885,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,15,15,6,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,16,16,16,16,16,16,16,16,16,23,0,0,0,0,0,0,0
1705770900,10,16,64,48,16,16,16,16,16,16,16,7,7,7,7,7,21,21,7,14,7,15,15,2,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,0,0,1,1,234,9,18,9
1705770915,10,11,44,33,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,19,19,0,16,16,16,16,16,16,16,16,16,16,16,16,16,15,10,18,18,18,18,18,18,18,18,18,0,0,0,0,286,11,22,11
1705770930,10,18,72,54,18,18,18,18,18,18,18,0,0,0,0,0,0,0,0,0,0,11,11,0,18,18,18,18,18,18,18,18,18,18,18,18,18,19,10,15,15,15,15,15,15,15,15,15,23,0,0,0,468,18,36,18
1705770945,10,16,64,48,16,16,16,16,16,16,16,0,0,0,0,0,0,0,0,0,0,14,14,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,16,16,16,16,16,16,16,16,16,0,0,0,0,416,16,32,16
1705770960,10,14,56,42,14,14,14,14,14,14,14,0,0,0,0,0,0,0,0,0,0,17,17,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,10,10,10,10,10,10,10,10,10,46,0,0,0,364,14,28,14
1705770975,10,13,52,39,13,13,13,13,13,13,13,0,0,0,0,0,0,0,0,0,0,16,16,0,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,19,19,19,19,19,19,19,19,19,0,0,0,0,338,13,26,13
1705770990,10,17,68,51,17,17,17,17,17,17,17,0,0,0,0,0,0,0,0,0,0,12,12,0,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,18,18,18,18,18,18,18,18,18,23,0,0,0,442,17,34,17
1705771005,10,14,56,42,14,14,14,14,14,14,14,0,0,0,0,0,0,0,0,0,0,17,17,0,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,14,14,14,14,14,14,14,14,14,69,0,0,0,364,14,28,14
1705771020,10,17,68,51,17,17,17,17,17,17,17,0,0,0,0,0,0,0,0,0,0,19,19,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,12,12,12,12,12,12,12,12,12,0,0,0,0,442,17,34,17
1705771035,10,16,64,48,16,16,16,16,16,16,16,0,0,0,0,0,0,0,0,0,0,12,12,0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,16,16,16,16,16,16,16,16,16,0,0,0,0,416,16,32,16
1705771050,10,10,40,30,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,15,15,0,21,21,21,21,21,21,21,21,21,21,21,21,21,21,10,19,19,19,19,19,19,19,19,19,23,0,0,0,260,10,20,10
1705771065,10,19,76,57,19,19,19,19,19,19,19,0,0,0,0,0,0,0,0,0,0,12,12,0,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,14,14,14,14,14,14,14,14,14,0,0,0,0,494,19,38,19
1705771080,10,18,72,54,18,18,18,18,18,18,18,4,4,4,4,4,12,12,4,8,4,21,21,1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,14,14,14,14,14,14,14,14,14,0,0,0,0,364,14,28,14
1705771095,10,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,15,15,3,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,17,17,17,17,17,17,17,17,17,0,0,0,0,0,0,0,0
1705771110,10,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,10,3,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,12,12,12,12,12,12,12,12,12,23,0,0,0,0,0,0,0
1705771125,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,20,20,2,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,15,15,15,15,15,15,15,15,15,0,0,0,0,0,0,0,0
1705771140,10,12,48,36,12,12,12,12,12,12,12,9,9,9,9,9,27,27,9,18,9,15,15,3,15,15,15,15,15,15,15,15,15,15,16,16,16,16,10,17,17,17,17,17,17,17,17,17,23,0,0,0,78,3,6,3
1705771155,2,6,24,18,6,6,6,6,6,6,6,6,6,6,6,6,18,18,6,12,6,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,9,9,9,9,9,9,9,9,9,0,0,0,0,0,0,0,0
