time,front-end_1,user_2,front-end_3,front-end_4,front-end_5,front-end_6,front-end_7,user_8,user_9,orders_10,payment_11,orders_12,shipping_13,queue-master_14,queue-master_15,queue-master_16,queue-master_17,queue-master_18,front-end_19,front-end_20,catalogue_21,front-end_22,user_23,front-end_24,user_25,front-end_26,front-end_27,user_28,front-end_29,front-end_30,front-end_31,front-end_32,front-end_33,catalogue_34,front-end_35,front-end_36,front-end_37,front-end_38,user_39,front-end_40,front-end_41,front-end_42,front-end_43,front-end_44,front-end_45,front-end_46,catalogue_47,payment_48,carts_49,user_50,user_51
1705726320,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,15,15,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,15,15,15,15,15,15,15,15,15,10,10,46,0,0
1705726335,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,17,17,10,16,16,16,15,15,15,15,15,15,15,15,15,15,14,15,15,15,15,15,15,15,15,15,10,10,0,0,0
1705726350,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,15,15,10,14,14,14,15,15,15,15,15,15,15,15,15,15,16,20,20,20,20,20,20,20,20,20,10,10,0,0,0
1705726365,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,18,18,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,11,11,11,11,11,11,11,11,11,10,10,23,0,0
1705726380,9,36,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,9,18,9,19,19,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,18,18,18,18,18,18,18,18,18,10,10,0,0,0
1705726395,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,8,8,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,13,13,13,13,13,13,13,13,13,10,10,23,0,0
1705726410,17,67,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,17,17,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,13,13,13,13,13,13,13,13,10,10,0,1,0
1705726425,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,16,16,10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,19,19,19,19,19,19,19,19,19,10,10,23,0,0
1705726440,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,13,13,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,10,23,0,0
1705726455,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,19,19,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,10,10,10,10,9,9,9,9,10,10,0,0,0
1705726470,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,18,18,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,10,10,23,0,0
1705726485,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,10,19,19,19,19,19,19,19,19,19,19,19,19,19,19,23,23,23,23,23,23,23,23,23,10,10,23,0,0
1705726500,22,88,66,22,22,22,22,22,22,22,22,22,22,22,22,66,66,22,44,22,16,16,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,12,12,12,12,12,12,12,12,12,10,10,23,0,0
1705726515,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,20,20,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,14,14,14,14,14,14,14,14,14,10,10,0,0,0
1705726530,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,12,12,10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,20,20,20,20,20,20,20,20,20,10,10,0,0,0
1705726545,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,9,9,10,22,22,22,22,22,22,22,22,22,22,22,22,22,22,16,16,16,16,16,16,16,16,16,10,10,0,0,0
1705726560,25,100,75,25,25,25,25,25,25,25,25,25,25,25,25,75,75,25,50,25,20,20,10,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,10,23,0,0
1705726575,7,28,21,7,7,7,7,7,7,7,7,7,7,7,7,21,21,7,14,7,22,22,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,20,20,20,20,20,20,20,20,20,10,10,0,0,0
1705726590,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,7,7,10,22,22,22,22,22,22,22,22,22,22,22,22,22,22,17,17,17,17,17,17,17,17,17,10,10,23,0,0
1705726605,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,19,19,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,10,10,10,10,10,10,10,10,10,10,46,0,0
1705726620,9,36,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,9,18,9,18,18,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,18,18,18,18,18,18,18,18,18,10,10,0,0,0
1705726635,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,10,10,20,20,20,20,20,20,20,20,20,20,20,20,20,20,19,19,19,19,19,19,19,19,19,10,10,0,0,0
1705726650,22,88,66,22,22,22,22,22,22,22,22,22,22,22,22,66,66,22,44,22,20,20,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,8,8,8,8,8,8,8,8,8,10,10,23,0,0
1705726665,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,13,13,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,16,16,16,16,16,16,16,16,16,10,10,23,0,0
1705726680,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,13,13,10,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,10,10,0,0,0
1705726695,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,15,15,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,13,13,13,13,13,13,13,13,13,10,10,0,0,0
1705726710,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,16,16,10,15,15,15,15,15,15,15,15,15,15,15,15,15,14,14,14,14,14,14,14,14,14,14,10,10,0,0,0
1705726725,16,63,48,16,16,16,16,15,15,14,14,14,14,14,14,42,42,14,28,14,13,13,10,11,11,11,11,11,11,11,9,9,9,9,9,9,9,14,14,14,14,14,14,14,14,14,10,10,0,0,0
1705726740,11,45,33,11,11,11,11,12,12,12,12,12,12,12,12,36,36,12,24,12,15,15,10,15,15,15,15,15,15,15,16,16,16,16,16,16,15,19,19,19,19,19,17,17,17,17,10,10,46,0,0
1705726755,14,56,42,14,14,14,14,14,14,13,13,13,13,13,13,39,39,13,26,13,13,13,10,19,19,19,19,19,19,19,18,18,18,18,18,18,17,13,13,13,13,13,13,13,13,13,10,10,0,0,0
1705726770,16,64,48,16,16,16,16,16,16,17,17,17,17,17,17,51,51,17,34,17,14,14,10,13,13,13,13,13,13,13,15,15,15,15,15,15,15,11,11,11,11,11,12,12,12,12,10,10,0,0,0
1705726785,16,64,48,16,16,16,16,16,16,17,17,17,17,17,17,51,51,17,34,17,18,18,10,9,9,9,9,9,9,9,9,9,9,9,9,9,10,15,15,15,15,15,14,14,14,14,10,10,23,0,0
1705726800,8,32,24,8,8,8,8,8,8,7,7,7,7,7,7,21,21,7,14,7,11,11,10,18,18,18,18,18,18,18,18,18,18,18,18,18,16,14,14,14,14,14,15,15,15,15,10,10,23,0,0
1705726815,19,76,57,19,19,19,19,19,19,20,20,20,20,20,20,60,60,20,40,20,11,11,10,15,15,15,15,15,15,15,11,11,11,11,11,11,15,17,17,17,17,17,18,18,18,18,10,10,0,0,0
1705726830,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,19,19,10,13,13,13,13,13,13,13,17,17,17,17,17,17,13,9,9,9,9,9,8,8,8,8,10,10,0,0,0
1705726845,19,73,55,19,19,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,14,14,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,14,14,14,14,14,14,14,14,14,10,10,23,0,0
1705726860,11,47,35,11,11,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,10,10,18,18,18,18,18,18,18,16,16,16,16,16,16,14,14,14,14,14,14,15,15,15,15,10,10,23,0,0
1705726875,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,14,14,10,12,12,12,12,12,12,12,14,14,14,14,14,14,15,10,10,10,10,10,9,9,9,9,10,10,0,0,0
1705726890,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,15,15,10,8,8,8,8,8,8,8,6,6,6,6,6,6,8,15,15,15,15,15,16,16,16,16,10,10,0,0,0
1705726905,7,28,21,7,7,7,7,7,7,7,7,7,7,7,7,21,21,7,14,7,12,12,10,21,21,21,21,21,21,21,21,21,21,21,21,21,20,18,18,18,18,18,18,18,18,18,10,10,0,0,0
1705726920,20,80,60,20,20,20,20,20,20,19,19,19,19,19,19,57,57,19,38,19,7,7,10,12,12,12,12,12,12,12,14,14,14,14,14,14,14,13,13,13,13,13,11,11,11,11,10,10,23,0,0
1705726935,13,52,39,13,13,13,13,13,13,14,14,14,14,14,14,42,42,14,28,14,24,24,10,11,11,11,11,11,11,11,10,10,10,10,10,10,11,8,8,8,8,8,10,10,10,10,10,10,0,0,0
1705726950,9,36,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,9,18,9,11,11,10,11,11,11,11,11,11,11,11,11,11,11,11,11,10,13,13,13,13,13,13,13,13,13,10,10,23,0,0
1705726965,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,8,8,10,16,16,16,16,16,16,16,16,16,16,16,16,16,15,20,20,20,20,20,20,20,20,20,10,10,23,0,0
1705726980,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,13,13,10,15,15,15,15,15,15,15,15,15,15,15,15,15,16,10,10,10,10,10,9,9,9,9,10,10,0,0,0
1705726995,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,23,23,10,10,10,10,10,10,10,10,11,11,11,11,11,11,13,9,9,9,9,9,9,9,9,9,10,10,0,0,0
1705727010,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,10,10,10,15,15,15,15,15,15,15,13,13,13,13,13,13,9,18,18,18,18,18,15,15,15,15,10,10,23,0,0
1705727025,15,60,45,15,15,15,15,15,15,14,14,14,14,14,14,42,42,14,28,14,8,8,10,13,13,13,13,13,13,13,14,14,14,14,14,14,17,16,16,16,16,16,19,19,19,19,10,10,23,0,0
1705727040,16,64,48,16,16,16,16,16,16,17,17,17,17,17,17,51,51,17,34,17,14,14,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,11,11,11,11,10,10,46,0,0
1705727055,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,18,18,10,15,15,15,15,15,15,15,16,16,16,16,16,16,16,14,14,14,14,14,17,17,17,17,10,10,0,0,0
1705727070,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,11,11,10,15,15,15,15,15,15,15,12,12,12,12,12,12,12,13,13,13,13,13,15,15,15,15,10,10,0,0,0
1705727085,13,52,39,13,13,13,13,13,13,12,12,12,12,12,12,36,36,12,24,12,18,18,10,15,15,15,15,15,15,15,16,16,16,16,16,16,14,15,15,15,15,15,14,14,14,14,10,10,46,0,0
1705727100,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,11,11,10,14,14,14,14,14,14,14,14,14,14,14,14,14,16,15,15,15,15,15,16,16,16,16,10,10,46,0,0
1705727115,15,60,45,15,15,15,15,15,15,14,14,14,14,14,14,42,42,14,28,14,18,18,10,14,14,14,14,14,14,14,14,14,14,14,14,14,13,9,9,9,9,9,7,7,7,7,10,10,0,0,0
1705727130,14,56,42,14,14,14,14,14,14,16,16,16,16,16,16,48,48,16,32,16,16,16,10,12,12,12,12,12,12,12,13,13,13,13,13,13,14,22,22,22,22,22,20,20,20,20,10,10,0,0,0
1705727145,14,56,42,14,14,14,14,14,14,13,13,13,13,13,13,39,39,13,26,13,10,10,10,18,18,18,18,18,18,18,18,18,18,18,18,18,17,13,13,13,13,13,16,16,16,16,10,10,0,0,0
1705727160,14,56,42,14,14,14,14,14,14,12,12,12,12,12,12,36,36,12,24,12,16,16,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,10,10,10,10,10,10,10,10,10,10,0,0,0
1705727175,15,60,45,15,15,15,15,15,15,18,18,18,18,18,18,54,54,18,36,18,20,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,15,15,15,15,15,15,15,15,15,10,10,23,0,0
1705727190,12,48,36,12,12,12,12,12,12,11,11,11,11,11,11,33,33,11,22,11,9,9,10,16,16,16,16,16,16,16,16,16,16,16,16,16,14,16,16,16,16,16,16,16,16,16,10,10,23,0,0
1705727205,15,60,45,15,15,15,15,15,15,14,14,14,14,14,14,42,42,14,28,14,10,10,10,12,12,12,12,12,12,12,12,12,12,12,12,12,14,12,12,12,12,12,12,12,12,12,10,10,46,0,0
1705727220,13,52,39,13,13,13,13,13,13,15,15,15,15,15,15,45,45,15,30,15,19,19,10,12,12,12,12,12,12,12,13,13,13,13,13,13,12,13,13,13,13,13,12,12,12,12,10,10,0,0,0
1705727235,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,13,13,10,20,20,20,20,20,20,20,16,16,16,16,16,16,16,12,12,12,12,12,14,14,14,14,10,10,0,0,0
1705727250,15,60,45,15,15,15,15,15,15,13,13,13,13,13,13,39,39,13,26,13,12,12,10,8,8,8,8,8,8,7,11,11,11,11,11,11,12,19,19,19,19,19,17,17,17,17,10,10,69,0,0
1705727265,14,56,42,14,14,14,14,14,14,16,16,16,16,16,16,48,48,16,32,16,14,14,10,16,16,16,16,16,16,17,16,16,16,16,16,16,17,10,10,10,10,10,10,10,10,10,10,10,23,0,0
1705727280,16,61,46,16,16,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,15,15,10,12,12,12,12,12,12,12,13,13,13,13,13,13,10,15,15,15,15,15,17,17,17,17,10,10,0,0,0
1705727295,13,55,41,13,13,14,14,14,14,12,12,12,12,12,12,36,36,12,24,12,13,13,10,16,16,16,16,16,16,16,15,15,15,15,15,15,15,10,10,10,10,10,9,9,9,9,10,10,0,0,0
1705727310,15,60,45,15,15,15,15,15,15,16,16,16,16,16,16,48,48,16,32,16,15,15,10,11,11,11,11,11,11,11,12,12,12,12,12,12,12,18,18,18,18,18,19,19,19,19,10,10,46,0,0
1705727325,12,47,36,12,12,12,12,12,12,11,11,11,11,11,11,33,33,11,22,11,11,11,10,16,16,16,16,16,16,16,16,16,16,16,16,16,19,12,12,12,12,12,12,12,12,12,10,10,0,0,1
1705727340,14,56,42,14,14,14,14,14,14,16,16,16,16,16,16,48,48,16,32,16,17,17,10,15,15,15,15,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,10,10,0,0,0
1705727355,18,72,54,18,18,18,18,18,18,15,15,15,15,14,14,42,42,14,28,14,11,11,10,13,13,13,13,14,14,14,14,14,14,14,14,14,13,16,16,16,16,16,12,12,12,12,10,10,46,0,0
1705727370,9,36,27,9,9,9,9,9,9,12,12,12,12,13,13,39,39,13,26,13,15,15,10,16,16,16,16,16,16,16,15,15,15,15,15,15,13,13,13,13,13,13,16,16,16,16,10,10,23,0,0
1705727385,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,15,15,10,11,11,11,11,11,11,11,11,11,11,11,11,11,12,16,16,16,16,16,16,16,16,16,10,10,23,0,0
1705727400,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,12,12,10,17,17,17,17,17,17,17,16,16,16,16,16,16,18,13,13,13,13,13,12,12,12,12,10,10,0,0,0
1705727415,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,18,18,10,13,13,13,13,13,13,13,15,15,15,15,15,15,13,16,16,16,16,16,17,17,17,17,10,10,0,0,0
1705727430,2,8,6,2,2,2,2,2,2,2,2,2,2,2,2,6,6,2,4,2,1,1,2,5,5,5,5,5,5,5,3,3,3,3,3,3,2,1,1,1,1,1,2,2,2,2,2,2,0,0,0
