time,front-end_1,user_2,front-end_3,front-end_4,front-end_5,front-end_6,front-end_7,user_8,user_9,orders_10,payment_11,orders_12,shipping_13,queue-master_14,queue-master_15,queue-master_16,queue-master_17,queue-master_18,front-end_19,front-end_20,catalogue_21,catalogue_22,front-end_23,payment_24,front-end_25,user_26,front-end_27,front-end_28,front-end_29,front-end_30,front-end_31,front-end_32,front-end_33,front-end_34,user_35,front-end_36,front-end_37,user_38,front-end_39,front-end_40,front-end_41,front-end_42,front-end_43,user_44,catalogue_45,front-end_46,front-end_47,front-end_48,carts_49,user_50,user-db_51,orders-db_52,orders-db_53,front-end_54,orders_55,orders_56,orders_57,orders_58,orders_59,orders_60,orders_61,orders_62,orders_63,orders_64,orders_65,orders_66,orders_67,orders_68,orders_69,orders_70,orders_71,orders_72,orders_73,orders_74,orders_75,orders_76,orders_77,orders_78,orders_79,orders-db_80,orders_81,orders_82,orders_83,orders_84,orders_85,orders_86,orders_87,orders_88,orders_89,orders_90,orders_91,orders_92,orders_93,orders_94,orders_95,orders_96,orders_97,orders_98,orders_99
1705822905,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,16,16,10,20,20,20,20,20,20,20,20,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705822920,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,16,16,10,13,13,13,13,13,13,13,13,13,21,21,21,21,21,21,21,21,21,21,10,21,21,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705822935,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,16,16,10,9,9,9,9,9,9,9,9,9,14,14,14,14,14,14,14,14,14,14,10,14,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705822950,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,17,17,10,18,18,18,18,18,18,18,18,18,15,15,15,14,14,14,14,14,14,14,10,14,14,14,14,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705822965,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,13,13,10,24,24,24,24,24,24,24,24,24,21,21,21,22,22,22,22,22,22,22,10,22,22,22,22,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705822980,21,84,63,21,21,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,10,18,18,10,8,8,8,8,8,8,8,8,8,14,14,14,14,14,14,14,14,14,14,10,14,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705822995,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,18,18,10,16,16,16,16,16,16,16,16,16,13,13,13,13,13,13,13,13,13,13,10,13,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705823010,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,12,12,10,16,16,16,16,16,16,16,16,16,12,12,12,12,12,12,12,12,12,12,10,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705823025,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,16,16,10,15,15,15,15,15,15,15,15,15,20,20,20,20,20,20,20,20,20,20,10,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705823040,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,13,13,10,15,15,15,15,15,15,15,15,15,11,11,11,11,11,11,11,11,11,11,10,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705823055,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,20,20,10,18,18,18,18,18,18,18,18,18,19,19,19,19,19,19,18,18,18,18,10,18,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705823070,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,11,11,10,14,14,14,14,14,14,14,14,14,16,16,16,16,16,16,17,17,17,17,10,17,17,17,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705823085,22,84,63,21,21,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,10,16,16,10,15,15,15,15,15,15,15,15,15,17,17,17,17,17,17,17,17,17,17,10,17,17,17,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705823100,16,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,17,17,10,14,14,14,14,14,14,14,14,14,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705823115,9,36,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,9,18,9,10,16,16,10,19,19,19,19,19,19,19,19,19,15,15,15,15,15,15,15,15,15,15,9,15,15,15,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705823130,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,14,14,10,18,18,18,18,18,18,18,18,18,21,21,21,21,21,21,21,21,21,21,10,21,21,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705823145,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,16,16,10,10,10,10,10,10,10,10,10,10,13,13,13,13,13,13,13,13,13,13,10,13,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705823160,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,18,18,10,14,14,14,14,14,14,14,14,14,11,11,11,11,11,11,11,11,11,11,10,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705823175,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,11,11,10,22,22,22,22,22,22,22,22,22,21,21,21,21,21,21,21,21,21,21,10,21,21,21,21,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705823190,21,84,63,21,21,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,10,13,12,10,10,10,10,10,10,10,10,10,10,16,16,16,16,16,16,16,16,16,16,10,16,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705823205,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,21,22,10,17,17,17,17,17,17,17,17,17,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705823220,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,13,13,10,17,17,17,17,17,17,17,17,17,20,20,20,20,20,20,20,20,20,20,10,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705823235,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,10,16,16,10,13,13,13,13,13,13,13,13,13,16,16,16,16,16,16,16,16,16,16,10,16,16,16,16,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705823250,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,16,16,10,16,16,16,16,16,16,16,16,16,7,7,7,7,7,7,7,7,7,7,10,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705823265,9,36,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,9,18,9,10,14,14,10,16,16,16,16,16,16,16,16,16,22,22,22,22,22,22,22,22,22,22,10,22,22,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705823280,21,84,63,21,21,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,10,16,16,10,16,16,16,16,16,16,16,16,16,15,15,15,15,15,15,15,15,15,15,10,15,15,15,15,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705823295,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,13,13,10,11,11,11,11,11,11,11,11,11,14,14,14,14,14,14,14,14,14,14,10,14,14,14,14,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705823310,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,17,17,10,17,17,17,17,17,17,17,17,17,18,18,18,18,18,18,18,18,18,18,10,18,18,18,17,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705823325,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,11,11,10,12,12,12,12,12,12,12,12,12,7,7,7,7,7,7,7,7,7,7,10,7,7,7,8,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705823340,9,36,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,9,18,9,10,19,19,10,15,15,15,15,15,15,15,15,15,18,18,18,18,18,18,18,18,18,18,10,18,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705823355,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,11,11,10,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,10,19,19,19,19,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705823370,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,15,15,10,14,14,14,14,14,14,14,14,14,12,12,12,12,12,12,11,11,11,11,10,11,11,11,11,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705823385,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,21,21,10,10,10,10,10,10,10,10,10,10,15,15,15,15,14,14,15,15,15,15,10,15,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705823400,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,10,10,16,16,16,16,16,16,16,16,16,12,12,12,12,13,13,13,13,13,13,10,13,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705823415,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,13,13,10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,18,18,18,18,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705823430,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,16,16,10,15,15,15,15,15,15,15,15,15,18,18,18,18,18,18,18,18,18,18,10,18,18,18,18,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705823445,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,20,20,10,14,14,14,14,14,14,14,14,14,12,12,12,12,12,12,12,12,12,12,10,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705823460,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,10,12,12,10,16,16,16,16,16,16,16,16,16,15,15,15,15,15,15,15,15,15,15,10,15,15,15,15,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705823475,41,129,123,41,41,41,41,6,6,6,5,5,5,5,5,15,15,5,82,5,10,13,13,10,10,10,10,10,10,10,10,10,10,13,13,13,13,13,13,13,13,13,13,10,13,13,13,13,0,0,0,5,1,36,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705823490,39,117,117,39,39,39,39,0,0,0,0,0,0,0,0,0,0,0,78,0,10,18,18,10,25,25,25,25,25,25,25,25,25,14,14,14,14,14,14,14,14,14,14,10,14,14,14,14,23,0,0,0,0,39,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705823505,48,144,144,48,48,48,48,0,0,0,0,0,0,0,0,0,0,0,96,0,10,10,10,10,11,11,11,11,11,11,11,11,11,19,19,19,19,19,19,19,19,19,19,10,19,19,19,19,23,0,0,0,0,48,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,7,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705823520,52,154,154,52,52,51,51,0,0,0,0,0,0,0,0,0,0,0,102,0,10,21,21,10,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,10,13,13,13,13,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705823535,29,89,89,29,29,30,30,0,0,0,0,0,0,0,0,0,0,0,60,0,10,12,12,10,17,17,17,17,17,17,17,17,17,15,15,15,15,15,15,15,15,15,15,10,15,15,15,15,46,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0
1705823550,25,89,75,25,25,25,25,14,14,14,14,14,14,14,14,42,42,14,50,14,10,12,12,10,19,19,19,19,19,19,19,19,19,21,21,21,21,21,21,21,21,21,21,10,21,21,21,21,0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,1,5,5,1,1,1,1,1,1,56
1705823565,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,10,19,19,10,11,11,11,11,11,11,11,11,11,8,8,8,8,8,8,8,8,8,8,10,8,8,8,8,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705823580,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,20,20,10,15,15,15,15,15,15,15,15,15,18,18,18,18,18,18,18,18,18,18,10,18,18,18,18,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705823595,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,10,10,19,19,19,19,19,19,19,19,19,16,16,16,16,16,16,16,16,16,16,10,16,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705823610,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,15,15,10,12,12,12,12,12,12,12,12,12,14,14,14,14,14,14,14,14,14,14,10,14,14,14,14,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705823625,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,20,20,10,17,17,17,17,17,17,17,17,17,15,15,15,15,15,15,15,15,15,15,10,15,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705823640,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,12,12,10,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,10,17,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705823655,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,19,19,10,15,15,15,15,15,15,15,15,15,14,14,14,14,14,14,14,14,14,14,10,14,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705823670,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,13,13,10,14,14,14,14,14,13,13,13,13,18,18,18,18,18,18,18,18,18,18,10,18,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705823685,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,15,15,10,15,15,15,15,15,16,16,16,16,19,19,19,19,19,19,19,19,19,19,10,19,19,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
