time,front-end_1,front-end_2,front-end_3,front-end_4,front-end_5,catalogue_6,front-end_7,user_8,front-end_9,front-end_10,user_11,front-end_12,front-end_13,front-end_14,front-end_15,front-end_16,catalogue_17,front-end_18,front-end_19,front-end_20,user_21,front-end_22,front-end_23,front-end_24,catalogue_25,front-end_26,payment_27,front-end_28,user_29,front-end_30,front-end_31,front-end_32,front-end_33,front-end_34,user_35,user_36,orders_37,payment_38,orders_39,shipping_40,queue-master_41,queue-master_42,queue-master_43,queue-master_44,queue-master_45,front-end_46,front-end_47,user_48,carts_49,orders_50,orders_51,front-end_52,front-end_53,user-db_54,orders_55,orders_56,orders-db_57,orders_58,orders-db_59,orders_60,orders_61,orders_62,orders-db_63,orders_64,orders_65,user_66
1705606800,9,11,11,11,11,10,9,9,9,9,9,9,9,9,9,9,9,9,9,11,11,11,11,11,13,13,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705606815,15,16,16,16,16,10,15,15,15,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,10,8,32,24,8,8,8,8,8,8,8,8,8,8,8,8,24,24,8,16,8,10,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705606830,20,19,19,19,19,10,20,20,20,20,20,20,20,20,20,20,20,20,20,19,19,19,19,19,10,10,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705606845,13,14,14,14,14,10,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,16,16,10,20,79,60,20,20,20,20,19,19,19,19,19,19,19,19,57,57,19,38,19,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705606860,17,15,15,15,15,10,17,17,17,17,17,17,17,17,17,17,17,17,17,15,15,15,15,15,18,18,10,13,53,39,13,13,13,13,14,14,14,14,14,14,14,14,42,42,14,28,14,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705606875,9,13,13,13,13,10,9,9,9,9,9,9,9,9,9,9,9,9,9,13,13,13,13,13,13,13,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705606890,20,16,16,16,16,10,20,20,20,20,20,20,20,20,20,20,20,20,20,16,16,16,16,16,17,17,10,9,36,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,9,18,9,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705606905,14,17,17,17,17,10,14,14,14,14,14,14,14,14,14,14,14,14,14,17,17,17,17,17,13,13,10,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705606920,17,12,12,12,12,10,17,17,17,17,17,17,17,17,17,17,17,17,17,12,12,12,12,12,18,18,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705606935,12,14,14,14,14,10,12,12,12,12,12,12,12,12,12,12,12,12,12,14,14,14,14,14,15,15,10,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705606950,15,19,19,19,19,10,15,15,15,15,15,15,15,15,15,15,15,15,15,19,19,19,19,19,13,13,10,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705606965,16,13,13,13,13,10,16,16,16,16,16,16,16,16,16,16,16,16,16,13,13,13,13,13,12,12,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705606980,15,16,16,16,16,10,15,15,15,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,17,17,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705606995,12,11,11,11,11,10,13,13,13,13,13,13,13,13,13,13,13,13,13,11,11,11,11,11,16,16,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705607010,16,16,16,16,16,10,15,15,15,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,15,15,10,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705607025,17,19,19,19,19,10,17,17,17,17,17,17,17,17,17,17,17,17,17,19,19,19,19,19,10,10,10,17,67,51,17,17,17,17,17,17,16,16,16,16,16,16,48,48,16,32,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705607040,17,14,14,14,14,10,17,17,17,17,17,17,17,17,17,17,17,17,17,14,14,14,14,14,18,18,10,19,77,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,23,71,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1705607055,13,10,10,10,10,10,13,13,13,13,13,13,13,13,13,13,13,13,13,10,10,10,10,10,20,20,10,16,64,48,16,16,16,16,16,16,16,16,16,15,15,15,45,45,15,30,15,10,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705607070,11,17,17,17,17,10,12,12,12,12,12,12,11,11,11,11,11,11,11,17,17,17,17,17,15,15,10,11,44,33,11,11,11,11,11,11,11,11,11,12,12,12,36,36,12,24,12,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705607085,15,18,18,18,18,10,14,14,14,14,14,14,15,15,15,15,15,15,15,18,18,18,18,18,8,8,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705607100,24,16,16,16,16,10,24,24,24,24,24,24,24,24,24,24,24,24,24,16,16,16,16,16,18,18,10,16,64,48,16,16,16,16,16,15,15,15,15,15,15,15,45,45,15,26,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705607115,10,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,18,18,10,18,72,54,18,18,18,18,18,19,19,19,19,19,19,19,57,57,19,42,21,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705607130,16,22,22,22,22,10,17,17,17,17,17,17,16,16,16,16,16,16,16,22,22,22,22,22,14,14,10,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,10,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705607145,19,16,16,16,16,10,18,18,18,18,18,18,19,19,19,19,19,19,19,16,16,16,16,16,10,10,10,24,94,72,24,24,24,24,11,22,11,10,10,10,10,10,30,30,10,20,10,10,0,539,0,22,11,0,0,0,0,0,0,0,0,0,0,0,0,0
1705607160,12,8,8,8,8,10,12,12,12,12,12,12,12,12,12,12,12,12,12,8,8,8,8,8,23,23,10,13,52,39,13,13,13,13,12,15,12,13,13,13,13,13,39,39,13,24,12,10,0,147,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1705607175,14,20,20,20,20,10,14,14,14,14,14,14,14,14,14,14,14,14,14,20,20,20,20,20,14,14,10,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,22,11,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705607190,16,15,15,15,15,10,16,16,16,16,16,16,16,16,16,16,16,16,16,15,15,15,15,15,10,10,10,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705607205,15,11,11,11,11,10,16,16,16,16,16,16,16,16,16,16,16,15,15,11,11,11,11,11,20,20,10,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705607220,16,17,17,17,17,10,15,15,15,15,15,15,15,15,15,15,15,16,16,17,17,17,17,17,14,14,10,16,64,48,16,16,16,16,16,16,16,15,15,15,15,15,45,45,15,30,15,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705607235,13,16,16,16,16,10,14,14,14,14,14,14,13,13,13,13,13,13,13,17,17,17,17,17,15,15,10,17,68,51,17,17,17,17,17,17,17,18,18,18,18,18,54,54,18,36,18,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705607250,13,11,11,11,11,10,12,12,12,12,12,12,13,13,13,13,13,13,13,10,10,10,10,10,14,14,10,14,56,42,14,14,14,14,14,14,14,13,13,13,13,13,39,39,13,26,13,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705607265,22,21,21,21,21,10,22,22,22,22,22,22,22,22,22,22,22,22,22,21,21,21,21,21,13,13,10,12,48,36,12,12,12,12,12,12,12,13,13,13,13,13,39,39,13,26,13,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705607280,11,9,9,9,9,10,11,11,11,11,11,11,11,11,11,11,11,11,11,9,9,9,9,9,17,17,10,22,88,66,22,22,22,22,21,22,21,21,21,21,21,21,63,63,21,42,21,10,69,71,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1705607295,13,21,21,21,21,10,13,13,13,13,13,13,13,13,13,13,13,13,13,21,21,21,21,21,18,18,10,12,48,36,12,12,12,12,12,12,3,3,3,3,3,3,9,9,3,6,3,10,46,463,1,18,9,0,0,0,0,0,0,0,0,0,0,0,0,0
1705607310,23,18,18,18,18,10,24,24,24,23,23,23,23,23,23,23,23,23,23,18,18,18,18,18,11,11,10,12,48,36,12,12,12,12,13,12,11,11,11,11,11,11,33,33,11,18,9,10,23,279,0,6,3,0,2,2,2,4,1,3,2,2,4,4,1,0
1705607325,12,12,12,12,12,10,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,19,19,10,22,88,66,22,22,22,22,22,22,22,21,21,21,21,21,63,63,21,42,21,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705607340,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,17,17,10,11,44,33,11,11,11,11,11,11,11,12,12,8,8,8,24,24,8,16,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705607355,15,22,22,22,22,10,15,15,15,15,15,15,15,15,15,15,15,15,15,22,22,22,22,22,12,12,10,12,48,36,12,12,12,12,12,12,12,12,12,15,15,15,45,45,15,30,15,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705607370,22,12,12,12,12,10,22,22,22,22,22,22,22,22,22,22,22,22,22,12,12,12,12,12,10,10,10,18,72,54,18,18,18,18,18,18,18,17,17,17,17,17,51,51,17,34,17,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705607385,6,14,14,14,14,10,6,6,6,6,6,6,6,6,6,6,6,6,6,14,14,14,14,14,19,19,10,17,68,51,17,17,17,17,17,17,10,11,11,12,12,12,36,36,12,24,12,10,23,365,1,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0
1705607400,20,17,17,17,17,10,20,20,20,20,20,20,20,20,20,20,20,20,20,17,17,17,17,17,15,15,10,9,36,27,9,9,9,9,8,9,8,8,8,7,7,7,21,21,7,14,7,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705607415,13,12,12,12,12,10,13,13,13,13,13,13,13,13,13,13,13,13,13,12,12,12,12,12,17,17,10,22,88,66,22,22,22,22,22,22,21,21,21,21,21,21,63,63,21,42,21,10,0,71,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1705607430,15,16,16,16,16,10,15,15,15,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,17,17,10,10,40,30,10,10,10,10,11,10,11,11,11,11,11,11,33,33,11,22,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705607445,20,15,15,15,15,10,20,20,20,20,20,20,20,20,20,20,20,20,20,15,15,15,15,15,12,12,10,16,64,48,16,16,16,16,16,15,16,16,16,16,16,16,48,48,16,28,14,10,23,142,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1705607460,11,13,13,13,13,10,11,11,11,11,11,11,11,11,11,11,11,11,11,13,13,13,13,13,16,16,10,15,60,45,15,15,15,15,15,16,16,15,15,15,15,15,45,45,15,28,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705607475,14,15,15,15,15,10,14,14,14,14,14,14,14,14,14,14,14,14,14,16,16,16,16,16,15,15,10,16,63,48,16,16,16,16,16,16,16,17,17,17,17,17,51,51,17,34,17,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1705607490,16,18,18,18,18,10,16,16,16,16,16,16,16,16,16,16,16,16,16,17,17,17,17,17,14,14,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,28,14,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705607505,18,12,12,12,12,10,18,18,18,18,18,18,18,18,18,18,18,18,18,12,12,12,12,12,11,11,10,16,62,48,16,16,16,16,16,16,13,13,13,9,9,9,27,27,9,18,9,10,0,218,1,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0
1705607520,11,15,15,15,15,10,11,11,11,11,11,11,11,11,11,11,11,11,11,15,15,15,15,15,19,19,10,16,66,48,16,16,16,16,16,15,18,18,18,7,7,7,21,21,7,14,7,10,0,610,1,24,12,0,0,0,0,0,0,0,0,0,0,0,0,0
1705607535,16,19,19,19,19,10,17,17,17,17,17,17,17,17,17,17,16,16,16,19,19,19,19,19,13,13,10,13,52,39,13,13,13,13,13,12,11,11,11,11,11,11,33,33,11,22,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705607550,15,12,12,12,12,10,14,14,14,14,14,14,14,14,14,14,15,15,15,12,12,12,12,12,13,13,10,16,64,48,16,16,16,16,16,18,18,18,18,18,18,18,54,54,18,36,18,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705607565,15,16,16,16,16,10,15,15,15,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,10,14,55,42,14,14,14,14,14,14,13,13,13,13,13,13,39,39,13,26,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705607580,17,13,13,13,13,10,17,17,17,17,17,17,17,17,17,17,17,17,17,13,13,13,13,13,15,15,10,19,77,57,19,19,19,19,19,19,20,20,20,20,20,20,60,60,20,40,20,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705607595,11,19,19,19,19,10,11,11,11,11,11,11,11,11,11,11,11,11,11,19,19,19,19,19,20,20,10,13,51,39,13,13,13,13,13,13,11,11,11,11,11,11,33,33,11,22,11,10,0,71,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1705607610,21,18,18,18,18,10,22,22,22,22,22,22,21,21,21,21,21,21,21,18,18,18,18,18,13,13,10,15,61,45,15,15,15,15,15,15,16,16,16,14,14,14,42,42,14,28,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705607625,16,14,14,14,14,10,15,15,15,15,15,15,16,16,16,16,16,16,16,14,14,14,14,14,16,16,10,18,72,54,18,18,18,18,18,18,18,16,16,18,18,18,54,54,18,36,18,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705607640,12,11,11,11,11,10,12,12,12,12,12,12,12,12,12,12,12,12,12,11,11,11,11,11,14,14,10,15,60,45,15,15,15,15,15,15,15,17,17,17,17,17,51,51,17,32,16,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705607655,13,21,21,21,21,10,13,13,13,13,13,13,13,13,13,13,13,13,13,21,21,21,21,21,18,18,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705607670,19,14,14,14,14,10,19,19,19,19,19,19,19,19,19,19,19,19,19,14,14,14,14,14,13,13,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,28,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705607685,13,13,13,13,13,10,14,14,14,14,14,14,14,14,14,14,14,14,14,13,13,13,13,13,15,15,10,22,88,66,22,22,22,22,15,22,15,14,14,14,14,14,42,42,14,28,14,10,0,343,0,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0
1705607700,18,17,17,17,17,10,17,17,17,17,17,17,17,17,17,17,17,17,17,18,18,18,18,18,19,19,10,11,44,33,11,11,11,11,9,11,9,10,9,9,9,9,27,27,9,18,9,10,0,71,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1705607715,15,14,14,14,14,10,15,15,15,15,15,15,15,15,15,15,15,15,15,13,13,13,13,13,12,12,10,16,63,48,16,16,16,16,11,16,11,11,11,11,11,11,33,33,11,22,11,10,46,343,0,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0
