time,catalogue_1,front-end_2,user_3,front-end_4,front-end_5,front-end_6,front-end_7,front-end_8,front-end_9,front-end_10,front-end_11,user_12,front-end_13,front-end_14,front-end_15,front-end_16,front-end_17,user_18,user_19,orders_20,payment_21,orders_22,shipping_23,queue-master_24,queue-master_25,queue-master_26,queue-master_27,queue-master_28,front-end_29,front-end_30,payment_31,catalogue_32,front-end_33,front-end_34,user_35,user_36,front-end_37,front-end_38,user_39,front-end_40,front-end_41,front-end_42,front-end_43,front-end_44,catalogue_45,front-end_46,front-end_47,front-end_48,carts_49,user_50,user_51,user_52,orders-db_53
1705706370,10,12,12,12,12,12,12,12,12,12,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,15,15,11,10,11,11,11,11,11,11,11,11,11,11,11,11,11,23,0,0,0,0
1705706385,10,21,21,21,21,21,21,21,21,21,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,13,13,18,10,18,18,18,18,18,18,18,18,18,18,18,18,18,46,0,0,0,0
1705706400,10,11,11,11,11,11,11,11,11,11,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,16,16,11,10,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0
1705706415,10,16,16,16,16,16,15,15,15,15,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,15,15,17,10,17,17,17,17,17,17,17,17,17,17,17,17,17,23,0,0,0,0
1705706430,10,15,15,15,15,15,16,16,16,16,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,12,12,14,10,14,14,14,14,14,14,14,14,14,14,14,14,14,0,0,0,0,0
1705706445,10,14,14,14,14,14,14,14,14,14,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,19,19,13,10,13,13,13,13,13,13,13,13,13,13,13,13,13,23,0,0,0,0
1705706460,10,14,14,14,14,14,14,14,14,14,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,10,15,15,15,10,15,15,15,15,15,15,15,15,15,15,15,15,15,23,0,0,0,0
1705706475,10,16,16,16,16,16,16,16,16,16,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,12,12,20,10,19,20,20,20,20,20,20,20,20,20,20,20,20,23,0,1,0,0
1705706490,10,17,17,17,17,17,17,17,17,17,17,67,51,17,17,17,17,17,16,16,16,16,16,16,16,48,48,16,32,16,10,15,15,14,10,14,14,14,14,14,14,14,14,14,14,14,14,14,23,0,0,0,0
1705706505,10,14,14,14,14,14,14,14,14,14,18,73,54,18,18,18,18,18,19,19,19,19,19,19,19,57,57,19,38,19,10,17,17,15,10,15,15,15,15,15,15,15,15,15,15,14,14,14,0,0,0,0,0
1705706520,10,13,13,13,13,13,13,13,13,13,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,16,16,16,10,16,16,16,16,16,16,16,16,16,16,17,17,17,23,0,0,0,0
1705706535,10,14,14,14,14,14,14,14,14,14,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,14,14,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0
1705706550,10,18,18,18,18,18,18,18,18,18,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,13,13,19,10,19,19,19,19,19,19,19,19,19,19,19,19,19,0,0,0,0,0
1705706565,10,14,14,14,14,14,14,14,14,14,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,14,14,13,10,13,13,13,13,13,13,13,13,13,13,13,13,13,0,0,0,0,0
1705706580,10,17,17,17,17,17,17,17,17,17,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,18,18,13,10,13,13,13,13,13,13,13,13,13,13,13,13,13,23,0,0,0,0
1705706595,10,14,14,14,14,14,14,14,14,14,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,16,16,19,10,19,19,19,19,19,19,19,19,19,19,19,19,19,23,0,0,0,0
1705706610,10,10,10,10,10,10,10,10,10,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,15,15,11,10,11,11,10,10,10,10,10,10,10,10,10,10,10,23,0,0,0,0
1705706625,10,25,25,25,25,25,25,25,25,25,6,24,18,6,6,6,6,6,6,6,6,6,6,6,6,18,18,6,12,6,10,15,15,22,10,22,22,23,22,22,22,22,22,22,22,22,22,22,0,0,0,0,0
1705706640,10,14,14,14,14,14,14,14,14,14,26,104,78,26,26,26,26,26,26,26,26,26,26,26,26,78,78,26,52,26,10,12,12,15,10,15,15,15,16,16,16,16,16,16,16,16,16,16,0,0,0,0,0
1705706655,10,15,15,15,15,15,15,15,15,15,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,21,21,14,10,14,14,14,14,14,14,14,14,14,14,14,14,14,23,0,0,0,0
1705706670,10,13,13,13,13,13,13,13,13,13,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,15,15,16,10,16,16,16,16,16,16,16,16,16,16,16,16,15,0,0,0,0,0
1705706685,10,17,17,17,17,17,17,17,17,17,9,36,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,9,18,9,10,17,17,16,10,16,16,16,16,16,16,16,16,16,16,16,16,17,23,0,0,0,0
1705706700,10,18,18,18,18,18,18,18,18,18,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,12,12,17,10,17,17,17,17,17,17,17,17,17,17,17,17,17,23,0,0,0,0
1705706715,10,14,14,14,14,14,14,14,14,14,20,80,60,20,20,20,20,20,20,19,19,19,19,19,19,57,57,19,38,19,10,19,19,15,10,15,15,15,15,15,15,15,15,15,15,15,15,15,0,0,0,0,0
1705706730,10,15,15,15,15,15,15,15,15,15,16,64,48,16,16,16,16,16,16,17,17,17,17,17,17,51,51,17,34,17,10,16,16,12,10,12,12,12,12,12,12,12,12,12,12,12,12,12,23,0,0,0,0
1705706745,10,20,20,20,20,20,20,20,20,20,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,10,14,14,19,10,19,19,19,19,19,18,18,18,18,18,18,18,18,0,0,0,0,0
1705706760,10,13,13,13,13,13,13,13,13,13,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,15,15,16,10,16,16,16,16,16,17,17,17,17,17,17,17,17,23,0,0,0,0
1705706775,10,13,13,13,13,13,13,13,13,13,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,14,14,11,10,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0
1705706790,10,20,20,20,20,20,20,20,20,20,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,18,18,16,10,16,16,16,16,16,16,16,16,16,16,16,16,16,23,0,0,0,0
1705706805,10,14,14,14,14,14,14,14,14,14,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,13,13,20,10,20,20,20,20,20,20,20,20,20,20,20,20,20,69,0,0,0,0
1705706820,10,18,18,18,18,18,18,18,18,18,16,63,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,17,17,15,10,15,15,15,15,15,15,15,15,15,15,15,15,15,23,0,0,1,0
1705706835,10,9,9,9,9,9,9,9,9,9,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,18,18,13,10,13,13,13,13,13,13,13,13,13,13,13,13,13,0,0,0,0,1
1705706850,10,21,21,21,21,21,21,21,21,21,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,17,17,17,10,17,17,17,17,17,17,17,17,17,17,17,17,17,0,0,0,0,0
1705706865,10,13,13,13,13,13,13,13,13,13,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,10,10,18,10,18,18,18,18,18,18,18,18,18,18,18,18,18,23,0,0,0,0
1705706880,10,15,15,15,15,15,15,15,15,15,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,23,23,11,10,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0
1705706895,10,17,17,17,17,17,17,17,17,17,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,10,21,10,21,21,21,21,21,21,21,21,21,21,21,21,21,0,0,0,0,0
1705706910,10,12,12,12,12,12,12,12,12,12,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,15,15,13,10,13,13,13,13,13,13,13,13,13,13,13,13,13,23,0,0,0,0
1705706925,10,17,17,17,17,17,17,17,17,17,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,18,18,13,10,13,13,13,13,13,13,13,13,13,13,13,13,13,0,0,0,0,0
1705706940,10,19,19,18,18,18,18,18,18,18,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,14,14,14,10,14,14,14,14,14,14,14,14,14,14,14,14,13,0,0,0,0,0
1705706955,10,12,12,13,13,13,13,13,13,13,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,15,15,21,10,21,21,21,21,21,21,21,21,21,21,21,21,22,46,0,0,0,0
1705706970,10,19,19,19,19,19,19,19,19,19,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,14,14,14,10,14,14,14,14,14,14,14,14,14,14,14,14,14,23,0,0,0,0
1705706985,10,13,13,13,13,13,12,12,12,12,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,18,18,18,10,18,18,18,18,18,18,18,18,18,18,18,18,18,23,0,0,0,0
1705707000,10,21,21,21,21,21,22,22,22,22,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,15,15,14,10,14,14,14,14,14,14,14,14,14,14,14,14,14,23,0,0,0,0
1705707015,10,7,7,7,7,7,7,7,7,7,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,16,16,17,10,17,17,17,17,17,17,17,17,17,17,17,17,17,0,0,0,0,0
1705707030,10,22,22,22,22,22,22,22,22,22,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,17,17,15,10,15,15,15,15,15,15,15,15,15,15,15,15,15,0,0,0,0,0
1705707045,10,15,15,15,15,15,15,15,15,15,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,14,14,16,10,16,16,16,15,15,15,15,15,15,15,15,15,15,69,0,0,0,0
1705707060,10,11,11,11,11,11,11,11,11,11,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,18,18,11,10,11,11,11,12,12,12,12,12,12,12,12,12,12,0,0,0,0,0
1705707075,10,15,15,15,15,15,15,15,15,15,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,14,14,17,10,17,17,17,17,17,17,17,17,17,17,17,17,17,46,0,0,0,0
1705707090,10,19,19,19,19,19,19,19,19,19,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,13,13,14,10,14,14,14,14,14,14,14,14,14,14,14,14,14,0,0,0,0,0
1705707105,10,12,12,12,12,12,11,11,11,11,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,12,12,17,10,17,17,17,17,17,17,17,17,17,17,17,17,17,23,0,0,0,0
1705707120,10,18,18,18,18,18,19,19,19,19,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,23,23,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,69,0,0,0,0
1705707135,10,14,14,14,14,14,14,14,14,14,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,9,9,22,10,22,22,22,22,22,22,22,22,22,22,22,22,22,23,0,0,0,0
1705707150,10,15,15,15,15,15,15,15,15,15,21,84,63,21,21,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,10,15,15,15,10,15,15,15,15,15,15,15,15,15,15,15,15,15,0,0,0,0,0
1705707165,10,14,14,14,14,14,14,14,14,14,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,17,17,14,10,14,14,14,14,14,14,14,14,14,14,14,14,14,0,0,0,0,0
1705707180,10,22,22,22,22,22,22,22,22,22,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,17,17,17,10,17,17,17,17,17,16,16,16,16,16,16,16,16,23,0,0,0,0
1705707195,10,8,8,8,8,8,8,8,8,8,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,15,15,15,10,15,15,15,15,15,16,16,16,16,16,16,16,16,0,0,0,0,0
1705707210,10,18,18,18,18,18,18,18,18,18,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,19,19,9,10,9,9,9,9,9,9,9,9,9,9,9,9,9,0,0,0,0,0
1705707225,10,19,19,19,19,19,19,19,19,19,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,9,9,24,10,24,24,24,24,24,24,24,24,24,24,24,24,24,0,0,0,0,0
1705707240,10,12,12,12,12,12,12,12,12,12,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,10,21,21,13,10,13,13,13,13,13,13,13,13,13,13,13,13,13,23,0,0,0,0
1705707255,10,16,16,16,16,16,16,16,16,16,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,17,17,13,10,13,13,13,13,13,13,13,13,13,13,13,13,13,0,0,0,0,0
1705707270,10,13,13,13,13,13,13,13,13,13,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,9,9,17,10,17,17,16,16,16,16,16,16,16,16,16,16,16,23,0,0,0,0
1705707285,10,16,16,16,16,16,16,16,16,16,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,19,19,15,10,15,15,16,16,16,16,16,16,16,16,16,16,16,0,0,0,0,0
1705707300,10,13,13,13,13,13,13,13,13,13,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,13,13,13,10,13,13,13,13,13,13,13,13,13,13,13,13,13,23,0,0,0,0
1705707315,10,26,26,26,26,26,25,25,25,25,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,15,15,21,10,21,21,21,21,21,20,20,20,20,20,20,20,20,23,0,0,0,0
1705707330,10,12,12,12,12,12,13,13,13,13,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,10,16,16,18,10,18,18,18,18,18,19,19,19,19,19,19,19,19,0,0,0,0,0
1705707345,10,20,20,20,20,20,20,20,20,20,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,21,21,15,10,15,15,15,15,15,15,15,15,15,15,15,15,15,23,0,0,0,0
1705707360,10,15,15,15,15,15,15,15,15,15,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,16,16,16,10,16,16,16,16,16,16,16,16,16,16,16,16,16,0,0,0,0,0
1705707375,10,12,12,12,12,12,12,12,12,12,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,16,16,14,10,14,14,14,14,14,13,13,13,13,13,13,13,13,23,0,0,0,0
1705707390,10,18,18,18,18,18,18,18,18,18,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,17,17,16,10,16,16,16,16,16,16,16,16,16,16,16,16,16,46,0,0,0,0
1705707405,10,14,14,14,14,14,14,14,14,14,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,14,14,14,10,14,14,14,14,14,15,15,15,15,15,15,15,15,0,0,0,0,0
1705707420,10,13,13,13,13,13,13,13,13,13,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,17,17,14,10,14,14,14,14,14,14,14,14,14,14,14,14,14,0,0,0,0,0
1705707435,10,22,22,22,22,22,21,21,21,21,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,10,21,10,21,21,21,21,21,21,21,21,21,21,21,21,20,23,0,0,0,0
1705707450,10,10,10,10,10,10,11,11,11,11,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,10,18,18,15,10,15,15,15,15,15,15,15,15,15,15,15,15,16,0,0,0,0,0
1705707465,10,14,14,14,14,14,14,14,14,14,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,20,20,8,10,8,8,8,8,8,8,8,8,8,8,8,8,8,0,0,0,0,0
1705707480,10,20,20,20,20,20,20,20,20,20,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,11,11,19,10,19,19,19,19,19,19,19,19,19,19,19,19,19,23,0,0,0,0
1705707495,10,14,14,14,14,14,14,14,14,14,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,16,16,17,10,17,17,17,17,17,17,17,17,17,17,17,17,17,0,0,0,0,0
1705707510,10,17,17,17,17,17,17,17,17,17,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,16,16,14,10,14,14,14,14,14,14,14,14,14,14,14,14,14,23,0,0,0,0
1705707525,10,11,11,11,11,11,11,11,11,11,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,14,14,19,10,19,19,19,19,19,19,19,19,19,19,19,19,19,0,0,0,0,0
1705707540,10,18,18,18,18,18,18,18,18,18,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,19,19,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0
1705707555,10,15,15,15,15,15,15,15,15,15,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,11,11,21,10,21,21,21,21,21,21,21,21,21,21,21,21,21,46,0,0,0,0
1705707570,10,15,15,15,15,15,15,15,15,15,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,16,16,14,10,14,14,14,14,14,14,14,14,14,14,14,14,14,69,0,0,0,0
1705707585,10,16,16,16,16,16,16,16,16,16,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,18,18,13,10,13,13,13,13,13,13,13,13,13,13,13,13,13,0,0,0,0,0
1705707600,10,18,18,18,18,18,18,18,18,18,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,13,13,19,10,19,19,19,19,19,19,19,19,19,19,19,19,17,23,0,0,0,0
1705707615,10,13,13,13,13,13,13,13,13,13,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,16,16,18,10,18,18,18,18,18,18,18,18,18,18,18,18,20,23,0,0,0,0
1705707630,10,14,14,14,14,14,14,14,14,14,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,19,19,9,10,9,9,9,9,9,9,9,9,9,9,9,9,9,0,0,0,0,0
1705707645,10,17,17,17,17,17,17,17,17,17,9,36,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,9,18,9,10,13,13,17,10,17,17,17,17,17,17,17,17,17,17,17,17,17,0,0,0,0,0
1705707660,4,6,6,6,6,6,6,6,6,6,9,36,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,9,18,9,4,5,5,8,4,8,8,8,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0
