time,front-end_1,user_2,front-end_3,front-end_4,user_5,front-end_6,front-end_7,front-end_8,user_9,front-end_10,front-end_11,front-end_12,front-end_13,front-end_14,front-end_15,catalogue_16,front-end_17,front-end_18,front-end_19,front-end_20,front-end_21,front-end_22,front-end_23,catalogue_24,catalogue_25,front-end_26,front-end_27,user_28,front-end_29,front-end_30,front-end_31,front-end_32,front-end_33,user_34,user_35,orders_36,payment_37,orders_38,shipping_39,queue-master_40,queue-master_41,queue-master_42,queue-master_43,queue-master_44,front-end_45,front-end_46,payment_47,user_48,carts_49,user-db_50,carts_51,orders_52,orders_53,orders_54,orders-db_55,orders-db_56,orders_57,orders_58,orders_59,orders_60,orders_61,front-end_62,front-end_63,user-db_64
1705758405,19,19,19,19,19,19,19,11,11,19,11,11,11,19,19,19,19,19,11,11,11,11,19,10,18,18,16,63,46,16,16,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705758420,14,14,14,14,14,14,14,15,15,14,15,15,15,14,14,14,14,14,15,15,15,15,14,10,18,18,17,69,53,17,17,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705758435,13,13,13,13,13,13,13,17,17,13,17,17,17,13,13,13,13,13,17,17,17,17,13,10,12,12,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705758450,20,20,20,19,19,19,19,18,18,19,18,18,18,19,19,19,19,19,18,18,18,18,19,10,14,14,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705758465,10,10,10,11,11,11,11,12,12,11,12,12,12,11,11,11,11,11,12,12,12,12,11,10,16,16,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705758480,17,17,17,17,17,17,17,16,16,17,16,16,16,17,17,17,17,17,16,16,16,16,17,10,17,17,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705758495,15,15,15,15,15,15,15,16,16,15,16,16,16,15,15,15,15,15,16,16,16,16,15,10,11,11,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705758510,18,18,18,18,18,18,18,14,14,18,14,14,14,18,18,18,18,18,14,14,14,14,18,10,19,19,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705758525,12,12,12,12,12,12,12,13,13,12,13,13,13,12,12,12,12,12,13,13,13,13,12,10,14,14,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,10,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705758540,18,18,18,18,18,18,18,15,15,18,15,15,15,18,18,18,18,18,15,15,15,15,18,10,18,18,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705758555,11,11,11,11,11,11,11,16,16,11,16,16,16,11,11,11,11,11,16,16,16,16,11,10,10,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705758570,18,18,18,18,18,18,18,14,14,18,14,14,14,18,18,18,18,18,14,14,14,14,18,10,16,16,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705758585,12,12,12,12,12,12,12,20,20,12,20,20,20,12,12,12,12,12,20,20,20,20,12,10,13,13,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705758600,15,15,15,15,15,15,15,14,14,15,14,14,14,15,15,15,15,15,14,14,14,14,15,10,17,17,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705758615,18,18,18,18,18,18,18,12,12,18,12,12,12,18,18,18,18,18,12,12,12,12,18,10,16,16,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705758630,13,13,13,13,13,13,13,16,16,13,16,16,16,13,13,13,13,13,16,16,16,16,12,10,12,12,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705758645,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,10,17,17,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705758660,19,19,19,19,19,19,19,17,17,19,17,17,17,19,19,19,19,19,17,17,17,17,19,10,17,17,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705758675,14,14,14,14,14,14,14,13,13,14,13,13,13,14,14,14,14,14,13,13,13,13,14,10,15,15,22,88,66,22,22,22,22,22,22,22,22,22,22,22,22,66,66,22,44,22,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705758690,11,11,11,11,11,11,11,16,16,11,16,16,16,11,11,11,11,11,16,16,16,16,11,10,18,18,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705758705,19,19,19,19,19,19,19,17,17,19,17,17,17,19,19,19,19,19,17,17,17,17,19,10,11,11,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705758720,12,12,12,12,12,12,12,11,11,12,11,11,11,12,12,12,12,12,11,11,11,11,12,10,16,16,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705758735,16,16,16,16,16,16,16,16,16,15,16,16,16,15,15,15,15,15,16,16,16,16,15,10,16,16,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705758750,16,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,15,15,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705758765,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,16,16,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705758780,14,14,14,14,14,14,14,16,15,14,15,15,15,14,14,14,14,14,15,15,15,15,14,10,17,17,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705758795,17,17,17,17,17,17,17,15,16,17,16,16,16,17,17,17,17,17,16,16,16,16,17,10,15,15,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1705758810,15,15,15,15,15,15,15,14,14,15,14,14,14,15,15,15,15,15,14,14,14,14,15,10,13,13,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705758825,13,13,13,13,13,13,13,19,19,13,19,19,19,13,13,13,13,13,19,19,19,19,13,10,16,16,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705758840,17,17,17,17,17,17,17,13,13,17,13,13,13,17,17,17,17,17,13,13,13,13,17,10,14,14,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705758855,15,15,15,15,15,15,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,18,18,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705758870,22,22,22,22,22,22,22,21,21,22,21,21,21,22,22,22,22,22,21,21,21,21,22,10,15,15,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705758885,11,11,11,11,11,11,11,14,14,12,14,14,14,12,12,12,12,12,14,14,14,14,12,10,13,13,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705758900,15,15,15,15,15,15,15,13,13,15,13,13,13,15,15,15,15,15,13,13,13,13,15,10,18,18,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705758915,16,16,16,16,16,16,16,14,14,16,14,14,14,16,16,16,16,16,14,14,14,14,16,10,18,18,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,20,10,10,10,0,0,0,1,3,1,3,2,2,1,115,1,1,2,1,0
1705758930,17,17,17,17,17,17,17,20,20,16,20,20,20,16,16,16,16,16,20,20,20,20,16,10,11,11,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705758945,11,11,11,11,11,11,11,13,13,12,13,13,13,12,12,12,12,12,13,13,13,13,12,10,15,15,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705758960,17,17,17,17,17,17,17,13,13,17,13,13,13,17,17,17,17,17,13,13,13,13,17,10,19,19,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705758975,13,13,13,13,13,13,13,16,16,13,16,16,16,13,13,13,13,13,16,16,16,16,13,10,12,12,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705758990,15,15,15,15,15,15,15,14,14,15,14,14,14,15,15,15,15,15,14,14,14,14,15,10,16,16,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,23,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1705759005,19,19,19,19,19,19,19,18,18,19,18,18,18,19,19,19,19,19,18,18,18,18,19,10,16,16,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,10,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705759020,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,14,14,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705759035,17,17,17,17,17,17,17,14,14,17,14,14,14,17,17,17,17,17,14,14,14,14,17,10,17,17,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705759050,9,9,9,9,9,9,9,11,11,9,11,11,11,9,9,9,9,9,11,11,11,11,9,10,18,18,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705759065,19,19,19,19,19,19,19,21,21,19,21,21,21,19,19,19,19,19,21,21,21,21,19,10,9,9,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705759080,14,14,14,14,14,14,13,14,14,13,14,14,14,13,13,13,13,13,14,14,14,14,13,10,14,14,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705759095,18,18,18,18,18,18,19,14,14,19,14,14,14,19,19,19,19,19,14,14,14,14,19,10,21,21,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705759110,13,13,13,13,13,13,13,17,17,13,17,17,17,13,13,13,13,13,17,17,17,17,13,10,11,11,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705759125,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,10,16,16,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705759140,14,14,14,14,14,14,14,13,13,14,13,13,13,14,14,14,14,14,13,13,13,13,14,10,16,16,21,84,63,21,21,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705759155,16,16,16,16,16,16,16,15,15,16,15,15,15,16,16,16,16,16,15,15,15,15,16,10,19,19,14,53,40,14,14,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705759170,15,15,15,15,15,15,15,11,11,15,11,11,11,15,15,15,15,15,11,11,11,11,15,10,13,13,15,63,47,15,15,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1705759185,13,13,13,13,13,13,12,21,21,12,21,21,21,12,12,12,12,12,21,21,21,21,12,10,15,15,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705759200,20,20,20,20,20,20,20,12,12,20,12,12,12,20,20,20,20,20,12,12,12,12,19,10,13,13,19,73,55,19,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705759215,9,9,9,9,9,9,10,15,15,10,15,15,15,10,10,10,10,10,15,15,15,15,11,10,19,19,15,63,47,15,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705759230,19,19,19,19,19,19,19,17,17,18,17,17,17,18,18,18,18,18,17,17,17,17,18,10,16,16,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705759245,17,17,17,17,17,17,17,16,16,18,16,16,16,18,18,18,18,18,16,16,16,16,18,10,13,13,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705759260,1,1,1,1,1,1,1,2,2,1,2,2,2,1,1,1,1,1,2,2,2,2,1,2,3,3,2,8,6,2,2,2,2,2,2,2,2,2,2,2,2,6,6,2,4,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
