time,front-end_1,user_2,front-end_3,front-end_4,user_5,front-end_6,front-end_7,front-end_8,front-end_9,front-end_10,catalogue_11,front-end_12,front-end_13,front-end_14,catalogue_15,front-end_16,catalogue_17,front-end_18,user_19,front-end_20,front-end_21,front-end_22,front-end_23,front-end_24,front-end_25,front-end_26,payment_27,user_28,front-end_29,user_30,front-end_31,front-end_32,front-end_33,front-end_34,front-end_35,user_36,user_37,orders_38,payment_39,orders_40,shipping_41,queue-master_42,queue-master_43,queue-master_44,queue-master_45,queue-master_46,front-end_47,front-end_48,carts_49,user-db_50,user_51
1705681155,17,17,17,17,17,17,17,17,17,17,17,17,17,17,15,15,10,14,14,14,14,14,14,14,14,14,10,10,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,0,0,0
1705681170,12,12,12,12,12,12,12,12,12,12,12,12,12,12,17,17,10,20,20,20,20,20,20,20,20,20,10,10,15,60,45,15,15,15,15,15,15,15,15,15,14,14,14,42,42,14,28,14,0,0,0
1705681185,19,19,19,19,19,19,19,19,19,19,19,19,19,19,12,12,10,15,15,15,15,15,15,15,15,15,10,10,15,60,45,15,15,15,15,15,15,15,15,15,16,16,16,48,48,16,32,16,23,0,0
1705681200,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,13,13,13,13,13,13,13,13,13,10,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,0,0,0
1705681215,12,12,12,12,12,12,12,12,12,12,12,12,12,12,17,17,10,15,15,15,15,15,15,15,15,15,10,10,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,0,0,0
1705681230,14,14,14,14,14,14,14,14,14,14,14,14,14,14,18,18,10,12,12,12,12,12,12,12,12,12,10,10,11,43,33,11,11,11,11,10,10,10,10,10,10,10,10,30,30,10,20,10,0,0,0
1705681245,18,18,18,16,16,16,16,16,16,16,16,16,16,16,9,9,10,21,21,21,21,21,21,21,21,21,10,10,15,61,45,15,15,15,15,16,16,16,16,16,16,16,16,48,48,16,32,16,0,1,0
1705681260,13,13,13,15,15,15,15,15,15,15,15,15,15,15,15,15,10,12,12,12,12,12,12,12,12,12,10,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,0,0,0
1705681275,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,10,18,18,18,18,18,18,18,18,18,10,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,0,0,0
1705681290,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,14,10,13,13,13,13,13,13,13,13,13,10,10,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,0,0,0
1705681305,12,12,12,12,12,12,12,12,12,12,12,12,12,11,15,15,10,16,16,16,16,16,16,16,16,16,10,10,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,23,0,0
1705681320,13,13,13,13,13,13,13,13,13,13,13,13,13,14,17,17,10,11,11,11,11,11,11,11,11,11,10,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,23,0,0
1705681335,17,17,17,17,17,17,17,17,17,17,17,17,17,17,14,14,10,22,22,22,22,22,22,22,22,22,10,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,0,0,0
1705681350,20,20,20,20,20,20,20,20,20,20,20,20,20,20,12,12,10,11,11,11,11,11,11,11,11,11,10,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,0,0,0
1705681365,9,9,9,9,9,9,9,8,8,8,8,8,8,8,21,21,10,16,16,16,16,16,16,16,16,16,10,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,23,0,0
1705681380,18,18,18,18,18,18,17,18,18,18,18,18,18,18,11,11,10,13,13,13,13,13,13,13,13,13,10,10,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,0,0,0
1705681395,14,14,14,14,14,14,15,15,15,15,15,15,15,15,13,13,10,18,18,18,18,18,18,18,18,18,10,10,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,0,0,0
1705681410,15,15,15,15,15,15,15,15,15,15,15,15,15,15,17,17,10,13,13,13,13,13,13,13,13,13,10,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,0,0,0
1705681425,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,16,10,12,12,12,12,12,12,12,12,12,10,10,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,0,0,0
1705681440,11,11,11,11,11,11,11,11,11,11,11,11,11,11,14,14,10,19,19,19,19,19,19,19,19,19,10,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,46,0,0
1705681455,18,18,18,18,18,18,18,18,18,18,18,18,18,18,15,15,10,15,15,15,15,15,15,15,15,15,10,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,0,0,0
1705681470,22,22,22,22,22,22,22,22,22,22,22,22,22,22,14,14,10,16,16,16,16,16,16,16,16,16,10,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,0,0,0
1705681485,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,16,10,12,12,12,12,12,12,12,12,12,10,10,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,0,0,0
1705681500,17,17,17,17,17,17,17,17,17,17,17,17,17,17,21,21,10,22,22,22,22,22,22,22,22,22,10,10,9,36,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,9,18,9,0,0,0
1705681515,17,17,17,17,17,17,17,17,17,17,17,17,17,17,8,8,10,14,14,14,14,14,14,14,14,14,10,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,0,0,0
1705681530,18,18,18,18,18,18,18,18,18,18,18,18,18,18,20,20,10,14,14,14,14,14,14,14,14,14,10,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,23,0,0
1705681545,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,10,16,16,16,16,16,16,16,16,16,10,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,0,0,0
1705681560,16,16,16,16,16,16,16,16,16,16,16,16,16,16,18,18,10,11,11,11,11,11,11,11,11,11,10,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,0,0,0
1705681575,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,13,10,21,21,21,21,21,21,21,21,21,10,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,46,0,0
1705681590,20,20,20,20,20,20,19,19,19,19,19,19,19,19,12,12,10,15,15,15,15,15,15,15,15,15,10,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,0,0,0
1705681605,12,12,12,12,12,12,13,13,13,13,13,13,13,13,20,20,10,11,11,11,11,11,11,11,11,11,10,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,0,0,0
1705681620,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,15,15,15,15,15,15,15,15,15,10,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,0,0,0
1705681635,11,11,11,11,11,11,10,10,10,10,10,10,10,10,15,15,10,15,15,15,15,15,15,15,15,15,10,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,0,0,0
1705681650,19,19,19,19,19,19,20,20,20,20,20,20,20,20,14,14,10,16,16,16,16,16,16,16,16,16,10,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,23,0,0
1705681665,13,13,13,13,13,13,13,13,13,13,13,13,13,13,17,17,10,17,17,17,17,17,17,17,17,17,10,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,46,0,0
1705681680,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,14,14,14,14,14,14,14,14,14,10,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,0,0,0
1705681695,19,19,19,19,19,19,19,19,19,19,19,19,19,19,14,14,10,17,17,17,17,17,17,17,17,17,10,10,9,36,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,9,18,9,23,0,0
1705681710,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,12,12,12,12,12,12,12,12,12,10,10,21,84,63,21,21,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,0,0,0
1705681725,10,10,10,10,10,10,10,10,10,10,10,10,10,10,17,17,10,17,17,17,17,17,16,16,16,16,10,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,23,0,0
1705681740,18,18,18,18,18,18,17,17,17,17,17,17,17,17,15,15,10,18,18,18,18,18,19,19,19,19,10,10,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,0,0,0
1705681755,18,18,18,18,18,18,19,19,19,19,19,19,19,19,15,15,10,14,14,14,14,14,14,14,14,14,10,10,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,0,0,0
1705681770,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,15,15,15,15,15,15,15,15,15,10,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,0,0,0
1705681785,13,13,13,13,13,13,12,12,12,12,12,12,12,12,14,14,10,19,19,19,19,19,19,19,19,19,10,10,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,23,0,0
1705681800,17,17,17,17,17,17,18,18,18,18,18,18,18,18,14,14,10,13,13,13,13,13,13,13,13,13,10,10,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,0,0,0
1705681815,13,13,13,13,13,13,13,13,13,13,13,13,13,13,16,16,10,12,12,12,12,12,12,12,12,12,10,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,23,0,0
1705681830,12,12,12,12,12,11,11,11,11,11,11,11,11,11,19,19,10,16,16,16,16,16,16,16,16,16,10,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,23,0,0
1705681845,20,20,20,20,20,21,21,21,21,21,21,21,21,21,7,7,10,19,19,19,19,19,19,19,19,19,10,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,0,0,0
1705681860,14,14,14,14,14,14,14,14,14,14,14,14,14,14,18,18,10,13,13,13,13,13,12,12,12,12,10,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,0,0,0
1705681875,16,16,16,16,16,16,16,16,16,16,16,16,16,16,22,22,10,15,15,15,15,15,16,16,16,16,10,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,23,0,0
1705681890,16,16,16,16,16,16,16,16,16,16,16,16,16,16,13,13,10,20,20,20,20,20,20,20,20,20,10,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,0,0,0
1705681905,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,13,10,12,12,12,12,12,12,12,12,12,10,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,23,0,0
1705681920,16,16,16,16,16,15,15,15,15,15,15,15,15,15,16,16,10,15,15,15,15,15,15,15,15,15,10,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,23,0,0
1705681935,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,10,16,16,16,16,16,16,16,16,16,10,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,46,0,0
1705681950,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,14,10,14,14,14,14,14,14,14,14,14,10,10,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,0,0,0
1705681965,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,10,14,14,14,14,14,14,14,14,14,10,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,46,0,0
1705681980,16,16,16,16,16,16,16,16,16,16,16,16,16,16,19,19,10,16,16,16,16,16,16,16,16,16,10,10,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,23,0,0
1705681995,16,16,16,16,16,16,16,16,16,16,16,16,16,16,14,14,10,19,19,19,19,19,19,19,19,19,10,10,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,46,0,0
1705682010,22,22,22,22,22,22,22,22,22,22,22,22,22,22,14,14,10,15,15,15,15,15,15,15,15,15,10,10,17,67,51,17,17,17,17,16,16,16,16,16,16,16,16,48,48,16,32,16,0,0,0
1705682025,10,10,10,10,10,10,10,10,10,10,10,10,10,10,17,17,10,12,12,12,12,12,12,12,12,12,10,10,21,85,63,21,21,21,21,22,22,22,22,22,22,22,22,66,66,22,44,22,23,0,0
1705682040,19,19,19,19,19,19,19,19,19,19,19,19,19,19,17,17,10,19,19,19,19,19,19,19,19,19,10,10,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,46,0,0
1705682055,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,13,10,15,15,15,15,15,15,15,15,15,10,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,0,0,0
1705682070,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,15,15,15,15,15,15,15,15,15,10,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,23,0,0
1705682085,16,16,16,16,16,16,16,16,16,16,16,16,16,16,19,19,10,15,15,15,15,15,15,15,15,15,10,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,0,1,0
1705682100,20,20,20,20,20,20,20,20,20,20,20,20,20,20,14,14,10,19,19,19,19,19,19,19,19,19,10,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,23,0,0
1705682115,14,14,14,14,14,14,14,14,14,14,14,14,14,14,18,18,10,10,10,10,10,10,10,10,10,10,10,10,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,0,0,0
1705682130,10,10,10,10,10,10,10,10,10,10,10,10,10,10,17,17,10,18,18,18,18,18,18,18,18,18,10,9,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,0,0,1
1705682145,19,19,19,19,19,19,19,19,19,19,19,19,19,19,11,11,10,14,14,14,14,14,14,14,14,14,10,10,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,0,0,0
1705682160,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,15,15,15,15,15,15,15,15,15,10,10,17,68,51,17,17,17,17,17,17,16,16,16,16,16,16,48,48,16,32,16,23,0,0
1705682175,13,13,13,13,13,13,13,13,13,13,13,13,13,13,17,17,10,16,16,16,16,16,16,16,16,16,10,10,15,60,45,15,15,15,15,15,15,16,16,16,16,16,16,48,48,16,32,16,0,0,0
1705682190,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,13,10,15,15,15,15,15,15,15,15,15,10,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,46,0,0
1705682205,22,22,22,22,22,22,22,22,22,22,22,22,22,22,15,15,10,16,16,16,16,16,16,16,16,16,10,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,23,0,0
1705682220,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,16,16,16,16,16,16,16,16,16,10,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,23,0,0
1705682235,11,11,11,11,11,11,11,11,11,11,11,11,11,11,17,17,10,14,14,14,14,14,14,14,14,14,10,10,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,0,0,0
1705682250,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,18,18,18,18,18,18,18,18,18,10,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,0,0,0
1705682265,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,13,13,13,13,13,13,13,13,13,10,10,18,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,0,0,0
1705682280,18,18,18,18,18,18,18,18,18,18,18,18,18,18,20,20,10,18,18,18,18,18,18,18,18,18,10,10,12,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,23,0,0
1705682295,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,16,10,14,14,14,14,14,14,14,14,14,10,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,0,0,0
1705682310,15,15,15,15,15,15,15,15,15,15,15,15,15,14,15,15,10,12,12,12,12,12,12,12,12,12,10,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,23,0,0
1705682325,15,15,15,15,15,15,15,15,15,15,15,15,15,16,13,13,10,16,16,16,16,16,15,15,15,15,10,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,0,0,0
1705682340,13,13,13,13,13,13,13,13,13,13,13,13,13,13,15,15,10,18,18,18,18,18,19,19,19,19,10,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,23,0,0
1705682355,15,15,15,15,15,15,15,15,15,15,15,15,15,15,11,11,10,12,12,12,12,12,12,12,12,12,10,10,21,84,63,21,21,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,0,0,0
1705682370,12,12,12,12,12,12,12,12,12,12,12,12,12,12,19,19,10,16,16,16,16,16,16,16,16,16,10,10,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,46,0,0
1705682385,17,17,17,17,17,17,17,17,17,17,17,17,17,17,14,14,10,15,15,15,15,15,15,15,15,15,10,10,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,0,0,0
1705682400,18,18,18,18,18,18,18,18,18,18,18,18,18,18,13,13,10,16,16,16,16,16,16,16,16,16,10,10,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,0,0,0
1705682415,11,11,11,11,11,11,11,11,11,11,11,11,11,11,18,18,10,13,13,13,13,13,13,13,13,13,10,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,0,0,0
1705682430,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,16,10,14,14,14,14,14,14,14,14,14,10,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,0,0,0
1705682445,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,4,7,7,7,7,7,7,7,7,7,4,4,6,24,18,6,6,6,6,6,6,6,6,6,6,6,6,18,18,6,12,6,23,0,0
