time,user_1,payment_2,front-end_3,front-end_4,front-end_5,user_6,user_7,catalogue_8,front-end_9,orders_10,front-end_11,front-end_12,front-end_13,front-end_14,payment_15,orders_16,shipping_17,queue-master_18,queue-master_19,queue-master_20,queue-master_21,queue-master_22,front-end_23,front-end_24,user_25,front-end_26,front-end_27,front-end_28,front-end_29,user_30,front-end_31,front-end_32,front-end_33,front-end_34,user_35,front-end_36,front-end_37,user_38,front-end_39,front-end_40,front-end_41,front-end_42,front-end_43,catalogue_44,front-end_45,front-end_46,front-end_47,catalogue_48,carts_49,carts_50,user_51
1705632450,64,10,48,16,16,16,16,15,15,16,12,12,12,12,16,16,16,16,16,48,48,16,32,16,10,16,16,16,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,14,10,0,0,0
1705632465,48,10,36,12,12,12,12,18,18,12,17,17,17,17,12,12,12,12,12,36,36,12,24,12,10,12,12,12,18,18,18,18,18,16,16,16,16,16,16,16,15,15,15,15,15,15,14,10,0,0,0
1705632480,64,10,48,16,16,16,16,10,10,15,14,14,14,14,15,15,15,15,15,45,45,15,30,15,10,16,16,16,13,13,13,13,13,15,15,15,15,15,15,15,16,16,16,16,16,16,16,10,0,0,0
1705632495,60,10,45,15,15,15,15,16,16,16,14,14,14,14,16,16,16,16,16,48,48,16,32,16,10,15,15,15,14,14,14,14,14,16,16,16,16,16,16,16,15,15,15,15,15,15,15,10,0,0,0
1705632510,64,10,48,16,16,16,16,20,20,16,15,15,15,15,16,16,16,16,16,48,48,16,32,16,10,16,16,16,15,15,15,15,15,12,12,12,12,12,12,12,13,13,13,13,13,13,14,10,23,0,0
1705632525,43,10,33,11,11,11,11,12,12,11,17,17,17,17,11,11,11,11,11,33,33,11,22,11,10,11,11,11,17,17,17,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,12,10,23,0,1
1705632540,48,10,36,12,12,12,11,12,12,11,18,18,18,18,11,11,11,11,11,33,33,11,22,11,10,12,12,12,18,18,18,18,18,18,18,18,17,17,17,17,16,16,16,16,16,16,18,10,23,0,0
1705632555,92,10,69,23,23,23,24,15,15,24,12,12,12,12,24,24,24,24,24,72,72,24,48,24,10,23,23,23,12,12,12,12,12,12,12,12,13,13,13,13,14,14,14,14,14,14,16,10,0,0,0
1705632570,48,10,36,12,12,12,12,21,21,12,11,11,11,11,12,12,12,12,12,36,36,12,24,12,10,12,12,12,11,11,11,11,11,13,13,13,13,13,13,12,12,12,12,12,12,12,12,10,0,0,0
1705632585,56,10,42,14,14,14,14,13,13,14,17,17,17,17,14,14,14,14,14,42,42,14,28,14,10,14,14,14,18,18,18,18,18,17,17,17,17,16,16,17,17,17,17,17,17,17,16,10,23,0,0
1705632600,64,10,48,16,16,16,16,11,11,14,19,19,19,19,14,14,14,14,14,42,42,14,28,14,10,16,16,16,21,21,21,21,21,18,18,18,18,19,19,19,17,17,17,17,17,17,13,10,0,3,0
1705632615,60,10,45,15,15,15,15,16,16,17,14,14,14,14,17,17,17,17,17,51,51,17,34,17,10,15,15,15,11,11,11,11,11,15,15,15,15,15,15,15,17,17,17,17,17,17,22,10,23,0,0
1705632630,60,10,45,15,15,15,15,19,19,15,13,13,13,13,15,15,15,15,15,45,45,15,30,15,10,15,15,15,13,13,13,13,13,12,12,12,11,11,11,11,11,11,11,11,11,11,11,10,0,0,0
1705632645,60,10,45,15,15,15,15,12,12,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,15,15,15,16,16,16,16,16,15,15,15,16,16,16,16,15,15,15,15,15,15,15,10,0,0,0
1705632660,60,10,45,15,15,15,15,12,12,15,13,13,13,13,15,15,15,15,15,45,45,15,30,15,10,15,15,15,12,12,12,12,12,15,15,15,15,15,15,15,16,16,16,16,16,16,16,10,46,0,0
1705632675,52,10,39,13,13,13,13,16,16,13,17,17,17,17,13,13,13,13,13,39,39,13,26,13,10,13,13,13,17,17,17,17,17,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,23,0,0
1705632690,56,10,42,14,14,14,14,13,13,14,15,15,15,15,14,14,14,14,14,42,42,14,28,14,10,14,14,14,16,16,16,16,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,23,0,0
1705632705,56,10,42,14,14,14,14,18,18,14,11,11,11,11,14,14,14,14,14,42,42,14,28,14,10,14,14,14,10,10,10,10,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,23,0,0
1705632720,72,10,54,18,18,18,18,14,14,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,18,18,18,18,18,18,18,18,16,16,16,16,16,16,16,16,16,16,16,16,16,15,10,0,0,0
1705632735,56,10,42,14,14,13,13,14,14,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,14,14,14,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,15,10,23,0,0
1705632750,64,10,48,16,16,17,17,19,19,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,16,16,16,17,17,17,17,17,13,13,13,13,13,13,13,13,13,13,13,13,13,12,10,23,0,0
1705632765,44,10,33,11,11,11,11,12,12,11,12,12,12,12,11,11,11,11,11,33,33,11,22,11,10,11,11,11,12,12,12,12,12,18,18,18,18,18,18,18,18,18,18,18,18,18,19,10,0,0,0
1705632780,72,10,54,18,18,18,18,15,15,18,13,13,13,13,18,18,18,18,18,54,54,18,36,18,10,18,18,18,13,13,13,13,13,15,15,15,15,15,15,15,15,15,15,15,15,15,11,10,0,0,0
1705632795,48,10,36,12,12,12,12,13,13,11,16,16,16,16,11,11,11,11,11,33,33,11,22,11,10,12,12,12,16,16,16,16,16,15,15,15,15,15,15,15,15,15,15,15,15,15,18,10,0,0,0
1705632810,76,10,57,19,19,19,19,15,15,20,17,17,17,17,20,20,20,20,20,60,60,20,40,20,10,19,19,19,17,17,17,17,17,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,46,0,0
1705632825,52,10,39,13,13,13,13,16,16,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,10,23,0,0
1705632840,52,10,39,13,13,13,13,15,15,13,14,14,14,14,13,13,13,13,13,39,39,13,26,13,10,13,13,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,10,0,0,0
1705632855,48,10,36,12,12,12,12,12,12,12,14,14,14,14,12,12,12,12,12,36,36,12,24,12,10,12,12,12,13,13,13,13,13,15,15,15,15,15,15,15,15,15,15,15,15,15,16,10,0,0,0
1705632870,64,10,48,16,16,16,16,18,18,16,19,19,19,19,16,16,16,16,16,48,48,16,32,16,10,16,16,16,19,19,19,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,10,0,0,0
1705632885,80,10,60,20,20,20,20,13,13,20,11,11,11,11,20,20,20,20,20,60,60,20,40,20,10,20,20,20,11,11,11,11,11,10,10,10,10,10,10,9,9,9,9,9,9,9,9,10,46,0,0
1705632900,36,10,27,9,9,9,9,16,16,9,15,15,15,15,9,9,9,9,9,27,27,9,18,9,10,9,9,9,15,15,15,15,15,12,12,12,12,12,12,13,13,13,13,13,13,13,13,10,0,0,0
1705632915,56,10,42,14,14,14,14,12,12,14,18,18,18,18,14,14,14,14,14,42,42,14,28,14,10,14,14,14,20,20,20,20,20,20,20,20,20,20,20,20,19,19,19,19,19,19,16,10,0,0,0
1705632930,72,10,54,18,18,18,18,14,14,18,15,15,15,15,18,18,18,18,18,54,54,18,36,18,10,18,18,18,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,16,10,46,0,0
1705632945,60,10,45,15,15,15,15,19,19,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,15,15,15,16,16,16,16,16,11,11,11,11,11,11,11,12,12,12,12,12,12,13,10,0,0,0
1705632960,48,10,36,12,12,12,12,12,12,12,11,11,11,11,12,12,12,12,12,36,36,12,24,12,10,12,12,12,10,10,10,10,10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,23,0,0
1705632975,64,10,48,16,16,16,16,12,12,16,18,18,18,18,16,16,16,16,16,48,48,16,32,16,10,16,16,16,18,18,18,18,18,16,16,16,16,16,16,16,16,16,16,16,16,16,13,10,0,0,0
1705632990,68,10,51,17,17,17,17,15,15,17,19,19,19,19,17,17,17,17,17,51,51,17,34,17,10,17,17,17,20,20,20,20,20,14,14,14,14,14,14,14,12,12,12,12,12,12,14,10,0,0,0
1705633005,52,10,39,13,13,13,13,19,19,13,11,11,11,11,13,13,13,13,13,39,39,13,26,13,10,13,13,13,10,10,10,10,10,16,16,16,16,16,16,16,18,18,18,18,18,18,19,10,0,0,0
1705633020,68,10,51,17,17,17,17,16,16,17,11,11,11,11,17,17,17,17,17,51,51,17,34,17,10,17,17,17,13,13,13,13,13,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0
1705633035,48,10,36,12,12,12,12,16,16,12,17,17,17,17,12,12,12,12,12,36,36,12,24,12,10,12,12,12,15,15,15,15,15,19,19,19,19,19,19,19,19,19,19,19,19,19,19,10,0,0,0
1705633050,68,10,51,17,17,17,17,8,8,17,18,18,18,18,17,17,17,17,17,51,51,17,34,17,10,17,17,17,18,18,18,18,18,15,15,15,15,15,15,15,15,15,15,15,15,15,14,10,23,0,0
1705633065,68,10,51,17,17,17,17,22,22,17,10,10,10,10,17,17,17,17,17,51,51,17,34,17,10,17,17,17,10,10,10,10,10,14,14,14,14,14,14,14,14,14,14,14,14,14,15,10,23,0,0
1705633080,48,10,36,12,12,12,12,11,11,11,16,16,16,16,11,11,11,11,11,33,33,11,22,11,10,12,12,12,19,19,19,19,19,16,16,16,16,16,16,16,13,13,13,13,13,13,10,10,23,0,0
1705633095,56,10,42,14,14,14,14,14,14,15,16,16,16,16,15,15,15,15,15,45,45,15,30,15,10,14,14,14,13,13,13,13,13,15,15,15,15,14,14,14,17,17,17,17,17,17,19,10,23,0,0
1705633110,72,10,54,18,18,18,18,14,14,18,13,13,13,13,18,18,18,18,18,54,54,18,36,18,10,18,18,18,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,10,0,0,0
1705633125,49,10,37,12,12,12,12,17,17,12,18,18,18,18,12,12,12,12,12,36,36,12,24,12,10,13,13,13,18,18,18,18,18,17,17,17,17,17,17,17,16,16,16,16,16,16,17,10,0,0,0
1705633140,71,10,53,18,18,18,18,14,14,18,11,11,11,11,18,18,18,18,18,54,54,18,36,18,10,17,17,17,11,11,11,11,11,12,12,12,12,12,12,12,13,13,13,13,13,13,13,10,0,0,0
1705633155,40,10,30,10,10,10,10,17,17,10,17,17,17,17,10,10,10,10,10,30,30,10,20,10,10,10,10,10,17,17,17,17,17,16,16,16,16,16,16,16,15,15,15,15,15,15,15,10,0,0,0
1705633170,72,10,54,18,18,18,18,13,13,18,19,19,19,19,18,18,18,18,18,54,54,18,36,18,10,18,18,18,19,19,19,19,19,15,15,15,15,15,15,15,15,15,15,15,15,15,14,10,46,0,0
1705633185,56,10,42,14,14,14,14,16,16,14,8,8,8,8,14,14,14,14,14,42,42,14,28,14,10,14,14,14,8,8,8,8,8,18,18,18,18,18,18,18,18,18,18,18,18,18,19,10,0,0,0
1705633200,72,10,54,18,18,18,18,22,22,18,20,20,20,20,18,18,18,18,18,54,54,18,36,18,10,18,18,18,20,20,20,20,20,12,12,12,12,12,12,12,13,13,13,13,13,13,11,10,23,0,0
1705633215,44,10,33,11,11,11,11,6,6,11,19,19,19,19,11,11,11,11,11,33,33,11,22,11,10,11,11,11,20,20,20,20,20,23,23,23,23,23,23,23,16,16,16,16,16,16,16,10,23,0,0
1705633230,64,10,48,16,16,16,16,15,15,15,8,8,8,8,15,15,15,15,15,45,45,15,30,15,10,16,16,16,8,8,8,8,8,9,9,9,9,9,9,9,16,16,16,16,16,16,18,10,0,0,0
1705633245,64,10,48,16,16,16,16,21,21,17,13,13,13,13,17,17,17,17,17,51,51,17,34,17,10,16,16,16,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,0,0,0
1705633260,52,10,39,13,13,13,13,12,12,13,20,20,20,20,13,13,13,13,13,39,39,13,26,13,10,13,13,13,21,21,21,21,21,17,17,17,17,17,17,16,15,15,15,15,15,15,13,10,0,0,0
1705633275,80,10,60,20,20,20,20,9,9,18,12,12,12,12,18,18,18,18,18,54,54,18,36,18,10,20,20,20,12,12,12,12,12,14,14,14,14,14,14,15,16,16,16,16,16,16,18,10,0,0,0
1705633290,52,10,39,13,13,13,13,20,20,15,12,12,12,12,15,15,15,15,15,45,45,15,30,15,10,13,13,13,12,12,12,12,12,14,14,14,14,14,14,14,14,14,14,14,14,14,11,10,23,0,0
1705633305,48,10,36,12,12,12,12,15,15,12,19,19,19,19,12,12,12,12,12,36,36,12,24,12,10,12,12,12,18,18,18,18,18,14,14,14,14,14,14,14,14,14,14,14,14,14,17,10,0,0,0
1705633320,61,10,46,15,15,15,15,11,11,15,16,16,16,16,15,15,15,15,15,45,45,15,30,15,10,16,16,16,16,16,16,16,16,18,18,18,18,18,18,18,18,18,18,18,18,18,15,10,23,0,0
1705633335,75,10,56,19,19,19,19,17,17,18,11,11,11,11,18,18,18,18,18,54,54,18,36,18,10,18,18,18,13,13,13,13,13,14,14,14,14,14,14,14,13,13,13,13,13,13,16,10,0,0,0
1705633350,44,10,33,11,11,11,11,16,16,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,11,11,11,10,10,10,10,10,11,11,11,11,11,11,11,12,12,12,12,12,12,12,10,23,0,0
1705633365,60,10,45,15,15,15,15,14,14,15,16,16,16,16,15,15,15,15,15,45,45,15,30,15,10,15,15,15,17,17,17,17,17,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,0,0,0
1705633380,48,10,36,12,12,12,12,15,15,12,19,19,19,19,12,12,12,12,12,36,36,12,24,12,10,12,12,12,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,17,10,23,0,0
1705633395,72,10,54,18,18,18,18,10,10,18,12,12,12,12,18,18,18,18,18,54,54,18,36,18,10,18,18,18,12,12,12,12,12,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,23,0,0
1705633410,44,10,33,11,11,11,11,21,21,11,17,17,17,17,11,11,11,11,11,33,33,11,22,11,10,11,11,11,17,17,17,17,17,17,17,17,17,17,17,17,16,16,16,16,16,16,13,10,23,0,0
1705633425,60,10,45,15,15,15,15,11,11,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,15,15,15,15,15,15,15,15,12,12,12,12,12,12,12,13,13,13,13,13,13,17,10,0,0,0
1705633440,64,10,48,16,16,16,16,16,16,16,15,15,15,15,16,16,16,16,16,48,48,16,32,16,10,16,16,16,15,15,15,15,15,16,16,16,16,16,16,15,15,15,15,15,15,15,15,10,0,0,0
1705633455,60,10,45,15,15,15,15,14,14,15,10,10,10,10,15,15,15,15,15,45,45,15,30,15,10,15,15,15,12,12,12,12,12,14,14,14,14,14,14,15,15,15,15,15,15,15,15,10,0,0,0
1705633470,60,10,45,15,15,15,15,17,17,15,16,16,16,16,15,15,15,15,15,45,45,15,30,15,10,15,15,15,14,14,14,14,14,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,23,0,0
1705633485,48,10,36,12,12,12,12,12,12,11,16,16,16,16,11,11,11,11,11,33,33,11,22,11,10,12,12,12,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,14,10,0,0,0
1705633500,64,10,48,16,16,16,16,10,10,17,13,13,13,13,17,17,17,17,17,51,51,17,34,17,10,16,16,16,11,11,11,11,11,15,15,15,15,15,15,15,15,15,15,15,15,15,19,10,23,0,0
1705633515,69,10,52,17,17,17,17,23,23,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,18,18,17,17,17,17,17,17,9,9,9,9,9,9,9,9,9,9,9,9,9,8,10,23,0,0
1705633530,35,10,26,9,9,9,9,12,12,9,18,18,18,18,9,9,9,9,9,27,27,9,18,9,10,8,8,9,18,18,18,18,18,22,22,22,22,22,22,22,22,22,22,22,22,22,23,10,0,0,0
1705633545,84,10,63,21,21,21,21,12,12,20,12,12,12,12,20,20,20,20,20,60,60,20,40,20,10,21,21,21,13,13,13,13,13,19,19,19,19,19,19,19,19,19,19,19,19,19,17,10,23,0,0
1705633560,68,10,51,17,17,17,17,25,25,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,17,17,17,17,17,17,17,17,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,23,0,0
1705633575,60,10,45,15,15,15,15,10,10,15,17,17,17,17,15,15,14,14,14,42,42,14,28,14,10,15,15,15,17,17,17,17,17,15,15,15,15,15,15,15,15,15,15,15,15,15,16,10,0,0,0
1705633590,68,10,51,17,17,17,17,16,16,16,13,13,13,13,16,16,17,17,17,51,51,17,34,17,10,17,17,17,13,13,13,13,13,20,20,20,20,20,20,20,19,19,19,19,19,19,16,10,0,0,0
1705633605,60,10,45,15,15,15,15,14,14,15,14,14,14,14,15,15,15,15,15,45,45,15,30,15,10,15,15,15,15,15,15,15,15,14,14,14,14,14,14,14,15,15,15,15,15,15,17,10,23,0,0
1705633620,61,10,46,15,15,15,15,18,18,16,15,15,15,15,16,16,16,16,16,48,48,16,32,16,10,16,16,16,16,16,16,16,16,12,12,12,12,12,12,12,11,11,11,11,11,11,11,10,46,0,0
1705633635,43,10,32,11,11,11,11,13,13,11,19,19,19,19,11,11,11,11,11,33,33,11,22,11,10,10,10,10,17,17,17,17,17,18,18,18,18,18,18,18,19,19,19,19,19,19,19,10,0,0,0
1705633650,33,4,25,8,8,8,8,5,4,7,5,5,5,5,7,7,7,7,7,21,21,7,14,7,4,9,9,9,5,5,5,5,5,11,11,11,11,11,11,11,8,8,8,8,8,8,7,6,23,0,0
