time,front-end_1,user_2,front-end_3,front-end_4,front-end_5,front-end_6,front-end_7,front-end_8,front-end_9,catalogue_10,front-end_11,front-end_12,user_13,front-end_14,front-end_15,user_16,front-end_17,front-end_18,front-end_19,front-end_20,front-end_21,catalogue_22,front-end_23,front-end_24,front-end_25,user_26,front-end_27,user_28,front-end_29,front-end_30,front-end_31,front-end_32,front-end_33,user_34,user_35,orders_36,payment_37,orders_38,shipping_39,queue-master_40,queue-master_41,queue-master_42,queue-master_43,queue-master_44,front-end_45,front-end_46,front-end_47,catalogue_48,payment_49,carts_50,user_51
1705708020,17,17,17,17,17,17,17,17,17,18,18,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,0,10,10,23,0
1705708035,16,16,16,16,16,16,16,16,16,14,14,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,0,10,10,0,0
1705708050,8,8,8,8,8,8,8,8,8,15,15,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,0,10,10,23,0
1705708065,18,18,18,18,18,18,18,18,18,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,0,10,10,0,0
1705708080,20,20,20,20,20,20,20,20,20,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,0,10,10,46,0
1705708095,17,17,17,17,17,16,16,16,16,14,14,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,0,10,10,0,0
1705708110,13,13,13,13,13,14,14,14,14,19,19,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,0,10,10,0,0
1705708125,16,16,16,16,16,16,16,16,16,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,0,10,10,46,0
1705708140,17,17,17,17,17,17,17,17,17,16,16,20,20,20,20,20,20,20,20,20,20,20,20,20,20,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,0,10,10,46,0
1705708155,11,11,11,11,11,11,11,11,11,14,14,14,14,14,14,14,14,14,13,13,13,13,13,13,13,10,21,83,63,21,21,21,21,20,20,20,20,20,20,20,20,60,60,20,40,20,0,10,10,0,0
1705708170,19,19,19,19,19,19,19,19,19,21,21,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,12,49,36,12,12,12,12,13,13,13,13,13,13,13,13,39,39,13,26,13,0,10,10,23,0
1705708185,17,17,17,17,17,17,17,17,17,8,8,21,21,21,21,21,21,21,21,21,21,21,21,21,21,10,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,0,10,10,23,0
1705708200,9,9,9,9,9,9,9,9,9,21,21,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,22,88,66,22,22,22,22,22,22,22,22,22,22,22,22,66,66,22,44,22,0,10,10,0,0
1705708215,18,18,18,18,18,18,18,18,18,14,14,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,0,10,10,0,0
1705708230,18,18,18,18,18,18,18,18,18,14,14,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,0,10,10,0,0
1705708245,15,15,15,15,15,15,15,15,15,14,14,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,0,10,10,0,0
1705708260,12,12,12,12,12,12,12,12,12,17,17,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,0,10,10,0,0
1705708275,17,17,17,17,17,17,17,17,17,17,17,14,14,14,14,14,14,14,14,14,14,14,14,14,13,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,0,10,10,23,0
1705708290,19,19,19,19,19,19,19,19,19,16,16,22,22,22,22,22,22,21,21,21,21,21,21,21,22,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,0,10,10,0,0
1705708305,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,10,19,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,0,10,10,0,0
1705708320,16,16,16,16,16,16,16,16,16,21,21,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,16,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,0,10,10,46,0
1705708335,12,12,12,12,12,12,12,12,12,12,12,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,0,10,10,0,0
1705708350,18,18,18,18,18,18,18,18,18,16,16,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,0,10,10,0,0
1705708365,14,14,14,14,14,14,14,14,14,12,12,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,0,10,10,0,0
1705708380,14,14,14,14,14,14,14,14,14,17,17,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,0,10,10,23,0
1705708395,17,17,17,17,17,17,17,17,17,15,15,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,0,10,10,0,0
1705708410,16,16,16,16,16,16,16,16,16,16,16,19,19,19,19,19,19,19,19,19,19,19,19,19,19,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,1,10,10,0,0
1705708425,16,16,16,16,16,16,16,16,16,15,15,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,0,10,10,0,0
1705708440,12,12,12,12,12,12,12,12,12,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,0,10,10,23,0
1705708455,18,18,18,18,18,18,18,18,18,15,15,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,0,10,10,0,0
1705708470,18,18,18,18,18,17,17,17,17,14,14,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,0,10,10,23,0
1705708485,15,15,15,15,15,16,16,16,16,14,14,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,0,10,10,0,0
1705708500,15,15,15,15,15,15,15,15,15,18,18,12,12,11,11,11,11,11,11,11,11,11,11,11,11,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,0,10,10,0,0
1705708515,14,14,14,14,14,14,14,14,14,15,15,17,17,18,18,18,18,18,18,18,18,18,18,18,18,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,0,10,10,0,0
1705708530,19,19,19,19,19,19,19,19,19,15,15,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,0,10,10,0,0
1705708545,11,11,11,11,11,11,11,11,11,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,0,10,10,69,0
1705708560,14,14,14,14,14,14,14,14,14,19,19,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,17,65,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,0,10,10,0,0
1705708575,22,22,22,22,22,22,22,22,22,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,12,51,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,0,10,10,0,0
1705708590,10,10,10,10,10,10,10,10,10,13,13,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,21,84,63,21,21,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,0,10,10,0,0
1705708605,14,14,14,14,14,14,14,14,14,19,19,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,0,10,10,0,0
1705708620,25,25,25,25,25,25,25,25,25,14,14,17,16,16,16,16,16,16,16,16,16,16,16,16,16,10,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,0,10,10,0,0
1705708635,7,7,7,7,7,7,7,7,7,12,12,21,22,22,22,22,22,22,22,22,22,22,22,22,22,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,0,10,10,23,0
1705708650,15,15,15,15,15,15,15,15,15,24,24,10,10,10,9,9,9,9,9,9,9,9,9,9,9,10,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,0,10,10,23,0
1705708665,22,22,22,22,22,22,22,22,22,8,8,19,19,19,19,19,19,19,19,19,19,19,19,19,19,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,0,10,10,0,0
1705708680,12,12,12,12,12,12,12,12,12,15,15,17,17,17,18,18,18,18,18,18,18,18,18,18,18,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,0,10,10,23,0
1705708695,16,16,16,16,16,16,16,16,16,21,21,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,0,10,10,0,0
1705708710,15,15,15,15,15,15,15,15,15,9,9,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,0,10,10,23,0
1705708725,13,13,13,13,13,13,13,13,13,23,23,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,0,10,10,0,0
1705708740,21,21,21,21,21,21,21,21,21,10,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,0,10,10,23,0
1705708755,11,11,11,11,11,11,11,11,11,13,13,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,0,10,10,0,0
1705708770,14,14,14,14,14,14,14,14,14,16,16,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,0,10,10,23,0
1705708785,17,17,17,17,17,17,17,17,17,16,16,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,7,28,21,7,7,7,7,7,7,7,7,7,7,7,7,21,21,7,14,7,0,10,10,23,0
1705708800,16,16,16,16,16,16,16,16,16,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,22,88,66,22,22,22,22,22,22,22,22,22,22,21,21,63,63,21,44,22,0,10,10,0,0
1705708815,14,14,14,14,14,14,14,14,14,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,14,56,42,14,14,14,14,14,14,14,14,14,14,15,15,45,45,15,28,14,0,10,10,0,0
1705708830,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,0,10,10,23,0
1705708845,16,16,16,16,16,16,16,16,16,17,17,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,0,10,10,0,0
1705708860,15,15,15,15,15,15,15,15,15,18,18,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,0,10,10,46,0
1705708875,13,12,12,12,12,12,12,12,12,14,14,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,0,10,10,0,0
1705708890,15,16,16,16,16,16,16,16,16,13,13,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,0,10,10,0,0
1705708905,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,0,10,10,23,0
1705708920,10,10,10,10,10,10,10,10,10,9,9,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,0,10,10,0,0
1705708935,21,21,21,21,21,21,21,21,21,18,18,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,0,10,10,0,0
1705708950,12,12,12,12,12,12,12,12,12,13,13,19,19,19,19,19,19,19,19,19,19,19,19,19,19,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,0,10,10,23,0
1705708965,16,16,16,16,16,16,16,16,16,14,14,7,7,7,7,7,7,7,7,7,7,7,7,7,7,10,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,0,10,10,23,0
1705708980,15,15,15,15,15,15,15,15,15,16,16,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,9,33,25,9,9,8,8,8,8,8,8,8,8,8,8,24,24,8,16,8,0,10,10,23,0
1705708995,11,11,11,11,11,11,11,11,11,16,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,17,71,53,17,17,18,18,18,18,18,18,18,17,17,17,51,51,17,34,17,0,10,10,0,0
1705709010,17,17,17,17,17,17,17,17,17,15,15,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,14,56,42,14,14,14,14,14,14,14,14,14,15,15,15,45,45,15,30,15,0,10,10,0,0
1705709025,13,13,13,13,13,13,13,13,13,12,12,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,0,10,10,0,0
1705709040,19,19,19,19,19,19,19,19,19,18,18,18,18,18,18,18,18,17,17,17,17,17,17,17,17,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,0,10,10,0,0
1705709055,10,10,10,10,10,10,10,10,10,16,16,11,11,11,11,11,11,12,12,12,12,12,12,12,12,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,0,10,10,23,0
1705709070,18,18,18,18,18,18,18,18,18,14,14,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,0,10,10,0,0
1705709085,16,16,16,16,16,16,16,16,16,13,13,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,0,10,10,23,0
1705709100,16,16,16,16,16,16,16,16,16,16,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,0,10,10,0,0
1705709115,15,15,15,15,15,15,15,15,15,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,0,10,10,23,0
1705709130,1,1,1,1,1,1,1,1,1,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,20,15,5,5,5,5,5,5,5,5,5,4,4,4,12,12,4,8,4,0,4,4,0,0
