time,front-end_1,user_2,front-end_3,front-end_4,user_5,front-end_6,front-end_7,front-end_8,front-end_9,front-end_10,catalogue_11,front-end_12,front-end_13,front-end_14,front-end_15,user_16,front-end_17,front-end_18,front-end_19,front-end_20,front-end_21,front-end_22,front-end_23,catalogue_24,front-end_25,catalogue_26,payment_27,user_28,front-end_29,user_30,front-end_31,front-end_32,front-end_33,front-end_34,front-end_35,user_36,user_37,orders_38,payment_39,orders_40,shipping_41,queue-master_42,queue-master_43,queue-master_44,queue-master_45,queue-master_46,front-end_47,front-end_48,carts_49,user-db_50,orders_51,orders_52,front-end_53,front-end_54,user_55
1705748085,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,20,20,10,10,10,21,84,63,21,21,21,21,21,21,21,21,21,22,22,22,66,66,22,44,22,23,0,0,0,0,0,0
1705748100,13,13,13,13,13,13,13,13,13,13,13,13,13,13,18,18,18,18,18,18,18,18,18,12,12,10,10,10,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,0,0,0,0,0,0,0
1705748115,17,17,17,17,17,17,17,17,17,17,17,17,17,17,13,13,13,13,13,13,13,13,13,16,16,10,10,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,0,0,0,0,0,0,0
1705748130,14,14,14,14,14,14,13,13,13,13,13,13,13,13,17,17,17,17,17,17,17,17,17,12,12,10,10,10,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,0,0,0,0,0,0,0
1705748145,19,19,19,19,19,19,20,20,20,20,20,20,20,20,16,16,16,16,16,16,16,16,16,15,15,10,10,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,46,0,0,0,0,0,0
1705748160,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,19,19,10,10,10,17,67,51,17,17,17,17,16,16,16,16,16,16,16,16,48,48,16,32,16,0,0,0,0,0,0,0
1705748175,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,10,10,11,45,33,11,11,11,11,12,12,12,12,12,12,12,12,36,36,12,24,12,0,0,0,0,0,0,0
1705748190,19,19,19,19,19,19,19,19,19,19,19,19,19,19,16,16,16,16,16,16,16,16,16,10,10,10,10,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,23,0,0,0,0,0,0
1705748205,9,9,9,9,9,9,9,9,9,9,9,9,9,9,15,15,15,15,15,14,14,14,14,21,21,10,10,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,46,0,0,0,0,0,0
1705748220,13,13,13,13,13,13,13,13,13,13,13,13,13,13,11,11,11,11,11,12,12,12,12,11,11,10,10,10,14,55,42,14,14,14,14,13,13,13,13,13,13,13,13,39,39,13,26,13,0,0,0,0,0,0,0
1705748235,19,19,19,19,19,19,19,19,19,19,19,19,19,19,16,16,16,16,16,16,16,16,16,14,14,10,10,10,11,45,33,11,11,11,11,12,12,12,12,12,12,12,12,36,36,12,24,12,23,0,0,0,0,0,0
1705748250,11,11,11,11,11,11,11,11,11,11,11,11,11,11,16,16,16,16,16,16,16,16,16,12,12,10,10,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,0,0,0,0,0,0,0
1705748265,17,17,17,17,17,17,17,17,17,17,17,17,17,17,13,13,13,13,13,13,13,13,13,21,21,10,10,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,0,0,0,0,0,0,0
1705748280,15,15,15,15,15,15,15,15,15,15,15,15,15,15,20,20,20,20,20,20,20,20,20,11,11,10,10,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,46,0,0,0,0,0,0
1705748295,16,16,16,16,16,16,16,16,16,16,16,16,16,16,14,14,14,14,14,14,14,14,14,15,15,10,10,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,0,0,0,0,0,0,0
1705748310,14,14,14,14,14,14,14,14,14,14,14,14,14,14,16,16,16,16,16,16,16,16,16,19,19,10,10,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,23,0,0,0,0,0,0
1705748325,18,18,18,18,18,18,18,18,18,18,18,18,18,18,12,12,12,12,12,12,12,12,12,14,14,10,10,10,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,23,1,0,0,0,0,0
1705748340,11,11,11,11,11,11,11,11,11,11,11,11,11,11,14,14,14,14,14,14,14,14,14,13,13,10,10,10,21,84,63,21,21,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,0,0,0,0,0,0,0
1705748355,17,17,17,17,17,17,17,17,17,17,17,17,17,17,19,19,19,19,19,19,19,19,19,16,16,10,10,10,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,0,0,0,0,0,0,0
1705748370,18,18,18,18,18,18,18,18,18,18,18,18,18,18,15,15,15,15,15,15,15,15,15,13,13,10,10,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,0,0,0,0,0,0,0
1705748385,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,19,19,10,10,10,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,23,0,0,0,0,0,0
1705748400,15,15,15,15,15,15,15,15,15,15,15,15,15,15,19,19,19,19,19,19,19,19,19,15,15,10,10,10,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,0,0,0,0,0,0,0
1705748415,17,17,17,17,17,17,17,17,17,17,17,17,17,17,15,15,15,15,15,15,15,15,15,15,15,10,10,10,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,0,0,0,0,0,0,0
1705748430,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,13,13,13,13,13,13,13,13,16,16,10,10,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,0,0,0,0,0,0,0
1705748445,18,18,18,18,18,18,18,18,18,18,18,18,18,18,17,17,17,17,17,17,17,17,17,14,14,10,10,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,0,0,0,0,0,0,0
1705748460,13,13,13,13,13,13,13,13,13,13,13,13,13,13,17,17,17,17,17,17,17,17,17,17,17,10,10,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,23,0,0,0,0,0,0
1705748475,20,20,20,20,20,20,20,20,20,20,20,20,20,20,16,16,16,16,16,16,16,16,16,15,15,10,10,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,23,0,0,0,0,0,0
1705748490,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,10,10,10,10,10,10,10,10,20,20,10,10,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,0,0,0,0,0,0,0
1705748505,18,18,18,18,18,18,18,18,18,18,18,18,18,18,19,19,19,19,19,19,19,19,19,11,11,10,10,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,0,0,0,0,0,0,0
1705748520,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,16,10,10,10,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,46,0,0,0,0,0,0
1705748535,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,16,16,10,10,10,12,48,36,12,12,12,12,12,12,12,12,12,11,11,11,33,33,11,22,11,0,0,0,0,0,0,0
1705748550,15,15,15,15,15,15,15,15,15,15,15,15,15,15,19,19,19,19,19,19,19,19,19,16,16,10,10,10,17,68,51,17,17,17,17,17,17,17,17,17,18,18,18,54,54,18,36,18,23,0,0,0,0,0,0
1705748565,22,22,22,22,22,22,22,22,22,22,22,22,22,22,18,18,18,18,18,18,18,18,18,12,12,10,10,10,14,56,42,14,14,14,14,14,14,14,9,9,8,8,8,24,24,8,16,8,46,0,267,1,8,4,0
1705748580,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,10,10,10,10,10,10,10,10,21,21,10,10,10,21,84,63,21,21,21,21,21,21,21,17,17,18,18,18,54,54,18,34,17,0,0,71,1,4,2,0
1705748595,10,10,10,10,10,10,10,10,10,10,10,10,10,10,17,17,17,17,17,17,17,17,17,16,16,10,10,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,0,0,240,2,8,4,0
1705748610,18,18,18,18,18,18,18,18,18,18,18,18,18,18,16,16,16,16,16,15,15,15,15,10,10,10,10,10,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,18,9,0,0,0,0,0,0,0
1705748625,17,17,17,17,17,17,16,16,16,16,16,16,16,16,14,14,14,14,14,15,15,15,15,17,17,10,10,10,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,40,20,0,0,0,0,0,0,0
1705748640,11,11,11,11,11,11,12,12,12,12,12,12,12,12,16,16,16,16,16,16,16,16,16,17,17,10,10,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,23,0,0,0,0,0,0
1705748655,24,24,24,24,24,24,24,24,24,24,24,24,24,24,16,16,16,16,16,16,16,16,16,15,15,10,10,10,10,38,30,10,10,10,10,8,8,8,8,8,8,8,8,24,24,8,16,8,46,0,0,0,0,0,0
1705748670,12,12,12,12,12,12,12,12,12,12,12,12,12,12,15,15,15,15,15,15,15,15,15,8,8,10,10,10,21,86,63,21,21,21,21,22,23,22,22,22,22,22,22,66,66,22,42,21,23,0,0,0,0,0,0
1705748685,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,23,23,10,10,10,14,56,42,14,14,14,14,15,14,15,15,15,15,15,15,45,45,15,30,15,46,0,0,0,0,0,0
1705748700,15,15,15,15,15,15,15,15,15,15,15,15,15,15,17,17,17,17,17,17,17,17,17,13,13,10,10,10,15,60,45,15,15,15,15,15,15,15,13,13,13,13,13,39,39,13,28,14,23,0,0,0,0,0,0
1705748715,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,13,13,13,13,13,13,13,13,12,12,10,10,10,13,52,39,13,13,13,13,13,13,13,15,15,15,15,15,45,45,15,30,15,0,0,0,0,0,0,0
1705748730,16,16,16,16,16,16,16,16,16,16,16,16,16,16,15,15,15,15,15,15,15,15,15,14,14,10,10,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,23,0,0,0,0,0,0
1705748745,13,13,13,13,13,13,13,13,13,13,13,13,13,13,17,17,17,17,17,17,17,17,17,16,16,10,10,10,14,56,42,14,14,14,14,14,14,14,12,12,12,12,12,36,36,12,22,11,23,0,0,0,0,0,0
1705748760,14,14,14,14,14,14,14,14,14,14,14,14,14,14,11,11,11,11,11,11,11,11,11,15,15,10,10,10,18,72,54,18,18,18,18,18,18,18,20,20,19,19,19,57,57,19,40,20,0,0,71,1,2,1,0
1705748775,16,16,16,16,16,16,16,16,16,16,16,16,16,16,13,13,13,13,13,13,13,13,13,17,17,10,10,10,11,44,33,11,11,11,11,11,11,11,11,11,10,10,10,30,30,10,20,10,0,0,49,0,2,1,0
1705748790,17,17,17,17,17,17,17,17,17,17,17,17,17,16,18,18,18,18,18,18,18,18,18,13,13,10,10,10,17,68,51,17,17,17,17,17,17,17,16,16,16,16,16,48,48,16,32,16,23,0,0,0,0,0,0
1705748805,13,13,13,13,13,13,13,13,13,13,13,13,13,14,17,17,17,17,17,17,17,17,17,16,16,10,10,10,14,56,42,14,14,14,14,14,14,14,15,15,15,15,15,45,45,15,26,13,0,0,0,0,0,0,0
1705748820,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,13,13,10,10,10,15,60,45,15,15,15,15,15,14,14,14,14,14,14,14,42,42,14,32,16,23,0,0,0,0,0,0
1705748835,14,14,14,14,14,14,14,14,14,14,14,14,14,14,6,6,6,6,6,6,6,6,6,17,17,10,10,10,17,68,51,17,17,17,17,17,17,16,16,16,16,16,16,48,48,16,32,16,0,0,49,0,2,1,0
1705748850,11,11,11,11,11,11,11,11,11,11,11,11,11,11,16,16,16,16,16,16,16,16,16,15,15,10,10,10,12,48,36,12,12,12,12,12,12,13,13,13,13,13,13,39,39,13,26,13,0,0,0,0,0,0,0
1705748865,14,14,14,14,14,14,14,14,14,14,14,14,14,14,20,20,20,20,20,20,20,20,20,11,11,10,10,10,13,52,39,13,13,13,13,13,12,11,10,10,10,10,10,30,30,10,20,10,0,0,71,1,2,1,0
1705748880,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,15,15,10,10,10,20,80,60,20,20,20,20,20,21,20,20,20,20,20,20,60,60,20,38,19,0,0,0,0,0,0,0
1705748895,20,20,20,20,20,20,20,20,20,20,20,20,20,20,11,11,11,11,11,11,11,11,11,17,17,10,10,10,11,44,33,11,11,11,11,11,10,10,11,11,10,10,10,30,30,10,22,11,0,0,0,0,0,0,0
1705748910,11,11,11,11,11,11,11,11,11,11,11,11,11,11,17,17,17,17,17,17,17,17,17,16,16,10,10,10,18,72,54,18,18,18,18,18,19,20,20,20,21,21,21,63,63,21,40,20,0,0,0,0,0,0,0
1705748925,21,21,21,21,21,21,21,21,21,21,21,21,21,20,14,14,14,14,14,14,14,14,14,16,16,10,10,10,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,22,11,23,0,0,0,0,0,0
1705748940,12,12,12,12,12,12,12,12,12,12,11,11,11,12,16,16,16,16,16,16,16,16,16,8,8,10,10,10,20,80,60,20,20,20,20,20,20,20,18,18,16,16,16,48,48,16,32,16,46,0,120,1,4,2,0
1705748955,12,12,12,12,12,12,12,12,12,12,13,13,13,13,11,11,11,11,11,10,10,10,10,22,22,10,10,10,16,63,48,16,16,16,16,16,16,15,17,17,17,17,17,51,51,17,32,16,23,0,0,0,0,0,0
1705748970,20,20,20,20,20,20,20,20,20,20,20,20,20,19,22,22,22,22,22,23,23,23,23,12,12,10,10,10,8,33,24,8,8,8,8,8,8,9,9,9,9,9,9,27,27,9,20,10,0,0,0,0,0,0,0
1705748985,16,16,16,16,16,16,16,16,16,16,16,16,16,17,11,11,11,11,11,11,11,11,11,10,10,10,10,10,23,91,69,23,23,23,23,22,21,21,21,21,12,12,12,36,36,12,24,12,0,0,0,0,0,0,0
1705749000,10,10,10,10,10,10,10,10,10,10,10,10,10,10,15,15,15,15,15,15,15,15,15,19,19,10,10,10,16,65,48,16,16,16,16,17,17,17,17,17,6,6,6,18,18,6,12,6,23,0,1002,1,40,20,0
1705749015,14,14,14,14,14,14,14,14,14,14,14,14,14,14,12,12,12,12,12,12,12,12,12,19,19,10,10,10,11,44,33,11,11,11,11,11,12,12,12,12,10,10,10,30,30,10,20,10,0,0,0,0,0,0,0
1705749030,16,16,16,16,16,16,16,16,16,16,16,16,16,16,20,20,20,20,20,20,20,20,20,12,12,10,10,9,13,52,39,13,13,13,13,13,11,11,11,11,13,13,13,39,39,13,24,12,23,0,0,0,0,0,1
1705749045,16,16,16,16,16,16,16,16,16,16,16,16,16,15,13,13,13,13,13,13,13,13,13,11,11,10,10,10,19,76,57,19,19,19,19,19,21,21,21,21,20,20,20,60,60,20,42,21,46,0,0,0,0,0,0
1705749060,16,16,16,16,16,16,16,16,16,16,16,16,16,17,15,15,15,15,15,15,15,15,15,24,24,10,10,10,14,56,42,14,14,14,14,13,14,13,13,13,14,14,14,42,42,14,28,14,0,0,0,0,0,0,0
1705749075,18,18,18,18,18,18,18,18,18,18,18,18,18,18,19,19,19,19,19,19,19,19,19,12,12,10,10,10,13,51,39,13,13,13,13,14,13,13,13,13,13,13,13,39,39,13,26,13,0,0,0,0,0,0,0
1705749090,13,13,13,13,13,13,13,13,13,13,13,13,13,12,13,13,13,13,13,13,13,13,13,13,13,10,10,10,19,77,57,19,19,19,19,19,19,20,19,19,19,19,19,57,57,19,38,19,0,0,71,1,2,1,0
1705749105,15,15,15,15,15,15,15,15,15,15,15,15,15,16,14,14,14,14,14,14,14,14,14,19,19,10,10,10,12,48,36,12,12,12,12,12,12,11,12,11,11,11,11,33,33,11,22,11,0,0,71,1,2,1,0
1705749120,16,16,16,16,16,16,15,15,15,15,15,15,15,15,13,13,13,13,13,13,13,13,13,15,15,10,10,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,0,0,0,0,0,0,0
1705749135,12,12,12,12,12,12,13,13,13,13,13,13,13,12,19,19,19,19,19,19,19,19,19,14,14,10,10,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,0,0,0,0,0,0,0
1705749150,17,17,17,17,17,17,17,17,17,17,17,17,17,18,13,13,13,13,13,13,13,13,13,13,13,10,10,10,12,48,36,12,12,12,12,11,12,10,10,10,10,10,10,30,30,10,20,10,23,0,0,0,0,0,0
1705749165,18,18,18,18,18,18,18,18,18,18,18,18,18,18,17,17,17,17,17,17,17,17,17,14,14,10,10,10,17,65,51,17,17,17,17,17,13,15,15,15,15,15,15,45,45,15,30,15,23,0,0,0,0,0,0
1705749180,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,14,14,14,14,14,14,14,14,17,17,10,10,10,14,54,42,14,14,14,14,15,11,11,11,11,11,11,11,33,33,11,22,11,23,0,343,0,14,7,0
1705749195,12,12,12,12,12,12,12,12,12,12,12,12,12,12,15,15,15,15,15,15,15,15,15,13,13,10,10,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,23,0,0,0,0,0,0
1705749210,17,17,17,17,17,17,17,17,17,17,17,17,17,17,15,15,15,15,15,15,15,15,15,15,15,10,10,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,28,14,23,0,0,0,0,0,0
1705749225,14,14,14,14,14,14,14,14,14,14,14,14,14,14,20,20,20,20,20,20,20,20,20,16,16,10,10,10,14,56,42,14,14,14,14,14,14,13,12,12,12,12,12,36,36,12,26,13,23,0,142,2,4,2,0
1705749240,21,21,21,21,21,21,21,21,21,21,21,21,21,21,13,13,13,13,13,13,13,13,13,16,16,10,10,10,15,58,45,15,15,15,15,15,12,12,13,12,12,12,12,36,36,12,24,12,23,0,147,0,6,3,0
1705749255,9,9,9,9,9,9,9,9,9,9,9,9,9,9,11,11,11,11,11,11,11,11,11,20,20,10,10,10,21,84,63,21,21,21,21,21,20,19,19,19,18,18,18,54,54,18,36,18,0,0,120,1,4,2,0
1705749270,21,21,21,21,21,21,21,20,20,20,20,20,20,20,21,21,21,21,21,21,21,21,21,15,15,10,10,10,9,36,27,9,9,9,9,9,9,9,9,9,10,10,10,30,30,10,18,9,23,0,0,0,0,0,0
1705749285,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,4,4,6,6,24,18,6,6,6,6,6,6,6,6,6,6,6,6,18,18,6,14,7,0,0,0,0,0,0,0
