time,front-end_1,user_2,front-end_3,front-end_4,front-end_5,front-end_6,front-end_7,front-end_8,front-end_9,front-end_10,catalogue_11,user_12,front-end_13,front-end_14,front-end_15,front-end_16,front-end_17,front-end_18,user_19,user_20,orders_21,payment_22,orders_23,shipping_24,queue-master_25,queue-master_26,queue-master_27,queue-master_28,queue-master_29,front-end_30,front-end_31,user_32,catalogue_33,payment_34,front-end_35,user_36,front-end_37,front-end_38,user_39,front-end_40,front-end_41,front-end_42,front-end_43,front-end_44,catalogue_45,front-end_46,front-end_47,front-end_48,carts_49,user-db_50,user_51,user_52,carts_53
1705705335,22,22,22,22,22,22,22,22,22,15,14,60,14,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,23,0,0,0,0
1705705350,13,13,13,13,13,13,13,13,13,16,16,64,16,48,16,16,16,16,16,16,15,15,15,15,15,15,45,45,15,30,15,10,10,10,21,21,21,21,21,21,21,21,21,21,21,21,21,21,69,0,0,0,0
1705705365,15,15,15,15,15,15,15,15,15,15,18,60,18,45,15,15,15,15,15,15,16,16,16,16,16,16,48,48,16,32,16,10,10,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,0,0,0,0,0
1705705380,13,13,13,13,13,13,13,13,13,19,13,76,13,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0
1705705395,16,16,16,16,16,16,16,16,16,11,18,44,18,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,10,10,20,20,20,20,20,20,19,19,19,19,19,19,19,19,0,0,0,0,0
1705705410,17,17,17,17,17,17,17,17,17,16,13,64,13,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,10,18,18,18,18,18,18,19,19,19,19,19,19,19,19,46,0,0,0,0
1705705425,15,15,15,15,15,15,15,15,15,18,15,72,15,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,10,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0,0,0,0,0
1705705440,16,16,16,16,16,16,16,16,16,13,15,52,15,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,46,0,0,0,0
1705705455,15,15,15,15,15,15,15,15,15,15,20,60,20,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,0,0,0,0,0
1705705470,17,17,17,17,17,17,17,17,17,17,12,68,12,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,0,0,0,0,0
1705705485,15,15,15,15,15,15,15,15,15,14,16,56,16,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,0,0,0,0,0
1705705500,12,12,12,12,12,12,12,12,12,18,16,72,16,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,10,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,0,0,0,0,0
1705705515,13,13,13,13,13,13,13,13,13,15,16,60,16,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,23,0,0,0,0
1705705530,23,23,23,23,23,23,23,23,23,10,10,40,10,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,10,10,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,0,0,0,0,0
1705705545,11,11,11,11,11,11,11,11,11,14,14,56,14,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,10,20,20,20,20,20,20,20,20,20,20,20,20,20,20,23,0,0,0,0
1705705560,11,11,11,11,11,11,11,11,11,20,20,80,20,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,23,0,0,0,0
1705705575,13,13,13,13,13,13,13,13,13,13,14,52,14,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,10,17,17,17,16,16,16,16,16,16,16,16,16,16,16,0,0,0,0,0
1705705590,20,20,20,20,20,20,20,20,20,14,14,55,14,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,23,0,1,0,0
1705705605,18,18,18,18,18,18,18,18,18,13,10,52,10,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,10,24,24,24,24,24,24,24,24,24,24,24,24,24,24,23,0,0,0,0
1705705620,9,9,9,9,9,9,9,9,9,19,20,76,20,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,23,0,0,0,0
1705705635,13,13,13,13,13,13,13,13,13,14,17,56,17,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0
1705705650,31,31,31,31,31,31,31,31,31,8,12,32,12,24,8,8,8,8,8,8,8,8,8,8,8,8,24,24,8,16,8,10,10,10,20,20,20,20,20,20,20,20,20,20,20,20,20,20,46,0,0,0,0
1705705665,7,7,7,7,7,7,7,7,7,25,15,100,15,75,25,25,25,25,25,25,25,25,25,25,25,25,75,75,25,50,25,10,10,10,20,20,20,20,20,20,20,20,20,20,20,20,20,20,46,0,0,0,0
1705705680,12,12,12,12,12,12,12,12,12,16,18,64,18,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0
1705705695,15,15,15,15,15,15,15,15,15,15,17,60,17,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,0,0,0,0,0
1705705710,17,17,17,17,17,17,17,17,17,8,13,32,13,24,8,8,8,8,8,8,8,8,8,8,8,8,24,24,8,16,8,10,10,10,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,0,0,0
1705705725,16,16,16,16,16,16,16,16,16,22,14,88,14,66,22,22,22,22,22,22,22,22,22,22,22,22,66,66,22,44,22,10,10,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,0,0,0,0,0
1705705740,10,10,10,10,10,10,10,10,10,14,15,56,15,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,23,0,0,0,0
1705705755,18,18,18,18,18,18,18,18,18,12,16,48,16,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,10,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,23,0,0,0,0
1705705770,16,16,16,16,16,16,16,16,16,17,11,68,11,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,10,19,19,19,19,19,19,19,19,19,19,19,19,19,19,23,0,0,0,0
1705705785,13,13,13,13,13,13,13,13,13,16,17,64,17,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,23,0,0,0,0
1705705800,18,18,18,18,18,17,17,17,17,16,17,64,17,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,46,0,0,0,0
1705705815,15,15,15,15,15,16,16,16,16,17,15,68,15,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,46,0,0,0,0
1705705830,15,15,15,15,15,15,15,15,15,13,17,52,17,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,0,0,0,0,0
1705705845,16,16,16,16,16,16,16,16,16,13,15,52,15,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,10,21,21,21,21,21,21,21,21,21,21,21,21,21,21,0,0,0,0,0
1705705860,17,17,17,17,17,17,17,17,17,20,16,80,16,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,10,10,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,23,0,0,0,0
1705705875,15,15,15,15,15,15,15,15,15,14,18,56,18,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0
1705705890,12,12,12,12,12,12,12,12,12,17,15,68,15,51,17,17,17,17,17,17,16,16,16,16,16,16,48,48,16,32,16,10,10,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,0,0,0,0,0
1705705905,17,17,17,17,17,17,17,17,17,12,14,48,14,36,12,12,12,12,12,12,13,13,13,13,13,13,39,39,13,26,13,10,10,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,23,0,0,0,0
1705705920,15,15,15,15,15,15,15,15,15,18,13,72,13,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,10,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,0,0,0,0,0
1705705935,13,13,13,13,13,12,12,12,12,14,16,56,16,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,0,0,0,0,0
1705705950,23,22,23,23,23,24,24,24,24,11,15,44,15,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,10,10,25,25,25,25,25,25,25,25,25,25,25,25,25,25,0,0,0,1,0
1705705965,12,12,12,12,12,12,12,12,12,24,15,96,15,72,24,24,24,24,24,24,24,24,24,24,24,24,72,72,24,48,24,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,69,0,0,0,0
1705705980,15,15,15,15,15,15,15,15,15,13,21,52,21,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,10,15,15,15,15,15,15,15,15,15,15,14,14,14,14,23,0,0,0,0
1705705995,17,17,17,17,17,17,17,17,17,13,12,52,12,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,10,18,18,18,18,18,18,18,18,18,18,19,19,19,19,0,0,0,0,0
1705706010,16,16,16,16,16,16,16,16,16,17,14,68,14,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,0,0,0,0,0
1705706025,12,12,12,12,12,12,12,12,12,16,16,64,16,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,23,0,0,0,0
1705706040,13,13,13,13,13,13,13,13,13,18,17,72,17,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0
1705706055,20,20,20,20,20,20,20,20,20,11,14,44,14,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,10,10,19,19,19,19,19,19,19,19,19,19,19,19,19,19,46,0,0,0,0
1705706070,14,14,14,14,14,14,14,14,14,17,14,68,14,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,23,0,0,0,0
1705706085,13,13,13,13,13,13,13,13,13,13,19,52,19,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,0,0,0,0,0
1705706100,18,18,18,18,18,18,18,18,18,16,9,64,9,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,46,0,0,0,0
1705706115,14,14,14,14,14,14,14,14,14,17,21,68,21,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,0,0,0,0,0
1705706130,12,12,12,12,12,12,12,12,12,13,14,52,14,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,10,12,12,12,12,12,12,11,11,11,11,11,11,11,11,0,0,0,0,0
1705706145,20,20,20,20,20,20,20,20,20,14,14,56,14,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,10,17,17,17,17,17,17,18,18,18,18,18,18,18,18,23,0,0,0,0
1705706160,13,13,13,13,13,13,13,13,13,15,14,60,14,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,10,16,16,16,16,16,16,15,15,15,15,15,15,15,15,0,0,0,0,0
1705706175,15,15,15,15,15,15,15,15,15,16,18,64,18,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,10,17,17,17,16,16,16,17,17,17,17,17,17,17,17,0,0,0,0,1
1705706190,10,10,10,10,10,10,10,10,10,8,5,32,5,24,8,8,8,8,8,8,8,8,8,8,8,8,24,24,8,16,8,4,6,6,4,4,4,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0
