time,front-end_1,user_2,front-end_3,front-end_4,front-end_5,front-end_6,front-end_7,front-end_8,front-end_9,front-end_10,user_11,front-end_12,front-end_13,user_14,front-end_15,front-end_16,front-end_17,front-end_18,front-end_19,front-end_20,user_21,user_22,user-db_23,orders_24,user_25,front-end_26,payment_27,orders_28,shipping_29,queue-master_30,queue-master_31,queue-master_32,queue-master_33,queue-master_34,front-end_35,front-end_36,user_37,front-end_38,front-end_39,front-end_40,front-end_41,catalogue_42,front-end_43,front-end_44,front-end_45,catalogue_46,front-end_47,carts_48,catalogue_49,payment_50,carts_51,user_52
1705845030,17,17,17,17,17,17,17,17,17,10,10,10,18,72,54,18,18,18,18,10,18,18,0,18,10,10,18,18,18,18,18,54,54,18,36,18,10,10,10,10,10,10,10,10,10,14,14,0,10,10,0,0
1705845045,12,12,12,12,12,12,12,12,12,16,16,16,13,52,39,13,13,13,13,16,13,13,0,13,16,16,13,13,13,13,13,39,39,13,26,13,10,16,16,16,16,16,16,16,16,14,14,0,10,10,0,0
1705845060,13,13,13,13,13,13,13,13,13,18,18,18,16,63,48,16,16,16,16,18,15,15,0,15,18,18,15,15,15,15,15,45,45,15,30,15,10,18,18,18,18,18,18,18,18,14,14,46,10,10,0,0
1705845075,22,22,22,22,22,22,22,22,22,14,14,14,16,65,48,16,16,16,16,14,17,17,0,17,14,14,17,17,17,17,17,51,51,17,34,17,10,14,14,14,14,14,14,14,14,16,16,23,10,10,0,0
1705845090,11,11,11,11,11,11,11,11,11,12,12,12,14,56,42,14,14,14,14,12,14,14,0,14,12,12,14,14,14,14,14,42,42,14,28,14,10,12,12,12,12,12,12,12,12,15,15,46,10,10,0,0
1705845105,13,13,13,13,13,13,13,13,13,17,17,17,12,48,36,12,12,12,12,17,12,12,0,12,17,17,12,12,12,12,12,36,36,12,24,12,10,17,17,17,17,17,17,17,17,14,14,0,10,10,0,0
1705845120,19,19,19,19,19,19,19,19,19,16,16,16,14,56,42,14,14,14,14,16,14,14,0,14,16,16,14,14,14,14,14,42,42,14,28,14,10,16,16,16,16,16,16,16,16,15,15,23,10,10,0,0
1705845135,15,15,15,15,15,15,15,15,15,15,15,15,23,92,69,23,23,23,23,15,23,23,0,23,15,15,23,23,23,23,23,69,69,23,46,23,10,15,15,15,15,15,15,15,15,15,15,0,10,10,0,0
1705845150,15,15,15,15,15,15,15,15,15,15,15,15,12,48,36,12,12,12,12,15,12,12,0,12,15,15,12,12,12,12,12,36,36,12,24,12,10,15,15,15,15,15,15,15,15,19,19,23,10,10,0,0
1705845165,18,18,18,18,18,18,18,18,18,14,14,14,16,63,48,16,16,16,16,14,15,15,0,15,14,14,15,15,15,15,15,45,45,15,30,15,10,14,14,14,14,14,14,14,14,13,13,23,10,10,0,0
1705845180,15,15,15,15,15,15,15,15,15,15,15,15,13,53,39,13,13,13,13,15,14,14,0,14,15,15,14,14,14,14,14,42,42,14,28,14,10,15,15,15,15,15,15,15,15,17,17,0,10,10,0,0
1705845195,14,14,14,14,14,14,14,14,14,18,18,18,15,60,45,15,15,15,15,18,15,15,0,15,18,18,15,15,15,15,15,45,45,15,30,15,10,18,18,18,18,17,17,17,17,16,16,23,10,10,0,0
1705845210,16,16,16,16,16,16,16,16,16,15,15,15,20,80,60,20,20,20,20,15,20,20,0,20,15,15,20,20,20,20,20,60,60,20,40,20,10,15,15,15,15,16,16,16,16,13,13,46,10,10,0,0
1705845225,17,17,17,17,17,17,17,17,17,15,15,15,12,48,36,12,12,12,12,15,12,12,0,12,15,15,12,12,12,12,12,36,36,12,24,12,10,15,15,15,15,15,15,15,15,19,19,23,10,10,0,0
1705845240,15,15,15,15,15,15,15,15,15,15,15,15,18,72,54,18,18,18,18,15,18,18,0,18,15,15,18,18,18,18,18,54,54,18,36,18,10,15,15,15,15,15,15,15,15,12,12,0,10,10,0,0
1705845255,16,16,16,16,16,16,16,16,16,18,18,18,19,76,57,19,19,19,19,18,19,19,0,19,18,18,19,19,19,19,19,57,57,19,38,19,10,18,18,18,18,18,18,18,18,18,18,23,10,10,0,0
1705845270,18,18,18,18,18,18,18,18,18,17,17,17,11,44,33,11,11,11,11,17,11,11,0,11,17,17,11,11,11,11,11,33,33,11,22,11,10,17,17,17,17,17,17,17,17,15,15,23,10,10,0,0
1705845285,13,13,13,13,13,13,13,13,13,18,18,18,18,72,54,18,18,18,18,18,18,18,0,18,18,18,18,18,18,18,18,54,54,18,36,18,10,18,18,18,18,18,18,18,18,18,18,0,10,10,0,0
1705845300,17,17,17,17,17,17,17,17,17,12,12,12,18,72,54,18,18,18,18,12,18,18,0,18,12,12,18,18,18,18,18,54,54,18,36,18,10,12,12,12,12,12,12,12,12,19,19,92,10,10,0,0
1705845315,16,16,16,16,16,16,16,16,16,16,16,16,14,56,42,14,14,14,14,16,14,14,0,14,16,16,14,14,14,14,14,42,42,14,28,14,10,16,16,16,16,16,16,16,16,10,10,23,10,10,0,0
1705845330,15,15,15,15,15,15,15,15,15,16,16,16,13,52,39,13,13,13,13,16,13,13,0,13,16,16,13,13,13,13,13,39,39,13,26,13,10,16,16,16,16,16,16,16,16,18,18,23,10,10,0,0
1705845345,16,16,16,16,16,16,16,16,16,16,16,16,21,84,63,21,21,21,21,16,21,21,0,21,16,16,21,21,21,21,21,63,63,21,42,21,10,16,16,16,16,16,16,16,16,18,18,46,10,10,0,0
1705845360,11,11,11,11,11,11,11,11,11,13,13,13,13,52,39,13,13,13,13,13,13,13,0,13,13,13,13,13,13,13,13,39,39,13,26,13,10,12,12,12,12,12,12,12,12,12,12,23,10,10,0,0
1705845375,19,19,19,19,19,19,19,19,19,13,13,13,11,44,33,11,11,11,11,13,11,11,0,11,13,13,11,11,11,11,11,33,33,11,22,11,10,14,14,14,14,14,14,14,14,18,18,0,10,10,0,0
1705845390,17,17,17,17,17,17,17,17,17,21,21,21,17,68,51,17,17,17,17,21,17,17,0,17,21,21,17,17,17,17,17,51,51,17,34,17,10,21,21,21,21,21,21,21,21,10,10,23,10,10,0,0
1705845405,18,18,18,18,18,18,18,18,18,16,16,16,18,72,54,18,18,18,18,16,18,18,0,18,16,16,18,18,18,18,18,54,54,18,36,18,10,16,16,16,16,16,16,16,16,19,19,23,10,10,0,0
1705845420,12,12,12,12,12,12,12,12,12,15,15,15,18,72,54,18,18,18,18,15,18,18,0,18,15,15,18,18,18,18,18,54,54,18,36,18,10,15,15,15,15,15,15,15,15,15,15,0,10,10,0,0
1705845435,17,17,17,17,17,17,17,17,17,17,17,17,15,60,45,15,15,15,15,17,15,15,0,15,17,17,15,15,15,15,15,45,45,15,30,15,10,16,16,16,16,16,16,16,16,19,19,23,10,10,0,0
1705845450,17,17,17,17,17,17,17,17,17,15,15,15,17,68,51,17,17,17,17,15,17,17,0,17,15,15,17,17,17,17,17,51,51,17,34,17,10,16,16,16,16,16,16,16,16,15,15,69,10,10,0,0
1705845465,14,14,14,14,14,14,14,14,14,16,16,16,15,60,45,15,15,15,15,16,15,15,0,15,16,16,15,15,15,15,15,45,45,15,30,15,10,16,16,16,16,16,16,16,16,17,17,46,10,10,0,0
1705845480,14,14,14,14,14,14,14,14,14,13,13,13,14,56,42,14,14,14,14,13,14,14,0,14,13,13,14,14,14,14,14,42,42,14,28,14,10,13,13,13,13,13,13,13,13,15,15,0,10,10,0,0
1705845495,16,16,16,16,16,16,16,16,16,16,16,16,14,56,42,14,14,14,14,16,14,14,0,14,16,16,14,14,14,14,14,42,42,14,28,14,10,16,16,16,16,16,16,16,16,16,16,0,10,10,0,0
1705845510,19,19,19,19,19,19,19,19,19,14,14,14,18,72,54,18,18,18,18,14,18,18,0,18,14,14,18,18,18,17,17,51,51,17,34,17,10,14,14,14,14,14,14,14,14,14,14,0,10,10,0,0
1705845525,13,13,13,13,13,13,13,13,13,21,21,21,14,56,42,14,14,14,14,21,14,14,0,14,21,21,14,14,14,15,15,45,45,15,30,15,10,21,21,21,21,21,21,21,21,17,17,46,10,10,0,0
1705845540,11,11,11,11,11,11,11,11,11,15,15,15,16,64,48,16,16,16,16,15,16,16,0,16,15,15,16,16,16,16,16,48,48,16,32,16,10,15,15,15,15,15,15,15,15,16,16,23,10,10,0,0
1705845555,14,14,14,14,14,14,14,14,14,11,11,11,16,64,48,16,16,16,16,11,16,16,0,16,11,11,16,16,16,16,16,48,48,16,32,16,10,11,11,11,11,11,11,11,11,13,13,0,10,10,0,0
1705845570,20,20,20,20,20,20,20,20,20,11,11,11,12,48,36,12,12,12,12,11,12,12,0,12,11,11,12,12,12,12,12,36,36,12,24,12,10,11,11,11,11,11,11,11,11,13,13,23,10,10,0,0
1705845585,15,15,15,15,15,15,15,15,15,22,22,22,15,60,45,15,15,15,15,22,15,15,0,15,22,22,15,15,15,15,15,45,45,15,30,15,10,22,22,22,22,22,22,22,22,14,14,23,10,10,0,0
1705845600,16,16,16,16,16,16,16,16,16,13,13,13,16,64,48,16,16,16,16,13,16,16,0,16,13,13,16,16,16,16,16,48,48,16,32,16,10,13,13,13,13,13,13,13,13,16,16,0,10,10,0,0
1705845615,15,15,15,15,15,15,15,15,15,14,14,14,16,64,48,16,16,16,16,14,16,16,0,16,14,14,16,16,16,16,16,48,48,16,32,16,10,14,14,14,14,14,14,14,14,15,15,0,10,10,0,0
1705845630,15,15,15,15,15,15,15,15,15,16,16,16,15,60,45,15,15,15,15,16,15,15,0,15,16,16,15,15,15,15,15,45,45,15,30,15,10,16,15,15,15,15,15,15,15,17,17,0,10,10,0,0
1705845645,16,16,16,16,16,16,16,16,16,17,17,17,16,64,48,16,16,16,16,17,16,16,0,16,17,17,16,16,16,16,16,48,48,16,32,16,10,17,18,18,18,18,18,18,18,16,16,0,10,10,0,0
1705845660,16,16,16,16,16,16,16,16,16,13,13,13,16,64,48,16,16,16,16,13,16,16,0,15,13,13,15,15,15,15,15,45,45,15,30,15,10,13,13,13,13,13,13,13,13,16,16,0,10,10,1,0
1705845675,12,12,12,12,12,12,12,12,12,16,16,16,17,68,51,17,17,17,17,16,17,17,0,18,16,16,18,18,18,18,18,54,54,18,36,18,10,16,16,16,16,16,16,16,16,14,14,0,10,10,0,0
1705845690,16,16,16,16,16,16,16,16,16,15,15,15,11,44,33,11,11,11,11,14,11,11,0,11,14,14,11,11,11,11,11,33,33,11,22,11,10,14,14,14,14,14,14,14,14,18,18,0,10,10,0,0
1705845705,16,16,16,16,16,16,16,16,16,18,18,18,12,48,36,12,12,12,12,19,12,12,0,12,19,19,12,12,12,12,12,36,36,12,24,12,10,19,19,19,19,19,19,19,19,13,13,0,10,10,0,0
1705845720,15,15,15,15,15,15,15,15,15,15,15,15,21,84,63,21,21,21,21,15,21,21,0,21,15,15,21,21,21,21,21,63,63,21,42,21,10,15,15,15,15,15,15,15,15,10,10,23,10,10,0,0
1705845735,15,15,15,15,15,15,15,15,15,13,13,13,15,60,45,15,15,15,15,13,15,15,1,15,13,13,15,15,15,15,15,45,45,15,30,15,10,13,13,13,13,13,13,13,13,23,23,0,10,10,0,0
1705845750,16,16,16,16,16,15,15,15,15,15,15,15,15,60,45,15,15,15,15,15,15,15,0,15,15,15,15,15,15,15,15,45,45,15,30,15,10,14,14,14,14,14,14,14,14,13,13,0,10,10,0,0
1705845765,16,16,16,16,16,17,17,17,17,17,17,17,17,68,51,17,17,17,17,17,17,17,0,17,17,17,17,17,17,17,17,51,51,17,34,17,10,18,18,18,18,18,18,18,18,13,13,0,10,10,0,0
1705845780,12,12,12,12,12,12,12,12,12,16,16,16,14,56,42,14,14,14,14,16,14,14,0,14,16,16,14,14,14,14,14,42,42,14,28,14,10,15,15,15,15,15,15,15,15,15,15,0,10,10,0,0
1705845795,20,20,20,20,20,20,20,20,20,13,13,13,13,52,39,13,13,13,13,13,13,13,0,13,13,13,13,13,13,13,13,39,39,13,26,13,10,14,12,12,12,12,12,12,12,20,20,0,10,10,0,0
1705845810,12,12,12,12,12,12,12,12,12,19,19,19,20,80,60,20,20,20,20,19,20,20,0,20,19,19,20,20,20,20,20,60,60,20,40,20,10,19,21,21,21,21,21,21,21,12,12,0,10,10,2,0
1705845825,17,17,17,17,17,17,17,17,17,14,14,14,13,52,39,13,13,13,13,14,13,13,0,12,14,14,12,12,12,12,12,36,36,12,24,12,10,14,13,13,13,13,13,13,13,19,18,46,10,10,0,0
1705845840,10,10,10,10,10,10,10,10,10,11,11,11,18,72,54,18,18,18,18,11,18,18,0,19,11,11,19,19,18,18,18,54,54,18,36,18,10,11,12,12,12,12,12,12,12,13,14,0,10,10,0,0
1705845855,23,23,23,23,23,23,23,23,23,18,18,18,9,36,27,9,9,9,9,18,9,9,0,9,18,18,9,9,10,10,10,30,30,10,20,10,10,18,17,17,17,17,17,17,16,16,16,0,10,10,0,0
1705845870,15,15,15,15,15,15,15,15,15,18,18,18,20,80,60,20,20,20,20,18,20,20,0,20,18,18,20,20,20,20,20,60,60,20,40,20,10,18,19,19,19,19,19,19,20,12,12,69,10,10,1,0
1705845885,18,18,18,18,18,18,18,18,18,15,15,15,13,52,39,13,13,13,13,15,13,13,0,13,15,15,13,13,13,13,13,39,39,13,26,13,10,15,15,15,15,15,15,15,15,22,22,0,10,10,0,0
1705845900,16,16,16,16,16,16,16,16,16,17,17,17,19,76,57,19,19,19,19,17,19,19,0,19,17,17,19,19,19,19,19,57,57,19,38,19,10,17,17,17,17,17,17,17,17,12,12,0,10,10,0,0
1705845915,12,12,12,12,12,12,12,12,12,16,16,16,16,64,48,16,16,16,16,16,16,16,0,16,16,16,16,16,16,16,16,48,48,16,32,16,10,16,16,16,16,16,16,16,16,14,14,23,10,10,0,0
1705845930,14,14,14,14,14,14,14,14,14,13,13,13,15,60,45,15,15,15,15,13,15,15,0,15,13,13,15,15,15,15,15,45,45,15,30,15,10,13,13,13,13,13,13,13,13,18,18,0,10,10,0,0
1705845945,13,13,13,13,13,13,13,13,13,16,16,16,12,48,36,12,12,12,12,16,12,12,0,12,16,16,12,12,12,12,12,36,36,12,24,12,10,16,16,16,16,16,16,16,16,14,14,0,10,10,0,0
1705845960,18,18,18,18,18,18,18,18,18,17,17,17,16,64,48,16,16,16,16,17,16,16,0,16,17,17,16,16,16,16,16,48,48,16,32,16,10,17,17,17,17,17,17,17,17,11,11,0,10,10,0,0
1705845975,16,16,16,16,16,16,16,16,16,13,13,13,16,64,48,16,16,16,16,13,16,16,0,16,13,13,16,16,16,16,16,48,48,16,32,16,10,13,13,13,13,13,13,13,13,17,17,0,10,10,0,0
1705845990,15,15,15,15,15,15,15,15,15,14,14,14,17,68,51,17,17,17,17,14,17,17,0,17,14,14,17,17,17,17,17,51,51,17,34,17,10,14,14,14,14,14,14,14,14,16,16,0,10,10,0,0
1705846005,13,13,13,13,13,13,13,13,13,19,19,19,14,56,42,14,14,14,14,19,14,14,0,14,19,19,14,14,14,14,14,42,42,14,28,14,10,19,19,19,19,19,19,19,19,17,17,46,10,10,0,0
1705846020,16,16,16,16,16,16,16,16,16,10,10,10,15,60,45,15,15,15,15,10,15,15,0,15,10,10,15,15,15,15,15,45,45,15,30,15,10,10,10,10,10,10,10,10,9,15,15,0,10,10,0,0
1705846035,13,13,13,13,13,13,13,13,13,17,17,17,14,56,42,14,14,14,14,17,14,14,0,14,17,17,14,14,14,14,14,42,42,14,28,14,10,17,17,17,17,17,17,17,18,18,18,23,10,10,0,0
1705846050,17,16,17,17,17,17,17,17,17,11,11,11,17,68,51,17,17,17,17,11,17,17,0,17,11,11,17,17,17,17,17,51,51,17,34,17,10,11,11,11,11,11,11,11,11,13,13,0,10,10,0,1
1705846065,19,19,19,19,19,19,19,19,19,22,22,22,10,40,30,10,10,10,10,22,10,10,0,10,22,22,10,10,10,10,10,30,30,10,20,10,10,22,22,22,22,22,22,22,22,12,12,0,10,10,0,0
1705846080,13,13,13,13,13,13,13,13,13,14,14,14,23,92,69,23,23,23,23,14,23,23,0,23,14,14,23,23,23,23,23,69,69,23,46,23,10,14,14,14,14,14,14,14,14,17,17,46,10,10,0,0
1705846095,15,15,15,15,15,15,15,15,15,15,15,15,14,56,42,14,14,14,14,15,14,14,0,14,15,15,14,14,14,14,14,42,42,14,28,14,10,15,15,15,15,15,15,15,15,17,17,23,10,10,0,0
1705846110,15,15,15,15,15,15,15,15,15,13,13,13,15,60,45,15,15,15,15,13,15,15,0,12,13,13,12,12,12,12,12,36,36,12,24,12,10,13,13,13,13,13,13,13,13,15,15,46,10,10,0,0
1705846125,17,17,17,17,17,17,17,17,17,20,20,20,12,48,36,12,12,12,12,20,12,12,0,15,20,20,15,15,15,15,15,45,45,15,30,15,10,20,20,20,20,20,20,20,20,17,17,0,10,10,0,0
1705846140,13,13,13,13,13,13,13,13,13,12,12,12,19,76,57,19,19,19,19,12,19,19,0,19,12,12,19,19,19,19,19,57,57,19,38,19,10,12,12,12,12,12,12,12,12,11,11,0,10,10,0,0
1705846155,16,16,16,16,16,16,16,16,16,18,17,17,12,48,36,12,12,12,12,17,12,12,0,12,17,17,12,12,12,12,12,36,36,12,24,12,10,17,17,17,17,17,17,17,17,20,20,0,10,10,0,0
1705846170,16,16,16,16,16,15,15,15,15,13,14,14,18,72,54,18,18,18,18,14,18,18,0,18,14,14,18,18,18,18,18,54,54,18,36,18,10,14,14,14,14,14,14,14,14,13,13,0,10,10,0,0
1705846185,17,17,17,17,17,18,18,18,18,14,14,14,16,64,48,16,16,16,16,14,16,16,0,16,14,14,16,16,16,16,16,48,48,16,32,16,10,14,14,14,14,14,14,14,14,17,17,23,10,10,0,0
1705846200,15,15,15,15,15,15,15,15,15,18,18,18,14,56,42,14,14,14,14,18,14,14,0,14,18,18,14,14,14,14,14,42,42,14,28,14,10,18,18,18,18,18,18,18,18,18,18,0,10,10,0,0
1705846215,16,16,16,16,16,16,16,16,16,17,17,17,17,68,51,17,17,17,17,17,17,17,0,17,17,17,17,17,17,17,17,51,51,17,34,17,10,17,17,17,17,17,17,17,17,10,10,0,10,10,0,0
1705846230,14,14,14,14,14,14,14,14,14,17,17,17,13,52,39,13,13,13,13,17,13,13,0,13,17,17,13,13,13,13,13,39,39,13,26,13,10,17,17,17,17,17,17,17,16,17,17,23,10,10,0,0
1705846245,19,19,19,19,19,19,19,19,19,13,13,13,18,72,54,18,18,18,18,13,18,18,0,18,13,13,18,18,18,18,18,54,54,18,36,18,10,13,12,12,12,12,12,12,12,19,19,0,10,10,0,0
1705846260,14,14,14,14,14,14,14,14,14,21,21,21,12,48,36,12,12,12,12,21,12,12,0,12,21,21,12,12,12,12,12,36,36,12,24,12,10,21,22,22,22,22,22,22,23,12,12,0,10,10,0,0
1705846275,15,15,15,15,15,15,15,15,15,11,11,11,23,92,69,23,23,23,23,11,23,23,0,23,11,11,23,23,23,23,23,69,69,23,46,23,10,11,11,11,11,11,11,11,11,18,18,0,10,10,0,0
1705846290,11,11,11,11,11,11,11,11,11,10,10,10,7,28,21,7,7,7,7,10,7,7,0,7,10,10,7,7,7,7,7,21,21,7,14,7,4,10,10,10,10,10,10,10,10,10,10,0,6,6,0,0
