time,front-end_1,front-end_2,user_3,front-end_4,front-end_5,user_6,front-end_7,front-end_8,front-end_9,front-end_10,front-end_11,catalogue_12,front-end_13,front-end_14,front-end_15,user_16,front-end_17,front-end_18,front-end_19,front-end_20,front-end_21,front-end_22,front-end_23,catalogue_24,payment_25,catalogue_26,front-end_27,user_28,front-end_29,user_30,front-end_31,front-end_32,front-end_33,front-end_34,front-end_35,user_36,user_37,orders_38,payment_39,orders_40,shipping_41,queue-master_42,queue-master_43,queue-master_44,queue-master_45,queue-master_46,front-end_47,front-end_48,carts_49,orders_50,orders_51,front-end_52,front-end_53,user_54
1705729680,20,19,19,19,19,19,19,19,19,19,19,20,20,20,16,16,16,16,16,16,16,16,16,10,10,14,14,10,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,0,0,0,0,0,0
1705729695,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,10,10,14,14,10,21,84,63,21,21,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,0,0,0,0,0,0
1705729710,15,15,15,15,15,15,15,15,15,15,15,15,15,15,20,20,20,20,20,20,20,20,20,10,10,15,15,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,46,0,0,0,0,0
1705729725,19,19,19,19,19,19,19,19,19,19,19,19,19,19,11,11,11,11,11,11,11,11,11,10,10,15,15,10,13,49,37,13,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,0,0,0,0,0,0
1705729740,14,14,14,14,14,14,14,14,14,14,14,14,14,14,17,17,17,17,17,17,17,17,17,10,10,14,14,10,17,71,53,17,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,23,0,0,0,0,0
1705729755,13,14,14,14,14,13,13,13,13,13,13,13,13,13,16,16,16,16,16,16,16,16,16,10,10,18,18,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,46,0,0,0,0,0
1705729770,19,18,18,18,18,19,19,19,19,19,19,19,19,19,14,14,14,14,14,14,14,14,14,10,10,14,14,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,46,0,0,0,0,0
1705729785,11,11,11,11,11,11,11,11,11,11,11,11,11,11,18,18,18,18,18,18,18,18,18,10,10,19,19,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,0,0,0,0,0,0
1705729800,19,19,19,19,19,19,19,19,19,19,19,19,19,19,17,17,17,17,17,17,17,17,17,10,10,12,12,10,8,32,24,8,8,8,8,8,8,8,8,8,8,8,8,24,24,8,16,8,23,0,0,0,0,0
1705729815,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,13,13,13,13,13,13,13,13,10,10,15,15,10,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,0,0,0,0,0,0
1705729830,18,18,18,18,18,18,18,18,18,18,18,18,18,18,15,15,15,15,15,15,15,15,15,10,10,18,18,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,23,0,0,0,0,0
1705729845,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,10,10,16,16,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,23,0,0,0,0,0
1705729860,16,16,16,16,16,16,16,16,16,16,16,16,16,16,20,20,20,20,20,20,20,20,20,10,10,13,13,10,9,36,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,9,18,9,46,0,0,0,0,0
1705729875,20,20,20,20,20,20,20,20,20,20,20,20,20,20,14,14,14,14,14,14,14,14,14,10,10,12,12,10,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,0,0,0,0,0,0
1705729890,12,12,12,12,12,12,12,12,12,12,12,12,12,12,17,17,17,17,17,17,17,17,17,10,10,24,24,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,23,0,0,0,0,0
1705729905,17,18,18,18,18,18,18,17,17,17,17,17,17,17,16,16,16,16,16,16,16,16,16,10,10,12,12,10,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,0,0,0,0,0,0
1705729920,15,14,14,14,14,14,14,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,10,10,12,12,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,0,0,0,0,0,0
1705729935,17,17,17,17,17,17,17,17,17,17,17,17,17,17,14,14,14,14,14,14,14,14,14,10,10,20,20,10,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,0,0,0,0,0,0
1705729950,12,12,12,12,12,12,12,12,12,12,12,12,12,12,19,19,19,19,19,19,19,19,19,10,10,15,15,10,14,56,42,14,14,14,14,14,14,13,13,13,13,13,13,39,39,13,26,13,0,0,0,0,0,0
1705729965,17,17,17,17,17,17,17,17,17,17,17,17,17,17,11,11,11,11,11,11,11,11,11,10,10,14,14,10,18,72,54,18,18,18,18,18,18,19,19,19,19,19,19,57,57,19,38,19,0,0,0,0,0,0
1705729980,12,12,12,12,12,12,12,12,12,12,12,12,12,12,15,15,15,15,15,14,14,14,14,10,10,19,19,10,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,0,0,0,0,0,0
1705729995,16,16,16,16,16,16,16,16,16,16,16,16,16,16,13,13,13,13,13,14,14,14,14,10,10,12,12,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,0,0,0,0,0,0
1705730010,14,15,15,15,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,10,10,13,13,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,0,0,0,0,0,0
1705730025,18,17,17,17,17,17,17,17,17,17,17,17,17,17,20,20,20,20,20,20,20,20,20,10,10,12,12,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,23,0,0,0,0,0
1705730040,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,10,10,10,10,10,10,10,10,10,10,19,19,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,0,0,0,0,0,0
1705730055,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,10,10,22,22,10,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,23,0,0,0,0,0
1705730070,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,13,13,13,13,13,13,13,13,10,10,10,10,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,46,0,0,0,0,0
1705730085,18,18,18,18,18,18,18,18,18,18,18,18,18,18,19,19,19,19,19,19,19,19,19,10,10,10,10,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,23,0,0,0,0,0
1705730100,17,18,18,18,18,18,18,18,18,18,18,18,18,18,17,17,17,17,17,17,17,17,17,10,10,18,18,10,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,46,0,0,0,0,0
1705730115,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,10,18,18,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,0,0,0,0,0,0
1705730130,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,12,12,12,12,12,12,12,12,10,10,16,16,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,23,0,0,0,0,0
1705730145,10,10,10,10,10,10,10,10,10,10,10,10,10,10,17,17,17,17,17,17,17,17,17,10,10,14,14,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,0,0,0,0,0,0
1705730160,22,22,22,22,22,22,22,22,22,22,22,22,22,22,20,20,20,20,20,20,20,20,20,10,10,12,12,10,13,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,23,0,0,0,0,0
1705730175,14,14,14,14,14,14,14,14,14,14,14,14,14,14,9,9,9,9,9,9,9,9,9,10,10,19,19,10,22,92,69,23,23,23,23,23,23,23,23,23,23,23,23,69,69,23,46,23,0,0,0,0,0,0
1705730190,12,12,12,12,12,12,12,12,12,12,12,12,12,12,18,18,18,18,18,18,18,18,18,10,10,19,19,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,23,0,0,0,0,0
1705730205,17,17,17,17,17,17,17,17,17,17,17,17,17,17,20,20,20,20,20,20,20,20,20,10,10,10,10,10,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,46,0,0,0,0,0
1705730220,19,19,19,19,19,19,19,19,19,19,19,19,19,19,11,11,11,11,11,11,11,11,11,10,10,14,14,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,0,0,0,0,0,0
1705730235,13,13,13,13,13,13,13,13,13,13,13,13,13,13,11,11,11,11,11,11,11,11,11,10,10,17,17,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,0,0,0,0,0,0
1705730250,10,14,14,14,14,14,14,14,11,11,11,11,11,11,20,20,20,20,20,19,19,19,19,10,10,17,17,10,9,36,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,9,18,9,23,0,0,0,0,0
1705730265,21,18,18,18,18,18,18,18,21,21,21,21,21,21,19,19,19,19,19,20,20,20,20,10,10,8,8,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,0,0,0,0,0,0
1705730280,12,11,11,11,11,11,11,11,11,11,11,11,11,11,9,9,9,9,9,7,7,7,7,10,10,18,18,10,22,88,66,22,22,22,22,22,22,21,21,21,21,21,21,63,63,21,42,21,46,0,0,0,0,0
1705730295,13,15,15,15,15,15,15,15,15,15,15,15,15,15,17,17,17,17,17,18,18,18,18,10,10,21,21,10,8,32,24,8,8,8,8,8,8,9,9,9,9,9,9,27,27,9,18,9,0,0,0,0,0,0
1705730310,12,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,16,16,16,10,10,6,6,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,0,0,0,0,0,0
1705730325,22,17,17,17,17,17,17,17,17,17,17,17,17,17,12,12,12,12,12,12,12,12,12,10,10,17,17,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,0,0,0,0,0,0
1705730340,10,14,14,14,14,14,14,14,12,12,12,12,12,12,14,14,14,14,14,12,12,12,12,10,10,13,13,10,20,80,60,20,20,20,20,20,20,19,19,19,19,19,19,57,57,19,38,19,23,0,0,0,0,0
1705730355,14,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,11,11,11,10,10,20,20,10,13,52,39,13,13,13,13,13,13,14,14,14,14,14,14,42,42,14,28,14,0,0,0,0,0,0
1705730370,8,12,12,12,12,12,12,12,12,12,12,12,12,12,15,15,15,15,15,18,18,18,18,10,10,12,12,10,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,46,0,0,0,0,0
1705730385,21,19,19,19,19,19,19,19,20,20,20,20,20,20,17,17,17,17,17,16,16,16,16,10,10,10,10,10,13,52,39,13,13,13,13,13,13,11,11,11,11,11,11,33,33,11,22,11,23,0,0,0,0,0
1705730400,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,10,14,14,10,17,68,51,17,17,17,17,17,17,18,18,18,18,18,18,54,54,18,36,18,0,0,0,0,0,0
1705730415,13,14,14,14,14,14,13,13,12,12,12,12,12,12,14,14,14,14,14,15,15,15,15,10,10,19,19,10,14,56,42,14,14,14,14,14,14,15,15,15,15,15,15,45,45,15,30,15,0,0,0,0,0,0
1705730430,16,14,14,14,14,14,15,15,16,16,16,16,16,16,15,15,15,15,15,14,14,14,14,10,10,13,13,10,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,46,0,0,0,0,0
1705730445,13,14,14,14,14,14,14,14,14,14,14,14,14,14,12,12,12,12,12,13,13,13,13,10,10,14,14,10,18,72,54,18,18,18,18,18,18,17,17,17,17,17,17,51,51,17,34,17,23,0,0,0,0,0
1705730460,14,13,13,13,13,13,13,13,13,13,13,13,13,13,18,18,18,18,18,17,17,17,17,10,10,15,15,10,11,44,33,11,11,11,11,11,11,12,12,12,12,12,12,36,36,12,24,12,46,0,0,0,0,0
1705730475,14,14,14,14,14,14,14,14,15,15,15,15,15,15,13,13,13,13,13,13,13,13,13,10,10,13,13,10,18,72,54,18,18,18,18,18,18,17,17,17,17,17,17,51,51,17,34,17,0,0,0,0,0,0
1705730490,18,18,18,18,18,18,18,18,17,17,17,17,17,17,16,16,16,16,16,17,17,17,17,10,10,14,14,10,9,36,27,9,9,9,9,9,9,10,10,10,10,10,10,30,30,10,20,10,23,0,0,0,0,0
1705730505,13,13,13,13,13,13,13,13,14,14,14,14,14,14,13,13,13,13,13,12,12,12,12,10,10,18,18,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,23,0,0,0,0,0
1705730520,15,14,14,14,14,14,14,14,13,13,13,13,13,13,20,20,20,20,20,21,21,21,21,10,10,11,11,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,0,0,0,0,0,0
1705730535,15,15,15,15,15,15,15,15,15,15,15,15,15,15,11,11,11,11,11,10,10,10,10,10,10,15,15,10,15,60,45,15,15,15,15,15,15,14,14,14,14,14,14,42,42,14,28,14,46,0,0,0,0,0
1705730550,13,14,14,14,14,14,14,14,14,14,14,14,14,14,13,13,13,13,13,13,13,13,13,10,10,19,19,10,13,52,39,13,13,13,13,13,13,14,14,14,14,14,14,42,42,14,28,14,0,0,0,0,0,0
1705730565,16,15,15,15,15,15,15,15,16,16,15,15,15,15,11,11,11,11,11,11,11,11,11,10,10,9,9,10,13,52,39,13,13,13,13,13,13,12,12,12,12,12,12,36,36,12,24,12,0,71,1,2,1,0
1705730580,12,14,14,14,14,14,14,14,13,13,14,14,14,14,19,19,19,19,19,19,19,19,19,10,10,15,15,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,0,0,0,0,0,0
1705730595,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,10,10,10,10,10,10,10,10,10,10,13,13,10,16,64,48,16,16,16,16,16,16,15,15,15,15,15,15,45,45,15,30,15,46,0,0,0,0,0
1705730610,14,15,15,15,15,15,15,15,16,16,16,16,16,16,12,12,12,12,12,13,13,13,13,10,10,18,18,10,12,48,36,12,12,12,12,12,12,13,13,13,13,13,13,39,39,13,26,13,46,0,0,0,0,0
1705730625,13,11,11,11,11,11,11,11,11,11,11,11,11,11,21,21,21,21,21,20,20,20,20,10,10,11,11,10,12,47,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,0,0,0,0,0,1
1705730640,19,18,18,18,18,18,18,18,18,18,18,18,18,18,7,7,7,7,7,8,8,8,8,10,10,14,14,10,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,46,0,0,0,0,0
1705730655,8,7,7,7,7,7,7,7,7,7,7,7,7,7,17,17,17,17,17,17,17,17,17,10,10,16,16,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,0,0,0,0,0,0
1705730670,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,19,19,19,19,10,10,11,11,10,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,23,0,0,0,0,0
1705730685,14,14,14,14,14,14,14,14,13,13,13,13,13,13,8,8,8,8,8,8,8,8,8,10,10,13,12,10,22,88,66,22,22,22,22,22,22,22,21,21,21,21,21,63,63,21,42,21,0,0,0,0,0,0
1705730700,11,12,12,12,12,12,12,12,11,11,11,11,11,11,18,18,18,18,18,18,18,18,18,10,10,22,23,10,10,40,30,10,10,10,10,10,10,9,10,10,10,10,10,30,30,10,20,10,0,0,0,0,0,0
1705730715,18,20,20,20,20,20,20,20,19,19,19,19,19,19,13,13,13,13,13,14,14,14,14,10,10,9,9,10,10,40,30,10,10,10,10,10,10,11,11,11,11,11,11,33,33,11,22,11,0,0,0,0,0,0
1705730730,16,13,13,13,12,12,12,12,15,15,15,15,15,15,12,12,12,12,12,10,10,10,10,10,10,17,17,10,23,92,69,23,23,23,23,23,23,22,22,22,22,22,22,66,66,22,44,22,23,0,0,0,0,0
1705730745,8,10,10,10,11,11,11,11,8,8,8,8,8,8,15,15,15,15,15,16,16,16,16,10,10,14,14,10,11,44,33,11,11,11,11,11,11,12,12,12,12,12,12,36,36,12,24,12,0,0,0,0,0,0
1705730760,16,18,18,18,18,18,18,18,18,18,18,18,18,18,15,15,15,15,15,15,15,15,15,10,10,12,12,10,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,0,0,0,0,0,0
1705730775,16,14,14,14,14,14,14,14,16,16,16,16,16,16,14,14,14,14,14,15,15,15,15,10,10,16,16,10,18,72,54,18,18,18,18,18,18,17,17,17,17,17,17,51,51,17,34,17,0,0,0,0,0,0
1705730790,12,10,10,10,10,10,10,10,10,10,10,10,10,10,13,13,13,13,13,12,12,12,12,10,10,16,16,10,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,0,71,1,2,1,0
1705730805,17,16,16,16,16,16,16,16,17,17,17,17,17,17,14,14,14,14,14,15,15,15,15,10,10,12,12,10,12,48,36,12,12,12,12,12,12,11,11,11,11,11,11,33,33,11,22,11,46,0,0,0,0,0
1705730820,14,14,14,14,14,14,14,14,14,14,14,14,14,14,17,17,17,17,17,17,17,17,17,10,10,13,13,10,14,56,42,14,14,14,14,14,14,15,15,15,15,15,15,45,45,15,30,15,23,0,0,0,0,0
1705730835,15,18,18,18,18,18,18,18,17,17,17,17,17,17,11,11,11,11,11,10,10,10,10,10,10,14,14,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,0,0,0,0,0,0
1705730850,11,11,11,11,11,11,11,10,10,10,10,10,10,10,12,12,12,12,12,13,13,13,13,10,10,17,17,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,0,0,0,0,0,0
1705730865,14,11,11,11,11,11,11,12,13,13,13,13,13,13,18,18,18,18,18,16,16,16,16,10,10,14,14,10,9,36,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,9,18,9,0,0,0,0,0,0
1705730880,18,18,18,18,18,18,18,18,18,18,18,18,18,18,16,16,16,16,16,17,17,17,17,10,10,8,8,10,14,56,42,14,14,14,14,14,14,13,13,13,13,13,13,39,39,13,26,13,0,0,0,0,0,0
1705730895,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,9,9,9,9,10,10,20,20,10,20,80,60,20,20,20,20,20,20,21,21,21,21,21,21,63,63,21,42,21,0,0,0,0,0,0
1705730910,14,16,16,16,16,16,16,16,15,15,15,15,15,15,15,15,15,15,15,17,17,17,17,10,10,17,17,10,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,0,0,0,0,0,0
1705730925,18,16,16,16,16,16,16,16,17,17,17,17,17,17,16,16,16,16,16,15,15,15,15,10,10,7,7,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,0,0,0,0,0,0
1705730940,13,13,13,13,13,13,13,13,13,13,13,13,13,13,15,15,15,15,15,16,16,16,16,10,10,17,17,10,19,76,57,19,19,19,19,19,19,18,18,18,18,18,18,54,54,18,36,18,0,0,0,0,0,0
1705730955,16,15,15,15,15,15,15,15,15,15,15,15,15,15,14,14,14,14,14,14,14,14,14,10,10,16,16,10,14,56,42,14,14,14,14,14,14,15,15,15,15,15,15,45,45,15,30,15,0,0,0,0,0,0
1705730970,13,13,13,13,13,13,13,13,13,13,13,13,13,13,19,19,19,19,19,19,19,19,19,8,8,12,12,10,9,36,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,9,18,9,0,0,0,0,0,0
