time,catalogue_1,front-end_2,front-end_3,user_4,front-end_5,front-end_6,user_7,front-end_8,front-end_9,front-end_10,front-end_11,front-end_12,catalogue_13,front-end_14,front-end_15,front-end_16,front-end_17,user_18,front-end_19,front-end_20,front-end_21,front-end_22,front-end_23,user_24,user_25,orders_26,payment_27,orders_28,shipping_29,queue-master_30,queue-master_31,queue-master_32,queue-master_33,queue-master_34,front-end_35,front-end_36,front-end_37,user_38,front-end_39,front-end_40,front-end_41,front-end_42,front-end_43,front-end_44,front-end_45,catalogue_46,payment_47,carts_48,user_49,orders-db_50,carts_51
1705595700,13,13,20,20,20,20,20,20,20,20,20,20,20,20,20,20,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,16,16,16,16,16,16,16,16,16,10,10,23,10,0,0
1705595715,18,18,15,15,15,15,15,15,15,15,15,15,15,15,15,15,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,14,14,14,14,14,14,14,14,14,10,10,23,10,0,0
1705595730,17,17,12,12,12,12,12,12,12,12,12,12,12,12,12,12,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,14,14,14,14,14,14,14,14,14,10,10,23,10,0,0
1705595745,11,11,19,19,19,19,19,19,19,19,19,19,19,19,19,19,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,20,20,20,20,20,20,20,20,20,10,10,46,10,0,0
1705595760,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,15,15,15,15,15,15,15,15,15,10,10,23,10,0,0
1705595775,22,22,14,14,14,13,13,13,13,13,13,13,13,13,13,13,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,10,10,10,10,10,10,10,10,10,0,10,0,0
1705595790,14,14,10,10,10,11,11,11,11,11,11,11,11,11,11,11,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,17,17,17,17,17,17,17,17,17,10,10,0,10,0,0
1705595805,12,12,25,25,25,25,25,25,25,25,25,25,25,25,25,25,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,21,21,21,21,21,21,21,21,21,10,10,46,10,0,0
1705595820,15,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,24,96,72,24,24,24,24,24,24,24,24,24,24,24,24,72,72,24,48,24,14,14,14,14,14,14,14,14,14,10,10,0,10,0,0
1705595835,20,20,11,11,11,11,11,11,11,11,11,11,11,11,11,11,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,8,8,8,8,8,8,8,8,8,10,10,0,10,0,0
1705595850,16,16,14,14,14,14,14,14,14,14,14,14,14,14,14,14,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,19,19,19,19,19,19,19,19,19,10,10,0,10,0,0
1705595865,9,9,18,18,18,18,18,18,18,18,18,18,18,18,18,18,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,14,14,14,14,14,14,14,14,14,10,10,0,10,0,0
1705595880,19,19,15,15,15,15,15,15,15,15,15,15,15,15,15,15,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,16,16,16,16,16,16,16,16,16,10,10,0,10,0,0
1705595895,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,17,17,17,17,17,17,17,17,17,10,10,0,10,0,0
1705595910,15,15,20,20,21,21,21,21,21,21,21,21,21,21,21,21,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,12,12,12,12,12,12,12,12,12,10,10,23,10,0,0
1705595925,16,16,12,12,12,12,12,12,12,12,12,12,12,12,12,12,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,11,11,11,11,11,11,11,11,11,10,10,23,10,0,0
1705595940,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,17,17,17,17,17,17,17,17,17,10,10,46,10,0,0
1705595955,13,13,19,19,19,19,19,19,19,19,19,19,19,19,19,19,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,20,20,20,20,20,20,20,20,20,10,10,0,10,0,0
1705595970,19,19,11,11,11,11,11,11,11,11,11,11,11,11,11,11,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,9,9,9,9,9,9,9,9,9,10,10,0,10,0,0
1705595985,16,16,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,15,15,15,15,15,15,15,15,15,10,10,23,10,0,0
1705596000,11,11,19,19,19,19,19,19,19,19,19,19,19,19,19,19,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,20,20,20,20,20,20,20,20,20,10,10,23,10,0,0
1705596015,15,15,20,20,20,20,20,20,20,20,20,20,20,20,20,20,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,14,14,14,14,14,14,14,14,14,10,10,46,10,0,0
1705596030,20,20,11,11,11,11,11,11,11,11,11,11,11,11,11,11,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,17,17,17,17,17,17,17,17,17,10,10,0,10,0,0
1705596045,12,12,16,16,16,16,16,16,16,16,16,16,16,16,16,16,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,12,12,12,12,12,12,12,12,12,10,10,0,10,0,0
1705596060,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,18,18,18,18,18,18,18,18,18,10,10,23,10,0,0
1705596075,16,16,17,17,17,17,17,17,16,16,16,16,16,16,16,16,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,15,15,15,15,15,15,15,15,15,10,10,0,10,0,0
1705596090,17,17,12,12,12,12,12,12,13,13,13,13,13,13,13,13,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,14,14,14,14,14,14,14,14,14,10,10,0,10,0,0
1705596105,11,11,18,18,18,18,18,18,18,18,18,18,18,18,18,18,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,20,20,20,20,20,20,20,20,20,10,10,23,10,0,0
1705596120,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,12,12,12,12,12,12,12,12,12,10,10,0,10,0,0
1705596135,19,19,11,11,11,11,11,11,11,11,11,11,11,11,11,11,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,8,8,8,8,8,8,8,8,8,10,10,0,10,0,0
1705596150,14,14,9,9,9,9,9,9,9,9,9,9,9,9,9,9,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,36,36,12,24,12,15,15,15,15,15,15,15,15,15,10,10,0,10,0,0
1705596165,11,11,19,19,19,19,19,19,19,19,19,19,19,19,19,19,8,32,24,8,8,8,8,8,8,8,8,8,8,8,8,27,27,9,18,9,21,21,21,21,21,21,21,21,21,10,10,0,10,0,0
1705596180,14,14,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,11,11,11,11,11,11,11,11,11,10,10,0,10,4,0
1705596195,18,18,14,14,14,14,14,14,14,14,14,14,14,14,14,14,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,20,20,20,20,20,20,20,20,20,10,10,0,10,0,0
1705596210,11,11,18,18,18,18,18,18,18,18,18,18,18,18,18,18,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,15,15,15,15,15,15,15,15,15,10,10,23,10,0,0
1705596225,22,22,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,9,9,9,9,9,9,9,9,9,10,10,23,10,0,0
1705596240,14,14,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,17,17,17,17,17,17,17,17,17,10,10,46,10,0,0
1705596255,10,10,25,25,25,25,25,25,25,25,25,25,25,25,25,25,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,23,23,23,23,23,23,23,23,23,10,10,0,10,0,0
1705596270,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,23,92,69,23,23,23,23,23,23,23,23,23,23,23,23,69,69,23,46,23,9,9,9,9,9,9,9,9,9,10,10,0,10,0,0
1705596285,22,22,11,11,11,11,11,11,11,11,11,11,11,11,11,11,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,18,18,18,18,18,18,18,18,18,10,10,46,10,0,0
1705596300,11,11,18,18,18,18,18,18,18,18,18,18,18,18,18,18,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,16,16,16,16,16,16,16,16,16,10,10,0,10,0,0
1705596315,18,18,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,14,14,14,14,14,14,14,14,14,10,10,23,10,0,0
1705596330,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,17,17,17,17,17,17,17,17,17,10,10,0,10,0,0
1705596345,11,11,15,15,15,15,15,15,15,14,14,14,14,14,14,13,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,14,14,14,14,14,14,14,14,14,10,10,0,10,0,0
1705596360,15,15,12,12,12,12,12,12,12,13,13,13,13,13,13,14,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,16,16,16,16,16,16,16,16,16,10,10,0,10,0,0
1705596375,12,12,16,16,16,16,16,16,16,16,16,16,16,16,16,16,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,14,14,14,14,14,14,14,14,14,10,10,0,10,0,0
1705596390,21,21,17,17,17,17,17,17,17,17,17,17,17,17,17,17,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,16,16,16,16,16,16,16,16,16,10,10,23,10,0,1
1705596405,17,17,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,14,14,14,14,14,14,14,14,14,10,10,0,10,0,0
1705596420,12,12,17,17,17,17,17,17,17,17,17,17,17,17,17,17,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,14,14,14,14,14,14,14,14,14,10,10,23,10,0,0
1705596435,13,13,19,19,19,18,18,18,18,17,17,17,17,17,17,17,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,23,23,23,23,23,23,23,23,23,10,10,0,10,0,0
1705596450,17,17,10,10,10,11,11,11,11,12,12,12,12,12,12,12,23,92,69,23,23,23,23,23,23,23,23,23,23,23,23,69,69,23,46,23,8,8,8,8,8,8,8,8,8,10,10,0,10,0,0
1705596465,20,20,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,18,18,18,18,18,18,18,18,18,10,10,23,10,0,0
1705596480,8,8,18,18,18,18,18,18,18,18,18,18,18,18,18,18,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,15,15,15,15,15,15,15,15,15,10,10,23,10,0,0
1705596495,18,18,21,21,21,21,21,21,21,21,21,21,21,21,21,21,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,13,13,13,13,13,13,13,13,13,10,10,0,10,0,0
1705596510,17,17,6,6,6,6,6,6,6,6,6,6,6,6,6,6,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,12,12,12,12,12,12,12,12,12,10,10,23,10,0,0
1705596525,13,13,17,17,17,17,17,17,17,17,17,17,17,17,17,17,7,28,21,7,7,7,7,7,7,7,7,7,7,7,7,21,21,7,14,7,18,18,18,18,18,18,18,18,18,10,10,0,10,0,0
1705596540,13,13,19,19,19,19,19,19,19,19,19,19,19,19,19,19,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,18,18,18,18,18,18,18,18,18,10,10,0,10,0,0
1705596555,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,8,8,8,8,8,8,8,8,8,10,10,46,10,0,0
1705596570,19,19,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,20,20,20,20,20,20,20,20,20,10,10,0,10,0,0
1705596585,11,11,18,18,18,18,18,18,18,18,18,18,18,18,18,18,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,17,17,17,17,17,16,16,16,16,10,10,0,10,0,0
1705596600,19,19,15,15,15,15,15,15,15,15,15,15,15,15,15,14,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,34,17,16,16,16,16,16,17,17,17,16,10,10,0,10,0,0
1705596615,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,15,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,30,15,16,16,16,16,16,16,16,16,17,10,10,23,10,0,0
1705596630,17,17,14,14,14,14,14,14,14,14,14,14,14,14,14,14,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,13,13,13,13,13,13,13,13,13,10,10,0,10,0,0
1705596645,19,19,18,18,18,18,18,18,18,18,18,18,18,18,18,18,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,13,13,13,13,13,13,13,13,13,10,10,23,10,0,0
1705596660,13,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,18,18,18,18,18,18,18,18,18,10,10,23,10,0,0
1705596675,12,12,21,21,21,21,21,21,21,21,21,21,21,21,21,21,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,18,18,18,18,18,18,18,18,18,10,10,23,10,0,0
1705596690,17,17,13,13,13,13,13,13,13,13,13,13,13,13,13,13,23,92,69,23,23,23,23,23,23,23,23,23,23,23,23,69,69,23,46,23,12,12,12,12,12,12,12,12,12,10,10,23,10,0,0
1705596705,19,19,18,18,18,18,18,18,18,18,18,17,17,17,17,17,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,20,20,20,20,20,20,20,20,20,10,10,69,10,0,0
1705596720,9,9,14,14,14,14,14,14,14,14,14,15,15,15,15,15,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,14,14,14,14,14,14,14,14,14,10,10,0,10,0,0
1705596735,22,22,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,18,18,18,18,18,18,18,18,18,10,10,0,10,0,0
1705596750,11,11,21,21,21,21,21,21,21,21,21,21,21,21,21,21,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,15,15,15,15,15,15,15,15,15,10,10,0,10,0,0
1705596765,22,22,16,16,16,16,16,16,16,16,16,16,16,16,16,16,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,15,15,15,15,15,15,15,15,15,10,10,0,10,0,0
1705596780,14,14,10,10,10,10,10,10,10,10,10,10,10,10,10,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,14,14,14,14,14,14,14,14,14,10,10,23,10,0,0
1705596795,13,13,21,21,21,21,21,21,21,21,21,21,21,21,21,21,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,18,18,18,18,18,18,18,18,18,10,10,0,10,0,0
1705596810,15,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,15,15,15,15,15,15,15,15,15,10,10,23,10,0,0
1705596825,18,18,15,15,15,15,15,15,15,15,15,15,15,15,15,15,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,15,15,15,15,15,15,15,15,15,10,10,0,10,0,0
1705596840,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,14,14,14,14,14,14,14,14,14,10,10,0,10,0,0
1705596855,13,13,18,18,18,18,18,18,18,18,18,18,18,18,18,18,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,20,20,20,20,20,20,20,20,20,10,10,0,10,0,0
1705596870,18,18,13,13,13,13,13,13,13,13,13,13,13,13,13,13,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,11,11,11,11,11,11,11,11,11,10,10,0,10,0,0
1705596885,16,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,14,14,14,14,14,14,14,14,14,10,10,0,10,0,0
