time,front-end_1,user_2,front-end_3,front-end_4,front-end_5,front-end_6,front-end_7,user_8,user_9,orders_10,payment_11,orders_12,shipping_13,catalogue_14,queue-master_15,queue-master_16,queue-master_17,queue-master_18,queue-master_19,front-end_20,front-end_21,front-end_22,front-end_23,user_24,front-end_25,front-end_26,front-end_27,front-end_28,front-end_29,front-end_30,front-end_31,front-end_32,user_33,front-end_34,front-end_35,user_36,front-end_37,payment_38,front-end_39,front-end_40,front-end_41,front-end_42,catalogue_43,front-end_44,front-end_45,front-end_46,user_47,catalogue_48,carts_49,user_50,user_51,user_52
1705650105,10,40,30,10,10,10,10,10,10,10,10,10,10,7,10,10,30,30,10,7,20,10,12,12,12,12,12,15,15,15,15,12,12,12,12,12,12,10,12,13,13,13,13,13,13,12,10,10,0,0,0,0
1705650120,17,68,51,17,17,17,17,17,17,15,15,15,15,13,15,15,45,45,15,13,30,15,5,5,5,5,5,8,8,8,8,12,12,12,12,12,12,10,12,15,15,15,15,15,15,19,10,10,46,0,0,0
1705650135,17,68,51,17,17,17,17,17,17,17,17,17,17,16,17,17,51,51,17,16,34,17,12,12,12,12,12,12,12,12,12,9,9,9,9,9,9,10,9,10,10,10,10,10,10,13,10,10,0,0,0,0
1705650150,10,39,28,10,10,9,9,9,9,11,11,11,11,19,11,11,33,33,11,19,22,11,18,18,18,18,18,12,12,12,12,12,12,12,12,12,12,10,12,11,11,11,11,11,11,9,10,10,0,0,0,0
1705650165,10,41,32,10,10,11,11,11,11,10,10,10,10,6,10,10,30,30,10,6,20,10,15,15,15,15,15,16,16,16,16,17,17,17,17,17,17,10,17,15,15,15,15,15,15,12,10,10,23,0,0,0
1705650180,14,56,42,14,14,14,14,14,14,14,14,14,14,12,14,14,42,42,14,12,28,14,10,10,10,10,10,12,12,12,12,13,13,13,13,13,13,10,12,14,14,14,14,14,14,13,10,10,0,0,0,0
1705650195,13,52,39,13,13,13,13,13,13,13,13,13,13,14,13,13,39,39,13,14,26,13,14,14,14,14,14,12,12,12,12,12,12,12,12,12,12,10,13,13,13,13,13,13,13,16,10,10,0,0,0,0
1705650210,13,52,39,13,13,13,13,13,13,14,14,14,14,15,14,14,42,42,14,15,28,14,14,14,14,14,14,14,14,14,14,16,16,16,16,16,16,10,16,15,15,15,15,15,15,15,10,10,0,0,0,0
1705650225,16,64,48,16,16,16,16,16,16,16,16,16,16,14,16,16,48,48,16,14,32,16,12,12,12,12,12,14,14,14,14,13,13,13,13,13,13,10,13,11,11,11,11,11,11,11,10,10,0,0,0,0
1705650240,11,44,33,11,11,11,11,11,11,11,11,11,11,14,11,11,33,33,11,14,22,11,13,13,13,13,13,14,14,14,14,11,11,11,11,11,11,10,11,15,15,15,15,15,15,16,10,10,0,0,0,0
1705650255,15,60,45,15,15,15,15,15,15,14,14,14,14,10,14,14,42,42,14,10,28,14,11,11,11,11,11,12,12,12,12,14,14,14,14,14,14,10,14,14,14,14,14,14,14,14,10,10,0,0,0,0
1705650270,15,60,45,15,15,15,15,15,15,16,16,16,16,16,16,16,48,48,16,16,32,16,14,14,14,14,14,14,14,14,14,10,10,10,10,10,10,10,10,9,9,9,9,9,9,11,10,10,23,0,0,0
1705650285,12,48,36,12,12,12,12,12,12,12,12,12,12,14,12,12,36,36,12,14,24,12,11,11,11,11,11,12,12,12,12,13,13,13,13,13,13,10,12,13,13,13,13,13,13,14,10,10,0,0,0,0
1705650300,13,52,39,13,13,13,13,13,13,11,11,11,11,11,11,11,33,33,11,11,22,11,19,19,19,19,19,14,14,14,14,16,16,16,16,16,16,10,17,15,15,15,15,15,15,7,10,10,0,0,0,0
1705650315,9,36,27,9,9,9,9,9,9,8,8,8,8,13,8,8,24,24,8,13,16,8,11,11,11,11,11,15,15,15,15,12,12,12,12,12,12,10,12,12,12,12,12,12,12,16,10,10,23,0,0,0
1705650330,17,68,51,17,17,17,17,17,17,19,19,19,19,11,19,19,57,57,19,11,38,19,14,14,14,14,14,12,12,12,12,12,12,12,12,12,12,10,12,14,14,14,14,14,14,13,10,10,0,0,0,0
1705650345,10,40,30,10,10,10,10,10,10,10,10,10,10,16,10,10,30,30,10,16,20,10,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,10,14,14,14,14,14,14,14,16,10,10,0,0,0,0
1705650360,15,60,45,15,15,15,15,15,15,16,16,16,16,15,16,16,48,48,16,15,32,16,13,13,13,13,13,13,13,13,13,15,15,15,15,15,15,10,15,13,13,13,13,13,13,11,10,10,0,0,0,0
1705650375,12,47,36,12,12,12,12,11,11,11,11,11,11,11,11,11,33,33,11,11,22,11,15,15,15,15,15,13,13,13,13,11,11,11,11,11,11,10,11,12,12,12,12,12,12,17,10,10,0,0,0,0
1705650390,16,65,48,16,16,16,16,17,17,17,17,17,17,13,17,17,51,51,17,13,34,17,12,12,12,12,12,15,15,15,15,19,19,19,19,19,19,10,19,16,16,16,16,16,16,6,10,10,0,0,0,0
1705650405,10,40,30,10,10,10,10,10,10,10,10,10,10,12,10,10,30,30,10,12,20,10,8,8,8,8,8,9,9,9,9,7,7,7,7,7,7,10,7,11,11,11,11,11,11,21,10,10,0,0,0,0
1705650420,20,79,60,20,20,19,19,19,19,17,17,17,17,15,17,17,51,51,17,15,34,17,16,16,16,16,16,14,14,14,14,15,15,15,15,15,15,10,15,11,11,11,11,11,11,6,10,10,0,0,0,0
1705650435,5,21,15,5,5,6,6,6,6,8,8,8,8,15,8,8,24,24,8,15,16,8,15,15,15,15,15,15,15,15,15,12,12,12,12,12,12,10,12,13,13,13,13,13,13,15,10,10,0,0,0,0
1705650450,13,52,39,13,13,13,13,13,13,13,13,13,13,9,13,13,39,39,13,9,26,13,18,18,18,18,18,14,14,14,14,12,12,12,12,12,12,10,12,14,14,14,14,14,14,8,10,10,23,0,0,0
1705650465,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,12,24,12,8,8,8,8,8,10,10,10,10,17,17,17,17,17,17,10,17,14,14,14,14,14,14,16,10,10,23,0,0,0
1705650480,16,64,48,16,16,16,16,16,16,16,16,16,16,15,16,16,48,48,16,15,32,16,8,8,8,8,8,12,12,12,12,9,9,9,9,9,9,10,9,13,13,13,13,13,13,20,10,10,23,0,0,0
1705650495,18,72,54,18,18,18,18,18,18,17,17,17,17,12,17,17,51,51,17,12,34,17,14,14,14,14,14,13,13,13,13,15,15,15,15,15,15,10,15,13,13,13,13,13,13,9,10,10,0,0,0,0
1705650510,9,36,27,9,9,9,9,9,9,9,9,9,9,16,9,9,27,27,9,16,18,9,17,17,17,17,17,14,14,14,14,10,10,10,10,10,10,10,10,11,11,11,11,11,11,13,10,10,0,0,0,0
1705650525,10,40,30,10,10,10,10,10,10,11,11,11,11,14,11,11,33,33,11,14,22,11,13,13,13,13,13,14,14,14,14,18,18,18,18,18,18,10,18,16,16,16,16,16,16,8,10,10,0,0,0,0
1705650540,13,52,39,13,13,13,13,13,13,10,10,10,10,6,10,10,30,30,10,6,20,10,14,14,14,14,14,13,13,13,13,8,8,8,8,8,8,10,8,11,11,11,11,11,11,20,10,10,23,0,0,0
1705650555,17,68,51,17,17,17,17,17,17,19,19,19,19,15,19,19,57,57,19,15,38,19,6,6,6,6,6,9,9,9,9,16,16,16,16,16,16,10,16,16,16,16,16,16,16,11,10,10,0,0,0,0
1705650570,15,60,45,15,15,15,15,15,15,14,14,14,14,19,14,14,42,42,14,19,28,14,18,18,18,18,18,14,14,14,14,10,10,10,10,10,10,10,10,8,8,8,8,8,8,10,10,10,23,0,0,0
1705650585,6,24,18,6,6,6,6,6,6,7,7,7,7,10,7,7,21,21,7,10,14,7,15,15,15,15,15,15,15,15,15,14,14,14,14,14,14,10,14,13,13,13,13,13,13,12,10,10,0,0,0,0
1705650600,12,48,36,12,12,12,12,12,12,12,12,12,12,5,12,12,36,36,12,5,24,12,10,10,10,10,10,13,13,13,13,15,15,15,15,15,15,10,15,14,14,14,14,14,14,14,10,10,23,0,0,0
1705650615,14,56,42,14,14,14,14,14,14,14,14,14,14,15,14,14,42,42,14,15,28,14,10,10,10,10,10,12,12,12,12,11,11,11,11,11,11,10,11,14,14,14,14,14,14,17,10,10,0,0,0,0
1705650630,17,68,51,17,17,17,17,17,17,18,18,18,18,17,18,18,54,54,18,17,36,18,10,10,10,10,10,8,8,8,8,11,11,11,11,11,11,10,11,10,10,10,10,10,10,10,10,10,23,0,0,0
1705650645,11,44,33,11,11,11,11,11,11,10,10,10,10,15,10,10,30,30,10,15,20,10,15,15,15,15,15,17,17,17,17,14,14,14,14,14,14,10,13,14,14,14,14,14,14,13,10,10,0,0,0,0
1705650660,13,52,39,13,13,13,13,13,13,14,14,14,14,8,14,14,42,42,14,8,28,14,13,13,13,13,13,13,13,13,13,9,9,9,9,9,9,10,10,11,11,11,11,11,11,13,10,10,0,0,0,0
1705650675,14,56,42,14,14,14,14,14,14,14,14,14,14,17,14,14,42,42,14,17,28,14,18,18,18,18,18,18,18,18,18,15,15,15,15,15,15,10,15,15,15,15,15,15,15,14,10,10,23,0,0,0
1705650690,12,48,36,12,12,12,12,12,12,12,12,12,12,14,12,12,36,36,12,14,24,12,11,11,11,11,11,11,11,11,11,15,15,15,15,15,15,10,15,15,15,15,15,15,15,17,10,10,0,0,0,0
1705650705,15,60,45,15,15,15,15,15,15,15,15,15,15,13,15,15,45,45,15,13,30,15,10,10,10,10,10,10,10,10,10,13,13,13,13,13,13,10,13,13,13,13,13,13,13,13,10,10,23,0,0,0
1705650720,16,64,48,16,16,16,16,16,16,16,16,16,16,13,16,16,48,48,16,13,32,16,20,20,20,20,20,19,19,19,19,14,14,14,14,14,14,10,13,12,12,12,12,12,12,9,10,10,23,0,0,0
1705650735,9,35,27,9,9,9,9,9,9,7,7,7,7,15,7,7,21,21,7,15,14,7,11,11,11,11,11,9,9,9,9,14,14,14,14,14,14,10,15,16,16,16,16,16,16,16,10,10,0,1,0,0
1705650750,16,64,48,16,16,16,16,16,16,18,18,18,18,7,18,18,54,54,18,7,36,18,16,16,16,16,16,17,17,17,17,14,14,14,14,14,14,10,14,12,12,12,12,12,12,8,10,10,23,0,0,0
1705650765,8,32,24,8,8,8,8,8,8,7,7,7,7,17,7,7,21,21,7,17,14,7,10,10,10,10,10,11,11,11,11,12,12,12,12,12,12,10,12,14,14,14,14,14,14,16,10,10,0,0,0,0
1705650780,19,76,57,19,19,19,19,19,19,20,20,20,20,10,20,20,60,60,20,10,40,20,11,11,11,11,11,11,11,11,11,14,14,14,14,14,14,10,14,13,13,13,13,13,13,17,10,10,0,0,0,0
1705650795,11,44,33,11,11,11,11,11,11,11,11,11,11,18,11,11,33,33,11,18,22,11,16,16,16,16,16,16,16,16,16,15,15,15,15,15,15,10,15,15,15,15,15,15,15,13,10,10,0,0,0,0
1705650810,16,64,48,16,16,16,16,16,16,16,16,16,16,12,16,16,48,48,16,12,32,16,12,12,12,12,12,12,12,12,12,11,11,11,11,11,11,10,11,11,11,11,11,11,11,13,10,10,0,0,0,0
1705650825,13,52,39,13,13,13,13,13,13,12,12,12,12,17,12,12,36,36,12,17,24,12,18,18,18,18,18,15,15,15,15,13,13,13,13,13,13,10,13,12,12,12,12,12,12,12,10,10,23,0,0,0
1705650840,10,40,30,10,10,10,10,10,10,11,11,11,11,13,11,11,33,33,11,13,22,11,15,15,15,15,15,14,14,14,14,15,15,15,15,15,15,10,15,14,14,14,14,14,14,7,10,10,23,0,0,0
1705650855,10,40,30,10,10,10,10,10,10,8,8,7,7,5,7,7,21,21,7,5,14,7,9,9,9,9,9,14,14,14,14,14,14,14,14,14,14,10,14,16,16,16,16,16,16,15,10,10,0,0,0,0
1705650870,13,52,39,13,13,13,13,13,13,15,15,16,16,14,16,16,48,48,16,14,32,16,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,9,10,10,10,10,10,10,19,10,10,0,0,0,0
1705650885,18,72,54,18,18,18,18,18,18,18,18,18,18,15,18,18,54,54,18,15,36,18,12,12,12,12,12,11,11,11,11,12,12,12,12,12,12,10,12,11,11,11,11,11,11,11,10,10,69,0,0,0
1705650900,13,52,39,13,13,13,13,13,13,13,13,13,13,18,13,13,39,39,13,18,26,13,20,20,20,20,20,18,18,18,18,14,14,14,14,14,14,10,14,13,13,13,13,13,13,11,10,10,23,0,0,0
1705650915,11,44,33,11,11,11,11,11,11,9,9,8,8,10,8,8,24,24,8,10,16,8,13,13,13,13,13,15,15,15,15,17,17,17,17,17,17,10,17,16,16,16,16,16,16,8,10,10,0,0,0,0
1705650930,7,28,21,7,7,7,7,7,7,9,9,10,10,9,10,10,30,30,10,9,20,10,13,13,13,13,13,11,11,11,11,12,12,12,12,12,12,10,12,13,13,13,13,13,13,15,10,10,69,0,0,0
1705650945,16,64,48,16,16,16,16,16,16,16,16,16,16,11,16,16,48,48,16,11,32,16,8,8,8,8,8,9,9,9,9,13,13,13,13,13,13,10,12,14,14,14,14,14,14,19,10,10,23,0,0,0
1705650960,18,72,54,18,18,18,18,18,18,18,18,18,18,20,18,18,54,54,18,20,36,18,5,5,5,5,5,7,7,7,7,8,8,8,8,8,8,10,9,9,9,9,9,9,9,12,10,10,0,0,0,0
1705650975,11,44,33,11,11,11,11,11,11,11,11,11,11,14,11,11,33,33,11,14,22,11,20,20,20,20,20,13,13,13,13,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,23,0,0,0
1705650990,11,44,33,11,11,11,11,11,11,10,10,10,10,7,10,10,30,30,10,7,20,10,16,16,16,16,16,16,16,16,16,18,18,18,18,18,18,10,18,15,15,15,15,15,15,7,10,10,0,0,0,0
1705651005,8,32,24,8,8,8,8,8,8,9,9,9,9,11,9,9,27,27,9,11,18,9,11,11,11,11,11,14,14,14,14,14,14,14,14,14,14,10,14,13,13,13,13,13,13,16,10,10,0,0,0,0
1705651020,14,56,42,14,14,14,14,14,14,14,14,14,14,12,14,14,42,42,14,12,28,14,10,10,10,10,10,12,12,12,12,11,11,11,11,11,11,10,11,14,14,14,14,14,14,13,10,10,23,0,0,0
1705651035,17,68,51,17,17,17,17,17,17,14,14,14,14,13,14,14,42,42,14,13,28,14,16,16,16,16,16,15,15,15,15,10,10,10,10,10,10,10,10,11,11,11,11,11,11,14,9,10,0,0,1,0
1705651050,11,44,33,11,11,11,11,11,11,14,14,14,14,14,14,14,42,42,14,14,28,14,14,14,14,14,14,12,12,12,12,16,16,16,16,16,16,10,16,16,16,16,16,16,16,13,10,10,46,0,0,0
1705651065,11,44,33,11,11,11,11,11,11,11,11,11,11,14,11,11,33,33,11,14,22,11,11,11,11,11,11,12,12,12,12,15,15,15,15,15,15,10,15,12,12,12,12,12,12,16,10,10,23,0,0,0
1705651080,17,68,51,17,17,17,17,17,17,16,16,16,16,10,16,16,48,48,16,10,32,16,14,14,14,14,14,18,18,18,18,14,14,14,14,14,14,10,14,14,14,14,14,14,14,10,10,10,23,0,0,0
1705651095,14,56,42,14,14,14,14,14,14,15,15,15,15,19,15,15,45,45,15,19,30,15,14,14,14,14,14,12,12,12,12,8,8,8,8,8,8,10,8,11,11,11,11,11,11,15,10,10,23,0,0,0
1705651110,14,56,42,14,14,14,14,14,14,12,12,12,12,10,12,12,36,36,12,10,24,12,13,13,13,13,13,12,12,12,12,17,17,17,17,17,17,10,17,16,16,16,16,16,16,16,10,10,23,0,0,0
1705651125,13,52,39,13,13,13,13,13,13,14,14,14,14,17,14,14,42,42,14,17,28,14,18,18,18,18,18,17,17,17,17,15,15,15,15,15,15,10,15,14,14,14,14,14,14,10,10,10,0,0,0,0
1705651140,11,44,33,11,11,11,11,11,11,11,11,11,11,12,11,11,33,33,11,12,22,11,9,9,9,9,9,11,11,11,11,14,14,14,14,14,14,10,14,13,13,13,13,13,13,15,10,10,0,0,0,0
1705651155,14,56,42,14,14,14,14,14,14,15,15,13,13,11,13,13,39,39,13,11,26,13,9,9,9,9,9,11,11,11,11,7,7,7,7,7,7,10,7,10,10,10,10,10,10,15,10,10,0,0,0,0
1705651170,15,60,45,15,15,15,15,15,15,15,15,17,17,16,17,17,51,51,17,16,34,17,14,14,14,14,14,12,12,12,12,15,15,15,15,15,15,10,15,15,15,15,15,15,15,13,10,10,23,0,0,0
1705651185,12,48,36,12,12,12,12,12,12,12,12,12,12,13,12,12,36,36,12,13,24,12,16,16,16,16,16,17,17,17,17,13,13,13,13,13,13,10,13,12,12,12,12,12,12,12,10,10,23,0,0,0
1705651200,12,48,36,12,12,12,12,12,12,12,12,12,12,14,12,12,36,36,12,14,24,12,12,12,12,12,12,13,13,13,13,12,12,12,12,12,12,10,12,13,13,13,13,13,13,15,10,10,23,0,0,0
1705651215,18,72,54,18,18,18,18,18,18,16,16,16,16,13,16,16,48,48,16,13,32,16,13,13,13,13,13,10,10,10,10,15,15,15,15,14,15,10,15,15,15,15,15,15,15,13,10,10,0,0,0,1
1705651230,13,52,39,13,13,13,13,13,13,15,15,14,14,17,14,14,42,42,14,17,28,14,11,11,11,11,11,14,14,14,14,14,14,14,14,14,14,10,14,14,14,14,14,14,14,16,10,10,23,0,0,0
1705651245,13,52,39,13,13,13,13,13,13,13,13,14,14,12,14,14,42,42,14,12,28,14,12,12,12,12,12,12,12,12,12,14,14,14,14,14,14,10,14,14,14,14,14,14,14,14,10,10,23,0,0,0
1705651260,15,60,45,15,15,15,15,15,15,15,15,14,14,12,14,14,42,42,14,12,28,14,16,16,16,16,16,16,16,16,16,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0
1705651275,10,40,30,10,10,10,10,10,10,9,9,10,10,13,10,10,30,30,10,13,20,10,15,15,15,15,15,14,14,14,14,15,15,15,15,15,15,10,15,14,14,14,14,14,14,7,10,10,0,0,0,0
1705651290,12,48,36,12,12,12,12,12,12,8,8,8,8,10,8,8,24,24,8,10,16,8,18,18,18,18,18,12,12,12,12,17,17,17,17,17,17,10,17,14,14,14,14,14,14,13,10,10,46,0,0,0
1705651305,10,40,30,10,10,10,10,10,10,13,13,13,13,12,13,13,39,39,13,12,26,13,11,11,11,11,11,12,12,12,12,11,11,11,11,11,11,10,11,14,14,14,14,14,14,16,10,10,0,0,0,0
1705651320,15,60,45,15,15,15,15,15,15,17,17,17,17,12,17,17,51,51,17,12,34,17,6,6,6,6,6,12,12,12,12,14,14,14,14,14,14,10,13,14,14,14,14,14,14,18,10,10,0,0,0,0
1705651335,15,60,45,15,15,15,15,15,15,15,15,15,15,12,15,15,45,45,15,12,30,15,9,9,9,9,9,9,9,9,9,3,3,3,3,3,3,6,4,4,4,4,4,4,4,6,6,8,0,0,0,0
