time,front-end_1,front-end_2,front-end_3,front-end_4,front-end_5,catalogue_6,front-end_7,front-end_8,user_9,front-end_10,front-end_11,user_12,front-end_13,front-end_14,user_15,front-end_16,user_17,front-end_18,front-end_19,front-end_20,front-end_21,front-end_22,front-end_23,front-end_24,catalogue_25,payment_26,catalogue_27,front-end_28,front-end_29,user_30,front-end_31,front-end_32,front-end_33,front-end_34,front-end_35,user_36,user_37,orders_38,payment_39,orders_40,shipping_41,queue-master_42,queue-master_43,queue-master_44,queue-master_45,queue-master_46,front-end_47,front-end_48,carts_49,orders-db_50,user_51
1705731300,15,16,16,16,16,16,16,16,10,16,15,15,15,15,15,18,18,18,18,18,18,18,18,18,10,10,18,18,22,88,66,22,22,22,22,22,22,22,22,22,22,22,22,66,66,22,44,22,0,0,0
1705731315,14,14,14,14,14,14,14,14,10,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,10,10,18,18,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,23,0,0
1705731330,15,15,15,15,15,15,15,15,10,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,10,10,15,15,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,23,0,0
1705731345,15,15,15,15,15,15,15,15,10,15,15,15,15,15,15,13,13,13,13,13,13,13,13,13,10,10,13,13,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,0,0,0
1705731360,13,13,13,13,13,13,13,13,10,13,13,13,13,13,13,15,15,15,15,15,15,15,15,15,10,10,17,17,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,0,0,0
1705731375,21,21,21,21,21,21,21,21,10,21,21,21,21,21,21,23,23,23,23,23,23,23,23,23,10,10,15,15,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,0,0,0
1705731390,15,15,15,15,15,15,15,15,10,14,15,15,15,15,15,10,10,10,10,10,10,10,10,10,10,10,16,16,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,23,0,0
1705731405,11,11,11,11,11,11,11,11,10,12,11,11,11,11,11,16,16,16,16,16,16,16,16,16,10,10,19,19,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,0,0,0
1705731420,16,16,16,16,16,16,16,16,10,16,17,17,17,16,16,16,16,16,16,16,16,16,16,16,10,10,13,13,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,23,0,0
1705731435,19,19,19,19,19,19,19,19,10,19,18,18,18,19,19,16,16,16,16,16,16,16,16,16,10,10,13,13,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,0,0,0
1705731450,13,13,13,13,13,13,13,13,10,13,13,13,13,13,13,10,10,10,10,10,10,10,10,10,10,10,17,17,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,46,0,0
1705731465,14,14,14,14,14,14,14,14,10,14,14,14,14,14,14,20,20,20,20,20,20,20,20,20,10,10,15,15,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,0,0,0
1705731480,19,19,19,19,19,19,19,19,10,19,19,19,19,19,19,13,13,13,13,13,13,13,13,13,10,10,12,12,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,23,0,0
1705731495,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,10,10,18,18,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,0,0,0
1705731510,16,16,16,16,16,16,16,16,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,10,14,14,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,23,2,0
1705731525,19,19,18,18,18,18,18,18,10,18,19,19,19,19,19,21,21,21,21,21,21,21,21,21,10,10,15,15,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,0,0,0
1705731540,12,12,13,13,13,13,13,13,10,13,12,11,12,12,12,13,13,13,13,13,13,13,13,13,10,10,15,15,19,72,54,18,18,18,18,18,18,17,17,17,17,17,17,51,51,17,34,17,0,0,1
1705731555,20,20,20,20,20,20,20,20,10,20,20,20,20,20,20,21,21,21,21,21,21,21,21,21,10,10,17,17,10,44,33,11,11,11,11,11,11,12,12,12,12,12,12,36,36,12,24,12,46,0,0
1705731570,11,11,11,11,11,11,11,11,10,11,11,11,11,11,11,8,8,8,8,8,8,8,8,8,10,10,14,14,21,84,63,21,21,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,23,0,0
1705731585,15,14,14,14,14,14,14,14,10,14,15,15,15,15,15,19,19,19,19,19,19,19,19,19,10,10,20,20,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,0,0,0
1705731600,18,19,19,19,19,19,19,19,10,19,18,18,18,18,18,12,12,12,12,12,12,12,12,12,10,10,11,11,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,0,0,0
1705731615,16,15,15,15,15,15,15,15,10,15,16,16,16,16,16,18,18,18,18,18,18,18,18,18,10,10,19,19,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,0,0,0
1705731630,13,14,14,14,14,14,14,14,10,14,13,13,13,13,13,15,15,15,15,15,15,15,15,15,10,10,13,13,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,23,0,0
1705731645,17,17,17,17,17,17,17,17,10,17,17,17,17,17,17,13,13,13,13,13,13,13,13,13,10,10,16,16,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,0,0,0
1705731660,12,12,12,12,12,12,12,12,10,12,12,12,12,12,12,14,14,14,14,14,14,14,14,14,10,10,13,13,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,23,0,0
1705731675,18,18,18,18,18,18,18,18,10,18,18,18,18,18,18,14,14,14,14,14,14,14,14,14,10,10,16,16,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,0,0,0
1705731690,14,14,14,14,14,14,14,14,10,14,14,14,14,14,14,16,16,16,16,16,16,16,16,16,10,10,13,13,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,0,0,0
1705731705,14,14,14,14,14,14,14,14,10,13,14,14,14,14,14,17,17,17,17,17,17,17,17,17,10,10,18,18,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,46,0,0
1705731720,17,17,17,17,17,17,17,17,10,18,17,17,17,17,17,15,15,15,15,15,15,15,15,15,10,10,14,14,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,0,0,0
1705731735,16,16,16,16,16,16,16,16,10,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,10,10,12,12,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,46,0,0
1705731750,11,11,11,11,11,11,11,11,10,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,19,19,18,72,54,18,18,18,18,18,18,17,17,17,17,17,17,51,51,17,34,17,0,0,0
1705731765,15,15,15,15,15,15,15,15,10,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,10,10,14,14,10,40,30,10,10,10,10,10,10,11,11,11,11,11,11,33,33,11,22,11,0,0,0
1705731780,18,18,18,18,18,18,18,18,10,17,18,18,18,18,18,15,15,15,15,15,15,15,15,15,10,10,15,15,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,0,0,0
1705731795,9,9,9,9,9,9,9,9,10,10,9,9,9,9,9,14,14,14,14,14,14,14,14,14,10,10,15,15,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,0,0,0
1705731810,21,21,21,21,21,21,21,21,10,21,21,21,21,21,21,19,19,19,19,19,19,19,19,19,10,10,14,14,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,46,0,0
1705731825,14,14,14,14,14,14,14,14,10,14,14,14,14,14,14,12,12,12,12,12,12,12,12,12,10,10,13,13,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,23,0,0
1705731840,8,8,8,8,8,8,8,8,10,8,8,8,8,8,8,10,10,10,10,10,10,10,10,10,10,10,22,22,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,23,0,0
1705731855,19,19,19,19,19,19,19,19,10,19,19,19,19,19,19,22,22,22,22,22,22,22,22,22,10,10,8,8,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,0,0,0
1705731870,17,17,17,17,17,17,17,17,10,17,17,17,17,17,17,15,15,15,15,15,15,15,15,15,10,10,10,10,21,84,63,21,21,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,0,0,0
1705731885,11,11,11,11,11,11,11,11,10,11,12,12,12,11,11,9,9,9,9,9,9,9,9,9,10,10,20,20,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,23,0,0
1705731900,14,14,14,14,14,14,14,14,10,14,13,13,13,14,14,18,18,18,18,18,17,17,17,17,10,10,18,18,8,32,24,8,8,8,8,8,8,8,8,8,8,8,8,24,24,8,16,8,0,0,0
1705731915,18,18,18,18,18,18,18,18,10,18,18,18,18,18,18,18,18,18,18,18,19,19,19,19,10,10,9,9,16,64,48,16,16,16,16,16,16,16,16,16,16,15,15,45,45,15,30,15,0,0,0
1705731930,19,19,19,19,19,19,19,19,10,19,19,19,19,19,19,13,13,13,13,13,13,13,13,13,10,10,19,19,14,56,42,14,14,14,14,14,14,14,14,14,14,15,15,45,45,15,30,15,46,0,0
1705731945,14,14,14,14,14,14,14,14,10,14,15,15,15,15,15,17,17,17,17,17,17,17,17,17,10,10,15,15,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,0,0,0
1705731960,14,14,14,14,14,14,14,14,10,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,10,16,16,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,23,0,0
1705731975,16,16,16,16,16,16,16,16,10,16,16,16,16,16,16,19,19,19,19,19,19,19,19,19,10,10,15,15,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,0,0,0
1705731990,12,12,12,12,12,12,12,12,10,12,12,12,12,12,12,11,11,11,11,11,11,11,11,11,10,10,16,16,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,0,0,0
1705732005,20,20,20,20,20,20,20,20,10,20,20,20,20,20,20,17,17,17,17,17,17,17,17,17,10,10,15,15,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,23,0,0
1705732020,16,16,16,16,16,16,16,16,10,16,16,16,16,16,16,20,20,20,20,20,20,20,20,20,10,10,15,15,21,84,63,21,21,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,23,0,0
1705732035,16,16,16,16,16,16,16,16,10,16,16,16,16,16,16,12,12,12,12,12,12,12,12,12,10,10,18,18,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,0,0,0
1705732050,12,12,12,12,12,12,12,12,10,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,10,10,16,16,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,0,0,0
1705732065,15,14,14,14,14,14,14,14,10,14,15,15,15,15,15,22,22,22,22,22,22,22,22,22,10,10,15,15,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,0,0,0
1705732080,19,20,19,19,19,19,19,19,10,19,19,19,19,19,19,12,12,12,12,12,12,12,12,12,10,10,10,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,46,0,0
1705732095,13,13,14,14,14,14,14,14,10,14,13,13,13,13,13,19,19,19,19,19,19,19,19,19,10,10,21,21,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,0,0,0
1705732110,18,18,18,18,18,18,18,18,10,18,18,18,18,18,18,10,10,10,10,10,10,10,10,10,10,10,15,15,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,23,0,0
1705732125,12,12,12,12,12,12,12,12,10,12,12,12,12,12,12,15,15,15,15,15,15,15,15,15,10,10,16,16,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,0,0,0
1705732140,18,18,18,18,18,18,18,18,10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,10,12,12,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,0,0,0
1705732155,13,13,13,13,13,13,13,13,10,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,10,10,13,13,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,0,0,0
1705732170,14,14,14,14,14,14,14,14,10,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,10,10,22,22,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,0,0,0
1705732185,18,18,18,18,18,18,18,18,10,18,18,18,18,18,18,14,14,14,14,14,14,14,14,14,10,10,10,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,23,0,0
1705732200,14,14,14,14,14,14,14,14,10,14,14,14,14,14,14,19,19,19,19,19,19,19,19,19,10,10,17,17,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,0,0,0
1705732215,14,14,14,14,14,14,14,14,10,14,14,14,14,14,14,12,12,12,12,12,12,12,12,12,10,10,17,17,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,46,0,0
1705732230,18,18,18,18,18,18,18,18,10,18,18,18,18,18,18,20,20,20,20,20,20,20,20,20,10,10,13,13,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,46,0,0
1705732245,17,17,17,17,17,17,17,17,10,17,17,17,17,17,17,13,13,13,13,13,13,13,13,13,10,10,16,16,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,0,0,0
1705732260,14,14,13,13,13,13,13,13,10,13,14,14,14,14,14,12,12,12,12,12,12,12,12,12,10,10,17,17,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,0,0,0
1705732275,14,14,15,15,15,15,15,15,10,15,14,14,14,14,14,18,18,18,18,18,18,18,18,18,10,10,14,14,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,0,0,0
1705732290,16,16,16,16,16,16,16,16,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,10,16,16,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,0,0,0
1705732305,14,14,14,14,14,14,14,14,10,14,14,14,14,14,14,16,16,16,16,16,16,16,16,16,10,10,17,17,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,23,0,0
1705732320,18,17,17,17,17,17,17,17,10,17,18,18,18,18,18,15,15,15,15,15,15,15,15,15,10,10,15,15,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,0,0,0
1705732335,14,15,15,15,15,15,15,15,10,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,10,16,16,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,23,0,0
1705732350,17,17,17,17,17,17,17,17,10,17,18,18,18,18,17,22,22,22,22,22,22,22,22,22,10,10,12,12,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,69,0,0
1705732365,18,18,18,18,18,18,18,18,10,18,17,17,17,17,18,12,12,12,12,12,12,12,12,12,10,10,15,15,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,0,0,0
1705732380,12,12,12,12,12,12,12,12,10,12,12,12,12,12,12,10,10,10,10,10,10,10,10,10,10,10,16,16,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,23,0,0
1705732395,15,15,15,15,15,15,15,15,10,15,15,15,15,15,15,22,22,22,22,22,22,22,22,22,10,10,19,19,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,0,0,0
1705732410,17,17,17,17,17,17,17,17,10,17,17,17,17,17,17,13,13,13,13,13,13,13,13,13,10,10,13,13,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,23,0,0
1705732425,12,12,12,12,12,12,12,12,10,12,12,12,12,12,12,11,11,11,11,11,11,11,11,11,10,10,16,16,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,46,0,0
1705732440,17,17,17,17,17,17,17,17,10,17,18,17,17,17,17,20,20,20,20,20,20,20,20,20,10,10,17,17,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,23,0,0
1705732455,16,16,16,16,16,16,16,16,10,16,15,16,16,16,16,13,13,13,13,13,13,13,13,13,10,10,11,11,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,23,0,0
1705732470,16,16,16,16,16,16,16,16,10,16,16,16,16,16,16,19,19,19,19,19,19,19,19,19,10,10,18,18,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,0,0,0
1705732485,13,13,13,13,13,13,13,13,10,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,10,10,14,14,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,0,0,0
1705732500,17,17,17,17,17,17,17,17,10,17,17,17,17,17,17,15,15,15,15,15,15,15,15,15,10,10,16,16,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,23,0,0
1705732515,12,12,12,12,12,12,12,12,10,12,12,12,12,12,12,10,10,10,10,10,10,10,10,10,10,10,15,15,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,23,0,0
1705732530,15,15,15,15,15,15,15,15,10,15,15,15,15,15,15,18,18,18,18,18,18,18,18,18,10,10,13,13,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,0,0,0
1705732545,15,15,15,15,15,14,14,14,10,14,15,15,15,15,15,17,17,17,17,17,17,17,17,17,10,10,16,16,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,0,0,0
1705732560,10,10,10,10,10,11,11,11,4,11,10,10,10,10,10,5,5,5,5,5,5,5,5,5,4,4,7,7,5,20,15,5,5,5,5,5,5,5,5,5,5,5,5,15,15,5,10,5,0,0,0
