time,front-end_1,user_2,front-end_3,front-end_4,front-end_5,front-end_6,front-end_7,front-end_8,front-end_9,front-end_10,user_11,front-end_12,front-end_13,front-end_14,front-end_15,front-end_16,user_17,user_18,orders_19,payment_20,orders_21,shipping_22,queue-master_23,queue-master_24,queue-master_25,queue-master_26,queue-master_27,front-end_28,front-end_29,catalogue_30,front-end_31,user_32,front-end_33,user_34,front-end_35,front-end_36,user_37,front-end_38,front-end_39,front-end_40,front-end_41,front-end_42,catalogue_43,front-end_44,front-end_45,front-end_46,catalogue_47,payment_48,carts_49,user_50,user-db_51,user_52,user-db_53,carts_54,carts_55,carts_56,carts_57,carts_58,carts_59,carts_60,carts_61
1705741380,18,18,18,18,18,18,18,18,18,9,36,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,9,18,9,15,15,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1705741395,17,17,17,17,17,17,17,17,17,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,12,12,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0
1705741410,13,13,13,13,13,13,13,13,13,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,18,18,10,15,15,15,15,15,15,14,14,14,14,14,14,14,14,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1705741425,10,10,10,10,10,10,10,10,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,14,14,10,11,11,11,11,11,11,12,12,12,12,12,12,12,11,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0
1705741440,22,22,22,22,22,22,22,22,22,8,32,24,8,8,8,8,8,8,8,8,8,8,8,8,24,24,8,16,8,16,16,10,19,19,19,19,19,19,19,19,19,19,19,19,19,20,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0
1705741455,14,14,14,14,14,14,14,14,14,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,13,13,10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1705741470,11,11,11,11,11,11,11,11,11,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,19,19,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1705741485,21,21,21,21,21,21,21,21,21,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,15,15,10,20,20,20,20,20,20,20,20,20,20,20,20,20,20,10,10,46,0,0,0,0,0,0,0,0,0,0,0,0
1705741500,14,14,14,14,14,14,14,14,14,21,84,63,21,21,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,13,13,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1705741515,14,14,14,14,14,14,14,14,14,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,18,18,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1705741530,23,23,23,23,23,23,23,23,23,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,13,13,10,20,20,20,20,20,20,20,20,20,20,20,20,20,20,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1705741545,8,8,8,8,8,8,8,8,8,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,11,11,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0
1705741560,13,13,13,13,13,13,13,13,13,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,23,23,10,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1705741575,22,22,22,22,22,22,22,22,22,9,36,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,9,18,9,12,12,10,19,19,19,19,19,19,19,19,19,19,19,19,19,19,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0
1705741590,10,10,10,10,10,10,10,10,10,22,88,66,22,22,22,22,22,22,22,22,22,22,22,22,66,66,22,44,22,12,12,10,20,20,20,20,20,20,20,20,20,20,20,20,20,20,10,10,46,0,0,0,0,0,0,0,0,0,0,0,0
1705741605,14,14,14,14,14,14,14,14,14,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,22,22,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1705741620,18,18,18,18,18,18,18,18,18,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,15,15,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1705741635,18,18,18,18,18,18,18,18,18,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,12,12,10,22,22,22,22,22,22,22,22,22,22,22,22,22,22,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0
1705741650,11,11,11,11,11,11,11,11,11,21,84,63,21,21,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,14,14,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1705741665,18,18,18,18,18,18,18,18,18,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,19,19,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1705741680,16,16,16,16,16,16,16,16,16,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,12,12,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0
1705741695,14,14,14,14,14,14,14,14,14,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,16,16,10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1705741710,12,12,12,12,12,12,12,12,12,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,13,13,10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1705741725,11,11,11,11,11,11,11,11,11,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,17,17,10,7,7,7,7,7,7,7,7,7,7,7,7,7,7,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1705741740,18,18,18,18,18,18,18,18,18,9,36,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,9,18,9,15,15,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0
1705741755,16,16,16,16,16,16,16,16,16,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,9,9,10,19,19,19,19,19,19,19,19,19,19,19,19,19,19,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0
1705741770,11,11,11,11,11,11,11,11,11,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,20,20,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1705741785,17,17,17,17,17,17,17,17,17,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,14,14,10,18,18,18,17,17,17,17,17,17,17,17,17,17,17,10,10,0,0,0,0,1,0,0,0,0,0,0,0,0
1705741800,15,15,15,15,15,15,15,15,15,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,15,15,10,15,15,15,16,16,16,16,16,16,16,16,16,16,16,10,10,46,0,0,0,0,0,0,0,0,0,0,0,0
1705741815,17,17,17,17,17,17,17,17,17,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,15,15,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0
1705741830,18,18,18,18,18,18,18,18,18,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,17,17,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1705741845,13,13,13,13,13,13,13,13,13,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,15,15,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1705741860,12,12,12,12,12,12,12,12,12,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,15,15,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,10,46,0,0,0,0,0,0,0,0,0,0,0,0
1705741875,20,20,20,20,20,19,19,19,19,18,72,54,18,18,18,18,18,18,17,17,17,17,17,17,51,51,17,34,17,12,12,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0
1705741890,12,12,12,12,12,13,13,13,13,12,48,36,12,12,12,12,12,12,13,12,12,12,12,12,36,36,12,24,12,16,16,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1705741905,13,13,13,13,13,13,13,13,13,17,68,51,17,17,17,17,17,17,17,18,18,18,18,18,54,54,18,36,18,17,17,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1705741920,19,19,19,19,19,19,19,19,19,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,14,14,10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1705741935,14,14,14,14,14,14,14,14,14,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,18,18,10,17,17,17,17,17,17,16,16,16,16,16,16,16,16,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0
1705741950,12,12,12,12,12,12,12,12,12,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,15,12,12,10,11,11,11,11,11,11,12,12,12,12,12,12,12,12,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1705741965,17,17,17,17,17,17,17,17,17,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,13,16,16,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1705741980,16,16,16,16,16,16,16,16,16,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,13,13,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,10,46,0,0,0,0,0,0,0,0,0,0,0,0
1705741995,16,16,16,16,16,16,16,16,16,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,16,16,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0
1705742010,15,15,15,15,15,15,15,15,15,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,19,19,10,13,13,13,13,13,13,12,12,12,12,12,12,12,12,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1705742025,17,17,17,17,17,17,17,17,17,12,48,36,12,12,12,12,12,12,12,11,11,11,11,11,33,33,11,22,11,13,13,10,19,19,19,19,19,19,20,20,20,20,20,20,20,20,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1705742040,11,11,11,11,11,11,11,11,11,22,88,66,22,22,22,22,22,22,22,23,23,23,23,23,69,69,23,46,23,13,13,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1705742055,16,16,16,16,16,16,16,16,16,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,20,20,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1705742070,14,14,14,14,14,14,14,14,14,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,10,23,23,23,23,23,23,23,23,23,23,23,23,23,23,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0
1705742085,17,17,17,17,17,17,17,17,17,16,64,48,16,16,16,16,16,16,16,15,15,15,15,15,45,45,15,30,15,18,18,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,10,46,0,0,0,0,0,0,0,0,0,0,0,0
1705742100,10,10,10,10,10,10,10,10,10,15,60,45,15,15,15,15,15,15,14,15,15,14,14,14,42,42,14,28,14,14,14,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1705742115,21,21,21,21,21,21,21,21,21,11,44,33,11,11,11,11,11,11,12,12,12,13,13,13,39,39,13,26,13,15,15,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0
1705742130,17,17,17,17,17,17,17,17,17,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,13,13,10,19,19,19,19,19,19,19,19,19,19,19,19,19,19,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1705742145,14,14,14,14,14,14,14,14,14,23,92,69,23,23,23,23,23,23,23,23,23,23,23,23,69,69,23,46,23,18,18,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1705742160,18,18,18,18,18,18,18,18,18,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,17,17,10,19,19,19,19,19,19,19,19,19,19,19,19,19,19,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0
1705742175,15,15,15,15,15,15,15,15,15,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,13,13,10,17,17,17,17,17,17,17,16,16,16,16,16,16,16,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1705742190,13,13,13,13,13,13,13,13,13,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,22,22,10,11,11,11,11,11,11,11,12,12,12,12,12,12,12,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0
1705742205,15,15,15,15,15,15,15,15,15,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,10,18,18,18,18,18,18,18,17,17,17,17,17,17,17,10,10,69,0,0,0,0,0,0,0,0,0,0,0,0
1705742220,18,18,18,18,18,18,18,18,18,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,15,15,10,13,13,13,13,13,13,13,14,14,14,14,14,14,13,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1705742235,18,18,18,18,18,18,18,18,18,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,17,17,10,15,15,15,15,15,15,15,15,15,15,15,15,15,16,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1705742250,14,14,14,14,14,14,14,14,14,12,47,36,12,12,12,12,11,11,11,11,11,11,11,11,33,33,11,22,11,14,14,10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0
1705742265,12,12,12,12,12,11,11,11,11,18,73,54,18,18,18,18,19,19,18,18,18,18,18,18,54,54,18,36,18,18,18,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1705742280,17,17,17,17,17,18,18,18,18,16,64,48,16,16,16,16,16,16,17,17,17,17,17,17,51,51,17,34,17,16,16,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1705742295,13,13,13,13,13,13,13,13,13,17,68,51,17,17,17,17,17,17,16,16,16,15,15,15,45,45,15,30,15,15,15,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0
1705742310,18,18,18,18,18,18,18,18,18,14,56,42,14,14,14,14,14,14,15,15,15,16,16,16,48,48,16,32,16,14,14,10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1705742325,16,16,16,16,16,16,16,16,16,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,14,14,10,19,19,19,19,19,19,19,19,19,19,19,19,19,19,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0
1705742340,16,16,16,16,16,16,16,16,16,18,72,54,18,18,18,18,18,18,18,17,17,17,17,17,51,51,17,34,17,19,19,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,46,0,0,0,0,0,0,0,0,0,0,0,0
1705742355,17,17,17,17,17,17,17,17,17,11,44,33,11,11,11,11,11,11,11,12,12,12,12,12,36,36,12,24,12,14,14,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1705742370,13,13,13,13,13,13,13,13,13,17,68,51,17,17,17,17,17,17,15,15,15,15,15,15,45,45,15,30,15,17,17,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1705742385,14,14,14,14,14,14,14,14,14,17,68,51,17,17,17,17,17,17,19,19,19,18,18,18,54,54,18,36,18,14,14,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,10,155,0,0,0,0,1,1,3,3,1,1,4,1
1705742400,14,14,14,14,14,14,14,14,14,14,56,42,14,14,14,14,14,14,14,14,14,15,15,15,45,45,15,30,15,12,12,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1705742415,13,13,13,13,13,13,13,13,13,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,21,21,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1705742430,18,18,18,18,18,18,18,18,18,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,14,14,10,16,16,16,15,15,15,15,15,15,15,15,15,15,15,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0
1705742445,16,16,16,16,16,16,16,16,16,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,10,19,19,19,20,20,20,20,20,20,20,20,20,20,20,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0
1705742460,11,11,11,11,11,11,11,11,11,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,17,17,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,10,46,0,0,0,0,0,0,0,0,0,0,0,0
1705742475,19,19,19,19,19,19,19,19,19,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,16,16,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1705742490,14,14,14,14,14,14,14,14,14,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,10,23,23,23,23,23,23,23,23,23,23,23,23,23,23,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0
1705742505,15,15,15,15,15,15,15,15,15,23,92,69,23,23,23,23,23,23,23,23,23,23,23,23,69,69,23,46,23,18,18,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1705742520,15,15,15,15,15,15,15,15,15,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,20,20,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0
1705742535,16,16,16,16,16,16,16,16,16,9,36,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,9,18,9,12,12,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0
