time,front-end_1,user_2,front-end_3,front-end_4,front-end_5,front-end_6,front-end_7,user_8,user_9,orders_10,payment_11,orders_12,shipping_13,queue-master_14,queue-master_15,queue-master_16,queue-master_17,queue-master_18,front-end_19,front-end_20,front-end_21,user_22,front-end_23,front-end_24,front-end_25,front-end_26,user_27,front-end_28,front-end_29,user_30,front-end_31,front-end_32,front-end_33,front-end_34,catalogue_35,user_36,front-end_37,front-end_38,front-end_39,front-end_40,front-end_41,front-end_42,catalogue_43,front-end_44,front-end_45,front-end_46,catalogue_47,payment_48,carts_49,user_50,user-db_51
1705753230,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,10,10,10,12,12,10,10,10,10,10,12,12,19,12,19,12,13,13,13,13,13,13,13,13,10,10,0,0,0
1705753245,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,17,17,17,17,17,13,13,17,17,10,17,17,13,13,14,13,14,13,13,13,13,13,13,13,13,13,10,10,0,0,0
1705753260,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,14,14,14,14,14,14,14,14,14,10,14,14,14,14,15,14,15,14,14,14,14,14,14,14,14,14,10,10,23,0,0
1705753275,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,19,19,19,19,19,18,18,19,19,10,19,19,18,18,17,18,17,18,18,18,18,18,18,18,18,18,10,10,0,0,0
1705753290,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,15,15,15,15,15,16,16,15,15,10,15,15,16,16,12,16,12,16,16,16,16,16,16,16,16,16,10,10,69,0,0
1705753305,16,63,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,15,15,15,15,15,15,15,15,15,10,15,15,15,15,19,15,19,15,15,15,15,15,15,15,15,15,10,10,0,1,0
1705753320,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,8,8,8,8,8,10,10,8,8,10,8,8,10,10,14,10,14,10,10,10,10,10,10,10,10,10,10,10,0,0,0
1705753335,9,36,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,9,18,9,21,21,21,21,21,16,16,21,21,10,21,21,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,10,0,0,0
1705753350,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,16,16,16,16,16,21,21,16,16,10,16,16,21,21,11,21,11,21,21,21,21,21,21,21,21,21,10,10,0,0,0
1705753365,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,12,12,12,12,12,14,14,12,12,10,12,12,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,10,23,0,0
1705753380,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,15,15,15,15,15,9,9,15,15,10,15,15,9,9,18,9,18,9,9,9,9,9,9,9,9,9,10,10,0,0,0
1705753395,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,15,15,15,15,15,18,18,15,15,10,15,15,18,18,13,18,13,18,18,18,18,18,18,18,18,18,10,10,23,0,0
1705753410,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,15,15,15,15,15,19,19,15,15,10,15,15,19,19,19,19,19,19,19,19,19,19,19,19,19,18,10,10,0,0,0
1705753425,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,15,15,15,15,15,11,11,15,15,10,15,15,11,11,10,11,10,11,11,11,11,11,11,11,11,12,10,10,23,0,0
1705753440,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,18,18,18,18,18,14,14,18,18,10,18,18,14,14,18,14,18,14,14,14,14,14,14,14,14,14,10,10,0,0,0
1705753455,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,15,15,15,15,15,18,18,15,15,10,15,15,18,18,14,18,14,18,18,18,18,18,18,18,18,18,10,10,0,0,0
1705753470,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,14,14,14,14,14,17,17,14,14,10,14,14,17,17,18,17,18,17,17,17,17,17,17,17,17,17,10,10,0,0,0
1705753485,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,16,16,16,16,16,15,15,16,16,10,16,16,15,15,18,15,18,15,15,15,15,15,15,15,15,15,10,10,0,0,0
1705753500,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,14,14,14,14,14,11,11,14,14,10,14,14,11,11,10,11,10,11,11,11,11,11,11,11,11,11,10,10,0,0,0
1705753515,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,19,19,19,19,19,16,16,19,19,10,19,19,16,16,13,16,13,16,16,16,16,16,16,16,16,16,10,10,0,0,0
1705753530,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,11,11,11,11,11,17,17,11,11,10,11,11,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,10,0,0,0
1705753545,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,13,13,13,13,13,11,11,13,13,10,13,13,11,11,17,11,17,11,11,11,11,11,11,11,11,11,10,10,0,0,0
1705753560,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,20,20,20,20,20,17,17,20,20,10,20,20,17,17,14,17,14,17,17,17,17,17,17,17,17,17,10,10,23,0,0
1705753575,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,15,15,15,15,15,19,19,15,15,10,15,15,19,19,16,19,16,19,19,19,19,19,19,19,19,19,10,10,46,0,0
1705753590,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,12,12,12,12,12,12,12,12,12,10,12,12,12,12,18,12,18,12,12,12,12,12,12,12,12,12,10,10,23,0,0
1705753605,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,17,17,17,17,17,13,13,17,17,10,17,17,13,13,14,13,14,13,13,13,13,13,13,13,13,13,10,10,23,0,0
1705753620,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,14,14,14,14,14,20,20,14,14,10,14,14,20,20,12,20,12,20,20,20,20,20,20,20,20,20,10,10,23,0,0
1705753635,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,15,15,15,15,15,11,11,15,15,10,15,15,11,11,15,11,15,11,11,11,11,11,11,11,11,11,10,10,23,0,0
1705753650,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,17,17,17,17,17,17,17,17,17,10,17,17,17,17,16,17,16,17,17,17,17,17,17,17,17,17,10,10,23,0,0
1705753665,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,13,13,13,13,13,13,13,13,13,10,13,13,13,13,14,13,14,13,13,13,13,13,13,13,13,13,10,10,23,0,0
1705753680,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,16,16,16,16,16,13,13,16,16,10,16,16,13,13,16,13,16,13,13,13,13,13,13,13,13,13,10,10,0,0,0
1705753695,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,18,18,18,18,18,18,18,18,18,10,18,18,18,18,11,18,11,18,18,18,18,18,18,18,18,18,10,10,0,0,0
1705753710,23,92,69,23,23,23,23,23,23,23,23,23,23,23,23,69,69,23,46,23,11,11,11,11,11,20,20,11,11,10,11,11,20,20,16,20,16,20,19,19,19,19,19,19,19,19,10,10,23,0,0
1705753725,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,13,13,13,13,13,8,8,13,13,10,13,13,8,8,22,8,22,8,9,9,9,9,9,9,9,9,10,10,23,0,0
1705753740,12,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,19,19,19,19,19,15,15,19,19,10,19,19,15,15,9,15,9,15,15,15,15,15,15,15,15,15,10,10,46,0,0
1705753755,16,68,51,17,17,17,17,17,17,16,16,16,16,16,16,48,48,16,32,16,12,12,12,12,12,21,21,12,12,10,12,12,21,21,15,21,15,21,21,21,21,21,21,21,21,21,10,10,23,0,0
1705753770,17,68,51,17,17,17,17,17,17,18,18,18,18,18,18,54,54,18,36,18,16,16,16,16,16,15,15,16,16,10,16,16,15,15,18,15,18,15,15,15,15,15,15,15,15,15,10,10,0,0,0
1705753785,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,12,12,12,12,12,9,9,12,12,10,12,12,9,9,13,9,13,9,9,9,9,9,9,9,9,9,10,10,0,0,0
1705753800,12,48,36,12,12,12,12,12,12,11,11,11,11,11,11,33,33,11,22,11,21,21,21,21,21,19,19,21,21,10,21,21,19,19,15,19,15,19,19,19,19,19,19,19,19,19,10,10,23,0,0
1705753815,17,68,51,17,17,17,17,17,17,18,18,18,18,18,18,54,54,18,36,18,13,13,13,13,13,11,11,13,13,10,13,13,11,11,12,11,12,11,11,11,11,11,11,11,11,11,10,10,0,0,0
1705753830,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,19,19,19,19,19,21,21,19,19,10,19,19,21,21,19,21,19,21,21,21,21,21,21,21,21,21,10,10,0,0,0
1705753845,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,10,10,10,10,15,15,10,10,10,10,10,15,15,17,15,17,15,15,15,15,15,15,15,15,15,10,10,23,0,0
1705753860,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,20,20,20,20,20,16,16,20,20,10,20,20,16,16,14,16,14,16,16,16,16,16,16,16,16,16,10,10,0,0,0
1705753875,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,15,15,15,15,15,15,15,15,15,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,10,23,0,0
1705753890,21,84,63,21,21,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,8,8,8,8,8,11,11,8,8,10,8,8,11,11,16,11,16,11,11,11,11,11,11,11,11,11,10,10,0,0,0
1705753905,6,24,18,6,6,6,6,6,6,6,6,6,6,6,6,18,18,6,12,6,20,20,20,20,20,16,16,20,20,10,20,20,16,16,17,16,17,16,16,16,16,16,16,16,16,16,10,10,23,0,0
1705753920,22,88,66,22,22,22,22,22,22,22,22,22,22,22,22,66,66,22,44,22,14,14,14,14,14,14,14,14,14,10,14,14,14,14,9,14,9,14,14,14,14,14,14,14,14,14,10,10,0,0,0
1705753935,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,16,16,16,16,16,16,16,16,16,10,16,16,16,16,19,16,19,16,16,16,16,16,16,16,16,16,10,10,23,0,0
1705753950,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,12,12,12,12,12,14,14,12,12,10,12,12,14,14,16,14,16,14,14,14,14,14,14,14,14,14,10,10,0,0,0
1705753965,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,18,18,18,18,18,18,18,18,18,10,18,18,18,18,10,18,10,18,18,18,18,18,18,18,18,18,10,10,0,0,0
1705753980,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,17,17,17,17,17,15,15,17,17,10,17,17,15,15,18,15,18,15,15,15,15,14,14,14,14,14,10,10,23,0,0
1705753995,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,12,12,12,12,12,15,15,12,12,10,12,12,15,15,18,15,18,15,15,15,15,16,16,16,16,16,10,10,0,0,0
1705754010,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,18,18,18,18,18,19,19,18,18,10,18,18,19,19,14,19,14,19,19,19,19,19,19,19,19,19,10,10,0,0,0
1705754025,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,20,20,20,20,20,16,16,20,20,10,20,20,16,16,16,16,16,15,15,15,15,15,15,15,15,15,10,10,0,0,0
1705754040,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,10,10,10,11,11,9,9,10,9,9,11,11,16,11,16,12,12,12,12,12,12,12,12,12,10,10,23,0,0
1705754055,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,19,19,19,19,19,15,15,20,20,10,20,20,15,15,18,15,18,15,15,15,15,15,15,15,15,15,10,10,0,0,0
1705754070,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,8,8,8,8,8,15,15,8,8,10,8,8,15,15,13,15,13,15,15,15,15,15,15,15,15,15,10,10,0,0,0
1705754085,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,23,23,23,23,23,16,16,23,23,10,23,23,16,16,17,16,17,16,16,16,16,16,16,16,16,16,10,10,23,0,0
1705754100,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,14,14,14,14,14,17,17,14,14,10,14,14,17,17,10,17,10,17,17,17,17,17,17,17,17,17,10,10,46,0,0
1705754115,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,16,16,16,16,16,15,15,16,16,10,16,16,15,15,20,15,20,15,15,15,15,15,15,15,15,15,10,10,0,0,0
1705754130,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,13,13,13,13,13,15,15,13,13,10,13,13,15,15,13,15,13,15,15,15,15,15,15,15,15,15,10,10,0,0,0
1705754145,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,14,14,14,14,14,14,14,14,14,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,10,0,0,0
1705754160,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,17,17,17,17,17,19,19,17,17,10,17,17,19,19,16,19,16,19,19,19,19,19,19,19,19,19,10,10,23,0,0
1705754175,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,16,11,11,11,11,11,12,12,11,11,10,11,11,12,12,17,12,17,12,12,12,12,12,12,12,12,11,10,10,23,0,0
1705754190,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,13,17,17,17,17,17,14,14,17,17,10,17,17,14,14,15,14,15,14,14,14,14,14,14,14,14,15,10,10,23,0,0
1705754205,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,20,20,20,20,20,19,19,20,20,10,20,20,19,19,15,19,15,19,19,19,19,19,19,19,19,19,10,10,0,0,0
1705754220,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,18,18,18,18,18,18,18,18,18,10,18,18,18,18,16,18,16,18,18,18,18,18,18,18,18,18,10,10,23,0,0
1705754235,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,13,13,13,13,13,12,12,13,13,10,13,13,12,12,18,12,18,12,12,12,12,12,12,12,12,12,10,10,0,0,0
1705754250,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,16,16,16,16,16,21,21,16,16,10,16,16,21,21,15,21,15,21,20,20,20,20,20,20,20,20,10,10,0,0,0
1705754265,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,11,11,11,11,11,12,12,11,11,10,11,11,12,12,14,12,14,12,13,13,13,13,13,13,13,13,10,10,23,0,0
1705754280,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,19,19,19,19,19,12,12,19,19,10,19,19,12,12,16,12,16,12,12,12,12,12,12,12,12,12,10,10,23,0,0
1705754295,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,15,15,15,15,15,16,16,15,15,10,15,15,16,16,14,16,14,16,16,16,16,16,16,16,16,16,10,10,0,0,0
1705754310,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,15,15,15,15,15,18,18,15,15,10,15,15,18,18,15,18,15,18,18,18,18,18,18,18,18,18,10,10,23,0,0
1705754325,12,48,36,12,12,12,12,12,12,12,12,12,12,11,11,33,33,11,22,11,14,14,14,14,14,10,10,14,14,10,14,14,10,10,17,10,17,10,10,10,10,10,10,10,10,10,10,10,23,0,0
1705754340,13,52,39,13,13,13,13,13,13,13,13,13,13,14,14,42,42,14,28,14,16,16,16,16,16,19,19,16,16,10,16,16,19,19,14,19,14,19,19,19,19,19,19,19,19,19,10,10,46,0,0
1705754355,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,15,15,15,15,15,15,15,15,15,10,15,15,15,15,14,15,14,15,15,15,15,15,15,15,15,15,10,10,0,0,0
1705754370,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,11,11,11,11,11,14,14,11,11,10,11,11,14,14,16,14,16,14,14,14,14,14,14,14,14,14,10,10,0,0,0
1705754385,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,15,15,15,15,15,13,13,15,15,10,15,15,13,13,17,13,17,13,13,13,13,13,13,13,13,13,10,10,0,0,0
1705754400,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,20,20,20,20,20,17,17,20,20,10,20,20,17,17,9,17,9,17,17,17,17,17,17,17,17,17,10,10,0,0,0
1705754415,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,12,12,12,12,12,17,17,12,12,10,12,12,17,17,16,17,16,17,17,17,17,17,17,17,17,17,10,10,23,0,0
1705754430,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,20,20,20,20,20,14,14,20,20,10,20,20,14,14,20,14,20,14,14,14,14,14,14,14,14,14,10,10,23,0,2
1705754445,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,14,14,14,14,14,19,19,14,14,10,14,14,19,19,13,19,13,19,19,19,19,19,19,19,19,19,10,10,0,0,0
1705754460,22,88,66,22,22,22,22,22,22,22,22,22,22,22,22,66,66,22,44,22,9,9,9,9,9,10,10,9,9,10,9,9,10,10,19,10,19,10,10,10,10,10,10,10,10,10,10,10,23,0,0
1705754475,2,8,6,2,2,2,2,2,2,2,2,2,2,2,2,6,6,2,4,2,11,11,11,11,11,4,4,11,11,4,11,11,4,4,9,4,9,4,4,4,4,4,4,4,4,4,6,6,0,0,0
