time,front-end_1,payment_2,front-end_3,user_4,front-end_5,front-end_6,front-end_7,front-end_8,front-end_9,user_10,user_11,catalogue_12,front-end_13,front-end_14,front-end_15,front-end_16,front-end_17,user_18,front-end_19,front-end_20,front-end_21,orders_22,payment_23,front-end_24,orders_25,shipping_26,catalogue_27,queue-master_28,queue-master_29,front-end_30,front-end_31,queue-master_32,queue-master_33,queue-master_34,front-end_35,front-end_36,front-end_37,user_38,front-end_39,front-end_40,front-end_41,catalogue_42,front-end_43,user_44,front-end_45,front-end_46,user_47,front-end_48,carts_49,carts_50,carts_51,carts_52,carts_53,carts_54,carts_55,carts_56,carts_57,user-db_58,user_59
1705654125,18,10,13,52,39,13,13,13,13,13,13,16,16,11,11,11,11,10,15,14,14,13,13,14,13,13,14,13,13,14,14,39,39,13,26,13,11,11,11,11,11,10,18,18,18,18,18,18,23,0,0,0,0,0,0,0,0,0,0
1705654140,7,10,14,56,42,14,14,14,14,14,14,15,15,15,15,15,15,10,16,11,11,14,14,11,14,14,11,14,14,11,11,42,42,14,28,14,12,12,12,12,12,10,7,7,7,7,7,7,23,0,0,0,0,0,0,0,0,0,0
1705654155,13,10,16,64,48,16,16,16,16,16,16,12,12,12,12,12,12,10,8,12,12,15,15,12,15,15,12,15,15,12,12,45,45,15,30,15,16,16,16,16,16,10,13,13,13,13,13,13,23,0,0,0,0,0,0,0,0,0,0
1705654170,17,10,10,40,30,10,10,10,10,10,10,12,12,15,15,15,15,10,15,15,15,11,11,15,11,11,15,11,11,15,15,33,33,11,22,11,13,13,13,13,13,10,17,17,17,17,17,17,0,0,0,0,0,0,0,0,0,0,0
1705654185,13,10,15,60,45,15,15,15,15,15,15,14,14,11,11,11,11,10,11,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,14,14,14,14,14,10,13,13,13,13,13,13,23,0,0,0,0,0,0,0,0,0,0
1705654200,13,10,10,40,30,10,10,10,10,10,10,15,15,13,13,13,13,10,16,15,15,12,12,15,12,12,15,12,12,15,15,36,36,12,24,12,11,11,11,11,11,10,13,13,13,13,13,13,23,0,0,0,0,0,0,0,0,0,0
1705654215,13,10,16,64,48,16,16,16,16,16,16,13,13,16,16,16,16,10,12,11,11,16,16,11,16,16,11,16,16,11,11,48,48,16,32,16,15,15,15,15,15,10,13,13,13,13,13,13,23,0,0,0,0,0,0,0,0,0,0
1705654230,13,10,9,36,27,9,9,9,9,9,9,8,8,11,11,11,11,10,11,14,14,9,9,14,9,9,14,9,9,14,14,27,27,9,18,9,10,10,10,10,10,10,13,13,13,13,13,13,46,0,0,0,0,0,0,0,0,0,0
1705654245,10,10,16,64,48,16,16,16,16,16,16,13,13,11,11,11,11,10,16,11,11,16,16,11,16,16,11,16,16,11,11,48,48,16,32,16,15,15,15,15,15,10,10,10,10,10,10,10,23,0,0,0,0,0,0,0,0,0,0
1705654260,16,10,13,52,39,13,13,13,13,13,13,15,15,12,12,12,12,10,12,14,14,12,12,14,12,12,14,12,12,14,14,36,36,12,24,12,10,10,10,10,10,10,16,16,16,16,16,16,0,0,0,0,0,0,0,0,0,0,0
1705654275,11,10,12,48,36,12,12,12,12,12,12,15,15,15,15,15,15,10,12,12,12,13,13,12,13,13,12,13,13,12,12,39,39,13,26,13,17,17,17,17,17,10,11,11,11,11,11,11,23,0,0,0,0,0,0,0,0,0,0
1705654290,14,10,14,56,42,14,14,14,14,14,14,10,10,11,11,11,11,10,13,14,14,9,9,14,9,9,14,9,9,14,14,27,27,9,18,9,10,10,10,10,10,10,14,14,14,14,14,14,46,0,0,0,0,0,0,0,0,0,0
1705654305,13,10,10,40,30,10,10,10,10,10,10,12,12,13,13,13,13,10,12,12,12,14,14,12,14,14,12,14,14,12,12,42,42,14,28,14,11,11,11,11,11,10,13,13,13,13,13,13,23,0,0,0,0,0,0,0,0,0,0
1705654320,11,10,13,52,39,13,13,13,13,13,13,13,13,14,14,14,14,10,13,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,13,13,13,13,13,10,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0
1705654335,13,10,16,64,48,16,16,16,16,16,16,12,12,14,14,14,14,10,13,11,11,14,14,11,14,14,11,14,14,11,11,42,42,14,28,14,15,15,15,15,15,10,13,13,13,13,13,13,0,0,0,0,0,0,0,0,0,0,0
1705654350,12,10,13,52,39,13,13,13,13,13,13,15,15,9,9,9,9,10,12,13,13,12,12,13,12,12,13,12,12,13,13,36,36,12,24,12,11,11,11,11,11,10,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0
1705654365,15,10,11,44,33,11,11,11,11,11,11,13,13,15,15,15,15,10,16,13,13,12,12,13,12,12,13,12,12,13,13,36,36,12,24,12,15,15,15,15,15,10,15,15,15,15,15,15,46,0,0,0,0,0,0,0,0,0,0
1705654380,12,10,14,56,42,14,14,14,14,14,14,12,12,12,12,12,12,10,11,13,13,16,16,13,16,16,13,16,16,13,13,48,48,16,32,16,11,11,11,11,11,10,12,12,12,12,12,12,46,0,0,0,0,0,0,0,0,0,0
1705654395,8,10,12,48,36,12,12,12,12,12,12,14,14,15,15,15,15,10,14,10,10,12,12,10,12,12,10,12,12,10,10,36,36,12,24,12,12,12,12,12,12,10,8,8,8,8,8,8,23,0,0,0,0,0,0,0,0,0,0
1705654410,16,10,13,52,39,13,13,13,13,13,13,14,14,9,9,9,9,10,10,14,14,13,13,14,13,13,14,13,13,14,14,39,39,13,26,13,12,12,12,12,12,10,16,16,16,16,16,16,0,0,0,0,0,0,0,0,0,0,0
1705654425,16,10,9,36,27,9,9,9,9,9,9,8,8,13,13,13,13,10,15,15,15,8,8,15,8,8,15,8,8,15,15,24,24,8,16,8,13,13,13,13,13,10,16,16,16,16,16,16,23,0,0,0,0,0,0,0,0,0,0
1705654440,9,10,16,64,48,16,16,16,16,16,16,12,12,15,15,15,15,10,15,12,12,17,17,12,17,17,12,17,17,12,12,51,51,17,34,17,12,12,12,12,12,10,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0
1705654455,13,10,16,64,48,16,16,16,16,16,16,18,18,9,9,9,9,10,12,13,13,16,16,13,16,16,13,16,16,13,13,48,48,16,32,16,10,10,10,10,10,10,13,13,13,13,13,13,23,0,0,0,0,0,0,0,0,0,0
1705654470,9,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,10,6,9,9,13,13,9,13,13,9,13,13,9,9,39,39,13,26,13,19,19,19,19,19,10,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0
1705654485,16,10,4,16,12,4,4,4,4,4,4,12,12,15,15,15,15,10,8,11,11,2,2,11,2,2,11,2,2,11,11,6,6,2,4,2,16,16,16,16,16,10,16,16,16,16,16,16,0,0,0,0,0,0,0,0,0,0,0
1705654500,14,10,10,40,30,10,10,10,10,10,10,6,6,13,13,13,13,10,13,16,16,9,9,16,9,9,16,9,9,16,16,27,27,9,18,9,10,10,10,10,10,10,14,14,14,14,14,14,0,0,0,0,0,0,0,0,0,0,0
1705654515,12,10,12,48,36,12,12,12,12,12,12,8,8,8,8,8,8,10,18,13,13,14,14,13,14,14,13,14,14,13,13,42,42,14,28,14,3,3,3,3,3,10,13,13,13,13,13,13,0,0,0,0,0,0,0,0,0,0,0
1705654530,8,10,21,84,63,21,21,21,21,21,21,16,16,8,8,8,8,10,11,9,9,21,21,9,21,21,9,21,21,9,9,63,63,21,42,21,11,11,11,11,11,10,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0
1705654545,9,10,8,32,24,8,8,8,8,8,8,17,17,15,15,15,15,10,14,10,10,9,9,10,9,9,10,9,9,10,10,27,27,9,18,9,12,12,12,12,12,10,9,9,9,9,9,9,23,0,0,0,0,0,0,0,0,0,0
1705654560,16,10,13,52,39,13,13,13,13,13,13,11,11,17,17,17,17,10,5,11,11,12,12,11,12,12,11,12,12,11,11,36,36,12,24,12,24,24,24,24,24,10,16,16,16,16,16,16,0,0,0,0,0,0,0,0,0,0,0
1705654575,18,10,7,28,21,7,7,7,7,7,7,8,8,12,12,12,12,10,9,17,17,2,2,17,2,2,17,2,2,17,17,6,6,2,4,2,9,9,9,9,9,10,18,18,18,18,18,18,109,1,1,1,1,4,3,1,1,0,0
1705654590,9,10,9,36,27,9,9,9,9,9,9,9,9,7,7,7,7,10,24,14,14,15,15,14,15,15,14,15,15,14,14,45,45,15,30,15,5,5,4,4,4,10,9,9,9,9,9,9,0,0,0,0,0,27,0,22,0,0,0
1705654605,9,10,25,100,75,25,25,25,25,25,25,13,13,14,14,14,14,10,11,9,9,24,24,9,24,24,9,24,24,9,9,72,72,24,48,24,13,13,14,14,14,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0
1705654620,10,10,9,36,27,9,9,9,9,9,9,22,22,9,9,9,9,10,13,11,11,10,10,11,10,10,11,10,10,11,11,30,30,10,20,10,8,8,8,8,8,10,9,9,9,9,9,9,23,0,0,0,0,0,0,0,0,0,0
1705654635,17,10,11,44,33,11,11,11,11,11,11,11,11,17,17,17,17,10,6,12,12,11,11,12,11,11,12,11,11,12,12,33,33,11,22,11,24,24,24,24,24,10,17,17,17,17,17,17,23,0,0,0,0,0,0,0,0,0,0
1705654650,11,10,6,24,18,6,6,6,6,6,6,9,9,12,12,12,12,10,12,13,13,6,6,13,6,6,13,6,6,13,13,18,18,6,12,6,7,7,7,7,7,10,11,11,11,11,11,11,0,0,0,0,0,0,0,2,0,0,0
1705654665,11,10,16,63,48,16,16,16,16,15,15,5,5,12,12,12,12,10,14,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,14,14,14,14,14,10,12,12,12,12,12,12,23,0,0,0,0,0,0,0,0,0,0
1705654680,14,10,14,57,42,14,14,14,14,15,15,18,18,10,10,10,10,10,14,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,8,7,7,7,7,10,13,13,13,13,13,13,46,0,0,0,0,0,0,0,0,0,0
1705654695,8,10,14,56,42,14,14,14,14,14,14,15,15,12,12,12,12,10,15,9,9,17,17,9,17,17,9,17,17,9,9,51,51,17,34,17,10,11,11,11,11,10,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0
1705654710,16,10,11,44,33,11,11,11,11,11,11,12,12,15,15,15,15,10,10,14,14,11,11,14,11,11,14,11,11,14,14,33,33,11,22,11,19,19,19,19,19,10,16,16,16,16,16,16,46,0,0,0,0,0,0,0,0,0,0
1705654725,13,10,10,40,30,10,10,10,10,10,10,12,12,14,14,14,14,10,11,13,13,9,9,13,9,9,13,9,9,13,13,27,27,9,18,9,12,12,12,12,12,10,13,13,13,13,13,13,0,0,0,0,0,0,0,0,0,0,0
1705654740,12,10,11,44,33,11,11,11,11,11,11,11,11,13,13,13,13,10,14,13,13,11,11,13,11,11,13,11,11,13,13,33,33,11,22,11,12,12,12,12,12,10,13,13,13,13,12,12,0,0,0,0,0,0,0,0,0,0,0
1705654755,12,10,16,64,48,16,16,16,16,16,16,12,12,12,12,12,12,10,14,11,11,16,16,11,16,16,11,16,16,11,11,48,48,16,32,16,11,11,11,11,11,10,11,11,11,11,12,12,0,0,0,0,0,0,0,0,0,0,0
1705654770,12,10,14,56,42,14,14,14,14,14,14,13,13,10,10,10,10,10,16,14,14,15,15,14,15,15,14,15,15,14,14,45,45,15,30,15,10,10,10,10,10,10,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0
1705654785,11,10,15,57,42,14,14,14,14,14,14,16,16,13,13,13,13,10,11,11,11,13,13,11,13,13,11,13,13,11,11,39,39,13,26,13,13,13,13,13,13,10,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0
1705654800,14,10,12,51,39,13,13,13,13,13,13,15,15,15,15,15,15,10,8,14,14,12,12,14,12,12,14,12,12,14,14,36,36,12,24,12,19,19,19,19,19,10,14,14,14,14,14,14,0,0,0,0,0,0,0,0,0,0,0
1705654815,14,10,11,40,30,10,10,10,10,9,9,11,11,12,12,12,12,10,10,13,13,9,9,13,9,9,13,9,9,13,13,27,27,9,18,9,11,11,11,11,11,10,14,14,14,14,14,14,23,0,0,0,0,0,0,0,0,0,0
1705654830,13,10,9,40,30,10,10,10,10,11,11,7,7,12,12,12,12,10,17,11,11,12,12,11,12,12,11,12,12,11,11,36,36,12,24,12,10,10,10,10,10,10,13,13,13,13,13,13,0,0,0,0,0,0,0,0,0,0,0
1705654845,12,10,14,56,42,14,14,14,14,14,14,14,14,9,9,9,9,10,11,13,13,14,14,13,14,14,13,14,14,13,13,42,42,14,28,14,15,15,15,15,15,10,12,12,12,12,12,12,23,0,0,0,0,0,0,0,0,0,0
1705654860,13,10,11,44,33,11,11,11,11,11,11,15,15,17,17,17,17,10,12,12,12,11,11,12,11,11,12,11,11,12,12,33,33,11,22,11,11,11,11,11,11,10,14,14,14,14,13,13,69,0,0,0,0,0,0,0,0,0,0
1705654875,11,10,13,52,39,13,13,13,13,13,13,7,7,11,11,11,11,10,16,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,12,12,12,12,12,10,10,10,10,10,11,11,23,0,0,0,0,0,0,0,0,2,0
1705654890,15,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,9,12,11,11,14,14,11,14,14,11,14,14,11,11,42,42,14,28,14,14,14,14,14,14,10,15,15,15,15,15,15,23,0,0,0,0,0,0,0,0,0,1
1705654905,11,10,12,48,36,12,12,12,12,12,12,17,17,13,13,13,13,10,10,14,14,12,12,14,12,12,14,12,12,14,14,36,36,12,24,12,13,13,13,13,13,10,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0
1705654920,12,10,13,52,39,13,13,13,13,13,13,9,9,14,14,14,14,10,12,11,11,10,10,11,10,10,11,10,10,11,11,30,30,10,20,10,12,12,12,12,12,10,12,12,12,12,12,12,46,0,0,0,0,0,0,0,0,2,0
1705654935,12,10,9,35,27,9,9,9,9,8,8,12,12,12,12,12,12,10,17,13,13,11,11,13,11,11,13,11,11,13,13,33,33,11,22,11,12,12,12,12,12,10,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0
1705654950,13,10,16,64,48,16,16,16,16,16,16,11,11,8,8,8,8,10,14,14,14,16,16,14,16,16,14,16,16,14,14,48,48,16,32,16,9,9,9,9,9,10,13,13,13,13,13,13,23,0,0,0,0,0,0,0,0,0,0
1705654965,11,10,15,60,43,15,15,14,14,15,15,19,19,16,16,16,16,10,9,10,10,15,15,10,15,15,10,15,15,10,10,45,45,15,30,15,16,16,16,16,16,10,11,11,11,11,11,11,23,0,0,0,0,0,0,0,0,0,0
1705654980,12,10,11,42,32,10,10,11,11,11,11,15,15,13,13,13,13,10,15,13,13,11,11,13,11,11,13,11,11,13,13,33,33,11,22,11,13,13,13,13,13,10,12,12,12,12,12,12,23,0,0,0,0,0,0,0,0,0,0
1705654995,15,10,12,51,39,13,13,13,13,13,13,10,10,12,12,12,12,10,5,15,15,13,13,15,13,13,15,13,13,15,15,39,39,13,26,13,14,14,14,14,14,10,15,15,15,15,15,15,0,0,0,0,0,0,0,0,0,0,0
1705655010,12,10,12,44,33,11,11,11,11,11,11,8,8,11,11,11,11,10,15,11,11,6,6,11,6,6,11,6,6,11,11,18,18,6,12,6,16,16,16,16,16,10,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0
1705655025,15,10,10,44,33,11,11,11,11,11,11,13,13,12,12,12,12,10,12,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,7,7,7,7,7,10,15,15,15,15,15,15,0,0,0,0,0,0,0,0,0,0,0
1705655040,10,10,12,48,36,12,12,12,12,12,12,13,13,13,13,13,13,10,20,12,12,14,14,12,14,14,12,14,14,12,12,42,42,14,28,14,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0
1705655055,15,10,19,76,57,19,19,19,19,19,19,12,12,14,14,14,14,10,8,13,13,19,19,13,19,19,13,19,19,13,13,57,57,19,38,19,15,15,15,15,15,10,15,15,15,15,15,15,0,0,0,0,0,0,0,0,0,0,0
1705655070,10,10,12,48,36,12,12,12,12,12,12,18,18,11,11,11,11,10,15,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0
1705655085,12,10,13,52,39,13,13,13,13,13,13,12,12,13,13,13,13,10,8,13,13,14,14,13,14,14,13,14,14,13,13,42,42,14,28,14,17,17,17,17,17,10,12,12,12,12,12,12,46,0,0,0,0,0,0,0,0,0,0
1705655100,15,10,9,31,23,9,9,7,7,7,7,10,10,12,12,12,12,10,14,14,14,7,7,14,7,7,14,7,7,14,14,21,21,7,14,7,12,12,12,12,12,10,16,16,16,16,15,15,0,0,0,0,0,0,0,0,0,0,0
1705655115,12,10,14,61,46,14,14,16,16,16,16,9,9,14,14,14,14,10,11,9,9,15,15,9,15,15,9,15,15,9,9,45,45,15,30,15,17,17,17,17,17,10,11,11,11,11,12,12,0,0,0,0,0,0,0,0,0,0,0
1705655130,14,10,8,32,24,8,8,8,8,8,8,16,16,10,10,10,10,10,12,17,17,8,8,17,8,8,17,8,8,17,17,24,24,8,16,8,7,7,7,7,7,10,14,14,14,14,14,14,46,0,0,0,0,0,0,0,0,0,0
1705655145,9,10,16,60,45,15,15,15,15,15,15,9,9,15,15,15,15,10,16,10,10,16,16,10,16,16,10,16,16,10,10,48,48,16,32,16,12,12,12,12,12,10,9,9,9,9,9,9,46,0,0,0,0,0,0,0,0,0,0
1705655160,14,10,15,64,48,16,16,16,16,16,16,16,16,10,10,10,10,10,12,15,15,17,17,15,17,17,15,17,17,15,15,51,51,17,34,17,11,11,11,11,11,10,14,14,14,14,14,14,0,0,0,0,0,0,0,0,0,0,0
1705655175,15,10,12,48,36,12,12,12,12,12,12,11,11,14,14,14,14,10,12,10,10,11,11,10,11,11,10,11,11,10,10,33,33,11,22,11,16,16,16,16,16,10,15,15,15,15,15,15,0,0,0,0,0,0,0,0,0,0,0
1705655190,10,10,9,35,25,9,9,8,8,8,8,14,14,13,13,13,13,10,13,13,13,9,9,13,9,9,13,9,9,13,13,27,27,9,18,9,10,10,10,10,10,10,10,10,10,10,10,10,23,0,0,0,0,0,0,0,0,0,0
1705655205,14,10,16,61,47,15,15,16,16,16,16,8,8,13,13,13,13,10,8,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,15,14,14,14,14,10,14,14,14,14,14,14,23,0,0,0,0,0,0,0,0,0,0
1705655220,11,10,8,36,27,9,9,9,9,9,9,17,17,11,11,11,11,10,16,12,12,10,10,12,10,10,12,10,10,12,12,30,30,10,20,10,13,13,13,13,13,10,11,11,11,11,11,11,23,0,0,0,0,0,0,0,0,0,0
1705655235,13,10,14,56,42,14,14,14,14,14,14,10,10,13,13,13,13,10,11,12,12,15,15,12,15,15,12,15,15,12,12,45,45,15,30,15,11,12,12,12,12,10,13,13,13,13,13,13,23,0,0,0,0,0,0,0,0,0,0
1705655250,11,10,11,38,27,9,9,9,9,9,9,13,13,12,12,12,12,10,13,13,13,10,10,13,10,10,13,10,10,13,13,30,30,10,20,10,11,11,11,11,11,10,12,12,12,12,11,11,0,0,0,0,0,0,0,0,0,0,0
1705655265,13,10,16,70,54,18,18,18,18,18,18,10,10,13,13,13,13,10,11,12,12,16,16,12,16,16,12,16,16,12,12,48,48,16,32,16,12,12,12,12,12,10,13,13,13,13,13,13,0,0,0,0,0,0,0,0,0,0,0
1705655280,11,10,9,36,27,9,9,9,9,9,9,18,18,12,12,12,12,10,13,12,12,9,9,12,9,9,12,9,9,12,12,27,27,9,18,9,16,16,16,16,16,10,11,11,11,11,12,12,23,0,0,0,0,0,0,0,0,0,0
1705655295,14,10,13,52,39,13,13,13,13,13,13,10,10,10,10,10,10,10,12,13,13,15,15,13,15,15,13,15,15,13,13,45,45,15,30,15,9,9,9,9,9,10,13,13,13,13,13,13,23,0,0,0,0,0,0,0,0,0,0
1705655310,13,10,15,60,45,15,15,15,15,15,15,13,13,16,16,16,16,10,14,11,11,13,13,11,13,13,11,13,13,11,11,39,39,13,26,13,15,15,15,15,15,10,13,13,13,13,13,13,23,0,0,0,0,0,0,0,0,0,0
1705655325,11,10,9,36,27,9,9,9,9,9,9,9,9,14,14,14,14,10,10,13,13,9,9,13,9,9,13,9,9,13,13,27,27,9,18,9,14,14,14,14,14,10,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0
1705655340,14,10,11,44,33,11,11,11,11,11,11,13,13,9,9,9,9,10,12,15,15,13,13,15,13,13,15,13,13,15,15,39,39,13,26,13,10,10,10,10,10,10,14,14,14,14,14,14,23,0,0,0,0,0,0,0,0,0,0
1705655355,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,2,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
