time,catalogue_1,front-end_2,front-end_3,user_4,front-end_5,front-end_6,front-end_7,front-end_8,front-end_9,user_10,user_11,orders_12,payment_13,orders_14,shipping_15,queue-master_16,queue-master_17,queue-master_18,queue-master_19,queue-master_20,front-end_21,front-end_22,user_23,front-end_24,user_25,front-end_26,front-end_27,user_28,front-end_29,front-end_30,front-end_31,front-end_32,front-end_33,catalogue_34,front-end_35,front-end_36,front-end_37,front-end_38,user_39,front-end_40,front-end_41,front-end_42,front-end_43,front-end_44,front-end_45,front-end_46,catalogue_47,payment_48,carts_49,user_50,user_51,orders-db_52,user-db_53
1705793250,13,13,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,17,17,17,17,17,17,17,17,17,10,10,0,0,0,0,0
1705793265,18,18,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,10,10,0,0,0,0,0
1705793280,13,13,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,17,17,17,17,17,17,17,17,17,10,10,23,0,0,0,0
1705793295,18,18,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,19,19,19,19,19,19,19,18,18,18,18,18,18,18,14,14,14,14,14,14,14,14,14,10,10,0,0,0,0,0
1705793310,14,14,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,11,11,11,11,11,11,11,12,12,12,12,12,12,12,16,16,16,16,16,16,16,16,16,10,10,0,0,0,0,0
1705793325,13,13,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,20,20,20,20,20,20,20,20,20,20,20,20,20,19,15,15,15,15,15,15,15,15,15,10,10,0,0,0,0,0
1705793340,19,19,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,11,11,11,11,11,11,11,11,11,11,11,11,11,12,17,17,17,17,17,17,17,17,17,10,10,0,0,0,0,0
1705793355,16,16,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,20,20,20,20,20,20,20,20,20,20,20,20,20,20,16,16,16,16,16,16,16,16,16,10,10,23,0,0,0,0
1705793370,13,13,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,13,13,13,13,13,13,13,13,13,10,10,0,0,0,0,0
1705793385,20,20,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,18,18,18,18,18,18,18,18,18,10,10,23,0,0,0,0
1705793400,11,11,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,19,19,19,19,19,19,19,19,19,19,19,19,19,19,17,17,17,17,17,17,17,17,17,10,10,0,0,0,0,0
1705793415,14,14,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,12,12,12,12,12,12,12,12,10,10,0,0,0,0,0
1705793430,22,22,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,19,19,19,19,19,19,19,19,19,10,10,0,0,0,0,0
1705793445,10,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,9,19,19,19,19,19,19,19,19,19,19,19,19,19,19,14,14,14,14,14,14,14,14,14,10,10,0,0,1,0,0
1705793460,17,17,21,84,63,21,21,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,0,0,0,1,0
1705793475,17,17,8,32,24,8,8,8,8,8,8,8,8,8,8,8,8,24,24,8,16,8,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,19,19,19,19,19,19,19,19,19,10,10,0,0,0,0,0
1705793490,10,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,24,24,24,24,24,24,24,24,24,24,24,24,24,23,13,13,13,13,13,13,13,13,13,10,10,0,0,0,0,0
1705793505,17,17,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,15,15,15,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,10,10,46,0,0,0,0
1705793520,17,17,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,15,15,15,15,15,15,15,15,15,10,10,23,0,0,0,0
1705793535,16,16,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,20,20,20,20,20,20,20,20,20,20,20,20,20,20,17,17,17,17,17,17,17,17,17,10,10,0,0,0,0,0
1705793550,13,13,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,16,16,16,16,16,16,16,16,16,10,10,23,0,0,0,0
1705793565,18,18,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,18,18,18,18,18,18,18,18,18,10,10,23,0,0,0,0
1705793580,13,13,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,9,9,9,9,9,9,9,9,9,10,10,46,0,0,0,0
1705793595,18,18,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,18,18,18,18,18,18,18,18,18,10,10,23,0,0,0,0
1705793610,11,11,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,18,18,18,18,18,18,18,18,18,10,10,46,0,0,0,0
1705793625,18,18,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0
1705793640,19,19,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,18,18,18,18,18,18,18,18,18,10,10,0,0,0,0,0
1705793655,8,8,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0
1705793670,17,17,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,18,18,18,18,18,18,18,18,18,10,10,0,0,0,0,0
1705793685,14,14,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,22,22,22,22,22,22,22,22,22,22,22,22,22,22,18,18,18,18,18,18,18,18,18,10,10,46,0,0,0,0
1705793700,19,19,18,72,54,18,18,18,18,18,18,18,17,17,17,17,17,51,51,17,34,17,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,13,13,13,13,13,13,13,13,10,10,23,0,0,0,0
1705793715,16,16,16,64,48,16,16,16,16,16,16,16,17,17,17,17,17,51,51,17,34,17,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,10,23,0,0,0,0
1705793730,12,12,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,18,18,18,18,18,18,18,18,18,10,10,0,0,0,0,0
1705793745,11,11,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,21,21,21,21,21,21,21,21,21,21,21,21,21,21,16,16,16,16,16,16,16,16,16,10,10,0,0,0,0,0
1705793760,21,21,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,13,13,13,13,13,13,13,13,13,10,10,0,0,0,0,0
1705793775,14,14,9,36,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,9,18,9,10,20,20,20,20,20,19,19,19,19,19,19,19,19,19,17,17,17,17,17,17,17,17,17,10,10,0,0,0,0,0
1705793790,14,14,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,18,18,18,18,18,19,19,19,19,19,19,19,19,19,13,13,13,13,13,13,13,13,13,10,10,0,0,0,0,0
1705793805,19,19,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,11,11,11,10,10,10,10,10,10,10,10,10,10,10,18,18,18,18,18,18,18,18,18,10,10,0,0,0,0,0
1705793820,14,14,17,60,41,15,15,13,13,13,13,11,11,11,11,11,11,33,33,11,22,11,10,15,15,15,16,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,10,10,0,0,0,0,0
1705793835,14,14,10,41,34,10,10,12,12,11,11,13,13,13,13,13,13,39,39,13,26,13,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,10,23,0,0,0,0
1705793850,11,11,15,66,51,17,17,17,17,17,17,15,15,15,15,15,15,45,45,15,30,15,10,12,11,11,11,12,12,12,12,12,12,12,12,12,12,7,7,7,7,7,7,7,7,7,10,10,0,0,0,0,0
1705793865,17,17,11,45,33,11,11,11,11,12,12,12,12,12,12,12,12,36,36,12,24,12,10,11,12,12,12,11,11,11,11,11,11,11,11,11,11,20,19,18,18,18,17,17,17,17,10,10,0,0,0,0,0
1705793880,10,10,10,37,28,10,10,9,9,9,9,9,9,9,9,9,9,27,27,9,18,9,10,22,21,21,21,22,22,22,22,22,22,22,22,22,21,15,16,17,17,17,18,18,18,18,10,10,0,0,0,0,0
1705793895,14,14,21,82,60,20,20,20,20,20,20,22,22,22,22,22,22,66,66,22,44,22,10,12,13,13,13,13,13,13,13,13,13,13,13,13,14,11,11,11,11,11,11,11,11,11,10,10,0,0,0,0,0
1705793910,15,15,15,62,47,15,15,16,16,16,16,14,14,14,14,14,14,42,42,14,28,14,10,15,14,13,13,12,12,11,11,11,11,11,11,11,11,19,19,19,19,19,19,19,19,19,10,10,0,0,0,0,0
1705793925,14,14,18,52,38,14,14,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,13,14,15,15,16,16,17,17,17,17,17,17,17,17,12,12,12,12,12,12,12,12,12,10,10,23,0,0,0,0
1705793940,19,19,10,60,46,14,14,16,16,16,16,18,18,18,18,18,18,54,54,18,36,18,10,12,11,11,11,11,11,11,11,11,11,11,11,11,11,14,14,13,13,13,13,13,13,13,10,10,0,0,0,0,3
1705793955,12,12,12,45,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,17,18,18,18,18,18,18,18,18,18,18,18,18,18,11,11,12,12,12,12,12,12,12,10,10,46,0,0,0,0
1705793970,10,10,17,66,49,17,17,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,21,21,21,21,21,21,21,21,21,10,10,23,0,0,0,0
1705793985,17,17,14,57,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,18,18,18,18,17,17,17,17,17,17,17,17,17,17,13,13,13,13,13,13,13,13,13,10,10,0,0,0,0,0
1705794000,16,16,17,67,51,17,17,17,17,16,16,16,16,16,16,16,16,48,48,16,32,16,10,11,11,11,11,12,12,12,12,12,12,12,12,12,12,11,11,11,11,11,11,11,11,11,10,10,46,0,0,0,0
1705794015,15,15,10,48,38,12,12,13,13,14,14,14,14,14,14,14,14,42,42,14,28,14,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,13,13,13,13,13,13,13,13,13,10,10,0,0,0,0,0
1705794030,13,13,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,19,19,18,18,18,18,18,18,18,18,18,18,18,18,17,17,17,17,17,17,17,17,17,10,10,0,0,0,0,0
1705794045,11,11,18,69,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,15,15,16,16,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,10,23,0,0,0,0
1705794060,19,19,15,56,41,15,15,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,23,0,0,0,0
1705794075,13,13,10,47,37,11,11,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,15,15,15,15,15,15,15,15,15,15,15,15,15,14,19,19,17,17,17,17,17,17,17,10,10,46,0,0,0,0
1705794090,13,13,18,72,54,18,18,18,18,18,18,15,15,15,15,15,15,45,45,15,30,15,10,16,16,16,16,16,15,15,15,15,15,15,15,15,16,11,11,13,13,13,13,13,13,13,10,10,46,0,0,0,0
1705794105,16,16,15,60,45,15,15,15,15,15,15,18,18,18,18,18,18,54,54,18,36,18,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,17,17,17,17,17,17,17,17,17,10,10,23,0,0,0,0
1705794120,15,15,12,43,31,11,11,10,10,9,9,9,9,9,9,9,9,27,27,9,18,9,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0
1705794135,12,12,16,68,51,17,17,17,17,18,18,18,18,18,18,18,18,54,54,18,36,18,10,18,17,17,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,10,69,0,0,0,0
1705794150,14,14,16,65,50,16,16,17,17,17,17,16,16,16,16,16,16,48,48,16,32,16,10,11,12,12,12,11,11,11,11,11,11,11,11,11,11,16,16,15,15,15,15,15,15,15,10,10,0,0,0,0,0
1705794165,17,17,13,47,32,12,12,10,10,10,10,11,11,11,11,11,11,33,33,11,22,11,10,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,16,17,17,17,17,17,17,17,10,10,23,0,0,0,0
1705794180,13,13,19,69,54,18,18,18,18,18,18,17,17,17,17,17,17,51,51,17,34,17,10,19,19,19,19,18,18,18,18,18,18,18,18,18,18,14,15,15,15,15,15,15,15,15,10,10,23,0,0,0,0
1705794195,18,18,14,66,48,16,16,16,16,16,16,15,15,15,15,15,15,45,45,15,30,15,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0
1705794210,13,13,13,51,40,12,12,14,14,14,14,15,15,15,15,15,15,45,45,15,30,15,10,12,12,12,12,11,11,11,11,11,11,11,11,11,11,9,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0
1705794225,14,14,10,36,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,9,18,9,10,15,15,15,15,15,15,15,14,14,14,14,14,14,14,23,23,23,23,23,22,22,22,22,10,10,0,0,0,0,0
1705794240,10,10,17,70,52,18,18,17,17,17,17,16,16,16,16,16,16,48,48,16,32,16,10,17,17,17,17,17,17,17,18,18,18,18,18,18,18,9,9,9,9,9,10,10,10,10,10,10,23,0,0,0,0
1705794255,17,17,12,53,41,13,13,14,14,14,14,16,16,16,16,16,16,48,48,16,32,16,10,13,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,10,23,0,0,0,0
1705794270,13,13,14,55,42,14,14,14,14,13,13,13,13,13,13,13,13,39,39,13,26,13,10,14,13,13,13,13,13,13,13,13,13,13,13,13,13,17,16,15,15,15,15,15,15,15,10,10,0,0,0,0,0
1705794285,16,16,17,59,38,16,16,11,11,12,12,11,11,11,11,11,11,33,33,11,22,11,10,14,15,15,15,15,15,15,15,15,15,15,15,15,15,9,10,11,11,11,11,11,11,11,10,10,23,0,0,0,0
1705794300,12,12,12,58,49,13,13,18,18,18,18,19,19,19,19,19,19,57,57,19,38,19,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,19,19,18,18,18,18,18,18,18,10,10,0,0,0,0,0
1705794315,14,14,9,33,24,8,8,8,8,8,8,6,6,6,6,6,6,18,18,6,12,6,10,18,19,19,19,19,19,20,20,20,20,20,20,20,20,16,16,16,16,16,16,16,16,16,10,10,0,0,0,0,0
1705794330,12,12,20,81,59,21,21,19,19,19,19,21,21,21,21,21,21,63,63,21,42,21,10,15,15,15,15,15,14,14,14,14,14,14,14,14,14,10,10,11,11,11,11,11,11,11,10,10,0,0,0,0,1
1705794345,21,21,16,62,47,15,15,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,11,9,9,9,9,10,10,10,10,10,10,10,10,10,11,10,10,10,10,10,10,10,10,10,10,46,0,0,0,0
1705794360,10,10,7,26,20,6,6,7,7,7,7,7,7,7,7,7,7,21,21,7,14,7,10,12,14,14,14,14,14,14,14,14,14,14,14,14,14,17,18,17,17,17,17,17,17,17,10,10,46,0,0,0,0
1705794375,11,11,18,75,57,19,19,19,19,19,19,17,17,17,17,17,17,51,51,17,34,17,10,18,18,16,16,16,16,16,15,15,15,15,15,15,15,13,13,13,13,13,13,13,13,13,10,10,23,0,0,0,0
1705794390,16,16,11,47,36,12,12,12,12,12,12,14,14,14,14,14,14,42,42,14,28,14,10,12,12,14,14,14,14,14,15,15,15,15,15,15,15,13,13,14,14,14,14,14,14,14,10,10,46,0,0,0,0
1705794405,11,11,17,61,45,15,15,15,15,15,15,14,14,14,14,14,14,42,42,14,28,14,10,13,12,12,12,12,12,12,12,12,12,12,12,12,12,19,19,19,19,19,18,18,18,18,10,10,23,0,0,0,0
1705794420,18,18,10,46,36,12,12,12,12,11,11,12,12,12,12,12,12,36,36,12,24,12,10,18,18,18,18,18,18,17,17,17,17,17,17,17,17,11,11,11,11,11,12,12,12,12,10,10,0,0,0,0,0
1705794435,10,10,18,70,51,17,17,17,17,18,18,18,18,18,18,18,18,54,54,18,36,18,10,11,12,12,12,12,11,12,12,12,12,12,12,12,12,15,15,15,15,15,15,15,15,15,10,10,23,0,0,0,0
1705794450,17,17,14,50,37,13,13,12,12,11,11,10,10,10,10,10,10,30,30,10,20,10,10,13,13,13,13,13,14,14,14,14,14,14,14,14,14,13,12,12,12,12,12,12,12,12,10,10,0,0,0,0,0
1705794465,16,16,13,57,43,15,15,14,14,15,15,16,16,16,16,16,16,48,48,16,32,16,10,15,15,15,15,14,14,14,14,14,14,14,14,14,14,11,12,12,12,12,12,12,12,12,10,10,0,0,0,0,0
1705794480,9,9,13,56,43,13,13,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,17,15,15,15,15,15,15,15,15,15,15,15,15,15,19,18,18,18,18,18,18,18,18,10,10,46,0,0,0,0
1705794495,14,14,14,52,37,13,13,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,13,15,15,15,16,16,16,16,16,16,16,16,16,16,15,16,16,16,16,16,16,16,16,10,10,0,0,0,0,0
1705794510,18,18,18,76,59,19,19,20,20,20,20,19,19,19,19,19,19,57,57,19,38,19,10,14,14,13,13,13,13,13,13,13,13,13,13,13,13,11,11,11,11,11,11,11,11,11,10,10,0,0,0,0,0
1705794525,17,17,14,49,36,12,12,12,12,12,12,13,13,13,13,13,13,39,39,13,26,13,10,14,14,15,15,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,10,10,23,0,0,0,0
1705794540,6,6,6,24,17,7,7,5,5,5,5,4,4,4,4,4,4,12,12,4,8,4,4,8,7,6,6,6,6,6,6,6,6,6,6,6,6,12,12,11,11,11,11,11,11,11,4,6,0,0,0,0,0
