time,front-end_1,user_2,front-end_3,front-end_4,front-end_5,front-end_6,front-end_7,front-end_8,front-end_9,front-end_10,front-end_11,front-end_12,front-end_13,catalogue_14,front-end_15,front-end_16,front-end_17,catalogue_18,front-end_19,payment_20,front-end_21,user_22,front-end_23,front-end_24,front-end_25,front-end_26,front-end_27,user_28,user_29,orders_30,payment_31,orders_32,shipping_33,queue-master_34,queue-master_35,queue-master_36,queue-master_37,queue-master_38,front-end_39,front-end_40,user_41,catalogue_42,front-end_43,user_44,front-end_45,front-end_46,user_47,front-end_48,user_49,carts_50,user_51,carts_52,user-db_53,user_54,payment_55,payment_56,orders_57,orders_58,front-end_59,front-end_60,orders_61,user_62
1705774320,16,16,14,16,16,16,14,14,16,16,16,16,14,14,14,14,14,15,15,5,21,84,63,21,21,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,10,10,14,14,14,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705774335,15,15,14,15,15,15,14,14,15,15,15,15,14,14,14,14,14,17,17,5,13,49,36,12,12,12,12,12,12,12,11,11,11,11,11,33,33,11,22,11,10,10,14,14,14,14,14,14,0,23,0,0,0,0,0,0,26,1,2,1,0,0
1705774350,22,22,17,22,22,22,17,17,22,22,22,22,17,17,17,17,17,15,15,6,19,79,60,20,20,20,20,20,20,20,10,10,10,10,10,30,30,10,20,10,10,10,17,17,17,17,17,17,0,23,0,0,0,0,0,0,260,10,20,10,0,0
1705774365,8,8,17,8,8,8,17,17,8,8,8,8,17,17,17,17,17,16,16,8,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,17,17,17,17,17,17,0,46,0,0,0,0,0,0,0,0,0,0,0,0
1705774380,14,14,12,14,14,14,12,12,14,14,14,14,12,12,12,12,12,20,20,9,16,64,48,16,16,16,16,16,16,16,16,15,15,15,15,45,45,15,30,15,10,10,12,12,12,12,12,12,0,0,0,0,0,0,0,0,71,0,2,1,1,0
1705774395,17,17,11,17,17,17,11,11,17,17,17,17,11,11,11,11,11,11,11,9,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,11,11,11,11,11,11,0,23,0,0,0,0,0,0,0,0,0,0,0,0
1705774410,15,15,20,15,15,15,20,20,15,15,15,15,20,20,20,20,20,12,12,8,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,10,20,20,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705774425,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,20,20,7,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,10,17,17,17,17,17,17,0,23,0,0,0,0,0,0,0,0,0,0,0,0
1705774440,12,12,15,12,12,12,15,15,12,12,12,12,15,15,15,15,15,11,11,7,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,15,15,15,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705774455,17,17,10,17,17,17,10,10,17,17,17,17,10,10,10,10,10,18,18,8,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,10,10,10,10,10,10,0,23,0,0,0,0,0,0,0,0,0,0,0,0
1705774470,16,16,19,16,16,16,19,19,16,16,16,16,19,19,19,19,19,13,13,6,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,19,19,19,19,19,19,0,23,0,0,0,0,0,0,0,0,0,0,0,0
1705774485,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,7,19,75,57,19,19,19,19,19,19,19,19,17,17,17,17,51,51,17,34,17,10,10,13,13,13,13,13,13,0,0,0,0,0,0,0,0,71,0,2,1,1,1
1705774500,14,14,14,13,13,13,14,14,13,13,13,13,14,14,14,14,14,17,17,5,11,44,33,11,11,11,11,11,11,11,11,12,12,12,12,36,36,12,24,12,10,10,14,14,14,14,14,14,0,23,0,0,0,0,1,0,0,0,0,0,0,0
1705774515,13,13,15,14,14,14,15,15,14,14,14,14,15,15,15,15,15,17,17,0,14,56,42,14,14,14,14,14,14,14,2,2,2,2,2,6,6,2,4,2,10,10,15,15,15,15,15,15,0,23,0,0,0,0,0,1,312,12,24,12,0,0
1705774530,18,18,13,18,18,18,13,13,18,18,18,18,13,13,13,13,13,11,11,0,16,64,48,16,16,16,16,16,16,16,0,0,0,0,0,0,0,0,0,0,10,10,13,13,13,13,13,13,0,23,0,0,0,0,0,0,416,16,32,16,0,0
1705774545,17,17,19,17,17,17,19,19,17,17,17,17,19,19,19,19,19,13,13,0,14,56,42,14,14,14,14,14,14,14,0,0,0,0,0,0,0,0,0,0,10,10,19,19,19,19,19,19,0,23,0,0,0,0,0,0,364,14,28,14,0,0
1705774560,12,12,14,12,12,12,14,14,12,12,12,12,14,14,14,14,14,18,18,0,22,88,66,22,22,22,22,22,22,22,0,0,0,0,0,0,0,0,0,0,10,10,14,14,14,14,14,14,0,23,0,0,0,0,0,0,572,22,44,22,0,0
1705774575,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,18,18,0,12,48,36,12,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,10,10,16,16,16,16,16,16,0,23,0,0,0,0,0,0,312,12,24,12,0,0
1705774590,11,11,12,11,11,11,12,12,11,11,11,11,12,12,12,12,12,15,15,0,13,52,39,13,13,13,13,13,13,13,0,0,0,0,0,0,0,0,0,0,10,10,12,12,12,12,12,12,0,0,0,0,0,0,0,0,338,13,26,13,0,0
1705774605,20,20,21,20,20,20,21,21,20,20,20,20,21,21,21,21,21,14,14,0,16,64,48,16,16,16,16,16,16,16,0,0,0,0,0,0,0,0,0,0,10,10,21,21,21,21,21,21,0,46,0,0,0,0,0,0,416,16,32,16,0,0
1705774620,14,14,12,14,14,14,12,12,14,14,14,14,12,12,12,12,12,13,13,0,17,68,51,17,17,17,17,17,17,17,0,0,0,0,0,0,0,0,0,0,10,10,12,12,12,12,12,12,0,23,0,0,0,0,0,0,442,17,34,17,0,0
1705774635,13,13,12,13,13,13,12,12,13,13,13,13,12,12,12,12,12,16,16,0,14,56,42,14,14,14,14,14,14,14,0,0,0,0,0,0,0,0,0,0,8,10,12,12,12,12,12,12,0,69,0,0,0,0,0,0,364,14,28,14,0,0
