time,catalogue_1,front-end_2,user_3,front-end_4,user_5,front-end_6,front-end_7,front-end_8,front-end_9,front-end_10,front-end_11,front-end_12,front-end_13,user_14,front-end_15,front-end_16,front-end_17,front-end_18,front-end_19,user_20,user_21,orders_22,payment_23,orders_24,shipping_25,queue-master_26,queue-master_27,queue-master_28,queue-master_29,queue-master_30,front-end_31,front-end_32,catalogue_33,payment_34,front-end_35,user_36,front-end_37,front-end_38,user_39,front-end_40,front-end_41,front-end_42,front-end_43,front-end_44,catalogue_45,front-end_46,front-end_47,front-end_48,carts_49,user_50,carts_51,user-db_52
1705783395,16,16,10,16,16,16,16,16,16,16,16,16,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,0,0,0,0
1705783410,14,14,10,16,16,16,16,16,16,16,16,16,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,0,0,0,0
1705783425,20,20,10,16,16,16,16,16,16,16,16,16,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,0,0,0,0
1705783440,13,13,10,14,14,14,14,14,14,14,14,14,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,16,16,16,16,16,16,16,16,15,15,15,15,15,15,0,0,0,0
1705783455,16,16,10,14,14,14,14,14,14,14,14,14,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,17,17,17,17,17,17,17,17,18,18,18,18,18,18,23,0,0,0
1705783470,14,14,10,19,19,19,19,19,19,19,19,19,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,0,0,0,0
1705783485,14,14,10,16,16,16,16,16,16,16,16,16,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,0,0,0,0
1705783500,14,14,10,7,7,7,7,7,7,7,7,7,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0
1705783515,22,22,10,20,20,20,20,20,20,20,20,20,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,0,0,0,0
1705783530,7,7,10,19,19,19,19,19,19,19,19,19,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,10,24,24,24,24,24,24,24,24,24,24,24,24,24,24,0,0,0,0
1705783545,17,17,10,11,11,11,11,11,11,11,11,11,22,87,66,22,22,22,22,22,22,22,22,22,22,22,22,66,66,22,44,22,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,1,0,0
1705783560,20,20,10,12,12,12,12,12,12,12,12,12,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,0,0,0,0
1705783575,10,10,10,21,21,21,21,21,21,21,21,21,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,0,0,0,0
1705783590,16,16,10,16,16,16,16,16,16,16,16,16,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,21,21,21,21,21,21,21,21,21,21,21,21,21,21,23,0,0,0
1705783605,18,18,10,11,11,11,11,11,11,11,11,11,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,10,10,13,13,13,13,13,13,13,13,13,13,13,13,13,12,23,0,0,0
1705783620,15,15,10,18,18,18,18,18,18,18,18,18,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,14,14,14,14,14,14,14,14,14,14,14,14,14,15,0,0,0,0
1705783635,12,12,10,20,20,20,20,20,20,20,20,20,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,0,0,0,0
1705783650,17,17,10,10,10,10,10,10,10,10,10,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,10,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,0,0,0
1705783665,24,24,10,16,16,16,16,16,16,16,16,16,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,10,8,8,8,8,8,8,8,8,8,8,8,8,8,7,23,0,0,0
1705783680,8,8,10,19,19,19,19,19,19,19,19,19,9,36,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,9,18,9,10,10,22,22,22,22,22,22,22,22,22,22,22,22,22,23,23,0,0,0
1705783695,15,15,10,13,13,13,13,13,13,13,13,13,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,10,10,14,14,14,14,14,14,13,13,13,13,13,13,13,13,0,0,0,0
1705783710,21,21,10,18,18,18,18,18,18,18,18,18,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,12,12,12,12,12,12,13,13,13,13,13,13,13,13,23,0,0,0
1705783725,11,10,10,11,11,11,11,11,11,11,11,11,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,19,19,19,19,19,19,19,19,19,19,19,19,19,19,23,0,0,0
1705783740,16,17,10,20,20,20,20,20,20,20,20,20,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,0,0,0,0
1705783755,18,18,10,10,10,10,10,10,10,10,10,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,46,0,0,0
1705783770,18,18,10,16,16,16,16,16,16,16,16,16,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,23,0,0,0
1705783785,9,9,10,17,17,17,17,17,17,17,17,17,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,0,0,0,0
1705783800,17,17,10,14,14,14,14,14,14,14,14,14,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,0,0,0,0
1705783815,14,14,10,18,18,18,18,18,18,18,18,18,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,20,20,20,20,19,19,19,19,19,19,19,19,19,19,0,0,0,0
1705783830,17,17,10,16,16,16,16,16,16,16,16,16,23,92,69,23,23,23,23,23,23,23,23,23,23,23,23,69,69,23,46,23,10,10,9,9,9,9,10,10,10,10,10,10,10,10,10,10,0,0,0,0
1705783845,19,19,10,17,17,17,17,17,17,17,17,17,9,36,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,9,18,9,10,10,19,19,19,19,19,19,19,19,19,19,19,19,19,19,0,0,0,0
1705783860,11,11,10,16,16,16,16,16,16,16,16,16,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,10,19,19,19,19,19,19,19,19,19,19,19,19,19,19,0,0,1,0
1705783875,17,17,10,10,8,8,8,8,8,8,8,8,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,10,10,13,12,12,12,12,12,12,12,12,12,12,12,12,12,0,0,0,0
1705783890,17,17,10,16,18,18,18,18,18,18,18,18,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,10,13,14,14,14,14,14,14,14,14,14,14,14,14,14,23,0,0,0
1705783905,13,13,10,16,16,16,16,16,16,16,16,16,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,23,0,0,0
1705783920,10,10,10,14,14,14,14,14,14,14,14,14,17,68,51,17,17,17,17,17,17,16,16,16,16,16,16,48,48,16,32,16,10,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,0,0,0,0
1705783935,16,16,10,16,16,16,16,16,16,16,16,16,14,56,42,14,14,14,14,14,14,15,15,15,15,15,15,45,45,15,30,15,10,10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,23,0,0,0
1705783950,18,18,10,11,11,11,11,11,11,11,11,11,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0,0,0,0
1705783965,14,14,10,16,16,16,16,16,16,16,16,16,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,13,13,13,13,13,13,12,12,12,12,12,12,12,12,0,0,0,0
1705783980,12,12,10,16,16,16,16,16,16,16,16,16,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,18,18,18,18,18,18,19,19,19,19,19,19,19,19,0,0,0,0
1705783995,17,17,10,13,13,13,13,13,13,13,13,13,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,13,12,12,12,12,12,12,12,12,12,12,12,12,12,0,0,0,0
1705784010,15,15,10,13,13,13,13,13,13,13,13,13,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,14,15,15,15,15,15,15,15,15,15,15,15,15,15,0,0,0,0
1705784025,13,13,10,19,19,19,19,19,19,19,19,19,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,23,0,0,0
1705784040,13,13,10,14,14,14,14,14,14,14,14,14,17,60,45,15,15,15,15,14,15,14,14,14,14,14,14,42,42,14,28,14,10,10,18,17,17,17,17,17,17,17,17,17,17,17,17,17,23,0,0,0
1705784055,19,19,10,12,12,12,12,12,12,12,12,12,13,60,45,15,15,15,15,16,15,16,16,16,16,16,16,48,48,16,32,16,10,10,13,14,14,14,14,14,14,14,14,14,14,14,14,14,0,0,0,0
1705784070,15,15,10,21,21,21,21,21,21,21,21,21,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,17,17,17,16,16,16,16,16,16,16,16,16,16,16,0,0,0,0
1705784085,14,14,10,10,9,9,9,9,9,9,9,9,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,15,15,15,16,16,16,16,16,16,16,16,16,16,16,23,0,0,0
1705784100,15,15,10,11,12,12,12,12,12,12,12,12,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,0,0,0
1705784115,16,16,10,25,25,25,25,25,25,25,25,25,8,32,24,8,8,8,8,8,8,8,8,8,8,8,8,24,24,8,16,8,10,10,22,22,22,22,22,22,22,22,22,22,22,22,22,22,0,0,0,0
1705784130,11,11,10,12,12,12,12,12,12,12,12,12,22,88,66,22,22,22,22,22,22,22,22,22,22,22,22,66,66,22,44,22,10,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,23,0,0,0
1705784145,21,21,10,15,14,14,14,14,14,14,14,14,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,13,12,12,12,12,12,12,12,12,12,12,12,12,12,0,0,0,0
1705784160,16,16,10,21,22,22,22,22,22,22,22,22,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,19,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,0,0
1705784175,13,13,10,9,9,9,9,9,9,9,9,9,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,0,0,0,0
1705784190,18,18,10,17,17,17,17,17,17,17,17,17,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,14,12,12,12,12,12,12,12,12,12,12,12,12,12,23,0,0,0
1705784205,10,10,10,17,17,17,17,17,17,17,17,17,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,20,22,22,22,22,22,22,22,22,22,22,22,22,22,46,0,0,0
1705784220,18,18,10,15,15,15,15,15,15,15,15,15,21,84,63,21,21,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,10,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,46,0,0,0
1705784235,15,15,10,12,11,11,11,11,11,11,11,11,13,51,39,13,13,13,13,12,12,12,12,12,12,12,12,36,36,12,24,12,10,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,69,0,0,0
1705784250,16,16,10,18,19,19,19,19,19,19,19,19,15,61,45,15,15,15,15,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,0,0,0,0
1705784265,14,14,10,14,14,14,14,14,14,14,14,14,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,19,19,19,19,19,19,19,19,19,19,19,19,19,19,23,0,0,0
1705784280,17,17,10,16,16,16,16,16,16,16,16,16,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0,0,0,0
1705784295,13,13,10,16,15,15,15,15,15,15,15,15,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,0,0,0,0
1705784310,18,18,10,13,14,14,14,14,14,14,14,14,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,23,0,0,0
1705784325,15,15,10,19,19,19,19,19,19,19,19,19,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,15,15,15,15,15,15,15,15,15,15,15,15,15,14,23,0,0,0
1705784340,12,12,10,11,10,10,10,10,10,10,10,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,18,18,18,18,18,18,18,18,18,18,18,18,18,19,0,0,0,0
1705784355,19,19,10,12,13,13,13,13,13,13,13,13,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,10,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,0,0,0,0
1705784370,15,15,10,18,18,18,18,18,18,18,18,18,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,10,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,0,0,0,0
1705784385,10,10,10,16,16,16,16,16,16,16,16,16,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,22,22,22,22,22,22,22,22,22,22,22,22,22,22,23,0,0,0
1705784400,15,15,10,19,19,19,19,19,18,18,18,18,20,80,60,20,20,20,20,20,20,20,20,19,19,19,19,57,57,19,38,19,10,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,0,0,0,0
1705784415,19,19,10,7,7,7,7,7,8,8,8,8,15,60,45,15,15,15,15,15,15,15,15,16,16,16,16,48,48,16,32,16,10,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,0,0,0,0
1705784430,16,16,10,14,14,14,14,14,14,14,14,14,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0
1705784445,12,12,10,20,20,20,20,20,20,20,20,20,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,23,0,0,0
1705784460,14,14,10,16,16,16,16,16,16,16,16,16,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,0,0,0,0
1705784475,17,17,10,13,13,13,13,13,13,13,13,13,21,84,63,21,21,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,10,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,0,0,0,2
1705784490,18,18,10,14,13,13,13,13,13,13,13,13,13,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,23,0,0,0
1705784505,11,11,10,19,20,20,20,20,20,20,20,20,16,67,51,17,17,17,17,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,20,20,20,20,20,20,19,19,19,19,19,19,19,19,23,0,0,0
1705784520,17,17,10,14,14,14,14,14,14,14,14,14,19,77,57,19,19,19,19,20,20,20,20,19,19,19,19,57,57,19,38,19,10,10,11,11,11,11,11,11,12,12,12,12,12,12,12,12,23,0,0,0
1705784535,15,15,6,9,9,9,9,9,9,9,9,9,8,28,21,7,7,7,7,7,7,7,7,8,8,8,8,24,24,8,16,8,8,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0
