time,catalogue_1,front-end_2,front-end_3,front-end_4,front-end_5,front-end_6,catalogue_7,payment_8,front-end_9,front-end_10,front-end_11,front-end_12,front-end_13,front-end_14,front-end_15,front-end_16,catalogue_17,front-end_18,front-end_19,front-end_20,front-end_21,front-end_22,front-end_23,front-end_24,front-end_25,front-end_26,front-end_27,front-end_28,front-end_29,front-end_30,front-end_31,front-end_32,front-end_33,front-end_34,front-end_35,front-end_36,front-end_37,front-end_38,front-end_39,front-end_40,front-end_41,front-end_42,front-end_43,front-end_44,front-end_45,front-end_46,front-end_47,front-end_48,front-end_49,front-end_50,front-end_51,front-end_52,front-end_53,front-end_54,front-end_55,front-end_56,front-end_57,front-end_58,front-end_59,front-end_60,front-end_61,front-end_62,front-end_63,front-end_64,front-end_65,user_66,user-db_67,user_68,user_69,user_70,front-end_71,front-end_72,front-end_73,user_74,front-end_75,front-end_76,front-end_77,front-end_78,user_79,user_80,front-end_81,front-end_82,front-end_83,front-end_84,orders_85,payment_86,orders_87,shipping_88,queue-master_89,queue-master_90,queue-master_91,queue-master_92,queue-master_93,front-end_94,front-end_95,carts_96,front-end_97,user_98,user-db_99,user-db_100,user-db_101,user-db_102,user_103,user-db_104,user-db_105
1705652460,11,11,5,0,0,0,10,10,8,8,8,8,8,11,11,11,11,11,11,25,15,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,8,5,5,5,5,60,15,15,15,15,15,15,10,10,10,10,17,17,17,17,17,17,51,51,17,34,17,0,0,0,0,0,0,0,0,0,0
1705652475,23,23,8,0,0,0,10,10,8,8,8,8,8,8,8,8,8,8,8,8,21,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,8,8,8,8,8,84,21,21,21,21,21,21,8,8,8,8,21,21,21,21,21,21,63,63,21,42,21,0,0,0,0,0,0,0,0,0,0
1705652490,13,13,23,0,0,0,10,10,16,16,16,16,16,11,11,11,11,11,11,7,11,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,16,16,23,23,23,23,44,11,11,11,11,11,11,20,20,20,20,11,11,11,11,11,11,33,33,11,22,11,0,0,0,0,0,0,0,0,0,0
1705652505,8,8,11,0,0,0,10,10,13,13,13,13,13,15,15,15,15,15,15,13,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,13,13,11,11,11,11,16,4,4,4,4,4,4,12,12,12,12,4,4,4,4,4,4,12,12,4,8,4,0,0,0,0,0,0,0,0,0,0
1705652520,7,7,10,0,0,0,10,10,15,15,15,15,15,16,16,16,16,16,16,18,13,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,15,15,10,10,10,10,52,13,13,13,13,13,13,8,8,8,8,12,12,12,12,12,12,36,36,12,24,12,0,0,0,0,0,0,0,0,0,0
1705652535,16,16,13,0,0,0,10,10,9,9,9,9,9,10,10,10,10,10,10,13,18,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,9,9,13,13,13,13,72,18,18,18,18,18,18,16,16,16,16,18,18,18,18,18,18,54,54,18,36,18,23,0,0,0,0,0,0,0,0,0
1705652550,18,18,16,0,0,0,10,10,14,14,14,13,13,13,13,13,13,13,13,12,14,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,14,13,16,16,16,16,56,14,14,14,14,14,14,16,16,16,16,15,15,15,15,15,15,45,45,15,30,15,0,0,0,0,0,0,0,0,0,0
1705652565,14,14,11,0,0,0,10,10,18,18,18,19,19,16,16,16,16,16,16,9,11,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,18,19,11,11,11,11,44,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,0,0,0,0,0,0,0,0,0,0
1705652580,8,8,13,0,0,0,10,10,7,7,7,7,6,10,10,10,10,10,10,18,17,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,7,7,13,13,13,13,68,17,17,17,17,17,17,11,11,11,11,14,14,14,14,14,14,42,42,14,28,14,0,0,0,0,0,0,0,0,0,0
1705652595,16,16,11,0,0,0,10,10,16,16,16,16,17,14,14,14,14,14,14,10,13,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,16,16,11,11,11,11,52,13,13,13,13,13,13,13,13,13,13,15,15,15,15,15,15,45,45,15,30,15,0,0,0,0,0,0,0,0,0,0
1705652610,11,11,20,0,0,0,10,10,13,13,12,12,12,11,11,11,11,11,11,12,9,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,13,12,20,20,20,20,36,9,9,9,9,9,9,15,15,15,15,9,9,9,9,9,9,27,27,9,18,9,0,0,0,0,0,0,0,0,0,0
1705652625,11,11,9,0,0,0,10,10,15,15,16,16,16,17,17,17,17,17,17,12,12,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,15,16,9,9,9,9,48,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,23,0,0,0,0,0,0,0,0,0
1705652640,13,13,8,0,0,0,10,10,8,8,8,8,8,11,11,11,11,11,11,18,10,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,8,8,8,8,8,8,40,10,10,10,10,10,10,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,46,0,0,0,0,0,0,0,0,0
1705652655,13,13,18,0,0,0,10,10,13,13,13,13,13,10,10,10,10,10,10,11,19,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,13,13,18,18,18,18,76,19,19,19,19,19,19,16,16,16,16,18,18,18,18,18,18,54,54,18,36,18,0,0,0,0,0,0,0,0,0,0
1705652670,15,15,10,0,0,0,10,10,15,15,15,15,15,16,16,16,16,16,16,11,11,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,15,15,10,10,10,10,44,11,11,11,11,11,11,10,10,10,10,11,11,11,11,11,11,33,33,11,22,11,0,0,0,0,0,0,0,0,0,0
1705652685,10,10,13,0,0,0,10,10,10,10,10,10,10,11,11,11,11,11,11,16,14,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,10,13,13,13,13,56,14,14,14,14,14,14,15,15,15,15,14,14,14,14,14,14,42,42,14,28,14,0,0,0,0,0,0,0,0,0,0
1705652700,14,14,17,0,0,0,10,10,13,13,13,13,13,13,13,13,13,13,13,12,14,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,13,13,17,17,17,17,56,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,0,0,0,0,0,0,0,0,0,0
1705652715,19,19,8,0,0,0,10,10,13,13,13,13,13,14,14,14,14,14,14,16,12,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,13,13,8,8,8,8,48,12,12,12,12,12,12,10,10,10,10,13,13,13,13,13,13,39,39,13,26,13,0,0,0,0,0,0,0,0,0,0
1705652730,10,10,16,0,0,0,10,10,12,12,12,12,11,11,11,11,11,11,11,6,15,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,12,12,16,16,16,16,60,15,15,15,15,15,15,16,16,16,16,13,13,13,13,13,13,39,39,13,26,13,23,0,0,0,0,0,0,0,0,0
1705652745,13,13,16,0,0,0,10,10,12,12,12,12,13,13,13,13,13,13,13,12,10,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,12,12,16,16,16,16,40,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,0,0,0,0,0,0,0,0,0,0
1705652760,11,11,10,0,0,0,10,10,18,18,18,18,18,15,15,15,15,15,15,13,8,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,18,18,10,10,10,10,32,8,8,8,8,8,8,13,13,13,13,10,10,10,10,10,10,30,30,10,20,10,23,0,0,0,0,0,0,0,0,0
1705652775,8,8,11,0,0,0,10,10,11,11,11,11,11,13,13,13,13,13,13,19,12,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,11,11,11,11,11,11,48,12,12,12,12,12,12,14,14,14,14,12,12,12,12,12,12,36,36,12,24,12,0,0,0,0,0,0,0,0,0,0
1705652790,15,15,9,0,0,0,10,10,12,12,12,12,12,13,13,13,13,13,13,14,20,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,12,12,9,9,9,9,80,20,20,20,20,20,20,10,10,10,10,20,20,20,20,20,20,60,60,20,40,20,0,0,0,0,0,0,0,0,0,0
1705652805,20,20,13,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,11,12,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,10,13,13,13,13,48,12,12,12,12,12,12,13,13,13,13,12,12,12,12,12,12,36,36,12,24,12,0,0,0,0,0,0,0,0,0,0
1705652820,10,10,19,0,0,0,10,10,16,16,16,16,16,12,12,12,12,12,12,7,12,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,16,16,19,19,19,19,48,12,12,12,12,12,12,14,14,14,14,11,11,11,11,11,11,33,33,11,22,11,0,0,0,0,0,0,0,0,0,0
1705652835,10,10,12,0,0,0,10,10,12,12,12,12,12,14,14,14,14,14,14,14,10,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,12,12,12,12,12,12,40,10,10,10,10,10,10,13,13,13,13,8,8,8,8,8,8,24,24,8,16,8,23,0,0,0,0,0,0,0,0,0
1705652850,12,12,13,0,0,0,10,10,12,12,12,12,12,13,13,13,13,13,13,13,14,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,12,12,13,13,13,13,56,14,14,14,14,14,14,13,13,13,13,16,16,16,16,16,16,48,48,16,32,16,23,0,1,0,0,0,0,0,0,0
1705652865,14,14,12,0,0,0,10,10,15,15,15,15,15,14,14,14,14,14,14,10,14,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,15,15,12,12,12,12,56,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,23,0,0,0,0,0,0,0,0,0
1705652880,13,13,11,0,0,0,10,10,13,13,13,13,13,13,13,13,13,13,13,18,9,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,13,13,11,11,11,11,36,9,9,9,9,9,9,13,13,13,13,9,9,9,9,9,9,27,27,9,18,9,0,0,0,0,0,0,0,0,0,0
1705652895,8,8,13,0,0,0,10,10,10,10,10,10,10,11,11,11,11,11,11,13,16,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,10,13,13,13,13,64,16,16,16,16,16,16,12,12,12,12,15,15,15,15,15,15,45,45,15,30,15,46,0,0,0,0,0,0,0,0,0
1705652910,17,17,10,0,0,0,10,10,13,13,13,13,13,14,14,14,14,14,14,16,15,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,13,13,10,10,10,10,60,15,15,15,15,15,15,11,11,11,11,17,17,17,17,17,17,51,51,17,34,17,46,0,0,0,0,0,0,0,0,0
1705652925,17,17,16,0,0,0,10,10,12,12,12,12,12,10,10,10,10,10,10,6,14,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,12,12,16,16,16,16,56,14,14,14,14,14,14,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,23,0,0,0,0,0,0,0,0,0
1705652940,10,10,15,0,0,0,10,10,14,14,14,14,14,13,13,13,13,13,13,11,7,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,14,14,15,15,15,15,28,7,7,7,7,7,7,16,16,16,16,7,7,7,7,7,7,21,21,7,14,7,0,0,0,0,0,0,0,0,0,0
1705652955,7,7,12,0,0,0,10,10,15,15,15,15,15,14,14,14,14,14,14,13,12,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,15,15,12,12,12,12,48,12,12,12,12,12,12,9,9,9,9,12,12,12,12,12,12,36,36,12,24,12,0,0,0,0,0,0,0,0,0,0
1705652970,16,16,10,0,0,0,10,10,11,11,11,11,11,14,14,14,14,14,14,17,13,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,11,11,10,10,10,10,52,13,13,13,13,13,13,10,10,10,10,12,12,12,12,12,12,36,36,12,24,12,0,0,0,0,0,0,0,0,0,0
1705652985,13,13,15,0,0,0,10,10,13,13,13,13,13,10,10,10,10,10,10,14,16,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,13,13,15,15,15,15,64,16,16,16,16,16,16,14,14,14,14,17,17,17,17,17,17,51,51,17,34,17,0,0,0,0,0,0,0,0,0,0
1705653000,14,14,8,0,0,0,10,10,11,11,11,11,10,14,14,14,14,14,14,14,10,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,11,11,8,8,8,8,40,10,10,10,10,10,10,14,14,14,14,11,11,11,11,11,11,33,33,11,22,11,23,0,0,0,0,0,0,0,0,0
1705653015,13,13,14,0,0,0,10,10,13,13,13,13,13,13,13,13,13,13,13,12,13,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,13,13,14,14,14,14,52,13,13,13,13,13,13,14,14,14,14,13,13,13,13,13,13,39,39,13,26,13,0,0,0,0,0,0,0,0,0,0
1705653030,14,14,12,0,0,0,10,10,12,12,12,12,13,13,13,13,13,13,13,14,15,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,12,12,12,12,12,12,60,15,15,15,15,15,15,12,12,12,12,15,15,15,15,15,15,45,45,15,30,15,0,0,0,0,0,0,0,0,0,0
1705653045,11,11,20,0,0,0,10,10,15,15,15,15,15,11,11,11,11,11,11,9,14,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,15,15,20,20,20,20,56,14,14,14,14,14,14,16,16,16,16,12,12,12,12,12,12,36,36,12,24,12,0,0,0,0,0,0,0,0,0,0
1705653060,13,13,6,0,0,0,10,10,15,15,15,15,15,18,18,18,18,18,18,14,9,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,15,15,6,6,6,6,36,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,30,30,10,20,10,0,0,0,0,0,0,0,0,0,0
1705653075,12,12,12,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,13,14,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,10,12,12,12,12,56,14,14,14,14,14,14,13,13,13,13,15,15,15,15,15,15,45,45,15,30,15,46,0,0,2,2,0,0,0,0,0
1705653090,13,13,13,0,0,0,10,10,12,12,12,12,12,13,13,13,13,13,13,15,14,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,12,12,13,13,13,13,56,14,14,14,14,14,14,13,13,13,13,14,14,14,14,14,14,42,42,14,28,14,0,0,0,0,0,0,0,0,0,0
1705653105,12,12,13,0,0,0,10,10,12,12,12,12,12,11,11,11,11,11,11,11,15,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,12,12,13,13,13,13,59,15,15,15,15,14,14,12,12,12,12,14,14,14,14,14,14,42,42,14,28,14,0,0,0,0,0,0,0,0,0,0
1705653120,15,15,18,0,0,0,10,10,13,13,13,13,13,12,12,12,12,12,12,10,12,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,13,13,18,18,18,18,49,12,12,12,12,13,13,15,15,15,15,11,11,11,11,11,11,33,33,11,22,11,23,0,0,0,0,0,0,0,0,0
1705653135,13,13,10,0,0,0,10,10,17,17,17,17,17,17,17,17,17,17,17,10,9,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,17,17,10,10,10,10,36,9,9,9,9,9,9,10,10,10,10,11,11,11,11,11,11,33,33,11,22,11,0,0,0,0,0,0,0,0,0,0
1705653150,7,7,13,0,0,0,10,10,10,10,10,10,10,9,9,9,9,9,9,18,11,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,10,13,13,13,13,44,11,11,11,11,11,11,17,17,17,17,11,11,11,11,11,11,33,33,11,22,11,23,0,0,0,0,0,0,0,0,0
1705653165,15,15,12,0,0,0,10,10,9,9,9,9,9,12,12,12,12,12,12,13,14,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,9,9,12,12,12,12,56,14,14,14,14,14,14,12,12,12,12,14,14,14,14,14,14,42,42,14,28,14,0,0,0,0,0,0,0,0,0,0
1705653180,14,14,10,0,0,0,10,10,16,16,16,16,16,14,14,14,14,14,14,6,17,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,16,16,10,10,10,10,68,17,17,17,17,17,17,8,8,8,8,17,17,17,17,17,17,51,51,17,34,17,0,0,0,0,0,0,0,0,0,0
