time,front-end_1,user_2,front-end_3,front-end_4,front-end_5,front-end_6,front-end_7,user_8,user_9,orders_10,payment_11,orders_12,shipping_13,catalogue_14,queue-master_15,queue-master_16,queue-master_17,queue-master_18,queue-master_19,front-end_20,front-end_21,front-end_22,front-end_23,user_24,front-end_25,front-end_26,front-end_27,front-end_28,front-end_29,front-end_30,front-end_31,front-end_32,user_33,front-end_34,front-end_35,user_36,front-end_37,catalogue_38,front-end_39,front-end_40,front-end_41,front-end_42,catalogue_43,front-end_44,front-end_45,front-end_46,payment_47,user_48,carts_49,user_50
1705733520,10,40,30,10,10,10,10,10,10,10,10,10,10,14,10,10,30,30,10,14,20,10,16,16,16,16,16,16,16,16,16,15,15,15,15,15,15,10,15,15,15,15,15,15,15,15,10,10,0,0
1705733535,14,56,42,14,14,14,14,14,14,14,14,14,14,13,14,14,42,42,14,13,28,14,19,19,19,19,19,19,19,19,19,14,14,14,14,14,14,10,14,14,14,14,14,14,14,14,10,10,0,0
1705733550,21,84,63,21,21,21,21,21,21,21,21,21,21,14,21,21,63,63,21,14,42,21,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,10,17,17,17,17,17,17,17,17,10,10,0,0
1705733565,12,48,36,12,12,12,12,12,12,12,12,12,12,17,12,12,36,36,12,17,24,12,13,13,13,13,13,13,13,13,13,19,19,19,19,19,18,10,18,18,18,18,18,18,18,17,10,10,0,0
1705733580,18,72,54,18,18,18,18,18,18,18,18,18,18,14,18,18,54,54,18,14,36,18,18,18,18,18,18,18,18,18,18,14,14,14,14,14,15,10,15,15,15,15,15,15,15,16,10,10,0,0
1705733595,17,68,51,17,17,17,17,17,17,17,17,17,17,15,17,17,51,51,17,15,34,17,14,14,14,14,14,14,14,14,14,16,16,16,15,15,15,10,15,15,15,15,15,15,15,15,10,10,0,0
1705733610,14,56,42,14,14,14,14,14,14,14,14,14,14,18,14,14,42,42,14,18,28,14,15,15,15,15,15,15,15,15,15,13,13,13,14,14,14,10,14,14,14,14,14,14,14,14,10,10,0,0
1705733625,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,16,32,16,15,15,15,15,15,15,15,15,15,17,17,17,17,17,17,10,17,17,17,17,17,17,17,17,10,10,0,0
1705733640,15,60,45,15,15,15,15,15,15,15,15,15,15,19,15,15,45,45,15,19,30,15,17,17,17,17,17,17,17,17,17,16,16,16,16,16,16,10,16,16,16,16,16,16,16,16,10,10,0,0
1705733655,18,72,54,18,18,18,18,18,18,18,18,18,18,14,18,18,54,54,18,14,36,18,18,18,18,18,18,18,18,18,18,20,20,20,20,20,20,10,20,20,20,20,20,20,20,20,10,10,0,0
1705733670,14,56,42,14,14,14,14,14,14,14,14,14,14,18,14,14,42,42,14,18,28,14,14,14,14,14,14,14,14,14,14,13,13,13,13,13,13,10,13,13,13,13,13,13,13,13,10,10,46,0
1705733685,15,60,45,15,15,15,15,15,15,15,15,15,15,17,15,15,45,45,15,17,30,15,17,17,17,17,17,17,17,17,17,19,19,19,19,19,19,10,19,19,19,19,19,19,19,18,10,10,0,0
1705733700,18,72,54,18,18,18,18,18,18,18,18,18,18,10,18,18,54,54,18,10,36,18,14,14,14,14,14,14,14,14,14,9,9,9,9,9,9,10,9,9,9,9,9,9,9,10,10,10,23,0
1705733715,13,52,39,13,13,13,13,13,13,13,12,12,12,18,12,12,36,36,12,18,24,12,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,14,14,14,14,14,14,14,14,10,10,0,0
1705733730,11,44,33,11,11,11,11,11,11,11,12,12,12,14,12,12,36,36,12,14,24,12,14,14,14,14,14,14,14,14,14,21,21,21,21,21,21,10,21,21,21,21,21,21,21,20,10,10,0,0
1705733745,20,80,60,20,20,20,20,20,20,20,20,20,20,12,20,20,60,60,20,12,40,20,19,19,19,19,19,19,19,19,19,15,15,15,15,15,15,10,15,14,14,14,14,14,14,15,10,10,0,0
1705733760,18,72,54,18,18,18,18,18,18,17,17,17,17,16,17,17,51,51,17,16,34,17,14,14,14,14,14,14,14,14,14,13,13,13,13,13,13,10,13,14,14,14,14,14,14,14,10,10,23,0
1705733775,12,48,36,12,12,12,12,12,12,13,13,13,13,19,13,13,39,39,13,19,26,13,19,19,19,19,19,19,19,19,19,18,18,18,18,18,18,10,18,18,18,18,18,18,18,18,10,10,23,0
1705733790,15,60,45,15,15,15,15,15,15,15,15,15,15,18,15,15,45,45,15,18,30,15,14,14,14,14,14,14,14,14,14,16,16,16,16,16,16,10,16,16,16,16,16,16,16,16,10,10,0,0
1705733805,20,80,60,20,20,20,20,20,20,20,20,20,20,16,20,20,60,60,20,16,40,20,15,15,15,15,15,15,15,15,15,14,14,14,14,14,14,10,14,14,14,14,14,14,14,14,10,10,23,0
1705733820,11,44,33,11,11,11,11,11,11,11,11,11,11,13,11,11,33,33,11,13,22,11,12,12,12,12,12,12,12,12,11,12,12,12,12,12,12,10,12,12,12,12,12,12,12,12,10,10,0,0
1705733835,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,15,30,15,20,20,20,20,20,20,20,20,21,20,20,20,20,20,20,10,20,20,20,20,20,20,20,20,10,10,46,0
1705733850,20,80,60,20,20,20,20,20,20,20,20,20,20,16,20,20,60,60,20,16,40,20,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,10,15,15,15,15,15,15,15,15,10,10,23,0
1705733865,14,56,42,14,14,14,14,14,14,14,14,14,14,16,14,14,42,42,14,16,28,14,16,16,16,16,16,16,16,16,16,14,14,14,14,14,14,10,14,14,14,14,14,14,14,14,10,10,23,0
1705733880,11,44,33,11,11,11,11,11,11,11,11,11,11,13,11,11,33,33,11,13,22,11,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,17,17,17,17,17,17,17,17,10,10,0,0
1705733895,19,76,57,19,19,19,19,19,19,19,19,19,19,17,19,19,57,57,19,17,38,19,14,14,14,14,14,14,14,14,14,16,16,16,16,16,16,10,16,16,16,16,16,16,16,16,10,10,46,0
1705733910,17,68,51,17,17,17,17,17,17,17,17,17,17,15,17,17,51,51,17,15,34,17,13,13,13,13,13,13,13,13,13,12,12,12,12,12,12,10,12,12,12,12,12,12,12,12,10,10,23,0
1705733925,13,52,39,13,13,13,13,13,13,13,13,13,13,17,13,13,39,39,13,17,26,13,18,18,18,18,18,18,18,18,18,14,14,14,14,14,14,10,14,14,14,14,14,14,14,14,10,10,0,0
1705733940,14,56,42,14,14,14,14,14,14,14,14,14,14,10,14,14,42,42,14,10,28,14,13,13,13,13,13,13,13,13,13,22,22,22,22,22,22,10,22,22,22,22,22,22,22,22,10,10,0,0
1705733955,20,80,60,20,20,20,20,20,20,20,20,20,20,18,20,20,60,60,20,18,40,20,15,15,15,15,15,15,15,15,15,13,13,13,13,13,13,10,13,13,13,13,13,13,13,13,10,10,23,0
1705733970,11,44,33,11,11,11,11,11,11,11,11,11,11,16,11,11,33,33,11,16,22,11,14,14,14,14,14,14,14,14,14,11,11,11,11,11,11,10,11,11,11,11,11,11,11,11,10,10,0,0
1705733985,12,48,36,12,12,12,12,12,12,12,12,12,12,15,12,12,36,36,12,15,24,12,19,19,19,19,19,19,19,19,19,16,16,16,16,16,16,10,16,16,16,16,16,16,16,16,10,10,0,0
1705734000,21,84,63,21,21,21,21,21,21,21,21,21,21,14,21,21,63,63,21,14,42,21,20,20,20,20,20,20,20,20,20,23,23,23,23,23,23,10,22,22,22,22,22,22,22,22,10,10,23,0
1705734015,19,76,57,19,19,19,19,19,19,19,19,19,19,17,19,19,57,57,19,17,38,19,8,8,8,8,8,8,8,8,8,11,11,11,11,11,11,10,12,12,12,12,12,12,12,12,10,10,0,0
1705734030,11,44,33,11,11,11,11,11,11,11,11,11,11,20,11,11,33,33,11,20,22,11,21,21,21,21,21,21,21,21,21,14,14,14,14,14,14,10,14,14,14,14,14,14,14,13,10,10,0,0
1705734045,17,68,51,17,17,17,17,17,17,17,17,17,17,11,17,17,51,51,17,11,34,17,15,15,15,15,15,15,15,15,15,18,18,18,18,18,18,10,18,18,18,18,18,18,18,19,10,10,0,0
1705734060,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,17,34,17,13,13,13,13,13,13,13,13,13,15,15,15,15,15,15,10,15,15,15,15,15,15,15,15,10,10,23,0
1705734075,16,64,48,16,16,16,16,16,16,16,16,16,16,17,16,16,48,48,16,17,32,16,20,20,20,20,20,20,20,20,20,17,17,17,17,17,17,10,17,17,17,17,17,17,17,17,10,10,0,0
1705734090,15,60,45,15,15,15,15,15,15,15,15,15,15,17,15,15,45,45,15,17,30,15,13,13,13,13,13,13,13,13,13,17,17,17,17,17,17,10,17,17,17,17,17,17,17,17,10,10,23,0
1705734105,15,60,45,15,15,15,15,15,15,15,15,15,15,12,15,15,45,45,15,12,30,15,17,17,17,17,17,17,17,17,17,13,13,13,13,13,13,10,13,13,13,13,13,13,13,13,10,10,0,0
1705734120,19,76,57,19,19,19,19,19,19,19,19,19,19,17,19,19,57,57,19,17,38,19,15,15,15,15,15,15,15,15,15,18,18,18,18,18,18,10,18,18,18,18,18,18,18,18,10,10,0,0
1705734135,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,15,30,15,9,9,9,9,9,9,9,9,9,12,12,12,12,12,12,10,12,12,12,12,12,12,12,12,10,10,0,0
1705734150,5,20,15,5,5,5,5,5,5,5,5,5,5,11,5,5,15,15,5,11,10,5,11,11,11,11,11,11,11,11,11,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,0,0
