time,user_1,front-end_2,front-end_3,user_4,front-end_5,front-end_6,front-end_7,front-end_8,front-end_9,catalogue_10,front-end_11,front-end_12,front-end_13,front-end_14,user_15,front-end_16,front-end_17,front-end_18,front-end_19,front-end_20,user_21,user_22,orders_23,payment_24,orders_25,shipping_26,queue-master_27,queue-master_28,queue-master_29,queue-master_30,queue-master_31,front-end_32,front-end_33,front-end_34,user_35,front-end_36,front-end_37,front-end_38,front-end_39,front-end_40,front-end_41,front-end_42,catalogue_43,front-end_44,catalogue_45,payment_46,front-end_47,user_48,carts_49,user_50,user-db_51,carts_52
1705760010,17,17,17,17,17,17,17,17,17,17,17,17,17,15,57,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,17,17,17,17,17,17,17,17,17,19,19,10,10,17,10,23,0,0,0
1705760025,16,16,16,16,16,16,16,16,16,16,16,16,16,17,71,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,13,13,13,13,13,13,13,13,13,15,15,10,10,16,10,23,0,0,0
1705760040,16,16,16,16,16,16,16,16,16,16,16,16,16,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,15,15,15,15,15,15,15,15,15,17,17,10,10,16,10,0,0,0,0
1705760055,13,13,13,13,13,13,13,13,13,13,13,13,13,13,52,39,13,13,13,13,13,13,12,12,12,12,12,12,36,36,12,24,12,15,15,15,15,15,15,15,15,15,20,20,10,10,14,10,23,0,0,0
1705760070,18,18,18,18,18,18,18,18,18,18,18,18,18,17,68,51,17,17,17,17,17,17,18,18,18,18,18,18,54,54,18,36,18,18,18,18,18,18,18,18,18,18,11,11,10,10,17,10,0,0,0,0
1705760085,17,17,17,17,17,17,17,17,17,17,17,17,17,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,17,17,17,17,17,17,17,17,17,12,12,10,10,17,10,23,0,0,0
1705760100,13,13,13,13,13,13,13,13,13,13,13,13,13,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,13,13,13,13,13,13,13,13,13,19,19,10,10,13,10,0,0,0,0
1705760115,13,13,13,13,13,13,13,13,13,13,13,13,13,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,15,15,15,15,15,15,15,15,15,20,20,10,10,13,10,23,0,0,0
1705760130,21,21,21,21,21,21,21,21,21,21,21,21,21,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,20,20,20,20,20,20,20,20,20,13,13,10,10,21,10,23,0,0,0
1705760145,13,13,13,13,13,13,13,13,13,13,13,13,13,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,7,7,7,7,7,7,7,7,7,13,13,10,10,13,10,0,0,0,0
1705760160,11,11,11,11,11,11,11,11,11,11,11,11,11,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,19,19,19,19,19,19,19,19,19,21,21,10,10,11,10,46,0,0,0
1705760175,17,17,17,17,17,17,17,17,17,17,17,17,17,11,43,33,11,11,11,11,10,10,10,10,10,10,10,10,30,30,10,20,10,16,16,16,16,16,16,16,16,16,6,6,10,10,17,10,0,0,0,0
1705760190,17,17,17,17,17,17,17,17,17,17,17,17,17,16,65,48,16,16,16,16,17,17,17,17,17,17,17,17,51,51,17,34,17,12,12,12,12,12,12,12,12,12,19,19,10,10,17,10,23,0,0,0
1705760205,11,11,11,11,11,11,11,11,10,10,10,10,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,17,16,16,16,16,16,16,16,16,13,13,10,10,11,10,23,0,0,0
1705760220,20,20,20,20,20,20,20,20,21,21,21,21,21,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,16,17,17,17,17,17,17,17,17,13,13,10,10,20,10,0,0,0,0
1705760235,11,11,11,11,11,11,11,11,11,11,11,11,11,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,13,13,13,13,13,13,13,13,13,18,18,10,10,11,10,0,0,0,0
1705760250,17,17,16,16,16,16,16,16,16,16,16,16,16,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,18,18,18,18,18,18,18,18,18,16,16,10,10,17,10,23,0,0,0
1705760265,17,17,18,18,18,18,18,18,18,18,18,18,18,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,14,14,14,14,14,14,14,14,14,15,15,10,10,17,10,0,0,0,0
1705760280,13,13,13,13,13,13,13,13,13,13,13,13,13,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,14,14,14,14,14,14,14,14,14,19,19,10,10,13,10,0,0,0,0
1705760295,20,20,20,20,20,20,20,20,20,20,20,20,20,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,20,20,20,20,20,20,20,20,20,14,14,10,10,20,10,0,0,0,0
1705760310,17,17,17,17,17,17,17,17,17,17,17,17,17,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,15,15,15,15,15,15,15,15,15,14,14,10,10,17,10,23,0,0,0
1705760325,9,9,9,9,9,9,9,9,9,9,9,9,9,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,11,11,11,11,11,11,11,11,11,17,17,10,10,9,10,0,0,0,0
1705760340,16,16,16,16,16,16,16,16,16,16,16,16,16,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,18,18,18,18,18,18,18,18,18,16,16,10,10,16,10,0,0,0,0
1705760355,16,16,16,16,16,16,16,16,16,16,16,16,16,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,16,16,16,16,16,16,16,16,16,14,14,10,10,16,10,0,0,0,0
1705760370,17,17,17,17,17,17,17,17,17,17,17,17,17,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,15,15,15,15,15,15,15,15,15,18,18,10,10,17,10,0,0,0,0
1705760385,18,18,18,18,18,18,18,18,18,18,18,18,18,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,17,17,17,17,17,17,17,17,17,11,11,10,10,18,10,0,0,0,0
1705760400,14,14,14,14,14,14,14,14,14,14,14,14,14,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,15,15,15,15,15,15,15,15,15,19,19,10,10,14,10,0,0,1,0
1705760415,16,16,16,16,16,16,16,16,16,16,16,16,16,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,15,15,15,15,15,15,15,15,15,15,15,10,10,16,10,0,0,0,0
1705760430,13,13,13,13,13,13,13,13,13,13,13,13,13,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,18,18,18,18,18,18,18,18,18,16,16,10,10,13,10,0,0,0,0
1705760445,21,21,21,21,21,21,21,21,21,21,21,21,21,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,15,15,15,15,15,15,15,15,15,15,15,10,10,21,10,0,0,0,0
1705760460,12,12,12,12,12,12,12,12,12,12,12,12,12,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,10,10,10,10,10,10,10,17,17,10,10,12,10,0,0,0,0
1705760475,16,16,16,16,16,16,16,16,16,16,16,16,16,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,18,18,18,18,18,18,18,18,18,14,14,10,10,16,10,0,0,0,0
1705760490,12,12,12,12,12,12,12,12,12,12,12,12,12,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,14,14,14,14,14,14,14,14,14,14,14,10,10,12,10,0,0,0,0
1705760505,16,16,16,16,16,16,16,16,16,16,16,16,16,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,17,17,17,17,17,17,17,17,17,16,16,10,10,16,10,0,0,0,0
1705760520,18,18,18,18,18,18,18,18,18,18,18,18,18,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,16,16,16,16,16,16,16,16,16,14,14,10,10,18,10,0,0,0,0
1705760535,12,12,12,12,12,11,11,11,11,11,11,11,11,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,12,12,12,12,12,12,12,12,12,15,15,10,10,12,10,69,0,0,0
1705760550,14,14,14,14,14,15,15,15,15,15,15,15,15,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,18,18,18,18,18,18,18,18,18,18,18,10,10,14,10,46,0,0,0
1705760565,21,21,21,20,20,20,20,20,20,20,20,20,20,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,18,18,18,18,18,18,18,18,18,10,10,10,10,21,10,23,0,0,0
1705760580,13,13,13,14,14,14,14,14,14,14,14,14,14,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,11,11,11,11,11,11,11,11,11,20,20,10,10,13,10,23,0,0,0
1705760595,15,15,15,15,15,15,15,15,15,15,15,15,15,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,19,19,19,19,19,19,19,19,19,18,18,10,10,15,10,46,0,0,0
1705760610,20,20,20,20,20,20,20,20,20,20,20,20,20,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,18,18,18,18,18,18,18,18,18,11,11,10,10,20,10,0,0,0,0
1705760625,15,15,15,15,15,15,15,15,15,15,15,15,15,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,15,15,15,15,15,15,15,15,15,15,15,10,10,15,10,0,0,0,0
1705760640,11,11,11,11,11,11,11,11,11,11,11,11,11,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,10,10,10,10,10,10,10,19,19,10,10,11,10,23,0,0,0
1705760655,17,17,17,17,17,17,17,17,17,17,17,17,17,8,32,24,8,8,8,8,8,8,8,8,8,8,8,8,24,24,8,16,8,17,17,17,17,17,17,17,17,17,17,17,10,10,17,10,0,0,0,0
1705760670,19,19,19,19,19,19,18,18,18,18,18,18,18,21,84,63,21,21,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,18,18,18,18,18,18,18,18,18,11,11,10,10,19,10,46,0,0,0
1705760685,11,11,11,11,11,11,12,12,12,12,12,12,12,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,15,15,15,15,15,15,15,15,15,15,15,10,10,11,10,0,0,0,0
1705760700,14,14,14,14,14,14,14,14,14,14,14,14,14,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,13,13,13,13,13,13,13,13,13,22,22,10,10,14,10,0,0,0,0
1705760715,18,18,18,18,18,18,18,18,18,18,18,18,18,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,15,15,15,15,15,15,15,15,15,11,11,10,10,18,10,0,0,0,0
1705760730,15,15,15,15,15,15,15,15,15,15,15,15,15,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,16,16,16,16,16,16,16,16,16,16,16,10,10,15,10,46,0,0,0
1705760745,15,15,15,15,15,15,15,15,15,15,15,15,15,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,10,10,10,10,10,10,10,11,11,10,10,15,10,0,0,0,0
1705760760,8,8,8,8,8,8,8,8,8,8,8,8,8,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,13,13,13,13,13,13,13,13,13,19,19,10,10,8,10,0,0,0,0
1705760775,19,19,19,19,19,19,19,19,19,19,19,19,19,9,36,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,9,18,9,20,20,20,20,20,20,20,20,20,12,12,10,10,19,10,46,0,0,0
1705760790,18,18,18,18,18,18,18,18,18,18,18,18,18,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,14,14,14,14,14,14,14,14,14,13,13,10,10,18,10,23,0,0,0
1705760805,9,9,9,9,9,9,9,9,9,9,9,9,9,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,13,12,12,12,12,12,12,12,12,17,17,10,10,9,10,69,0,0,0
1705760820,16,16,16,16,16,16,16,16,16,16,16,16,16,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,17,18,18,18,18,18,18,18,18,15,15,10,10,16,10,23,0,0,0
1705760835,15,15,15,15,15,15,15,15,15,15,15,15,15,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,13,13,13,13,13,13,13,13,13,12,12,10,10,15,10,46,0,0,0
1705760850,17,17,17,17,17,17,17,17,17,17,17,17,17,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,17,17,17,17,17,17,17,17,17,18,18,10,10,17,10,0,0,0,0
1705760865,13,13,13,13,13,13,13,13,13,13,13,13,13,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,15,15,15,15,15,15,15,15,15,12,12,10,10,13,10,23,0,0,0
1705760880,18,17,17,17,17,17,17,17,17,17,17,17,17,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,19,19,19,19,19,19,19,19,19,16,16,10,10,18,10,23,0,0,0
1705760895,14,15,15,15,15,15,15,15,15,15,15,15,15,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,12,12,12,12,12,12,12,12,12,17,17,10,10,14,10,0,0,0,0
1705760910,17,17,17,17,17,17,17,17,17,17,17,17,17,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,15,15,15,15,15,15,15,15,15,16,16,10,10,17,10,23,0,0,0
1705760925,10,10,10,10,10,10,10,10,10,10,10,10,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,10,10,10,10,10,10,10,15,15,10,10,10,10,23,0,0,0
1705760940,15,15,15,15,15,15,15,15,15,15,15,15,15,7,28,21,7,7,7,7,7,7,7,7,7,7,7,7,21,21,7,14,7,19,19,19,19,19,19,19,19,19,13,13,10,10,15,10,0,0,0,0
1705760955,17,17,17,17,17,17,17,17,17,17,17,17,17,23,92,69,23,23,23,23,23,23,23,23,23,23,23,23,69,69,23,46,23,13,13,13,13,13,13,13,13,13,10,10,10,10,17,10,0,0,0,0
1705760970,17,17,17,17,17,17,17,17,17,17,17,17,17,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,17,17,17,17,17,17,17,17,17,23,23,10,10,17,10,0,0,0,0
1705760985,14,14,14,14,14,14,14,14,14,14,14,14,14,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,17,17,17,17,17,17,17,17,17,10,10,10,10,14,10,0,0,0,0
1705761000,17,17,17,17,17,17,17,17,17,17,17,17,17,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,16,16,16,16,16,16,16,16,16,20,20,10,10,17,10,0,0,0,0
1705761015,13,13,13,13,13,13,13,13,13,13,13,13,13,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,16,16,16,16,16,16,16,16,16,11,11,10,10,13,10,69,0,0,0
1705761030,21,21,21,21,21,21,21,21,21,21,21,21,21,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,16,16,16,16,16,16,16,16,16,15,15,10,10,21,10,0,0,0,0
1705761045,11,11,11,11,11,11,11,11,11,11,11,11,11,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,14,14,14,14,14,14,14,14,14,16,16,10,10,11,10,23,0,0,1
1705761060,17,17,17,17,17,17,17,17,17,17,17,17,17,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,16,16,16,16,16,16,16,16,16,20,20,10,10,17,10,23,0,0,0
1705761075,14,14,14,14,14,14,14,14,14,14,14,14,14,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,14,14,14,14,14,14,14,14,14,13,13,10,10,14,10,23,0,0,0
1705761090,18,18,18,18,18,18,17,17,17,17,17,17,17,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,15,15,15,15,15,15,15,15,15,15,15,10,10,18,10,23,0,0,0
1705761105,12,12,12,12,12,12,13,13,13,13,13,13,13,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,12,12,12,12,12,12,12,12,12,16,16,10,10,12,10,0,0,0,0
1705761120,12,12,12,12,12,12,11,11,11,11,11,11,11,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,18,18,18,18,18,18,18,18,18,16,16,10,10,12,10,0,0,0,0
1705761135,19,19,19,19,19,19,20,20,20,20,20,20,20,15,60,45,15,15,15,15,15,15,14,14,14,14,14,14,42,42,14,28,14,15,15,15,15,15,15,15,15,15,11,11,10,10,19,10,23,0,0,0
1705761150,11,11,11,11,11,11,11,11,11,11,11,11,11,16,64,48,16,16,16,16,16,16,17,17,17,17,17,17,51,51,17,34,17,12,12,12,12,12,12,12,12,12,19,19,10,10,11,10,69,0,0,0
1705761165,16,16,16,16,16,16,16,16,16,16,16,16,16,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,22,22,22,22,22,22,22,22,22,11,11,10,10,16,10,0,0,0,0
1705761180,20,20,20,20,20,20,20,20,20,20,20,20,20,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,9,9,9,9,9,9,9,9,9,17,17,10,10,20,10,0,0,0,0
1705761195,11,11,10,10,10,10,10,10,10,10,10,10,10,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,14,14,14,14,14,14,14,14,14,17,17,10,10,11,10,0,0,0,0
1705761210,14,14,15,15,15,15,15,15,15,15,15,15,15,8,32,24,8,8,8,8,8,8,8,8,8,8,8,8,24,24,8,16,8,22,22,22,22,22,21,21,21,21,13,13,10,10,14,10,0,0,0,0
1705761225,14,14,14,14,14,14,14,14,14,14,14,14,14,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,6,6,6,6,6,7,7,7,7,4,4,6,6,14,6,23,0,0,0
