time,front-end_1,user_2,front-end_3,front-end_4,front-end_5,front-end_6,front-end_7,front-end_8,front-end_9,front-end_10,user_11,front-end_12,front-end_13,front-end_14,front-end_15,front-end_16,user_17,user_18,orders_19,payment_20,orders_21,shipping_22,queue-master_23,queue-master_24,queue-master_25,queue-master_26,queue-master_27,front-end_28,front-end_29,front-end_30,catalogue_31,user_32,front-end_33,front-end_34,user_35,front-end_36,front-end_37,front-end_38,front-end_39,front-end_40,catalogue_41,front-end_42,front-end_43,front-end_44,catalogue_45,front-end_46,payment_47,user_48,carts_49,user-db_50,user_51,orders-db_52,orders_53,user_54,carts_55,user_56
1705781715,16,16,16,16,16,16,16,16,16,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,18,10,18,18,18,18,18,18,18,18,18,18,18,18,18,10,10,10,10,0,0,0,0,0,0,0,0
1705781730,14,14,14,14,14,14,14,14,14,22,88,66,22,22,22,22,22,22,22,22,22,22,22,22,66,66,22,44,22,14,10,14,14,14,14,14,14,14,14,14,14,14,14,14,19,19,10,10,23,0,0,0,0,0,0,0
1705781745,13,13,13,13,13,13,13,13,13,10,37,28,10,10,9,9,9,9,9,9,9,9,9,9,27,27,9,18,9,17,10,17,17,17,17,17,17,17,17,17,17,17,17,17,15,15,10,10,23,0,0,0,0,0,0,0
1705781760,19,19,19,19,19,19,19,19,19,19,79,59,19,19,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,15,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,10,0,0,0,0,0,0,0,0
1705781775,14,14,14,14,14,14,14,14,14,17,65,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,16,10,16,16,16,16,16,16,16,16,16,16,16,16,16,14,14,10,10,69,0,0,0,0,0,0,0
1705781790,13,13,13,13,13,13,13,13,13,11,47,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,18,18,10,10,0,0,0,0,0,0,0,0
1705781805,14,14,14,14,14,14,14,14,14,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,18,10,18,18,18,18,18,18,18,18,18,18,18,18,18,13,13,10,10,23,0,0,0,0,0,0,0
1705781820,13,13,13,13,13,13,13,13,13,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,14,14,10,10,0,0,0,0,0,0,0,0
1705781835,22,22,22,22,22,22,22,22,22,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,19,10,19,19,19,19,19,19,19,19,19,19,19,19,19,15,15,10,10,0,0,0,0,0,0,0,0
1705781850,12,12,12,12,12,12,12,12,12,22,88,66,22,22,22,22,22,22,22,22,22,22,22,22,66,66,22,44,22,13,10,13,13,13,13,13,13,13,13,13,13,13,13,12,10,10,10,10,23,0,0,0,0,0,0,0
1705781865,14,14,14,14,14,14,14,14,14,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,14,10,14,14,14,14,14,14,14,14,14,14,14,14,15,22,22,10,10,23,0,0,0,0,0,0,0
1705781880,15,15,15,15,15,15,15,15,15,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,17,10,17,17,17,17,17,17,17,17,17,17,17,17,17,14,14,10,10,0,1,0,0,0,0,0,0
1705781895,15,15,15,15,15,15,15,15,15,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,14,10,14,14,14,14,14,14,14,14,14,14,14,14,14,17,17,10,10,0,0,0,0,0,0,0,0
1705781910,19,19,19,19,19,19,19,19,19,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,20,10,20,20,20,20,20,20,20,20,20,20,20,20,20,11,11,10,10,46,0,0,0,0,0,0,0
1705781925,9,9,9,9,9,9,9,9,9,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,15,10,15,15,15,15,15,15,15,15,15,15,15,15,15,19,19,10,10,46,0,0,0,0,0,0,0
1705781940,23,23,23,23,23,23,23,23,23,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,13,10,13,13,13,13,13,13,13,13,13,13,13,13,13,18,18,10,10,0,0,0,0,0,0,0,0
1705781955,16,16,16,16,16,16,16,16,16,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,18,10,18,18,18,18,18,18,18,18,18,18,18,18,18,9,9,10,10,23,0,0,0,0,0,0,0
1705781970,11,11,11,11,11,11,11,11,11,19,75,55,19,19,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,17,10,17,17,17,17,17,17,17,17,17,17,17,17,17,19,19,10,10,0,0,0,0,0,0,0,0
1705781985,14,14,14,14,14,14,14,14,14,16,65,50,16,16,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,17,17,10,10,0,0,0,0,0,0,0,0
1705782000,20,20,20,20,20,20,20,20,20,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,16,10,16,16,16,16,16,16,16,16,16,16,16,16,16,12,12,10,10,0,0,0,0,0,0,0,0
1705782015,15,15,15,15,15,15,15,15,15,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,20,10,20,20,20,20,20,20,20,20,20,20,20,20,20,13,13,10,10,46,0,0,0,0,0,0,0
1705782030,12,12,12,12,12,12,12,12,12,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,15,10,15,15,15,15,15,15,15,15,15,15,15,15,15,20,20,10,10,23,0,0,0,0,0,0,0
1705782045,21,21,21,21,21,21,21,21,21,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,16,10,16,16,16,16,16,16,16,16,16,16,16,16,16,17,17,10,10,0,0,0,0,0,0,0,0
1705782060,15,15,15,15,15,15,15,15,15,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,14,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,10,0,0,0,0,0,0,0,0
1705782075,13,13,13,13,13,13,13,13,13,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,18,10,18,18,18,18,18,18,18,18,18,18,18,18,18,16,16,10,10,46,0,0,0,0,0,0,0
1705782090,15,15,15,15,15,15,15,15,15,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,13,10,13,13,13,13,13,13,13,13,13,13,13,13,13,18,18,10,10,0,0,0,0,0,0,0,0
1705782105,20,20,20,20,20,20,20,20,20,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,17,10,17,17,17,17,17,17,17,17,17,17,17,17,17,14,14,10,10,0,0,0,0,0,0,0,0
1705782120,8,8,8,8,8,8,8,8,8,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,17,10,17,17,17,17,17,17,17,17,17,17,17,17,17,16,16,10,10,69,0,0,0,0,0,0,0
1705782135,19,19,19,19,19,19,19,19,19,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,11,10,11,11,11,11,11,11,11,11,11,11,11,11,11,17,17,10,10,0,0,0,0,0,0,0,0
1705782150,19,19,19,19,19,19,19,19,19,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,36,36,12,24,12,21,10,21,21,21,21,21,21,21,21,21,21,21,21,21,11,11,10,10,69,0,0,0,0,0,0,0
1705782165,11,11,11,11,11,11,11,11,11,21,84,63,21,21,21,21,21,21,21,21,21,21,21,21,66,66,22,44,22,12,10,12,12,12,12,12,12,12,12,12,12,12,12,12,21,21,10,10,0,1,0,0,0,0,0,0
1705782180,21,21,21,21,21,21,21,21,21,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,18,10,18,18,18,18,18,18,18,18,18,18,18,18,18,14,14,10,10,23,0,0,0,0,0,0,0
1705782195,12,12,12,12,12,12,12,12,12,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,16,10,16,16,16,16,16,16,16,16,16,16,16,16,16,10,10,10,10,0,0,0,0,0,0,0,0
1705782210,14,14,14,14,14,14,14,14,14,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,13,10,13,13,13,13,13,13,13,13,13,13,13,13,13,20,19,10,10,23,0,0,0,0,0,0,0
1705782225,18,18,18,18,18,18,18,18,18,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,13,10,13,13,13,13,13,13,13,13,13,13,13,13,13,14,15,10,10,0,0,0,0,0,0,0,0
1705782240,14,14,14,14,14,14,14,14,14,16,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,20,10,20,20,20,20,20,20,20,20,20,20,20,20,20,12,12,10,10,0,0,0,0,0,0,0,0
1705782255,11,11,11,11,11,11,11,11,11,20,88,66,22,22,22,22,21,22,22,22,22,22,22,22,66,66,22,44,22,10,10,10,10,10,9,10,10,10,10,10,10,10,10,10,20,19,10,10,0,2,1,1,1,1,0,0
1705782270,19,19,19,19,19,19,19,19,19,8,32,24,8,8,8,8,8,8,8,8,8,8,8,8,24,24,8,16,8,14,10,14,14,14,14,14,14,14,14,14,14,14,14,14,15,16,10,10,0,0,0,0,0,0,0,0
1705782285,17,17,17,17,17,17,17,17,17,14,55,42,14,14,14,14,13,13,13,13,13,13,13,13,39,39,13,26,13,22,10,22,22,20,19,19,19,19,19,19,19,19,19,19,9,9,10,10,23,4,0,0,0,0,0,0
1705782300,11,11,11,11,11,11,11,11,11,21,85,63,21,21,21,21,22,22,22,22,22,22,22,22,66,66,22,44,22,12,10,12,12,14,15,15,15,15,15,15,15,15,15,15,17,17,10,10,0,0,0,0,0,0,1,0
1705782315,18,18,18,18,18,18,18,18,18,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,14,10,14,14,14,14,14,14,14,14,14,14,14,14,14,25,25,10,10,69,0,0,0,0,0,0,0
1705782330,17,17,17,17,17,17,17,17,17,13,52,39,13,13,13,13,13,13,12,12,12,12,12,12,36,36,12,24,12,19,10,19,19,19,19,19,19,19,19,19,19,19,19,19,6,6,10,10,0,0,0,0,0,0,0,0
1705782345,10,10,10,10,10,10,10,10,10,20,80,60,20,20,20,20,20,20,21,21,21,21,21,21,63,63,21,42,21,13,10,12,12,12,12,12,12,12,12,12,12,12,12,12,20,20,10,10,0,0,0,0,0,0,0,0
1705782360,18,17,18,18,18,18,18,18,18,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,15,10,16,16,16,16,16,16,16,16,16,15,15,15,15,16,16,10,10,23,0,0,0,0,0,0,1
1705782375,16,16,16,16,16,16,16,16,16,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,15,10,15,15,15,15,15,15,15,15,15,16,16,16,16,10,10,10,10,0,0,0,0,0,0,0,0
1705782390,14,14,14,14,14,14,14,14,14,16,64,48,16,16,16,16,16,16,15,15,15,15,15,15,45,45,15,30,15,13,10,13,13,13,13,13,12,12,12,12,12,12,12,12,19,19,10,10,23,0,0,0,0,0,0,0
1705782405,16,16,16,16,16,16,16,16,16,16,64,48,16,16,16,16,16,16,17,17,17,17,17,17,51,51,17,34,17,18,10,18,18,18,18,18,19,19,19,19,19,19,19,19,12,12,10,10,23,0,0,0,0,0,0,0
1705782420,13,13,13,13,13,13,13,13,13,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,15,10,15,15,15,15,15,15,15,15,15,15,15,15,15,19,19,10,10,23,0,0,0,0,0,0,0
1705782435,12,12,12,12,12,12,12,12,12,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,12,10,12,12,12,12,12,12,12,12,12,12,12,12,12,14,14,10,10,23,0,0,0,0,0,0,0
1705782450,21,20,20,20,20,20,20,20,20,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,17,10,17,17,17,17,17,17,17,17,17,17,17,17,17,15,15,10,10,23,0,0,0,0,0,0,0
1705782465,10,11,11,11,11,11,11,11,11,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,14,10,14,14,14,14,14,13,13,13,13,13,13,13,13,11,11,10,10,23,0,0,0,0,0,0,0
1705782480,13,13,13,13,13,13,13,13,13,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,13,10,13,13,13,13,13,14,14,14,14,14,14,14,14,17,17,10,10,0,0,0,0,0,0,0,0
1705782495,20,20,20,20,20,20,20,20,20,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,16,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,10,46,0,0,0,0,0,0,0
1705782510,16,16,16,16,16,16,16,16,16,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,19,10,21,21,21,21,21,21,21,21,21,21,21,21,21,11,11,10,10,23,0,0,0,0,0,0,0
1705782525,11,11,11,11,11,11,11,11,11,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,19,19,10,10,0,0,0,0,0,0,0,0
1705782540,21,21,21,21,21,20,20,20,20,10,35,27,10,10,8,8,7,7,7,7,7,7,7,7,21,21,7,14,7,19,10,19,19,19,18,18,18,18,18,18,18,18,18,18,17,17,10,10,0,0,0,0,0,0,0,0
1705782555,15,15,15,15,15,16,16,16,16,17,73,54,17,17,19,19,20,20,20,20,20,20,20,20,60,60,20,40,20,14,10,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,10,10,0,1,0,0,0,0,0,0
1705782570,14,14,14,14,14,14,14,14,14,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,14,10,14,14,14,14,14,14,14,14,14,14,14,14,14,18,18,10,10,23,0,0,0,0,0,0,0
1705782585,16,16,15,15,15,15,15,15,15,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,16,10,16,16,16,16,16,16,16,16,16,16,16,16,16,15,15,10,10,0,0,0,0,0,0,0,0
1705782600,12,12,13,13,13,13,13,13,13,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,18,10,17,17,17,17,17,17,17,17,17,17,17,17,17,11,11,10,10,0,0,0,0,0,0,0,0
1705782615,19,19,19,19,19,19,19,19,19,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,17,10,18,18,17,17,17,17,17,17,17,17,17,17,17,17,17,10,10,23,0,0,0,0,0,0,0
1705782630,14,14,14,14,14,14,14,14,14,21,84,63,21,21,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,13,10,13,13,14,14,14,14,14,14,14,14,14,14,14,11,11,10,10,0,0,0,0,0,0,0,0
1705782645,13,12,12,12,12,12,12,12,12,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,13,10,12,12,12,12,12,12,12,12,12,12,12,12,12,19,19,10,10,23,0,0,0,0,0,0,0
1705782660,15,16,16,16,16,16,16,16,16,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,15,10,16,16,16,16,16,16,16,16,16,16,16,16,16,15,15,10,10,0,0,0,0,0,0,0,0
1705782675,22,22,22,22,22,22,22,22,22,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,20,10,20,20,20,20,20,20,20,20,20,20,20,20,20,12,12,10,10,23,0,0,0,0,0,0,0
1705782690,10,10,10,10,10,8,8,8,8,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,12,10,12,12,12,11,11,11,11,11,11,11,11,11,11,16,16,10,10,0,0,0,0,0,0,0,0
1705782705,16,16,16,16,16,18,18,18,18,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,16,10,16,16,16,17,17,17,17,17,17,17,17,17,17,21,21,10,10,0,0,0,0,0,0,0,0
1705782720,17,17,17,17,17,17,17,17,17,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,12,10,12,12,12,12,12,12,12,12,12,12,12,12,12,14,14,10,10,0,0,0,0,0,0,1,0
1705782735,14,14,14,14,14,14,14,14,14,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,19,10,19,19,19,19,19,19,19,19,19,19,19,19,19,14,14,10,10,0,0,0,0,0,0,0,0
1705782750,16,16,16,16,16,16,16,16,16,21,84,63,21,21,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,17,10,17,17,17,17,17,15,15,15,15,15,15,15,15,14,14,10,10,23,0,0,0,0,0,0,0
1705782765,15,15,15,15,15,15,15,15,15,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,10,10,10,10,10,10,12,12,12,12,12,12,12,12,20,20,10,10,0,0,0,0,0,0,0,0
1705782780,15,15,15,15,15,15,15,15,15,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,18,10,18,18,18,18,18,18,18,18,18,18,18,18,18,12,12,10,10,0,0,0,0,0,0,0,0
1705782795,13,13,13,13,13,13,13,13,13,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,13,10,13,13,13,13,13,13,13,13,13,13,13,13,13,12,12,10,10,23,0,0,0,0,0,0,0
1705782810,19,19,19,19,19,19,19,19,19,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,18,10,18,18,18,18,18,18,18,18,18,18,18,18,18,19,19,10,10,23,0,0,0,0,0,0,0
1705782825,10,10,10,10,10,10,10,10,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,12,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,10,0,0,0,0,0,0,0,0
1705782840,20,20,20,20,20,20,20,20,20,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,14,10,13,13,13,13,13,13,12,12,12,12,12,12,12,17,17,10,10,0,0,0,0,0,0,0,0
1705782855,13,13,13,13,13,13,13,13,13,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,21,10,22,22,22,22,22,22,23,23,23,23,23,23,23,14,14,10,10,23,0,0,0,0,0,0,0
1705782870,11,11,11,11,11,11,11,11,11,23,92,69,23,23,23,23,23,23,23,23,23,23,23,23,69,69,23,46,23,14,10,14,14,14,14,14,14,14,14,14,14,14,14,14,18,18,10,10,0,0,0,0,0,0,0,0
1705782885,16,14,14,14,14,14,14,14,14,11,36,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,9,18,9,9,10,8,8,8,8,8,8,8,8,8,8,8,8,8,15,15,10,10,0,0,0,0,0,0,0,0
1705782900,20,22,22,22,22,22,22,22,22,11,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,19,10,20,20,20,20,20,20,20,20,20,20,20,20,20,10,10,10,10,23,0,0,0,0,0,0,0
1705782915,10,10,10,10,10,10,10,10,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,15,10,15,15,15,15,15,14,14,14,14,14,14,14,14,14,14,10,10,23,0,0,0,0,0,0,0
1705782930,14,12,12,12,12,12,12,12,12,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,11,10,11,11,11,11,11,12,12,12,12,12,12,12,12,19,19,10,10,0,0,0,0,0,0,0,0
1705782945,9,11,11,11,11,11,11,11,11,6,24,18,6,6,6,6,6,6,6,6,6,6,6,6,18,18,6,12,6,8,6,5,5,5,5,5,5,5,5,5,5,5,5,5,8,8,6,4,0,0,0,0,0,0,0,0
