time,front-end_1,user_2,front-end_3,front-end_4,front-end_5,front-end_6,front-end_7,front-end_8,user_9,user_10,orders_11,payment_12,orders_13,shipping_14,queue-master_15,queue-master_16,queue-master_17,queue-master_18,queue-master_19,front-end_20,front-end_21,catalogue_22,front-end_23,front-end_24,user_25,front-end_26,front-end_27,user_28,front-end_29,front-end_30,front-end_31,front-end_32,front-end_33,catalogue_34,front-end_35,front-end_36,front-end_37,user_38,front-end_39,front-end_40,front-end_41,catalogue_42,front-end_43,front-end_44,front-end_45,front-end_46,payment_47,user_48,carts_49,user_50,carts_51,user-db_52
1705644675,11,44,33,11,11,10,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,9,9,18,18,18,18,18,18,18,16,16,16,16,16,16,14,14,14,14,14,10,20,20,20,20,10,10,23,0,0,0
1705644690,11,44,33,11,11,19,11,11,11,11,12,12,12,12,12,12,36,36,12,24,12,8,8,10,10,10,10,10,10,10,15,15,15,15,15,15,11,11,11,11,11,10,13,13,13,13,10,10,0,0,0,0
1705644705,24,96,72,24,24,16,24,24,24,24,23,23,23,23,23,23,69,69,23,46,23,16,16,14,14,14,14,14,14,14,12,12,12,12,12,12,10,10,10,10,10,10,9,9,9,9,10,10,46,0,0,0
1705644720,13,52,39,13,13,13,13,13,13,13,14,14,14,14,14,14,42,42,14,28,14,22,22,12,12,12,12,12,12,12,14,14,14,14,14,14,10,10,10,10,10,10,12,12,12,12,10,10,0,0,0,0
1705644735,11,44,33,11,11,8,11,11,11,11,8,8,8,8,8,8,24,24,8,16,8,12,12,15,15,15,15,15,15,15,11,11,11,11,11,11,20,20,20,20,20,10,17,17,17,17,10,10,0,0,0,0
1705644750,7,28,21,7,7,15,7,7,7,7,10,10,10,10,10,10,30,30,10,20,10,11,11,14,14,14,14,14,14,14,16,16,16,16,16,16,13,13,13,13,13,10,13,13,13,13,10,10,23,0,0,0
1705644765,17,68,51,17,17,19,17,17,17,17,17,17,17,16,16,16,48,48,16,32,16,9,9,12,12,12,12,12,12,12,14,14,14,14,14,14,12,12,12,12,12,10,14,14,14,14,10,10,23,0,0,0
1705644780,20,80,60,20,20,16,20,20,20,20,20,20,20,21,21,21,63,63,21,42,21,21,21,16,16,16,16,16,16,16,16,16,16,16,16,16,10,10,10,10,10,10,11,11,11,11,10,10,23,0,0,0
1705644795,14,56,42,14,14,7,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,17,17,7,7,7,7,7,7,7,7,7,7,7,7,7,12,12,12,12,12,10,12,12,12,12,10,10,0,0,0,0
1705644810,6,24,18,6,6,11,6,6,6,6,6,6,6,6,6,6,18,18,6,12,6,10,10,18,18,18,18,18,18,18,17,17,17,17,17,17,24,24,24,24,24,10,20,20,20,20,10,10,23,0,0,0
1705644825,14,56,42,14,14,13,14,14,14,14,12,12,12,12,12,12,36,36,12,24,12,6,6,17,17,17,17,17,17,17,16,16,16,16,16,16,14,14,14,14,14,10,12,12,12,12,10,10,23,0,0,0
1705644840,12,48,36,12,12,23,12,12,12,12,14,14,14,14,14,14,42,42,14,28,14,17,17,12,12,12,12,12,12,12,14,14,14,14,14,14,7,7,7,7,7,10,13,13,13,13,10,10,23,0,0,0
1705644855,20,80,60,20,20,11,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,15,15,11,11,11,11,11,11,11,11,11,11,11,11,11,14,14,14,14,14,10,14,14,14,14,10,10,69,0,0,0
1705644870,14,56,42,14,14,11,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,16,16,15,15,15,15,15,15,15,14,14,14,14,14,14,18,18,18,18,18,10,15,15,15,15,10,10,23,0,0,0
1705644885,11,44,33,11,11,15,11,11,11,11,10,10,10,10,10,10,30,30,10,20,10,15,15,14,14,14,14,14,14,14,15,15,15,15,15,15,16,16,16,16,16,10,15,15,15,15,10,10,23,0,0,0
1705644900,14,56,42,14,14,16,14,14,14,14,15,15,15,15,15,15,45,45,15,30,15,9,9,17,17,17,17,17,17,17,16,16,16,16,16,16,12,12,12,12,12,10,13,13,13,13,10,10,23,0,0,0
1705644915,20,80,60,20,20,14,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,16,16,14,14,14,14,14,14,14,14,14,14,14,14,14,13,13,13,13,13,10,15,15,15,15,10,10,0,0,0,0
1705644930,11,44,33,11,11,16,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,19,19,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,15,15,15,15,10,10,0,0,0,0
1705644945,15,60,45,15,15,15,15,15,15,15,14,14,14,14,14,14,42,42,14,28,14,14,14,13,13,13,13,13,13,13,14,14,14,14,14,14,15,15,15,15,15,10,12,12,12,12,10,10,0,0,0,0
1705644960,17,68,51,17,17,13,17,17,17,17,18,18,18,18,18,18,54,54,18,36,18,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,10,17,17,17,17,10,10,23,0,0,0
1705644975,12,48,36,12,12,15,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,12,12,12,12,12,10,11,11,11,11,10,10,0,0,0,0
1705644990,15,60,45,15,15,9,15,15,15,15,15,14,14,14,14,14,42,42,14,26,13,15,15,17,17,17,17,17,17,17,16,16,16,16,16,16,23,22,22,22,22,10,18,18,18,18,10,10,23,0,0,0
1705645005,11,44,33,11,11,17,11,11,11,11,11,12,12,12,12,12,36,36,12,26,13,15,15,14,14,14,14,14,14,14,14,14,14,14,14,14,8,9,9,9,9,10,13,13,13,13,10,10,0,0,0,0
1705645020,18,70,54,18,18,15,18,18,16,16,16,16,16,16,16,16,48,48,16,32,16,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,13,13,13,13,13,10,14,14,14,14,10,10,23,0,0,0
1705645035,12,50,36,12,12,10,12,12,14,14,12,12,12,11,11,11,33,33,11,22,11,17,17,18,18,18,18,18,18,18,16,16,16,16,16,16,19,19,19,19,19,10,18,18,18,18,10,10,23,0,0,0
1705645050,12,48,36,12,12,18,12,12,12,12,14,14,14,15,15,15,45,45,15,30,15,12,12,12,12,12,12,12,12,12,15,15,15,15,15,15,12,12,12,12,12,10,12,12,12,12,10,10,23,0,0,0
1705645065,16,64,48,16,16,15,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,14,14,12,12,12,12,12,12,12,12,12,12,12,12,12,8,8,8,8,8,10,9,9,9,9,10,10,0,0,0,0
1705645080,15,60,45,15,15,11,15,15,15,15,14,14,14,13,13,13,39,39,13,26,13,17,17,12,12,12,12,12,12,12,12,12,12,12,12,12,16,16,16,16,16,10,15,15,15,15,10,10,69,0,0,0
1705645095,10,40,30,10,10,11,10,10,10,10,10,10,10,11,11,11,33,33,11,22,11,10,10,22,22,22,22,22,22,21,16,16,16,16,16,16,18,18,18,18,18,10,14,14,14,14,10,10,0,0,0,0
1705645110,10,40,30,10,10,19,10,10,10,10,11,11,11,11,11,11,33,33,11,22,11,13,13,7,7,7,7,7,7,8,13,13,13,13,13,13,10,10,10,10,10,10,15,15,15,15,10,10,0,0,0,0
1705645125,23,91,69,23,23,13,23,23,22,22,22,21,21,21,21,21,63,63,21,40,20,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,9,9,9,9,9,10,9,9,9,9,10,10,23,0,0,0
1705645140,9,37,27,9,9,11,9,9,10,10,10,11,11,11,11,11,33,33,11,22,11,17,17,15,15,15,15,15,15,15,14,14,14,14,14,14,21,21,21,21,21,10,19,19,19,19,10,10,23,0,0,0
1705645155,15,60,45,15,15,14,15,15,15,15,14,14,14,14,14,14,42,42,14,24,12,11,11,15,15,15,15,15,15,15,14,14,14,14,14,14,17,17,17,17,17,10,16,16,16,16,10,10,23,0,0,0
1705645170,12,48,36,12,12,18,12,12,12,12,13,13,13,13,13,13,39,39,13,30,15,14,14,15,15,15,15,15,15,15,16,16,16,16,16,16,10,10,10,10,10,10,11,11,11,11,10,10,0,0,0,0
1705645185,17,68,51,17,17,15,17,17,17,17,16,16,16,16,16,16,48,48,16,34,17,15,15,14,14,14,14,14,14,14,15,15,15,15,15,15,11,11,11,11,11,10,13,13,13,13,10,10,0,0,0,0
1705645200,13,52,39,13,13,14,13,13,13,13,14,14,14,14,14,14,42,42,14,28,14,19,19,14,14,14,14,14,14,14,14,14,14,14,14,14,13,13,13,13,13,10,13,13,13,13,10,10,23,0,0,0
1705645215,15,60,45,15,15,10,15,15,15,15,15,14,14,14,14,14,42,42,14,28,14,12,12,9,9,9,9,9,9,9,9,9,9,9,9,9,14,14,14,14,14,10,14,14,14,14,10,10,0,0,0,0
1705645230,10,40,30,10,10,9,10,10,10,10,9,10,10,10,10,10,30,30,10,20,10,11,11,17,17,17,17,17,17,17,14,14,14,14,14,14,18,18,18,18,18,10,17,17,17,17,10,10,0,0,0,0
1705645245,10,40,30,10,10,18,10,10,10,10,11,11,11,11,11,11,33,33,11,22,11,12,12,14,14,14,14,14,14,14,17,17,17,17,17,17,11,11,11,11,11,10,11,11,11,11,10,10,23,0,0,0
1705645260,21,83,63,21,21,15,21,21,21,21,21,21,21,21,21,21,63,63,21,40,20,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,13,13,13,13,13,10,14,14,14,14,10,10,23,1,0,0
1705645275,12,48,36,12,12,11,12,12,12,12,11,11,11,11,11,11,33,33,11,24,12,24,24,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,11,11,11,11,10,10,0,0,0,0
1705645290,12,48,36,12,12,13,12,12,12,12,11,11,11,11,11,11,33,33,11,22,11,6,6,15,15,15,15,15,15,15,15,15,15,15,15,15,21,21,21,21,21,10,17,17,17,17,10,10,0,0,0,0
1705645305,13,52,39,13,13,22,13,13,13,13,15,15,15,15,15,15,42,42,14,26,13,15,15,20,20,20,20,20,20,20,20,20,20,20,20,20,7,7,7,7,7,10,11,11,11,11,10,10,0,0,0,0
1705645320,20,79,60,20,20,4,20,20,19,19,19,18,18,18,18,18,57,57,19,40,20,15,15,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,10,6,6,6,6,10,10,0,0,0,0
1705645335,4,17,12,4,4,4,4,4,5,5,5,6,6,6,6,6,18,18,6,12,6,15,15,20,20,20,20,20,20,20,12,12,12,12,12,12,29,29,29,29,29,10,23,23,23,23,10,10,0,0,0,0
1705645350,6,24,18,6,6,14,6,6,6,6,5,5,5,4,4,4,12,12,4,8,4,3,3,12,12,12,12,12,12,12,17,17,17,17,17,17,13,13,13,13,13,10,13,13,13,13,10,10,23,0,2,0
1705645365,15,60,45,15,15,23,15,15,15,15,16,16,16,16,16,16,48,48,16,32,16,8,8,14,14,14,14,14,14,14,16,16,16,16,16,16,4,4,4,4,4,10,10,10,10,10,10,10,0,0,0,0
1705645380,23,92,69,23,23,10,23,23,23,23,22,22,22,21,21,21,63,63,21,40,20,21,21,6,6,6,6,6,6,6,7,7,7,7,7,7,6,6,6,6,6,10,6,6,6,6,10,10,23,0,0,0
1705645395,8,32,24,8,8,14,8,8,8,8,9,9,9,10,10,10,30,30,10,22,11,21,21,13,13,13,13,13,13,13,13,13,13,13,13,13,16,16,16,16,16,10,16,16,16,16,10,10,0,0,0,0
1705645410,15,60,45,15,15,6,15,15,15,15,13,13,13,14,14,14,42,42,14,28,14,4,4,18,18,18,18,18,18,18,13,13,13,13,13,13,20,20,20,20,20,10,18,18,18,18,10,10,0,0,0,0
1705645425,6,24,18,6,6,22,6,6,6,6,8,7,7,7,7,7,21,21,7,12,6,12,12,11,11,11,11,11,11,11,15,15,15,15,15,15,10,10,10,10,10,10,12,12,12,12,10,10,0,0,0,0
1705645440,21,83,63,21,21,10,21,21,20,20,20,21,21,21,21,21,63,63,21,42,21,11,11,12,12,12,12,12,12,10,11,11,11,11,11,11,10,10,10,10,10,10,9,9,9,9,10,10,23,0,0,0
1705645455,10,41,30,10,10,15,10,10,11,11,11,10,10,10,10,10,30,30,10,22,11,21,21,12,12,12,12,12,12,14,14,14,14,14,14,14,13,13,13,13,13,10,14,14,14,14,10,10,23,0,0,2
1705645470,17,67,51,17,17,12,17,17,16,16,15,16,16,16,16,16,48,48,16,32,16,9,9,14,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,10,13,13,13,13,10,10,23,0,0,0
1705645485,12,49,36,12,12,16,12,12,13,13,14,13,13,13,13,13,39,39,13,26,13,17,17,15,15,15,15,15,15,15,14,14,14,14,14,14,16,16,16,16,16,10,18,18,18,18,10,10,0,0,0,0
1705645500,14,56,42,14,14,17,14,14,14,14,14,15,15,15,15,15,45,45,15,28,14,11,11,16,16,16,16,16,16,16,17,17,17,17,17,17,13,13,13,13,13,10,13,13,13,13,10,10,23,0,0,0
1705645515,17,68,51,17,17,11,17,17,17,17,17,17,17,16,16,16,48,48,16,32,16,15,15,11,11,11,11,11,11,11,11,11,11,11,11,11,17,17,17,17,17,10,17,17,17,17,10,10,0,0,0,0
1705645530,11,44,33,11,11,16,11,11,11,11,11,11,11,12,12,12,36,36,12,26,13,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,12,12,12,12,12,10,12,12,12,12,10,10,0,0,0,0
1705645545,15,60,45,15,15,14,15,15,15,15,15,14,14,13,13,13,39,39,13,26,13,10,10,14,14,14,14,14,14,14,14,14,14,14,14,14,13,13,13,13,13,10,13,13,13,13,10,10,0,0,0,0
1705645560,15,60,45,15,15,11,15,15,15,15,15,16,16,17,17,17,51,51,17,34,17,17,17,13,13,13,13,13,13,13,12,12,12,12,12,12,17,17,17,17,17,10,17,17,17,17,10,10,0,0,0,0
1705645575,13,52,39,13,13,14,13,13,13,13,13,13,13,13,13,13,39,39,13,24,12,13,13,20,20,20,20,20,20,20,20,20,20,20,20,20,15,15,15,15,15,10,14,14,14,14,10,10,0,0,0,0
1705645590,12,48,36,12,12,18,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,16,16,10,10,10,10,10,10,10,11,11,11,11,11,11,15,15,15,15,15,10,16,16,16,16,10,10,0,0,0,0
1705645605,18,72,54,18,18,15,18,18,18,18,18,18,18,18,18,18,54,54,18,38,19,13,13,15,15,15,15,15,15,15,15,15,15,15,15,15,10,10,10,10,10,10,10,10,10,10,10,10,46,0,0,0
1705645620,16,64,48,16,16,12,16,16,16,16,14,14,14,14,14,14,42,42,14,28,14,14,14,15,15,15,15,15,15,15,13,13,13,13,13,13,15,15,15,15,15,10,14,14,14,14,10,10,0,0,0,0
1705645635,12,48,36,12,12,11,12,12,12,12,14,14,14,14,14,14,42,42,14,28,14,15,15,12,12,12,12,12,12,12,13,13,13,13,13,13,21,21,21,21,21,10,16,16,16,16,10,10,23,0,0,0
1705645650,11,44,33,11,11,14,11,11,11,11,10,10,10,10,10,10,30,30,10,20,10,14,14,17,17,17,17,17,17,17,18,18,18,18,18,18,10,10,10,10,10,10,15,15,15,15,10,10,23,0,0,0
1705645665,14,56,42,14,14,19,14,14,14,14,14,14,14,13,13,13,39,39,13,26,13,10,10,15,15,15,15,15,15,15,14,14,14,14,14,14,14,14,14,14,14,10,14,14,14,14,10,10,0,0,0,0
1705645680,20,79,60,20,20,14,20,20,19,19,20,19,19,19,19,19,57,57,19,36,18,16,16,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,10,10,10,10,10,10,10,23,0,0,0
1705645695,13,53,39,13,13,11,13,13,14,14,14,15,15,16,16,16,48,48,16,34,17,18,18,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,10,15,15,15,15,10,10,0,0,0,0
1705645710,2,8,6,2,2,1,2,2,2,2,2,2,2,2,2,2,6,6,2,2,1,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,2,2,2,2,2,2,2,0,0,0,0
