time,catalogue_1,front-end_2,user_3,front-end_4,front-end_5,front-end_6,front-end_7,front-end_8,front-end_9,front-end_10,payment_11,front-end_12,user_13,front-end_14,front-end_15,user_16,front-end_17,front-end_18,front-end_19,front-end_20,front-end_21,catalogue_22,front-end_23,front-end_24,front-end_25,front-end_26,user_27,front-end_28,front-end_29,front-end_30,front-end_31,front-end_32,user_33,user_34,orders_35,payment_36,orders_37,shipping_38,queue-master_39,queue-master_40,queue-master_41,queue-master_42,queue-master_43,front-end_44,front-end_45,user_46,catalogue_47,front-end_48,carts_49,user_50,user_51
1705764705,10,21,21,21,21,21,21,21,21,21,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,14,14,0,0,0
1705764720,10,13,13,13,13,13,13,13,13,13,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,17,17,23,0,0
1705764735,10,11,11,11,11,11,11,11,11,11,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,18,18,0,0,0
1705764750,10,17,17,17,17,17,17,17,17,17,10,15,15,15,15,15,15,14,14,14,14,14,14,14,14,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,12,12,23,0,0
1705764765,10,18,18,18,18,18,18,18,18,18,10,18,18,18,18,18,18,19,19,19,19,19,19,19,19,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,16,16,0,0,0
1705764780,10,14,14,14,14,14,14,14,14,14,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,18,18,0,0,0
1705764795,10,13,13,13,13,13,13,13,13,13,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,19,19,0,0,0
1705764810,10,17,17,17,17,17,17,17,17,17,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,11,11,0,0,0
1705764825,10,15,15,15,15,15,15,15,15,15,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,16,16,23,0,0
1705764840,10,21,21,21,21,21,21,21,21,21,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,15,15,0,0,0
1705764855,10,15,15,15,15,15,15,15,15,15,10,21,21,21,21,21,21,21,21,21,21,21,21,21,21,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,13,13,0,0,0
1705764870,10,13,13,13,13,13,13,13,13,13,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,22,88,66,22,22,22,22,22,22,22,22,22,22,22,22,66,66,22,44,22,10,21,21,0,0,0
1705764885,10,15,15,15,15,15,15,15,15,15,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,9,36,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,9,18,9,10,16,16,23,0,0
1705764900,10,18,18,18,18,18,18,18,18,18,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,22,88,66,22,22,22,22,22,22,22,22,22,22,22,22,66,66,22,44,22,10,11,11,0,0,0
1705764915,10,13,13,13,13,13,13,13,13,13,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,17,17,0,0,0
1705764930,10,13,13,13,13,13,13,13,13,13,10,14,14,14,14,14,14,14,13,13,13,13,13,13,13,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,16,16,0,0,0
1705764945,10,21,21,21,21,21,21,21,21,21,10,22,22,22,22,22,22,22,23,23,23,23,23,23,22,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,10,13,13,0,0,0
1705764960,10,13,13,13,13,13,13,13,13,13,10,13,13,13,13,13,13,13,13,13,13,13,13,13,14,22,88,66,22,22,22,22,22,22,22,22,22,22,22,22,66,66,22,44,22,10,14,14,46,0,0
1705764975,10,15,15,15,15,15,15,15,15,15,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,23,23,0,0,0
1705764990,10,17,17,17,17,17,17,17,17,17,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,14,14,0,0,0
1705765005,10,13,13,13,13,13,13,13,13,13,10,19,19,19,19,19,19,19,19,19,19,19,19,19,19,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,16,16,0,0,0
1705765020,10,17,17,17,17,17,17,17,17,17,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,14,14,0,0,0
1705765035,10,16,16,16,16,16,16,16,16,16,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,15,15,23,0,0
1705765050,10,13,13,13,13,13,13,13,13,13,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,14,14,0,0,0
1705765065,10,20,20,20,20,20,20,20,20,20,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,10,14,14,0,0,0
1705765080,10,13,13,13,13,13,13,13,13,13,10,19,19,19,19,19,19,18,18,18,18,18,18,18,18,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,14,14,0,0,0
1705765095,10,9,9,9,9,9,9,9,9,9,10,14,14,14,14,14,14,15,15,15,15,15,15,15,15,18,71,54,18,18,18,18,17,17,17,17,17,17,17,17,51,51,17,34,17,10,19,19,0,0,0
1705765110,10,17,17,17,17,17,17,17,17,17,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,13,53,39,13,13,13,13,14,14,14,14,14,14,14,14,42,42,14,28,14,10,18,18,23,0,0
1705765125,10,16,16,16,16,16,16,16,16,16,10,19,19,19,19,19,19,19,19,19,19,19,19,19,19,9,36,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,9,18,9,10,7,7,23,0,0
1705765140,10,15,15,15,15,15,15,15,15,15,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,23,92,69,23,23,23,23,23,23,23,23,23,23,23,23,69,69,23,46,23,10,20,20,23,0,0
1705765155,10,17,17,17,17,17,17,17,17,17,10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,14,14,23,0,0
1705765170,10,16,16,16,16,16,16,16,16,16,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,14,14,46,0,0
1705765185,10,12,12,12,12,12,12,12,12,12,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,16,16,0,0,0
1705765200,10,20,20,20,20,20,20,20,20,20,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,13,13,0,0,0
1705765215,10,16,15,15,15,15,15,15,15,15,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,19,75,57,19,19,19,19,18,18,18,18,18,18,18,18,54,54,18,36,18,10,19,19,23,0,0
1705765230,10,10,11,11,11,11,11,11,11,11,10,14,14,14,14,14,14,14,14,14,14,14,14,14,13,16,62,45,15,15,15,15,16,16,16,16,16,16,16,16,48,48,16,32,16,10,16,16,23,0,0
1705765245,10,23,23,23,23,23,23,23,23,23,10,14,14,14,14,14,14,14,14,14,14,14,14,14,15,11,47,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,16,16,23,0,0
1705765260,10,15,15,15,15,15,15,15,15,15,10,22,22,22,22,22,22,22,22,22,22,22,22,22,22,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,10,11,11,23,0,0
1705765275,10,14,14,14,14,14,14,14,14,14,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,21,21,0,0,0
1705765290,10,19,19,19,19,19,19,19,19,19,10,22,22,22,22,22,22,22,22,22,22,22,22,22,22,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,17,17,92,0,0
1705765305,10,16,16,16,16,16,16,16,16,16,10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,16,16,23,0,0
1705765320,10,14,14,14,14,14,14,14,14,14,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,19,19,0,0,0
1705765335,10,17,17,17,17,17,17,17,17,17,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,15,15,23,0,0
1705765350,10,18,18,18,18,18,18,18,18,18,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,13,13,23,0,0
1705765365,10,12,12,12,12,12,12,12,12,12,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,21,21,0,0,0
1705765380,10,19,19,19,19,19,19,19,19,19,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,12,48,36,12,12,12,12,11,12,12,12,12,12,12,12,36,36,12,24,12,10,12,12,23,1,0
1705765395,10,16,16,16,16,16,16,16,16,16,10,16,16,16,16,16,16,15,15,15,15,15,15,15,15,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,12,12,23,0,0
1705765410,10,14,14,14,14,14,13,13,13,13,10,11,11,11,11,11,11,12,12,12,12,12,12,12,12,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,19,19,0,0,0
1705765425,10,15,15,15,15,15,16,16,16,16,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,16,16,0,0,0
1705765440,10,15,15,15,15,15,15,15,15,15,10,19,19,19,19,19,19,19,19,19,19,19,19,19,19,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,15,15,46,0,0
1705765455,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,11,11,23,0,0
1705765470,10,16,16,16,16,16,16,16,16,16,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,22,22,0,0,0
1705765485,10,20,20,20,20,20,20,20,20,20,10,20,20,20,20,20,20,20,20,20,20,20,20,20,20,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,8,8,23,0,0
1705765500,10,11,11,11,11,11,11,11,11,11,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,10,18,18,23,0,0
1705765515,10,18,18,18,18,18,18,18,18,18,10,19,19,19,19,19,19,19,19,19,19,19,19,19,19,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,19,19,46,0,0
1705765530,10,21,21,21,21,21,21,21,21,21,10,20,20,20,20,20,20,20,20,20,20,20,20,20,20,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,11,11,23,0,0
1705765545,10,7,7,7,7,7,7,7,7,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,18,18,0,0,0
1705765560,10,15,15,15,15,15,15,15,15,15,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,19,19,0,0,0
1705765575,10,18,18,18,18,18,18,18,18,18,10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,8,8,0,0,0
1705765590,10,16,16,16,16,16,16,16,16,16,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,21,84,63,21,21,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,10,16,16,23,0,0
1705765605,10,15,15,15,15,15,15,15,15,15,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,18,18,0,0,0
1705765620,10,17,17,17,17,17,17,17,17,17,10,20,20,20,20,20,20,20,20,20,20,20,20,20,20,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,14,14,23,0,0
1705765635,10,10,10,10,10,10,10,10,10,10,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,10,15,15,23,0,0
1705765650,10,17,17,17,17,17,17,17,17,17,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,18,18,23,0,0
1705765665,10,18,18,18,18,18,18,18,18,18,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,12,12,0,0,0
1705765680,10,13,13,13,13,13,13,13,13,13,10,20,20,20,20,20,20,20,20,20,20,20,20,20,20,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,15,15,0,0,0
1705765695,10,14,14,14,14,14,14,14,14,14,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,12,12,23,0,0
1705765710,10,21,21,21,21,21,21,21,21,21,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,17,17,0,0,0
1705765725,10,12,12,12,12,12,12,12,12,12,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,15,15,0,0,0
1705765740,10,14,14,14,14,14,14,14,14,14,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,20,20,0,0,0
1705765755,10,19,19,19,19,19,19,19,19,19,10,23,23,23,23,23,23,23,23,23,23,23,23,23,23,8,32,24,8,8,8,8,8,8,8,8,8,8,8,8,24,24,8,16,8,10,14,14,0,0,0
1705765770,10,10,10,10,10,10,10,10,10,10,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,22,88,66,22,22,22,22,22,22,22,22,22,22,22,22,66,66,22,44,22,10,11,11,46,0,0
1705765785,10,17,17,17,17,17,17,17,17,17,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,19,19,0,0,0
1705765800,10,20,20,20,20,20,20,20,20,20,10,20,20,20,20,20,20,20,20,20,20,20,20,20,20,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,15,15,92,0,0
1705765815,10,12,11,11,11,11,11,11,11,11,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,21,84,63,21,21,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,10,17,17,46,0,0
1705765830,10,11,12,12,12,12,12,12,12,12,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,15,15,0,0,0
1705765845,10,17,17,17,17,17,17,17,17,17,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,12,12,23,0,0
1705765860,10,15,15,15,15,15,15,15,15,15,10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,16,16,0,0,0
1705765875,10,12,12,12,12,12,12,12,12,12,10,12,12,12,12,12,12,11,11,11,11,11,11,11,11,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,14,14,23,0,0
1705765890,10,20,20,20,20,20,20,20,20,20,10,14,14,14,14,14,14,15,15,15,15,15,15,15,15,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,13,13,0,0,0
1705765905,10,11,11,11,11,11,11,11,11,11,10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,13,13,0,0,0
1705765920,10,16,16,16,16,16,16,16,16,16,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,18,18,0,0,0
1705765935,10,15,15,15,15,15,15,15,15,15,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,16,16,0,0,0
1705765950,10,14,14,14,14,14,14,14,14,14,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,12,12,23,0,0
1705765965,10,19,19,19,19,19,19,19,19,19,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,15,15,46,0,0
1705765980,10,15,15,15,15,15,15,15,15,15,10,20,20,20,20,20,20,20,20,20,20,20,20,20,20,17,67,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,15,15,0,0,1
1705765995,6,8,8,8,8,8,8,8,8,8,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,6,12,12,23,0,0
