time,front-end_1,user_2,front-end_3,front-end_4,front-end_5,front-end_6,front-end_7,front-end_8,front-end_9,front-end_10,user_11,front-end_12,front-end_13,front-end_14,front-end_15,front-end_16,user_17,user_18,orders_19,payment_20,orders_21,shipping_22,queue-master_23,queue-master_24,queue-master_25,queue-master_26,queue-master_27,front-end_28,front-end_29,catalogue_30,front-end_31,front-end_32,user_33,front-end_34,front-end_35,user_36,front-end_37,front-end_38,front-end_39,front-end_40,front-end_41,catalogue_42,front-end_43,front-end_44,front-end_45,user_46,catalogue_47,payment_48,carts_49,orders-db_50,user_51,carts_52,carts_53,carts_54,carts_55,carts_56,carts_57,carts_58,carts_59,front-end_60,front-end_61
1705676115,17,17,17,17,17,17,17,17,17,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,12,12,16,16,16,15,15,15,15,15,15,15,15,15,15,15,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1705676130,17,17,17,17,17,17,17,17,17,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,17,17,15,15,15,16,16,16,16,16,16,16,16,16,16,16,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1705676145,14,14,14,14,14,14,14,14,14,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0
1705676160,15,15,15,15,15,15,15,15,15,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,18,18,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1705676175,18,18,18,18,18,18,18,18,18,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,19,19,19,19,19,19,19,19,18,18,18,18,18,17,10,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0
1705676190,10,10,10,10,10,10,10,10,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,19,19,9,9,9,9,9,9,9,9,10,10,10,10,10,11,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1705676205,18,18,18,18,18,18,18,18,18,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,14,14,20,20,20,20,20,20,20,20,20,20,20,20,20,20,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1705676220,8,8,8,8,8,8,8,8,8,21,83,63,21,21,21,21,20,20,20,20,20,20,20,20,60,60,20,40,20,14,14,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1705676235,17,17,17,17,17,17,17,17,17,10,41,30,10,10,10,10,11,11,11,11,11,11,11,11,33,33,11,22,11,18,18,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0
1705676250,18,18,18,18,18,18,18,18,18,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,12,12,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,10,10,46,0,0,0,0,0,0,0,0,0,0,0,0
1705676265,17,17,17,17,17,17,17,17,17,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,13,13,19,19,19,19,19,19,19,19,19,19,19,19,19,19,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1705676280,13,13,13,13,13,13,13,13,13,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,19,19,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0
1705676295,13,13,13,13,13,13,13,13,13,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,16,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1705676310,19,19,19,19,19,19,19,19,19,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,14,14,15,15,15,15,15,15,15,16,16,16,16,16,16,16,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1705676325,12,12,12,12,12,12,12,12,12,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,13,12,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1705676340,14,14,14,14,14,14,14,14,14,13,52,39,13,13,13,13,13,13,12,12,12,12,12,12,36,36,12,24,12,19,20,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0
1705676355,23,23,23,23,23,23,23,23,23,10,40,30,10,10,10,10,10,10,11,11,11,11,11,11,33,33,11,22,11,12,12,20,20,20,20,20,20,20,20,20,20,20,20,20,20,10,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0
1705676370,7,7,7,7,7,7,7,7,7,21,84,63,21,21,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,17,17,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1705676385,20,20,20,20,20,20,20,20,20,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,15,15,19,19,19,19,19,19,19,19,19,19,19,19,19,19,10,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0
1705676400,12,12,12,12,12,12,12,12,12,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1705676415,18,18,18,18,18,18,18,18,18,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0
1705676430,15,15,15,15,15,15,15,15,15,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,15,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,10,10,0,9,0,0,0,0,0,0,0,0,0,0,0
1705676445,18,18,18,18,18,18,18,18,18,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,19,19,16,16,16,16,16,16,15,15,15,15,15,15,15,15,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1705676460,11,11,11,11,11,11,11,11,11,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,15,15,14,14,14,14,14,14,15,15,15,15,15,15,15,15,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1705676475,20,20,20,20,20,20,20,20,20,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,13,13,18,18,18,17,17,17,17,17,17,17,17,17,17,17,10,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0
1705676490,18,18,18,18,18,18,18,18,18,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,14,14,18,18,18,19,19,19,19,19,19,18,18,18,18,18,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1705676505,13,13,13,13,13,13,13,13,13,18,71,54,18,18,18,18,17,17,17,17,17,17,17,17,51,51,17,34,17,20,20,14,14,14,14,14,14,14,14,14,15,15,15,15,15,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1705676520,15,15,15,15,15,15,15,15,15,13,53,39,13,13,13,13,14,14,14,14,14,14,14,14,42,42,14,28,14,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1705676535,17,17,17,17,17,17,17,17,17,21,84,63,21,21,21,21,21,21,20,20,20,20,20,20,60,60,20,40,20,10,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0
1705676550,12,12,12,12,12,12,12,12,12,14,56,42,14,14,14,14,14,14,15,15,15,15,15,15,45,45,15,30,15,20,20,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0
1705676565,19,19,19,19,19,19,19,19,19,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,17,17,14,14,14,14,14,14,14,14,14,14,13,13,13,13,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1705676580,19,19,19,19,19,19,19,19,19,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,10,17,17,17,17,17,17,17,17,17,17,18,18,18,18,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1705676595,9,9,9,9,9,9,9,9,9,23,92,69,23,23,23,23,23,23,23,23,23,23,23,23,69,69,23,46,23,14,14,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0
1705676610,11,11,11,11,11,11,11,11,11,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,24,24,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0
1705676625,21,21,21,21,21,21,21,21,21,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0
1705676640,16,16,16,16,16,16,16,16,16,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,11,11,22,22,22,22,22,22,22,22,22,22,22,22,22,22,10,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0
1705676655,12,12,12,12,12,12,12,12,12,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,18,18,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,10,10,46,0,0,0,0,0,0,0,0,0,0,0,0
1705676670,15,15,15,15,15,15,15,15,15,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0
1705676685,17,17,17,17,17,16,16,16,16,15,59,45,15,15,15,15,14,14,14,14,14,14,14,14,42,42,14,28,14,16,16,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1705676700,16,16,16,16,16,17,17,17,17,16,65,48,16,16,16,16,17,17,17,17,17,17,17,17,51,51,17,34,17,12,12,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0
1705676715,15,15,15,15,15,15,15,15,15,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,17,17,17,17,17,17,17,17,16,16,16,16,16,16,16,16,10,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0
1705676730,13,13,13,13,13,13,13,13,13,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,17,17,16,16,16,16,16,16,17,17,17,17,17,17,17,17,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1705676745,17,17,17,17,17,17,17,17,17,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,14,14,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1705676760,15,15,15,15,15,15,15,15,15,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,13,13,19,19,19,19,19,19,19,19,19,19,19,19,19,19,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1705676775,13,13,13,13,13,13,13,13,13,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,19,19,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0
1705676790,19,19,19,19,19,19,19,19,19,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,14,14,16,15,15,15,15,15,15,15,15,15,15,15,15,15,10,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0
1705676805,15,15,15,15,15,15,15,15,15,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,13,13,17,18,18,18,18,18,17,17,17,17,17,17,17,17,10,10,10,46,0,0,0,0,0,0,0,0,0,0,0,0
1705676820,13,13,13,13,13,13,13,13,13,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,18,18,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,69,0,0,0,0,0,0,0,0,0,0,0,0
1705676835,17,17,17,17,17,17,17,17,17,9,35,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,9,18,9,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,10,10,0,0,1,0,0,0,0,0,0,0,0,0,0
1705676850,15,15,15,15,15,15,15,15,15,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,13,13,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0
1705676865,11,11,11,11,11,11,11,11,11,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,15,15,14,14,14,14,14,14,14,14,14,14,14,14,14,13,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1705676880,21,21,21,21,21,21,21,21,21,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,16,16,16,16,16,15,15,15,15,15,15,15,15,15,15,16,10,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0
1705676895,11,11,11,11,11,11,11,11,11,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,13,13,19,19,19,20,20,20,20,20,20,20,20,20,20,20,10,10,10,92,0,0,0,0,0,0,0,0,0,0,0,0
1705676910,18,18,18,18,18,18,18,18,18,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,17,17,13,13,13,13,13,13,13,12,12,12,12,12,12,12,10,10,10,69,0,0,0,0,0,0,0,0,0,0,0,0
1705676925,10,10,10,10,10,10,10,10,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,10,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0
1705676940,15,15,15,15,15,15,15,15,14,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,18,18,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0
1705676955,21,21,21,21,21,21,21,21,22,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,11,11,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0
1705676970,15,15,15,15,15,15,15,15,15,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,13,13,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0
1705676985,10,10,10,10,10,10,10,10,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,24,23,15,15,15,15,15,15,15,15,15,15,15,15,15,14,10,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0
1705677000,19,19,19,19,19,19,19,19,19,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,12,13,14,14,14,14,14,14,14,14,14,14,14,14,14,15,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1705677015,12,12,12,12,12,12,12,12,12,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1705677030,16,16,16,16,16,16,16,16,16,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,18,18,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0
1705677045,17,17,17,17,17,17,17,17,17,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,11,11,19,19,19,19,19,19,19,19,19,19,19,19,19,19,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1705677060,13,13,13,13,13,13,13,13,13,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,17,17,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1705677075,12,12,12,12,12,12,12,12,12,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,16,16,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0
1705677090,20,20,20,20,20,20,20,20,20,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,13,13,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1705677105,12,12,12,12,12,12,12,12,12,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,15,15,14,14,13,13,13,13,13,13,13,13,12,12,12,12,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1705677120,18,18,18,18,18,18,18,18,18,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,17,17,16,16,17,17,17,17,17,17,17,17,18,18,18,18,10,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0
1705677135,13,13,13,13,13,13,13,13,13,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,13,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1705677150,18,18,18,18,18,18,18,18,18,8,32,24,8,8,8,8,8,8,8,8,8,8,8,8,24,24,8,16,8,18,18,20,20,20,20,20,20,20,19,19,20,20,20,20,20,10,10,10,110,0,0,1,1,3,3,4,1,1,1,1,1
1705677165,16,16,16,16,16,16,16,16,16,21,84,63,21,21,21,21,21,21,21,21,21,21,21,21,62,62,20,40,20,12,12,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1705677180,16,16,16,16,16,16,16,16,16,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,46,46,16,32,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0
1705677195,18,18,18,18,18,18,18,18,18,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,16,16,12,12,12,12,12,12,12,12,12,12,12,12,12,11,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1705677210,13,13,13,13,13,13,13,13,13,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,15,15,20,20,20,20,20,20,20,20,20,20,20,20,20,21,10,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0
1705677225,11,11,11,11,11,11,11,11,11,21,84,63,21,21,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,16,16,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1705677240,20,20,20,20,20,20,20,20,20,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,17,17,12,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1705677255,12,12,12,12,12,12,12,12,12,9,36,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,9,18,9,11,11,22,23,23,23,23,23,23,23,23,23,23,23,23,23,10,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0
1705677270,12,12,12,12,12,12,12,12,12,24,95,71,24,24,23,23,23,23,23,23,23,23,23,23,69,69,23,46,23,16,16,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0
1705677285,18,18,18,18,18,18,18,18,18,12,49,37,12,12,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,18,18,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1705677300,15,15,15,15,15,15,15,15,15,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,12,12,18,18,18,18,18,18,18,18,18,18,18,18,18,17,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1705677315,17,17,17,17,17,17,17,17,17,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,14,14,12,12,12,12,12,12,12,12,12,12,12,12,12,13,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1705677330,14,14,14,14,14,14,14,14,14,10,40,30,10,10,10,10,10,10,10,10,10,9,9,9,27,27,9,18,9,19,19,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1705677345,16,16,16,16,16,16,16,16,16,17,68,51,17,17,17,17,17,17,17,17,17,18,18,18,54,54,18,36,18,14,14,20,20,20,20,20,20,20,20,20,20,20,20,20,19,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1705677360,14,14,14,14,14,14,14,14,14,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,14,14,12,12,12,12,12,12,12,12,12,12,12,12,12,13,10,10,10,46,0,0,0,0,0,0,0,0,0,0,0,0
1705677375,12,12,12,12,12,12,12,12,12,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,16,16,12,12,12,12,11,11,11,11,11,11,11,11,11,11,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1705677390,17,17,17,17,17,17,17,17,17,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,16,16,15,15,15,15,16,16,16,16,16,16,16,16,16,16,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1705677405,4,4,4,4,4,4,4,4,4,5,20,15,5,5,5,5,5,5,5,5,5,5,5,5,15,15,5,10,5,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
