time,user_1,catalogue_2,front-end_3,front-end_4,user_5,front-end_6,front-end_7,user_8,front-end_9,front-end_10,front-end_11,front-end_12,front-end_13,catalogue_14,front-end_15,front-end_16,front-end_17,user_18,front-end_19,front-end_20,front-end_21,front-end_22,front-end_23,front-end_24,front-end_25,front-end_26,front-end_27,user_28,front-end_29,front-end_30,front-end_31,front-end_32,front-end_33,user_34,user_35,orders_36,payment_37,orders_38,shipping_39,queue-master_40,queue-master_41,queue-master_42,queue-master_43,queue-master_44,front-end_45,front-end_46,catalogue_47,payment_48,carts_49
1705817580,10,17,17,11,11,11,11,11,11,11,11,11,11,11,11,11,15,15,15,15,15,11,14,14,14,14,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,0
1705817595,10,13,13,17,17,17,17,17,17,17,17,17,17,17,17,17,16,16,16,16,16,17,17,17,17,17,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,46
1705817610,10,11,11,19,19,19,19,19,19,19,19,19,19,19,19,19,18,18,18,18,18,19,18,18,18,18,15,60,45,15,15,15,15,15,15,14,14,14,14,14,14,42,42,14,28,14,10,10,23
1705817625,10,18,18,14,14,14,14,14,14,14,14,14,14,14,14,14,11,11,11,11,11,14,11,11,11,11,21,84,63,21,21,21,21,21,21,22,22,22,22,22,22,66,66,22,44,22,10,10,0
1705817640,10,17,17,11,11,11,11,11,11,11,11,11,11,11,11,11,21,21,21,21,21,11,21,21,21,21,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,23
1705817655,10,14,14,20,20,20,20,20,20,20,20,20,20,20,20,20,12,12,12,12,12,20,12,12,12,12,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,46
1705817670,10,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,10,23
1705817685,10,17,17,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,10,23
1705817700,10,15,15,10,10,10,10,10,10,10,10,10,10,10,10,10,13,13,13,13,13,10,12,12,12,12,9,36,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,9,18,9,10,10,23
1705817715,10,15,15,24,24,24,24,24,24,24,24,24,24,24,24,24,22,22,22,22,22,24,23,23,23,23,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,10,0
1705817730,10,15,15,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,11,12,12,12,12,26,103,78,26,26,26,26,25,25,25,25,25,25,25,25,75,75,25,50,25,10,10,0
1705817745,10,17,17,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,11,45,33,11,11,11,11,12,12,12,12,12,12,12,12,36,36,12,24,12,10,10,0
1705817760,10,14,14,16,16,16,16,16,16,16,16,16,16,16,16,16,22,22,22,22,22,16,22,22,22,22,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,46
1705817775,10,13,13,17,17,17,17,17,17,17,17,17,17,17,17,17,12,12,12,12,12,17,12,12,12,12,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,10,0
1705817790,10,18,18,17,17,17,17,17,17,17,17,17,17,17,17,17,15,15,15,15,15,17,15,15,15,15,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,0
1705817805,10,15,15,18,18,18,18,18,18,18,18,18,18,18,18,18,20,20,20,20,20,18,20,20,20,20,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,23
1705817820,10,14,14,16,16,16,16,16,16,16,16,16,16,16,16,16,10,10,10,10,10,16,10,10,10,10,21,84,63,21,21,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,10,10,0
1705817835,10,23,23,12,12,12,12,12,12,12,12,12,12,12,12,12,14,14,14,14,14,12,14,14,14,14,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,10,0
1705817850,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,19,19,19,19,19,13,19,19,19,19,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,0
1705817865,10,11,11,25,25,25,25,25,25,25,25,25,25,25,25,25,19,19,19,19,19,25,19,19,19,19,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,10,23
1705817880,10,17,17,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,24,96,72,24,24,24,24,24,24,24,24,24,24,24,24,72,72,24,48,24,10,10,46
1705817895,10,21,21,12,12,12,11,11,11,11,11,11,11,11,11,11,18,18,18,18,18,11,18,18,18,18,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,0
1705817910,10,11,11,15,15,15,16,16,16,16,16,16,16,16,16,16,14,14,14,14,14,16,14,14,14,14,11,44,33,11,11,11,11,11,11,10,10,10,10,10,10,30,30,10,20,10,10,10,0
1705817925,10,17,17,21,21,21,21,21,21,21,21,21,20,20,20,20,16,16,16,16,16,20,16,16,16,16,18,72,54,18,18,18,18,18,18,19,19,19,19,19,19,57,57,19,38,19,10,10,69
1705817940,10,14,14,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,10,0
1705817955,10,15,15,12,12,12,12,12,12,12,12,12,12,12,12,12,18,18,18,18,18,12,18,18,18,18,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,46
1705817970,10,17,17,20,20,20,20,20,20,20,20,20,20,20,20,20,16,16,16,16,16,20,15,15,15,15,14,56,42,14,14,14,14,14,14,13,13,13,13,13,13,39,39,13,26,13,10,10,0
1705817985,10,16,16,18,18,18,18,18,18,17,17,17,17,17,17,17,14,14,14,14,14,17,15,15,15,15,21,84,63,21,21,21,21,21,21,22,22,22,22,22,22,66,66,22,44,22,10,10,23
1705818000,10,19,19,10,10,10,10,10,10,11,11,11,11,11,11,11,17,17,17,17,17,11,17,17,17,17,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,23
1705818015,10,13,13,21,21,21,21,21,21,21,21,21,21,21,21,21,17,17,17,17,17,21,17,17,17,17,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,10,10,0
1705818030,10,15,15,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,12,13,13,13,13,22,88,66,22,22,22,22,22,22,22,22,22,22,22,22,66,66,22,44,22,10,10,23
1705818045,10,14,14,18,18,18,18,18,18,18,18,18,18,18,18,18,15,15,15,15,15,18,15,15,15,15,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,23
1705818060,10,18,18,12,12,12,12,12,12,12,12,12,12,12,12,12,17,17,17,17,17,12,17,17,17,17,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,10,23
1705818075,10,14,14,18,18,18,18,18,18,18,18,18,18,18,18,18,16,16,16,16,16,18,16,16,16,16,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,10,0
1705818090,10,14,14,12,12,12,12,12,12,12,12,12,12,12,12,12,11,11,11,11,11,12,11,11,11,11,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,10,10,23
1705818105,10,19,19,13,13,13,13,13,13,13,13,13,13,13,13,13,16,16,16,16,16,13,16,16,16,16,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,10,0
1705818120,10,11,11,21,21,21,21,21,21,20,20,20,20,20,20,20,18,18,18,18,18,20,18,18,18,18,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,23
1705818135,10,17,17,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,10,23
1705818150,10,17,17,14,14,14,14,14,14,14,14,14,14,14,14,14,18,18,18,18,18,14,18,18,18,18,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,46
1705818165,10,10,10,19,19,19,19,19,19,19,19,19,19,19,19,19,12,12,12,12,12,19,12,12,12,12,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,23
1705818180,10,23,23,13,13,13,13,13,13,13,13,13,13,13,13,13,17,17,17,17,17,13,17,17,17,17,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,23
1705818195,10,11,11,18,18,18,18,18,18,18,18,18,18,18,18,18,17,17,17,17,17,17,17,17,17,17,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,0
1705818210,10,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18,13,13,13,13,13,19,13,13,13,13,17,68,51,17,17,17,17,17,17,17,17,17,16,16,16,48,48,16,32,16,10,10,23
1705818225,10,19,19,8,8,8,8,8,8,8,8,8,8,8,8,8,15,15,15,15,15,8,15,15,15,15,16,64,48,16,16,16,16,16,16,16,16,16,17,17,17,51,51,17,34,17,10,10,0
1705818240,10,8,8,24,24,24,24,24,24,24,24,24,24,24,24,24,22,22,22,22,22,24,22,22,22,22,9,33,24,8,8,8,8,8,8,8,8,8,8,8,8,24,24,8,16,8,10,10,23
1705818255,10,17,17,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,25,103,78,26,26,26,26,26,26,26,26,26,26,26,26,78,78,26,52,26,10,10,23
1705818270,10,21,21,13,13,13,13,13,13,13,13,13,13,13,13,13,12,12,12,12,12,13,12,12,12,12,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,10,0
1705818285,10,13,13,15,15,15,15,15,15,15,15,15,15,15,15,15,19,19,19,19,19,15,19,19,19,19,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,0
1705818300,10,13,13,15,15,15,15,15,15,15,15,15,15,15,15,15,14,14,14,14,14,15,14,14,14,14,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,23
1705818315,10,15,15,18,18,18,18,18,18,18,18,18,18,18,18,18,14,14,14,14,14,18,14,14,14,14,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,10,23
1705818330,10,18,18,14,14,14,14,14,14,13,13,13,13,13,13,13,17,17,17,17,17,13,17,17,17,17,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,23
1705818345,10,17,17,18,18,18,18,18,18,19,19,19,19,19,19,19,14,14,14,14,14,19,14,14,14,14,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,46
1705818360,10,11,11,17,17,17,17,17,17,17,17,17,17,17,17,17,19,19,19,19,19,17,19,19,19,19,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,0
1705818375,10,19,19,15,15,15,15,15,15,15,15,15,15,15,15,15,14,14,14,14,14,15,14,14,14,14,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,10,69
1705818390,10,18,18,12,12,12,12,12,12,12,12,12,12,12,12,12,14,14,14,14,14,12,14,14,14,14,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,0
1705818405,10,15,15,20,20,20,20,20,20,20,20,20,20,20,20,20,18,18,18,18,18,20,18,18,18,18,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,23
1705818420,10,13,13,19,19,19,19,19,19,19,19,19,19,19,19,19,17,17,17,17,17,19,17,17,17,17,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,10,23
1705818435,10,18,18,8,8,8,8,8,8,8,8,8,8,8,8,8,13,13,13,13,13,8,13,13,13,13,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,10,0
1705818450,10,16,16,18,18,18,18,18,18,18,18,18,18,18,18,18,17,17,17,17,17,18,17,17,17,17,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,10,10,46
1705818465,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,17,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,23
1705818480,10,14,14,18,18,18,18,18,18,18,18,18,18,18,18,18,17,17,17,17,17,18,17,17,17,17,13,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,46
1705818495,10,16,16,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,10,23
1705818510,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,18,18,18,18,17,18,18,18,18,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,10,0
1705818525,10,14,14,19,19,19,19,19,19,18,18,18,18,18,18,18,19,19,19,19,19,18,19,19,19,19,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,0
1705818540,10,16,16,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,10,0
1705818555,10,17,17,17,17,17,17,17,17,18,18,18,18,18,18,18,14,14,14,14,14,18,14,14,14,14,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,10,0
1705818570,10,13,13,15,15,15,15,15,15,15,15,15,15,15,15,15,20,20,20,20,20,15,20,20,20,20,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,0
1705818585,10,13,13,15,15,15,15,15,15,14,14,14,14,14,14,14,17,17,17,17,17,14,17,17,17,17,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,10,46
1705818600,10,17,17,17,17,17,17,17,17,18,18,18,18,18,18,18,15,15,15,15,15,18,15,15,15,15,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,10,23
1705818615,10,15,15,14,14,14,14,14,14,14,14,14,14,14,14,14,11,11,11,11,11,14,11,11,11,11,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,0
1705818630,10,18,18,15,15,15,15,15,15,15,15,15,15,15,15,15,14,14,14,14,14,15,14,14,14,14,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,0
1705818645,10,12,12,16,16,16,16,16,16,16,16,16,15,15,15,15,19,19,19,19,19,15,19,19,19,19,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,10,46
1705818660,4,11,11,9,9,9,9,9,9,9,9,9,10,10,10,10,7,7,7,7,7,10,7,7,7,7,7,28,21,7,7,7,7,7,7,7,7,7,7,7,7,21,21,7,14,7,6,6,0
