time,front-end_1,user_2,front-end_3,front-end_4,front-end_5,front-end_6,front-end_7,front-end_8,front-end_9,front-end_10,user_11,front-end_12,front-end_13,user_14,front-end_15,front-end_16,front-end_17,front-end_18,front-end_19,catalogue_20,front-end_21,front-end_22,front-end_23,catalogue_24,payment_25,front-end_26,user_27,front-end_28,front-end_29,front-end_30,front-end_31,front-end_32,user_33,user_34,orders_35,payment_36,orders_37,shipping_38,queue-master_39,queue-master_40,queue-master_41,queue-master_42,front-end_43,queue-master_44,front-end_45,catalogue_46,front-end_47,user_48,user-db_49,carts_50,carts_51
1705703595,17,17,17,17,17,17,17,17,17,15,15,15,15,15,15,15,15,15,15,15,15,15,14,10,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,34,17,17,9,9,10,0,23,0
1705703610,10,10,10,10,10,10,10,10,10,13,13,13,13,13,13,13,13,13,13,13,13,13,14,10,10,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,40,20,20,20,20,10,0,23,0
1705703625,21,21,21,21,21,21,21,21,21,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,20,10,10,20,20,10,0,23,0
1705703640,13,13,13,13,13,13,13,13,13,25,25,25,25,25,25,25,25,25,25,25,25,25,25,10,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,26,13,13,7,7,10,0,23,0
1705703655,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,22,88,66,22,22,22,22,22,22,22,22,22,22,22,22,66,66,44,22,22,15,15,10,0,0,0
1705703670,16,16,16,16,16,16,16,16,16,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,26,13,13,24,24,10,0,0,0
1705703685,23,23,23,23,23,23,23,23,23,21,21,21,21,21,21,21,21,21,21,21,21,21,21,10,10,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,20,10,10,8,8,10,0,23,0
1705703700,12,12,12,12,12,12,12,12,12,21,20,20,20,20,20,20,20,20,20,20,20,20,20,10,10,21,84,63,21,21,21,21,21,21,21,21,21,21,21,21,63,63,40,21,20,16,16,10,0,23,0
1705703715,15,15,15,15,15,15,15,15,15,11,12,12,12,12,12,12,12,12,12,12,12,12,12,10,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,36,17,18,21,21,10,0,46,0
1705703730,18,18,18,18,18,18,18,18,18,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,26,13,13,15,15,10,0,0,0
1705703745,13,13,13,13,13,13,13,13,13,18,18,18,18,18,18,17,17,17,17,17,17,17,17,10,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,36,18,18,10,10,10,0,0,0
1705703760,15,15,15,15,15,15,15,15,15,14,14,14,14,14,14,15,15,15,15,15,15,15,15,10,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,28,14,14,21,21,10,0,46,0
1705703775,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,28,14,14,12,12,10,0,0,0
1705703790,19,19,19,19,19,19,19,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,10,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,34,17,17,13,13,10,0,0,0
1705703805,9,9,9,9,9,9,9,9,9,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,36,18,18,18,18,10,0,0,0
1705703820,23,23,23,23,23,23,23,23,23,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,10,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,22,11,11,17,17,10,0,23,0
1705703835,12,12,12,12,12,12,12,12,12,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,30,15,15,12,12,10,0,69,0
1705703850,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,32,17,16,17,17,10,0,0,0
1705703865,14,14,14,14,14,14,14,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,10,15,57,43,15,15,14,14,14,14,14,14,14,14,14,14,42,42,30,14,15,15,15,10,0,46,0
1705703880,17,17,17,17,17,17,17,17,17,21,21,21,21,21,21,21,21,21,21,21,21,21,21,10,10,12,51,38,12,12,13,13,13,13,13,13,13,13,13,13,39,39,26,13,13,17,17,10,0,23,0
1705703895,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,21,84,63,21,21,21,21,21,21,21,21,21,21,21,21,63,63,42,21,21,12,12,10,0,0,0
1705703910,19,19,19,19,19,19,19,19,19,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,28,14,14,19,19,10,0,23,0
1705703925,13,13,13,13,13,13,13,13,13,19,19,19,19,19,19,19,19,19,19,19,19,19,19,10,10,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,22,11,11,13,13,10,0,46,0
1705703940,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,36,18,18,16,16,10,0,23,0
1705703955,18,18,18,18,18,18,18,18,18,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,34,17,17,13,13,10,0,0,0
1705703970,14,14,14,14,14,14,14,14,14,20,20,20,20,20,20,20,20,20,20,20,20,20,20,10,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,28,14,14,16,16,10,0,0,0
1705703985,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,30,15,15,16,16,10,0,0,0
1705704000,17,17,17,17,17,17,17,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,30,15,15,16,16,10,0,0,0
1705704015,17,17,17,17,17,17,17,17,17,15,15,15,15,15,15,14,14,14,14,14,14,14,14,10,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,36,18,18,17,17,10,0,0,0
1705704030,19,19,19,19,19,19,19,19,19,18,18,18,18,18,18,19,19,19,19,19,19,19,19,10,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,26,13,13,12,12,10,0,23,0
1705704045,8,8,8,8,8,8,8,8,8,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,10,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,38,19,19,21,21,10,0,0,1
1705704060,12,12,12,12,12,12,12,12,12,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,28,14,14,14,14,10,0,0,0
1705704075,24,24,24,24,24,24,24,24,24,18,18,18,18,18,18,18,17,17,17,17,17,17,17,10,10,9,36,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,18,9,9,15,15,10,0,23,0
1705704090,12,12,12,12,12,12,12,12,12,21,21,21,21,21,21,21,22,22,22,22,22,22,22,10,10,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,38,19,19,10,10,10,0,0,0
1705704105,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,10,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,40,20,20,22,22,10,0,0,0
1705704120,17,17,17,17,17,17,17,17,17,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,10,7,28,21,7,7,7,7,7,7,7,7,7,7,7,7,21,21,14,7,7,13,13,10,0,0,0
1705704135,21,21,21,21,21,21,21,21,21,20,20,20,20,20,20,20,20,20,20,20,20,20,20,10,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,30,15,15,10,10,10,0,23,0
1705704150,12,12,12,12,12,12,12,12,12,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,34,17,17,15,15,10,0,23,0
1705704165,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,34,17,17,16,16,10,0,0,0
1705704180,19,19,19,19,19,19,19,19,19,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,10,8,32,24,8,8,8,8,8,8,8,8,8,8,8,8,24,24,16,8,8,17,17,10,0,23,0
1705704195,16,16,16,16,16,16,16,16,16,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,32,16,16,10,10,10,0,0,0
1705704210,17,17,16,16,16,16,16,16,16,13,13,13,13,13,13,13,13,13,13,13,13,13,12,10,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,36,18,18,17,17,10,0,46,0
1705704225,13,13,14,14,14,14,14,14,14,18,18,18,18,18,18,18,18,18,18,18,18,18,19,10,10,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,24,12,12,18,18,10,0,23,0
1705704240,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,36,18,18,15,15,10,0,23,0
1705704255,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,36,18,18,12,11,10,0,46,0
1705704270,16,16,16,16,16,16,16,16,16,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,26,13,13,20,21,10,0,23,0
1705704285,18,18,18,18,18,18,18,18,18,20,20,20,20,20,20,19,19,19,19,19,19,19,19,10,10,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,24,12,12,10,10,10,0,0,0
1705704300,10,10,10,10,10,10,10,10,10,14,14,14,14,14,14,15,15,15,15,15,15,15,15,10,10,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,38,19,19,12,12,10,0,0,0
1705704315,20,20,20,20,20,20,20,20,20,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,28,14,14,23,23,10,0,23,0
1705704330,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,34,17,17,10,10,10,0,0,0
1705704345,16,16,16,16,16,16,16,16,16,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,34,17,17,16,16,10,0,0,0
1705704360,15,15,15,15,15,15,15,15,15,21,21,21,21,21,21,21,21,21,21,21,21,21,21,10,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,28,14,14,17,17,10,0,46,0
1705704375,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,17,67,51,17,17,17,17,16,16,16,16,16,16,16,16,48,48,32,16,16,17,17,10,0,0,0
1705704390,9,9,9,9,9,9,9,9,9,13,13,13,13,13,13,13,14,14,14,14,14,14,14,10,10,12,49,36,12,12,12,12,13,13,13,13,13,13,13,13,39,39,26,13,13,17,17,10,0,23,0
1705704405,23,23,23,23,23,23,23,23,23,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,22,11,11,12,12,10,0,0,0
1705704420,17,17,17,17,17,17,17,17,17,20,20,20,20,20,20,20,20,20,20,20,20,20,20,10,10,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,24,12,12,10,10,10,0,46,0
1705704435,8,8,8,8,8,8,8,8,8,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,10,22,88,66,22,22,22,22,22,22,22,22,22,22,22,22,66,66,44,22,22,18,18,10,0,23,0
1705704450,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,26,13,13,18,18,10,0,23,0
1705704465,21,21,21,21,21,21,21,21,21,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,34,17,17,12,12,10,0,0,0
1705704480,15,15,15,15,15,15,15,15,15,19,19,19,19,19,19,19,19,19,19,19,19,19,19,10,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,32,16,16,16,16,10,0,0,0
1705704495,15,15,15,15,15,15,15,15,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,34,17,17,13,13,10,0,0,0
1705704510,13,13,13,13,13,13,13,13,13,19,19,19,19,19,19,19,19,19,19,19,19,19,19,10,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,26,13,13,20,20,10,0,0,0
1705704525,17,17,17,17,17,17,17,17,17,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,36,18,18,15,15,10,0,23,0
1705704540,16,16,16,16,16,16,16,16,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,26,13,13,16,16,10,0,0,0
1705704555,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,34,17,17,14,14,10,0,23,0
1705704570,14,14,14,14,14,14,14,14,14,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,36,18,18,18,18,10,0,0,0
1705704585,20,20,20,20,20,20,20,20,20,23,23,23,23,23,23,23,23,23,23,23,23,23,23,10,10,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,24,12,12,17,17,10,0,23,0
1705704600,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,36,18,18,12,12,10,0,23,0
1705704615,20,20,20,20,20,20,20,20,20,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,10,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,22,11,11,19,19,10,0,23,0
1705704630,13,13,13,13,13,13,13,13,13,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,34,17,17,12,12,10,0,23,0
1705704645,18,18,18,18,18,18,18,18,18,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,10,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,38,19,19,18,18,10,0,23,0
1705704660,13,13,13,13,13,13,13,13,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,28,14,14,14,14,10,0,0,0
1705704675,18,18,18,18,18,18,18,18,18,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,28,14,14,18,18,10,0,23,0
1705704690,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,30,15,15,12,12,10,0,0,0
1705704705,13,13,13,13,13,13,13,13,13,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,32,16,16,17,17,10,0,23,0
1705704720,3,3,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,20,10,10,7,7,6,0,23,0
