time,front-end_1,user_2,front-end_3,front-end_4,front-end_5,user_6,front-end_7,front-end_8,front-end_9,front-end_10,front-end_11,front-end_12,front-end_13,front-end_14,front-end_15,front-end_16,user_17,user_18,orders_19,payment_20,orders_21,shipping_22,queue-master_23,queue-master_24,queue-master_25,queue-master_26,queue-master_27,front-end_28,front-end_29,catalogue_30,front-end_31,front-end_32,user_33,front-end_34,front-end_35,user_36,front-end_37,front-end_38,catalogue_39,front-end_40,front-end_41,front-end_42,catalogue_43,front-end_44,front-end_45,front-end_46,payment_47,user_48,carts_49,carts_50
1705605450,17,68,51,17,8,8,8,8,8,8,8,8,8,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,8,8,19,19,19,19,19,19,19,10,19,19,19,19,19,19,19,10,10,0,0
1705605465,18,72,54,18,13,13,13,13,13,13,13,13,13,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,24,24,11,11,11,11,11,11,11,10,11,11,11,11,11,11,11,10,10,69,0
1705605480,12,48,36,12,21,21,21,21,21,21,21,21,21,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,10,14,14,14,14,14,14,14,10,14,14,14,14,14,14,14,10,10,23,0
1705605495,19,76,57,19,12,12,12,12,12,12,12,12,12,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,12,12,18,18,18,18,18,18,18,10,18,18,18,18,18,18,18,10,10,23,0
1705605510,12,48,36,12,16,16,16,16,16,16,16,16,16,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,24,24,14,14,14,14,14,14,14,10,14,14,14,14,14,14,14,10,10,23,0
1705605525,14,56,42,14,16,16,16,16,16,16,16,16,16,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,9,9,18,18,18,18,18,18,18,10,18,18,18,18,18,18,18,10,10,0,0
1705605540,21,84,63,21,13,13,13,13,13,13,13,13,13,21,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,21,21,14,14,14,14,14,14,14,10,14,14,14,14,14,14,14,10,10,23,0
1705605555,14,56,42,14,20,20,20,20,20,20,20,20,20,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,12,12,14,14,14,14,14,14,14,10,14,14,14,14,14,14,14,10,10,46,0
1705605570,15,60,45,15,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,17,17,20,20,20,20,20,20,20,10,20,20,20,20,20,20,20,10,10,23,0
1705605585,17,68,51,17,19,19,19,19,19,19,19,19,19,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,14,14,12,12,12,12,12,12,12,10,12,12,12,12,12,12,11,10,10,0,0
1705605600,16,64,48,16,12,12,12,12,12,12,12,12,12,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,17,17,21,21,21,21,21,21,21,10,21,21,21,21,21,21,22,10,10,23,0
1705605615,16,64,48,16,12,12,12,12,12,12,12,12,12,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,15,15,6,6,6,6,6,6,6,10,6,6,6,6,6,6,6,10,10,0,0
1705605630,10,40,30,10,20,20,20,20,20,20,20,20,20,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,16,16,20,20,20,19,19,19,19,10,19,19,19,19,19,19,19,10,10,46,0
1705605645,19,76,57,19,13,13,13,13,13,13,13,13,13,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,12,12,16,16,15,16,16,16,16,10,16,16,16,16,16,16,16,10,10,23,0
1705605660,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,16,16,11,11,12,12,12,12,12,10,12,12,12,12,12,12,12,10,10,0,0
1705605675,11,44,33,11,18,18,18,18,18,18,18,18,18,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,15,15,21,21,21,21,21,21,21,10,20,20,20,20,20,20,20,10,10,0,0
1705605690,22,88,66,22,13,13,13,13,13,13,13,13,13,22,22,22,22,22,22,22,22,22,22,22,66,66,22,44,22,16,16,13,13,13,13,13,13,13,10,14,14,14,14,14,14,14,10,10,0,0
1705605705,12,48,36,12,13,13,13,13,13,13,13,13,13,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,16,16,15,15,15,15,15,15,15,10,15,15,15,15,15,15,15,10,10,23,0
1705605720,16,64,48,16,20,20,20,20,20,20,20,20,20,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,12,12,14,14,14,14,14,14,14,10,14,14,14,14,14,14,14,10,10,0,0
1705605735,16,64,48,16,14,14,14,14,14,14,14,14,14,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,15,15,16,16,16,16,16,16,16,10,16,16,16,16,16,16,16,10,10,23,0
1705605750,12,48,36,12,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,21,21,15,15,15,15,15,15,15,10,15,15,15,15,15,15,15,10,10,23,0
1705605765,15,60,45,15,18,18,18,18,18,18,18,18,18,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,14,14,12,12,12,12,12,12,12,10,12,12,11,11,11,11,11,10,10,23,0
1705605780,15,60,45,15,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,9,9,16,16,16,16,16,16,16,10,16,16,17,17,17,17,17,10,10,0,0
1705605795,14,56,42,14,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,16,16,14,14,14,14,14,14,14,10,14,14,14,14,14,14,14,10,10,0,0
1705605810,18,72,54,18,15,15,15,15,15,15,15,15,15,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,18,18,20,20,20,20,20,20,20,10,20,20,20,20,20,20,20,10,10,0,0
1705605825,15,60,45,15,16,16,16,16,16,16,16,16,16,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,13,13,13,13,13,13,13,13,13,10,13,13,13,13,13,13,13,10,10,0,0
1705605840,14,53,40,14,15,15,15,15,15,15,15,15,15,14,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,16,16,17,17,17,17,17,17,17,10,17,17,17,17,17,17,17,10,10,46,0
1705605855,17,71,53,17,13,13,13,13,13,13,13,13,13,17,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,16,16,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0
1705605870,10,40,30,10,18,18,18,18,18,18,18,18,18,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,15,15,15,15,15,15,15,15,15,10,15,15,15,15,15,15,15,10,10,0,0
1705605885,18,72,54,18,19,19,19,19,19,19,19,19,19,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,14,14,20,20,20,20,20,20,20,10,20,20,20,20,20,20,20,10,10,46,0
1705605900,17,68,51,17,12,12,12,12,12,12,12,12,12,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,20,20,13,13,13,13,13,13,13,10,13,13,13,13,13,13,13,10,10,0,0
1705605915,14,56,42,14,20,20,20,20,20,19,19,19,19,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,14,14,16,16,16,16,16,16,16,10,16,16,16,16,16,16,16,10,10,23,0
1705605930,18,72,54,18,10,10,10,10,10,11,11,11,11,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,13,13,17,17,17,17,17,17,17,10,17,17,17,17,17,17,17,10,10,23,0
1705605945,14,56,42,14,13,13,13,13,13,12,12,12,12,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,19,19,13,13,13,13,13,13,12,10,12,12,12,12,12,12,12,10,10,23,0
1705605960,12,48,36,12,18,18,18,18,18,19,19,19,19,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,10,16,16,16,16,16,16,17,10,17,17,17,17,17,17,17,10,10,23,0
1705605975,18,72,54,18,13,13,13,13,13,13,13,13,13,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,17,17,14,14,14,14,14,14,14,10,14,14,14,14,14,14,14,10,10,0,0
1705605990,12,48,36,12,13,13,13,13,13,13,13,13,13,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,13,13,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,23,0
1705606005,12,48,36,12,19,19,19,19,19,19,19,19,19,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,14,14,17,17,17,17,17,17,17,10,17,17,17,17,17,17,17,10,10,0,0
1705606020,18,72,54,18,11,11,11,11,11,11,11,11,11,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,15,15,17,17,17,17,17,17,17,10,16,16,16,16,16,16,16,10,10,23,0
1705606035,16,64,48,16,17,17,17,17,17,17,17,17,17,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,19,19,13,13,13,13,13,13,13,10,14,14,14,14,14,14,14,10,10,0,0
1705606050,12,48,36,12,21,21,21,21,21,21,21,21,21,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,10,22,22,22,22,22,21,20,10,20,20,20,20,20,20,20,10,10,0,0
1705606065,23,92,69,23,12,12,12,12,12,12,12,12,12,23,23,23,23,23,23,23,23,23,23,23,69,69,23,46,23,14,14,13,13,13,13,13,14,15,10,15,15,15,15,15,15,15,10,10,0,0
1705606080,13,52,39,13,16,16,16,16,16,16,16,16,16,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,21,21,10,10,10,10,10,10,9,10,9,9,9,9,9,9,9,10,10,46,0
1705606095,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,15,15,22,22,22,22,22,22,23,10,23,23,23,23,23,23,23,10,10,0,0
1705606110,16,64,48,16,13,13,13,13,13,13,13,13,13,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,18,18,13,13,13,13,13,13,13,10,13,13,13,13,13,13,13,10,10,23,0
1705606125,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,14,14,16,16,16,16,16,16,16,10,16,16,16,16,16,16,16,10,10,0,0
1705606140,8,32,24,8,12,12,12,12,12,12,12,12,12,8,8,8,8,8,8,8,8,8,8,8,24,24,8,16,8,11,11,10,10,10,10,10,10,9,8,9,9,9,9,9,9,9,8,8,0,0
