time,front-end_1,user_2,front-end_3,front-end_4,user_5,front-end_6,front-end_7,front-end_8,front-end_9,front-end_10,catalogue_11,front-end_12,front-end_13,front-end_14,catalogue_15,front-end_16,user_17,front-end_18,front-end_19,front-end_20,front-end_21,front-end_22,front-end_23,front-end_24,catalogue_25,front-end_26,front-end_27,user_28,front-end_29,front-end_30,front-end_31,front-end_32,front-end_33,user_34,user_35,orders_36,payment_37,payment_38,orders_39,shipping_40,queue-master_41,queue-master_42,queue-master_43,queue-master_44,queue-master_45,front-end_46,front-end_47,user_48,carts_49,carts_50,user_51,user_52
1705662480,17,17,17,17,17,17,17,17,17,17,17,17,17,18,10,14,14,14,14,14,14,14,14,14,15,15,18,72,54,18,18,18,18,18,18,18,18,10,19,19,19,19,57,57,19,38,19,10,0,0,0,0
1705662495,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,12,12,12,12,12,12,12,12,12,12,12,17,68,51,17,17,17,17,17,17,17,17,10,17,17,17,17,51,51,17,34,17,10,0,0,0,0
1705662510,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,17,17,17,17,17,17,17,17,17,19,19,16,64,48,16,16,16,16,16,16,16,16,10,16,16,16,16,48,48,16,32,16,10,23,0,0,0
1705662525,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,17,17,17,17,17,17,17,17,17,13,13,15,60,45,15,15,15,15,15,15,15,15,10,15,15,15,15,45,45,15,30,15,10,0,0,0,0
1705662540,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,14,14,14,14,14,14,14,14,14,16,16,14,56,42,14,14,14,14,14,14,14,14,10,14,14,14,14,42,42,14,28,14,10,0,0,0,0
1705662555,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,14,14,14,14,14,14,14,14,14,14,14,15,60,45,15,15,15,15,15,15,15,15,10,15,15,15,15,45,45,15,30,15,10,0,0,0,0
1705662570,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,20,20,20,20,20,20,20,20,20,17,17,15,60,45,15,15,15,15,15,15,15,15,10,15,15,15,15,45,45,15,30,15,10,0,0,0,0
1705662585,19,19,19,19,19,19,19,19,19,19,19,19,19,19,10,11,11,11,11,11,11,11,11,11,17,17,15,60,45,15,15,15,15,15,15,15,15,10,15,15,15,15,45,45,15,30,15,10,0,0,0,0
1705662600,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,16,16,16,16,16,16,16,16,16,15,15,20,80,60,20,20,20,20,20,20,20,20,10,20,20,20,20,60,60,20,40,20,10,46,0,0,0
1705662615,13,13,13,13,13,13,13,12,12,12,12,12,12,11,10,19,19,19,19,19,16,16,16,16,15,15,14,56,42,14,14,14,14,14,14,13,13,10,13,13,13,13,39,39,13,26,13,10,0,3,0,0
1705662630,16,16,16,16,16,16,16,16,16,16,16,16,16,14,10,14,14,14,14,14,14,14,14,14,14,14,11,44,33,11,11,11,11,11,11,12,12,10,12,12,12,12,36,36,12,24,12,10,23,0,0,0
1705662645,13,13,13,13,13,13,13,14,14,14,14,14,14,13,10,11,11,11,11,11,12,12,12,12,13,13,13,52,39,13,13,13,13,13,13,12,12,10,12,12,12,12,36,36,12,24,12,10,0,0,0,0
1705662660,13,13,13,13,13,13,13,12,12,12,12,12,12,13,10,14,14,14,14,14,14,14,14,14,12,12,17,68,51,17,17,17,17,17,17,18,18,10,18,18,18,18,54,54,18,36,18,10,0,2,0,0
1705662675,11,11,11,11,11,11,11,12,12,12,12,12,12,14,10,16,16,16,16,16,15,15,15,15,16,16,11,43,33,11,11,11,11,11,11,11,11,10,11,10,10,10,30,30,10,20,10,10,0,0,1,0
1705662690,18,18,18,18,18,18,18,17,17,17,17,17,17,16,10,13,13,13,13,13,15,15,15,15,14,14,14,56,42,14,14,14,14,14,14,14,14,10,14,15,15,15,45,45,15,30,15,10,0,0,0,0
1705662705,10,10,10,10,10,10,10,11,11,11,11,11,11,13,10,14,14,14,14,14,12,12,12,12,11,11,17,68,51,17,17,17,17,17,17,16,16,10,16,16,16,16,48,48,16,32,16,10,0,0,0,0
1705662720,17,17,17,17,17,17,17,16,16,16,16,16,16,13,10,15,15,15,15,15,18,18,18,18,15,15,10,40,30,10,10,10,10,10,10,11,11,10,11,11,11,11,33,33,11,22,11,10,0,0,0,0
1705662735,16,16,16,16,16,16,16,14,14,14,14,14,14,15,10,14,14,14,14,14,11,11,11,11,15,15,16,64,48,16,16,16,16,16,16,15,15,10,15,15,15,15,45,45,15,30,15,10,0,2,0,0
1705662750,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,16,16,16,16,16,18,18,18,18,13,12,13,52,39,13,13,13,13,13,13,14,14,10,14,14,14,14,42,42,14,28,14,10,23,0,0,0
1705662765,10,10,10,10,10,10,10,13,13,13,13,13,13,12,10,10,10,10,10,10,11,11,11,11,14,15,17,64,48,16,16,16,16,16,16,16,16,10,16,16,16,16,48,48,16,32,16,10,0,0,0,0
1705662780,12,12,12,12,12,12,12,11,11,11,11,11,11,13,10,13,13,13,13,13,13,13,13,13,15,15,12,52,39,13,13,13,13,13,13,11,11,10,11,11,11,11,33,33,11,22,11,10,23,0,0,0
1705662795,12,12,12,12,12,12,12,12,12,12,12,12,12,11,10,16,16,16,16,16,16,16,16,16,15,15,11,44,33,11,11,11,11,11,11,12,12,10,12,12,12,12,36,36,12,24,12,10,0,0,0,0
1705662810,20,20,20,20,20,20,20,19,19,19,19,19,19,20,10,11,11,11,11,11,10,10,10,10,11,11,13,52,39,13,13,13,13,13,13,13,13,10,13,13,13,13,39,39,13,26,13,10,23,0,0,0
1705662825,7,7,7,7,7,7,7,9,9,9,9,9,9,9,10,16,16,16,16,16,15,15,15,15,15,15,19,76,57,19,19,19,19,19,19,20,20,10,20,20,20,20,60,60,20,40,20,10,23,0,0,0
1705662840,18,18,18,18,18,18,18,18,18,18,18,18,18,15,10,13,13,13,13,13,15,15,15,15,14,14,10,39,30,10,10,10,10,10,10,9,9,10,9,9,9,9,27,27,9,18,9,10,69,0,0,1
1705662855,11,11,11,11,11,11,11,10,10,10,10,10,10,14,10,19,18,18,18,18,15,15,15,15,11,11,14,56,42,14,14,14,14,14,14,15,15,10,15,15,15,15,45,45,15,30,15,10,23,0,0,0
1705662870,18,18,18,18,18,18,18,18,18,18,18,18,18,16,10,10,11,11,11,11,13,13,13,13,16,16,13,52,39,13,13,13,13,13,13,13,13,10,13,13,13,13,39,39,13,26,13,10,46,0,0,0
1705662885,13,13,13,13,13,13,13,14,14,14,14,14,14,12,10,13,13,13,13,13,14,14,14,14,15,15,19,76,57,19,19,19,19,19,19,19,19,10,19,19,19,19,57,57,19,38,19,10,0,0,0,0
1705662900,13,13,13,13,13,13,13,13,13,13,13,13,13,15,10,10,10,10,10,10,10,10,10,10,15,15,12,48,36,12,12,12,12,12,12,12,12,10,12,12,12,12,36,36,12,24,12,10,0,0,0,0
1705662915,11,11,11,11,11,11,11,11,11,11,11,11,11,8,10,17,17,17,17,17,17,17,17,17,11,11,16,64,48,16,16,16,16,16,16,15,15,10,15,15,15,15,45,45,15,30,15,10,0,0,0,0
1705662930,14,14,14,14,14,13,13,13,13,13,13,13,13,17,10,14,14,14,14,14,12,12,12,12,15,15,8,32,24,8,8,8,8,8,8,9,9,10,9,9,9,9,27,27,9,18,9,10,23,0,0,0
1705662945,18,18,18,18,18,19,19,19,19,19,19,19,19,15,10,12,12,12,12,12,13,13,13,13,11,11,15,60,45,15,15,15,15,15,15,14,14,10,14,14,14,14,42,42,14,28,14,10,23,0,0,0
1705662960,11,11,11,11,11,11,11,10,10,10,10,10,10,13,10,14,14,14,14,14,14,14,14,14,17,17,12,48,36,12,12,12,12,12,12,13,13,10,13,13,13,13,39,39,13,26,13,10,0,0,0,0
1705662975,13,13,13,13,13,13,13,13,13,13,13,13,13,12,10,13,13,13,13,13,14,14,14,14,10,10,18,72,54,18,18,18,18,18,18,17,17,10,17,17,17,17,51,51,17,34,17,10,0,0,0,0
1705662990,18,18,18,18,18,18,18,18,18,18,18,18,18,20,10,17,17,17,17,17,17,17,17,17,15,15,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,10,0,0,0,0
1705663005,16,16,16,16,16,16,16,16,16,16,16,16,16,14,10,15,15,15,15,15,14,14,14,14,13,13,18,72,54,18,18,18,18,18,18,18,18,10,18,18,18,18,54,54,18,36,18,10,23,0,0,0
1705663020,8,8,8,8,8,8,8,9,9,9,9,9,9,11,10,10,10,10,10,10,10,10,10,10,19,19,12,48,36,12,12,12,12,12,12,13,13,10,13,13,13,13,39,39,13,26,13,10,0,0,0,0
1705663035,13,13,13,13,13,13,13,12,12,12,12,12,12,11,10,17,17,17,17,17,16,16,16,16,14,14,13,52,39,13,13,13,13,13,13,13,13,10,13,13,13,13,39,39,13,26,13,10,0,0,0,0
1705663050,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,16,16,16,16,16,17,17,17,17,7,7,14,56,42,14,14,14,14,14,14,13,13,10,13,13,13,13,39,39,13,26,13,10,69,0,0,0
1705663065,16,16,16,16,16,16,16,17,17,17,17,17,17,16,10,12,12,12,12,12,11,11,11,11,17,17,14,56,42,14,14,14,14,14,14,15,15,10,15,15,15,15,45,45,15,30,15,10,23,0,0,0
1705663080,13,13,13,13,13,13,13,13,13,13,13,13,13,14,10,15,15,15,15,15,16,16,16,16,16,16,17,68,51,17,17,17,17,17,17,17,17,10,17,17,17,17,51,51,17,34,17,10,0,0,0,0
1705663095,12,12,12,12,12,12,12,11,11,11,11,11,11,11,10,12,12,12,12,12,11,11,11,11,15,15,14,56,42,14,14,14,14,14,14,14,14,10,14,14,14,14,42,42,14,28,14,10,23,0,0,0
1705663110,18,18,18,18,18,18,18,19,19,19,19,19,19,16,10,19,19,19,19,19,21,21,21,21,15,15,11,44,33,11,11,11,11,11,11,11,11,10,11,11,11,11,33,33,11,22,11,10,0,0,0,0
1705663125,15,15,15,15,15,15,15,13,13,13,13,13,13,16,10,11,11,11,11,11,11,11,11,11,9,9,17,68,51,17,17,17,17,17,17,17,17,10,17,17,17,17,51,51,17,34,17,10,46,0,0,0
1705663140,12,11,11,11,11,11,11,11,11,11,11,11,11,11,10,13,13,13,13,13,8,8,8,8,20,20,16,64,48,16,16,16,16,16,16,16,16,10,16,16,16,16,48,48,16,32,16,10,23,0,0,0
1705663155,16,17,17,17,17,17,17,18,18,18,18,18,18,15,10,15,15,15,15,15,17,17,17,17,13,13,11,44,33,11,11,11,11,11,11,11,11,10,11,11,11,11,33,33,11,22,11,10,0,0,0,0
1705663170,13,13,13,13,13,13,13,13,13,13,13,13,13,14,10,17,17,17,17,17,18,18,18,18,11,11,14,56,42,14,14,14,14,14,14,13,13,10,13,12,12,12,36,36,12,24,12,10,23,0,0,0
1705663185,16,16,16,16,16,16,16,16,16,16,16,16,16,18,10,10,10,10,10,10,11,11,11,11,14,14,16,64,48,16,16,16,16,16,16,16,16,10,16,17,17,17,51,51,17,34,17,10,46,0,0,0
1705663200,8,8,8,8,8,8,8,8,8,8,8,8,8,10,10,12,12,12,12,12,13,13,13,13,15,15,13,52,39,13,13,13,13,13,13,13,13,10,13,13,13,13,39,39,13,26,13,10,46,0,0,0
1705663215,18,18,18,18,18,18,18,15,15,15,15,15,15,12,10,18,18,18,18,18,17,17,17,17,15,15,11,44,33,11,11,11,11,11,11,12,12,10,12,12,12,12,36,36,12,24,12,10,0,0,0,0
1705663230,15,15,15,15,15,15,15,19,19,19,19,19,19,18,10,14,14,14,14,14,15,15,15,15,11,11,18,72,54,18,18,18,18,18,18,14,14,10,14,14,14,14,42,42,14,28,14,10,0,0,0,0
1705663245,10,10,10,10,10,10,10,9,9,9,9,9,9,12,10,14,14,14,14,14,11,11,11,11,18,18,13,52,39,13,13,13,13,13,13,17,17,10,17,17,17,17,51,51,17,34,17,10,23,0,0,0
1705663260,17,17,17,17,17,17,17,17,17,17,17,17,17,16,10,14,14,14,14,14,15,15,15,15,16,16,13,52,39,13,13,13,13,13,13,13,13,10,13,13,13,13,39,39,13,26,13,10,23,0,0,0
1705663275,13,13,13,13,13,13,13,14,14,14,14,14,14,13,10,12,12,12,12,12,14,14,14,14,9,9,14,56,42,14,14,14,14,14,14,13,13,10,13,13,13,13,39,39,13,26,13,10,23,0,0,0
1705663290,12,12,12,12,12,12,12,11,11,11,11,11,11,13,10,16,16,16,16,16,13,13,13,13,16,16,16,64,48,16,16,16,16,16,16,17,17,10,17,17,17,17,51,51,17,34,17,10,23,0,0,0
1705663305,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,11,11,11,11,11,12,12,12,12,12,12,10,40,30,10,10,10,10,10,10,8,8,10,8,8,8,8,24,24,8,16,8,10,0,0,0,0
1705663320,12,12,12,12,12,12,12,11,11,11,11,11,11,8,10,13,13,13,13,13,14,14,14,14,14,14,20,80,60,20,20,20,20,20,20,22,22,10,22,22,22,22,66,66,22,44,22,10,0,0,0,0
1705663335,5,5,5,5,5,5,5,7,7,7,7,7,7,11,6,8,8,8,8,8,8,8,8,8,13,13,4,16,12,4,4,4,4,4,4,4,4,6,4,4,4,4,12,12,4,8,4,6,0,0,0,0
