time,user_1,front-end_2,user_3,front-end_4,front-end_5,user_6,front-end_7,front-end_8,front-end_9,front-end_10,front-end_11,catalogue_12,front-end_13,front-end_14,front-end_15,front-end_16,user_17,front-end_18,front-end_19,front-end_20,front-end_21,front-end_22,front-end_23,front-end_24,catalogue_25,front-end_26,front-end_27,user_28,front-end_29,front-end_30,front-end_31,front-end_32,front-end_33,user_34,user_35,orders_36,payment_37,orders_38,shipping_39,queue-master_40,queue-master_41,queue-master_42,queue-master_43,queue-master_44,front-end_45,front-end_46,catalogue_47,payment_48,carts_49,user-db_50,user_51,user_52,user_53,user-db_54
1705788330,10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,12,12,12,12,12,12,12,12,12,14,14,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,10,0,0,0,0,0,0
1705788345,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,15,15,15,15,15,15,15,15,15,19,19,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,46,0,0,0,0,0
1705788360,10,18,18,18,18,18,18,19,19,19,19,19,19,19,19,21,21,21,21,21,21,21,21,21,9,9,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,10,10,0,0,0,0,0,0
1705788375,10,19,19,19,19,19,19,19,19,19,19,19,19,19,19,15,15,15,15,15,15,15,15,15,14,14,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,10,0,0,0,0,0,0
1705788390,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,11,11,11,11,11,11,11,11,11,24,24,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,10,10,0,0,0,0,0,0
1705788405,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,11,11,13,52,39,13,13,13,13,12,13,13,13,13,13,13,13,39,39,13,26,13,10,10,23,0,0,0,1,0
1705788420,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,15,15,15,15,15,15,15,15,15,12,12,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,23,0,0,0,0,0
1705788435,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,18,18,18,18,18,18,18,18,16,16,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,0,0,0,0,0,0
1705788450,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,9,9,9,9,9,9,9,9,9,15,15,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,10,10,23,0,0,0,0,0
1705788465,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,23,23,23,23,23,23,23,23,23,20,20,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,10,10,23,0,0,0,0,0
1705788480,10,20,20,20,20,20,20,20,20,20,20,20,20,20,20,12,12,12,12,12,12,12,12,12,9,9,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,0,0,0,0,0,0
1705788495,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,15,15,15,15,15,15,15,15,15,23,23,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,23,0,0,0,0,0
1705788510,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,13,13,13,13,13,13,13,13,13,13,13,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,0,0,0,0,0,0
1705788525,10,14,14,14,14,14,14,13,13,13,13,13,13,13,13,16,16,16,16,16,16,16,16,16,14,14,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,0,0,0,0,0,0
1705788540,10,18,18,18,18,18,18,19,19,19,19,19,19,19,19,20,20,20,20,20,20,20,20,20,15,15,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,10,0,0,0,0,0,0
1705788555,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,0,0,0,0,0,0
1705788570,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,21,21,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,23,0,0,0,0,0
1705788585,10,21,21,21,21,21,21,21,20,20,20,20,20,20,20,21,21,21,21,21,21,21,21,21,11,11,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,10,0,0,0,0,0,0
1705788600,10,15,15,15,15,15,15,15,16,16,16,16,16,16,16,12,12,12,12,12,12,12,12,12,11,11,22,88,66,22,22,22,22,22,22,22,22,22,22,22,22,66,66,22,44,22,10,10,0,0,0,0,0,0
1705788615,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,22,22,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,0,0,0,0,0,0
1705788630,10,20,20,20,20,20,20,20,20,20,20,20,20,20,19,20,20,20,20,20,20,20,20,20,14,14,7,28,21,7,7,7,7,7,7,7,7,7,7,7,7,21,21,7,14,7,10,10,23,0,0,0,0,0
1705788645,10,19,19,19,19,19,19,19,19,19,19,19,19,19,20,17,17,17,17,17,17,17,17,17,6,6,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,10,0,0,0,0,0,0
1705788660,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,12,12,12,12,12,12,12,24,24,22,88,66,22,22,22,22,22,22,22,22,22,22,22,22,66,66,22,44,22,10,10,0,0,0,0,0,0
1705788675,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,17,17,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,10,10,23,0,0,0,0,0
1705788690,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,21,21,21,21,21,21,21,21,21,14,14,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,10,23,0,0,0,0,0
1705788705,10,21,21,21,21,21,21,21,21,21,21,21,21,21,21,12,12,12,12,12,12,12,12,12,11,11,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,23,0,0,0,0,0
1705788720,10,8,8,8,8,7,7,7,7,7,7,7,7,7,7,15,15,15,15,15,15,15,15,15,19,19,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,10,0,0,0,0,0,0
1705788735,10,11,11,11,11,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,12,12,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,0,0,0,0,0,0
1705788750,10,23,23,23,23,23,23,23,23,23,23,23,23,23,22,20,20,20,20,20,20,20,20,20,15,15,7,28,21,7,7,7,7,7,7,7,7,7,7,7,7,21,21,7,14,7,10,10,23,0,0,0,0,0
1705788765,10,13,13,13,13,13,13,13,13,13,13,13,13,13,14,9,9,9,9,9,8,8,8,8,13,13,21,84,63,21,21,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,10,10,0,0,0,0,0,0
1705788780,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,19,19,19,19,19,19,19,19,19,18,18,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,0,0,0,0,0,0
1705788795,10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,12,12,12,12,12,13,13,13,13,13,13,14,55,42,14,14,14,14,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,23,0,0,0,0,0
1705788810,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,19,19,19,19,19,19,19,19,19,19,19,15,61,45,15,15,15,15,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,23,0,0,0,0,0
1705788825,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,9,9,9,9,9,9,9,9,9,9,9,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,0,0,0,0,0,0
1705788840,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,16,16,16,16,16,16,16,16,16,18,18,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,0,0,0,0,0,0
1705788855,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,12,12,14,56,42,14,14,14,14,14,14,13,13,13,13,13,13,39,39,13,26,13,10,10,0,0,0,0,0,0
1705788870,10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,15,15,15,15,15,15,15,15,15,15,15,11,44,33,11,11,11,11,11,11,12,12,12,12,12,12,36,36,12,24,12,10,10,0,0,0,0,0,0
1705788885,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,17,17,17,17,17,17,17,17,17,15,15,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,10,23,0,0,0,0,0
1705788900,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,16,16,16,16,16,16,16,16,16,16,17,65,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,23,0,0,0,0,0
1705788915,10,18,18,18,18,18,18,18,18,18,18,18,18,18,17,13,14,14,14,14,14,14,14,14,14,14,11,47,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,10,46,0,0,0,0,0
1705788930,10,16,16,16,16,16,16,16,16,16,16,16,16,16,17,16,16,16,16,16,16,16,16,16,17,17,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,23,0,0,0,0,0
1705788945,10,16,16,16,16,15,15,15,15,15,15,15,15,15,15,13,13,13,13,13,13,13,13,13,14,14,17,64,47,17,17,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,23,0,0,0,0,0
1705788960,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,13,13,13,13,13,13,13,13,13,18,18,17,69,53,17,17,18,18,18,18,18,18,18,18,18,18,54,54,18,35,17,10,10,46,0,0,0,0,0
1705788975,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,20,20,20,20,20,20,20,20,20,14,14,7,31,23,7,7,8,8,8,8,8,8,8,8,8,8,24,24,8,17,9,10,10,23,0,0,0,0,0
1705788990,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,11,11,11,11,11,10,10,10,10,12,12,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,0,0,0,0,0,0
1705789005,10,13,13,13,13,13,13,13,13,13,13,13,13,13,12,14,14,14,14,14,15,15,15,15,19,19,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,0,0,0,0,0,0
1705789020,10,19,19,19,18,18,18,18,18,18,18,18,18,18,19,17,17,17,17,17,17,17,17,17,10,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,0,0,0,0,0,0
1705789035,10,13,13,13,14,14,14,14,14,14,14,14,14,14,14,12,12,12,12,12,12,12,12,12,14,14,21,78,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,10,0,0,0,0,0,0
1705789050,10,14,14,14,14,14,14,13,13,13,13,13,13,13,13,17,17,17,17,17,17,17,17,17,18,18,9,42,33,11,11,11,11,11,11,11,11,11,10,10,10,30,30,10,20,10,10,10,46,0,0,0,0,0
1705789065,10,14,14,14,14,14,14,15,15,15,15,15,15,15,15,17,17,17,17,17,15,15,15,15,11,11,17,64,48,16,16,16,16,15,15,15,15,15,16,16,16,48,48,16,32,16,10,10,69,0,0,0,0,0
1705789080,10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,14,14,14,14,14,16,16,16,16,18,18,14,60,45,15,15,15,15,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,23,0,0,0,0,0
1705789095,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,13,13,13,13,13,13,13,13,13,12,12,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,23,0,0,0,0,0
1705789110,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,16,16,16,16,16,16,16,16,16,19,19,16,61,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,23,0,0,0,0,0
1705789125,10,17,17,17,17,17,17,17,17,17,17,17,17,17,16,19,19,19,19,19,19,19,19,19,15,15,14,59,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,46,0,0,0,0,0
1705789140,10,16,16,16,16,16,16,16,16,16,16,16,16,16,17,13,13,13,13,13,13,13,13,13,15,15,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,10,0,0,0,0,0,0
1705789155,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,17,17,16,64,48,16,16,16,16,16,16,15,15,15,15,15,15,45,45,15,30,15,10,10,0,0,0,0,0,0
1705789170,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,17,17,17,17,17,17,17,17,17,15,15,13,52,39,13,13,13,13,13,13,14,14,14,14,14,14,42,42,14,28,14,10,10,0,0,0,0,0,0
1705789185,10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,12,12,12,12,12,12,12,12,12,11,11,16,63,48,16,16,16,16,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,0,0,0,0,0,0
1705789200,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,15,15,15,15,15,15,15,15,15,21,21,17,69,51,17,17,17,17,18,18,17,17,17,17,17,17,51,51,17,34,17,10,10,23,0,0,0,0,0
1705789215,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,15,15,15,15,15,15,15,15,15,13,13,8,32,24,8,8,8,8,8,8,9,9,9,9,9,9,27,27,9,18,9,10,10,23,0,0,0,0,0
1705789230,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,18,18,18,18,18,18,18,18,18,10,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,46,0,0,0,0,0
1705789245,10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,13,13,13,13,13,13,13,13,13,15,15,19,75,57,19,19,19,19,18,18,18,18,18,18,18,18,54,54,18,36,18,10,10,23,0,0,0,0,0
1705789260,10,9,9,9,9,9,9,9,9,9,9,9,9,9,8,14,14,14,14,14,14,14,14,14,21,21,12,49,36,12,12,12,12,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,0,0,0,0,0,0
1705789275,10,22,22,22,22,22,22,22,22,22,22,22,22,22,23,20,20,20,20,20,19,19,19,19,11,11,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,10,10,23,0,0,0,0,0
1705789290,10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,10,10,10,10,11,11,11,11,10,10,22,88,66,22,22,22,22,22,22,22,22,22,22,22,22,66,66,22,44,22,10,10,23,0,0,0,0,0
1705789305,10,8,8,8,8,8,8,7,7,7,7,7,7,7,7,16,16,16,16,16,16,16,16,16,25,25,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,10,0,0,0,0,0,0
1705789320,10,19,19,19,19,19,19,20,20,20,20,20,20,20,20,18,18,18,18,18,18,18,18,18,12,12,8,32,24,8,8,8,8,8,8,8,8,8,8,8,8,24,24,8,16,8,10,10,23,0,0,0,0,0
1705789335,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,15,15,15,15,12,12,22,85,64,22,22,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,10,10,0,0,0,0,0,1
1705789350,10,14,14,14,13,13,13,12,12,12,12,12,12,12,12,10,10,10,10,10,11,11,11,11,21,21,14,59,44,14,14,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,23,0,0,0,0,0
1705789365,4,5,5,5,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,28,21,7,7,7,7,7,7,7,7,7,7,7,7,21,21,7,14,7,6,6,0,0,0,0,0,0
