time,catalogue_1,front-end_2,front-end_3,user_4,front-end_5,front-end_6,front-end_7,front-end_8,front-end_9,user_10,user_11,orders_12,payment_13,orders_14,shipping_15,queue-master_16,queue-master_17,queue-master_18,queue-master_19,queue-master_20,front-end_21,front-end_22,front-end_23,user_24,front-end_25,front-end_26,front-end_27,front-end_28,front-end_29,front-end_30,front-end_31,catalogue_32,payment_33,front-end_34,user_35,front-end_36,front-end_37,user_38,front-end_39,front-end_40,front-end_41,front-end_42,front-end_43,catalogue_44,front-end_45,front-end_46,front-end_47,user_48,carts_49,carts_50,user_51
1705724595,18,18,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,18,18,18,18,18,18,18,18,18,10,10,19,19,19,19,19,19,19,19,19,19,19,19,19,19,10,0,0,0
1705724610,15,15,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,9,9,9,9,9,9,9,9,9,10,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,23,0,0
1705724625,19,19,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,16,16,16,16,16,16,16,16,16,10,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,0,0,0
1705724640,6,6,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,18,18,18,18,18,18,18,18,18,10,10,20,20,20,20,20,20,20,20,20,20,20,20,20,20,10,0,0,0
1705724655,20,20,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,15,15,15,15,15,15,15,15,15,10,10,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,0,0,0
1705724670,16,16,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,14,14,14,14,14,14,14,14,14,10,10,21,21,21,21,21,21,21,21,21,21,21,21,21,21,10,0,0,0
1705724685,16,16,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,13,13,13,13,13,13,13,13,13,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,23,0,0
1705724700,12,12,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,22,22,22,22,22,22,22,22,22,10,10,22,22,22,22,22,22,22,22,22,22,22,22,22,22,10,0,0,0
1705724715,21,21,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,11,11,11,11,11,11,11,11,11,10,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,23,0,0
1705724730,16,16,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,14,14,14,14,14,14,14,14,14,10,10,13,13,13,13,13,13,13,13,13,13,13,13,13,12,10,0,0,0
1705724745,10,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,21,21,21,21,21,21,21,21,21,10,10,17,17,17,17,17,17,17,17,17,17,17,17,17,18,10,0,0,0
1705724760,15,15,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,13,13,13,13,13,13,13,13,13,10,10,18,18,18,18,18,18,18,18,18,18,18,18,18,17,10,0,0,0
1705724775,23,23,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,14,14,14,14,14,14,14,14,14,10,10,14,14,14,14,14,14,14,14,14,14,14,14,14,15,10,0,0,0
1705724790,11,11,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,20,20,20,20,20,20,20,20,20,10,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,0,0,0
1705724805,15,15,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,15,15,15,15,15,15,15,15,15,10,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,0,0,0
1705724820,16,16,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,9,9,9,9,9,9,9,9,9,10,10,14,14,14,14,14,13,13,13,13,13,13,13,13,13,10,0,0,0
1705724835,16,16,15,59,43,15,15,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,16,16,16,16,16,16,16,16,16,10,10,15,15,15,15,15,16,16,16,16,16,16,16,16,16,10,23,0,0
1705724850,13,13,13,53,41,13,13,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,24,24,24,24,24,24,24,24,24,10,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,46,0,0
1705724865,17,17,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,13,13,13,13,13,13,13,13,13,10,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,0,0,0
1705724880,17,17,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,16,16,16,16,16,16,16,16,16,10,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,0,0,0
1705724895,16,16,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,16,16,16,16,16,16,16,16,16,10,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,0,0,0
1705724910,20,20,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,14,14,14,14,14,14,14,14,14,10,10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,0,0,0
1705724925,15,15,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,15,15,15,15,15,15,15,15,15,10,10,12,11,11,11,11,11,11,11,11,11,11,11,11,11,10,23,0,0
1705724940,13,13,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,18,18,18,18,18,18,18,18,18,10,10,15,16,16,16,16,16,16,16,16,16,16,16,16,15,10,0,0,0
1705724955,14,14,16,63,48,16,16,16,16,16,15,15,15,15,15,15,15,45,45,15,30,15,9,9,9,9,9,9,9,9,9,10,10,16,16,16,16,16,16,16,16,16,16,16,16,16,17,10,0,0,0
1705724970,14,14,16,65,48,16,16,16,16,16,17,17,17,17,17,17,17,51,51,17,34,17,12,12,12,12,12,12,12,12,12,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,0,0,0
1705724985,15,15,7,28,21,7,7,7,7,7,7,7,7,7,7,7,7,21,21,7,14,7,21,21,21,21,21,21,21,21,21,10,10,16,16,16,16,16,16,16,16,16,15,15,15,15,15,10,0,0,0
1705725000,11,11,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,15,15,15,15,15,15,15,15,15,10,10,18,18,18,18,18,18,18,18,18,19,19,19,19,19,10,46,0,0
1705725015,21,21,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,18,18,18,18,18,18,18,18,18,10,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,0,0,0
1705725030,13,13,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,13,13,13,13,13,13,13,13,13,10,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,0,0,0
1705725045,16,16,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,12,12,12,12,12,12,12,12,12,10,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,0,0,0
1705725060,16,16,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,22,22,22,22,22,22,22,22,22,10,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,23,0,0
1705725075,13,13,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,14,14,14,14,14,14,14,14,14,10,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,23,0,0
1705725090,19,19,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,10,10,10,10,10,10,10,10,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,0,0,0
1705725105,15,15,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,18,18,18,18,18,18,18,18,18,10,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,0,0,0
1705725120,14,14,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,16,16,16,16,16,13,13,13,13,10,10,18,18,18,18,18,18,18,17,17,17,17,17,17,14,10,0,3,0
1705725135,12,12,11,44,33,11,11,11,11,11,11,9,9,9,9,9,9,27,27,9,18,9,16,16,16,16,16,18,18,18,18,10,10,13,13,13,13,13,13,13,13,13,13,13,13,13,14,10,0,1,0
1705725150,14,14,12,48,36,12,12,12,12,12,12,14,14,14,14,14,14,42,42,14,28,14,13,13,13,13,13,12,12,12,12,10,10,15,15,15,15,15,15,15,16,16,16,16,16,16,15,10,0,0,0
1705725165,12,12,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,13,13,13,13,13,13,13,13,13,10,10,13,13,13,13,13,13,13,12,12,12,12,12,12,13,10,0,0,0
1705725180,17,17,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,10,10,10,10,10,10,10,10,10,10,14,14,14,14,14,14,14,14,14,14,14,14,14,16,10,0,0,0
1705725195,9,9,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,17,17,17,17,17,18,18,18,18,10,10,11,11,11,11,11,11,11,10,10,10,10,10,10,7,10,46,0,0
1705725210,19,19,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,11,11,11,11,11,11,11,11,11,10,10,16,16,16,16,16,16,16,18,18,18,18,18,18,18,10,46,2,0
1705725225,9,9,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,18,18,18,18,18,18,18,18,18,10,10,15,15,15,15,15,15,15,14,14,14,14,14,14,14,10,0,0,0
1705725240,16,16,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,13,13,13,13,13,14,14,14,14,10,10,14,14,14,14,14,14,14,15,15,15,15,15,15,15,10,23,0,0
1705725255,16,16,16,64,48,16,16,16,16,16,16,15,15,15,15,15,15,45,45,15,30,15,13,13,13,13,13,12,12,12,12,10,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,23,0,0
1705725270,15,15,13,52,39,13,13,13,13,13,13,14,14,14,14,14,14,42,42,14,28,14,16,16,16,16,16,13,13,13,13,10,10,12,12,12,12,12,12,12,12,12,12,12,12,12,14,10,0,0,0
1705725285,10,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,13,13,13,13,13,13,13,13,13,10,10,13,13,13,13,13,13,13,13,13,13,13,13,13,14,10,0,0,0
1705725300,18,18,15,60,45,15,15,15,15,15,15,13,13,13,13,13,13,39,39,13,26,13,14,14,14,14,14,18,18,18,18,10,10,14,14,14,14,14,14,14,14,14,14,14,14,14,13,10,0,0,0
1705725315,11,11,13,52,39,13,13,13,13,13,13,15,15,15,15,15,15,45,45,15,30,15,13,13,13,13,13,13,13,13,13,10,10,14,14,14,14,14,14,14,14,14,14,14,14,14,12,10,46,0,0
1705725330,13,13,15,60,45,15,15,15,15,15,15,12,12,12,12,12,12,36,36,12,24,12,16,16,16,16,16,16,16,16,16,10,10,15,15,15,15,15,15,15,14,14,14,14,14,14,15,10,23,0,0
1705725345,19,19,15,60,45,15,15,15,15,15,15,17,17,17,17,17,17,51,51,17,34,17,16,16,16,16,16,14,14,14,14,10,10,16,16,16,16,16,16,16,17,17,17,17,17,17,18,10,0,0,0
1705725360,12,12,14,56,42,14,14,14,14,14,14,15,15,15,15,15,15,45,45,15,30,15,8,8,8,8,8,9,9,9,9,10,10,13,13,13,13,13,13,13,12,12,12,12,12,12,13,10,0,0,0
1705725375,12,12,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,19,19,19,19,19,19,19,19,19,10,10,16,16,16,16,16,16,15,14,14,14,14,14,14,11,10,0,0,0
1705725390,13,13,15,60,45,15,15,15,15,15,15,14,14,14,14,14,14,42,42,14,28,14,14,14,14,14,14,14,14,14,14,10,10,17,17,17,17,17,17,18,20,20,20,20,20,20,20,10,46,0,0
1705725405,19,19,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,14,14,14,14,14,12,12,12,12,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,11,10,0,0,0
1705725420,15,15,10,40,30,10,10,10,10,10,10,11,11,11,11,11,11,33,33,11,22,11,11,11,11,11,11,13,13,13,13,10,10,14,14,14,14,14,14,14,13,13,13,13,13,13,12,10,0,0,0
1705725435,13,13,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,18,18,18,18,18,19,19,19,19,10,10,12,12,12,12,12,12,12,13,13,13,13,13,13,14,10,0,0,0
1705725450,11,11,15,60,45,15,15,15,15,15,15,13,13,13,13,13,13,39,39,13,26,13,13,13,13,13,13,12,12,12,12,10,10,19,19,19,19,19,19,19,18,18,18,18,18,18,18,10,0,1,0
1705725465,15,15,19,76,57,19,19,19,19,19,19,21,21,21,21,21,21,63,63,21,42,21,9,9,9,9,9,10,10,10,10,10,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,23,0,0
1705725480,17,17,8,32,24,8,8,8,8,8,8,7,7,7,7,7,7,21,21,7,14,7,19,19,19,19,19,18,18,18,18,10,10,13,13,13,13,13,13,13,12,12,12,12,12,12,11,10,23,0,0
1705725495,9,9,15,60,45,15,15,15,15,15,15,16,16,16,16,16,16,48,48,16,32,16,16,16,16,16,16,16,16,16,16,10,10,18,18,18,18,18,18,18,16,16,16,16,16,16,16,10,23,0,0
1705725510,17,17,17,68,51,17,17,17,17,17,17,16,16,16,16,16,16,48,48,16,32,16,11,11,11,11,11,11,11,11,11,10,10,15,15,15,15,15,15,15,17,17,17,17,17,17,18,10,0,0,0
1705725525,20,20,18,72,54,18,18,18,18,18,18,19,19,19,19,19,19,57,57,19,38,19,17,17,17,17,17,18,18,18,18,10,10,10,10,10,10,10,10,10,12,12,12,12,12,12,10,10,0,0,0
1705725540,12,12,7,28,21,7,7,7,7,7,7,7,7,7,7,7,7,21,21,7,14,7,15,15,15,15,15,14,14,14,14,10,10,18,18,18,18,18,18,18,17,17,17,17,17,17,16,10,69,0,0
1705725555,9,9,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,15,15,15,15,15,15,15,15,15,10,10,14,14,14,14,14,14,14,13,13,13,13,13,13,16,10,46,0,0
1705725570,19,19,17,68,51,17,17,17,17,17,17,16,16,16,16,16,16,48,48,16,32,16,10,10,10,10,10,8,8,8,8,10,10,14,14,14,14,14,14,14,16,16,16,16,16,16,15,10,0,0,0
1705725585,14,14,15,60,45,15,15,15,15,15,15,13,12,12,12,12,12,36,36,12,24,12,18,18,18,18,18,19,19,19,19,10,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,23,0,0
1705725600,12,12,10,40,30,10,10,10,10,10,10,13,14,14,14,14,14,42,42,14,28,14,15,15,15,15,15,17,17,17,17,10,10,18,18,18,18,18,18,18,17,17,17,17,17,17,16,10,0,0,0
1705725615,12,12,18,72,54,18,18,18,18,18,18,17,17,17,17,17,17,51,51,17,34,17,8,8,8,8,8,7,7,7,7,10,10,11,11,11,11,11,11,11,12,12,12,12,12,12,14,10,0,0,0
1705725630,21,21,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,16,16,16,16,16,16,16,16,16,10,10,14,14,14,14,14,14,14,12,12,12,12,12,12,10,10,0,0,0
1705725645,6,6,12,44,33,11,11,11,11,11,11,12,12,12,12,12,12,36,36,12,24,12,17,17,17,17,17,15,15,15,15,10,10,14,14,14,14,14,14,14,14,14,14,14,14,14,15,10,23,0,0
1705725660,16,16,16,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,13,13,13,13,13,14,14,14,14,10,10,18,18,18,18,18,18,18,19,19,19,19,19,19,15,10,0,0,0
1705725675,16,16,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,7,7,7,7,7,9,9,9,9,10,10,8,8,8,8,8,8,8,9,9,9,9,9,9,14,10,0,0,0
1705725690,13,13,11,44,33,11,11,11,11,11,11,10,10,10,10,10,10,30,30,10,20,10,17,17,17,17,17,16,16,16,16,10,10,13,13,13,13,13,13,13,12,12,12,12,12,12,12,10,0,0,0
1705725705,10,10,12,48,36,12,12,12,12,12,12,13,13,13,13,13,13,39,39,13,26,13,17,17,17,17,17,17,17,17,17,10,10,17,17,17,17,17,17,17,18,18,18,18,18,18,15,10,23,0,0
1705725720,18,18,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,11,11,11,11,11,11,11,11,11,10,10,12,12,12,12,12,12,12,12,12,12,12,12,12,16,10,0,0,0
1705725735,16,16,13,52,39,13,13,13,13,13,13,10,10,10,10,10,10,30,30,10,20,10,17,17,17,17,17,16,16,16,16,10,10,15,15,15,15,15,15,15,15,15,15,15,15,15,14,10,0,0,0
1705725750,12,12,15,60,45,15,15,15,15,15,15,17,17,17,17,17,17,51,51,17,34,17,8,8,8,8,8,10,10,10,10,10,10,14,14,14,14,14,14,14,14,14,14,14,14,14,15,10,0,0,0
1705725765,13,13,14,56,42,14,14,14,14,14,14,15,15,15,15,15,15,45,45,15,30,15,18,18,18,18,18,16,16,16,16,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,0,0,0
1705725780,14,14,10,37,28,10,10,9,9,9,9,9,9,9,9,9,9,27,27,9,18,9,13,13,13,13,13,12,12,12,12,10,10,19,19,19,19,18,19,19,19,19,19,19,19,19,17,10,0,0,1
1705725795,16,16,16,67,50,16,16,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,16,16,16,16,16,16,16,16,16,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,0,0,0
1705725810,12,12,13,52,39,13,13,13,13,13,13,12,12,12,12,12,12,36,36,12,24,12,13,13,13,13,13,13,13,13,13,10,10,13,13,13,13,13,13,13,12,12,12,12,12,12,12,10,0,0,0
1705725825,11,11,14,56,42,14,14,14,14,14,14,13,13,13,13,13,13,39,39,13,26,13,14,14,14,14,14,17,17,17,17,10,10,16,16,16,16,16,16,16,17,17,17,17,17,17,15,10,0,0,0
1705725840,3,3,5,20,15,5,5,5,5,5,5,6,6,6,6,6,6,18,18,6,12,6,3,3,3,3,3,3,3,3,3,2,2,4,4,4,4,4,4,4,3,3,3,3,3,3,4,4,0,0,0
