time,payment_1,catalogue_2,front-end_3,front-end_4,front-end_5,front-end_6,front-end_7,catalogue_8,front-end_9,front-end_10,front-end_11,user_12,front-end_13,front-end_14,front-end_15,front-end_16,user_17,front-end_18,front-end_19,user_20,front-end_21,front-end_22,user_23,front-end_24,user_25,front-end_26,front-end_27,front-end_28,front-end_29,front-end_30,user_31,user_32,catalogue_33,front-end_34,front-end_35,front-end_36,front-end_37,orders_38,orders_39,payment_40,shipping_41,queue-master_42,queue-master_43,queue-master_44,queue-master_45,queue-master_46,front-end_47,front-end_48,carts_49,user-db_50,carts_51,orders-db_52,user_53
1705648695,10,14,14,11,11,8,11,11,11,11,20,20,20,20,20,12,12,12,12,12,12,12,10,17,68,51,17,17,17,17,17,17,10,19,19,19,19,17,17,17,17,17,17,51,51,17,34,17,0,0,0,0,0
1705648710,10,13,13,15,15,14,15,15,15,15,16,16,16,16,16,17,17,17,17,17,17,17,10,10,40,30,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,27,27,9,18,9,0,0,0,0,0
1705648725,10,11,11,16,16,12,16,16,16,16,11,11,11,11,11,18,18,18,18,18,18,18,10,14,56,42,14,14,14,14,14,14,10,17,17,17,17,12,12,12,12,12,12,36,36,12,24,12,0,2,0,0,0
1705648740,10,14,14,13,13,21,13,13,13,13,11,11,11,11,11,8,8,8,8,8,8,8,10,11,44,33,11,11,11,11,11,11,10,13,13,13,13,14,14,14,14,14,14,42,42,14,28,14,0,0,0,0,0
1705648755,10,18,18,13,13,13,13,13,13,13,11,11,11,11,11,13,13,13,13,13,13,13,10,21,84,63,21,21,21,21,21,21,10,11,11,11,11,21,21,21,21,21,21,63,63,21,42,21,0,0,0,0,0
1705648770,10,14,14,11,11,11,11,11,11,11,14,14,14,14,14,11,11,11,11,11,11,11,10,11,44,33,11,11,11,11,11,11,10,14,14,14,14,11,11,11,11,11,11,33,33,11,22,11,0,0,0,0,0
1705648785,10,11,11,14,14,11,14,14,14,14,20,20,20,20,20,17,17,17,17,17,17,16,10,11,44,33,11,11,11,11,11,11,10,16,16,16,16,11,11,11,11,11,11,33,33,11,22,11,23,0,0,0,0
1705648800,10,11,11,17,17,8,17,17,17,17,11,11,11,11,11,17,17,17,17,17,17,18,10,11,44,33,11,11,11,11,11,11,10,13,13,13,13,10,10,10,10,10,10,30,30,10,20,10,0,0,0,0,0
1705648815,10,9,9,11,11,23,11,11,11,11,10,10,10,10,10,8,8,8,8,8,8,8,10,11,44,33,11,11,11,11,11,11,10,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,23,0,0,0,0
1705648830,10,20,20,12,12,12,12,12,12,12,8,8,8,8,8,13,13,13,13,13,13,12,10,19,76,57,19,19,19,19,19,19,10,8,8,8,8,19,19,19,19,19,19,57,57,19,38,19,23,0,0,0,0
1705648845,10,13,13,12,12,10,12,12,12,12,15,15,15,15,15,12,12,12,12,12,12,13,10,16,64,48,16,16,16,16,16,16,10,14,14,14,14,15,15,15,15,15,15,45,45,15,30,15,23,0,0,0,0
1705648860,10,13,13,11,11,12,11,11,11,11,22,22,22,22,22,12,12,12,12,12,12,12,10,10,40,30,10,10,10,10,10,10,10,16,16,16,16,10,10,10,10,10,10,30,30,10,20,10,0,0,0,0,0
1705648875,10,11,11,20,20,6,20,20,20,20,15,15,15,15,15,20,20,20,20,20,20,20,10,9,36,27,9,9,9,9,9,9,10,14,14,14,14,9,9,9,9,9,9,27,27,9,18,9,0,0,0,0,0
1705648890,10,10,10,11,11,22,11,11,11,11,8,8,8,8,8,10,10,10,10,10,10,10,10,7,28,21,7,7,7,7,7,7,10,15,15,15,15,7,7,7,7,7,7,21,21,7,14,7,0,0,6,0,0
1705648905,10,11,11,13,13,17,13,13,13,13,7,7,7,7,7,12,12,12,12,12,12,12,10,23,92,69,23,23,23,23,23,23,10,7,7,7,7,24,24,24,24,24,24,72,72,24,48,24,23,0,0,0,0
1705648920,10,20,20,11,11,11,11,11,11,11,12,12,12,12,12,11,11,11,11,11,11,11,10,13,52,39,13,13,13,13,13,13,10,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,0,0,0,0,0
1705648935,10,13,13,13,13,13,13,13,13,13,15,15,15,15,15,13,13,13,13,13,13,13,10,13,52,39,13,13,13,13,13,13,10,15,15,15,15,13,13,13,13,13,13,39,39,13,26,13,0,0,0,0,0
1705648950,10,13,13,15,15,4,15,15,15,15,21,21,21,21,21,21,21,21,21,21,21,20,10,11,44,33,11,11,11,11,11,11,10,18,18,18,18,9,9,9,9,9,9,27,27,9,18,9,0,0,0,0,0
1705648965,10,8,8,13,13,19,13,13,13,13,9,9,9,9,9,7,7,7,7,7,7,8,10,5,20,15,5,5,5,5,5,5,10,9,9,9,9,7,7,7,7,7,7,21,21,7,14,7,0,0,0,1,0
1705648980,10,9,9,13,13,18,13,13,13,13,8,8,8,8,8,13,13,13,13,13,13,13,10,20,80,60,20,20,20,20,20,20,10,11,11,11,11,20,19,20,19,19,19,57,57,19,38,19,0,0,0,0,0
1705648995,10,22,22,10,10,7,10,10,10,10,13,13,13,13,13,10,10,10,10,10,10,10,10,17,68,51,17,17,17,17,17,17,10,10,10,10,10,16,17,16,17,17,17,51,51,17,34,17,0,0,0,0,0
1705649010,10,16,16,13,13,13,13,13,13,13,14,14,14,14,14,15,15,15,15,15,15,14,10,10,40,30,10,10,10,10,10,10,10,14,14,14,14,9,9,9,9,9,9,27,27,9,18,9,0,0,0,0,0
1705649025,10,6,6,15,15,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,10,11,44,33,11,11,11,11,11,11,10,17,17,17,17,13,13,13,13,13,13,39,39,13,26,13,46,0,0,0,0
1705649040,10,12,12,11,11,15,11,11,11,11,16,16,16,16,16,9,9,9,9,9,9,9,10,18,72,54,18,18,18,18,18,18,10,15,15,15,15,11,11,11,11,11,11,33,33,11,22,11,23,0,0,0,0
1705649055,10,18,18,15,15,14,15,15,15,15,10,10,10,10,10,15,15,15,15,15,15,15,10,9,36,27,9,9,9,9,9,9,10,10,10,10,10,16,16,16,16,16,16,48,48,16,32,16,0,0,0,0,0
1705649070,10,11,11,11,11,11,11,11,11,11,16,16,16,16,16,11,11,11,11,11,11,11,10,17,68,51,17,17,17,17,17,17,10,15,15,15,15,17,16,17,16,16,16,48,48,16,32,16,0,0,0,0,0
1705649085,10,13,13,17,17,11,17,17,17,17,14,13,13,13,13,18,18,18,18,18,18,18,10,9,36,27,9,9,9,9,9,9,10,15,15,15,15,9,10,9,10,10,10,30,30,10,20,10,0,0,0,0,0
1705649100,10,9,9,12,12,19,12,12,12,12,12,13,13,13,13,12,12,12,12,12,12,12,10,15,60,45,15,15,15,15,15,15,10,13,13,13,13,15,14,14,14,14,14,42,42,14,28,14,0,0,0,0,0
1705649115,10,21,21,12,12,12,12,12,12,12,6,6,6,6,6,12,12,12,12,12,12,12,10,17,68,51,17,17,17,17,17,17,10,7,7,7,7,17,18,18,18,18,18,54,54,18,36,18,0,0,0,0,0
1705649130,10,14,14,12,12,11,12,12,12,12,17,17,17,17,17,13,13,13,13,13,13,13,10,13,52,39,13,13,13,13,13,13,10,15,15,15,15,12,12,12,12,12,12,36,36,12,24,12,23,0,0,0,0
1705649145,10,11,11,14,14,13,14,14,14,14,15,15,15,15,15,14,14,14,14,14,14,14,10,8,32,24,8,8,8,8,8,8,10,16,16,16,16,9,9,9,9,9,9,27,27,9,18,9,69,0,0,0,0
1705649160,10,8,8,14,14,13,14,14,14,14,14,14,14,14,14,13,13,13,13,13,13,13,10,11,44,33,11,11,11,11,11,11,10,15,15,15,15,11,11,11,11,11,11,33,33,11,22,11,23,0,0,0,0
1705649175,10,12,12,12,12,16,12,12,12,12,9,9,9,9,9,11,11,11,11,11,11,11,10,15,60,45,15,15,15,15,15,15,10,9,9,9,9,15,15,15,15,15,15,45,45,15,30,15,23,0,0,0,0
1705649190,10,16,16,11,11,8,11,11,11,11,20,20,20,20,20,14,14,14,14,14,14,13,10,15,60,45,15,15,15,15,15,15,10,19,19,19,19,15,15,15,15,15,15,45,45,15,30,15,0,0,0,0,0
1705649205,10,13,13,17,17,16,17,17,17,17,9,9,9,9,9,15,15,15,15,15,15,16,10,11,44,33,11,11,11,11,11,11,10,5,5,5,5,10,10,10,10,10,10,30,30,10,20,10,0,0,0,0,0
1705649220,10,13,13,15,15,12,15,15,15,15,12,12,12,12,12,14,14,14,14,14,14,14,10,16,64,48,16,16,16,16,16,16,10,13,13,13,13,15,15,15,15,15,15,45,45,15,30,15,0,0,0,0,0
1705649235,10,16,16,11,11,14,11,11,11,11,13,13,13,13,13,12,12,12,12,12,12,12,10,12,48,36,12,12,12,12,12,12,10,15,15,15,15,13,13,13,13,13,13,39,39,13,26,13,0,0,0,0,0
1705649250,10,13,13,12,12,15,12,12,12,12,13,13,13,13,13,14,14,14,14,14,14,14,10,13,52,39,13,13,13,13,13,13,10,15,15,15,15,13,13,13,13,13,13,39,39,13,26,13,23,0,0,0,0
1705649265,10,12,12,12,12,13,12,12,12,12,12,12,12,12,12,9,9,9,9,9,9,9,10,14,56,42,14,14,14,14,14,14,10,12,12,12,12,15,15,15,15,15,15,45,45,15,30,15,0,0,0,0,0
1705649280,10,12,12,14,14,10,14,14,14,14,18,18,18,18,18,16,16,16,16,16,16,16,10,13,52,39,13,13,13,13,13,13,10,17,17,17,17,13,13,13,13,13,13,39,39,13,26,13,23,0,0,0,0
1705649295,10,14,14,17,17,15,17,17,17,17,11,11,11,11,11,15,15,15,15,15,15,15,10,11,44,33,11,11,11,11,11,11,10,9,9,9,9,8,8,8,8,8,8,24,24,8,16,8,0,0,0,0,0
1705649310,10,10,10,11,11,17,11,11,11,11,12,12,12,12,12,11,11,11,11,11,11,11,10,17,68,51,17,17,17,17,17,17,10,15,15,15,15,20,19,19,19,19,19,57,57,19,38,19,0,0,0,0,0
1705649325,10,21,21,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,15,60,45,15,15,15,15,15,15,10,10,10,10,10,15,16,16,16,16,16,48,48,16,32,16,0,0,0,0,0
1705649340,10,12,12,13,13,11,13,13,13,13,18,18,18,18,18,14,14,14,14,14,14,14,10,9,36,27,9,9,9,9,9,9,10,16,16,16,16,9,9,9,9,9,9,27,27,9,18,9,0,0,0,0,0
1705649355,10,7,7,16,16,12,16,16,16,16,16,16,16,16,16,18,18,18,18,18,18,18,10,15,60,45,15,15,15,15,15,15,10,10,10,10,10,9,9,9,9,9,9,27,27,9,18,9,0,0,0,0,0
1705649370,10,13,13,14,14,12,14,14,14,14,11,11,11,11,11,14,14,14,14,14,14,13,10,9,36,27,9,9,9,9,9,9,10,16,16,16,16,15,15,15,15,15,15,45,45,15,30,15,0,0,0,0,0
1705649385,10,12,12,10,10,18,10,10,10,10,10,10,10,10,10,7,7,7,7,7,7,8,10,11,44,33,11,11,11,11,11,11,10,13,13,13,13,11,11,11,11,11,11,33,33,11,22,11,23,0,0,0,0
1705649400,10,16,16,15,15,10,15,15,15,15,17,17,17,17,17,16,16,16,16,16,16,16,10,19,76,57,19,19,19,19,19,19,10,13,13,13,13,19,17,17,17,17,17,51,51,17,34,17,0,0,0,0,0
1705649415,10,15,15,13,13,16,13,13,13,13,12,12,12,12,12,12,12,12,12,12,12,12,10,11,44,33,11,11,11,11,11,11,10,15,15,15,15,11,13,13,13,13,13,39,39,13,26,13,0,0,0,0,0
1705649430,10,11,11,15,15,16,15,15,15,15,12,12,12,12,12,15,15,15,15,15,15,15,10,17,68,51,17,17,17,17,17,17,10,12,12,12,12,17,17,17,17,17,17,51,51,17,34,17,0,0,0,0,0
1705649445,10,17,17,13,13,9,13,13,13,13,14,14,14,14,14,15,15,15,15,15,15,15,10,11,43,33,11,11,11,11,11,11,10,12,12,12,12,10,10,10,10,10,10,30,30,10,20,10,0,0,0,0,1
1705649460,10,13,13,12,12,17,12,12,12,12,11,11,11,11,11,12,12,12,12,12,12,12,10,13,52,39,13,13,13,13,13,13,10,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,0,0,0,0,0
1705649475,10,12,12,13,13,13,13,13,13,13,16,16,16,16,16,11,11,11,11,11,11,11,10,12,48,36,12,12,12,12,12,12,10,16,16,16,16,12,12,12,12,12,12,36,36,12,24,12,0,0,0,0,0
1705649490,10,16,16,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,14,56,42,14,14,14,14,14,14,10,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,0,0,0,0,0
1705649505,10,13,13,15,15,13,15,15,15,15,16,16,16,16,16,17,17,17,17,17,17,17,10,16,64,48,16,16,16,16,16,16,10,15,15,15,15,14,14,14,14,14,14,42,42,14,28,14,23,0,0,0,0
1705649520,10,10,10,16,16,16,16,16,16,16,9,9,9,9,9,14,14,14,14,14,14,14,10,14,56,42,14,14,14,14,14,14,10,10,10,10,10,15,15,15,15,15,15,45,45,15,30,15,0,0,0,0,0
1705649535,10,21,21,10,10,12,10,10,10,10,9,9,9,9,9,10,10,10,10,10,10,10,10,16,64,48,16,16,16,16,16,16,10,9,9,9,9,17,17,17,17,17,17,51,51,17,34,17,0,0,0,0,0
1705649550,10,11,11,11,11,6,11,11,11,11,19,19,19,19,19,16,16,16,16,16,16,16,10,11,44,33,11,11,11,11,11,11,10,18,18,18,18,10,10,10,10,10,10,30,30,10,20,10,23,0,0,0,0
1705649565,10,8,8,14,14,18,14,14,14,14,12,12,12,12,12,10,10,10,10,10,9,9,10,7,28,21,7,7,7,7,7,7,10,12,12,12,12,8,8,8,8,8,8,24,24,8,16,8,0,0,0,0,0
1705649580,10,9,9,14,14,13,14,14,14,14,14,14,14,14,14,13,13,13,13,13,14,14,10,18,72,54,18,18,18,18,18,18,10,14,14,14,14,17,17,17,17,17,17,51,51,17,34,17,0,0,0,0,0
1705649595,10,21,21,16,16,18,16,16,16,16,9,9,9,9,9,16,16,16,16,16,16,16,10,10,40,30,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,33,33,11,22,11,0,0,0,0,0
1705649610,10,12,12,6,6,5,6,6,6,6,15,15,15,15,15,6,6,6,6,6,6,6,10,20,80,60,20,20,20,20,20,20,10,10,10,10,10,20,20,20,20,20,20,60,60,20,40,20,46,0,0,0,0
1705649625,10,15,15,13,13,9,13,13,13,13,22,22,22,22,22,19,19,19,19,19,19,19,10,5,20,15,5,5,5,5,5,5,10,16,16,16,16,4,4,4,4,4,4,12,12,4,8,4,0,0,0,0,0
1705649640,10,4,4,13,13,14,13,13,13,13,10,10,10,10,10,13,13,13,13,13,13,13,10,9,36,27,9,9,9,9,9,9,10,18,18,18,18,9,9,9,9,9,9,27,27,9,18,9,23,0,0,0,0
1705649655,10,12,12,18,18,16,18,18,18,18,5,5,5,5,5,12,12,12,12,12,12,12,10,14,56,42,14,14,14,14,14,14,10,7,7,7,7,15,15,15,15,15,15,45,45,15,30,15,69,0,0,0,0
1705649670,10,14,14,10,10,14,10,10,10,10,12,12,12,12,12,11,11,11,11,11,11,11,10,18,72,54,18,18,18,18,18,18,10,10,10,10,10,17,17,17,17,17,17,51,51,17,34,17,23,0,0,0,0
1705649685,10,19,19,14,14,11,14,14,14,14,14,14,14,14,14,17,17,17,17,17,17,16,10,12,48,36,12,12,12,12,12,12,10,15,15,15,15,12,12,12,12,12,12,36,36,12,24,12,0,0,0,0,0
1705649700,10,12,12,11,11,16,11,11,11,11,18,18,18,18,18,8,8,8,8,8,8,9,10,13,52,39,13,13,13,13,13,13,10,19,19,19,19,14,14,14,14,14,14,42,42,14,28,14,23,0,0,0,0
1705649715,10,14,14,15,15,14,15,15,15,15,13,13,13,13,13,17,17,17,17,17,17,17,10,15,60,45,15,15,15,15,15,15,10,9,9,9,9,13,13,13,13,13,13,39,39,13,26,13,23,0,0,0,0
1705649730,6,9,9,11,11,7,11,11,11,11,8,8,8,8,8,8,8,8,8,8,8,8,6,6,24,18,6,6,6,6,6,6,8,11,11,11,11,7,7,7,7,7,7,21,21,7,14,7,23,0,0,0,0
