time,front-end_1,user_2,front-end_3,front-end_4,front-end_5,front-end_6,front-end_7,front-end_8,front-end_9,front-end_10,user_11,front-end_12,front-end_13,front-end_14,front-end_15,front-end_16,user_17,user_18,orders_19,payment_20,orders_21,shipping_22,queue-master_23,queue-master_24,queue-master_25,queue-master_26,queue-master_27,front-end_28,front-end_29,catalogue_30,payment_31,catalogue_32,front-end_33,user_34,carts_35,front-end_36,user_37,front-end_38,front-end_39,user_40,front-end_41,front-end_42,front-end_43,front-end_44,front-end_45,catalogue_46,front-end_47,front-end_48,front-end_49,orders-db_50,user_51
1705721610,12,12,12,12,12,12,12,12,12,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,20,20,10,46,14,14,14,14,14,14,14,14,14,14,14,14,14,14,0,0
1705721625,21,21,21,21,21,21,21,21,21,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,14,14,10,0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0,0
1705721640,12,12,12,12,12,12,12,12,12,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,13,13,10,0,18,18,18,18,18,18,18,18,18,18,18,18,18,18,0,0
1705721655,16,16,16,16,16,16,16,16,16,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,20,20,10,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,0,0
1705721670,15,15,15,15,15,15,15,15,15,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,12,12,10,0,19,19,19,19,19,19,19,19,19,19,19,19,19,19,0,0
1705721685,14,14,14,14,14,14,14,14,14,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,10,16,16,10,0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0,0
1705721700,19,19,19,19,19,19,19,19,19,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,15,15,10,23,19,19,19,19,19,19,19,19,19,19,19,19,19,19,0,0
1705721715,11,11,11,11,11,11,11,11,11,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,18,18,10,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,0,0
1705721730,18,18,18,18,18,18,18,18,18,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,17,17,10,0,15,15,15,15,15,15,15,15,15,15,15,15,15,15,0,0
1705721745,15,15,15,15,15,15,15,15,15,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,11,11,10,0,19,19,19,19,19,19,19,19,19,19,19,19,19,19,0,0
1705721760,18,18,18,18,18,18,18,18,18,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,10,15,15,10,23,15,15,15,15,15,15,15,15,15,15,15,15,15,15,0,0
1705721775,11,11,11,11,11,11,11,11,11,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,15,15,10,0,16,16,16,16,16,16,16,16,16,16,16,16,16,16,0,0
1705721790,15,15,15,15,15,15,15,15,15,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,18,18,10,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,0
1705721805,14,14,14,14,14,14,14,14,14,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,14,14,10,0,15,15,15,15,15,15,15,15,15,15,15,15,15,15,0,0
1705721820,17,17,17,17,17,17,17,17,17,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,10,12,12,10,23,16,16,16,16,16,16,16,16,16,16,16,16,16,16,0,0
1705721835,13,13,13,13,13,13,13,13,13,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,12,12,10,46,18,18,18,18,18,18,18,18,18,18,18,18,18,18,0,0
1705721850,16,16,16,16,16,16,16,16,16,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,10,22,22,10,0,12,12,12,12,12,12,12,12,12,12,12,12,12,11,0,0
1705721865,20,20,20,20,20,20,20,20,20,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,10,12,12,10,0,17,17,17,17,17,17,17,17,17,17,17,17,17,18,0,0
1705721880,12,12,12,12,12,12,12,12,12,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,10,10,16,16,10,23,18,18,18,18,18,18,18,18,18,18,18,18,18,18,0,0
1705721895,17,17,17,17,17,17,17,17,17,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,15,15,10,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,0,0
1705721910,9,9,9,9,9,9,9,9,9,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,15,15,10,0,15,15,15,15,15,15,15,15,15,15,15,15,15,15,0,0
1705721925,18,18,18,18,18,18,18,18,18,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,18,18,10,0,13,13,13,13,13,13,13,13,13,13,13,13,13,12,0,0
1705721940,17,17,17,17,17,17,17,17,17,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,10,10,10,0,20,20,20,20,20,20,20,19,19,19,19,19,19,19,0,0
1705721955,16,16,16,16,16,16,16,16,16,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,22,22,10,23,16,16,16,16,16,16,16,17,17,17,17,17,17,18,0,0
1705721970,15,15,15,15,15,15,15,15,15,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,14,14,10,23,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0,0
1705721985,15,15,15,15,15,15,15,15,15,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,15,15,10,46,16,16,16,16,16,16,16,16,16,16,16,16,16,16,0,0
1705722000,13,13,13,13,13,13,13,13,13,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,16,16,10,23,14,14,14,14,14,14,14,14,14,14,14,14,14,14,0,0
1705722015,12,12,12,12,12,12,12,12,12,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,10,12,12,10,0,15,15,15,15,15,15,15,15,15,15,15,15,15,14,0,0
1705722030,18,18,18,18,18,18,18,18,18,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,16,16,10,23,18,18,18,18,18,18,18,18,18,18,18,18,18,19,0,0
1705722045,20,20,20,20,20,20,20,20,20,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,12,12,10,0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0
1705722060,14,14,14,14,14,14,14,14,14,18,72,54,18,18,18,18,18,18,18,18,18,17,17,17,51,51,17,34,17,10,10,19,19,10,0,16,16,16,16,16,16,16,16,16,16,16,16,16,16,1,0
1705722075,17,17,17,17,17,17,17,17,17,12,48,36,12,12,12,12,12,12,12,12,12,13,13,13,39,39,13,26,13,10,10,18,18,10,0,16,16,16,16,16,16,16,16,16,16,16,16,16,16,0,0
1705722090,17,17,17,17,17,17,17,17,17,19,75,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,10,12,12,10,23,19,19,19,19,19,19,19,19,19,19,19,19,19,19,0,1
1705722105,12,12,12,12,12,12,12,12,12,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,10,19,19,10,0,15,15,15,15,15,15,15,15,15,15,15,15,15,15,0,0
1705722120,14,14,14,14,14,14,14,14,14,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,10,15,15,10,0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0,0
1705722135,16,16,16,16,16,16,16,16,16,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,15,15,10,23,16,16,16,16,16,16,16,16,16,16,16,16,16,16,0,0
1705722150,20,20,20,20,20,20,20,20,20,16,64,48,16,16,16,16,16,16,16,16,16,16,15,15,45,45,15,30,15,10,10,14,14,10,0,18,18,18,18,18,18,18,18,18,17,17,17,17,17,0,0
1705722165,11,11,11,11,11,11,11,11,11,16,64,48,16,16,16,16,16,16,16,16,16,16,17,17,51,51,17,34,17,10,10,14,14,10,0,13,13,13,13,13,13,13,13,13,14,14,14,14,14,0,0
1705722180,16,16,16,16,16,16,16,16,16,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,21,21,10,0,15,15,15,15,15,15,15,15,15,14,14,14,14,14,0,0
1705722195,16,16,16,16,16,16,16,16,16,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,10,10,10,46,17,17,17,17,17,17,17,17,17,18,18,18,18,18,0,0
1705722210,15,15,15,15,15,14,14,14,14,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,17,17,10,0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0
1705722225,14,14,14,14,14,15,15,15,15,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,11,11,10,0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0
1705722240,13,13,13,13,13,13,13,13,13,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,10,19,19,10,23,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0
1705722255,19,19,19,19,19,19,19,19,19,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,15,15,10,23,18,18,18,18,18,18,18,18,18,18,18,18,18,18,0,0
1705722270,13,13,13,13,13,13,13,13,13,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,11,11,10,0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0
1705722285,17,17,17,17,17,17,17,17,17,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,17,17,10,0,19,19,19,19,19,19,19,19,19,19,19,19,19,19,0,0
1705722300,13,13,13,13,13,13,13,13,13,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,11,11,10,23,15,15,15,15,15,15,15,15,15,15,15,15,15,15,0,0
1705722315,13,13,13,13,13,13,13,13,13,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,10,19,18,10,0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0,0
1705722330,15,15,15,15,15,15,15,15,15,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,10,10,16,17,10,0,16,16,16,16,16,16,16,15,15,15,15,15,15,15,0,0
1705722345,14,14,14,14,14,14,14,14,14,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,10,14,14,10,0,10,10,10,10,10,10,10,11,11,11,11,11,11,11,0,0
1705722360,17,17,17,17,17,17,17,17,17,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,15,15,10,23,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0
1705722375,15,15,15,15,15,15,15,15,15,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,10,10,14,14,10,0,16,16,16,16,16,16,16,16,16,15,15,15,15,15,0,0
1705722390,14,14,14,14,14,14,14,14,14,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,15,15,10,0,14,14,14,14,14,14,14,14,14,15,15,15,15,15,0,0
1705722405,14,14,14,14,14,14,14,14,14,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,10,16,16,10,23,16,16,16,16,16,16,16,16,16,16,16,16,16,16,0,0
1705722420,15,15,15,15,15,15,15,15,15,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,14,14,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0
1705722435,17,17,17,17,17,17,17,17,17,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,14,14,10,0,24,24,24,23,23,23,23,23,23,23,23,23,23,23,0,0
1705722450,14,14,14,14,14,14,14,14,14,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,16,16,10,0,9,9,9,10,10,10,10,10,10,10,10,10,10,10,0,0
1705722465,20,20,20,20,20,20,20,20,20,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,15,15,10,23,16,16,16,16,16,16,15,15,15,15,15,15,15,15,0,0
1705722480,11,11,11,11,11,11,11,11,11,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,16,16,10,46,17,17,17,17,17,17,18,18,18,18,18,18,18,18,0,0
1705722495,15,15,15,15,15,15,15,15,15,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,10,18,18,10,0,16,16,16,16,16,16,16,16,16,16,16,16,16,16,0,0
1705722510,15,15,15,15,15,15,15,15,15,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,12,12,10,23,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0
1705722525,18,17,17,17,17,17,17,17,17,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,16,16,10,0,22,22,22,22,22,22,22,22,22,22,22,22,22,22,0,0
1705722540,10,11,11,11,11,11,11,11,11,21,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,10,10,12,12,10,23,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0,0
1705722555,18,18,18,18,18,18,18,18,18,8,36,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,9,18,9,10,10,20,20,10,23,19,18,18,18,18,18,18,18,18,18,18,18,18,18,0,0
1705722570,15,15,15,15,15,15,15,15,15,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,10,10,12,12,10,23,12,13,13,13,13,13,11,11,11,11,11,11,11,11,0,0
1705722585,12,12,12,12,12,12,12,12,12,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,19,19,10,0,12,12,12,12,12,12,14,14,14,14,14,14,14,14,0,0
1705722600,19,19,19,19,19,19,19,19,19,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,10,11,11,10,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,0,0
1705722615,16,16,16,16,16,16,16,16,16,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,14,14,10,23,20,20,20,20,20,20,20,20,20,20,20,20,20,19,0,0
1705722630,13,13,13,13,13,13,13,13,13,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,10,10,17,17,10,46,16,16,16,16,16,16,16,16,16,16,16,16,16,17,0,0
1705722645,2,2,2,2,2,2,2,2,2,5,20,15,5,5,5,5,5,5,5,5,5,5,5,5,15,15,5,10,5,2,2,3,3,4,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0
