time,front-end_1,user_2,front-end_3,front-end_4,front-end_5,front-end_6,front-end_7,user_8,user_9,orders_10,payment_11,orders_12,shipping_13,queue-master_14,queue-master_15,queue-master_16,queue-master_17,queue-master_18,front-end_19,front-end_20,user_21,catalogue_22,front-end_23,front-end_24,user_25,front-end_26,front-end_27,front-end_28,front-end_29,front-end_30,front-end_31,front-end_32,catalogue_33,front-end_34,user_35,front-end_36,front-end_37,user_38,front-end_39,front-end_40,front-end_41,front-end_42,front-end_43,catalogue_44,front-end_45,front-end_46,front-end_47,payment_48,carts_49,user_50,user_51,user_52
1705757190,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,15,15,20,20,20,20,20,20,20,20,20,10,20,20,20,20,20,20,19,19,19,19,19,19,19,19,10,23,0,0,0
1705757205,23,92,69,23,23,23,23,23,23,23,23,23,23,23,23,69,69,23,46,23,10,12,12,12,12,12,12,12,12,12,12,12,10,17,17,17,17,17,17,18,18,18,18,18,18,18,18,10,0,0,0,0
1705757220,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,10,19,19,13,13,13,13,13,12,12,12,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0
1705757235,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,12,12,11,11,11,11,11,12,12,12,12,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,23,0,0,0
1705757250,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,16,16,20,20,20,20,20,20,20,20,20,10,20,20,20,20,20,20,20,20,20,20,20,20,20,20,10,23,0,0,0
1705757265,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,12,12,11,11,11,11,11,11,11,11,11,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,0,0,0,0
1705757280,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,20,20,14,14,14,14,14,14,14,14,14,10,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,0,0,0,0
1705757295,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,11,11,18,18,18,18,18,18,18,18,18,10,21,21,21,21,21,21,21,21,21,21,21,21,21,20,10,0,0,0,0
1705757310,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,12,12,17,17,17,17,17,17,17,17,17,10,14,14,14,14,14,14,14,14,14,14,14,14,14,15,10,0,0,0,0
1705757325,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,22,22,12,12,12,12,12,12,12,12,12,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,0,0,0,0
1705757340,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,12,12,18,18,18,18,18,18,18,18,18,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,0,0,0,0
1705757355,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,13,13,21,21,21,21,21,21,21,21,21,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,23,0,0,0
1705757370,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,17,17,9,9,9,9,9,9,9,9,9,10,21,21,21,21,21,21,21,21,21,21,21,21,21,21,10,0,0,0,0
1705757385,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,21,21,17,17,17,17,17,17,17,17,17,10,7,7,7,7,7,7,7,7,7,7,7,7,7,7,10,23,0,0,0
1705757400,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,12,12,17,17,17,17,17,16,16,16,16,10,22,22,22,22,22,22,22,21,21,21,21,21,21,21,10,0,0,0,0
1705757415,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,16,16,10,10,10,10,10,11,11,11,11,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,10,0,0,0,0
1705757430,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,16,16,15,15,15,15,15,15,15,15,15,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,0,0,0,0
1705757445,8,32,24,8,8,8,8,8,8,8,8,8,8,8,8,24,24,8,16,8,10,12,12,21,21,21,21,21,21,21,21,21,10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,0,0,0,0
1705757460,22,88,66,22,22,22,22,22,22,22,22,22,22,22,22,66,66,22,44,22,10,14,14,9,9,9,9,9,9,9,9,9,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,23,0,0,0
1705757475,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,18,18,15,15,15,15,15,15,15,15,15,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,23,0,0,0
1705757490,9,36,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,9,18,9,10,13,13,17,17,17,17,17,17,17,17,17,10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,0,0,0,0
1705757505,24,96,72,24,24,24,24,24,24,24,24,24,24,24,24,72,72,24,48,24,10,15,15,16,16,16,16,16,16,16,16,16,10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,23,0,0,0
1705757520,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,16,16,12,12,12,12,12,12,12,12,12,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,0,0,0,0
1705757535,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,10,16,16,16,16,16,16,16,16,16,16,16,10,19,19,19,19,19,19,19,19,19,19,19,19,19,19,10,69,0,0,0
1705757550,21,84,63,21,21,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,10,14,14,20,20,20,20,20,20,20,20,20,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,0,0,0,0
1705757565,16,61,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,14,14,14,14,14,14,14,14,14,14,14,10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,69,0,0,0
1705757580,13,55,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,19,19,12,12,12,12,12,12,12,12,12,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,46,0,0,0
1705757595,15,60,45,15,15,15,15,15,14,15,15,15,15,15,15,45,45,15,30,15,10,15,15,17,17,17,17,17,17,17,17,17,10,19,19,19,19,19,19,19,19,19,19,19,19,19,19,10,0,0,0,1
1705757610,15,60,45,15,15,15,15,15,15,15,15,14,14,14,14,42,42,14,28,14,10,11,11,11,11,11,11,11,11,11,11,11,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,0,0,0,0
1705757625,14,56,42,14,14,14,14,14,14,14,14,15,15,15,15,45,45,15,30,15,10,18,18,17,17,17,17,17,17,17,17,17,10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,0,0,0,0
1705757640,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,10,11,11,14,14,14,14,14,14,14,14,14,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,0,0,0,0
1705757655,8,32,24,8,8,8,8,8,8,8,8,8,8,8,8,24,24,8,16,8,10,20,20,17,17,17,17,17,17,17,17,17,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,0,0,0,0
1705757670,3,12,9,3,3,3,3,3,3,3,3,3,3,3,3,9,9,3,6,3,2,2,2,9,9,9,9,9,9,9,9,9,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,0,0,0,0
