time,front-end_1,user_2,front-end_3,front-end_4,user_5,front-end_6,front-end_7,user_8,front-end_9,front-end_10,front-end_11,front-end_12,front-end_13,front-end_14,front-end_15,front-end_16,front-end_17,front-end_18,front-end_19,catalogue_20,front-end_21,front-end_22,front-end_23,front-end_24,user_25,front-end_26,front-end_27,front-end_28,catalogue_29,front-end_30,front-end_31,user_32,user_33,orders_34,payment_35,orders_36,shipping_37,queue-master_38,queue-master_39,queue-master_40,queue-master_41,queue-master_42,front-end_43,front-end_44,payment_45,user_46,catalogue_47,front-end_48,carts_49,user-db_50
1705790070,13,13,13,13,13,13,20,20,20,20,20,13,20,20,20,13,20,13,13,13,13,13,13,13,52,39,13,13,10,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,13,13,23,0
1705790085,19,19,19,19,19,19,11,11,11,11,11,19,11,11,11,19,11,19,19,19,19,19,19,20,80,60,20,20,10,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,10,10,13,13,23,0
1705790100,16,16,16,16,16,16,21,21,21,21,21,16,21,21,21,16,21,16,16,16,16,16,16,11,44,33,11,11,10,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,10,21,21,23,0
1705790115,15,15,15,15,15,15,10,10,10,10,10,15,10,10,10,15,10,15,15,15,15,15,15,18,69,52,18,18,10,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,12,12,0,0
1705790130,12,12,12,12,12,12,17,17,17,17,17,12,17,17,17,12,17,12,12,12,12,12,12,15,63,47,15,15,10,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,18,18,23,0
1705790145,19,19,19,19,19,19,16,16,16,16,16,19,16,16,16,19,16,19,19,19,19,19,19,15,60,45,15,15,10,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,13,13,46,0
1705790160,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,18,72,54,18,18,10,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,10,19,19,0,0
1705790175,14,14,14,14,14,14,17,17,17,17,17,14,17,17,17,14,17,14,14,14,14,14,14,17,68,51,17,17,10,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,13,13,0,0
1705790190,17,17,17,17,17,17,14,14,14,14,14,17,14,14,14,17,14,17,17,17,17,17,17,13,52,39,13,13,10,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,19,19,23,0
1705790205,15,15,15,15,15,15,14,14,14,14,14,15,14,14,14,15,14,15,15,15,15,15,15,19,76,57,19,19,10,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,10,17,17,0,0
1705790220,13,13,13,13,13,13,19,19,19,19,19,13,19,19,19,13,19,13,13,13,13,13,13,13,52,39,13,13,10,13,13,13,13,12,12,12,12,12,12,36,36,12,24,12,10,10,15,15,69,0
1705790235,20,20,20,20,20,20,15,15,15,15,15,20,15,15,15,20,15,20,19,19,19,19,19,15,60,45,15,15,10,15,15,15,15,16,16,16,16,16,16,48,48,16,32,16,10,10,12,12,0,0
1705790250,15,15,15,15,15,15,13,13,13,13,13,15,13,13,13,15,13,15,16,16,16,16,16,17,68,51,17,17,10,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,16,16,0,0
1705790265,14,14,14,14,14,14,14,14,14,14,14,13,14,14,14,13,14,13,13,13,13,13,13,16,64,48,16,16,10,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,17,17,23,0
1705790280,11,11,11,11,11,11,15,15,15,15,15,12,15,15,15,12,15,12,12,12,12,12,12,14,56,42,14,14,10,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,18,18,0,0
1705790295,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,12,48,36,12,12,10,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,10,12,12,0,0
1705790310,19,19,19,19,19,19,15,15,15,15,15,19,15,15,15,19,15,19,19,19,19,19,19,19,76,57,19,19,10,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,10,12,12,46,0
1705790325,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,18,72,54,18,18,10,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,10,18,18,0,0
1705790340,17,17,17,17,17,17,16,16,16,16,16,17,16,16,16,17,16,17,17,17,17,17,17,11,44,33,11,11,10,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,10,16,16,0,0
1705790355,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,14,56,42,14,14,10,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,12,12,0,1
1705790370,12,12,12,12,12,12,14,14,14,14,14,12,14,14,14,12,14,12,12,12,12,12,12,19,76,57,19,19,10,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,10,18,18,92,0
1705790385,17,17,17,17,17,17,22,22,22,22,22,17,22,22,22,17,22,17,17,17,17,17,17,11,44,33,11,11,10,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,10,15,15,23,0
1705790400,14,14,14,14,14,14,10,10,10,10,10,14,10,10,10,14,10,14,14,14,14,14,14,19,76,57,19,19,10,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,10,14,14,0,0
1705790415,15,15,15,15,15,15,13,13,13,13,13,15,13,13,13,15,13,15,15,15,15,15,15,15,60,45,15,15,10,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,19,19,23,0
1705790430,15,15,15,15,15,15,14,14,14,14,14,15,14,14,14,15,14,15,15,15,15,15,15,14,56,42,14,14,10,14,14,14,14,14,14,14,13,13,13,39,39,13,26,13,10,10,12,12,46,0
1705790445,18,18,18,18,18,18,21,21,21,21,21,18,21,21,21,18,21,18,18,18,18,18,18,14,56,42,14,14,10,14,14,14,14,14,14,14,15,15,15,45,45,15,30,15,10,10,14,14,23,0
1705790460,17,17,17,17,17,17,16,16,16,16,16,17,16,16,16,17,16,17,17,17,17,17,17,18,72,54,18,18,10,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,10,18,18,23,0
1705790475,14,14,14,14,14,14,12,12,12,12,12,14,12,12,12,14,12,14,14,14,14,14,14,15,60,45,15,15,10,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,14,14,0,0
1705790490,12,12,12,12,12,12,18,18,18,18,18,12,18,18,18,12,18,12,12,12,12,12,12,15,60,45,15,15,10,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,21,21,0,0
1705790505,17,17,17,17,17,17,12,12,12,12,12,17,12,12,12,17,12,17,17,17,17,17,17,15,60,45,15,15,10,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,11,11,46,0
1705790520,17,17,17,17,17,17,18,18,18,18,18,17,18,18,18,17,18,17,17,17,17,17,17,15,60,45,15,15,10,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,18,18,23,0
1705790535,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,18,72,54,18,18,10,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,10,14,14,0,0
1705790550,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,56,42,14,14,10,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,14,14,0,0
1705790565,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,12,48,36,12,12,10,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,10,19,19,0,0
1705790580,12,12,12,12,12,12,14,14,14,14,14,12,14,14,14,12,14,12,12,12,12,12,12,22,88,66,22,22,10,22,22,22,22,22,22,22,22,22,22,66,66,22,44,22,10,10,15,15,0,0
1705790595,14,14,14,14,14,14,13,13,13,13,13,14,12,12,12,14,12,14,14,14,14,14,14,12,48,36,12,12,10,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,10,18,18,0,0
1705790610,18,18,18,18,17,17,19,19,19,19,19,17,20,20,20,17,20,17,17,17,17,17,17,14,56,42,14,14,10,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,8,8,0,0
1705790625,16,16,16,16,17,17,16,16,16,16,16,17,16,16,16,17,16,17,17,17,17,17,17,16,61,46,16,16,10,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,18,18,0,0
1705790640,16,14,14,14,13,13,9,9,9,9,9,13,9,9,9,13,9,13,13,13,13,13,13,18,75,56,18,18,10,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,10,16,16,0,2
1705790655,10,12,12,12,13,13,16,16,16,16,16,13,16,16,16,13,16,13,13,13,13,13,13,14,56,42,14,14,10,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,13,13,23,0
1705790670,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,11,44,33,11,11,10,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,10,16,16,0,0
1705790685,17,17,17,17,17,17,12,12,12,12,12,17,12,12,12,17,12,17,17,17,17,17,17,20,80,60,20,20,10,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,10,10,14,14,23,0
1705790700,16,16,16,16,16,16,15,15,15,15,15,16,15,15,15,16,15,16,16,16,16,16,15,16,64,48,16,16,10,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,19,19,0,0
1705790715,9,9,9,9,9,9,21,21,21,21,21,9,21,21,21,9,21,9,9,9,9,9,10,14,56,42,14,14,10,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,13,13,0,0
1705790730,21,21,21,21,21,21,15,15,15,15,15,21,15,15,15,21,15,21,21,21,21,21,21,9,33,25,9,9,10,8,8,8,8,8,8,8,8,8,8,24,24,8,16,8,10,10,16,16,0,0
1705790745,14,13,13,13,13,13,10,9,9,9,9,13,9,9,9,13,9,13,13,13,13,13,13,21,87,65,21,21,10,22,22,22,22,22,22,22,22,22,22,66,66,22,44,22,10,10,13,13,0,0
1705790760,18,19,19,19,19,19,20,21,21,21,21,19,21,21,21,19,21,19,19,19,19,19,19,13,52,39,13,13,10,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,16,16,0,0
1705790775,12,12,12,12,11,11,13,12,12,12,12,11,12,12,12,11,12,11,11,11,11,11,11,20,78,60,20,20,10,20,20,18,18,18,18,18,18,18,18,54,54,18,36,18,10,10,12,12,0,1
1705790790,12,12,12,12,13,13,15,16,16,16,16,13,16,16,16,13,16,13,13,13,13,13,13,12,50,36,12,12,10,12,12,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,23,23,23,0
1705790805,19,19,19,19,19,19,17,17,17,17,17,19,17,17,17,19,17,19,19,19,19,19,19,14,55,42,14,14,10,14,14,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,7,7,23,0
1705790820,13,13,13,13,13,13,11,11,11,11,11,13,11,11,11,13,11,13,13,13,13,13,13,17,69,51,17,17,10,17,17,18,18,18,18,18,18,18,18,54,54,18,36,18,10,10,19,19,0,0
1705790835,17,17,17,17,17,17,19,19,19,19,19,17,19,19,19,17,19,17,17,17,17,17,17,11,44,33,11,11,10,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,10,15,15,0,0
1705790850,15,15,15,15,15,15,16,16,16,16,16,15,16,16,16,15,16,15,15,15,15,15,15,19,76,57,19,19,10,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,10,15,15,0,0
1705790865,16,16,16,16,16,16,13,13,13,13,13,16,13,13,13,16,13,16,16,16,16,16,16,18,67,51,17,17,10,17,17,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,16,16,0,0
1705790880,11,11,11,11,11,11,12,12,12,12,12,11,12,12,12,11,12,11,11,11,11,11,10,14,58,43,15,15,10,14,14,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,14,14,23,0
1705790895,18,18,18,18,18,18,21,21,21,21,21,18,21,21,21,18,21,18,18,18,18,18,18,12,51,38,12,12,10,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,13,13,23,0
1705790910,16,16,16,16,16,16,10,10,10,10,10,16,10,10,10,16,10,16,16,16,16,16,17,17,68,51,17,17,10,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,17,17,23,0
1705790925,9,8,8,8,8,8,20,20,20,20,20,8,20,20,20,8,20,8,8,8,8,8,8,14,56,42,14,14,10,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,17,17,23,0
1705790940,20,21,21,21,21,21,13,11,11,11,11,21,11,11,11,21,11,21,21,21,21,21,21,12,48,36,12,12,10,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,10,13,13,0,0
1705790955,13,13,13,13,13,13,12,14,14,14,14,13,14,14,14,13,14,13,13,13,13,13,13,20,79,60,20,20,10,20,20,19,19,19,19,19,19,19,19,57,57,19,38,19,10,10,19,19,23,0
1705790970,15,15,15,15,14,14,20,20,20,20,20,14,20,20,20,14,20,14,14,14,14,14,13,12,48,36,12,12,10,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,10,13,13,0,0
1705790985,22,22,22,22,23,23,15,15,15,15,15,23,15,15,15,23,15,23,23,23,23,23,23,14,57,42,14,14,10,14,14,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,12,12,23,0
1705791000,12,12,12,12,12,12,13,13,13,13,13,12,13,13,13,12,13,12,12,12,12,12,13,19,76,57,19,19,10,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,10,20,20,23,0
1705791015,13,13,13,13,13,13,15,15,15,15,15,13,15,15,15,13,15,13,13,13,13,13,13,14,56,42,14,14,10,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,13,13,23,0
1705791030,18,18,18,18,18,18,16,16,16,16,16,18,16,16,16,18,16,18,18,18,18,18,18,15,60,45,15,15,10,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,13,13,0,0
1705791045,16,16,16,16,16,16,17,17,17,17,17,16,17,17,17,16,17,16,16,16,16,16,16,15,60,45,15,15,10,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,18,18,23,0
1705791060,11,11,11,11,11,11,12,12,12,12,12,11,12,12,12,11,12,11,11,11,11,11,11,16,64,48,16,16,10,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,16,16,0,0
1705791075,17,17,17,17,17,17,16,16,16,16,16,17,16,16,16,17,16,17,17,17,17,17,17,13,52,39,13,13,10,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,16,16,0,0
1705791090,14,14,14,14,14,14,15,15,15,15,15,14,15,15,15,14,15,14,14,14,14,14,14,15,59,45,15,15,10,15,15,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,13,13,0,0
1705791105,17,17,17,17,17,17,15,15,15,15,15,17,15,15,15,17,15,17,17,17,17,17,17,20,81,60,20,20,10,20,20,21,21,21,21,21,21,21,21,63,63,21,42,21,10,10,15,15,0,0
1705791120,12,12,12,12,12,12,18,18,18,18,18,12,18,18,18,12,18,12,12,12,12,12,12,13,52,39,13,13,10,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,15,15,23,0
1705791135,17,17,17,17,17,17,12,12,12,12,12,17,12,12,12,17,12,17,17,17,17,17,17,15,56,42,14,14,10,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,15,15,0,0
1705791150,14,14,14,14,14,14,11,11,11,11,11,14,11,11,11,14,11,14,14,14,14,14,14,14,60,45,15,15,10,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,15,15,23,0
1705791165,10,10,10,10,10,10,21,21,21,21,21,10,21,21,21,10,21,10,10,10,10,10,10,15,58,43,15,15,10,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,15,15,0,0
1705791180,24,24,24,24,24,24,15,15,15,15,15,24,15,15,15,24,15,24,24,24,24,24,24,13,54,41,13,13,10,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,11,11,0,0
1705791195,13,12,12,12,12,12,13,13,13,13,13,12,13,13,13,12,13,12,12,12,12,12,12,20,80,60,20,20,10,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,10,10,17,17,0,0
1705791210,10,11,11,11,11,11,13,13,13,13,13,11,13,13,13,11,13,11,11,11,11,11,11,11,43,31,11,11,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,10,10,18,18,0,0
1705791225,19,19,19,19,19,19,18,18,18,18,18,19,18,18,18,19,18,19,19,19,19,19,18,16,61,47,15,15,10,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,15,15,0,1
1705791240,14,14,14,14,13,13,14,14,14,14,14,13,14,14,14,13,14,13,13,13,13,13,14,15,64,48,16,16,10,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,9,9,0,0
1705791255,14,14,14,14,15,15,16,16,16,16,16,15,16,16,16,15,16,15,15,15,15,15,15,18,72,54,18,18,10,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,10,21,21,23,0
1705791270,19,19,19,19,19,19,21,21,21,21,21,19,21,21,21,19,21,19,19,19,19,19,19,12,48,36,12,12,10,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,10,16,16,0,0
1705791285,15,15,15,15,15,15,7,7,7,7,7,15,7,7,7,15,7,15,15,15,15,15,15,20,80,60,20,20,10,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,10,10,13,13,23,0
1705791300,12,12,12,12,12,12,19,19,19,19,19,12,19,19,19,12,19,12,12,12,12,12,12,14,56,42,14,14,10,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,20,20,23,0
1705791315,20,20,20,20,20,20,17,17,17,17,17,20,17,17,17,20,17,20,20,20,20,20,20,14,53,40,14,14,10,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,11,11,23,0
1705791330,14,14,14,14,14,14,12,12,12,12,12,14,12,12,12,14,12,14,14,14,14,14,14,13,55,41,13,13,10,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,19,19,23,0
1705791345,7,7,7,7,7,7,8,8,8,8,8,7,8,8,8,7,8,7,7,7,7,7,6,11,44,33,11,11,4,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,6,6,4,4,0,0
