time,catalogue_1,front-end_2,front-end_3,user_4,front-end_5,front-end_6,front-end_7,front-end_8,front-end_9,user_10,user_11,orders_12,payment_13,orders_14,shipping_15,queue-master_16,queue-master_17,queue-master_18,queue-master_19,queue-master_20,front-end_21,front-end_22,front-end_23,user_24,front-end_25,front-end_26,front-end_27,front-end_28,front-end_29,front-end_30,front-end_31,carts_32,payment_33,front-end_34,user_35,front-end_36,front-end_37,user_38,front-end_39,front-end_40,front-end_41,front-end_42,front-end_43,catalogue_44,front-end_45,front-end_46,front-end_47,user_48,catalogue_49,user_50
1705779705,19,19,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,13,13,13,13,13,13,13,13,13,0,10,12,12,12,12,12,12,11,11,11,11,11,11,11,11,10,10,0
1705779720,11,11,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,18,18,18,18,18,18,18,18,18,0,10,17,17,17,17,17,17,18,18,18,18,18,18,18,18,10,10,0
1705779735,14,14,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,17,17,17,17,17,17,17,17,17,23,10,21,21,21,21,21,21,21,21,21,21,21,21,21,21,10,10,0
1705779750,21,21,21,84,63,21,21,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,13,13,13,13,13,13,13,13,13,0,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,0
1705779765,14,14,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,18,18,18,18,18,18,18,18,18,0,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,10,0
1705779780,12,12,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,16,16,16,16,16,16,16,16,16,23,10,23,23,23,23,23,23,23,23,23,23,23,23,23,23,10,10,0
1705779795,13,13,21,84,63,21,21,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,14,14,14,14,14,14,14,14,14,0,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,0
1705779810,22,22,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,19,19,19,19,19,19,19,19,19,0,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,10,0
1705779825,15,15,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,11,11,11,11,11,11,11,11,11,0,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,10,0
1705779840,18,18,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,16,16,16,16,16,15,15,15,15,23,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,10,0
1705779855,11,11,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,14,14,14,14,14,15,15,15,15,0,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,0
1705779870,14,14,9,36,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,9,18,9,19,19,19,19,19,19,19,19,19,23,10,19,19,19,19,19,19,19,19,19,19,19,19,19,19,10,10,0
1705779885,11,11,21,84,63,21,21,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,11,11,11,11,11,11,11,11,11,23,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,10,0
1705779900,21,21,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,15,15,15,15,15,15,15,15,15,0,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,10,0
1705779915,15,15,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,15,15,15,15,15,15,15,15,15,23,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,10,0
1705779930,13,13,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,18,18,18,18,18,18,18,18,18,0,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,10,0
1705779945,17,17,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,14,14,14,14,14,14,14,14,14,46,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,10,0
1705779960,15,15,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,13,13,13,13,13,13,13,13,13,0,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,10,0
1705779975,20,20,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,14,14,14,14,14,14,14,14,14,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0
1705779990,10,10,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,21,21,21,21,21,21,21,21,21,0,10,19,19,19,19,19,19,19,19,19,19,19,19,19,19,10,10,0
1705780005,9,9,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,14,14,14,14,14,14,14,14,14,23,10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,10,0
1705780020,22,22,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,14,14,14,14,14,14,14,14,14,23,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,0
1705780035,16,16,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,26,13,15,15,15,15,15,15,15,15,15,0,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,10,0
1705780050,13,13,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,28,14,17,17,17,17,17,17,17,17,17,0,10,19,19,19,19,19,19,19,19,19,19,19,19,19,19,10,10,0
1705780065,18,18,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,14,14,14,14,14,14,14,14,14,23,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,10,0
1705780080,16,16,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,17,17,17,17,17,17,17,17,17,0,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,10,0
1705780095,13,13,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,13,13,13,13,13,13,13,13,13,23,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,10,0
1705780110,19,19,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,15,15,15,15,15,15,15,15,15,0,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,10,0
1705780125,13,13,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,18,18,18,18,18,18,18,18,18,23,10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,10,0
1705780140,17,17,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,15,15,15,15,15,15,15,15,15,0,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,10,0
1705780155,14,14,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,17,17,17,17,17,17,17,17,17,46,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,10,0
1705780170,14,14,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,9,9,9,9,9,9,9,9,9,23,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,10,0
1705780185,17,17,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,19,19,19,19,19,19,19,19,19,23,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,10,0
1705780200,9,9,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,14,14,14,14,14,14,14,14,14,23,10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,10,0
1705780215,21,21,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,17,17,17,17,17,16,16,16,16,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0
1705780230,10,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,17,17,17,17,17,18,18,18,18,23,10,24,24,24,24,24,24,24,24,24,24,24,24,24,24,10,10,0
1705780245,18,18,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,8,8,8,8,8,8,8,8,8,23,10,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,10,0
1705780260,17,17,9,36,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,9,18,9,18,18,18,18,18,18,18,18,18,0,10,16,16,16,16,16,16,16,16,16,16,15,15,15,15,10,10,0
1705780275,11,11,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,17,17,17,17,17,17,17,17,17,23,10,16,16,16,16,16,16,16,16,16,16,17,17,17,17,10,10,0
1705780290,19,19,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,14,14,14,14,14,14,14,14,14,0,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,10,0
1705780305,15,15,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,13,13,13,13,13,13,13,13,13,23,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,10,0
1705780320,15,15,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,16,16,16,16,16,16,16,16,16,0,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,10,0
1705780335,13,13,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,18,18,18,18,18,18,18,18,18,23,10,15,15,15,15,15,15,15,15,15,15,14,14,14,14,10,10,0
1705780350,14,14,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,15,15,15,15,15,15,15,15,15,0,10,17,17,17,17,17,17,17,17,17,17,18,18,18,18,10,10,0
1705780365,21,21,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,15,15,15,15,15,15,15,15,15,0,10,13,13,13,13,13,13,13,13,13,13,13,13,13,12,10,10,0
1705780380,16,16,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,14,14,14,14,14,14,14,14,14,0,10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,10,0
1705780395,12,12,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,17,17,17,17,17,17,17,17,17,23,10,15,15,15,15,15,15,15,15,15,15,15,15,15,16,10,10,0
1705780410,14,14,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,14,14,14,14,14,14,14,14,14,0,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,10,0
1705780425,17,17,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,17,17,17,17,17,17,17,17,17,0,10,12,12,12,12,12,12,12,12,12,12,11,11,11,11,10,10,0
1705780440,15,15,15,60,45,15,15,15,15,15,15,14,14,14,14,14,14,42,42,14,28,14,18,18,18,18,18,18,18,18,18,0,10,19,19,19,19,19,19,19,19,19,19,20,20,20,20,10,10,0
1705780455,15,15,16,64,48,16,16,16,16,16,16,17,17,17,17,17,17,51,51,17,34,17,10,10,10,10,10,10,10,10,10,23,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,10,0
1705780470,16,16,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,15,14,15,15,15,15,15,15,15,0,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,10,1
1705780485,13,12,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,14,14,14,14,14,14,14,14,14,0,10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,10,0
1705780500,22,23,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,18,18,18,18,18,18,18,18,18,0,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,10,0
1705780515,11,11,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,17,17,17,17,17,17,17,17,17,0,10,18,18,18,18,18,18,18,18,18,18,18,18,18,17,10,10,0
1705780530,13,13,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,17,17,17,17,17,17,17,17,17,0,10,17,17,17,17,17,17,17,17,17,17,17,17,17,18,10,10,0
1705780545,17,17,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,17,17,17,17,17,16,16,16,16,0,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,10,0
1705780560,16,16,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,11,11,11,11,11,12,12,12,12,0,10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,10,0
1705780575,16,16,17,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,16,16,16,16,16,16,16,16,16,0,10,12,12,12,12,11,11,11,11,11,11,11,11,11,11,10,10,0
1705780590,16,16,13,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,14,14,14,14,14,14,14,14,14,0,10,14,14,14,14,15,15,15,15,15,15,15,15,15,15,10,10,0
1705780605,15,15,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,13,13,13,13,13,13,13,13,13,0,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,10,0
1705780620,12,12,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,18,18,18,18,18,18,18,18,18,23,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,10,0
1705780635,14,14,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,16,16,16,16,16,16,16,16,16,23,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,10,0
1705780650,22,22,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,12,12,12,12,12,12,12,12,12,23,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,10,0
1705780665,10,10,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,19,19,19,19,19,19,19,19,19,0,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,10,0
1705780680,14,14,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,12,12,12,12,12,12,12,12,12,0,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,10,0
1705780695,17,17,18,69,52,18,18,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,15,15,15,15,15,15,15,15,15,0,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,10,0
1705780710,12,12,14,59,44,14,14,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,17,17,17,17,17,17,17,17,17,23,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,10,0
1705780725,17,17,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,12,12,12,12,12,11,11,11,11,0,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,10,0
1705780740,15,15,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,16,16,16,16,16,17,17,17,17,0,10,17,17,17,16,16,16,16,16,16,16,16,16,16,16,10,10,0
1705780755,13,13,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,20,19,19,19,19,19,19,19,19,0,10,17,17,17,18,18,18,18,18,18,18,18,18,18,18,10,10,0
1705780770,17,17,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,11,11,11,11,11,11,11,11,23,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,10,0
1705780785,18,18,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,18,18,18,18,18,18,18,18,18,46,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,10,0
1705780800,11,11,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,13,13,13,13,13,13,13,13,13,23,10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,10,0
1705780815,19,18,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,14,14,14,14,14,14,14,14,14,0,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,10,0
1705780830,14,15,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,15,15,15,15,15,15,15,15,15,0,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,0
1705780845,15,15,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,16,16,16,16,16,16,16,16,16,23,10,19,19,19,19,19,19,19,19,19,19,19,19,19,19,10,10,0
1705780860,15,15,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,14,14,14,14,14,14,14,14,14,0,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,10,0
1705780875,16,16,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,16,16,16,16,16,16,16,16,16,0,10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,10,0
1705780890,15,15,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,19,19,19,19,19,19,19,19,19,23,10,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,0
1705780905,12,12,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,16,16,16,16,16,16,16,16,16,0,10,18,18,18,18,19,19,19,19,19,19,19,19,19,19,10,10,0
1705780920,22,22,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,12,12,12,12,12,12,12,12,12,0,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,10,0
1705780935,10,10,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,18,18,18,18,18,18,18,18,18,23,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,10,0
1705780950,15,15,8,32,24,8,8,8,8,8,8,8,8,8,8,8,8,24,24,8,16,8,8,8,8,8,8,8,8,8,8,23,6,13,13,13,13,13,13,13,13,13,13,13,13,13,13,6,8,0
