time,payment_1,front-end_2,front-end_3,front-end_4,user_5,front-end_6,front-end_7,front-end_8,front-end_9,front-end_10,orders_11,user_12,front-end_13,user_14,front-end_15,front-end_16,user_17,front-end_18,front-end_19,front-end_20,front-end_21,front-end_22,catalogue_23,front-end_24,front-end_25,front-end_26,catalogue_27,front-end_28,catalogue_29,front-end_30,user_31,front-end_32,front-end_33,front-end_34,front-end_35,front-end_36,front-end_37,front-end_38,orders_39,orders_40,orders_41,orders_42,orders_43,orders_44,orders_45,orders_46,orders_47,orders_48,orders-db_49,orders_50,orders_51,orders_52,orders_53,orders_54,orders_55,orders_56,orders_57,orders_58,orders_59,orders_60,orders_61,orders_62,orders_63,orders_64,orders_65,orders_66,orders_67,user_68,user-db_69,user_70,orders_71,payment_72,orders_73,shipping_74,queue-master_75,queue-master_76,queue-master_77,queue-master_78,queue-master_79,orders_80,front-end_81,carts_82,user_83,user_84,user_85
1705824405,10,36,0,18,72,54,18,18,18,18,0,10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,12,12,10,13,13,13,13,13,13,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,18,18,18,18,18,18,18,54,54,18,0,18,23,0,0,0
1705824420,10,34,0,17,68,51,17,17,17,17,0,10,15,15,15,15,15,15,15,14,14,14,14,14,14,14,19,19,10,16,16,16,16,16,16,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,17,17,17,17,17,17,17,51,51,17,0,17,0,0,0,0
1705824435,10,26,0,14,53,40,14,14,13,13,0,10,14,14,14,14,14,14,14,15,15,15,15,15,15,15,19,19,10,14,14,14,14,14,14,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13,13,13,13,13,13,13,39,39,13,0,13,0,0,0,0
1705824450,10,26,0,12,51,38,12,12,13,13,0,10,17,17,17,17,17,17,16,16,16,16,16,16,16,16,12,12,10,18,18,18,18,18,18,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13,13,13,13,13,13,13,39,39,13,0,13,23,0,0,0
1705824465,10,36,0,18,72,54,18,18,18,18,0,10,12,12,12,12,12,12,13,13,13,13,13,13,13,13,16,16,10,15,15,15,15,15,15,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,18,18,18,18,18,18,18,54,54,18,0,18,0,0,0,0
1705824480,10,22,0,11,44,33,11,11,11,11,0,10,23,23,23,23,23,23,23,23,23,23,23,23,23,23,15,15,10,17,17,17,17,17,17,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,11,11,11,11,11,11,33,33,11,0,11,69,0,0,0
1705824495,10,52,0,26,104,78,26,26,26,26,0,10,13,13,13,13,13,13,13,13,13,13,13,13,13,12,14,14,10,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,26,26,26,26,26,26,26,78,78,26,0,26,23,0,0,0
1705824510,10,18,0,9,36,27,9,9,9,9,0,10,8,8,8,8,8,8,8,8,8,8,8,8,8,9,22,22,10,15,15,15,15,15,15,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,9,9,9,9,9,9,27,27,9,0,9,0,0,0,0
1705824525,10,24,0,12,48,36,12,12,12,12,0,10,22,22,22,22,22,22,22,22,22,22,22,22,22,22,8,8,10,21,21,21,21,21,21,21,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,12,12,12,12,12,12,36,36,12,0,12,0,0,0,0
1705824540,10,42,0,21,84,63,21,21,21,21,0,10,16,16,16,16,16,16,15,15,15,15,15,15,15,15,19,19,10,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,21,21,21,21,21,21,21,63,63,21,0,21,23,0,0,0
1705824555,10,30,0,15,60,45,15,15,15,15,0,10,12,12,12,12,12,12,13,13,13,13,13,13,13,13,14,14,10,14,14,14,14,14,14,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,15,15,15,15,15,15,45,45,15,0,15,46,0,0,0
1705824570,10,24,0,12,48,36,12,12,12,12,0,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,18,18,10,18,18,18,18,18,18,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,12,12,12,12,12,12,36,36,12,0,12,23,0,0,0
1705824585,10,32,0,16,64,48,16,16,16,16,0,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,12,12,10,13,13,13,13,13,13,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16,16,16,16,16,16,16,48,48,16,0,16,69,0,0,0
1705824600,10,30,0,15,60,45,15,15,15,15,0,10,18,18,18,18,18,18,17,17,17,17,17,17,17,17,17,17,10,20,20,20,20,20,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,15,15,15,15,15,15,45,45,15,0,15,0,0,0,0
1705824615,10,42,0,21,84,63,21,21,21,21,0,10,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,10,14,14,14,14,14,14,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,21,21,21,21,21,21,21,63,63,21,0,21,0,0,0,0
1705824630,10,24,0,12,48,36,12,12,12,12,0,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,17,10,12,12,12,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,12,12,12,12,12,12,36,36,12,0,12,0,0,0,0
1705824645,10,32,0,16,64,48,16,16,16,16,0,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,19,19,19,19,19,19,19,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16,16,16,16,16,16,16,48,48,16,0,16,23,0,0,0
1705824660,10,30,0,15,60,45,15,15,15,15,0,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,15,15,10,9,9,9,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,15,15,15,15,15,15,45,45,15,0,15,0,0,0,0
1705824675,10,28,0,14,56,42,14,14,14,14,0,10,6,6,6,6,6,6,6,6,6,6,6,6,6,6,19,19,10,15,15,15,15,15,15,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14,14,14,14,14,14,14,42,42,14,0,14,23,0,0,0
1705824690,10,18,0,9,36,27,9,9,9,9,0,10,18,17,17,17,17,17,17,17,17,17,17,17,17,16,10,10,10,19,19,19,19,19,19,19,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,9,9,9,9,9,9,27,27,9,0,9,23,0,0,0
1705824705,10,30,0,15,60,45,15,15,15,15,0,10,21,22,22,22,22,22,22,22,22,22,22,22,22,23,12,12,10,16,16,16,16,16,16,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,15,15,15,15,15,15,45,45,15,0,15,0,0,0,0
1705824720,10,42,0,21,84,63,21,21,21,21,0,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,19,19,10,9,9,9,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,21,21,21,21,21,21,21,63,63,21,0,21,0,1,0,0
1705824735,10,24,0,12,48,36,12,12,12,12,0,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,17,17,17,17,17,17,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,12,12,12,12,12,12,36,36,12,0,12,69,0,0,0
1705824750,10,32,0,16,64,48,16,16,16,16,0,10,21,21,21,21,21,21,21,21,21,21,21,21,21,21,12,12,10,18,18,18,18,18,18,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16,16,16,16,16,16,16,48,48,16,0,16,23,0,0,0
1705824765,10,40,0,20,80,60,20,20,20,20,0,10,8,8,8,8,8,8,8,8,8,8,8,8,8,8,17,17,10,12,12,12,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,20,20,20,20,20,20,60,60,20,0,20,23,0,0,0
1705824780,10,14,0,7,28,21,7,7,7,7,0,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,18,18,10,17,17,17,17,17,17,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,7,7,7,7,7,7,21,21,7,0,7,0,0,0,0
1705824795,10,30,0,15,60,45,15,15,15,15,0,10,22,22,22,22,22,22,22,22,22,22,22,22,22,22,8,8,10,15,15,15,15,15,15,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,15,15,15,15,15,15,45,45,15,0,15,23,0,0,0
1705824810,10,42,0,21,84,63,21,21,21,21,0,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,17,17,10,15,15,15,15,15,15,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,21,21,21,21,21,21,21,63,63,21,0,21,0,0,0,0
1705824825,10,24,0,12,48,36,12,12,12,12,0,10,15,15,15,15,15,15,14,14,14,14,14,14,14,14,16,16,10,15,15,15,15,15,15,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,12,12,12,12,12,12,36,36,12,0,12,23,0,0,0
1705824840,10,30,0,16,64,48,16,16,16,16,0,10,12,12,12,12,12,12,13,13,13,13,13,13,13,13,17,17,10,15,15,15,15,15,15,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16,16,16,16,16,16,16,45,45,15,0,15,0,0,0,0
1705824855,10,32,0,15,60,45,15,15,15,15,0,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,17,17,10,16,16,16,16,16,16,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,15,15,15,15,15,15,48,48,16,0,16,0,0,0,0
1705824870,10,24,0,12,48,36,12,12,12,12,0,10,19,19,19,19,19,19,19,19,19,19,19,19,19,19,12,12,10,14,14,14,14,14,14,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,12,12,12,12,12,12,36,36,12,0,12,0,0,0,0
1705824885,10,38,0,19,76,57,19,19,19,19,0,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,12,12,10,17,17,17,17,17,17,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,19,19,19,19,19,19,19,57,57,19,0,19,0,0,0,0
1705824900,10,32,0,16,64,48,16,16,16,16,0,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,19,19,10,14,14,14,14,14,14,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16,16,16,16,16,16,16,48,48,16,0,16,46,0,0,0
1705824915,10,30,0,16,64,48,16,16,16,16,0,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,16,16,10,10,9,9,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16,16,16,16,16,15,15,45,45,15,0,15,0,0,0,0
1705824930,10,16,0,7,28,21,7,7,7,7,0,10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,16,16,10,16,17,17,17,17,17,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,7,7,7,7,8,8,24,24,8,0,8,0,0,0,0
1705824945,10,40,0,20,80,60,20,20,20,20,0,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,11,11,10,15,15,15,15,15,15,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,20,20,20,20,20,20,60,60,20,0,20,23,0,0,0
1705824960,10,24,0,12,48,36,12,12,12,12,0,10,19,19,19,19,19,19,19,19,19,19,19,19,19,19,16,16,10,17,17,17,17,17,17,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,12,12,12,12,12,12,36,36,12,0,12,0,0,0,0
1705824975,10,38,0,19,76,57,19,19,19,19,0,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,10,18,18,18,18,18,18,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,19,19,19,19,19,19,19,57,57,19,0,19,0,0,0,0
1705824990,10,34,0,18,71,54,18,18,18,18,0,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,19,19,10,13,13,13,13,13,13,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,16,17,17,17,17,17,17,51,51,17,0,17,0,0,1,0
1705825005,10,28,0,13,53,39,13,13,13,13,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,15,15,10,13,13,13,13,13,13,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14,14,14,14,14,14,14,42,42,14,0,14,46,0,0,0
1705825020,10,20,0,10,40,30,10,10,10,10,0,10,16,16,16,16,16,16,15,15,15,15,15,15,15,15,14,14,10,19,19,19,19,19,19,19,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,10,10,10,10,10,10,30,30,10,0,10,0,0,0,0
1705825035,10,36,0,18,72,54,18,18,18,18,0,10,17,17,17,17,17,17,18,18,18,18,18,18,18,18,13,13,10,14,14,14,14,14,14,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,18,18,18,18,18,18,18,54,54,18,0,18,0,0,0,0
1705825050,10,34,0,17,68,51,17,17,17,17,0,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,18,18,10,13,13,13,13,13,13,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,17,17,17,17,17,17,17,51,51,17,0,17,0,0,0,0
1705825065,10,28,0,14,56,42,14,14,14,14,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,13,13,10,19,19,19,19,19,19,19,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14,14,14,14,14,14,14,42,42,14,0,14,23,0,0,0
1705825080,10,22,0,11,44,33,11,11,11,11,0,10,23,23,23,23,23,23,23,23,23,23,23,23,23,23,15,15,10,15,15,15,15,15,14,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,11,11,11,11,11,11,33,33,11,0,11,23,0,0,0
1705825095,10,42,0,21,84,63,21,21,21,21,0,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,15,10,14,14,14,14,14,15,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,21,21,21,21,21,21,21,63,63,21,0,21,0,0,0,0
1705825110,10,28,0,14,56,42,14,14,14,14,0,10,20,20,20,20,20,20,20,20,20,20,20,20,20,20,19,19,10,19,19,19,19,19,19,19,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14,14,14,14,14,14,14,42,42,14,0,14,0,0,0,0
1705825125,10,44,0,22,88,66,22,22,22,22,0,10,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,16,10,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,22,22,22,22,22,22,22,66,66,22,0,22,23,0,0,0
1705825140,10,20,0,10,40,30,10,10,10,10,0,10,17,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,10,17,17,17,17,17,17,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,10,10,10,10,10,10,30,30,10,0,10,23,0,0,0
1705825155,10,28,0,14,56,42,14,14,14,14,0,10,17,17,17,18,18,18,18,18,18,18,18,18,18,18,12,12,10,15,15,15,15,15,15,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14,14,14,14,14,14,14,42,42,14,0,14,0,0,0,0
1705825170,10,32,0,16,64,48,16,16,16,16,0,10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,13,13,10,17,17,17,17,17,17,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16,16,16,16,16,16,16,48,48,16,0,16,0,0,0,0
1705825185,10,38,0,19,76,57,19,19,19,19,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,18,18,10,13,13,13,13,13,13,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,19,19,19,19,19,19,19,57,57,19,0,19,0,0,0,0
1705825200,10,24,0,12,48,36,12,12,12,12,0,10,19,19,19,19,19,19,19,19,19,19,19,19,19,19,18,18,10,22,22,22,22,22,22,22,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,12,12,12,12,12,12,36,36,12,0,12,23,0,0,0
1705825215,10,38,0,19,76,57,19,19,19,19,0,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,14,14,10,13,13,13,13,13,13,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,19,19,19,19,19,19,19,57,57,19,0,19,0,0,0,0
1705825230,10,32,0,16,64,48,16,16,16,16,0,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,18,18,10,15,15,15,15,15,15,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16,16,16,16,16,16,16,48,48,16,0,16,0,0,0,0
1705825245,10,28,0,14,56,42,14,14,14,14,0,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,15,15,10,17,17,17,17,17,17,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14,14,14,14,14,14,14,42,42,14,0,14,0,0,0,0
1705825260,10,30,0,15,60,45,15,15,15,15,0,10,21,21,21,21,20,20,19,19,19,19,19,19,19,19,15,15,10,17,17,17,17,17,17,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,15,15,15,15,15,15,45,45,15,0,15,0,0,0,0
1705825275,10,36,0,18,72,54,18,18,18,18,0,10,12,12,12,12,13,13,14,14,14,14,14,14,14,14,15,15,10,8,8,8,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,18,18,18,18,18,18,18,54,54,18,0,18,0,0,0,0
1705825290,10,28,0,14,56,42,14,14,14,14,0,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,17,17,10,21,21,21,21,21,21,21,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14,14,14,14,14,14,14,42,42,14,0,14,0,0,0,0
1705825305,10,24,0,12,48,36,12,12,12,12,0,10,19,19,19,19,19,19,19,19,19,19,19,19,19,19,10,10,10,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,12,12,12,12,12,12,36,36,12,0,12,0,0,0,0
1705825320,10,36,0,18,72,54,18,18,18,18,0,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,18,10,18,18,18,18,18,18,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,18,18,18,18,18,18,18,54,54,18,0,18,0,0,0,0
1705825335,10,30,0,15,60,45,15,15,15,15,0,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,18,18,10,15,15,15,15,15,15,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,15,15,15,15,15,15,45,45,15,0,15,0,0,0,0
1705825350,10,30,0,15,60,45,15,15,15,15,0,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,12,12,10,18,18,18,18,18,18,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,15,15,15,15,15,15,45,45,15,0,15,0,0,0,0
