time,catalogue_1,payment_2,user_3,front-end_4,front-end_5,front-end_6,front-end_7,front-end_8,front-end_9,front-end_10,front-end_11,front-end_12,catalogue_13,front-end_14,front-end_15,user_16,front-end_17,front-end_18,front-end_19,front-end_20,front-end_21,front-end_22,front-end_23,front-end_24,user_25,front-end_26,front-end_27,user_28,front-end_29,front-end_30,front-end_31,front-end_32,front-end_33,catalogue_34,front-end_35,front-end_36,front-end_37,front-end_38,user_39,front-end_40,front-end_41,front-end_42,front-end_43,front-end_44,user_45,user_46,orders_47,payment_48,orders_49,shipping_50,queue-master_51,queue-master_52,queue-master_53,queue-master_54,queue-master_55,front-end_56,front-end_57,carts_58
1705697640,10,10,10,0,0,0,0,0,0,0,0,0,13,13,17,17,17,17,17,17,17,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,46
1705697655,10,10,10,0,0,0,0,0,0,0,0,0,20,20,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,23
1705697670,10,10,10,0,0,0,0,0,0,0,0,0,14,14,13,13,13,13,13,13,13,13,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,23
1705697685,10,10,10,0,0,0,0,0,0,0,0,0,12,12,20,20,20,20,20,20,20,20,20,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,0
1705697700,10,10,10,0,0,0,0,0,0,0,0,0,13,13,16,16,16,16,16,16,16,16,16,21,21,21,21,21,21,21,21,21,21,21,21,21,21,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,0
1705697715,10,10,10,0,0,0,0,0,0,0,0,0,20,20,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,22,88,66,22,22,22,22,22,22,22,22,22,22,22,22,66,66,22,44,22,0
1705697730,10,10,10,0,0,0,0,0,0,0,0,0,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,16,16,16,16,16,16,16,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,23
1705697745,10,10,10,0,0,0,0,0,0,0,0,0,11,11,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,18,18,18,18,18,18,18,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,23
1705697760,10,10,10,0,0,0,0,0,0,0,0,0,17,17,12,12,12,12,12,12,12,12,12,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,46
1705697775,10,10,10,0,0,0,0,0,0,0,0,0,17,17,17,17,17,17,17,17,17,17,17,13,13,13,13,13,13,13,12,12,12,12,12,12,12,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,0
1705697790,10,10,10,0,0,0,0,0,0,0,0,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,0
1705697805,10,10,10,0,0,0,0,0,0,0,0,0,16,16,15,15,15,15,15,15,15,15,15,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,23
1705697820,10,10,10,0,0,0,0,0,0,0,0,0,11,11,12,12,12,12,12,12,12,12,12,18,18,18,18,18,18,18,18,18,18,18,18,18,18,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,0
1705697835,10,10,10,0,0,0,0,0,0,0,0,0,12,12,17,17,17,17,17,17,17,17,17,14,14,14,14,14,14,14,14,14,14,14,14,14,14,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,0
1705697850,10,10,10,0,0,0,0,0,0,0,0,0,22,22,19,19,19,19,19,19,19,19,19,14,14,14,14,13,13,13,13,13,13,13,13,13,13,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,0
1705697865,10,10,10,0,0,0,0,0,0,0,0,0,14,14,15,15,15,15,15,15,15,15,15,19,19,19,19,20,20,20,20,20,20,20,20,20,20,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,0
1705697880,10,10,10,0,0,0,0,0,0,0,0,0,13,13,16,16,16,16,16,16,16,16,16,18,18,18,18,18,18,18,18,18,18,18,18,18,18,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,0
1705697895,10,10,10,0,0,0,0,0,0,0,0,0,19,19,14,14,14,14,14,14,14,14,14,10,10,10,10,10,10,10,10,10,10,10,10,10,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,0
1705697910,10,10,10,0,0,0,0,0,0,0,0,0,15,15,13,13,13,13,13,13,13,13,13,17,17,17,17,17,17,17,17,17,17,17,17,17,17,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,23
1705697925,10,10,10,0,0,0,0,0,0,0,0,0,16,16,19,19,19,19,19,19,19,19,19,16,16,16,16,16,16,16,16,16,16,16,16,16,16,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,46
1705697940,10,10,10,0,0,0,0,0,0,0,0,0,14,14,14,14,14,14,14,14,14,14,14,17,17,17,17,17,17,17,17,17,17,17,17,17,17,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,0
1705697955,10,10,10,0,0,0,0,0,0,0,0,0,15,15,16,16,16,16,16,16,16,16,16,12,12,12,12,12,12,12,12,12,12,12,12,12,12,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,0
1705697970,10,10,10,0,0,0,0,0,0,0,0,0,17,17,13,13,13,13,13,13,13,13,13,15,15,15,15,15,15,15,15,15,15,15,15,15,14,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,0
1705697985,10,10,10,0,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,15,15,15,13,13,13,13,13,13,13,13,13,13,13,13,13,14,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,0
1705698000,10,10,10,0,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,15,15,15,21,21,21,21,21,21,21,21,21,21,21,21,21,21,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,0
1705698015,10,10,10,0,0,0,0,0,0,0,0,0,15,15,19,19,19,19,19,19,19,19,19,11,11,11,11,11,11,11,11,11,11,11,11,11,11,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,0
1705698030,10,10,10,0,0,0,0,0,0,0,0,0,13,13,13,13,13,13,13,13,13,13,13,16,16,16,16,16,16,16,16,16,16,16,16,16,16,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,0
1705698045,10,10,10,0,0,0,0,0,0,0,0,0,17,17,16,16,16,16,16,16,16,16,16,22,22,22,22,22,22,22,22,22,22,22,22,22,22,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,23
1705698060,10,10,10,0,0,0,0,0,0,0,0,0,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,21,84,63,21,21,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,46
1705698075,10,10,10,0,0,0,0,0,0,0,0,0,19,19,14,14,14,14,14,14,14,14,14,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,23
1705698090,10,10,10,0,0,0,0,0,0,0,0,0,13,13,21,21,21,21,21,21,21,21,21,18,18,18,18,18,18,18,18,18,18,18,18,18,17,9,36,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,9,18,9,23
1705698105,10,10,10,0,0,0,0,0,0,0,0,0,11,11,16,16,16,16,16,16,16,16,16,18,18,18,18,18,18,18,18,18,18,18,18,18,19,24,93,69,23,23,23,23,23,23,23,23,23,23,23,23,69,69,23,46,23,0
1705698120,10,10,10,0,0,0,0,0,0,0,0,0,21,21,15,15,15,15,15,15,15,15,15,12,12,12,12,12,12,12,12,12,12,12,12,12,12,16,67,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,0
1705698135,10,10,10,0,0,0,0,0,0,0,0,0,18,18,12,12,12,12,12,12,12,12,12,19,19,19,18,18,18,18,18,18,18,18,18,18,18,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,23
1705698150,10,10,10,0,0,0,0,0,0,0,0,0,14,14,14,14,14,14,14,14,14,14,14,11,11,11,12,12,12,12,12,12,12,12,12,12,12,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,0
1705698165,10,10,10,0,0,0,0,0,0,0,0,0,9,9,17,17,17,17,17,17,17,17,17,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,23
1705698180,10,10,10,0,0,0,0,0,0,0,0,0,18,18,14,14,14,14,14,14,14,14,14,18,18,18,18,18,18,18,18,18,18,18,18,18,18,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,46
1705698195,10,10,10,0,0,0,0,0,0,0,0,0,18,18,22,22,22,22,22,22,22,22,22,19,19,19,19,19,19,19,19,19,19,19,19,19,19,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,0
1705698210,10,10,10,0,0,0,0,0,0,0,0,0,10,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,0
1705698225,10,10,10,0,0,0,0,0,0,0,0,0,23,23,7,7,7,7,7,7,7,7,7,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,0
1705698240,10,10,10,0,0,0,0,0,0,0,0,0,12,12,21,21,21,21,21,21,21,21,21,11,11,11,11,11,11,11,11,11,11,11,11,11,11,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,0
1705698255,10,10,10,0,0,0,0,0,0,0,0,0,10,10,16,16,16,16,16,16,16,16,16,18,18,18,18,18,18,18,18,18,18,18,18,18,18,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,0
1705698270,10,10,10,0,0,0,0,0,0,0,0,0,19,19,13,13,13,13,13,13,13,13,13,18,18,18,18,18,18,18,18,18,18,18,18,18,18,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,0
1705698285,10,10,10,0,0,0,0,0,0,0,0,0,15,15,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,0
1705698300,10,10,10,0,0,0,0,0,0,0,0,0,16,16,15,15,15,15,15,15,15,15,15,11,11,11,11,10,10,10,10,10,10,10,10,10,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,0
1705698315,10,10,10,0,0,0,0,0,0,0,0,0,15,15,16,16,16,16,16,16,16,16,16,18,18,18,18,19,19,19,19,19,19,19,19,19,19,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,0
1705698330,10,10,10,0,0,0,0,0,0,0,0,0,10,10,16,16,16,16,16,16,16,16,16,20,20,20,20,20,20,20,20,20,20,20,20,20,20,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,23
1705698345,10,10,10,0,0,0,0,0,0,0,0,0,21,21,15,15,15,15,15,15,15,15,15,8,8,8,8,8,8,7,7,7,7,7,7,7,7,24,96,72,24,24,24,24,24,24,24,24,24,24,24,24,72,72,24,48,24,23
1705698360,10,10,10,0,0,0,0,0,0,0,0,0,16,16,12,12,12,12,12,11,11,11,11,15,15,15,15,15,15,16,16,16,16,16,16,16,16,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,0
1705698375,10,10,10,0,0,0,0,0,0,0,0,0,12,12,26,26,26,26,26,27,27,27,27,19,19,19,19,19,19,19,19,19,19,19,19,19,19,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,0
1705698390,10,10,10,0,0,0,0,0,0,0,0,0,16,16,6,6,6,6,6,6,6,6,6,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,0
1705698405,10,10,10,0,0,0,0,0,0,0,0,0,17,17,16,16,16,16,16,16,16,16,16,11,11,11,11,11,11,11,11,11,11,11,11,11,11,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,0
1705698420,10,10,10,0,0,0,0,0,0,0,0,0,17,17,17,17,17,17,17,17,17,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,0
1705698435,10,10,10,0,0,0,0,0,0,0,0,0,13,13,18,18,18,18,18,18,18,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,0
1705698450,10,10,10,0,0,0,0,0,0,0,0,0,14,14,12,12,12,12,12,12,12,12,12,14,14,14,14,14,14,14,14,14,14,14,14,14,14,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,0
1705698465,10,10,10,0,0,0,0,0,0,0,0,0,18,18,17,17,17,17,17,17,17,17,17,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,0
1705698480,10,10,10,0,0,0,0,0,0,0,0,0,13,13,15,15,15,15,15,15,15,15,15,13,13,13,13,13,13,13,13,13,13,13,13,13,13,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,23
1705698495,10,10,10,0,0,0,0,0,0,0,0,0,16,16,18,17,17,17,17,17,17,17,17,23,23,23,23,23,23,23,23,23,23,23,23,23,23,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,0
1705698510,10,10,10,0,0,0,0,0,0,0,0,0,16,16,14,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,24,96,72,24,24,24,24,24,24,24,24,24,24,24,24,72,72,24,48,24,0
1705698525,10,10,10,0,0,0,0,0,0,0,0,0,19,19,18,18,18,18,18,18,18,18,18,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,0
1705698540,10,10,10,0,0,0,0,0,0,0,0,0,13,13,16,16,16,16,16,16,16,16,16,19,19,19,18,18,18,18,18,18,18,17,17,17,17,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,23
1705698555,10,10,10,0,0,0,0,0,0,0,0,0,17,17,10,10,10,10,10,10,10,10,10,14,14,14,15,15,15,15,15,15,15,16,16,16,16,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,23
1705698570,10,10,10,0,0,0,0,0,0,0,0,0,19,19,19,19,19,19,19,19,19,19,19,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,0
1705698585,6,6,6,0,0,0,0,0,0,0,0,0,4,4,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,6,24,18,6,6,6,6,6,6,6,6,6,6,6,6,18,18,6,12,6,0
